,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
1254,JACKSON COUNTY REGIONAL HEALTH CENTER (161329),2015,Critical Access,Government - Local,25.0,42.073715,-90.673132,IA,,,,,37.0,17043.0
1255,AUDUBON COUNTY MEMORIAL HOSPITAL (161330),2015,Critical Access,Government - Local,23.0,41.715423,-94.937044,IA,,,,,30.0,15508.0
1256,MERCY MEDICAL CENTER-NEW HAMPTON (161331),2015,Critical Access,Voluntary non-profit - Church,14.0,43.062677,-92.320425,IA,,,,,76.0,15974.0
1257,MANNING REGIONAL HEALTHCARE CENTER (161332),2015,Critical Access,Voluntary non-profit - Private,57.0,41.90665,-95.075013,IA,,,,,45.0,10595.0
1258,STORY COUNTY HOSPITAL (161333),2015,Critical Access,Government - Local,97.0,42.005334,-93.434902,IA,,,,,34.0,14667.0
1259,BUCHANAN COUNTY HEALTH CENTER (161335),2015,Critical Access,Voluntary non-profit - Other,69.0,42.468787,-91.875015,IA,,,30.0,15226.0,76.0,14373.0
1260,HEGG MEMORIAL HEALTH CENTER (161336),2015,Critical Access,Voluntary non-profit - Private,85.0,43.201693,-96.285086,IA,,,,,48.0,13423.0
1261,VAN BUREN COUNTY HOSPITAL (161337),2015,Critical Access,Government - Local,25.0,40.735862,-91.959043,IA,,,,,69.0,13751.0
1262,MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN (161338),2015,Critical Access,Voluntary non-profit - Church,63.0,42.675419,-91.902613,IA,,,,,32.0,13945.0
1263,WAVERLY HEALTH CENTER (161339),2015,Critical Access,Government - Local,21.0,42.723668,-92.481802,IA,,,39.0,15436.0,101.0,13811.0
1264,DECATUR COUNTY HOSPITAL (161340),2015,Critical Access,Government - Hospital District or Authority,18.0,40.750308,-93.747789,IA,,,28.0,13874.0,52.0,13160.0
1265,LUCAS COUNTY HEALTH CENTER (161341),2015,Critical Access,Voluntary non-profit - Other,25.0,41.027693,-93.303421,IA,,,,,61.0,13996.0
1266,MONROE COUNTY HOSPITAL (161342),2015,Critical Access,Voluntary non-profit - Other,25.0,41.044838,-92.796475,IA,,,,,40.0,13863.0
1267,REGIONAL MEDICAL CENTER (161343),2015,Critical Access,Proprietary,26.0,42.483903,-91.466644,IA,,,69.0,14207.0,125.0,14130.0
1268,WASHINGTON COUNTY HOSPITAL AND CLINICS (161344),2015,Critical Access,Voluntary non-profit - Other,64.0,41.288507,-91.687341,IA,,,60.0,17026.0,136.0,17120.0
1269,OSCEOLA COMMUNITY HOSPITAL (161345),2015,Critical Access,Voluntary non-profit - Private,25.0,43.41008,-95.741727,IA,,,37.0,13688.0,36.0,13136.0
1270,SIOUX CENTER HEALTH (161346),2015,Critical Access,Voluntary non-profit - Private,90.0,43.069685,-96.159287,IA,,,,,62.0,13944.0
1271,FLOYD COUNTY MEDICAL CENTER (161347),2015,Critical Access,Voluntary non-profit - Other,25.0,43.052667,-92.682505,IA,,,81.0,17340.0,88.0,16424.0
1272,CLARKE COUNTY HOSPITAL (161348),2015,Critical Access,Voluntary non-profit - Other,25.0,41.02571,-93.767533,IA,,,,,48.0,14306.0
1273,VIRGINIA GAY HOSPITAL (161349),2015,Critical Access,Voluntary non-profit - Private,66.0,42.173674,-92.013385,IA,,,,,68.0,15941.0
1274,STEWART MEMORIAL COMMUNITY HOSPITAL (161350),2015,Critical Access,Voluntary non-profit - Private,25.0,42.266888,-94.748857,IA,,,36.0,16817.0,85.0,14827.0
1275,AVERA HOLY FAMILY HOSPITAL (161351),2015,Critical Access,Voluntary non-profit - Church,22.0,43.410596,-94.833956,IA,,,68.0,17674.0,94.0,18666.0
1276,CLARINDA REGIONAL HEALTH CENTER (161352),2015,Critical Access,Government - Local,25.0,40.723116,-95.041406,IA,,,74.0,14214.0,111.0,14971.0
1277,KOSSUTH REGIONAL HEALTH CENTER (161353),2015,Critical Access,Government - Local,25.0,43.056822,-94.227124,IA,,,47.0,14689.0,78.0,13672.0
1278,HORN MEMORIAL HOSPITAL (161354),2015,Critical Access,Voluntary non-profit - Private,25.0,42.339303,-95.45891,IA,,,30.0,16988.0,121.0,17126.0
1279,KNOXVILLE HOSPITAL & CLINICS (161355),2015,Critical Access,Voluntary non-profit - Private,25.0,41.310986,-93.109511,IA,,,26.0,16486.0,130.0,16248.0
1280,HENRY COUNTY HEALTH CENTER (161356),2015,Critical Access,Government - Local,74.0,40.963116,-91.558018,IA,,,32.0,16281.0,101.0,13898.0
1281,PALO ALTO COUNTY HOSPITAL (161357),2015,Critical Access,Government - Local,47.0,43.119191,-94.691343,IA,,,29.0,14480.0,97.0,13974.0
1282,WAYNE COUNTY HOSPITAL (161358),2015,Critical Access,Government - Local,25.0,40.754492,-93.31232,IA,,,30.0,13308.0,74.0,10753.0
1283,BURGESS HEALTH CENTER (161359),2015,Critical Access,Voluntary non-profit - Private,25.0,42.025739,-96.105586,IA,,,69.0,15152.0,187.0,12392.0
1284,ORANGE CITY AREA HEALTH SYSTEM (161360),2015,Critical Access,Voluntary non-profit - Other,36.0,42.994878,-96.045734,IA,,,44.0,14432.0,121.0,12083.0
1285,VAN DIEST MEDICAL CENTER (161361),2015,Critical Access,Government - Local,25.0,42.452963,-93.813485,IA,,,127.0,14335.0,148.0,14668.0
1286,CHEROKEE REGIONAL MEDICAL CENTER (161362),2015,Critical Access,Voluntary non-profit - Private,25.0,42.759282,-95.546962,IA,,,49.0,15234.0,179.0,14538.0
1287,MONTGOMERY COUNTY MEMORIAL HOSPITAL (161363),2015,Critical Access,Government - Local,25.0,41.02654,-95.213919,IA,30.0,20443.0,68.0,15480.0,126.0,15802.0
1288,JEFFERSON COUNTY HEALTH CENTER (161364),2015,Critical Access,Government - Local,25.0,40.985635,-91.963118,IA,,,61.0,15858.0,144.0,16010.0
1289,GREATER REGIONAL MEDICAL CENTER (161365),2015,Critical Access,Government - Local,25.0,41.071214,-94.383744,IA,,,34.0,14399.0,55.0,15313.0
1290,SHENANDOAH MEDICAL CENTER (161366),2015,Critical Access,Voluntary non-profit - Private,25.0,40.753639,-95.369106,IA,,,35.0,14418.0,84.0,14326.0
1291,PELLA REGIONAL HEALTH CENTER (161367),2015,Critical Access,Voluntary non-profit - Other,50.0,41.412337,-92.911667,IA,,,70.0,16118.0,167.0,15957.0
1292,FLOYD VALLEY HOSPITAL (161368),2015,Critical Access,Proprietary,25.0,42.79728,-96.15599,IA,,,63.0,13487.0,130.0,12520.0
1293,CRAWFORD COUNTY MEMORIAL HOSPITAL (161369),2015,Critical Access,Voluntary non-profit - Other,25.0,42.023257,-95.377086,IA,,,38.0,15286.0,67.0,14647.0
1294,LORING HOSPITAL (161370),2015,Critical Access,Voluntary non-profit - Private,25.0,42.418706,-94.977991,IA,,,65.0,15693.0,123.0,13486.0
1295,WINNESHIEK MEDICAL CENTER (161371),2015,Critical Access,Government - Local,25.0,43.294634,-91.771187,IA,29.0,18492.0,58.0,13855.0,117.0,13005.0
1296,BOONE COUNTY HOSPITAL (161372),2015,Critical Access,Government - Local,29.0,42.055583,-93.877037,IA,,,82.0,14704.0,190.0,14096.0
1297,RINGGOLD COUNTY HOSPITAL (161373),2015,Critical Access,Government - Local,16.0,40.71833,-94.223613,IA,,,34.0,12436.0,49.0,11479.0
1298,MYRTUE MEDICAL CENTER (161374),2015,Critical Access,Voluntary non-profit - Other,25.0,41.647473,-95.326202,IA,,,72.0,15318.0,141.0,17731.0
1299,BUENA VISTA REGIONAL MEDICAL CENTER (161375),2015,Critical Access,Government - Local,35.0,42.644356,-95.222008,IA,,,42.0,14237.0,81.0,13238.0
1300,CASS COUNTY MEMORIAL HOSPITAL (161376),2015,Critical Access,Government - Local,29.0,41.401712,-94.992608,IA,,,38.0,15889.0,116.0,17145.0
1301,MERCY MEDICAL CENTER-CENTERVILLE (161377),2015,Critical Access,Voluntary non-profit - Private,44.0,,,IA,,,54.0,15100.0,87.0,13809.0
1302,MAHASKA  HEALTH PARTNERSHIP (161379),2015,Critical Access,Voluntary non-profit - Other,30.0,41.298562,-92.630131,IA,,,66.0,14152.0,153.0,13557.0
1303,HANSEN FAMILY HOSPITAL (161380),2015,Critical Access,Government - Local,21.0,42.500939,-93.262394,IA,,,79.0,16147.0,125.0,15469.0
1304,SANFORD SHELDON MEDICAL CENTER (161381),2015,Critical Access,Voluntary non-profit - Private,89.0,43.186387,-95.847268,IA,,,41.0,15960.0,92.0,13535.0
1305,VIA CHRISTI HOSPITAL PITTSBURG INC (170006),2015,Acute Care,Voluntary non-profit - Private,92.0,37.38153,-94.68385,KS,108.0,21080.0,138.0,15124.0,254.0,14071.0
1306,SAINT JOHN HOSPITAL (170009),2015,Acute Care,Voluntary non-profit - Other,63.0,39.283683,-94.903472,KS,,,59.0,15044.0,75.0,14737.0
1307,MERCY HOSPITAL INDEPENDENCE (170010),2015,Acute Care,Voluntary non-profit - Church,47.0,,,KS,,,54.0,13536.0,88.0,11868.0
1308,SALINA REGIONAL HEALTH CENTER (170012),2015,Acute Care,Voluntary non-profit - Private,205.0,38.833271,-97.610525,KS,182.0,23098.0,139.0,14506.0,343.0,13369.0
1309,HAYS MEDICAL CENTER (170013),2015,Acute Care,Voluntary non-profit - Other,143.0,38.879604,-99.299273,KS,251.0,21361.0,261.0,15820.0,208.0,14822.0
1310,RANSOM MEMORIAL HOSPITAL (170014),2015,Acute Care,Government - Local,46.0,38.597285,-95.268759,KS,,,69.0,15631.0,122.0,14618.0
1311,ST FRANCIS HEALTH CENTER INC (170016),2015,Acute Care,Voluntary non-profit - Church,269.0,39.056107,-95.696692,KS,205.0,26837.0,256.0,16983.0,286.0,14181.0
1312,SUSAN B ALLEN MEMORIAL HOSPITAL (170017),2015,Acute Care,Voluntary non-profit - Private,46.0,37.817438,-96.858795,KS,,,67.0,13386.0,153.0,14527.0
1313,HUTCHINSON REGIONAL MEDICAL CENTER INC (170020),2015,Acute Care,Proprietary,173.0,38.079485,-97.892275,KS,192.0,27300.0,236.0,15621.0,602.0,14755.0
1314,ST CATHERINE HOSPITAL (170023),2015,Acute Care,Voluntary non-profit - Private,98.0,37.968871,-100.868615,KS,48.0,23868.0,72.0,16521.0,134.0,14292.0
1315,PRATT REGIONAL MEDICAL CENTER (170027),2015,Acute Care,Voluntary non-profit - Private,83.0,37.645365,-98.729367,KS,,,60.0,14641.0,125.0,12237.0
1316,SUMNER REGIONAL MEDICAL CENTER (170039),2015,Acute Care,Government - Local,61.0,37.277815,-97.394251,KS,,,,,75.0,12778.0
1317,UNIVERSITY OF KANSAS HOSPITAL (170040),2015,Acute Care,Government - Hospital District or Authority,770.0,39.055395,-94.608229,KS,134.0,22946.0,372.0,16009.0,213.0,14409.0
1318,OLATHE MEDICAL CENTER (170049),2015,Acute Care,Voluntary non-profit - Private,246.0,38.854524,-94.823673,KS,200.0,20359.0,363.0,16422.0,315.0,14345.0
1319,MERCY HOSPITAL-FORT SCOTT (170058),2015,Acute Care,Voluntary non-profit - Church,51.0,,,KS,,,81.0,12499.0,131.0,14512.0
1320,SOUTHWEST MEDICAL CENTER (170068),2015,Acute Care,Government - Local,84.0,37.054216,-100.926569,KS,,,43.0,15302.0,58.0,13136.0
1321,GEARY COMMUNITY HOSPITAL (170074),2015,Acute Care,Government - Local,55.0,39.013979,-96.849798,KS,,,42.0,15307.0,106.0,11743.0
1322,MERCY HOSPITAL (170075),2015,Acute Care,Voluntary non-profit - Church,20.0,38.205072,-97.516996,KS,,,41.0,13371.0,48.0,12218.0
1323,STORMONT-VAIL HEALTHCARE (170086),2015,Acute Care,Voluntary non-profit - Private,422.0,39.051129,-95.695627,KS,356.0,21009.0,643.0,16068.0,529.0,16128.0
1324,COFFEY COUNTY HOSPITAL (170094),2015,Acute Care,Government - Local,102.0,,,KS,,,72.0,12510.0,135.0,12726.0
1325,NEWTON MEDICAL CENTER (170103),2015,Acute Care,Voluntary non-profit - Private,100.0,38.023034,-97.33654,KS,56.0,21285.0,128.0,15784.0,137.0,13360.0
1326,SHAWNEE MISSION MEDICAL CENTER (170104),2015,Acute Care,Voluntary non-profit - Church,370.0,38.995137,-94.69204,KS,173.0,23602.0,542.0,16018.0,529.0,15273.0
1327,MCPHERSON HOSPITAL INC (170105),2015,Acute Care,Voluntary non-profit - Private,37.0,38.379006,-97.672485,KS,,,75.0,13928.0,122.0,12303.0
1328,MIAMI COUNTY MEDICAL CENTER (170109),2015,Acute Care,Government - Hospital District or Authority,18.0,38.568591,-94.850849,KS,,,25.0,14438.0,42.0,12756.0
1329,LABETTE HEALTH (170120),2015,Acute Care,Government - Local,56.0,37.322012,-95.266593,KS,,,84.0,13760.0,101.0,13575.0
1330,"VIA CHRISTI HOSPITALS WICHITA, INC (170122)",2015,Acute Care,Voluntary non-profit - Church,690.0,37.700627,-97.331694,KS,640.0,22953.0,862.0,16286.0,982.0,15298.0
1331,WESLEY MEDICAL CENTER (170123),2015,Acute Care,Proprietary,572.0,37.695489,-97.299058,KS,485.0,20900.0,609.0,16853.0,407.0,15702.0
1332,SAINT LUKE'S CUSHING HOSPITAL (170133),2015,Acute Care,Voluntary non-profit - Private,29.0,39.307773,-94.918355,KS,,,43.0,14454.0,56.0,16200.0
1333,LAWRENCE MEMORIAL HOSPITAL (170137),2015,Acute Care,Government - Local,143.0,38.97815,-95.247649,KS,90.0,21646.0,186.0,15151.0,178.0,13935.0
1334,MERCY REGIONAL HEALTH CENTER (170142),2015,Acute Care,Voluntary non-profit - Church,100.0,39.203114,-96.598186,KS,133.0,20718.0,141.0,16516.0,232.0,15566.0
1335,COFFEYVILLE REGIONAL MEDICAL CENTER (170145),2015,Acute Care,Government - Local,69.0,37.040399,-95.638346,KS,,,124.0,14404.0,278.0,13760.0
1336,PROVIDENCE MEDICAL CENTER (170146),2015,Acute Care,Voluntary non-profit - Church,184.0,39.128582,-94.786329,KS,165.0,22700.0,283.0,15964.0,183.0,15613.0
1337,SOUTH CENTRAL KS  MED CENTER (170150),2015,Acute Care,Government - Local,40.0,37.134534,-97.036568,KS,,,40.0,14684.0,113.0,11303.0
1338,MORTON COUNTY HOSPITAL (170166),2015,Acute Care,Government - Local,31.0,,,KS,,,49.0,13537.0,70.0,11954.0
1339,WESTERN PLAINS MEDICAL COMPLEX (170175),2015,Acute Care,Proprietary,67.0,37.785487,-100.014975,KS,43.0,17945.0,90.0,13904.0,180.0,14568.0
1340,OVERLAND PARK REG MED CTR (170176),2015,Acute Care,Proprietary,270.0,38.937613,-94.723726,KS,72.0,24140.0,183.0,16528.0,115.0,15013.0
1341,MENORAH MEDICAL CENTER (170182),2015,Acute Care,Voluntary non-profit - Other,255.0,38.912835,-94.651473,KS,62.0,20987.0,173.0,17481.0,192.0,13636.0
1342,SAINT LUKE'S SOUTH HOSPITAL (170185),2015,Acute Care,Voluntary non-profit - Other,121.0,38.905583,-94.667847,KS,83.0,21617.0,226.0,14146.0,216.0,14181.0
1343,KANSAS HEART HOSPITAL (170186),2015,Acute Care,Proprietary,46.0,37.749305,-97.226366,KS,265.0,22596.0,197.0,15024.0,,
1344,GREAT BEND REGIONAL HOSPITAL (170191),2015,Acute Care,Proprietary,32.0,38.3562,-98.791619,KS,,,32.0,13836.0,117.0,14690.0
1345,KANSAS MEDICAL CENTER LLC (170197),2015,Acute Care,Proprietary,56.0,37.72324,-97.14648,KS,236.0,22846.0,168.0,17432.0,76.0,13577.0
1346,"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC (170200)",2015,Acute Care,Voluntary non-profit - Church,60.0,37.725045,-97.513786,KS,,,73.0,16355.0,214.0,14249.0
1347,RAWLINS COUNTY HEALTH CENTER (171307),2015,Critical Access,Voluntary non-profit - Other,14.0,39.813264,-101.0385,KS,,,25.0,17266.0,35.0,20026.0
1348,MERCY HOSPITAL COLUMBUS (171308),2015,Critical Access,Voluntary non-profit - Church,17.0,37.172064,-94.843805,KS,,,,,30.0,16543.0
1349,CHEYENNE COUNTY HOSPITAL (171310),2015,Critical Access,Government - Local,16.0,39.771069,-101.803259,KS,,,,,57.0,16170.0
1350,KEARNY COUNTY HOSPITAL (171313),2015,Critical Access,Government - Local,62.0,37.945971,-101.251036,KS,,,,,29.0,15186.0
1351,NEMAHA VALLEY COMMUNITY HOSPITAL (171315),2015,Critical Access,Voluntary non-profit - Private,24.0,39.837849,-96.07789,KS,,,,,67.0,17228.0
1352,ANDERSON COUNTY HOSPITAL (171316),2015,Critical Access,Voluntary non-profit - Private,43.0,38.28012,-95.2493,KS,,,,,44.0,15184.0
1353,SEDAN CITY HOSPITAL (171318),2015,Critical Access,Government - Local,16.0,37.17144,-95.103054,KS,,,,,69.0,15268.0
1354,HOLTON COMMUNITY HOSPITAL (171319),2015,Critical Access,Voluntary non-profit - Private,12.0,39.479464,-95.750908,KS,,,,,59.0,14569.0
1355,MEADE DISTRICT HOSPITAL (171321),2015,Critical Access,Government - Hospital District or Authority,56.0,37.28549,-100.334267,KS,,,34.0,16986.0,56.0,14166.0
1356,HAMILTON COUNTY HOSPITAL (171322),2015,Critical Access,Government - Local,47.0,,,KS,,,,,29.0,16613.0
1357,SATANTA DISTRICT HOSPITAL (171324),2015,Critical Access,Government - Hospital District or Authority,57.0,,,KS,,,,,32.0,17521.0
1358,GRAHAM COUNTY HOSPITAL (171325),2015,Critical Access,Government - Local,19.0,39.371776,-99.845075,KS,,,37.0,15147.0,59.0,13245.0
1359,ELLSWORTH COUNTY MEDICAL CENTER (171327),2015,Critical Access,Government - Local,19.0,38.741969,-98.218892,KS,,,56.0,15206.0,97.0,15037.0
1360,OTTAWA COUNTY HEALTH CENTER (171328),2015,Critical Access,Voluntary non-profit - Other,38.0,39.128797,-97.704255,KS,,,,,48.0,16123.0
1361,HOSPITAL DISTRICT #1 OF RICE COUNTY (171330),2015,Critical Access,Government - Hospital District or Authority,25.0,38.34167,-98.216146,KS,,,,,66.0,15458.0
1362,KIOWA DISTRICT HOSPITAL (171331),2015,Critical Access,Government - Hospital District or Authority,14.0,37.008547,-98.489795,KS,,,,,26.0,12623.0
1363,CLARA BARTON HOSPITAL (171333),2015,Critical Access,Voluntary non-profit - Private,18.0,38.521549,-98.77941,KS,,,,,88.0,13924.0
1364,MEDICINE LODGE MEMORIAL HOSPITAL (171334),2015,Critical Access,Government - Hospital District or Authority,22.0,37.289877,-98.577659,KS,,,,,92.0,12290.0
1365,STEVENS COUNTY HOSPITAL (171335),2015,Critical Access,Government - Local,97.0,37.170808,-101.349755,KS,,,,,50.0,14306.0
1366,NESS COUNTY HOSPITAL DISTRICT #2 (171336),2015,Critical Access,Government - Hospital District or Authority,60.0,38.457811,-99.900932,KS,,,,,48.0,15004.0
1367,WAMEGO HEALTH CENTER (171337),2015,Critical Access,Voluntary non-profit - Other,21.0,39.205511,-96.318193,KS,,,,,40.0,17291.0
1368,SABETHA COMMUNITY HOSPITAL (171338),2015,Critical Access,Voluntary non-profit - Private,17.0,,,KS,,,,,37.0,16620.0
1369,GREENWOOD COUNTY HOSPITAL (171339),2015,Critical Access,Government - Local,25.0,37.835315,-96.29418,KS,,,45.0,16377.0,102.0,15020.0
1370,HERINGTON MUNICIPAL HOSPITAL (171340),2015,Critical Access,Government - Local,21.0,38.679561,-96.942274,KS,,,38.0,15264.0,76.0,13673.0
1371,RUSH COUNTY MEMORIAL HOSPITAL (171342),2015,Critical Access,Government - Local,29.0,38.530597,-99.316572,KS,,,,,32.0,14166.0
1372,WILSON MEDICAL CENTER (171344),2015,Critical Access,Voluntary non-profit - Other,15.0,,,KS,,,,,35.0,17039.0
1373,HOSPITAL DISTRICT #6 OF HARPER COUNTY (171346),2015,Critical Access,Government - Hospital District or Authority,25.0,37.156336,-98.039323,KS,,,,,33.0,16446.0
1374,SHERIDAN COUNTY HOSPITAL (171347),2015,Critical Access,Government - Local,52.0,39.354188,-100.432735,KS,,,,,40.0,15874.0
1375,CLOUD COUNTY HEALTH CENTER (171349),2015,Critical Access,Voluntary non-profit - Private,22.0,39.565974,-97.672517,KS,,,72.0,13646.0,109.0,14213.0
1376,RUSSELL REGIONAL HOSPITAL (171350),2015,Critical Access,Voluntary non-profit - Private,42.0,38.883262,-98.859836,KS,,,,,55.0,14887.0
1377,WASHINGTON COUNTY HOSPITAL (171351),2015,Critical Access,Government - Local,25.0,39.817478,-97.045572,KS,,,,,57.0,12686.0
1378,DECATUR COUNTY HOSPITAL (171352),2015,Critical Access,Government - Local,36.0,39.816212,-100.53925,KS,,,,,60.0,16758.0
1379,PHILLIPS COUNTY HEALTH SYSTEMS (171353),2015,Critical Access,Government - Local,25.0,39.755885,-99.313576,KS,,,,,46.0,20309.0
1380,"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS (171354)",2015,Critical Access,Voluntary non-profit - Private,25.0,39.495155,-96.170861,KS,,,40.0,14444.0,119.0,16954.0
1381,TREGO COUNTY LEMKE MEMORIAL HOSPITAL (171355),2015,Critical Access,Government - Local,62.0,39.027219,-99.87162,KS,,,40.0,14871.0,172.0,15687.0
1382,ST LUKE HOSPITAL & LIVING CENTER (171356),2015,Critical Access,Government - Hospital District or Authority,42.0,38.342708,-97.010014,KS,,,,,32.0,15225.0
1383,HILLSBORO COMMUNITY HOSPITAL (171357),2015,Critical Access,Proprietary,16.0,38.361495,-97.187589,KS,,,,,26.0,17872.0
1384,LINDSBORG COMMUNITY HOSPITAL (171358),2015,Critical Access,Voluntary non-profit - Private,22.0,38.573435,-97.68359,KS,,,,,49.0,15256.0
1385,GREELEY COUNTY HEALTH SERVICES (171359),2015,Critical Access,Government - Local,826.0,38.470477,-101.749762,KS,,,,,39.0,17063.0
1386,LINCOLN COUNTY HOSPITAL (171360),2015,Critical Access,Government - Local,10.0,39.045175,-98.14437,KS,,,,,57.0,20238.0
1387,REPUBLIC COUNTY HOSPITAL (171361),2015,Critical Access,Voluntary non-profit - Private,50.0,39.818087,-97.636926,KS,,,42.0,15490.0,122.0,14674.0
1388,CITIZENS MEDICAL CENTER (171362),2015,Critical Access,Voluntary non-profit - Private,82.0,39.379755,-101.045049,KS,,,30.0,17388.0,62.0,17001.0
1389,HARPER HOSPITAL DISTRICT NO 5 (171366),2015,Critical Access,Government - Hospital District or Authority,25.0,,,KS,,,34.0,14128.0,72.0,12020.0
1390,GOVE COUNTY MEDICAL CENTER (171367),2015,Critical Access,Voluntary non-profit - Other,64.0,39.067161,-100.241311,KS,,,34.0,15196.0,97.0,16790.0
1391,MINNEOLA DISTRICT HOSPITAL #2 (171368),2015,Critical Access,Government - Hospital District or Authority,52.0,37.441504,-100.013812,KS,,,25.0,15372.0,81.0,14883.0
1392,GOODLAND REGIONAL MEDICAL CENTER (171370),2015,Critical Access,Government - Local,21.0,39.35759,-101.713256,KS,,,,,52.0,16380.0
1393,CLAY COUNTY MEDICAL CENTER (171371),2015,Critical Access,Government - Local,19.0,39.391681,-97.124196,KS,,,48.0,16612.0,135.0,17781.0
1394,SCOTT COUNTY HOSPITAL (171372),2015,Critical Access,Voluntary non-profit - Private,25.0,38.48487,-100.9035,KS,,,35.0,17245.0,61.0,15235.0
1395,ALLEN COUNTY REGIONAL HOSPITAL (171373),2015,Critical Access,Proprietary,25.0,37.950342,-95.390674,KS,,,41.0,15061.0,81.0,14525.0
1396,FREDONIA REGIONAL HOSPITAL (171374),2015,Critical Access,Government - Local,31.0,37.533641,-95.814816,KS,,,30.0,14898.0,117.0,13804.0
1397,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS (171375),2015,Critical Access,Government - Local,68.0,39.466499,-98.114235,KS,,,77.0,13739.0,165.0,13398.0
1398,GIRARD MEDICAL CENTER (171376),2015,Critical Access,Government - Hospital District or Authority,32.0,37.513852,-94.858541,KS,,,47.0,15093.0,85.0,15640.0
1399,SMITH COUNTY MEMORIAL HOSPITAL (171377),2015,Critical Access,Government - Local,34.0,39.785249,-98.772768,KS,,,35.0,15190.0,65.0,13266.0
1400,KINGMAN COMMUNITY HOSPITAL (171378),2015,Critical Access,Voluntary non-profit - Private,25.0,37.646734,-98.123552,KS,,,,,75.0,16801.0
1401,MORRIS COUNTY HOSPITAL (171379),2015,Critical Access,Government - Local,24.0,38.665115,-96.500129,KS,,,52.0,14001.0,67.0,13556.0
1402,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER (171380),2015,Critical Access,Government - Local,22.0,37.67518,-95.470896,KS,,,89.0,15216.0,271.0,14449.0
1403,MEMORIAL HOSPITAL (171381),2015,Critical Access,Government - Hospital District or Authority,106.0,38.924961,-97.206483,KS,,,57.0,15642.0,104.0,14675.0
1404,ATCHISON HOSPITAL (171382),2015,Critical Access,Voluntary non-profit - Private,25.0,,,KS,,,45.0,15139.0,95.0,12367.0
1405,WILLIAM NEWTON HOSPITAL (171383),2015,Critical Access,Government - Local,22.0,37.244649,-96.98247,KS,,,32.0,12587.0,108.0,12833.0
1406,NEWMAN REGIONAL HEALTH (171384),2015,Critical Access,Government - Local,30.0,38.412305,-96.195024,KS,42.0,19164.0,107.0,14107.0,179.0,13742.0
1407,ST ELIZABETH FT THOMAS (180001),2015,Acute Care,Voluntary non-profit - Private,160.0,39.078281,-84.464654,KY,91.0,20576.0,272.0,14736.0,270.0,14312.0
1408,WHITESBURG ARH HOSPITAL (180002),2015,Acute Care,Voluntary non-profit - Other,87.0,37.11182,-82.813612,KY,,,196.0,13080.0,260.0,12322.0
1409,MUHLENBERG COMMUNITY HOSPITAL (180004),2015,Acute Care,Voluntary non-profit - Private,97.0,37.196925,-87.189639,KY,,,75.0,13364.0,212.0,12952.0
1410,HIGHLANDS REGIONAL MEDICAL CENTER (180005),2015,Acute Care,Proprietary,148.0,37.71054,-82.77025,KY,60.0,23290.0,167.0,13668.0,272.0,12092.0
1411,KING'S DAUGHTERS' MEDICAL CENTER (180009),2015,Acute Care,Voluntary non-profit - Private,444.0,38.470401,-82.635916,KY,446.0,22687.0,682.0,15957.0,786.0,14992.0
1412,SAINT JOSEPH HOSPITAL (180010),2015,Acute Care,Voluntary non-profit - Church,265.0,,,KY,444.0,25033.0,627.0,16819.0,697.0,15434.0
1413,SAINT JOSEPH LONDON (180011),2015,Acute Care,Voluntary non-profit - Private,144.0,37.118553,-84.106349,KY,295.0,20432.0,379.0,15706.0,268.0,13033.0
1414,HARDIN MEMORIAL HOSPITAL (180012),2015,Acute Care,Government - Local,297.0,37.709917,-85.875048,KY,340.0,19889.0,688.0,14006.0,860.0,13780.0
1415,THE MEDICAL CENTER AT BOWLING GREEN (180013),2015,Acute Care,Voluntary non-profit - Private,314.0,36.996366,-86.430232,KY,648.0,22656.0,663.0,16863.0,597.0,15192.0
1416,JEWISH HOSPITAL - SHELBYVILLE (180016),2015,Acute Care,Voluntary non-profit - Private,33.0,38.208808,-85.236145,KY,35.0,24860.0,105.0,16614.0,139.0,15413.0
1417,T J SAMSON COMMUNITY HOSPITAL (180017),2015,Acute Care,Voluntary non-profit - Other,136.0,37.011566,-85.903862,KY,205.0,21093.0,242.0,15253.0,291.0,15129.0
1418,ST CLAIRE REGIONAL MEDICAL CENTER (180018),2015,Acute Care,Government - Federal,128.0,38.180016,-83.442454,KY,117.0,21075.0,174.0,14808.0,257.0,12746.0
1419,MEADOWVIEW REGIONAL MEDICAL CENTER (180019),2015,Acute Care,Proprietary,100.0,38.639572,-83.808804,KY,86.0,22862.0,114.0,15241.0,178.0,13882.0
1420,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT (180020),2015,Acute Care,Voluntary non-profit - Private,66.0,36.605199,-83.740056,KY,29.0,19411.0,187.0,12283.0,184.0,12290.0
