,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for hip/knee replacement patients (Denominator),Payment for hip/knee replacement patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
329,LAC/HARBOR-UCLA MED CENTER (050376),2023,Acute Care,Government - Local,433.0,33.831583,-118.294546,CA,45.0,25601.0,57.0,16715.0,,,49.0,18505.0
330,GOOD SAMARITAN HOSPITAL (050380),2023,Acute Care,Proprietary,357.0,37.251104,-121.946563,CA,211.0,27777.0,465.0,20784.0,174.0,19954.0,368.0,21677.0
331,EMANATE HEALTH INTER-COMMUNITY HOSPITAL (050382),2023,Acute Care,Proprietary,491.0,34.089947,-117.893666,CA,111.0,30829.0,191.0,21552.0,76.0,22539.0,357.0,28242.0
332,HEMET GLOBAL MEDICAL CENTER (050390),2023,Acute Care,Government - State,359.0,33.75122,-116.959859,CA,,,94.0,18831.0,,,126.0,21534.0
333,PIH HEALTH DOWNEY HOSPITAL (050393),2023,Acute Care,Voluntary non-profit - Private,192.0,33.935563,-118.131703,CA,47.0,25696.0,119.0,18085.0,42.0,21881.0,103.0,22005.0
334,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA (050394),2023,Acute Care,Voluntary non-profit - Private,216.0,34.274184,-119.257238,CA,98.0,31223.0,183.0,19092.0,136.0,18948.0,138.0,22242.0
335,SANTA BARBARA COTTAGE HOSPITAL (050396),2023,Acute Care,Voluntary non-profit - Private,377.0,34.429483,-119.723077,CA,209.0,28255.0,414.0,18894.0,179.0,23460.0,335.0,21290.0
336,CHINESE HOSPITAL (050407),2023,Acute Care,Voluntary non-profit - Private,64.0,37.795695,-122.40925,CA,,,68.0,17817.0,,,69.0,20069.0
337,MERCY HOSPITAL OF FOLSOM (050414),2023,Acute Care,Voluntary non-profit - Private,106.0,38.671125,-121.145833,CA,27.0,23689.0,224.0,17002.0,86.0,20390.0,155.0,20663.0
338,SUTTER COAST HOSPITAL (050417),2023,Acute Care,Government - Hospital District or Authority,49.0,41.772698,-124.194144,CA,,,72.0,16951.0,38.0,24956.0,128.0,19159.0
339,SCRIPPS GREEN HOSPITAL (050424),2023,Acute Care,Voluntary non-profit - Private,161.0,32.897124,-117.241854,CA,,,60.0,19506.0,639.0,18644.0,89.0,18505.0
340,KAISER FOUNDATION HOSPITAL - SACRAMENTO (050425),2023,Acute Care,Voluntary non-profit - Private,281.0,38.602162,-121.392238,CA,,,,,,,30.0,19149.0
341,WEST ANAHEIM MEDICAL CENTER (050426),2023,Acute Care,Proprietary,215.0,33.824735,-117.995115,CA,45.0,27496.0,106.0,19283.0,,,250.0,25592.0
342,HUNTINGTON HOSPITAL (050438),2023,Acute Care,Voluntary non-profit - Private,558.0,34.135761,-118.151803,CA,107.0,27655.0,306.0,18389.0,234.0,21977.0,442.0,21325.0
343,STANFORD HEALTH CARE (050441),2023,Acute Care,Voluntary non-profit - Private,500.0,37.433138,-122.176664,CA,207.0,27213.0,506.0,19868.0,545.0,21554.0,392.0,21090.0
344,MERCY MEDICAL CENTER (050444),2023,Acute Care,Voluntary non-profit - Private,186.0,37.340122,-120.465214,CA,66.0,26102.0,391.0,17788.0,61.0,24096.0,452.0,19411.0
345,UCSF MEDICAL CENTER (050454),2023,Acute Care,Voluntary non-profit - Other,739.0,37.763553,-122.457654,CA,111.0,28121.0,401.0,18406.0,387.0,20525.0,335.0,20696.0
346,ADVENTIST HEALTH BAKERSFIELD (050455),2023,Acute Care,Voluntary non-profit - Private,256.0,35.383056,-119.018857,CA,122.0,25924.0,165.0,17794.0,31.0,19710.0,227.0,21073.0
347,ST MARY'S MEDICAL CENTER (050457),2023,Acute Care,Voluntary non-profit - Private,182.0,37.77384,-122.454495,CA,39.0,29478.0,157.0,18586.0,107.0,20408.0,79.0,19628.0
348,DOCTORS MEDICAL CENTER (050464),2023,Acute Care,Proprietary,445.0,37.665666,-120.99625,CA,194.0,29171.0,272.0,17288.0,,,275.0,19724.0
349,MEMORIAL HOSPITAL OF GARDENA (050468),2023,Acute Care,Proprietary,172.0,33.892375,-118.295106,CA,,,57.0,20024.0,,,130.0,24279.0
350,PIH HEALTH GOOD SAMARITAN HOSPITAL (050471),2023,Acute Care,Proprietary,327.0,34.053209,-118.265292,CA,79.0,30352.0,233.0,21581.0,52.0,25930.0,169.0,23691.0
351,WEST HILLS HOSPITAL & MEDICAL CENTER (050481),2023,Acute Care,Proprietary,225.0,34.202931,-118.628598,CA,121.0,28767.0,219.0,18798.0,98.0,22631.0,273.0,22882.0
352,MEMORIALCARE LONG BEACH MEDICAL CENTER (050485),2023,Acute Care,Voluntary non-profit - Other,457.0,33.807107,-118.185098,CA,95.0,29782.0,208.0,21091.0,89.0,23342.0,159.0,23507.0
353,EDEN MEDICAL CENTER (050488),2023,Acute Care,Voluntary non-profit - Other,152.0,,,CA,54.0,29654.0,232.0,19561.0,101.0,22243.0,153.0,22175.0
354,CLOVIS COMMUNITY MEDICAL CENTER (050492),2023,Acute Care,Voluntary non-profit - Private,189.0,36.837421,-119.661626,CA,109.0,28755.0,321.0,20590.0,41.0,24524.0,408.0,19464.0
355,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS (050496),2023,Acute Care,Voluntary non-profit - Private,256.0,37.98296,-122.034236,CA,159.0,32170.0,405.0,18727.0,484.0,19292.0,210.0,20042.0
356,SUTTER AUBURN FAITH HOSPITAL (050498),2023,Acute Care,Voluntary non-profit - Other,67.0,38.944317,-121.099423,CA,,,107.0,17887.0,130.0,20917.0,106.0,20186.0
357,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS (050503),2023,Acute Care,Voluntary non-profit - Private,178.0,33.036272,-117.284237,CA,117.0,27202.0,362.0,19107.0,118.0,21460.0,295.0,19834.0
358,TENET HEALTH CENTRAL COAST SIERRA VISTA RMC (050506),2023,Acute Care,Proprietary,161.0,35.290966,-120.666174,CA,,,51.0,17110.0,51.0,21915.0,104.0,20122.0
359,MERCY SAN JUAN MEDICAL CENTER (050516),2023,Acute Care,Voluntary non-profit - Other,371.0,38.668048,-121.312964,CA,180.0,27119.0,331.0,17359.0,60.0,21030.0,254.0,19054.0
360,VICTOR VALLEY GLOBAL MEDICAL CENTER (050517),2023,Acute Care,Voluntary non-profit - Private,101.0,34.52897,-117.292518,CA,,,26.0,18955.0,64.0,21884.0,76.0,21327.0
361,SUTTER DELTA MEDICAL CENTER (050523),2023,Acute Care,Voluntary non-profit - Private,138.0,37.982295,-121.804681,CA,96.0,27342.0,273.0,18091.0,,,120.0,22293.0
362,HUNTINGTON BEACH HOSPITAL (050526),2023,Acute Care,Proprietary,131.0,33.703889,-117.989065,CA,,,46.0,20898.0,,,95.0,25212.0
363,MEMORIAL HOSPITAL LOS BANOS (050528),2023,Acute Care,Voluntary non-profit - Private,40.0,37.063431,-120.859407,CA,,,38.0,18018.0,,,38.0,19104.0
364,JOHN F KENNEDY MEMORIAL HOSPITAL (050534),2023,Acute Care,Proprietary,135.0,33.706359,-116.233881,CA,44.0,26331.0,61.0,18312.0,,,64.0,20276.0
365,SUTTER DAVIS HOSPITAL (050537),2023,Acute Care,Proprietary,48.0,38.562923,-121.772522,CA,,,91.0,16583.0,28.0,22264.0,53.0,18520.0
366,LOS ROBLES HOSPITAL & MEDICAL CENTER (050549),2023,Acute Care,Proprietary,329.0,34.206398,-118.882624,CA,234.0,26099.0,448.0,20540.0,811.0,20151.0,535.0,21714.0
367,LOS ALAMITOS MEDICAL CENTER (050551),2023,Acute Care,Proprietary,163.0,33.803175,-118.067413,CA,106.0,28258.0,180.0,20127.0,,,211.0,21961.0
368,MEMORIAL MEDICAL CENTER (050557),2023,Acute Care,Voluntary non-profit - Private,419.0,37.668701,-120.975674,CA,151.0,27494.0,405.0,18316.0,155.0,19615.0,286.0,19716.0
369,PROVIDENCE MISSION HOSPITAL (050567),2023,Acute Care,Voluntary non-profit - Private,1044.0,,,CA,188.0,27818.0,308.0,19579.0,85.0,20310.0,409.0,22204.0
370,MADERA COMMUNITY HOSPITAL (050568),2023,Acute Care,Voluntary non-profit - Other,106.0,36.945427,-120.045467,CA,26.0,24950.0,80.0,17737.0,,,59.0,19068.0
371,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER (050570),2023,Acute Care,Proprietary,400.0,33.715435,-117.937012,CA,102.0,32761.0,218.0,21621.0,40.0,24968.0,248.0,23740.0
372,EISENHOWER MEDICAL CENTER (050573),2023,Acute Care,Proprietary,370.0,33.764852,-116.408085,CA,263.0,28244.0,646.0,19839.0,832.0,20297.0,597.0,20058.0
373,LA PALMA INTERCOMMUNITY HOSPITAL (050580),2023,Acute Care,Proprietary,140.0,33.847585,-118.03725,CA,,,49.0,20143.0,,,115.0,24640.0
374,LAKEWOOD REGIONAL MEDICAL CENTER (050581),2023,Acute Care,Proprietary,170.0,33.860223,-118.148749,CA,57.0,27356.0,129.0,20080.0,33.0,23854.0,117.0,22619.0
375,CHINO VALLEY MEDICAL CENTER (050586),2023,Acute Care,Proprietary,120.0,34.026351,-117.685988,CA,,,40.0,18849.0,,,71.0,20043.0
376,SAN DIMAS COMMUNITY HOSPITAL (050588),2023,Acute Care,Proprietary,77.0,34.099423,-117.835006,CA,,,34.0,19082.0,,,137.0,24639.0
377,PLACENTIA LINDA HOSPITAL (050589),2023,Acute Care,Proprietary,114.0,33.886612,-117.842096,CA,25.0,28975.0,48.0,18250.0,25.0,20861.0,99.0,21773.0
378,METHODIST HOSPITAL OF SACRAMENTO (050590),2023,Acute Care,Voluntary non-profit - Other,320.0,38.464232,-121.416333,CA,29.0,26156.0,160.0,16692.0,,,125.0,21220.0
379,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL (050597),2023,Acute Care,Voluntary non-profit - Private,105.0,34.133196,-117.872534,CA,28.0,29098.0,80.0,20152.0,,,147.0,27161.0
380,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER (050599),2023,Acute Care,Voluntary non-profit - Other,598.0,38.554375,-121.457535,CA,101.0,26515.0,491.0,19120.0,121.0,21588.0,222.0,19972.0
381,MEMORIALCARE SADDLEBACK MEDICAL CENTER (050603),2023,Acute Care,Voluntary non-profit - Private,281.0,33.607762,-117.708258,CA,101.0,28659.0,225.0,20295.0,,,182.0,22903.0
382,KAISER FOUNDATION HOSPITAL-SAN JOSE (050604),2023,Acute Care,Voluntary non-profit - Other,237.0,37.239327,-121.802084,CA,,,27.0,17182.0,,,,
383,ADVENTIST HEALTH DELANO (050608),2023,Acute Care,Proprietary,156.0,35.761418,-119.238878,CA,,,45.0,17631.0,,,64.0,21130.0
384,HENRY MAYO NEWHALL  HOSPITAL (050624),2023,Acute Care,Voluntary non-profit - Private,267.0,34.396342,-118.553143,CA,102.0,27759.0,232.0,19698.0,,,255.0,21468.0
385,CEDARS-SINAI MEDICAL CENTER (050625),2023,Acute Care,Voluntary non-profit - Other,894.0,34.075496,-118.380122,CA,413.0,32807.0,1474.0,23101.0,635.0,22821.0,1028.0,23620.0
386,TENET HEALTH CENTRAL TWIN CITIES COMMUNITY HOSP (050633),2023,Acute Care,Proprietary,122.0,35.554389,-120.72013,CA,,,149.0,16724.0,89.0,22494.0,188.0,17850.0
387,PALOMAR MEDICAL CENTER POWAY (050636),2023,Acute Care,Government - Hospital District or Authority,236.0,32.996802,-117.057852,CA,,,101.0,20148.0,,,151.0,20664.0
388,EAST LOS ANGELES DOCTORS HOSPITAL (050641),2023,Acute Care,Proprietary,127.0,34.02393,-118.184285,CA,,,25.0,18528.0,,,35.0,23014.0
389,LOS ANGELES COMMUNITY HOSPITAL (050663),2023,Acute Care,Proprietary,251.0,34.018874,-118.186461,CA,,,53.0,21966.0,,,218.0,27030.0
390,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER (050668),2023,Acute Care,Voluntary non-profit - Other,780.0,37.747824,-122.458636,CA,,,,,,,33.0,19605.0
391,KAISER FOUNDATION HOSP SO SACRAMENTO (050674),2023,Acute Care,Voluntary non-profit - Other,222.0,38.471647,-121.423802,CA,40.0,26385.0,43.0,18470.0,,,31.0,21154.0
392,MEMORIALCARE ORANGE COAST MEDICAL CENTER (050678),2023,Acute Care,Proprietary,219.0,33.701659,-117.956107,CA,116.0,29560.0,177.0,19748.0,33.0,20858.0,188.0,23029.0
393,MENIFEE GLOBAL MEDICAL CENTER (050684),2023,Acute Care,Government - Hospital District or Authority,84.0,33.718344,-117.166468,CA,,,27.0,20782.0,,,41.0,20425.0
394,SAN RAMON REGIONAL MEDICAL CENTER (050689),2023,Acute Care,Proprietary,123.0,37.775988,-121.959274,CA,45.0,28633.0,146.0,19160.0,87.0,21645.0,153.0,23138.0
395,KECK HOSPITAL OF USC (050696),2023,Acute Care,Voluntary non-profit - Other,334.0,34.062168,-118.203234,CA,,,125.0,22256.0,136.0,22702.0,40.0,20473.0
396,SOUTHWEST HEALTHCARE SYSTEM (050701),2023,Acute Care,Proprietary,241.0,33.557832,-117.184346,CA,28.0,26763.0,120.0,20054.0,39.0,21325.0,158.0,19453.0
397,MISSION COMMUNITY HOSPITAL (050704),2023,Acute Care,Voluntary non-profit - Private,141.0,34.221494,-118.456802,CA,,,75.0,20002.0,86.0,23992.0,237.0,24884.0
398,FRESNO SURGICAL HOSPITAL (050708),2023,Acute Care,Proprietary,28.0,36.824644,-119.781416,CA,,,,,534.0,18862.0,,
399,DESERT VALLEY HOSPITAL (050709),2023,Acute Care,Proprietary,142.0,34.470911,-117.297099,CA,79.0,25722.0,151.0,17951.0,26.0,21014.0,142.0,20256.0
400,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ (050714),2023,Acute Care,Voluntary non-profit - Private,30.0,36.987865,-121.97818,CA,,,,,44.0,21089.0,,
401,BAKERSFIELD HEART HOSPITAL (050724),2023,Acute Care,Proprietary,47.0,35.386106,-119.040847,CA,119.0,28026.0,200.0,19502.0,33.0,19674.0,125.0,20241.0
402,STANISLAUS SURGICAL HOSPITAL (050726),2023,Acute Care,Proprietary,23.0,37.664558,-120.957516,CA,,,,,287.0,18225.0,,
403,WHITTIER HOSPITAL MEDICAL CENTER (050735),2023,Acute Care,Proprietary,178.0,33.950748,-118.005114,CA,,,57.0,21552.0,,,75.0,25786.0
404,MONTEREY PARK HOSPITAL (050736),2023,Acute Care,Proprietary,101.0,34.049769,-118.138751,CA,,,34.0,18357.0,,,41.0,20635.0
405,GARFIELD MEDICAL CENTER (050737),2023,Acute Care,Proprietary,210.0,34.067864,-118.122906,CA,66.0,27377.0,139.0,21300.0,,,225.0,25738.0
406,GREATER EL MONTE COMMUNITY HOSPITAL (050738),2023,Acute Care,Voluntary non-profit - Private,118.0,34.048705,-118.042452,CA,,,,,,,92.0,26507.0
407,CENTINELA HOSPITAL MEDICAL CENTER (050739),2023,Acute Care,Proprietary,349.0,33.949086,-118.348214,CA,74.0,29172.0,250.0,19072.0,,,246.0,26895.0
408,CEDAR-SINAI MARINA DEL REY HOSPITAL (050740),2023,Acute Care,Proprietary,98.0,33.981732,-118.440154,CA,,,105.0,19933.0,60.0,24667.0,161.0,23869.0
409,OLYMPIA MEDICAL CENTER (050742),2023,Acute Care,Proprietary,204.0,34.057527,-118.359857,CA,,,44.0,20547.0,,,100.0,24439.0
410,ANAHEIM GLOBAL MEDICAL CENTER (050744),2023,Acute Care,Proprietary,185.0,33.820566,-117.909002,CA,,,,,,,36.0,21074.0
411,CHAPMAN GLOBAL MEDICAL CENTER (050745),2023,Acute Care,Proprietary,112.0,33.787878,-117.827058,CA,,,,,43.0,24580.0,40.0,22536.0
412,ORANGE COUNTY GLOBAL MEDICAL CENTER (050746),2023,Acute Care,Proprietary,246.0,33.753636,-117.834209,CA,25.0,27156.0,40.0,19075.0,,,82.0,24865.0
413,COASTAL COMMUNITIES HOSPITAL (050747),2023,Acute Care,Proprietary,177.0,33.710692,-117.88541,CA,,,,,,,42.0,24029.0
414,SHERMAN OAKS HOSPITAL (050755),2023,Acute Care,Voluntary non-profit - Private,150.0,34.15981,-118.448705,CA,53.0,27893.0,132.0,21395.0,,,197.0,22730.0
415,ALVARADO HOSPITAL MEDICAL CENTER (050757),2023,Acute Care,Government - Federal,300.0,32.777136,-117.056602,CA,52.0,27313.0,82.0,20347.0,52.0,21094.0,140.0,23709.0
416,MONTCLAIR HOSPITAL MEDICAL CENTER (050758),2023,Acute Care,Voluntary non-profit - Private,103.0,34.077662,-117.696098,CA,,,,,,,84.0,22559.0
417,PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER (050761),2023,Acute Care,Voluntary non-profit - Private,244.0,34.169777,-118.53183,CA,100.0,28365.0,384.0,20262.0,27.0,20067.0,203.0,21056.0
418,L A DOWNTOWN MEDICAL CENTER (050763),2023,Acute Care,Proprietary,218.0,34.06879,-118.26356,CA,,,34.0,20690.0,,,256.0,26230.0
419,SHASTA REGIONAL MEDICAL CENTER (050764),2023,Acute Care,Proprietary,219.0,40.585376,-122.386683,CA,162.0,26577.0,294.0,18327.0,210.0,19593.0,335.0,20468.0
420,SUTTER SURGICAL HOSPITAL - NORTH VALLEY (050766),2023,Acute Care,Physician,14.0,39.132167,-121.613603,CA,,,,,117.0,20579.0,,
421,HOAG ORTHOPEDIC INSTITUTE (050769),2023,Acute Care,Proprietary,70.0,33.66095,-117.774478,CA,,,,,1065.0,19673.0,,
422,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA (050770),2023,Acute Care,Proprietary,108.0,33.613435,-117.168923,CA,133.0,25734.0,178.0,21628.0,,,146.0,20573.0
423,COAST PLAZA HOSPITAL (050771),2023,Acute Care,Proprietary,116.0,33.912428,-118.099156,CA,,,50.0,20340.0,,,101.0,24157.0
424,TEMECULA VALLEY HOSPITAL (050775),2023,Acute Care,Proprietary,140.0,33.47929,-117.105744,CA,117.0,27728.0,253.0,19640.0,112.0,20899.0,173.0,21705.0
425,COLLEGE MEDICAL CENTER (050776),2023,Acute Care,Proprietary,213.0,33.807201,-118.193721,CA,,,26.0,19483.0,,,51.0,22201.0
426,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL (050779)",2023,Acute Care,Voluntary non-profit - Private,131.0,33.924361,-118.244331,CA,,,80.0,19338.0,,,56.0,19433.0
427,FOOTHILL REGIONAL MEDICAL CENTER (050780),2023,Acute Care,Proprietary,170.0,33.730773,-117.829485,CA,,,26.0,21818.0,,,111.0,27197.0
428,CASA COLINA HOSPITAL (050782),2023,Acute Care,Voluntary non-profit - Private,99.0,34.096242,-117.746861,CA,,,,,91.0,20676.0,30.0,23293.0
429,COLUSA MEDICAL CENTER (050783),2023,Acute Care,Proprietary,50.0,39.207286,-121.999974,CA,,,43.0,18721.0,,,59.0,20568.0
430,ADVENTIST HEALTH TULARE (050784),2023,Acute Care,Voluntary non-profit - Private,80.0,36.220283,-119.337669,CA,,,44.0,18257.0,,,60.0,20695.0
431,DOCS SURGICAL HOSPITAL (050785),2023,Acute Care,Physician,17.0,34.057352,-118.361983,CA,,,,,110.0,18303.0,,
432,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS (051300),2023,Critical Access,Government - Hospital District or Authority,75.0,39.806144,-120.463129,CA,,,,,,,32.0,18940.0
433,ADVENTIST HEALTH TEHACHAPI VALLEY (051301),2023,Critical Access,Government - Hospital District or Authority,25.0,,,CA,,,39.0,17255.0,,,34.0,23853.0
434,MAMMOTH HOSPITAL (051303),2023,Critical Access,Government - Hospital District or Authority,17.0,37.645071,-118.963911,CA,,,,,78.0,19658.0,,
435,JOHN C FREMONT HEALTHCARE DISTRICT (051304),2023,Critical Access,Government - Hospital District or Authority,35.0,37.500531,-119.976948,CA,,,40.0,17150.0,,,29.0,18854.0
436,MAYERS MEMORIAL HOSPITAL (051305),2023,Critical Access,Government - Hospital District or Authority,120.0,41.023968,-121.424651,CA,,,,,,,26.0,17299.0
437,GLENN MEDICAL CENTER (051306),2023,Critical Access,Voluntary non-profit - Private,16.0,39.520467,-122.20812,CA,,,,,,,25.0,22442.0
438,ADVENTIST HEALTH HOWARD MEMORIAL (051310),2023,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,,,34.0,21608.0,300.0,17614.0,76.0,18854.0
439,ORCHARD HOSPITAL (051311),2023,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,,,,,,,25.0,19495.0
440,FAIRCHILD MEDICAL CENTER (051316),2023,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,,,45.0,17360.0,54.0,20623.0,43.0,17647.0
441,ADVENTIST HEALTH CLEARLAKE (051317),2023,Critical Access,Voluntary non-profit - Church,25.0,,,CA,,,60.0,17191.0,,,85.0,21554.0
442,PROVIDENCE REDWOOD MEMORIAL HOSPITAL (051318),2023,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,,,60.0,17251.0,,,44.0,22526.0
443,MERCY MEDICAL CENTER OF MT SHASTA (051319),2023,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,,,31.0,17894.0,,,59.0,19175.0
444,BANNER LASSEN MEDICAL CENTER (051320),2023,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,,,41.0,17151.0,,,62.0,19083.0
445,HEALDSBURG HOSPITAL (051321),2023,Critical Access,Government - Hospital District or Authority,42.0,38.626583,-122.863741,CA,,,,,33.0,21866.0,38.0,21887.0
446,NORTHERN INYO HOSPITAL (051324),2023,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,,,25.0,18538.0,,,34.0,21920.0
447,MENDOCINO COAST DISTRICT HOSPITAL (051325),2023,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,,,42.0,20078.0,,,50.0,19984.0
448,TAHOE FOREST HOSPITAL (051328),2023,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,,,40.0,19644.0,81.0,21421.0,37.0,20403.0
449,SUTTER LAKESIDE HOSPITAL (051329),2023,Critical Access,Voluntary non-profit - Private,25.0,39.105175,-122.908238,CA,,,90.0,20837.0,,,70.0,20119.0
450,MODOC MEDICAL CENTER (051330),2023,Critical Access,Government - Hospital District or Authority,82.0,41.479949,-120.545503,CA,,,,,,,32.0,17159.0
451,MARK TWAIN MEDICAL CENTER (051332),2023,Critical Access,Voluntary non-profit - Other,25.0,38.190973,-120.670661,CA,,,54.0,17077.0,32.0,22434.0,67.0,19409.0
452,BANNER NORTH COLORADO MEDICAL CENTER (060001),2023,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,107.0,24720.0,159.0,18856.0,34.0,22642.0,135.0,21508.0
453,CENTURA LONGMONT UNITED HOSPITAL (060003),2023,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,28.0,27276.0,60.0,17297.0,32.0,20774.0,92.0,20155.0
454,PLATTE VALLEY MEDICAL CENTER (060004),2023,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,,,60.0,18892.0,26.0,20889.0,46.0,18588.0
455,MONTROSE REGIONAL HEALTH (060006),2023,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,56.0,25089.0,52.0,16966.0,44.0,21084.0,44.0,19930.0
456,SAN LUIS VALLEY REGIONAL  MEDICAL CENTER (060008),2023,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,,,26.0,16974.0,72.0,23714.0,48.0,19900.0
457,LUTHERAN MEDICAL CENTER (060009),2023,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,87.0,25647.0,205.0,18626.0,,,165.0,19926.0
458,POUDRE VALLEY HOSPITAL (060010),2023,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,71.0,26703.0,233.0,17113.0,767.0,18780.0,258.0,19371.0
459,DENVER HEALTH & HOSPITAL AUTHORITY (060011),2023,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,,,46.0,17321.0,,,25.0,20196.0
460,"ST MARY CORWIN MED CTR, CENTURA HEALTH (060012)",2023,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,,,35.0,17663.0,69.0,21113.0,,
461,MERCY REGIONAL MEDICAL CENTER (060013),2023,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,91.0,26681.0,142.0,15976.0,27.0,17780.0,86.0,20841.0
462,PRESBYTERIAN ST LUKE'S MEDICAL CENTER (060014),2023,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,,,38.0,19431.0,62.0,23637.0,45.0,21956.0
463,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2023,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,148.0,25450.0,165.0,17848.0,,,119.0,19052.0
464,"PARKVIEW MEDICAL CENTER, INC (060020)",2023,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,151.0,27755.0,246.0,17568.0,92.0,21666.0,197.0,19233.0
465,UCH-MEMORIAL HEALTH SYSTEM (060022),2023,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,233.0,26714.0,470.0,18166.0,82.0,20540.0,367.0,18592.0
466,ST MARYS MEDICAL CENTER (060023),2023,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,231.0,27088.0,169.0,18570.0,59.0,22821.0,145.0,21855.0
467,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2023,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,119.0,30677.0,337.0,18727.0,208.0,21619.0,284.0,18899.0
468,BOULDER COMMUNITY HEALTH (060027),2023,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,70.0,30873.0,177.0,20377.0,215.0,19270.0,133.0,18812.0
469,SAINT JOSEPH HOSPITAL (060028),2023,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,,,92.0,19320.0,73.0,20523.0,65.0,21407.0
470,BANNER MCKEE MEDICAL CENTER (060030),2023,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,41.0,26202.0,72.0,18544.0,,,49.0,18318.0
471,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2023,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,260.0,25725.0,444.0,17031.0,711.0,19874.0,340.0,18267.0
472,ROSE MEDICAL CENTER (060032),2023,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,45.0,26159.0,149.0,18425.0,180.0,21090.0,105.0,20871.0
473,HCA-HEALTHONE DBA SWEDISH MEDICAL CENTER (060034),2023,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,84.0,26898.0,167.0,19218.0,52.0,22799.0,217.0,21194.0
474,CENTURA ST ELIZABETH HOSPITAL (060044),2023,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,,,,,33.0,21117.0,,
475,UCHEALTH YAMPA VALLEY MEDICAL CENTER (060049),2023,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,,,,,48.0,20132.0,,
476,COMMUNITY HOSPITAL (060054),2023,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,,,45.0,19217.0,84.0,20909.0,65.0,21410.0
477,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2023,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,31.0,27501.0,95.0,19072.0,171.0,19910.0,84.0,19093.0
