,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Payment for heart attack patients (Denominator),Payment for heart attack patients (Payment),Payment for heart failure patients (Denominator),Payment for heart failure patients (Payment),Payment for pneumonia patients (Denominator),Payment for pneumonia patients (Payment)
395,SUTTER DAVIS HOSPITAL (050537),2016,Acute Care,Proprietary,48.0,38.562923,-121.772522,CA,,,42.0,16356.0,52.0,14089.0
396,LOS ROBLES HOSPITAL & MEDICAL CENTER (050549),2016,Acute Care,Proprietary,329.0,34.206398,-118.882624,CA,330.0,22491.0,505.0,17668.0,426.0,15706.0
397,LOS ALAMITOS MEDICAL CENTER (050551),2016,Acute Care,Proprietary,163.0,33.803175,-118.067413,CA,112.0,23846.0,304.0,17845.0,300.0,15842.0
398,MEMORIAL MEDICAL CENTER (050557),2016,Acute Care,Voluntary non-profit - Private,419.0,37.668701,-120.975674,CA,297.0,24400.0,453.0,16468.0,415.0,14175.0
399,MISSION HOSPITAL REGIONAL MED CENTER (050567),2016,Acute Care,Voluntary non-profit - Private,1044.0,,,CA,234.0,23327.0,417.0,17361.0,416.0,14483.0
400,MADERA COMMUNITY HOSPITAL (050568),2016,Acute Care,Voluntary non-profit - Other,106.0,36.945427,-120.045467,CA,98.0,19757.0,119.0,15202.0,145.0,13843.0
401,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER (050570),2016,Acute Care,Proprietary,400.0,33.715435,-117.937012,CA,225.0,27347.0,309.0,19301.0,398.0,16861.0
402,EISENHOWER MEDICAL CENTER (050573),2016,Acute Care,Proprietary,370.0,33.764852,-116.408085,CA,391.0,22085.0,632.0,16023.0,830.0,14587.0
403,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER (050575),2016,Acute Care,Voluntary non-profit - Private,111.0,,,CA,27.0,25450.0,103.0,20501.0,110.0,19815.0
404,LA PALMA INTERCOMMUNITY HOSPITAL (050580),2016,Acute Care,Proprietary,140.0,33.847585,-118.03725,CA,42.0,21854.0,107.0,19025.0,106.0,16301.0
405,LAKEWOOD REGIONAL MEDICAL CENTER (050581),2016,Acute Care,Proprietary,170.0,33.860223,-118.148749,CA,108.0,22786.0,191.0,19144.0,152.0,19394.0
406,CHINO VALLEY MEDICAL CENTER (050586),2016,Acute Care,Proprietary,120.0,34.026351,-117.685988,CA,,,40.0,16612.0,,
407,SAN DIMAS COMMUNITY HOSPITAL (050588),2016,Acute Care,Proprietary,77.0,34.099423,-117.835006,CA,,,73.0,17912.0,77.0,18646.0
408,PLACENTIA LINDA HOSPITAL (050589),2016,Acute Care,Proprietary,114.0,33.886612,-117.842096,CA,30.0,24988.0,116.0,17002.0,94.0,15120.0
409,METHODIST HOSPITAL OF SACRAMENTO (050590),2016,Acute Care,Voluntary non-profit - Other,320.0,38.464232,-121.416333,CA,79.0,22990.0,179.0,16695.0,132.0,14345.0
410,FOOTHILL PRESBYTERIAN HOSPITAL (050597),2016,Acute Care,Voluntary non-profit - Private,105.0,34.133196,-117.872534,CA,43.0,24163.0,115.0,17088.0,133.0,16267.0
411,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER (050599),2016,Acute Care,Voluntary non-profit - Other,598.0,38.554375,-121.457535,CA,233.0,23144.0,399.0,15014.0,264.0,14038.0
412,SADDLEBACK MEMORIAL MEDICAL CENTER (050603),2016,Acute Care,Voluntary non-profit - Private,281.0,33.607762,-117.708258,CA,225.0,24460.0,442.0,17348.0,416.0,15956.0
413,KAISER FOUNDATION HOSPITAL-SAN JOSE (050604),2016,Acute Care,Voluntary non-profit - Other,237.0,37.239327,-121.802084,CA,44.0,20890.0,,,,
414,DELANO REGIONAL MEDICAL CENTER (050608),2016,Acute Care,Proprietary,156.0,35.761418,-119.238878,CA,,,65.0,16042.0,104.0,15436.0
415,ST JOHNS PLEASANT VALLEY HOSPITAL (050616),2016,Acute Care,Voluntary non-profit - Church,165.0,34.242965,-119.018306,CA,58.0,22760.0,220.0,17583.0,222.0,14236.0
416,HENRY MAYO NEWHALL  HOSPITAL (050624),2016,Acute Care,Voluntary non-profit - Private,267.0,34.396342,-118.553143,CA,188.0,20369.0,318.0,16859.0,378.0,14902.0
417,CEDARS-SINAI MEDICAL CENTER (050625),2016,Acute Care,Voluntary non-profit - Other,894.0,34.075496,-118.380122,CA,549.0,30334.0,,20107.0,966.0,16369.0
418,TWIN CITIES COMMUNITY HOSPITAL (050633),2016,Acute Care,Proprietary,122.0,35.554389,-120.72013,CA,38.0,22053.0,144.0,14198.0,264.0,13834.0
419,POMERADO HOSPITAL (050636),2016,Acute Care,Government - Hospital District or Authority,236.0,32.996802,-117.057852,CA,44.0,21397.0,187.0,15998.0,204.0,16405.0
420,EAST LOS ANGELES DOCTORS HOSPITAL (050641),2016,Acute Care,Proprietary,127.0,34.02393,-118.184285,CA,27.0,21004.0,38.0,17655.0,45.0,16319.0
421,LOS ANGELES COMMUNITY HOSPITAL (050663),2016,Acute Care,Proprietary,251.0,34.018874,-118.186461,CA,44.0,24880.0,65.0,18574.0,115.0,19392.0
422,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER (050668),2016,Acute Care,Voluntary non-profit - Other,780.0,37.747824,-122.458636,CA,,,,,31.0,13260.0
423,KAISER FOUNDATION HOSP SO SACRAMENTO (050674),2016,Acute Care,Voluntary non-profit - Other,222.0,38.471647,-121.423802,CA,,,45.0,15418.0,,
424,ORANGE COAST MEMORIAL MEDICAL CENTER (050678),2016,Acute Care,Proprietary,219.0,33.701659,-117.956107,CA,82.0,21694.0,173.0,17538.0,185.0,16295.0
425,MENIFEE VALLEY MEDICAL CENTER (050684),2016,Acute Care,Government - Hospital District or Authority,84.0,33.718344,-117.166468,CA,45.0,22730.0,72.0,16365.0,68.0,15166.0
426,SAINT LOUISE REGIONAL HOSPITAL (050688),2016,Acute Care,Voluntary non-profit - Church,72.0,,,CA,41.0,22543.0,148.0,16716.0,181.0,14391.0
427,SAN RAMON REGIONAL MEDICAL CTR (050689),2016,Acute Care,Proprietary,123.0,37.775988,-121.959274,CA,60.0,24188.0,119.0,17208.0,195.0,14334.0
428,KECK HOSPITAL OF USC (050696),2016,Acute Care,Voluntary non-profit - Other,334.0,34.062168,-118.203234,CA,,,96.0,18924.0,32.0,16568.0
429,SOUTHWEST HEALTHCARE SYSTEM (050701),2016,Acute Care,Proprietary,241.0,33.557832,-117.184346,CA,79.0,23666.0,180.0,16938.0,196.0,15829.0
430,MISSION COMMUNITY HOSPITAL (050704),2016,Acute Care,Voluntary non-profit - Private,141.0,34.221494,-118.456802,CA,,,148.0,18686.0,138.0,16935.0
431,DESERT VALLEY HOSPITAL (050709),2016,Acute Care,Proprietary,142.0,34.470911,-117.297099,CA,74.0,23539.0,182.0,13869.0,122.0,13679.0
432,BAKERSFIELD HEART HOSPITAL (050724),2016,Acute Care,Proprietary,47.0,35.386106,-119.040847,CA,180.0,24518.0,366.0,17624.0,201.0,15451.0
433,COMMUNITY HOSPITAL OF LONG BEACH (050727),2016,Acute Care,Voluntary non-profit - Private,154.0,,,CA,56.0,24015.0,68.0,18614.0,138.0,17685.0
434,WHITTIER HOSPITAL MEDICAL CENTER (050735),2016,Acute Care,Proprietary,178.0,33.950748,-118.005114,CA,72.0,27152.0,95.0,22416.0,130.0,20060.0
435,MONTEREY PARK HOSPITAL (050736),2016,Acute Care,Proprietary,101.0,34.049769,-118.138751,CA,,,51.0,16090.0,52.0,16271.0
436,GARFIELD MEDICAL CENTER (050737),2016,Acute Care,Proprietary,210.0,34.067864,-118.122906,CA,113.0,26674.0,359.0,19696.0,408.0,18714.0
437,GREATER EL MONTE COMMUNITY HOSPITAL (050738),2016,Acute Care,Voluntary non-profit - Private,118.0,34.048705,-118.042452,CA,,,34.0,18837.0,87.0,19281.0
438,CENTINELA HOSPITAL MEDICAL CENTER (050739),2016,Acute Care,Proprietary,349.0,33.949086,-118.348214,CA,207.0,23395.0,562.0,18066.0,228.0,16024.0
439,MARINA DEL REY HOSPITAL (050740),2016,Acute Care,Proprietary,98.0,33.981732,-118.440154,CA,53.0,24087.0,137.0,17457.0,123.0,16815.0
440,OLYMPIA MEDICAL CENTER (050742),2016,Acute Care,Proprietary,204.0,34.057527,-118.359857,CA,58.0,24639.0,181.0,17197.0,173.0,17330.0
441,ANAHEIM GLOBAL MEDICAL CENTER (050744),2016,Acute Care,Proprietary,185.0,33.820566,-117.909002,CA,,,,,36.0,15624.0
442,CHAPMAN GLOBAL MEDICAL CENTER (050745),2016,Acute Care,Proprietary,112.0,33.787878,-117.827058,CA,,,,,35.0,15508.0
443,ORANGE COUNTY GLOBAL MEDICAL CENTER (050746),2016,Acute Care,Proprietary,246.0,33.753636,-117.834209,CA,54.0,24909.0,41.0,19801.0,66.0,16359.0
444,SOUTH COAST GLOBAL MEDICAL CENTER (050747),2016,Acute Care,Proprietary,177.0,33.710692,-117.88541,CA,,,30.0,18582.0,38.0,17950.0
445,SHERMAN OAKS HOSPITAL (050755),2016,Acute Care,Voluntary non-profit - Private,150.0,34.15981,-118.448705,CA,194.0,24442.0,162.0,19379.0,119.0,17125.0
446,ALVARADO HOSPITAL MEDICAL CENTER (050757),2016,Acute Care,Government - Federal,300.0,32.777136,-117.056602,CA,86.0,23780.0,149.0,18130.0,167.0,17652.0
447,MONTCLAIR HOSPITAL MEDICAL CENTER (050758),2016,Acute Care,Voluntary non-profit - Private,103.0,34.077662,-117.696098,CA,,,30.0,16360.0,45.0,16077.0
448,PROVIDENCE TARZANA MEDICAL CENTER (050761),2016,Acute Care,Voluntary non-profit - Private,244.0,34.169777,-118.53183,CA,192.0,23312.0,521.0,18264.0,472.0,15781.0
449,SILVER LAKE MEDICAL CENTER (050763),2016,Acute Care,Proprietary,218.0,34.06879,-118.26356,CA,,,38.0,19231.0,62.0,18673.0
450,SHASTA REGIONAL MEDICAL CENTER (050764),2016,Acute Care,Proprietary,219.0,40.585376,-122.386683,CA,220.0,24079.0,419.0,16646.0,274.0,16110.0
451,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA (050770),2016,Acute Care,Proprietary,108.0,33.613435,-117.168923,CA,124.0,27042.0,205.0,18345.0,151.0,16138.0
452,COAST PLAZA HOSPITAL (050771),2016,Acute Care,Proprietary,116.0,33.912428,-118.099156,CA,26.0,24366.0,75.0,19097.0,85.0,19027.0
453,SAN LEANDRO HOSPITAL (050773),2016,Acute Care,Government - Hospital District or Authority,67.0,,,CA,27.0,21878.0,101.0,13896.0,45.0,14550.0
454,TEMECULA VALLEY HOSPITAL (050775),2016,Acute Care,Proprietary,140.0,33.47929,-117.105744,CA,56.0,22093.0,64.0,16690.0,85.0,14960.0
455,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS (051300),2016,Critical Access,Government - Hospital District or Authority,75.0,39.806144,-120.463129,CA,,,,,38.0,16017.0
456,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY (051301),2016,Critical Access,Government - Hospital District or Authority,25.0,,,CA,,,,,25.0,16172.0
457,JOHN C FREMONT HEALTHCARE DISTRICT (051304),2016,Critical Access,Government - Hospital District or Authority,35.0,37.500531,-119.976948,CA,,,27.0,14383.0,35.0,14041.0
458,MAYERS MEMORIAL HOSPITAL (051305),2016,Critical Access,Government - Hospital District or Authority,120.0,41.023968,-121.424651,CA,,,31.0,14214.0,44.0,14562.0
459,GLENN MEDICAL CENTER (051306),2016,Critical Access,Voluntary non-profit - Private,16.0,39.520467,-122.20812,CA,,,29.0,15516.0,30.0,12308.0
460,FRANK R HOWARD MEMORIAL HOSPITAL (051310),2016,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,,,52.0,15856.0,58.0,12627.0
461,ORCHARD HOSPITAL (051311),2016,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,,,35.0,15054.0,121.0,13722.0
462,MOUNTAINS COMMUNITY HOSPITAL (051312),2016,Critical Access,Government - Hospital District or Authority,37.0,34.2659,-117.167092,CA,,,,,34.0,11357.0
463,KERN VALLEY HEALTHCARE DISTRICT (051314),2016,Critical Access,Government - Hospital District or Authority,98.0,35.635351,-118.4063,CA,,,,,87.0,13520.0
464,TRINITY HOSPITAL (051315),2016,Critical Access,Government - Hospital District or Authority,47.0,40.737579,-122.939444,CA,,,38.0,15078.0,65.0,14604.0
465,FAIRCHILD MEDICAL CENTER (051316),2016,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,,,42.0,15358.0,140.0,13098.0
466,ST HELENA HOSPITAL-CLEARLAKE (051317),2016,Critical Access,Voluntary non-profit - Church,25.0,,,CA,,,57.0,15814.0,116.0,16488.0
467,REDWOOD MEMORIAL HOSPITAL (051318),2016,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,,,63.0,14368.0,64.0,12183.0
468,MERCY MEDICAL CENTER MT SHASTA (051319),2016,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,,,36.0,13688.0,66.0,13234.0
469,BANNER LASSEN MEDICAL CENTER (051320),2016,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,,,40.0,15648.0,86.0,15575.0
470,HEALDSBURG DISTRICT HOSPITAL (051321),2016,Critical Access,Government - Hospital District or Authority,42.0,38.626583,-122.863741,CA,,,43.0,15242.0,78.0,15848.0
471,NORTHERN INYO HOSPITAL (051324),2016,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,,,,,49.0,15064.0
472,MENDOCINO COAST DISTRICT HOSPITAL (051325),2016,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,,,69.0,16940.0,105.0,13925.0
473,PLUMAS DISTRICT HOSPITAL (051326),2016,Critical Access,Government - Hospital District or Authority,21.0,39.934767,-120.919251,CA,,,28.0,16032.0,36.0,13845.0
474,SENECA DISTRICT HOSPITAL (051327),2016,Critical Access,Government - Hospital District or Authority,26.0,40.305302,-121.234018,CA,,,32.0,14616.0,39.0,14427.0
475,TAHOE FOREST HOSPITAL (051328),2016,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,,,34.0,14094.0,47.0,13438.0
476,SUTTER LAKESIDE HOSPITAL (051329),2016,Critical Access,Voluntary non-profit - Private,25.0,39.105175,-122.908238,CA,,,88.0,14839.0,144.0,13771.0
477,MODOC MEDICAL CENTER (051330),2016,Critical Access,Government - Hospital District or Authority,82.0,41.479949,-120.545503,CA,,,,,30.0,14898.0
478,SANTA YNEZ VALLEY COTTAGE HOSPITAL (051331),2016,Critical Access,Voluntary non-profit - Private,11.0,34.602465,-120.126643,CA,,,35.0,15273.0,52.0,14115.0
479,MARK TWAIN MEDICAL CENTER (051332),2016,Critical Access,Voluntary non-profit - Other,25.0,38.190973,-120.670661,CA,,,76.0,15436.0,91.0,13676.0
480,OJAI VALLEY COMMUNITY HOSPITAL (051334),2016,Critical Access,Voluntary non-profit - Private,93.0,34.442251,-119.264518,CA,,,,,48.0,16324.0
481,NORTH COLORADO MEDICAL CENTER (060001),2016,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,267.0,21799.0,317.0,16582.0,341.0,15490.0
482,LONGMONT UNITED HOSPITAL (060003),2016,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,87.0,24469.0,186.0,15166.0,199.0,13993.0
483,PLATTE VALLEY MEDICAL CENTER (060004),2016,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,42.0,23398.0,65.0,14635.0,88.0,14195.0
484,MONTROSE MEMORIAL HOSPITAL (060006),2016,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,72.0,24746.0,84.0,14195.0,127.0,15353.0
485,SAN LUIS VALLEY HEALTH (060008),2016,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,,,41.0,14644.0,54.0,15123.0
486,LUTHERAN MEDICAL CENTER (060009),2016,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,180.0,22791.0,280.0,15678.0,289.0,14665.0
487,POUDRE VALLEY HOSPITAL (060010),2016,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,138.0,22632.0,293.0,15358.0,429.0,14708.0
488,DENVER HEALTH MEDICAL CENTER (060011),2016,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,44.0,22445.0,66.0,15387.0,26.0,15226.0
489,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER (060012),2016,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,122.0,23237.0,154.0,16128.0,142.0,13966.0
490,MERCY REGIONAL MEDICAL CENTER (060013),2016,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,94.0,23187.0,69.0,15000.0,127.0,14452.0
491,PRESBYTERIAN ST LUKES MEDICAL CENTER (060014),2016,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,58.0,21806.0,87.0,15098.0,63.0,16528.0
492,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2016,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,179.0,24189.0,201.0,17724.0,175.0,15255.0
493,CENTURA HEALTH-ST THOMAS MORE HOSPITAL (060016),2016,Acute Care,Voluntary non-profit - Private,152.0,,,CO,,,88.0,13536.0,68.0,14322.0
494,PARKVIEW MEDICAL CENTER INC (060020),2016,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,253.0,19825.0,279.0,15606.0,359.0,13455.0
495,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL (060022),2016,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,303.0,23157.0,389.0,15269.0,547.0,15063.0
496,ST MARYS  MEDICAL CENTER (060023),2016,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,243.0,22342.0,170.0,15227.0,197.0,14450.0
497,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2016,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,148.0,21256.0,276.0,16011.0,160.0,14231.0
498,FOOTHILLS HOSPITAL (060027),2016,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,79.0,24430.0,202.0,19769.0,219.0,13807.0
499,SAINT JOSEPH HOSPITAL (060028),2016,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,,,43.0,16348.0,38.0,13645.0
500,MCKEE MEDICAL CENTER (060030),2016,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,70.0,19110.0,92.0,15550.0,117.0,16170.0
501,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2016,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,336.0,22286.0,440.0,15711.0,509.0,14773.0
502,ROSE MEDICAL CENTER (060032),2016,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,89.0,23574.0,137.0,17138.0,173.0,14452.0
503,SWEDISH MEDICAL CENTER (060034),2016,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,110.0,22489.0,249.0,15796.0,322.0,14973.0
504,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (060036),2016,Acute Care,Voluntary non-profit - Private,125.0,,,CO,,,90.0,15290.0,207.0,14274.0
505,COLORADO PLAINS MEDICAL CENTER (060044),2016,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,,,52.0,16255.0,44.0,16579.0
506,YAMPA VALLEY MEDICAL CENTER (060049),2016,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,,,31.0,15623.0,42.0,14582.0
507,COMMUNITY HOSPITAL (060054),2016,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,,,50.0,14163.0,108.0,14637.0
508,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2016,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,51.0,23428.0,122.0,16282.0,130.0,14095.0
509,NORTH SUBURBAN MEDICAL CENTER (060065),2016,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,76.0,25207.0,46.0,16965.0,98.0,14651.0
510,DELTA COUNTY MEMORIAL HOSPITAL (060071),2016,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,26.0,21048.0,59.0,14588.0,135.0,12668.0
511,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2016,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,50.0,22903.0,43.0,15556.0,53.0,13589.0
512,STERLING REGIONAL MEDCENTER (060076),2016,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,,,72.0,14152.0,77.0,12865.0
513,"MEDICAL CENTER OF AURORA, THE (060100)",2016,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,162.0,22615.0,315.0,16807.0,273.0,15538.0
514,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2016,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,,,31.0,18229.0,33.0,13784.0
515,ST ANTHONY NORTH HEALTH CAMPUS (060104),2016,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,70.0,24073.0,104.0,16798.0,100.0,15963.0
516,SKY RIDGE MEDICAL CENTER (060112),2016,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,61.0,21658.0,132.0,16245.0,121.0,15404.0
517,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL (060113),2016,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,80.0,23511.0,200.0,15466.0,285.0,13571.0
518,PARKER ADVENTIST HOSPITAL (060114),2016,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,55.0,21893.0,111.0,16183.0,96.0,15291.0
519,GOOD SAMARITAN MEDICAL CENTER (060116),2016,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,64.0,22986.0,67.0,14797.0,95.0,13039.0
520,MEDICAL CENTER OF THE ROCKIES (060119),2016,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,267.0,25147.0,164.0,15125.0,220.0,13615.0
521,CASTLE ROCK ADVENTIST HOSPITAL (060125),2016,Acute Care,Voluntary non-profit - Private,56.0,39.404112,-104.886146,CO,,,,,38.0,14376.0
522,RIO GRANDE HOSPITAL (061301),2016,Critical Access,Voluntary non-profit - Private,16.0,37.674371,-106.36481,CO,,,34.0,15891.0,58.0,13221.0
523,EAST MORGAN COUNTY HOSPITAL (061303),2016,Critical Access,Government - Hospital District or Authority,25.0,40.254738,-103.649178,CO,,,33.0,15609.0,77.0,14655.0
524,MELISSA MEMORIAL HOSPITAL (061305),2016,Critical Access,Government - Hospital District or Authority,15.0,40.578428,-102.290249,CO,,,,,30.0,18800.0
525,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL (061308),2016,Critical Access,Voluntary non-profit - Private,17.0,37.26375,-105.964095,CO,,,,,31.0,15980.0
526,WRAY COMMUNITY DISTRICT HOSPITAL (061309),2016,Critical Access,Government - Hospital District or Authority,16.0,40.075405,-102.23466,CO,,,,,26.0,12951.0
527,SOUTHEAST COLORADO HOSPITAL (061311),2016,Critical Access,Government - Hospital District or Authority,71.0,37.404165,-102.612423,CO,,,,,47.0,14810.0
528,ESTES PARK MEDICAL CENTER (061312),2016,Critical Access,Government - Hospital District or Authority,84.0,40.372259,-105.514088,CO,,,,,32.0,14164.0
529,KIT CARSON COUNTY MEMORIAL HOSPITAL (061313),2016,Critical Access,Government - Hospital District or Authority,19.0,39.302378,-102.270711,CO,,,31.0,16832.0,42.0,15369.0
530,"MEMORIAL HOSPITAL, THE (061314)",2016,Critical Access,Government - Local,25.0,40.518288,-107.57863,CO,,,,,46.0,13815.0
531,YUMA DISTRICT HOSPITAL (061315),2016,Critical Access,Government - Hospital District or Authority,16.0,40.118445,-102.736654,CO,,,,,47.0,15334.0
532,SPANISH PEAKS REGIONAL HEALTH CENTER (061316),2016,Critical Access,Government - Hospital District or Authority,141.0,37.607688,-104.819786,CO,,,27.0,17028.0,40.0,14286.0
533,GRAND RIVER MEDICAL CENTER (061317),2016,Critical Access,Government - Hospital District or Authority,66.0,39.522587,-107.77201,CO,,,25.0,14179.0,37.0,12746.0
534,GUNNISON VALLEY HOSPITAL (061320),2016,Critical Access,Government - Local,20.0,38.551089,-106.924321,CO,,,,,37.0,15102.0
535,MT SAN RAFAEL HOSPITAL (061321),2016,Critical Access,Voluntary non-profit - Private,25.0,37.17338,-104.488796,CO,,,42.0,15973.0,78.0,15687.0
536,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER (061322),2016,Critical Access,Government - Hospital District or Authority,25.0,38.543102,-106.007291,CO,,,40.0,16359.0,60.0,14331.0
537,PROWERS MEDICAL CENTER (061323),2016,Critical Access,Government - Hospital District or Authority,25.0,38.070915,-102.609068,CO,,,39.0,16907.0,73.0,17844.0
538,PIONEERS MEDICAL CENTER (061325),2016,Critical Access,Government - Hospital District or Authority,44.0,,,CO,,,,,29.0,14371.0
539,PIKES PEAK REGIONAL HOSPITAL (061326),2016,Critical Access,Voluntary non-profit - Private,15.0,38.973932,-105.074267,CO,,,,,38.0,13652.0
540,SOUTHWEST MEMORIAL HOSPITAL (061327),2016,Critical Access,Voluntary non-profit - Private,25.0,37.36214,-108.572739,CO,,,51.0,14211.0,68.0,12641.0
541,PAGOSA SPRINGS MEDICAL CENTER (061328),2016,Critical Access,Government - Hospital District or Authority,11.0,37.252776,-107.077219,CO,,,,,25.0,15405.0
542,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2016,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,503.0,23519.0,,17058.0,823.0,15949.0
543,DAY KIMBALL HOSPITAL (070003),2016,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,114.0,21077.0,188.0,15343.0,225.0,15211.0
544,SHARON HOSPITAL (070004),2016,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,74.0,22579.0,147.0,16016.0,183.0,13376.0
545,WATERBURY HOSPITAL (070005),2016,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,214.0,23330.0,509.0,18105.0,406.0,15667.0
546,STAMFORD HOSPITAL (070006),2016,Acute Care,Voluntary non-profit - Private,303.0,,,CT,204.0,23081.0,461.0,17650.0,353.0,14982.0
547,LAWRENCE & MEMORIAL HOSPITAL (070007),2016,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,260.0,23770.0,626.0,16065.0,464.0,15339.0
548,JOHNSON MEMORIAL HOSPITAL (070008),2016,Acute Care,Voluntary non-profit - Private,88.0,,,CT,29.0,22951.0,175.0,16655.0,241.0,15690.0
549,BRIDGEPORT HOSPITAL (070010),2016,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,322.0,22279.0,497.0,17057.0,385.0,16638.0
550,CHARLOTTE HUNGERFORD HOSPITAL (070011),2016,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,107.0,22864.0,287.0,15553.0,350.0,15369.0
551,ROCKVILLE GENERAL HOSPITAL (070012),2016,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,26.0,22851.0,169.0,16728.0,177.0,16008.0
552,SAINT MARYS HOSPITAL (070016),2016,Acute Care,Voluntary non-profit - Other,167.0,,,CT,161.0,24126.0,381.0,18538.0,348.0,15973.0
553,MIDSTATE MEDICAL CENTER (070017),2016,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,137.0,21463.0,401.0,17433.0,354.0,16042.0
