,Facility ID,Facility Name,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State
116295,111313,PUTNAM GENERAL HOSPITAL,Critical Access,Government - Hospital District or Authority,25.0,33.335519,-83.370844,GA
116373,111314,LIFEBRITE COMMUNITY HOSPITAL OF EARLY,Critical Access,Voluntary non-profit - Private,154.0,31.374382,-84.946245,GA
116411,111314,PIONEER COMMUNITY HOSPITAL OF EARLY,Critical Access,Voluntary non-profit - Private,154.0,31.374382,-84.946245,GA
116443,111316,WARM SPRINGS MEDICAL CENTER,Critical Access,Voluntary non-profit - Other,104.0,32.890652,-84.682911,GA
116504,111318,MONROE COUNTY HOSPITAL,Critical Access,Government - Hospital District or Authority,25.0,33.031981,-83.946494,GA
116582,111319,WELLSTAR SYLVAN GROVE HOSPITAL,Critical Access,Government - Hospital District or Authority,17.0,33.303085,-83.977823,GA
116583,111319,WELLSTAR SYLVAN GROVE MEDICAL CENTER,Critical Access,Government - Hospital District or Authority,17.0,33.303085,-83.977823,GA
116613,111319,SYLVAN GROVE HOSPITAL,Critical Access,Government - Hospital District or Authority,17.0,33.303085,-83.977823,GA
116635,111320,HIGGINS GENERAL HOSPITAL,Critical Access,Government - Hospital District or Authority,16.0,33.716343,-85.144623,GA
116713,111323,OPTIM MEDICAL CENTER - TATTNALL,Critical Access,Voluntary non-profit - Other,25.0,32.080649,-82.111042,GA
116774,111324,CHATUGE REGIONAL HOSPITAL,Critical Access,Government - Hospital District or Authority,143.0,34.946282,-83.754318,GA
116854,111325,WILLS MEMORIAL HOSPITAL,Critical Access,Government - Hospital District or Authority,25.0,33.729302,-82.742388,GA
116930,111326,SGMC LANIER CAMPUS,Critical Access,Government - Hospital District or Authority,87.0,31.041591,-83.086454,GA
116981,111326,LOUIS SMITH MEMORIAL HOSPITAL,Critical Access,Government - Hospital District or Authority,87.0,31.041591,-83.086454,GA
116987,111327,BACON COUNTY HOSPITAL,Critical Access,Voluntary non-profit - Other,113.0,31.53911,-82.459687,GA
117085,111328,PHOEBE WORTH MEDICAL CENTER,Critical Access,Voluntary non-profit - Private,25.0,31.512385,-83.840673,GA
117143,111329,ST. MARY'S GOOD SAMARITAN HOSPITAL,Critical Access,Proprietary,25.0,33.479921,-83.241645,GA
117189,111329,ST MARY'S GOOD SAMARITAN HOSPITAL,Critical Access,Proprietary,25.0,33.479921,-83.241645,GA
117252,111330,ATRIUM HEALTH FLOYD POLK MEDICAL CENTER,Critical Access,Government - Hospital District or Authority,24.0,34.014927,-85.19502,GA
117256,111330,POLK MEDICAL CENTER,Critical Access,Government - Hospital District or Authority,24.0,34.014927,-85.19502,GA
117312,111331,MITCHELL COUNTY HOSPITAL,Critical Access,Government - Hospital District or Authority,181.0,31.229277,-84.205091,GA
117365,111332,BROOKS COUNTY HOSPITAL,Critical Access,Government - Hospital District or Authority,25.0,30.795012,-83.5595,GA
117418,111333,JEFF DAVIS HOSPITAL,Critical Access,Government - Hospital District or Authority,28.0,31.857893,-82.607397,GA
117496,111334,CANDLER COUNTY HOSPITAL,Critical Access,Government - Hospital District or Authority,25.0,32.407081,-82.066608,GA
117566,111335,LIBERTY REGIONAL MEDICAL CENTER,Critical Access,Government - Hospital District or Authority,132.0,,,GA
117652,111336,MOUNTAIN LAKES MEDICAL CENTER,Critical Access,Proprietary,25.0,34.554075,-83.54423,GA
117728,111337,ELBERT MEMORIAL HOSPITAL,Critical Access,Government - Hospital District or Authority,25.0,,,GA
117744,113300,CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,Childrens,Voluntary non-profit - Other,291.0,33.79398,-84.321007,GA
117774,113301,CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,Childrens,Voluntary non-profit - Other,287.0,33.9079,-84.354426,GA
117802,113301,CHILDRENS HEALTHCARE OF ATLANTA AT SCOTTISH RITE,Childrens,Voluntary non-profit - Other,287.0,33.9079,-84.354426,GA
117804,120001,THE QUEENS MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,585.0,21.308307,-157.854965,HI
117930,120002,MAUI MEMORIAL MEDICAL CENTER,Acute Care,Government - State,217.0,20.884455,-156.488087,HI
118054,120004,WAHIAWA GENERAL HOSPITAL,Acute Care,Voluntary non-profit - Private,157.0,21.498511,-158.027299,HI
118178,120005,HILO MEDICAL CENTER,Acute Care,Government - State,264.0,19.717467,-155.113513,HI
118302,120006,ADVENTIST HEALTH CASTLE,Acute Care,Voluntary non-profit - Church,160.0,21.381502,-157.757229,HI
118374,120006,CASTLE MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,160.0,21.381502,-157.757229,HI
118431,120007,KUAKINI MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,342.0,21.322211,-157.856211,HI
118557,120011,KAISER FOUNDATION HOSPITAL,Acute Care,Voluntary non-profit - Private,283.0,21.362292,-157.900139,HI
118681,120011,KAISER PERMANENTE MEDICAL CENTER - MOA,Acute Care,Voluntary non-profit - Private,283.0,21.362292,-157.900139,HI
118683,120014,WILCOX MEMORIAL HOSPITAL,Acute Care,Government - Federal,72.0,21.987043,-159.366198,HI
118809,120019,KONA COMMUNITY HOSPITAL,Acute Care,Government - State,93.0,19.519237,-155.917719,HI
118935,12001F,Tripler AMC (FT Shafter),Acute Care (DOD),Department of Defense,,,,
118956,120022,STRAUB CLINIC AND HOSPITAL,Acute Care,Proprietary,159.0,21.302268,-157.850921,HI
119082,120026,PALI MOMI MEDICAL CENTER,Acute Care,Proprietary,121.0,21.383988,-157.937675,HI
119206,120028,"NORTH HAWAII COMMUNITY HOSPITAL, INC",Acute Care,Voluntary non-profit - Private,34.0,,,HI
119228,120028,NORTH HAWAII COMMUNITY HOSPITAL,Acute Care,Voluntary non-profit - Private,34.0,,,HI
119332,121300,KAUAI VETERANS MEMORIAL HOSPITAL,Critical Access,Government - State,45.0,21.960079,-159.670055,HI
119398,121301,KAU HOSPITAL,Critical Access,Government - State,16.0,19.200571,-155.472097,HI
119439,121302,KOHALA HOSPITAL,Critical Access,Government - State,28.0,20.231737,-155.797253,HI
119469,121303,MOLOKAI GENERAL HOSPITAL,Critical Access,Voluntary non-profit - Private,15.0,21.09376,-157.017982,HI
119510,121304,KAHUKU MEDICAL CENTER,Critical Access,Voluntary non-profit - Other,22.0,21.67644,-157.952211,HI
119551,121305,LANAI COMMUNITY HOSPITAL,Critical Access,Government - State,14.0,20.826735,-156.918002,HI
119581,121306,SAMUEL MAHELONA MEMORIAL HOSPITAL,Critical Access,Government - State,80.0,22.087619,-159.314204,HI
119622,121307,HALE HO'OLA HAMAKUA,Critical Access,Government - State,76.0,20.076271,-155.470595,HI
119652,121308,KULA HOSPITAL,Critical Access,Government - State,120.0,20.701994,-156.357099,HI
119691,123300,KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN,Childrens,Voluntary non-profit - Private,228.0,21.300396,-157.834246,HI
119721,123301,SHRINERS HOSPITAL FOR CHILDREN,Childrens,Voluntary non-profit - Private,,21.300233,-157.834365,HI
119751,130002,ST LUKES MAGIC VALLEY MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,205.0,42.591595,-114.496998,ID
119799,130002,ST LUKE'S MAGIC VALLEY RMC,Acute Care,Voluntary non-profit - Private,205.0,42.591595,-114.496998,ID
119881,130002,ST LUKES MAGIC VALLEY RMC,Acute Care,Voluntary non-profit - Private,205.0,42.591595,-114.496998,ID
119905,130003,ST JOSEPH REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,122.0,46.417121,-117.024997,ID
120031,130006,ST LUKE'S REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,569.0,43.612157,-116.192202,ID
120152,130006,ST LUKES REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,569.0,43.612157,-116.192202,ID
120161,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,380.0,43.614072,-116.253622,ID
120244,130007,ST ALPHONSUS REGIONAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,380.0,43.614072,-116.253622,ID
120290,130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,Acute Care,Voluntary non-profit - Church,128.0,43.596332,-116.519174,ID
120416,130014,WEST VALLEY MEDICAL CENTER,Acute Care,Proprietary,108.0,43.65422,-116.69564,ID
120542,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,Acute Care,Proprietary,313.0,43.470276,-111.990159,ID
120668,130025,MADISON MEMORIAL HOSPITAL,Acute Care,Government - Local,68.0,43.826051,-111.773148,ID
120792,130028,PORTNEUF MEDICAL CENTER,Acute Care,Proprietary,168.0,42.872621,-112.4189,ID
120918,13003F,BOISE VA MEDICAL CENTER,Acute Care (VA),Government - Federal,,,,
120987,130049,KOOTENAI HEALTH,Acute Care,Government - Hospital District or Authority,286.0,47.694597,-116.792669,ID
121084,130049,KOOTENAI MEDICAL CENTER,Acute Care,Government - Hospital District or Authority,286.0,47.694597,-116.792669,ID
121116,130063,TREASURE VALLEY HOSPITAL,Acute Care,Proprietary,11.0,43.611289,-116.290332,ID
121226,130065,MOUNTAIN VIEW HOSPITAL,Acute Care,Proprietary,41.0,43.472524,-111.988717,ID
121350,130066,NORTHWEST SPECIALTY HOSPITAL,Acute Care,Proprietary,34.0,47.71441,-116.924455,ID
121474,130071,ST LUKE'S NAMPA MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,82.0,43.616618,-116.590734,ID
121535,130073,GROVE CREEK MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,8.0,43.196301,-112.356124,ID
121552,130074,"IDAHO FALLS COMMUNITY HOSPITAL, LLC",Acute Care,Proprietary,88.0,,,ID
121578,131301,BOUNDARY COMMUNITY HOSPITAL,Critical Access,Voluntary non-profit - Other,50.0,48.70257,-116.322084,ID
121644,131302,NORTH CANYON MEDICAL CENTER,Critical Access,Voluntary non-profit - Private,16.0,42.921869,-114.711128,ID
121731,131303,NELL J REDFIELD MEMORIAL HOSPITAL,Critical Access,Government - Local,45.0,42.189638,-112.250759,ID
121788,131303,ONEIDA COUNTY HOSPITAL,Critical Access,Government - Local,45.0,42.189638,-112.250759,ID
121807,131304,POWER COUNTY HOSPITAL DISTRICT,Critical Access,Government - Hospital District or Authority,30.0,42.781858,-112.849047,ID
121835,131304,HARMS MEMORIAL HOSPITAL,Critical Access,Government - Hospital District or Authority,30.0,42.781858,-112.849047,ID
121846,131305,STEELE MEMORIAL MEDICAL CENTER,Critical Access,Voluntary non-profit - Other,18.0,45.173311,-113.890918,ID
121967,131307,WEISER MEMORIAL HOSPITAL,Critical Access,Government - Hospital District or Authority,19.0,44.248761,-116.961735,ID
122073,131308,CASCADE MEDICAL CENTER,Critical Access,Government - Hospital District or Authority,8.0,44.517921,-116.048938,ID
122112,131309,CARIBOU MEDICAL CENTER,Critical Access,Government - Local,48.0,42.652235,-111.613354,ID
122116,131309,CARIBOU MEMORIAL HOSPITAL,Critical Access,Government - Local,48.0,42.652235,-111.613354,ID
122164,131310,ST LUKE'S JEROME,Critical Access,Voluntary non-profit - Private,25.0,42.730293,-114.51849,ID
122225,131311,ST LUKE'S ELMORE MEDICAL CENTER,Critical Access,Voluntary non-profit - Private,60.0,43.139199,-115.692487,ID
122305,131312,ST LUKE'S MCCALL,Critical Access,Voluntary non-profit - Private,15.0,44.909354,-116.109703,ID
122414,131313,TETON VALLEY HOSPITAL,Critical Access,Voluntary non-profit - Private,13.0,43.727285,-111.108608,ID
122459,131314,SHOSHONE MEDICAL CENTER,Critical Access,Government - Hospital District or Authority,21.0,47.547123,-116.131409,ID
122543,131315,SYRINGA GENERAL HOSPITAL,Critical Access,Government - Hospital District or Authority,15.0,45.926789,-116.126994,ID
122623,131316,BEAR LAKE MEMORIAL HOSPITAL,Critical Access,Government - Local,4494.0,42.316242,-111.300847,ID
122736,131317,BENEWAH COMMUNITY HOSPITAL,Critical Access,Government - Local,19.0,47.314613,-116.566678,ID
122841,131318,VALOR HEALTH,Critical Access,Government - Local,14.0,43.879078,-116.485255,ID
122882,131318,WALTER KNOX MEMORIAL HOSPITAL,Critical Access,Government - Local,14.0,43.879078,-116.485255,ID
122902,131319,MINIDOKA MEMORIAL HOSPITAL,Critical Access,Government - Local,63.0,42.619625,-113.685362,ID
123011,131320,CLEARWATER VALLEY HOSPITAL & CLINICS,Critical Access,Voluntary non-profit - Private,23.0,46.487315,-116.259916,ID
123091,131321,ST MARYS HOSPITAL AND CLINICS,Critical Access,Voluntary non-profit - Private,25.0,46.050371,-116.351645,ID
123123,131321,ST MARY'S HOSPITAL,Critical Access,Voluntary non-profit - Private,25.0,46.050371,-116.351645,ID
123171,131322,FRANKLIN COUNTY MEDICAL CENTER,Critical Access,Government - Local,57.0,42.098379,-111.875467,ID
123280,131323,ST LUKE'S WOOD RIVER MEDICAL CENTER,Critical Access,Voluntary non-profit - Private,25.0,43.648473,-114.349018,ID
123399,131324,LOST RIVERS MEDICAL CENTER,Critical Access,Government - Hospital District or Authority,17.0,43.640552,-113.296253,ID
123425,131324,LOST RIVERS HOSPITAL,Critical Access,Government - Hospital District or Authority,17.0,43.640552,-113.296253,ID
123452,131325,BINGHAM MEMORIAL HOSPITAL,Critical Access,Voluntary non-profit - Private,90.0,43.192952,-112.347442,ID
123573,131326,CASSIA REGIONAL HOSPITAL,Critical Access,Voluntary non-profit - Private,26.0,42.534204,-113.783419,ID
123654,131326,CASSIA REGIONAL MEDICAL CENTER,Critical Access,Voluntary non-profit - Private,26.0,42.534204,-113.783419,ID
123692,131327,GRITMAN MEDICAL CENTER,Critical Access,Voluntary non-profit - Private,25.0,46.728704,-117.001406,ID
123813,131328,BONNER GENERAL HOSPITAL,Critical Access,Voluntary non-profit - Private,25.0,48.277485,-116.550314,ID
123934,140001,GRAHAM HOSPITAL ASSOCIATION,Acute Care,Voluntary non-profit - Other,86.0,40.553293,-90.038115,IL
124060,140002,ALTON MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Private,157.0,,,IL
124186,140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,457.0,41.528248,-88.134645,IL
124312,140007,PROVENA ST JOSEPH MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,457.0,41.528248,-88.134645,IL
124314,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Private,227.0,41.908342,-87.841101,IL
124338,140008,GOTTLIEB MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Private,227.0,41.908342,-87.841101,IL
124461,140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,Acute Care,Voluntary non-profit - Other,737.0,42.0653,-87.683293,IL
124509,140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,Acute Care,Voluntary non-profit - Other,737.0,42.0653,-87.683293,IL
124524,140010,EVANSTON HOSPITAL,Acute Care,Voluntary non-profit - Other,737.0,42.0653,-87.683293,IL
124611,140011,HERRIN HOSPITAL,Acute Care,Voluntary non-profit - Private,113.0,37.801613,-89.026508,IL
124635,140011,SOUTHERN ILLINOIS HOSPITAL SERVICES DBA HERRIN HOSPITAL,Acute Care,Voluntary non-profit - Private,113.0,37.801613,-89.026508,IL
124758,140012,KATHERINE SHAW BETHEA HOSPITAL,Acute Care,Voluntary non-profit - Private,80.0,41.84423,-89.480131,IL
124884,140013,PROCTOR HOSPITAL,Acute Care,Voluntary non-profit - Private,162.0,40.752496,-89.593254,IL
125010,140015,BLESSING HOSPITAL,Acute Care,Voluntary non-profit - Private,310.0,40.393084,-91.344081,IL
125136,140018,MT SINAI HOSPITAL MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,280.0,,,IL
125260,140019,HSHS GOOD SHEPHERD HOSPITAL,Acute Care,Voluntary non-profit - Private,30.0,39.405801,-88.807113,IL
125282,140019,HSHS GOOD SHEPHERD HOSPITAL INC,Acute Care,Voluntary non-profit - Private,30.0,39.405801,-88.807113,IL
125336,140019,SHELBY MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Private,30.0,39.405801,-88.807113,IL
125392,140029,COPLEY MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Private,210.0,41.727722,-88.268415,IL
125440,140029,RUSH COPLEY MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,210.0,41.727722,-88.268415,IL
125528,140030,ADVOCATE SHERMAN HOSPITAL,Acute Care,Voluntary non-profit - Private,255.0,42.070221,-88.331468,IL
125576,140030,SHERMAN HOSPITAL,Acute Care,Voluntary non-profit - Private,255.0,42.070221,-88.331468,IL
125670,140032,ST ANTHONYS MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Church,137.0,39.124496,-88.549274,IL
125796,140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,Acute Care,Voluntary non-profit - Church,112.0,38.530809,-89.115999,IL
125887,140034,ST MARYS HOSPITAL,Acute Care,Voluntary non-profit - Church,112.0,38.530809,-89.115999,IL
125924,14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,Acute Care (VA),Government - Federal,,,,
125964,14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO,Acute Care (VA),Government - Federal,,,,
125993,140040,GALESBURG COTTAGE HOSPITAL,Acute Care,Proprietary,128.0,40.955483,-90.366199,IL
126119,140043,CGH MEDICAL CENTER,Acute Care,Government - Local,94.0,41.801564,-89.696733,IL
126245,140046,GOOD SAMARITAN REGIONAL HLTH CENTER,Acute Care,Voluntary non-profit - Private,129.0,38.3149,-88.93,IL
126257,140046,SSM HEALTH - GOOD SAMARITAN HOSPITAL,Acute Care,Voluntary non-profit - Private,129.0,38.3149,-88.93,IL
126387,140048,ADVOCATE TRINITY HOSPITAL,Acute Care,Voluntary non-profit - Other,237.0,41.726211,-87.56725,IL
126511,140049,WEST SUBURBAN MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,183.0,41.89184,-87.777471,IL
126637,140049,"VHS WEST SUBURBAN MEDICAL CENTER, INC., DBA WEST SUBURBAN MEDICAL CENTER",Acute Care,Voluntary non-profit - Other,183.0,41.89184,-87.777471,IL
126639,14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,Acute Care (VA),Government - Federal,,,,
126706,140052,OSF SAINT ANTHONY'S HEALTH CENTER,Acute Care,Voluntary non-profit - Church,104.0,,,IL
126803,140052,SAINT ANTHONY'S HEALTH CENTER,Acute Care,Voluntary non-profit - Church,104.0,,,IL
126833,140053,ST JOHNS HOSPITAL,Acute Care,Voluntary non-profit - Church,409.0,39.807289,-89.644833,IL
126959,140054,MACNEAL  HOSPITAL,Acute Care,Proprietary,319.0,41.832002,-87.792783,IL
127085,140059,JERSEY COMMUNITY HOSPITAL,Acute Care,Government - Local,46.0,39.109906,-90.341622,IL
127211,140062,PALOS COMMUNITY HOSPITAL,Acute Care,Voluntary non-profit - Private,386.0,41.668955,-87.815976,IL
127337,140063,RUSH OAK PARK HOSPITAL,Acute Care,Voluntary non-profit - Church,222.0,41.879026,-87.803818,IL
127461,140064,ST MARY MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,88.0,40.98702,-90.363609,IL
127587,140064,OSF ST MARY MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,88.0,40.98702,-90.363609,IL
127589,140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Church,179.0,41.797382,-87.888407,IL
127715,140067,SAINT FRANCIS MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,651.0,40.702366,-89.589985,IL
127841,140067,OSF SAINT FRANCIS MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,651.0,40.702366,-89.589985,IL
127856,140068,ROSELAND COMMUNITY HOSPITAL,Acute Care,Voluntary non-profit - Other,136.0,41.692562,-87.624734,IL
127980,140077,TOUCHETTE REGIONAL HOSPITAL INC,Acute Care,Voluntary non-profit - Private,124.0,38.571324,-90.10767,IL
128089,14007F,HINES VA MEDICAL CENTER,Acute Care (VA),Government - Federal,,,,
128158,140080,PRESENCE SAINT FRANCIS HOSPITAL,Acute Care,Voluntary non-profit - Church,191.0,42.023951,-87.685159,IL
128284,140080,RHC ST FRANCIS HOSPITAL,Acute Care,Voluntary non-profit - Church,191.0,42.023951,-87.685159,IL
128286,140082,LOUIS A WEISS MEMORIAL HOSPITAL,Acute Care,Proprietary,164.0,41.966521,-87.648898,IL
128412,140083,LORETTO HOSPITAL,Acute Care,Voluntary non-profit - Private,146.0,41.872042,-87.764443,IL
128530,140084,VISTA MEDICAL CENTER EAST,Acute Care,Voluntary non-profit - Other,190.0,42.378264,-87.830964,IL
128656,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,620.0,41.787956,-87.604925,IL
128782,140089,MC DONOUGH DISTRICT HOSPITAL,Acute Care,Government - Hospital District or Authority,66.0,40.447907,-90.66403,IL
128908,14008F,MARION IL VA MEDICAL CENTER,Acute Care (VA),Government - Federal,,,,
128975,140091,CARLE FOUNDATION HOSPITAL,Acute Care,Voluntary non-profit - Private,390.0,40.117423,-88.213888,IL
128999,140091,THE CARLE FOUNDATION HOSPITAL,Acute Care,Voluntary non-profit - Private,390.0,40.117423,-88.213888,IL
129104,140093,OSF SACRED HEART MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,159.0,40.136197,-87.644908,IL
129170,140093,PRESENCE UNITED SAMARITANS MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,159.0,40.136197,-87.644908,IL
129231,140093,PROVENA UNITED SAMARITANS MEDCTR-LOGAN,Acute Care,Voluntary non-profit - Church,159.0,40.136197,-87.644908,IL
129233,140093,PROVENA UNITED SAMARITANS MED CTR-LOGAN,Acute Care,Voluntary non-profit - Church,159.0,40.136197,-87.644908,IL
129242,140095,SAINT ANTHONY HOSPITAL,Acute Care,Voluntary non-profit - Church,151.0,41.855538,-87.698272,IL
129366,140100,MIDWESTERN REGION MED CENTER,Acute Care,Proprietary,72.0,42.44897,-87.82684,IL
129368,140100,"MIDWESTERN REGION MED CENTER, INC",Acute Care,Proprietary,72.0,42.44897,-87.82684,IL
129460,140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,Acute Care,Voluntary non-profit - Private,88.0,41.368907,-88.426016,IL
129586,140101,MORRIS HOSPITAL AND HEALTHCARE CENTERS,Acute Care,Voluntary non-profit - Private,88.0,41.368907,-88.426016,IL
129588,140103,ST BERNARD HOSPITAL,Acute Care,Voluntary non-profit - Private,193.0,41.778114,-87.633273,IL
129712,140110,OSF SAINT ELIZABETH MDL CTR,Acute Care,Voluntary non-profit - Private,97.0,41.356417,-88.82536,IL
129734,140110,OTTAWA REGIONAL HOSPITAL DBA OSF SAINT ELIZABETH MDL CTR,Acute Care,Voluntary non-profit - Private,97.0,41.356417,-88.82536,IL
129758,140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,Acute Care,Voluntary non-profit - Private,97.0,41.356417,-88.82536,IL
129861,140113,OSF HEART OF MARY MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,198.0,40.117391,-88.227123,IL
129927,140113,PRESENCE COVENANT MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,198.0,40.117391,-88.227123,IL
129988,140113,PROVENA COVENANT MEDICAL CENTER- URBANA,Acute Care,Voluntary non-profit - Church,198.0,40.117391,-88.227123,IL
129990,140113,PRESENCE COVENANT MEDICAL CENTER- URBANA,Acute Care,Voluntary non-profit - Church,198.0,40.117391,-88.227123,IL
130003,140114,SWEDISH HOSPITAL,Acute Care,Voluntary non-profit - Church,299.0,41.975219,-87.698918,IL
130027,140114,SWEDISH COVENANT HOSPITAL,Acute Care,Voluntary non-profit - Church,299.0,41.975219,-87.698918,IL
130133,140115,THOREK MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Private,154.0,41.954556,-87.650899,IL
130257,140116,NORTHWESTERN MEDICINE MCHENRY,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL
130281,140116,NORTHWESTERN MEDICINE MCHENRY HOSPITAL,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL
130287,140116,NORTHWESTERN MEDICINE WOODSTOCK HOSPITAL,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL
130320,140116,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL
130387,140116,CENTEGRA NORTHERN ILLINOIS MEDICAL CENTER,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL
130389,140116,CENTEGRA HOSPITAL-MCHENRY,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL
130402,140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,468.0,41.988458,-87.81257,IL
130450,140117,PRESENCE RESURRECTION MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,468.0,41.988458,-87.81257,IL
130537,140117,RESURRECTION MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,468.0,41.988458,-87.81257,IL
130539,140119,RUSH UNIVERSITY MEDICAL CENTER,Acute Care,Voluntary non-profit - Private,677.0,41.875166,-87.66851,IL
130665,140120,PEKIN MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Private,97.0,40.563142,-89.633191,IL
130789,140122,ADVENTIST HINSDALE HOSPITAL,Acute Care,Voluntary non-profit - Church,266.0,41.805329,-87.920062,IL
130880,140122,HINSDALE HOSPITAL,Acute Care,Voluntary non-profit - Church,266.0,41.805329,-87.920062,IL
130925,140124,JOHN H STROGER JR HOSPITAL,Acute Care,Government - Local,434.0,41.874041,-87.674311,IL
131049,140124,"JOHN H. STROGER, JR. HOSPITAL OF COOK COUNTY",Acute Care,Government - Local,434.0,41.874041,-87.674311,IL
131060,140125,GATEWAY REGIONAL MEDICAL CENTER,Acute Care,Proprietary,331.0,38.700891,-90.144958,IL
131186,140127,CARLE BROMENN MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,215.0,40.496332,-88.99096,IL
131198,140127,ADVOCATE BROMENN MEDICAL CENTER,Acute Care,Voluntary non-profit - Church,215.0,40.496332,-88.99096,IL
131311,140127,BROMENN HEALTHCARE,Acute Care,Voluntary non-profit - Church,215.0,40.496332,-88.99096,IL
131315,140127,"ADVOCATE HEALTH AND HOSPITAL CORPORATION, DBA BROMENN MEDICAL CENTER",Acute Care,Voluntary non-profit - Church,215.0,40.496332,-88.99096,IL
131317,140130,NORTHWESTERN LAKE FOREST HOSPITAL,Acute Care,Voluntary non-profit - Other,132.0,42.259134,-87.866327,IL
131414,140130,LAKE FOREST HOSPITAL,Acute Care,Voluntary non-profit - Other,132.0,42.259134,-87.866327,IL
131448,140133,HOLY CROSS HOSPITAL,Acute Care,Voluntary non-profit - Private,221.0,41.770008,-87.691909,IL
131572,140135,DECATUR MEMORIAL HOSPITAL,Acute Care,Voluntary non-profit - Other,227.0,39.866492,-88.960912,IL
131698,140137,HSHS HOLY FAMILY HOSPITAL INC,Acute Care,Voluntary non-profit - Private,74.0,38.90188,-89.408677,IL
131735,140137,HSHS HOLY FAMILY HOSPIAL INC,Acute Care,Voluntary non-profit - Private,74.0,38.90188,-89.408677,IL
131744,140137,GREENVILLE REGIONAL HOSPITAL,Acute Care,Voluntary non-profit - Private,74.0,38.90188,-89.408677,IL
131774,140137,GREENVILLE REGIONAL HOSPITAL INC,Acute Care,Voluntary non-profit - Private,74.0,38.90188,-89.408677,IL
131836,140143,ST MARGARETS HOSPITAL,Acute Care,Voluntary non-profit - Private,56.0,41.328409,-89.192633,IL
