,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
599,BEEBE MEDICAL CENTER (080007),2020,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,12.9,4.8,8.7,12.3,11.7,13.4
600,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS (080009)",2020,Acute Care,Voluntary non-profit - Private,158.0,,,DE,13.3,,7.2,12.5,11.6,15.0
601,WILMINGTON VA MEDICAL CENTER (08002F),2020,Acute Care (VA),Government - Federal,,,,,,,8.1,,9.8,14.7
602,GEORGE WASHINGTON UNIV HOSPITAL (090001),2020,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,13.5,2.9,7.2,14.5,9.7,16.7
603,HOWARD UNIVERSITY HOSPITAL (090003),2020,Acute Care,Voluntary non-profit - Other,241.0,38.917011,-77.021896,DC,12.4,,7.7,12.5,8.9,13.2
604,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL (090004),2020,Acute Care,Voluntary non-profit - Private,396.0,38.912599,-77.074388,DC,,,8.4,13.9,10.3,15.4
605,SIBLEY MEMORIAL HOSPITAL (090005),2020,Acute Care,Voluntary non-profit - Other,248.0,38.935747,-77.109889,DC,12.9,,10.1,12.6,10.8,15.1
606,UNITED MEDICAL CENTER (090008),2020,Acute Care,Proprietary,187.0,38.834155,-76.984698,DC,11.0,,9.0,13.0,11.1,14.9
607,MEDSTAR WASHINGTON HOSPITAL CENTER (090011),2020,Acute Care,Voluntary non-profit - Other,757.0,38.929157,-77.012268,DC,10.9,1.6,7.8,14.0,8.5,15.0
608,WASHINGTON DC VA MEDICAL CENTER (09002F),2020,Acute Care (VA),Government - Federal,,,,,13.4,,6.8,,8.7,11.1
609,SHANDS JACKSONVILLE (100001),2020,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,12.4,3.9,7.1,15.6,9.4,12.3
610,BETHESDA  HOSPITAL INC (100002),2020,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,12.4,3.4,9.3,10.5,11.6,14.1
611,ORLANDO HEALTH (100006),2020,Acute Care,Voluntary non-profit - Private,1590.0,28.526925,-81.378203,FL,12.4,2.1,9.1,14.6,12.5,17.0
612,ADVENTHEALTH ORLANDO (100007),2020,Acute Care,Voluntary non-profit - Private,2603.0,28.573457,-81.370328,FL,11.1,2.7,7.0,11.4,9.1,14.3
613,BAPTIST HOSPITAL OF MIAMI (100008),2020,Acute Care,Voluntary non-profit - Private,747.0,25.687781,-80.339086,FL,12.7,3.2,7.6,9.9,11.1,12.3
614,LEE MEMORIAL HOSPITAL (100012),2020,Acute Care,Government - Hospital District or Authority,831.0,26.626924,-81.872295,FL,12.5,3.4,7.5,11.2,11.5,14.0
615,ADVENTHEALTH NEW SMYRNA BEACH (100014),2020,Acute Care,Voluntary non-profit - Church,111.0,29.021174,-80.922903,FL,12.5,,10.0,13.0,10.7,14.5
616,HALIFAX HEALTH MEDICAL CENTER (100017),2020,Acute Care,Government - Hospital District or Authority,508.0,29.20055,-81.05534,FL,13.0,2.3,12.3,16.8,11.7,20.3
617,NAPLES COMMUNITY HOSPITAL (100018),2020,Acute Care,Voluntary non-profit - Private,641.0,26.150806,-81.799488,FL,11.3,3.3,6.9,15.9,11.4,14.2
618,HOLMES REGIONAL MEDICAL CENTER (100019),2020,Acute Care,Voluntary non-profit - Private,523.0,28.08691,-80.613523,FL,14.4,2.0,7.3,14.8,11.0,14.8
619,JACKSON HEALTH SYSTEM (100022),2020,Acute Care,Government - Hospital District or Authority,1682.0,25.790612,-80.214945,FL,13.2,4.4,10.2,15.9,11.2,16.8
620,CITRUS MEMORIAL HOSPITAL (100023),2020,Acute Care,Government - Hospital District or Authority,202.0,28.832242,-82.335335,FL,12.1,2.3,12.3,17.5,14.2,20.0
621,SACRED HEART HOSPITAL (100025),2020,Acute Care,Voluntary non-profit - Private,524.0,30.475588,-87.210986,FL,11.7,3.6,9.7,16.0,12.4,13.9
622,ASCENSION SACRED HEART BAY (100026),2020,Acute Care,Government - Hospital District or Authority,257.0,30.159681,-85.647067,FL,14.2,2.9,9.3,14.5,9.2,14.6
623,PARRISH MEDICAL CENTER (100028),2020,Acute Care,Government - Hospital District or Authority,210.0,28.629068,-80.824943,FL,11.9,,11.8,16.7,13.1,21.7
624,NORTH SHORE MEDICAL CENTER (100029),2020,Acute Care,Proprietary,759.0,25.861658,-80.214656,FL,12.1,,9.6,14.1,12.2,18.5
625,HEALTH CENTRAL (100030),2020,Acute Care,Government - State,197.0,28.551666,-81.525787,FL,13.0,,7.7,14.1,9.5,16.6
626,BAYFRONT HEALTH - ST PETERSBURG (100032),2020,Acute Care,Voluntary non-profit - Private,350.0,27.763222,-82.641663,FL,12.4,,7.8,16.2,12.4,15.2
627,MOUNT SINAI MEDICAL CENTER (100034),2020,Acute Care,Proprietary,598.0,25.815045,-80.137939,FL,11.4,3.1,6.0,12.5,8.5,12.0
628,MANATEE MEMORIAL HOSPITAL (100035),2020,Acute Care,Proprietary,303.0,27.497209,-82.561241,FL,13.2,3.6,11.4,15.1,14.2,19.7
629,MEMORIAL REGIONAL HOSPITAL (100038),2020,Acute Care,Government - Hospital District or Authority,1002.0,26.018262,-80.178865,FL,12.8,2.8,8.8,13.0,10.6,14.1
630,BROWARD HEALTH MEDICAL CENTER (100039),2020,Acute Care,Government - Hospital District or Authority,638.0,26.101975,-80.14231,FL,12.2,2.7,8.1,13.7,10.0,13.3
631,ASCENSION ST VINCENT'S RIVERSIDE (100040),2020,Acute Care,Voluntary non-profit - Private,490.0,30.307891,-81.689154,FL,12.2,4.3,9.1,11.5,9.7,17.1
632,MEASE DUNEDIN HOSPITAL (100043),2020,Acute Care,Voluntary non-profit - Private,114.0,28.014032,-82.783822,FL,13.1,,8.7,13.0,9.5,14.2
633,CLEVELAND CLINIC MARTIN NORTH HOSPITAL (100044),2020,Acute Care,Voluntary non-profit - Private,450.0,27.199441,-80.243034,FL,13.2,4.6,8.0,11.5,12.4,15.5
634,ADVENTHEALTH DELAND (100045),2020,Acute Care,Voluntary non-profit - Church,160.0,29.042613,-81.317205,FL,14.0,,9.0,12.1,14.3,20.4
635,FLORIDA HOSPITAL ZEPHYRHILLS (100046),2020,Acute Care,Voluntary non-profit - Church,144.0,28.260937,-82.188041,FL,13.2,,9.1,16.6,10.7,11.4
636,BAYFRONT HEALTH PUNTA GORDA (100047),2020,Acute Care,Proprietary,172.0,26.940682,-82.041788,FL,12.3,,7.9,14.4,12.5,16.5
637,JAY HOSPITAL (100048),2020,Acute Care,Voluntary non-profit - Private,28.0,30.95004,-87.151666,FL,,,10.6,,11.8,15.4
638,HIGHLANDS REGIONAL MEDICAL CENTER (100049),2020,Acute Care,Proprietary,119.0,27.465045,-81.433761,FL,15.0,,9.5,,10.2,18.8
639,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS (100050),2020,Acute Care,Voluntary non-profit - Private,182.0,25.866662,-80.312165,FL,12.6,,7.8,,9.7,11.1
640,ORLANDO HEALTH SOUTH LAKE HOSPITAL (100051),2020,Acute Care,Government - Hospital District or Authority,158.0,28.551178,-81.723415,FL,12.0,,8.0,13.0,10.5,13.7
641,WINTER HAVEN HOSPITAL (100052),2020,Acute Care,Voluntary non-profit - Private,514.0,28.027669,-81.726746,FL,13.7,2.7,11.5,14.8,13.9,20.6
642,HIALEAH HOSPITAL (100053),2020,Acute Care,Proprietary,346.0,25.844931,-80.268881,FL,11.5,,8.5,12.0,9.4,17.3
643,TWIN CITIES HOSPITAL (100054),2020,Acute Care,Proprietary,63.0,,,FL,,,8.7,,10.4,12.4
644,ADVENTHEALTH NORTH PINELLAS (100055),2020,Acute Care,Voluntary non-profit - Other,168.0,28.13314,-82.758576,FL,11.8,,8.7,13.6,10.6,15.4
645,ADVENTHEALTH WATERMAN (100057),2020,Acute Care,Voluntary non-profit - Church,263.0,28.822351,-81.71021,FL,13.5,3.2,8.9,13.1,11.9,13.9
646,ADVENTHEALTH OCALA (100062),2020,Acute Care,Government - Hospital District or Authority,404.0,29.174236,-82.137834,FL,11.9,2.3,10.2,16.3,14.1,21.3
647,MORTON PLANT NORTH BAY HOSPITAL (100063),2020,Acute Care,Voluntary non-profit - Private,220.0,28.253933,-82.715478,FL,12.8,,9.9,12.5,11.3,17.8
648,ST ANTHONYS HOSPITAL (100067),2020,Acute Care,Voluntary non-profit - Church,349.0,27.779343,-82.651224,FL,13.4,,6.4,12.4,9.6,13.4
649,ADVENTHEALTH DAYTONA BEACH (100068),2020,Acute Care,Voluntary non-profit - Church,374.0,29.24275,-81.1093,FL,12.3,3.2,9.3,10.8,12.4,16.7
650,FLORIDA HOSPITAL CARROLLWOOD (100069),2020,Acute Care,Voluntary non-profit - Church,105.0,28.013102,-82.504954,FL,,,7.0,12.3,9.9,12.9
651,VENICE REGIONAL BAYFRONT HEALTH (100070),2020,Acute Care,Proprietary,264.0,27.089683,-82.444445,FL,14.4,5.7,9.4,15.2,14.8,18.1
652,BAYFRONT HEALTH BROOKSVILLE (100071),2020,Acute Care,Voluntary non-profit - Church,244.0,28.541115,-82.443386,FL,12.6,,9.9,12.6,13.3,20.1
653,ADVENTHEALTH FISH MEMORIAL (100072),2020,Acute Care,Voluntary non-profit - Church,176.0,28.91129,-81.284122,FL,12.1,,6.3,14.1,9.8,15.7
654,HOLY CROSS HOSPITAL (100073),2020,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,12.0,2.2,7.4,11.9,11.0,16.1
655,ST JOSEPHS HOSPITAL (100075),2020,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,10.9,2.4,6.7,15.8,8.9,14.6
656,BAYFRONT HEALTH PORT CHARLOTTE (100077),2020,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,13.9,3.4,7.4,15.9,11.7,16.2
657,JFK MEDICAL CENTER (100080),2020,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,12.8,2.8,9.1,14.0,10.1,16.4
658,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2020,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,,,7.9,,9.7,19.0
659,UF HEALTH LEESBURG HOSPITAL (100084),2020,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,12.6,2.1,9.7,14.7,12.9,19.7
660,BROWARD HEALTH NORTH (100086),2020,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,13.0,,10.0,13.0,14.5,18.1
661,SARASOTA MEMORIAL HOSPITAL (100087),2020,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,10.3,2.1,9.0,12.5,10.9,14.9
662,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE (100088),2020,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,11.2,2.8,5.6,12.5,8.4,13.6
663,FLAGLER HOSPITAL (100090),2020,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,12.9,2.9,7.8,14.2,11.1,13.7
664,STEWARD ROCKLEDGE HOSPITAL (100092),2020,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,14.0,4.0,9.4,12.7,10.2,14.5
665,BAPTIST HOSPITAL (100093),2020,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,11.7,3.2,8.0,15.1,12.0,15.2
666,ADVENTHEALTH LAKE WALES (100099),2020,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,13.6,,6.5,13.6,12.1,17.4
667,BAY PINES VA MEDICAL CENTER (10009F),2020,Acute Care (VA),Government - Federal,,,,,13.3,,7.7,,10.5,11.2
668,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER (100102),2020,Acute Care,Voluntary non-profit - Private,95.0,30.193486,-82.632704,FL,12.4,,8.2,,11.4,17.4
669,CLEVELAND CLINIC INDIAN RIVER HOSPITAL (100105),2020,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,11.7,2.5,13.3,13.6,13.7,14.1
670,DOCTORS MEMORIAL HOSPITAL INC (100106),2020,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,,,8.9,,11.2,17.9
671,LEHIGH REGIONAL MEDICAL CENTER (100107),2020,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,12.5,,8.1,,10.1,13.3
672,ADVENTHEALTH SEBRING (100109),2020,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,11.1,,8.5,13.1,11.5,15.9
673,OSCEOLA REGIONAL MEDICAL CENTER (100110),2020,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,12.5,3.3,8.0,15.6,12.0,17.5
674,UF HEALTH SHANDS HOSPITAL (100113),2020,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,12.3,2.8,6.7,16.7,10.7,12.5
675,BAPTIST MEDICAL CENTER  BEACHES (100117),2020,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,11.8,,8.6,11.0,7.9,11.4
676,FLORIDA HOSPITAL FLAGLER (100118),2020,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,12.3,,9.5,12.0,11.7,14.4
677,BARTOW REGIONAL MEDICAL CENTER (100121),2020,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,11.0,,8.6,12.2,10.1,16.1
678,NORTH OKALOOSA MEDICAL CENTER (100122),2020,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,13.3,,7.1,13.4,10.6,15.2
679,SANTA ROSA MEDICAL CENTER (100124),2020,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,12.8,,7.9,12.0,11.7,15.8
680,HOMESTEAD HOSPITAL (100125),2020,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,13.4,,9.1,13.0,10.8,13.1
681,PALMS OF PASADENA HOSPITAL (100126),2020,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,14.4,,6.9,11.5,10.9,15.2
682,MORTON PLANT HOSPITAL (100127),2020,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,12.0,2.4,9.7,15.6,12.6,14.2
683,TAMPA GENERAL HOSPITAL (100128),2020,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,12.2,4.0,5.7,12.9,9.5,13.3
684,LAKESIDE MEDICAL CENTER (100130),2020,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,,,8.5,,10.5,14.5
685,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2020,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,12.6,2.5,5.8,11.8,9.6,10.7
686,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2020,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,12.6,,7.5,14.3,11.9,17.1
687,ED FRASER MEMORIAL HOSPITAL (100134),2020,Acute Care,Government - Hospital District or Authority,90.0,30.28555,-82.11955,FL,,,8.8,,10.5,15.6
688,TALLAHASSEE MEMORIAL HEALTHCARE (100135),2020,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,15.7,3.8,9.2,15.4,10.5,21.5
689,ADVENTHEALTH HEART OF FLORIDA (100137),2020,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,12.2,,8.4,14.0,10.7,19.0
690,BAPTIST MEDICAL CENTER - NASSAU (100140),2020,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,,,9.7,12.2,10.9,15.8
691,JACKSON HOSPITAL (100142),2020,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,12.4,,8.5,12.4,10.5,18.2
692,LOWER KEYS MEDICAL CENTER (100150),2020,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,12.2,,9.4,,12.7,16.9
693,MAYO CLINIC FLORIDA (100151),2020,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,11.3,2.1,7.3,15.4,11.0,14.8
694,SOUTH MIAMI HOSPITAL (100154),2020,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,13.3,,8.8,13.0,12.4,14.4
695,LAKE CITY MEDICAL CENTER (100156),2020,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,11.1,,7.7,12.2,11.4,14.9
696,LAKELAND REGIONAL MEDICAL CENTER (100157),2020,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,13.3,3.6,10.0,15.7,10.9,18.9
697,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY (10015F),2020,Acute Care (VA),VA,,,,,,,7.3,,9.3,9.9
698,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2020,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,10.6,2.6,8.8,12.6,8.2,15.8
699,DOCTORS HOSPITAL OF SARASOTA (100166),2020,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,12.9,,8.4,12.8,10.0,16.8
700,PLANTATION GENERAL HOSPITAL (100167),2020,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,13.8,,7.1,12.2,10.5,11.3
701,BOCA RATON REGIONAL HOSPITAL (100168),2020,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,12.7,2.4,8.8,12.5,11.8,14.0
702,ADVENTHEALTH TAMPA (100173),2020,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,13.5,4.7,10.3,16.5,10.2,15.3
703,DESOTO MEMORIAL HOSPITAL (100175),2020,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,,,9.4,,10.2,13.6
704,PALM BEACH GARDENS MEDICAL CENTER (100176),2020,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,10.9,2.3,8.9,11.2,10.3,14.6
705,CAPE CANAVERAL HOSPITAL (100177),2020,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,12.8,,9.4,13.3,10.6,15.1
706,MEMORIAL HOSPITAL JACKSONVILLE (100179),2020,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,16.5,4.9,9.3,12.4,11.5,15.1
707,ST PETERSBURG GENERAL HOSPITAL (100180),2020,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,,,7.2,13.2,8.9,17.1
708,LARKIN COMMUNITY HOSPITAL (100181),2020,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,,,,,,15.3
709,CORAL GABLES HOSPITAL (100183),2020,Acute Care,Proprietary,245.0,,,FL,12.3,,6.4,13.1,10.1,12.7
710,PALMETTO GENERAL HOSPITAL (100187),2020,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,13.4,2.5,8.7,14.5,9.7,18.4
711,NORTHWEST MEDICAL CENTER (100189),2020,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,13.0,2.5,8.0,12.4,11.6,15.9
712,MEDICAL CENTER OF TRINITY (100191),2020,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,11.2,5.1,11.1,11.4,12.5,18.1
713,BROWARD HEALTH IMPERIAL POINT (100200),2020,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,,,7.6,12.7,10.9,15.8
714,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2020,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,13.4,4.2,7.0,14.8,12.0,15.3
715,MEMORIAL HOSPITAL OF TAMPA (100206),2020,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,12.1,,8.3,,8.2,14.4
716,KENDALL REGIONAL MEDICAL CENTER (100209),2020,Acute Care,Proprietary,423.0,,,FL,12.1,,6.8,12.2,8.4,12.7
717,ADVENTHEALTH DADE CITY (100211),2020,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,12.1,,9.9,,13.1,19.2
718,MARION COMMUNTIY HOSPITAL (100212),2020,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,15.1,1.8,10.6,15.0,14.1,20.9
719,BLAKE MEDICAL CENTER (100213),2020,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,14.4,4.0,8.1,12.7,14.5,17.4
720,STEWARD SEBASTIAN RIVER MEDICAL CENTER (100217),2020,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,14.9,,7.7,14.4,13.6,13.3
721,GULF COAST MEDICAL CENTER LEE HEALTH (100220),2020,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,11.2,,6.3,15.1,11.8,12.9
722,FORT WALTON BEACH MEDICAL CENTER (100223),2020,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,11.0,2.0,10.0,13.0,11.8,18.4
723,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2020,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,12.2,,7.9,11.0,10.8,17.3
724,ORANGE PARK MEDICAL CENTER (100226),2020,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,13.8,3.0,7.1,14.6,11.3,17.4
725,WESTSIDE REGIONAL MEDICAL CENTER (100228),2020,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,11.2,3.2,7.4,15.7,11.6,18.3
726,MEMORIAL HOSPITAL PEMBROKE (100230),2020,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,12.9,,9.2,13.3,11.2,13.5
727,WEST FLORIDA HOSPITAL (100231),2020,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,13.3,3.3,6.9,13.5,10.2,15.3
728,PUTNAM COMMUNITY MEDICAL CENTER (100232),2020,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,12.6,,8.5,12.6,9.5,16.8
729,FAWCETT MEMORIAL HOSPITAL (100236),2020,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,12.1,4.0,10.0,14.5,11.5,18.7
730,NORTHSIDE HOSPITAL (100238),2020,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,13.6,2.8,8.5,16.6,9.6,17.7
731,GULF COAST REGIONAL MEDICAL CENTER (100242),2020,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,12.0,,7.3,11.8,9.1,16.0
732,BRANDON REGIONAL HOSPITAL (100243),2020,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,12.6,3.1,8.1,14.9,8.3,13.0
733,CAPE CORAL HOSPITAL (100244),2020,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,12.5,,8.4,11.2,11.4,16.7
734,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2020,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,13.0,3.7,8.8,16.1,9.4,17.4
735,LARGO MEDICAL CENTER (100248),2020,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,12.2,2.5,8.5,14.3,12.4,15.1
736,BAYFRONT HEALTH SEVEN RIVERS (100249),2020,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,14.0,,10.6,13.6,14.3,20.3
737,RAULERSON HOSPITAL (100252),2020,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,11.8,,6.9,12.3,10.1,17.8
738,JUPITER MEDICAL CENTER (100253),2020,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,12.3,,7.7,12.5,9.8,12.5
739,CAPITAL REGIONAL MEDICAL CENTER (100254),2020,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,12.7,3.7,8.0,11.1,14.9,16.9
740,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2020,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,13.6,4.1,10.0,16.5,13.6,18.0
741,DELRAY MEDICAL CENTER (100258),2020,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,11.7,2.8,9.5,13.8,11.1,15.4
742,SOUTH BAY HOSPITAL (100259),2020,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,13.1,,7.9,11.3,9.5,15.1
743,ST LUCIE MEDICAL CENTER (100260),2020,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,13.5,,8.1,11.7,13.6,17.2
744,OAK HILL HOSPITAL (100264),2020,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,13.4,4.8,10.2,10.7,11.8,18.7
745,MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE (100265),2020,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,12.2,,8.0,14.0,13.0,19.4
746,GULF BREEZE HOSPITAL (100266),2020,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,12.3,,7.0,12.5,9.8,11.5
747,ENGLEWOOD COMMUNITY HOSPITAL (100267),2020,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,11.5,,13.0,13.9,10.9,16.0
748,WEST BOCA MEDICAL CENTER (100268),2020,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,13.3,,8.7,12.8,11.9,15.6
749,PALMS WEST HOSPITAL (100269),2020,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,12.5,,8.1,11.6,14.1,14.6
750,WELLINGTON REGIONAL MEDICAL CENTER LLC (100275),2020,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,12.8,,9.8,14.1,12.8,17.7
751,BROWARD HEALTH CORAL SPRINGS (100276),2020,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,,,7.2,12.0,9.6,14.8
752,MEMORIAL HOSPITAL WEST (100281),2020,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,11.6,,7.0,10.9,9.5,13.6
753,WESTCHESTER GENERAL HOSPITAL (100284),2020,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,12.0,,6.0,,9.7,11.5
754,MEMORIAL HOSPITAL MIRAMAR (100285),2020,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,11.8,,8.0,12.1,9.6,14.2
755,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2020,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,12.3,,8.7,12.3,10.0,15.0
756,GOOD SAMARITAN MEDICAL CENTER (100287),2020,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,12.2,,8.8,11.0,11.6,18.8
757,ST MARY'S MEDICAL CENTER (100288),2020,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,,,8.2,16.5,10.3,18.5
758,CLEVELAND CLINIC HOSPITAL (100289),2020,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,12.8,2.8,8.3,11.9,11.7,15.1
759,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2020,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,14.1,,9.4,12.2,12.2,18.9
760,MELBOURNE REGIONAL MEDICAL CENTER (100291),2020,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,12.4,,9.1,,11.6,17.5
761,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2020,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,11.9,,8.4,17.6,12.5,17.8
762,DOCTORS HOSPITAL (100296),2020,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,,,6.7,12.6,8.7,11.6
