,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Iatrogenic pneumothorax rate (PSI 6),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
513,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2017,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,11.5,,2.4,7.4,13.7,10.8,,,,13.2
514,FOOTHILLS HOSPITAL (060027),2017,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,14.1,,3.1,9.5,14.2,10.3,,,,13.0
515,SAINT JOSEPH HOSPITAL (060028),2017,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,13.5,,2.6,,14.5,10.9,,,,15.5
516,MCKEE MEDICAL CENTER (060030),2017,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,16.4,,,8.3,15.5,12.2,,,,18.6
517,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2017,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,13.4,,4.3,10.0,16.2,13.9,,,,15.1
518,ROSE MEDICAL CENTER (060032),2017,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,12.6,,3.8,7.6,14.5,10.4,,,,12.2
519,SWEDISH MEDICAL CENTER (060034),2017,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,14.6,,2.7,7.7,16.7,11.5,,,,15.0
520,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (060036),2017,Acute Care,Voluntary non-profit - Private,125.0,,,CO,,,,8.3,14.0,12.2,,,,14.2
521,COLORADO PLAINS MEDICAL CENTER (060044),2017,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,,,,8.0,,13.3,,,,17.5
522,YAMPA VALLEY MEDICAL CENTER (060049),2017,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,,,,,,12.2,,,,14.3
523,COMMUNITY HOSPITAL (060054),2017,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,,,,8.1,,13.3,,,,14.9
524,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2017,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,13.3,,3.2,11.1,13.6,12.8,,,,12.4
525,NORTH SUBURBAN MEDICAL CENTER (060065),2017,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,13.3,,,8.5,13.9,12.9,,,,17.0
526,DELTA COUNTY MEMORIAL HOSPITAL (060071),2017,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,,,,9.1,15.4,13.8,,,,14.8
527,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2017,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,12.6,,,8.6,13.7,10.5,,,,13.5
528,STERLING REGIONAL MEDCENTER (060076),2017,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,14.9,,,9.6,16.0,12.0,,,,17.5
529,VAIL VALLEY MEDICAL CENTER (060096),2017,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,,,,,,,,,,15.0
530,"MEDICAL CENTER OF AURORA, THE (060100)",2017,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,12.8,,3.9,9.3,13.7,10.9,,,,14.1
531,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2017,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,12.8,,,,,11.4,,,,14.0
532,ST ANTHONY NORTH HEALTH CAMPUS (060104),2017,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,13.7,,,9.5,14.0,14.0,,,,14.3
533,SKY RIDGE MEDICAL CENTER (060112),2017,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,14.0,,,7.2,13.1,9.8,,,,15.3
534,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL (060113),2017,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,14.2,,,9.1,16.1,11.1,,,,15.8
535,PARKER ADVENTIST HOSPITAL (060114),2017,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,13.6,,,7.1,11.9,9.6,,,,14.4
536,GOOD SAMARITAN MEDICAL CENTER (060116),2017,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,13.3,,,7.2,16.8,11.4,,,,16.1
537,ST ANTHONY SUMMIT MEDICAL CENTER (060118),2017,Acute Care,Voluntary non-profit - Church,34.0,39.569988,-106.078259,CO,,,,,,,,,,14.2
538,MEDICAL CENTER OF THE ROCKIES (060119),2017,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,12.7,,3.2,8.4,14.5,13.6,,,,13.4
539,CASTLE ROCK ADVENTIST HOSPITAL (060125),2017,Acute Care,Voluntary non-profit - Private,56.0,39.404112,-104.886146,CO,,,,8.3,,12.0,,,,15.7
540,RIO GRANDE HOSPITAL (061301),2017,Critical Access,Voluntary non-profit - Private,16.0,37.674371,-106.36481,CO,,,,7.4,,11.8,,,,16.2
541,COLORADO CANYONS HOSPITAL AND MEDICAL CENTER (061302),2017,Critical Access,Voluntary non-profit - Private,56.0,39.164337,-108.735901,CO,,,,,,,,,,14.4
542,EAST MORGAN COUNTY HOSPITAL (061303),2017,Critical Access,Government - Hospital District or Authority,25.0,40.254738,-103.649178,CO,,,,7.6,,15.4,,,,20.6
543,MELISSA MEMORIAL HOSPITAL (061305),2017,Critical Access,Government - Hospital District or Authority,15.0,40.578428,-102.290249,CO,,,,,,,,,,16.3
544,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL (061308),2017,Critical Access,Voluntary non-profit - Private,17.0,37.26375,-105.964095,CO,,,,,,,,,,15.7
545,WRAY COMMUNITY DISTRICT HOSPITAL (061309),2017,Critical Access,Government - Hospital District or Authority,16.0,40.075405,-102.23466,CO,,,,,,,,,,14.6
546,SEDGWICK COUNTY MEMORIAL HOSPITAL (061310),2017,Critical Access,Government - Local,41.0,40.993743,-102.269232,CO,,,,,,,,,,16.6
547,SOUTHEAST COLORADO HOSPITAL (061311),2017,Critical Access,Government - Hospital District or Authority,71.0,37.404165,-102.612423,CO,,,,,,,,,,18.2
548,ESTES PARK MEDICAL CENTER (061312),2017,Critical Access,Government - Hospital District or Authority,84.0,40.372259,-105.514088,CO,,,,,,,,,,15.0
549,KIT CARSON COUNTY MEMORIAL HOSPITAL (061313),2017,Critical Access,Government - Hospital District or Authority,19.0,39.302378,-102.270711,CO,,,,,,12.5,,,,17.2
550,"MEMORIAL HOSPITAL, THE (061314)",2017,Critical Access,Government - Local,25.0,40.518288,-107.57863,CO,,,,7.7,,,,,,17.1
551,YUMA DISTRICT HOSPITAL (061315),2017,Critical Access,Government - Hospital District or Authority,16.0,40.118445,-102.736654,CO,,,,8.1,,,,,,14.8
552,SPANISH PEAKS REGIONAL HEALTH CENTER (061316),2017,Critical Access,Government - Hospital District or Authority,141.0,37.607688,-104.819786,CO,,,,,,13.9,,,,17.0
553,GRAND RIVER MEDICAL CENTER (061317),2017,Critical Access,Government - Hospital District or Authority,66.0,39.522587,-107.77201,CO,,,,7.1,,12.8,,,,13.6
554,GUNNISON VALLEY HOSPITAL (061320),2017,Critical Access,Government - Local,20.0,38.551089,-106.924321,CO,,,,,,,,,,15.6
555,MT SAN RAFAEL HOSPITAL (061321),2017,Critical Access,Voluntary non-profit - Private,25.0,37.17338,-104.488796,CO,,,,7.7,,12.9,,,,15.2
556,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER (061322),2017,Critical Access,Government - Hospital District or Authority,25.0,38.543102,-106.007291,CO,,,,,,12.8,,,,17.0
557,PROWERS MEDICAL CENTER (061323),2017,Critical Access,Government - Hospital District or Authority,25.0,38.070915,-102.609068,CO,,,,8.5,,12.8,,,,16.7
558,ASPEN VALLEY HOSPITAL (061324),2017,Critical Access,Government - Hospital District or Authority,25.0,39.190057,-106.837784,CO,,,,,,,,,,14.0
559,PIONEERS MEDICAL CENTER (061325),2017,Critical Access,Government - Hospital District or Authority,44.0,,,CO,,,,,,,,,,18.3
560,PIKES PEAK REGIONAL HOSPITAL (061326),2017,Critical Access,Voluntary non-profit - Private,15.0,38.973932,-105.074267,CO,,,,7.2,,,,,,14.9
561,SOUTHWEST MEMORIAL HOSPITAL (061327),2017,Critical Access,Voluntary non-profit - Private,25.0,37.36214,-108.572739,CO,,,,8.8,15.8,12.3,,,,17.7
562,PAGOSA SPRINGS MEDICAL CENTER (061328),2017,Critical Access,Government - Hospital District or Authority,11.0,37.252776,-107.077219,CO,,,,,,11.5,,,,15.4
563,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2017,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,12.2,,4.1,8.1,13.9,9.5,,,,15.5
564,DAY KIMBALL HOSPITAL (070003),2017,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,14.5,,,8.4,13.1,11.5,,,,15.9
565,SHARON HOSPITAL (070004),2017,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,13.5,,,8.1,12.7,15.0,,,,15.3
566,WATERBURY HOSPITAL (070005),2017,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,13.3,,2.6,8.1,13.7,11.0,,,,16.9
567,STAMFORD HOSPITAL (070006),2017,Acute Care,Voluntary non-profit - Private,303.0,,,CT,15.0,,3.4,6.6,12.4,11.6,,,,14.6
568,LAWRENCE & MEMORIAL HOSPITAL (070007),2017,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,14.2,,,8.3,13.5,11.2,,,,17.9
569,JOHNSON MEMORIAL HOSPITAL (070008),2017,Acute Care,Voluntary non-profit - Private,88.0,,,CT,12.6,,,6.6,14.3,10.2,,,,13.2
570,BRIDGEPORT HOSPITAL (070010),2017,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,10.7,,2.9,7.3,15.8,9.5,,,,13.1
571,CHARLOTTE HUNGERFORD HOSPITAL (070011),2017,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,12.4,,,10.9,16.1,12.1,,,,19.5
572,ROCKVILLE GENERAL HOSPITAL (070012),2017,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,13.3,,,6.6,13.9,10.1,,,,14.4
573,SAINT MARYS HOSPITAL (070016),2017,Acute Care,Voluntary non-profit - Other,167.0,,,CT,13.8,,3.8,7.8,13.5,11.8,,,,12.3
574,MIDSTATE MEDICAL CENTER (070017),2017,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,12.9,,,7.4,12.7,10.0,,,,15.0
575,GREENWICH HOSPITAL ASSOCIATION (070018),2017,Acute Care,Voluntary non-profit - Private,184.0,41.034395,-73.629632,CT,13.5,,,7.1,13.2,11.1,,,,13.3
576,"MILFORD HOSPITAL, INC (070019)",2017,Acute Care,Voluntary non-profit - Private,106.0,,,CT,13.0,,,7.4,15.6,14.1,,,,16.4
577,MIDDLESEX HOSPITAL (070020),2017,Acute Care,Voluntary non-profit - Private,228.0,41.554865,-72.647633,CT,12.9,,,6.5,13.4,14.0,,,,15.2
578,WINDHAM COMM MEM HOSP & HATCH HOSP (070021),2017,Acute Care,Voluntary non-profit - Private,64.0,41.716569,-72.224068,CT,13.6,,,8.8,14.5,12.7,,,,13.8
579,YALE-NEW HAVEN HOSPITAL (070022),2017,Acute Care,Voluntary non-profit - Private,1347.0,41.304285,-72.934689,CT,11.8,,2.0,5.5,13.2,10.5,,,,12.3
580,WILLIAM W BACKUS HOSPITAL (070024),2017,Acute Care,Voluntary non-profit - Other,184.0,41.543402,-72.086747,CT,12.8,,,6.2,11.7,10.5,,,,14.2
581,HARTFORD HOSPITAL (070025),2017,Acute Care,Voluntary non-profit - Private,895.0,41.754123,-72.68082,CT,14.7,,2.9,7.1,15.5,10.2,,,,13.0
582,MANCHESTER MEMORIAL HOSPITAL (070027),2017,Acute Care,Voluntary non-profit - Private,182.0,41.781087,-72.525221,CT,13.4,,,7.5,13.2,13.8,,,,13.2
583,ST VINCENT'S MEDICAL CENTER (070028),2017,Acute Care,Voluntary non-profit - Church,350.0,41.200083,-73.202486,CT,14.7,,3.7,8.3,16.2,11.5,,,,18.0
584,BRISTOL HOSPITAL (070029),2017,Acute Care,Voluntary non-profit - Private,123.0,41.676078,-72.934878,CT,13.5,,,8.9,16.6,11.7,,,,13.5
585,GRIFFIN HOSPITAL (070031),2017,Acute Care,Voluntary non-profit - Other,119.0,41.335978,-73.088689,CT,12.5,,,7.0,12.9,13.4,,,,15.2
586,DANBURY HOSPITAL (070033),2017,Acute Care,Voluntary non-profit - Private,370.0,41.406776,-73.444339,CT,13.6,,3.4,8.2,13.8,11.2,,,,16.8
587,NORWALK HOSPITAL ASSOCIATION (070034),2017,Acute Care,Voluntary non-profit - Private,278.0,41.110415,-73.421229,CT,13.0,,,6.2,13.1,10.5,,,,13.9
588,"HOSPITAL OF CENTRAL CONNECTICUT, THE (070035)",2017,Acute Care,Voluntary non-profit - Other,297.0,41.662015,-72.787799,CT,12.9,,,6.6,15.6,10.1,,,,17.8
589,JOHN DEMPSEY HOSPITAL (070036),2017,Acute Care,Government - Local,160.0,41.73509,-72.79582,CT,15.6,,2.5,7.1,13.7,10.5,,,,14.3
590,MASONICARE HEALTH CENTER (070039),2017,Acute Care,Voluntary non-profit - Private,503.0,41.460698,-72.836586,CT,,,,7.5,,12.9,,,,17.8
591,HEBREW HOME AND HOSPITAL INC (070040),2017,Acute Care,Voluntary non-profit - Private,201.0,41.802774,-72.728931,CT,,,,,,,,,,16.2
592,"CHRISTIANA CARE HEALTH SERVICES, INC. (080001)",2017,Acute Care,Voluntary non-profit - Private,1132.0,39.689909,-75.673228,DE,13.9,,3.7,7.0,11.2,9.8,,,,14.4
593,ST FRANCIS HOSPITAL (080003),2017,Acute Care,Voluntary non-profit - Private,161.0,,,DE,13.2,,,7.6,12.1,10.5,,,,15.6
594,BAYHEALTH - KENT GENERAL HOSPITAL (080004),2017,Acute Care,Voluntary non-profit - Private,268.0,39.150687,-75.522327,DE,13.0,,3.0,7.9,13.1,10.8,,,,13.1
595,NANTICOKE MEMORIAL HOSPITAL (080006),2017,Acute Care,Voluntary non-profit - Private,112.0,38.642332,-75.605325,DE,13.8,,,8.3,12.8,10.8,,,,16.5
596,BEEBE MEDICAL CENTER (080007),2017,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,13.0,,3.4,8.0,14.1,11.7,,,,16.9
597,BAYHEALTH - MILFORD MEMORIAL HOSPITAL (080009),2017,Acute Care,Voluntary non-profit - Private,158.0,,,DE,12.2,,,7.9,11.9,11.0,,,,17.6
598,GEORGE WASHINGTON UNIV HOSPITAL (090001),2017,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,12.9,,5.1,7.5,15.5,11.8,,,,16.5
599,HOWARD UNIVERSITY HOSPITAL (090003),2017,Acute Care,Voluntary non-profit - Other,241.0,38.917011,-77.021896,DC,13.6,,,7.3,14.6,9.8,,,,15.4
600,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL (090004),2017,Acute Care,Voluntary non-profit - Private,396.0,38.912599,-77.074388,DC,12.7,,,8.5,17.1,11.5,,,,17.7
601,SIBLEY MEMORIAL HOSPITAL (090005),2017,Acute Care,Voluntary non-profit - Other,248.0,38.935747,-77.109889,DC,13.8,,,8.9,12.8,11.5,,,,14.8
602,PROVIDENCE HOSPITAL (090006),2017,Acute Care,Voluntary non-profit - Private,467.0,,,DC,13.3,,,7.3,11.4,9.1,,,,18.3
603,UNITED MEDICAL CENTER (090008),2017,Acute Care,Proprietary,187.0,38.834155,-76.984698,DC,13.5,,,7.1,14.7,9.7,,,,16.0
604,MEDSTAR WASHINGTON HOSPITAL CENTER (090011),2017,Acute Care,Voluntary non-profit - Other,757.0,38.929157,-77.012268,DC,14.3,,1.8,6.1,12.7,9.7,,,,15.9
605,UF HEALTH JACKSONVILLE (100001),2017,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,16.2,,3.2,8.1,14.9,10.3,,,,14.0
606,BETHESDA HOSPITAL EAST (100002),2017,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,12.3,,4.6,7.9,14.9,12.2,,,,14.5
607,ORLANDO HEALTH (100006),2017,Acute Care,Voluntary non-profit - Private,1590.0,28.526925,-81.378203,FL,13.6,,3.2,7.1,14.7,10.9,,,,15.9
608,FLORIDA HOSPITAL (100007),2017,Acute Care,Voluntary non-profit - Private,2603.0,28.573457,-81.370328,FL,13.1,,3.7,5.7,11.1,10.2,,,,14.9
609,BAPTIST HOSPITAL OF MIAMI (100008),2017,Acute Care,Voluntary non-profit - Private,747.0,25.687781,-80.339086,FL,14.7,,2.3,6.0,13.4,10.6,,,,13.2
610,UNIVERSITY OF MIAMI HOSPITAL (100009),2017,Acute Care,Voluntary non-profit - Private,495.0,,,FL,13.3,,2.8,6.0,14.3,8.2,,,,13.5
611,LEE MEMORIAL HOSPITAL (100012),2017,Acute Care,Government - Hospital District or Authority,831.0,26.626924,-81.872295,FL,12.4,,2.5,7.6,14.3,12.2,,,,18.6
612,FLORIDA HOSPITAL NEW SMYRNA (100014),2017,Acute Care,Voluntary non-profit - Church,111.0,29.021174,-80.922903,FL,15.9,,,9.9,17.3,13.7,,,,16.3
613,HALIFAX HEALTH MEDICAL CENTER (100017),2017,Acute Care,Government - Hospital District or Authority,508.0,29.20055,-81.05534,FL,16.3,,2.2,11.5,16.6,14.1,,,,19.8
614,NAPLES COMMUNITY HOSPITAL (100018),2017,Acute Care,Voluntary non-profit - Private,641.0,26.150806,-81.799488,FL,12.6,,1.7,8.1,16.1,12.0,,,,16.8
615,HOLMES REGIONAL MEDICAL CENTER (100019),2017,Acute Care,Voluntary non-profit - Private,523.0,28.08691,-80.613523,FL,14.6,,3.3,7.4,15.5,9.8,,,,13.8
616,JACKSON MEMORIAL HOSPITAL (100022),2017,Acute Care,Government - Hospital District or Authority,1682.0,25.790612,-80.214945,FL,14.6,,,8.4,14.4,11.4,,,,17.1
617,CITRUS MEMORIAL HOSPITAL (100023),2017,Acute Care,Government - Hospital District or Authority,202.0,28.832242,-82.335335,FL,13.8,,3.7,13.5,16.9,14.8,,,,22.5
618,SACRED HEART HOSPITAL (100025),2017,Acute Care,Voluntary non-profit - Private,524.0,30.475588,-87.210986,FL,17.0,,3.6,8.2,18.0,12.1,,,,16.4
619,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM (100026),2017,Acute Care,Government - Hospital District or Authority,257.0,30.159681,-85.647067,FL,13.6,,2.7,7.3,14.9,9.7,,,,16.7
620,PARRISH MEDICAL CENTER (100028),2017,Acute Care,Government - Hospital District or Authority,210.0,28.629068,-80.824943,FL,14.6,,,8.9,14.9,13.3,,,,16.5
621,NORTH SHORE MEDICAL CENTER (100029),2017,Acute Care,Proprietary,759.0,25.861658,-80.214656,FL,13.5,,3.8,9.6,15.8,10.6,,,,17.3
622,HEALTH CENTRAL (100030),2017,Acute Care,Government - State,197.0,28.551666,-81.525787,FL,13.6,,,8.2,15.7,11.0,,,,18.5
623,BAYFRONT HEALTH - ST PETERSBURG (100032),2017,Acute Care,Voluntary non-profit - Private,350.0,27.763222,-82.641663,FL,15.2,,,9.6,14.4,12.1,,,,17.0
624,MOUNT SINAI MEDICAL CENTER (100034),2017,Acute Care,Proprietary,598.0,25.815045,-80.137939,FL,12.0,,2.2,6.8,12.2,10.1,,,,11.2
625,MANATEE MEMORIAL HOSPITAL (100035),2017,Acute Care,Proprietary,303.0,27.497209,-82.561241,FL,17.4,,4.0,11.2,15.1,14.0,,,,19.3
626,MEMORIAL REGIONAL HOSPITAL (100038),2017,Acute Care,Government - Hospital District or Authority,1002.0,26.018262,-80.178865,FL,11.8,,1.5,8.1,12.8,9.0,,,,14.7
627,BROWARD HEALTH MEDICAL CENTER (100039),2017,Acute Care,Government - Hospital District or Authority,638.0,26.101975,-80.14231,FL,13.6,,2.9,7.2,15.7,9.8,,,,14.0
628,ST VINCENT'S MEDICAL CENTER RIVERSIDE (100040),2017,Acute Care,Voluntary non-profit - Private,490.0,30.307891,-81.689154,FL,13.1,,2.4,8.4,13.9,9.1,,,,19.0
629,MEASE DUNEDIN HOSPITAL (100043),2017,Acute Care,Voluntary non-profit - Private,114.0,28.014032,-82.783822,FL,14.1,,,7.0,14.9,13.1,,,,16.7
630,MARTIN MEDICAL CENTER (100044),2017,Acute Care,Voluntary non-profit - Private,450.0,27.199441,-80.243034,FL,14.1,,2.3,8.3,12.3,12.6,,,,14.8
631,FLORIDA HOSPITAL DELAND (100045),2017,Acute Care,Voluntary non-profit - Church,160.0,29.042613,-81.317205,FL,12.2,,,7.5,15.0,11.2,,,,19.4
632,FLORIDA HOSPITAL ZEPHYRHILLS (100046),2017,Acute Care,Voluntary non-profit - Church,144.0,28.260937,-82.188041,FL,13.2,,3.1,8.7,14.4,11.5,,,,21.1
633,BAYFRONT HEALTH PUNTA GORDA (100047),2017,Acute Care,Proprietary,172.0,26.940682,-82.041788,FL,14.8,,,9.1,16.1,13.7,,,,15.9
634,JAY HOSPITAL (100048),2017,Acute Care,Voluntary non-profit - Private,28.0,30.95004,-87.151666,FL,,,,7.6,,10.6,,,,15.3
635,HIGHLANDS REGIONAL MEDICAL CENTER (100049),2017,Acute Care,Proprietary,119.0,27.465045,-81.433761,FL,14.8,,,7.1,13.6,11.6,,,,17.3
636,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS (100050),2017,Acute Care,Voluntary non-profit - Private,182.0,25.866662,-80.312165,FL,14.1,,,6.8,14.6,10.2,,,,14.9
637,SOUTH LAKE HOSPITAL (100051),2017,Acute Care,Government - Hospital District or Authority,158.0,28.551178,-81.723415,FL,15.3,,,8.3,12.6,9.6,,,,17.6
638,WINTER HAVEN HOSPITAL (100052),2017,Acute Care,Voluntary non-profit - Private,514.0,28.027669,-81.726746,FL,13.7,,2.6,8.6,13.4,13.6,,,,19.4
639,HIALEAH HOSPITAL (100053),2017,Acute Care,Proprietary,346.0,25.844931,-80.268881,FL,12.5,,,7.2,13.4,10.1,,,,16.8
640,TWIN CITIES HOSPITAL (100054),2017,Acute Care,Proprietary,63.0,,,FL,12.7,,,7.4,,11.3,,,,15.8
641,FLORIDA HOSPITAL NORTH PINELLAS (100055),2017,Acute Care,Voluntary non-profit - Other,168.0,28.13314,-82.758576,FL,12.8,,,6.9,15.6,9.8,,,,17.8
642,FLORIDA HOSPITAL WATERMAN (100057),2017,Acute Care,Voluntary non-profit - Church,263.0,28.822351,-81.71021,FL,13.7,,4.0,8.4,12.2,12.8,,,,18.1
643,MUNROE REGIONAL MEDICAL CENTER (100062),2017,Acute Care,Government - Hospital District or Authority,404.0,29.174236,-82.137834,FL,12.3,,2.9,8.2,19.9,13.8,,,,18.0
644,MORTON PLANT NORTH BAY HOSPITAL (100063),2017,Acute Care,Voluntary non-profit - Private,220.0,28.253933,-82.715478,FL,11.5,,,10.2,14.5,11.6,,,,15.6
645,ST ANTHONYS HOSPITAL (100067),2017,Acute Care,Voluntary non-profit - Church,349.0,27.779343,-82.651224,FL,11.1,,,8.0,12.8,10.6,,,,13.4
646,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER (100068),2017,Acute Care,Voluntary non-profit - Church,374.0,29.24275,-81.1093,FL,12.3,,4.1,7.5,12.3,12.7,,,,18.5
647,FLORIDA HOSPITAL CARROLLWOOD (100069),2017,Acute Care,Voluntary non-profit - Church,105.0,28.013102,-82.504954,FL,,,,7.4,13.5,11.3,,,,15.7
648,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH (100070),2017,Acute Care,Proprietary,264.0,27.089683,-82.444445,FL,13.1,,4.4,8.1,13.7,13.3,,,,18.5
649,BAYFRONT HEALTH BROOKSVILLE (100071),2017,Acute Care,Voluntary non-profit - Church,244.0,28.541115,-82.443386,FL,15.0,,,9.0,15.3,12.3,,,,18.5
650,FLORIDA HOSPITAL FISH MEMORIAL (100072),2017,Acute Care,Voluntary non-profit - Church,176.0,28.91129,-81.284122,FL,13.6,,,6.8,14.1,10.5,,,,16.8
651,HOLY CROSS HOSPITAL (100073),2017,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,12.3,,3.8,7.4,14.2,12.5,,,,16.4
652,ST JOSEPHS HOSPITAL (100075),2017,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,12.6,,2.7,7.0,15.8,10.6,,,,15.0
653,BAYFRONT HEALTH PORT CHARLOTTE (100077),2017,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,13.8,,3.3,8.0,13.6,10.1,,,,16.2
654,JFK MEDICAL CENTER (100080),2017,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,14.1,,2.6,9.7,13.0,10.5,,,,18.6
655,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2017,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,,,,7.7,,12.6,,,,17.7
656,LEESBURG REGIONAL MEDICAL CENTER (100084),2017,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,14.1,,3.5,8.6,15.2,12.0,,,,16.0
657,BROWARD HEALTH NORTH (100086),2017,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,14.1,,,11.3,16.8,13.3,,,,15.7
658,SARASOTA MEMORIAL HOSPITAL (100087),2017,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,11.7,,3.3,9.8,16.0,10.5,,,,14.8
659,BAPTIST MEDICAL CENTER JACKSONVILLE (100088),2017,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,11.8,,2.6,6.0,13.5,8.5,,,,11.7
660,FLAGLER HOSPITAL (100090),2017,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,13.3,,3.0,6.7,10.8,11.4,,,,11.9
661,WUESTHOFF MEDICAL CENTER-ROCKLEDGE (100092),2017,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,12.7,,3.3,7.4,14.7,10.0,,,,15.4
662,BAPTIST HOSPITAL (100093),2017,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,12.0,,5.5,7.8,14.3,11.3,,,,16.7
663,LAKE WALES MEDICAL CENTER (100099),2017,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,12.7,,,7.8,15.7,11.9,,,,16.7
664,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER (100102),2017,Acute Care,Voluntary non-profit - Private,95.0,30.193486,-82.632704,FL,12.6,,,6.5,,10.1,,,,14.9
665,INDIAN RIVER MEDICAL CENTER (100105),2017,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,13.8,,3.2,12.1,14.8,13.4,,,,16.3
666,DOCTOR'S MEMORIAL HOSPITAL INC (100106),2017,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,,,,7.6,,11.6,,,,15.9
667,LEHIGH REGIONAL MEDICAL CENTER (100107),2017,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,13.9,,,6.5,13.1,11.6,,,,14.3
