,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Acute Myocardial Infarction 30-Day Readmission Rate (READM 30 AMI),Heart failure 30-Day Mortality Rate (MORT 30 HF),Heart failure 30-Day Readmission Rate (READM 30 HF),Hospital-wide readmission rate after discharge (READM 30 HOSP WIDE),Pneumonia 30-Day Mortality Rate (MORT 30 PN),Pneumonia 30-Day Readmission Rate (READM 30 PN),Rate of readmission after hip/knee surgery (READM 30 HIP KNEE)
567,DELTA COUNTY MEMORIAL HOSPITAL (060071),2014,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,14.2,17.4,12.5,22.8,,11.4,20.0,6.1
568,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2014,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,14.6,17.8,12.7,22.8,,9.7,17.6,4.6
569,STERLING REGIONAL MEDCENTER (060076),2014,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,,,11.8,20.6,,12.2,16.6,5.1
570,GRAND JUNCTION VA MEDICAL CENTER (06007F),2014,Acute Care (VA),Government - Federal,,,,,,,11.5,19.9,,10.5,14.6,
571,VAIL VALLEY MEDICAL CENTER (060096),2014,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,,,,,,,16.6,5.1
572,"MEDICAL CENTER OF AURORA, THE (060100)",2014,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,12.9,17.4,12.1,20.0,,12.4,15.7,6.9
573,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2014,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,,,11.4,21.7,,10.6,17.4,5.8
574,CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL (060104),2014,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,13.6,18.5,11.5,22.5,,12.2,16.0,6.0
575,SKY RIDGE MEDICAL CENTER (060112),2014,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,14.3,17.4,9.7,20.3,,10.5,16.6,4.2
576,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL (060113),2014,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,14.4,17.8,12.0,24.0,,7.7,15.5,5.2
577,PARKER ADVENTIST HOSPITAL (060114),2014,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,14.7,17.2,9.4,20.6,,8.7,15.4,6.8
578,EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC (060116),2014,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,14.0,17.8,13.8,22.5,,10.7,17.7,4.9
579,"ANIMAS SURGICAL HOSPITAL, LLC (060117)",2014,Acute Care,Physician,12.0,37.248889,-107.870774,CO,,,,,,,,5.6
580,ST ANTHONY SUMMIT MEDICAL CENTER (060118),2014,Acute Care,Voluntary non-profit - Church,34.0,39.569988,-106.078259,CO,,,,,,,,5.1
581,MEDICAL CENTER OF THE ROCKIES (060119),2014,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,14.7,17.6,10.9,20.8,,11.7,17.3,5.2
582,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS (060124),2014,Acute Care,Proprietary,48.0,39.717952,-105.128441,CO,,,,,,,,5.1
583,WEISBROD MEMORIAL COUNTY HOSPITAL (061300),2014,Critical Access,Government - Hospital District or Authority,28.0,38.480198,-102.784468,CO,,,,,16.4,,,
584,RIO GRANDE HOSPITAL (061301),2014,Critical Access,Voluntary non-profit - Private,16.0,37.674371,-106.36481,CO,,,12.3,23.9,,11.9,17.5,
585,FAMILY HEALTH WEST HOSPITAL (061302),2014,Critical Access,Voluntary non-profit - Private,56.0,39.164337,-108.735901,CO,,,,,15.7,,,
586,EAST MORGAN COUNTY HOSPITAL (061303),2014,Critical Access,Government - Hospital District or Authority,25.0,40.254738,-103.649178,CO,,,11.9,22.7,,11.4,16.7,5.2
587,HAXTUN HOSPITAL DISTRICT (061304),2014,Critical Access,Government - Hospital District or Authority,25.0,40.641386,-102.630866,CO,,,,,16.0,,,
588,MELISSA MEMORIAL HOSPITAL (061305),2014,Critical Access,Government - Hospital District or Authority,15.0,40.578428,-102.290249,CO,,,13.6,22.6,,11.4,17.3,
589,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL (061308),2014,Critical Access,Voluntary non-profit - Private,17.0,37.26375,-105.964095,CO,,,,,,12.4,17.5,
590,WRAY COMMUNITY DISTRICT HOSPITAL (061309),2014,Critical Access,Government - Hospital District or Authority,16.0,40.075405,-102.23466,CO,,,12.2,23.4,,12.6,18.7,5.5
591,SOUTHEAST COLORADO HOSPITAL (061311),2014,Critical Access,Government - Hospital District or Authority,71.0,37.404165,-102.612423,CO,,,11.1,,,14.1,18.5,
592,ESTES PARK MEDICAL CENTER (061312),2014,Critical Access,Government - Hospital District or Authority,84.0,40.372259,-105.514088,CO,,,,,,11.5,17.1,
593,KIT CARSON COUNTY MEMORIAL HOSPITAL (061313),2014,Critical Access,Government - Hospital District or Authority,19.0,39.302378,-102.270711,CO,,,11.9,21.6,,11.3,16.7,
594,"MEMORIAL HOSPITAL, THE (061314)",2014,Critical Access,Government - Local,25.0,40.518288,-107.57863,CO,,,11.9,21.9,,10.6,18.3,5.8
595,YUMA DISTRICT HOSPITAL (061315),2014,Critical Access,Government - Hospital District or Authority,16.0,40.118445,-102.736654,CO,,,10.8,21.4,,13.5,19.2,
596,SPANISH PEAKS REGIONAL HEALTH CENTER (061316),2014,Critical Access,Government - Hospital District or Authority,141.0,37.607688,-104.819786,CO,,,11.0,21.4,,14.1,15.1,
597,GRAND RIVER MEDICAL CENTER (061317),2014,Critical Access,Government - Hospital District or Authority,66.0,39.522587,-107.77201,CO,,,,24.0,,9.9,16.8,
598,ST VINCENT HOSPITAL GENERAL DISTRICT (061319),2014,Critical Access,Government - Hospital District or Authority,15.0,39.244392,-106.303302,CO,,,,,16.0,,,
599,GUNNISON VALLEY HOSPITAL (061320),2014,Critical Access,Government - Local,20.0,38.551089,-106.924321,CO,,,,,,11.9,16.5,
600,MT SAN RAFAEL HOSPITAL (061321),2014,Critical Access,Voluntary non-profit - Private,25.0,37.17338,-104.488796,CO,,,11.8,22.9,,10.5,16.5,
601,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER (061322),2014,Critical Access,Government - Hospital District or Authority,25.0,38.543102,-106.007291,CO,,,11.6,21.9,,10.2,17.8,5.0
602,PROWERS MEDICAL CENTER (061323),2014,Critical Access,Government - Hospital District or Authority,25.0,38.070915,-102.609068,CO,,,12.5,23.3,,11.0,16.1,
603,PIKES PEAK REGIONAL HOSPITAL (061326),2014,Critical Access,Voluntary non-profit - Private,15.0,38.973932,-105.074267,CO,,,,22.9,,11.5,17.1,5.3
604,SOUTHWEST MEMORIAL HOSPITAL (061327),2014,Critical Access,Voluntary non-profit - Private,25.0,37.36214,-108.572739,CO,,,11.4,22.0,,13.4,15.9,5.4
605,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2014,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,13.8,19.8,9.1,23.2,,12.3,17.5,5.2
606,DAY KIMBALL HOSPITAL (070003),2014,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,15.6,17.1,12.8,22.9,,12.9,17.0,4.8
607,SHARON HOSPITAL (070004),2014,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,16.0,18.5,13.3,22.5,,13.5,17.2,6.0
608,WATERBURY HOSPITAL (070005),2014,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,11.7,18.0,12.0,24.5,,12.2,16.3,5.6
609,STAMFORD HOSPITAL (070006),2014,Acute Care,Voluntary non-profit - Private,303.0,,,CT,12.9,15.9,12.4,23.0,,10.6,17.0,5.0
610,LAWRENCE & MEMORIAL HOSPITAL (070007),2014,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,15.0,18.7,14.6,23.5,,13.0,17.0,5.2
611,JOHNSON MEMORIAL HOSPITAL (070008),2014,Acute Care,Voluntary non-profit - Private,88.0,,,CT,16.8,,12.6,23.0,,10.8,17.8,5.0
612,BRIDGEPORT HOSPITAL (070010),2014,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,13.4,17.3,10.0,23.0,,10.8,18.8,6.2
613,CHARLOTTE HUNGERFORD HOSPITAL (070011),2014,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,16.6,19.0,12.6,22.2,,11.1,17.7,5.6
614,ROCKVILLE GENERAL HOSPITAL (070012),2014,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,15.6,18.1,10.5,20.9,,10.4,17.6,5.4
615,NEW MILFORD HOSPITAL (070015),2014,Acute Care,Voluntary non-profit - Private,85.0,,,CT,15.0,,17.7,22.6,,11.2,17.0,5.0
616,SAINT MARYS HOSPITAL (070016),2014,Acute Care,Voluntary non-profit - Other,167.0,,,CT,12.5,19.1,11.5,22.4,,9.9,17.0,5.7
617,MIDSTATE MEDICAL CENTER (070017),2014,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,16.4,20.3,10.9,24.8,,11.0,19.3,6.1
618,GREENWICH HOSPITAL ASSOCIATION (070018),2014,Acute Care,Voluntary non-profit - Private,184.0,41.034395,-73.629632,CT,14.2,18.2,13.4,24.6,,12.5,18.8,4.9
619,"MILFORD HOSPITAL, INC (070019)",2014,Acute Care,Voluntary non-profit - Private,106.0,,,CT,16.3,18.4,11.6,25.6,,16.6,19.0,5.5
620,MIDDLESEX HOSPITAL (070020),2014,Acute Care,Voluntary non-profit - Private,228.0,41.554865,-72.647633,CT,15.0,15.6,10.4,21.5,,10.4,16.0,6.2
621,WINDHAM COMM MEM HOSP & HATCH HOSP (070021),2014,Acute Care,Voluntary non-profit - Private,64.0,41.716569,-72.224068,CT,15.0,19.2,13.5,20.7,,11.1,16.2,5.5
622,YALE-NEW HAVEN HOSPITAL (070022),2014,Acute Care,Voluntary non-profit - Private,1347.0,41.304285,-72.934689,CT,12.0,19.7,8.6,24.0,,9.0,19.6,6.5
623,WILLIAM W BACKUS HOSPITAL (070024),2014,Acute Care,Voluntary non-profit - Other,184.0,41.543402,-72.086747,CT,16.4,17.7,12.0,23.3,,10.1,15.8,5.9
624,HARTFORD HOSPITAL (070025),2014,Acute Care,Voluntary non-profit - Private,895.0,41.754123,-72.68082,CT,14.7,18.5,11.1,20.8,,10.6,17.5,4.7
625,MANCHESTER MEMORIAL HOSPITAL (070027),2014,Acute Care,Voluntary non-profit - Private,182.0,41.781087,-72.525221,CT,16.4,17.9,15.1,21.9,,10.6,16.3,4.7
626,ST VINCENT'S MEDICAL CENTER (070028),2014,Acute Care,Voluntary non-profit - Church,350.0,41.200083,-73.202486,CT,12.8,21.9,10.9,25.2,,10.4,17.8,6.9
627,BRISTOL HOSPITAL (070029),2014,Acute Care,Voluntary non-profit - Private,123.0,41.676078,-72.934878,CT,15.7,18.5,13.6,25.1,,12.1,19.7,5.1
628,GRIFFIN HOSPITAL (070031),2014,Acute Care,Voluntary non-profit - Other,119.0,41.335978,-73.088689,CT,15.1,19.7,10.6,26.7,,10.1,16.7,4.9
629,DANBURY HOSPITAL (070033),2014,Acute Care,Voluntary non-profit - Private,370.0,41.406776,-73.444339,CT,13.3,19.1,10.2,22.5,,10.8,17.6,5.2
630,NORWALK HOSPITAL ASSOCIATION (070034),2014,Acute Care,Voluntary non-profit - Private,278.0,41.110415,-73.421229,CT,13.2,18.2,9.8,23.2,,10.2,16.5,4.9
631,"HOSPITAL OF CENTRAL CONNECTICUT, THE (070035)",2014,Acute Care,Voluntary non-profit - Other,297.0,41.662015,-72.787799,CT,14.7,18.5,11.3,23.9,,9.0,17.3,5.7
632,JOHN DEMPSEY HOSPITAL (070036),2014,Acute Care,Government - Local,160.0,41.73509,-72.79582,CT,15.3,17.8,10.9,22.0,,11.5,17.9,5.4
633,MASONIC HOME AND HOSPITAL (070039),2014,Acute Care,Voluntary non-profit - Private,503.0,41.460698,-72.836586,CT,,,10.1,25.3,,9.7,19.1,
634,WEST HAVEN VA MEDICAL CENTER (07003F),2014,Acute Care (VA),Government - Federal,,,,,13.9,19.7,8.6,26.0,,8.8,17.8,
635,HEBREW HOME AND HOSPITAL INC (070040),2014,Acute Care,Voluntary non-profit - Private,201.0,41.802774,-72.728931,CT,,,,21.6,,10.7,17.1,
636,"CHRISTIANA CARE HEALTH SERVICES, INC. (080001)",2014,Acute Care,Voluntary non-profit - Private,1132.0,39.689909,-75.673228,DE,14.7,17.1,10.5,21.7,,11.7,16.8,5.5
637,ST FRANCIS HOSPITAL (080003),2014,Acute Care,Voluntary non-profit - Private,161.0,,,DE,15.9,19.7,10.2,22.5,,11.2,17.6,5.2
638,BAYHEALTH - KENT GENERAL HOSPITAL (080004),2014,Acute Care,Voluntary non-profit - Private,268.0,39.150687,-75.522327,DE,13.5,15.8,9.4,21.3,,11.2,18.7,5.5
639,NANTICOKE MEMORIAL HOSPITAL (080006),2014,Acute Care,Voluntary non-profit - Private,112.0,38.642332,-75.605325,DE,14.7,16.7,9.8,20.3,,10.2,16.2,5.6
640,BEEBE MEDICAL CENTER (080007),2014,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,11.9,16.6,11.7,21.7,,10.6,17.1,5.5
641,BAYHEALTH - MILFORD MEMORIAL HOSPITAL (080009),2014,Acute Care,Voluntary non-profit - Private,158.0,,,DE,15.2,17.6,11.8,20.2,,11.5,17.0,
642,WILMINGTON VA MEDICAL CENTER (08002F),2014,Acute Care (VA),Government - Federal,,,,,,,11.8,22.4,,12.4,17.4,
643,GEORGE WASHINGTON UNIV HOSPITAL (090001),2014,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,14.5,19.6,11.3,24.6,,12.9,17.5,6.6
644,HOWARD UNIVERSITY HOSPITAL (090003),2014,Acute Care,Voluntary non-profit - Other,241.0,38.917011,-77.021896,DC,15.5,19.7,11.0,27.3,,10.1,20.1,
645,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL (090004),2014,Acute Care,Voluntary non-profit - Private,396.0,38.912599,-77.074388,DC,,,11.2,23.5,,13.4,17.7,6.4
646,SIBLEY MEMORIAL HOSPITAL (090005),2014,Acute Care,Voluntary non-profit - Other,248.0,38.935747,-77.109889,DC,14.7,17.8,11.3,23.1,,11.3,18.8,5.7
647,PROVIDENCE HOSPITAL (090006),2014,Acute Care,Voluntary non-profit - Private,467.0,,,DC,13.2,20.6,9.2,25.7,,11.1,17.4,7.4
648,UNITED MEDICAL CENTER (090008),2014,Acute Care,Proprietary,187.0,38.834155,-76.984698,DC,,,10.2,25.0,,11.9,17.4,
649,MEDSTAR WASHINGTON HOSPITAL CENTER (090011),2014,Acute Care,Voluntary non-profit - Other,757.0,38.929157,-77.012268,DC,15.0,18.2,8.6,24.5,,9.9,17.6,7.2
650,WASHINGTON DC VA MEDICAL CENTER (09002F),2014,Acute Care (VA),Government - Federal,,,,,14.9,18.8,9.4,24.1,,11.7,21.0,
651,UF HEALTH JACKSONVILLE (100001),2014,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,16.5,17.6,9.2,23.2,,11.0,18.9,6.3
652,BETHESDA  HOSPITAL EAST (100002),2014,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,14.6,17.0,10.7,21.4,,11.0,17.3,4.3
653,ORLANDO HEALTH (100006),2014,Acute Care,Voluntary non-profit - Private,1590.0,28.526925,-81.378203,FL,14.3,20.6,10.6,24.4,,11.6,18.7,6.9
654,FLORIDA HOSPITAL (100007),2014,Acute Care,Voluntary non-profit - Private,2603.0,28.573457,-81.370328,FL,13.7,21.9,10.7,25.1,,10.8,19.4,5.9
655,BAPTIST HOSPITAL OF MIAMI INC (100008),2014,Acute Care,Voluntary non-profit - Private,747.0,25.687781,-80.339086,FL,13.1,16.9,10.5,24.7,,9.1,16.3,4.3
656,UNIVERSITY OF MIAMI HOSPITAL (100009),2014,Acute Care,Voluntary non-profit - Private,495.0,,,FL,14.3,19.8,9.3,26.9,,11.4,19.7,6.5
657,LEE MEMORIAL HOSPITAL (100012),2014,Acute Care,Government - Hospital District or Authority,831.0,26.626924,-81.872295,FL,13.4,19.2,10.9,23.0,,11.5,16.4,6.0
658,BERT FISH MEDICAL CENTER (100014),2014,Acute Care,Voluntary non-profit - Church,111.0,29.021174,-80.922903,FL,14.2,18.6,10.9,22.5,,13.5,17.3,5.0
659,HALIFAX HEALTH MEDICAL CENTER (100017),2014,Acute Care,Government - Hospital District or Authority,508.0,29.20055,-81.05534,FL,15.9,18.9,11.7,24.1,,14.5,17.6,4.3
660,NAPLES COMMUNITY HOSPITAL (100018),2014,Acute Care,Voluntary non-profit - Private,641.0,26.150806,-81.799488,FL,14.1,16.9,11.5,20.7,,11.6,15.7,5.1
661,HOLMES REGIONAL MEDICAL CENTER (100019),2014,Acute Care,Voluntary non-profit - Private,523.0,28.08691,-80.613523,FL,12.9,17.4,13.1,24.4,,11.4,17.7,5.6
662,JACKSON MEMORIAL HOSPITAL (100022),2014,Acute Care,Government - Hospital District or Authority,1682.0,25.790612,-80.214945,FL,14.5,20.4,10.4,27.7,,15.8,18.8,5.7
663,CITRUS MEMORIAL HOSPITAL (100023),2014,Acute Care,Government - Hospital District or Authority,202.0,28.832242,-82.335335,FL,17.9,16.2,14.6,20.4,,12.8,14.3,5.1
664,SACRED HEART HOSPITAL (100025),2014,Acute Care,Voluntary non-profit - Private,524.0,30.475588,-87.210986,FL,13.8,17.1,12.9,21.3,,14.3,15.6,4.1
665,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM (100026),2014,Acute Care,Government - Hospital District or Authority,257.0,30.159681,-85.647067,FL,14.8,20.2,8.7,19.7,,9.6,14.3,6.2
666,PARRISH MEDICAL CENTER (100028),2014,Acute Care,Government - Hospital District or Authority,210.0,28.629068,-80.824943,FL,15.1,17.2,12.1,22.0,,9.6,15.9,6.3
667,NORTH SHORE MEDICAL CENTER (100029),2014,Acute Care,Proprietary,759.0,25.861658,-80.214656,FL,15.5,17.7,11.8,26.0,,11.4,16.5,
668,HEALTH CENTRAL (100030),2014,Acute Care,Government - State,197.0,28.551666,-81.525787,FL,16.6,17.6,13.3,24.2,,13.2,18.1,5.3
669,BAYFRONT HEALTH - ST PETERSBURG (100032),2014,Acute Care,Voluntary non-profit - Private,350.0,27.763222,-82.641663,FL,16.7,19.0,10.4,24.8,,11.9,19.8,7.5
670,MOUNT SINAI MEDICAL CENTER (100034),2014,Acute Care,Proprietary,598.0,25.815045,-80.137939,FL,11.8,17.3,10.0,22.3,,8.6,15.9,5.4
671,MANATEE MEMORIAL HOSPITAL (100035),2014,Acute Care,Proprietary,303.0,27.497209,-82.561241,FL,16.3,18.6,14.5,20.8,,13.8,17.8,5.2
672,MEMORIAL REGIONAL HOSPITAL (100038),2014,Acute Care,Government - Hospital District or Authority,1002.0,26.018262,-80.178865,FL,14.9,19.8,12.6,27.5,,13.8,18.0,5.7
673,BROWARD HEALTH MEDICAL CENTER (100039),2014,Acute Care,Government - Hospital District or Authority,638.0,26.101975,-80.14231,FL,15.4,17.7,9.1,22.0,,10.9,16.2,6.1
674,ST VINCENT'S MEDICAL CENTER (100040),2014,Acute Care,Voluntary non-profit - Private,490.0,30.307891,-81.689154,FL,15.0,18.6,10.9,24.7,,11.9,19.4,5.4
675,MEASE HOSPITAL DUNEDIN (100043),2014,Acute Care,Voluntary non-profit - Private,114.0,28.014032,-82.783822,FL,12.6,17.1,11.9,21.6,,10.6,16.5,4.5
676,MARTIN MEDICAL CENTER (100044),2014,Acute Care,Voluntary non-profit - Private,450.0,27.199441,-80.243034,FL,13.4,17.4,11.0,22.0,,10.5,18.5,4.8
677,FLORIDA HOSPITAL DELAND (100045),2014,Acute Care,Voluntary non-profit - Church,160.0,29.042613,-81.317205,FL,13.7,17.5,12.5,23.0,,16.0,18.9,4.7
678,FLORIDA HOSPITAL ZEPHYRHILLS (100046),2014,Acute Care,Voluntary non-profit - Church,144.0,28.260937,-82.188041,FL,17.3,19.5,12.5,21.2,,12.0,15.7,5.3
679,BAYFRONT HEALTH PUNTA GORDA (100047),2014,Acute Care,Proprietary,172.0,26.940682,-82.041788,FL,14.7,18.9,11.4,22.7,,10.3,20.8,5.7
680,JAY HOSPITAL (100048),2014,Acute Care,Voluntary non-profit - Private,28.0,30.95004,-87.151666,FL,,,12.8,23.1,,12.8,17.7,
681,HIGHLANDS REGIONAL MEDICAL CENTER (100049),2014,Acute Care,Proprietary,119.0,27.465045,-81.433761,FL,14.3,18.0,9.5,23.5,,15.2,22.0,5.3
682,PALM SPRINGS GENERAL HOSPITAL (100050),2014,Acute Care,Voluntary non-profit - Private,182.0,25.866662,-80.312165,FL,13.4,17.9,10.9,26.9,,12.0,19.7,5.7
683,SOUTH LAKE HOSPITAL (100051),2014,Acute Care,Government - Hospital District or Authority,158.0,28.551178,-81.723415,FL,17.2,17.9,10.4,21.6,,12.6,18.0,5.3
684,WINTER HAVEN HOSPITAL (100052),2014,Acute Care,Voluntary non-profit - Private,514.0,28.027669,-81.726746,FL,18.9,17.3,13.3,24.6,,13.3,17.9,6.7
685,HIALEAH HOSPITAL (100053),2014,Acute Care,Proprietary,346.0,25.844931,-80.268881,FL,14.3,19.1,11.5,26.9,,9.4,18.8,6.4
686,TWIN CITIES HOSPITAL (100054),2014,Acute Care,Proprietary,63.0,,,FL,15.2,,11.7,22.3,,12.2,17.9,5.0
687,FLORIDA HOSPITAL NORTH PINELLAS (100055),2014,Acute Care,Voluntary non-profit - Other,168.0,28.13314,-82.758576,FL,16.2,17.6,11.5,24.8,,12.4,17.5,4.7
688,FLORIDA HOSPITAL WATERMAN (100057),2014,Acute Care,Voluntary non-profit - Church,263.0,28.822351,-81.71021,FL,14.7,19.3,12.4,23.1,,13.9,14.9,4.6
689,MUNROE REGIONAL MEDICAL CENTER (100062),2014,Acute Care,Government - Hospital District or Authority,404.0,29.174236,-82.137834,FL,14.7,15.7,12.5,21.9,,10.4,16.2,5.7
690,MORTON PLANT NORTH BAY HOSPITAL (100063),2014,Acute Care,Voluntary non-profit - Private,220.0,28.253933,-82.715478,FL,14.8,17.1,12.8,23.6,,13.4,16.7,5.3
691,ST ANTHONY'S HOSPITAL (100067),2014,Acute Care,Voluntary non-profit - Church,349.0,27.779343,-82.651224,FL,15.3,19.6,14.4,23.7,,12.2,17.1,6.7
692,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER (100068),2014,Acute Care,Voluntary non-profit - Church,374.0,29.24275,-81.1093,FL,15.5,19.9,12.8,20.7,,11.1,17.3,4.5
693,FLORIDA HOSPITAL CARROLLWOOD (100069),2014,Acute Care,Voluntary non-profit - Church,105.0,28.013102,-82.504954,FL,,,11.8,21.7,,15.3,17.1,5.6
694,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH (100070),2014,Acute Care,Proprietary,264.0,27.089683,-82.444445,FL,13.4,15.3,12.7,19.1,,12.5,16.9,4.3
695,BAYFRONT HEALTH BROOKSVILLE (100071),2014,Acute Care,Voluntary non-profit - Church,244.0,28.541115,-82.443386,FL,15.3,20.4,12.4,24.0,,13.1,17.8,4.9
696,FLORIDA HOSPITAL FISH MEMORIAL (100072),2014,Acute Care,Voluntary non-profit - Church,176.0,28.91129,-81.284122,FL,15.7,18.3,9.8,24.5,,10.2,19.1,5.4
697,HOLY CROSS HOSPITAL INC (100073),2014,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,13.6,17.9,12.2,23.6,,13.7,17.2,4.0
698,ST JOSEPH'S HOSPITAL (100075),2014,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,13.3,17.2,11.0,27.0,,11.3,18.1,7.3
699,METROPOLITAN HOSPITAL OF MIAMI (100076),2014,Acute Care,Proprietary,146.0,,,FL,14.1,19.0,10.5,25.5,,10.7,17.8,
700,BAYFRONT HEALTH PORT CHARLOTTE (100077),2014,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,16.3,18.4,10.8,23.6,,11.9,18.7,5.9
701,JFK MEDICAL CENTER (100080),2014,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,13.8,19.3,12.2,25.3,,10.0,17.8,5.5
702,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2014,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,,,12.4,20.3,,14.0,18.7,
703,LEESBURG REGIONAL MEDICAL CENTER (100084),2014,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,13.6,19.1,12.0,25.6,,11.7,18.3,7.1
704,BROWARD HEALTH NORTH (100086),2014,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,18.4,17.7,13.5,25.2,,9.5,18.0,4.2
705,SARASOTA MEMORIAL HOSPITAL (100087),2014,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,13.0,14.8,13.5,18.4,,11.0,14.6,4.5
706,BAPTIST MEDICAL CENTER (100088),2014,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,14.8,17.3,11.0,22.6,,10.9,17.9,4.5
707,FLAGLER HOSPITAL (100090),2014,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,14.4,17.9,9.2,21.6,,8.7,17.4,5.4
708,WUESTHOFF MEDICAL CENTER  ROCKLEDGE (100092),2014,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,15.4,20.1,12.1,27.5,,11.5,16.1,4.2
709,BAPTIST HOSPITAL (100093),2014,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,16.6,18.1,12.1,21.4,,13.7,16.9,4.8
710,LAKE WALES MEDICAL CENTER (100099),2014,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,18.2,19.4,10.8,24.4,,12.0,19.0,
711,BAY PINES VA MEDICAL CENTER (10009F),2014,Acute Care (VA),Government - Federal,,,,,15.2,19.8,10.2,23.3,,10.8,21.7,
712,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER (100102),2014,Acute Care,Voluntary non-profit - Private,95.0,30.193486,-82.632704,FL,13.7,18.8,10.2,23.4,,11.2,19.4,
713,INDIAN RIVER MEDICAL CENTER (100105),2014,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,13.4,18.6,12.5,20.9,,10.9,15.6,4.4
714,DOCTOR'S MEMORIAL HOSPITAL INC (100106),2014,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,,,12.5,22.9,,13.4,18.1,
715,LEHIGH REGIONAL MEDICAL CENTER (100107),2014,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,15.3,19.3,11.8,25.6,,11.4,21.1,5.7
716,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER (100109),2014,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,13.4,18.6,9.6,21.1,,11.5,20.2,6.6
717,OSCEOLA REGIONAL MEDICAL CENTER (100110),2014,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,17.2,19.6,11.7,25.5,,14.2,19.3,6.0
718,UF HEALTH SHANDS HOSPITAL (100113),2014,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,13.7,18.5,10.5,25.5,,10.0,18.6,5.1
