,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
619,UF HEALTH JACKSONVILLE (100001),2019,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,12.6,4.4,7.0,14.2,8.5,13.9
620,BETHESDA HOSPITAL EAST (100002),2019,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,12.7,3.9,10.0,13.3,11.8,14.9
621,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER (100006),2019,Acute Care,Voluntary non-profit - Private,1590.0,28.526925,-81.378203,FL,12.6,2.6,8.9,15.3,11.7,17.9
622,ADVENTHEALTH ORLANDO (100007),2019,Acute Care,Voluntary non-profit - Private,2603.0,28.573457,-81.370328,FL,11.2,3.1,6.4,11.1,9.3,14.8
623,BAPTIST HOSPITAL OF MIAMI (100008),2019,Acute Care,Voluntary non-profit - Private,747.0,25.687781,-80.339086,FL,14.2,2.8,8.0,12.0,11.0,12.5
624,LEE MEMORIAL HOSPITAL (100012),2019,Acute Care,Government - Hospital District or Authority,831.0,26.626924,-81.872295,FL,12.1,3.2,7.4,11.5,11.3,16.3
625,ADVENTHEALTH NEW SMYRNA BEACH (100014),2019,Acute Care,Voluntary non-profit - Church,111.0,29.021174,-80.922903,FL,13.3,,10.4,13.9,12.4,16.1
626,HALIFAX HEALTH MEDICAL CENTER (100017),2019,Acute Care,Government - Hospital District or Authority,508.0,29.20055,-81.05534,FL,15.1,2.4,12.7,16.8,12.6,19.6
627,NAPLES COMMUNITY HOSPITAL (100018),2019,Acute Care,Voluntary non-profit - Private,641.0,26.150806,-81.799488,FL,12.1,2.5,7.4,15.8,11.3,16.0
628,HOLMES REGIONAL MEDICAL CENTER (100019),2019,Acute Care,Voluntary non-profit - Private,523.0,28.08691,-80.613523,FL,14.2,2.8,7.2,16.2,11.6,14.3
629,JACKSON MEMORIAL HOSPITAL (100022),2019,Acute Care,Government - Hospital District or Authority,1682.0,25.790612,-80.214945,FL,13.9,4.8,9.1,16.0,11.2,18.0
630,CITRUS MEMORIAL HOSPITAL (100023),2019,Acute Care,Government - Hospital District or Authority,202.0,28.832242,-82.335335,FL,12.1,2.4,11.3,18.9,14.7,18.2
631,SACRED HEART HOSPITAL (100025),2019,Acute Care,Voluntary non-profit - Private,524.0,30.475588,-87.210986,FL,12.8,3.5,8.9,15.4,11.6,14.2
632,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM (100026),2019,Acute Care,Government - Hospital District or Authority,257.0,30.159681,-85.647067,FL,13.5,2.8,8.8,13.9,9.7,14.9
633,PARRISH MEDICAL CENTER (100028),2019,Acute Care,Government - Hospital District or Authority,210.0,28.629068,-80.824943,FL,13.8,,12.0,15.5,13.5,20.5
634,NORTH SHORE MEDICAL CENTER (100029),2019,Acute Care,Proprietary,759.0,25.861658,-80.214656,FL,11.9,,10.2,16.0,10.9,18.7
635,HEALTH CENTRAL (100030),2019,Acute Care,Government - State,197.0,28.551666,-81.525787,FL,12.9,,8.4,14.6,10.4,17.9
636,BAYFRONT HEALTH - ST PETERSBURG (100032),2019,Acute Care,Voluntary non-profit - Private,350.0,27.763222,-82.641663,FL,12.7,,7.9,14.9,12.9,14.4
637,MOUNT SINAI MEDICAL CENTER (100034),2019,Acute Care,Proprietary,598.0,25.815045,-80.137939,FL,11.2,2.8,7.1,13.4,10.0,13.1
638,MANATEE MEMORIAL HOSPITAL (100035),2019,Acute Care,Proprietary,303.0,27.497209,-82.561241,FL,13.1,3.3,11.4,15.4,14.2,19.0
639,MEMORIAL REGIONAL HOSPITAL (100038),2019,Acute Care,Government - Hospital District or Authority,1002.0,26.018262,-80.178865,FL,12.4,2.2,8.2,11.1,8.8,14.2
640,BROWARD HEALTH MEDICAL CENTER (100039),2019,Acute Care,Government - Hospital District or Authority,638.0,26.101975,-80.14231,FL,12.1,2.3,8.0,14.6,9.4,12.8
641,ST VINCENT'S MEDICAL CENTER RIVERSIDE (100040),2019,Acute Care,Voluntary non-profit - Private,490.0,30.307891,-81.689154,FL,12.4,3.1,7.8,11.8,9.7,17.4
642,MEASE DUNEDIN HOSPITAL (100043),2019,Acute Care,Voluntary non-profit - Private,114.0,28.014032,-82.783822,FL,12.8,,9.2,11.8,10.5,14.1
643,MARTIN MEDICAL CENTER (100044),2019,Acute Care,Voluntary non-profit - Private,450.0,27.199441,-80.243034,FL,13.8,3.6,8.9,12.0,13.1,15.4
644,ADVENTHEALTH DELAND (100045),2019,Acute Care,Voluntary non-profit - Church,160.0,29.042613,-81.317205,FL,13.1,,8.7,13.5,13.9,22.9
645,ADVENTHEALTH ZEPHYRHILLS (100046),2019,Acute Care,Voluntary non-profit - Church,144.0,28.260937,-82.188041,FL,13.8,4.2,9.3,13.7,11.8,13.7
646,BAYFRONT HEALTH PUNTA GORDA (100047),2019,Acute Care,Proprietary,172.0,26.940682,-82.041788,FL,13.4,,8.0,15.2,13.2,17.1
647,JAY HOSPITAL (100048),2019,Acute Care,Voluntary non-profit - Private,28.0,30.95004,-87.151666,FL,,,9.3,,10.8,16.1
648,HIGHLANDS REGIONAL MEDICAL CENTER (100049),2019,Acute Care,Proprietary,119.0,27.465045,-81.433761,FL,14.6,,8.8,,10.6,19.4
649,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS (100050),2019,Acute Care,Voluntary non-profit - Private,182.0,25.866662,-80.312165,FL,12.4,,7.4,12.6,10.3,10.9
650,SOUTH LAKE HOSPITAL (100051),2019,Acute Care,Government - Hospital District or Authority,158.0,28.551178,-81.723415,FL,13.2,,6.8,12.4,10.3,13.8
651,WINTER HAVEN HOSPITAL (100052),2019,Acute Care,Voluntary non-profit - Private,514.0,28.027669,-81.726746,FL,13.9,2.6,10.0,14.1,16.0,20.2
652,HIALEAH HOSPITAL (100053),2019,Acute Care,Proprietary,346.0,25.844931,-80.268881,FL,11.8,,7.7,12.9,10.8,18.6
653,TWIN CITIES HOSPITAL (100054),2019,Acute Care,Proprietary,63.0,,,FL,,,8.3,,9.6,13.6
654,ADVENTHEALTH NORTH PINELLAS (100055),2019,Acute Care,Voluntary non-profit - Other,168.0,28.13314,-82.758576,FL,11.6,,9.1,14.2,10.0,15.9
655,ADVENTHEALTH WATERMAN (100057),2019,Acute Care,Voluntary non-profit - Church,263.0,28.822351,-81.71021,FL,12.8,3.3,9.7,11.7,12.7,14.9
656,ADVENTHEALTH OCALA (100062),2019,Acute Care,Government - Hospital District or Authority,404.0,29.174236,-82.137834,FL,12.1,2.1,10.9,16.1,13.9,19.8
657,MORTON PLANT NORTH BAY HOSPITAL (100063),2019,Acute Care,Voluntary non-profit - Private,220.0,28.253933,-82.715478,FL,12.4,,10.3,14.8,10.7,16.0
658,ST ANTHONYS HOSPITAL (100067),2019,Acute Care,Voluntary non-profit - Church,349.0,27.779343,-82.651224,FL,12.5,,7.0,12.2,9.5,12.6
659,ADVENTHEALTH DAYTONA BEACH (100068),2019,Acute Care,Voluntary non-profit - Church,374.0,29.24275,-81.1093,FL,12.7,3.7,9.5,11.3,12.2,17.1
660,ADVENTHEALTH CARROLLWOOD (100069),2019,Acute Care,Voluntary non-profit - Church,105.0,28.013102,-82.504954,FL,,,7.5,,10.0,14.2
661,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH (100070),2019,Acute Care,Proprietary,264.0,27.089683,-82.444445,FL,15.4,5.0,9.0,15.0,13.7,18.6
662,BAYFRONT HEALTH BROOKSVILLE (100071),2019,Acute Care,Voluntary non-profit - Church,244.0,28.541115,-82.443386,FL,12.5,,9.8,12.9,12.9,21.0
663,ADVENTHEALTH FISH MEMORIAL (100072),2019,Acute Care,Voluntary non-profit - Church,176.0,28.91129,-81.284122,FL,11.8,,6.2,15.2,10.7,17.4
664,HOLY CROSS HOSPITAL (100073),2019,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,11.3,3.1,6.9,12.4,11.3,15.7
665,ST JOSEPHS HOSPITAL (100075),2019,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,10.5,2.6,7.0,16.0,10.4,15.0
666,BAYFRONT HEALTH PORT CHARLOTTE (100077),2019,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,14.8,4.5,6.8,14.7,11.1,16.3
667,JFK MEDICAL CENTER (100080),2019,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,13.0,2.9,9.8,12.9,10.3,17.6
668,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2019,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,,,8.5,,11.5,19.3
669,LEESBURG REGIONAL MEDICAL CENTER (100084),2019,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,13.7,2.4,10.4,13.4,12.3,18.3
670,BROWARD HEALTH NORTH (100086),2019,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,13.7,,12.6,14.0,15.6,17.6
671,SARASOTA MEMORIAL HOSPITAL (100087),2019,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,11.4,2.8,9.8,14.0,12.3,14.1
672,BAPTIST MEDICAL CENTER JACKSONVILLE (100088),2019,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,10.6,2.6,6.0,12.5,8.8,11.9
673,FLAGLER HOSPITAL (100090),2019,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,12.5,2.2,8.2,12.6,10.9,13.4
674,STEWARD ROCKLEDGE HOSPITAL (100092),2019,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,13.2,3.7,9.4,13.4,9.6,14.5
675,BAPTIST HOSPITAL (100093),2019,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,11.8,3.1,7.9,15.0,12.3,15.4
676,LAKE WALES MEDICAL CENTER (100099),2019,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,14.3,,7.2,15.0,11.4,18.8
677,BAY PINES VA MEDICAL CENTER (10009F),2019,Acute Care (VA),Government - Federal,,,,,12.0,,,,10.9,11.8
678,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER (100102),2019,Acute Care,Voluntary non-profit - Private,95.0,30.193486,-82.632704,FL,12.2,,7.6,,9.6,17.2
679,CLEVELAND CLINIC INDIAN RIVER HOSPITAL (100105),2019,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,12.4,2.3,11.3,12.8,12.0,14.0
680,DOCTORS MEMORIAL HOSPITAL INC (100106),2019,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,,,7.9,,11.5,15.9
681,LEHIGH REGIONAL MEDICAL CENTER (100107),2019,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,14.2,,7.7,,10.4,13.5
682,ADVENTHEALTH SEBRING (100109),2019,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,11.9,,8.4,11.9,11.1,16.0
683,OSCEOLA REGIONAL MEDICAL CENTER (100110),2019,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,12.4,3.0,8.0,15.5,10.9,17.9
684,UF HEALTH SHANDS HOSPITAL (100113),2019,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,12.3,3.0,7.4,15.6,8.3,12.3
685,BAPTIST MEDICAL CENTER - BEACHES (100117),2019,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,12.3,,6.9,11.2,9.2,11.2
686,ADVENTHEALTH PALM COAST (100118),2019,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,13.3,,8.9,12.2,12.7,16.9
687,BARTOW REGIONAL MEDICAL CENTER (100121),2019,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,11.5,,8.1,,11.1,17.8
688,NORTH OKALOOSA MEDICAL CENTER (100122),2019,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,13.7,,7.5,14.7,11.5,16.9
689,SANTA ROSA MEDICAL CENTER (100124),2019,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,13.4,,8.6,13.8,10.6,15.7
690,HOMESTEAD HOSPITAL (100125),2019,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,13.7,,8.2,13.6,11.6,13.3
691,PALMS OF PASADENA HOSPITAL (100126),2019,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,13.1,,7.2,13.8,11.1,17.9
692,MORTON PLANT HOSPITAL (100127),2019,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,11.6,2.7,10.1,14.9,13.3,14.6
693,TAMPA GENERAL HOSPITAL (100128),2019,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,12.4,4.2,6.0,14.5,10.6,13.2
694,LAKESIDE MEDICAL CENTER (100130),2019,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,,,8.6,,10.6,14.0
695,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2019,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,13.6,3.0,5.8,12.5,9.6,10.7
696,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2019,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,12.8,,7.9,13.1,13.3,15.3
697,ED FRASER MEMORIAL HOSPITAL (100134),2019,Acute Care,Government - Hospital District or Authority,90.0,30.28555,-82.11955,FL,,,,,11.9,15.8
698,TALLAHASSEE MEMORIAL HOSPITAL (100135),2019,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,15.0,4.7,8.5,15.1,10.5,19.7
699,HEART OF FLORIDA REGIONAL MEDICAL CENTER (100137),2019,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,12.7,,7.4,14.9,9.4,18.4
700,BAPTIST MEDICAL CENTER - NASSAU (100140),2019,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,,,10.6,13.1,11.1,13.3
701,JACKSON HOSPITAL (100142),2019,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,13.2,,7.7,13.4,10.0,16.9
702,LOWER KEYS MEDICAL CENTER (100150),2019,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,12.9,,9.5,15.2,12.7,16.2
703,MAYO CLINIC (100151),2019,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,12.1,2.8,7.4,14.9,10.8,16.7
704,SOUTH MIAMI HOSPITAL (100154),2019,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,12.9,3.7,9.5,13.6,12.1,15.6
705,LAKE CITY MEDICAL CENTER (100156),2019,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,11.3,,8.4,12.7,10.0,16.5
706,LAKELAND REGIONAL MEDICAL CENTER (100157),2019,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,13.4,2.7,10.1,17.1,11.6,18.4
707,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY (10015F),2019,Acute Care (VA),VA,,,,,,,,,10.1,11.6
708,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2019,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,10.7,3.1,8.9,14.0,9.1,15.6
709,DOCTORS HOSPITAL OF SARASOTA (100166),2019,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,13.3,,9.3,13.1,10.7,16.6
710,PLANTATION GENERAL HOSPITAL (100167),2019,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,12.4,,6.4,12.0,10.9,13.7
711,BOCA RATON REGIONAL HOSPITAL (100168),2019,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,13.2,2.3,8.6,12.2,11.1,13.2
712,ADVENTHEALTH TAMPA (100173),2019,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,12.3,4.7,10.4,17.0,11.3,16.6
713,DESOTO MEMORIAL HOSPITAL (100175),2019,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,,,10.2,13.8,10.6,14.4
714,PALM BEACH GARDENS MEDICAL CENTER (100176),2019,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,11.5,3.1,8.3,11.5,10.3,14.7
715,CAPE CANAVERAL HOSPITAL (100177),2019,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,13.3,,7.9,13.8,11.3,14.5
716,MEMORIAL HOSPITAL JACKSONVILLE (100179),2019,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,16.5,4.4,8.0,11.9,11.5,16.0
717,ST PETERSBURG GENERAL HOSPITAL (100180),2019,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,,,7.3,13.3,11.1,17.8
718,LARKIN COMMUNITY HOSPITAL (100181),2019,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,,,9.2,,,15.3
719,CORAL GABLES HOSPITAL (100183),2019,Acute Care,Proprietary,245.0,,,FL,13.1,,7.1,13.2,9.3,12.6
720,PALMETTO GENERAL HOSPITAL (100187),2019,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,13.9,2.5,8.4,15.1,10.8,18.0
721,NORTHWEST MEDICAL CENTER (100189),2019,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,13.2,3.0,8.4,14.9,10.6,15.6
722,MEDICAL CENTER OF TRINITY (100191),2019,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,10.8,4.6,10.5,13.2,12.0,18.8
723,BROWARD HEALTH IMPERIAL POINT (100200),2019,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,,,7.5,13.1,13.5,16.8
724,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2019,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,13.7,4.9,7.1,14.2,12.3,14.9
725,MEMORIAL HOSPITAL OF TAMPA (100206),2019,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,,,7.4,13.5,10.3,14.7
726,KENDALL REGIONAL MEDICAL CENTER (100209),2019,Acute Care,Proprietary,423.0,,,FL,11.2,,6.6,12.5,8.7,13.2
727,ADVENTHEALTH DADE CITY (100211),2019,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,11.9,,9.5,14.9,13.9,20.1
728,OCALA REGIONAL MEDICAL CENTER (100212),2019,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,16.2,3.3,11.1,15.6,14.4,23.1
729,BLAKE MEDICAL CENTER (100213),2019,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,13.1,5.2,9.3,13.9,14.8,17.5
730,STEWARD SEBASTIAN RIVER MEDICAL CENTER (100217),2019,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,15.0,,7.1,13.7,12.9,13.9
731,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2019,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,11.5,,7.2,14.8,12.1,13.8
732,FORT WALTON BEACH MEDICAL CENTER (100223),2019,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,12.0,2.2,9.7,14.1,11.8,19.8
733,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2019,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,12.3,,7.5,12.3,9.4,16.4
734,ORANGE PARK MEDICAL CENTER (100226),2019,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,14.1,3.5,7.3,14.0,11.0,16.6
735,WESTSIDE REGIONAL MEDICAL CENTER (100228),2019,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,10.8,3.8,7.3,17.4,11.1,15.9
736,MEMORIAL HOSPITAL PEMBROKE (100230),2019,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,12.1,,7.9,12.7,10.3,13.5
737,WEST FLORIDA HOSPITAL (100231),2019,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,13.9,3.0,7.8,13.2,10.6,16.0
738,PUTNAM COMMUNITY MEDICAL CENTER (100232),2019,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,12.7,,8.1,12.5,12.6,17.4
739,FAWCETT MEMORIAL HOSPITAL (100236),2019,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,12.1,5.1,10.1,14.5,12.8,19.4
740,NORTHSIDE HOSPITAL (100238),2019,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,13.4,2.6,7.8,16.3,9.8,15.8
741,GULF COAST REGIONAL MEDICAL CENTER (100242),2019,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,11.6,,7.8,12.4,10.1,17.2
742,BRANDON REGIONAL HOSPITAL (100243),2019,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,12.3,2.8,8.2,14.8,10.0,13.5
743,CAPE CORAL HOSPITAL (100244),2019,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,13.4,,8.3,13.2,11.1,17.0
744,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2019,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,12.7,3.5,8.0,15.7,9.5,17.3
745,LARGO MEDICAL CENTER (100248),2019,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,12.5,2.6,8.3,13.4,10.8,16.6
746,BAYFRONT HEALTH SEVEN RIVERS (100249),2019,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,15.0,,11.2,15.2,13.4,19.6
747,RAULERSON HOSPITAL (100252),2019,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,12.7,,7.5,13.3,9.5,19.4
748,JUPITER MEDICAL CENTER (100253),2019,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,12.8,,6.8,12.3,11.5,12.9
749,CAPITAL REGIONAL MEDICAL CENTER (100254),2019,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,11.8,2.9,7.9,12.5,11.4,16.7
750,TAMPA COMMUNITY HOSPITAL (100255),2019,Acute Care,Proprietary,208.0,,,FL,12.1,,7.9,,10.3,14.8
751,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2019,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,14.9,5.1,9.4,14.8,14.5,17.2
752,DELRAY MEDICAL CENTER (100258),2019,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,11.7,3.7,9.8,13.2,11.2,15.9
753,SOUTH BAY HOSPITAL (100259),2019,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,14.2,,7.3,12.6,10.4,15.1
754,ST LUCIE MEDICAL CENTER (100260),2019,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,13.0,,8.3,12.2,12.8,16.3
755,OAK HILL HOSPITAL (100264),2019,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,13.9,4.0,10.6,13.0,11.4,18.4
756,MEASE COUNTRYSIDE HOSPITAL (100265),2019,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,11.3,,8.5,13.9,14.4,19.0
757,GULF BREEZE HOSPITAL (100266),2019,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,12.6,,7.3,11.6,11.0,12.1
758,ENGLEWOOD COMMUNITY HOSPITAL (100267),2019,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,12.1,,11.9,12.6,10.4,16.6
759,WEST BOCA MEDICAL CENTER (100268),2019,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,12.7,,9.5,12.6,12.0,16.9
760,PALMS WEST HOSPITAL (100269),2019,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,13.1,,8.3,12.3,13.4,15.6
761,WELLINGTON REGIONAL MEDICAL CENTER LLC (100275),2019,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,13.6,,10.6,13.8,12.2,19.9
762,BROWARD HEALTH CORAL SPRINGS (100276),2019,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,12.7,,7.1,12.5,10.0,15.4
763,DOUGLAS GARDENS HOSPITAL (100277),2019,Acute Care,Voluntary non-profit - Private,457.0,25.822972,-80.191767,FL,,,,,,13.8
764,MEMORIAL HOSPITAL WEST (100281),2019,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,12.0,,7.1,11.3,7.9,12.7
765,WESTCHESTER GENERAL HOSPITAL (100284),2019,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,12.0,,6.0,,9.5,13.9
766,MEMORIAL HOSPITAL MIRAMAR (100285),2019,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,11.2,,8.4,12.2,10.4,12.9
767,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2019,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,12.2,,9.7,13.2,10.6,14.9
768,GOOD SAMARITAN MEDICAL CENTER (100287),2019,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,12.2,,9.2,13.1,12.1,17.2
769,ST MARY'S MEDICAL CENTER (100288),2019,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,,,8.6,17.5,10.4,19.4
770,CLEVELAND CLINIC HOSPITAL (100289),2019,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,12.7,2.9,7.8,12.4,12.4,15.2
771,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2019,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,14.0,,11.0,12.8,12.5,17.9
772,STEWARD MELBOURNE HOSPITAL (100291),2019,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,12.4,,7.8,,11.2,16.1
773,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2019,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,13.1,,8.8,16.5,12.8,17.4
774,DOCTORS HOSPITAL (100296),2019,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,13.1,,7.1,13.7,8.7,11.5
775,LAKEWOOD RANCH MEDICAL CENTER (100299),2019,Acute Care,Proprietary,123.0,27.392671,-82.434725,FL,11.8,,7.9,13.7,13.2,14.7
776,ST CLOUD REGIONAL MEDICAL CENTER (100302),2019,Acute Care,Proprietary,84.0,28.242414,-81.302658,FL,13.1,,7.3,13.1,13.3,14.3
777,ST VINCENT'S MEDICAL CENTER SOUTHSIDE (100307),2019,Acute Care,Voluntary non-profit - Private,298.0,30.253096,-81.584126,FL,12.7,,7.7,14.2,11.5,13.7
778,SACRED HEART HOSPITAL ON THE GULF (100313),2019,Acute Care,Voluntary non-profit - Private,19.0,29.776562,-85.287605,FL,,,7.8,,9.8,14.7
779,WEST KENDALL BAPTIST HOSPITAL (100314),2019,Acute Care,Voluntary non-profit - Private,132.0,25.679344,-80.456967,FL,,,7.6,12.5,11.1,11.3
780,VIERA HOSPITAL (100315),2019,Acute Care,Voluntary non-profit - Private,84.0,28.229812,-80.729434,FL,13.4,,8.7,11.8,14.4,15.2
781,PALM BAY HOSPITAL (100316),2019,Acute Care,Proprietary,139.0,27.99833,-80.61208,FL,13.9,,7.6,12.8,11.7,15.9
782,ADVENTHEALTH WESLEY CHAPEL (100319),2019,Acute Care,Voluntary non-profit - Private,126.0,28.193718,-82.353402,FL,13.2,,7.8,13.2,10.8,13.4
