,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for surgical inpatients w/ serious treatable complications (PSI 4),Iatrogenic pneumothorax rate (PSI 6),In-hospital fall with hip fracture rate (PSI 8),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Perioperative pulmonary embolism or deep vein thrombosis rate (PSI 12),Postoperative sepsis rate (PSI 13),Postoperative wound dehiscence rate (PSI 14),Pressure ulcer rate (PSI 3)
680,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2016,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,0.98,139.22,0.42,0.06,0.17,0.66,3.76,7.24,1.62,0.18
681,MEMORIAL HOSPITAL OF TAMPA (100206),2016,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,1.6,140.94,0.52,0.06,0.25,0.98,3.97,8.87,2.19,1.68
682,KENDALL REGIONAL MEDICAL CENTER (100209),2016,Acute Care,Proprietary,423.0,,,FL,1.07,108.61,0.4,0.06,0.19,0.7,3.51,12.08,2.16,0.14
683,BAYFRONT HEALTH DADE CITY (100211),2016,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,1.92,,0.36,0.06,0.15,0.94,4.53,9.4,2.2,0.31
684,OCALA REGIONAL MEDICAL CENTER (100212),2016,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,1.62,127.5,0.39,0.06,0.09,0.77,3.42,6.71,1.92,0.27
685,BLAKE MEDICAL CENTER (100213),2016,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,1.32,114.33,0.35,0.06,0.09,0.72,3.88,8.28,2.42,0.09
686,SEBASTIAN RIVER MEDICAL CENTER (100217),2016,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,1.29,163.92,0.35,0.06,0.13,0.82,4.57,7.87,2.06,0.87
687,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2016,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,1.29,107.57,0.39,0.06,0.27,1.04,8.35,7.34,2.65,0.31
688,FORT WALTON BEACH MEDICAL CENTER (100223),2016,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,1.38,149.06,0.48,0.06,0.19,0.78,3.69,10.09,2.06,0.11
689,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2016,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,0.8,,0.38,0.06,0.13,0.72,4.36,9.51,2.22,1.0
690,ORANGE PARK MEDICAL CENTER (100226),2016,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,0.7,118.14,0.29,0.06,0.09,0.66,4.88,10.29,2.49,0.26
691,WESTSIDE REGIONAL MEDICAL CENTER (100228),2016,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,1.42,158.5,0.32,0.06,0.12,0.82,3.75,9.43,2.6,1.05
692,MEMORIAL HOSPITAL PEMBROKE (100230),2016,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,1.05,,0.43,0.06,0.15,0.98,7.58,9.56,2.22,0.81
693,WEST FLORIDA HOSPITAL (100231),2016,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,1.03,109.03,0.37,0.06,0.17,0.69,3.54,13.29,1.87,0.08
694,PUTNAM COMMUNITY MEDICAL CENTER (100232),2016,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,1.69,145.07,0.41,0.06,0.23,0.91,4.8,8.76,2.77,0.15
695,WEST PALM HOSPITAL (100234),2016,Acute Care,Proprietary,242.0,,,FL,1.71,,0.37,0.06,0.26,0.99,5.68,,2.83,0.32
696,FAWCETT MEMORIAL HOSPITAL (100236),2016,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,0.62,84.16,0.39,0.06,0.16,0.82,7.36,12.09,1.92,0.09
697,NORTHSIDE HOSPITAL (100238),2016,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,0.77,153.31,0.58,0.06,0.34,0.71,4.29,7.96,2.14,0.15
698,ANNE BATES LEACH EYE HOSPITAL (100240),2016,Acute Care,Voluntary non-profit - Private,56.0,,,FL,1.4,,0.41,0.06,,0.89,5.09,,,
699,GULF COAST REGIONAL MEDICAL CENTER (100242),2016,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,1.17,129.25,0.4,0.06,0.1,0.77,4.2,10.92,2.52,0.44
700,BRANDON REGIONAL HOSPITAL (100243),2016,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,1.11,110.51,0.49,0.06,0.09,0.73,3.94,10.82,1.99,0.08
701,CAPE CORAL HOSPITAL (100244),2016,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,1.28,134.6,0.36,0.06,0.18,1.02,8.33,10.45,2.34,0.08
702,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2016,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,1.07,131.21,0.42,0.06,0.16,0.81,5.31,11.5,2.05,0.1
703,LARGO MEDICAL CENTER (100248),2016,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,1.05,150.58,0.55,0.06,0.22,0.9,5.64,11.95,2.4,0.59
704,SEVEN RIVERS REGIONAL MEDICAL CENTER (100249),2016,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,1.93,130.77,0.35,0.06,0.12,1.08,6.6,8.73,3.14,0.55
705,RAULERSON HOSPITAL (100252),2016,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,1.31,114.72,0.4,0.06,0.14,0.91,5.96,12.99,2.18,0.21
706,JUPITER MEDICAL CENTER (100253),2016,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,1.55,121.96,0.35,0.06,0.12,0.76,3.8,7.04,1.99,0.1
707,CAPITAL REGIONAL MEDICAL CENTER (100254),2016,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,2.06,130.24,0.3,0.06,0.11,0.94,4.41,10.91,2.14,0.13
708,TAMPA COMMUNITY HOSPITAL (100255),2016,Acute Care,Proprietary,208.0,,,FL,2.0,,0.36,0.06,0.13,1.0,4.73,9.4,2.27,0.78
709,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2016,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,1.4,136.74,0.48,0.06,0.31,0.7,1.98,8.93,3.06,0.11
710,DELRAY MEDICAL CENTER (100258),2016,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,0.93,119.11,0.28,0.06,0.28,0.65,3.63,,3.41,0.06
711,SOUTH BAY HOSPITAL (100259),2016,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,1.87,123.18,0.31,0.06,0.12,0.97,5.55,10.5,2.66,0.14
712,ST LUCIE MEDICAL CENTER (100260),2016,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,1.37,137.89,0.41,0.06,0.11,0.75,3.42,9.19,2.06,0.35
713,OAK HILL HOSPITAL (100264),2016,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,0.95,119.38,0.31,0.06,0.16,0.61,3.1,10.06,2.77,0.07
714,MEASE COUNTRYSIDE HOSPITAL (100265),2016,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,0.88,131.87,0.47,0.06,0.24,0.8,5.41,8.56,2.45,0.49
715,GULF BREEZE HOSPITAL (100266),2016,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,1.71,,0.33,0.06,0.14,0.88,4.55,9.35,2.74,0.23
716,ENGLEWOOD COMMUNITY HOSPITAL (100267),2016,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,0.98,127.34,0.47,0.06,0.24,0.66,2.95,9.62,2.14,0.24
717,WEST BOCA MEDICAL CENTER (100268),2016,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,1.38,,0.33,0.06,0.36,0.79,3.72,,2.25,0.2
718,PALMS WEST HOSPITAL (100269),2016,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,0.84,122.41,0.42,0.06,0.22,0.74,4.73,12.52,2.21,0.18
719,WELLINGTON REGIONAL MEDICAL CENTER (100275),2016,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,1.27,108.81,0.42,0.06,0.13,1.05,7.55,10.68,2.17,1.02
720,BROWARD HEALTH CORAL SPRINGS (100276),2016,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,1.28,,0.4,0.06,0.14,0.94,5.26,14.02,2.2,1.1
721,DOUGLAS GARDENS HOSPITAL (100277),2016,Acute Care,Voluntary non-profit - Private,457.0,25.822972,-80.191767,FL,1.42,,0.41,,0.31,0.92,,,,0.47
722,MEMORIAL HOSPITAL WEST (100281),2016,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,1.66,102.01,0.38,0.06,0.21,1.12,7.92,11.27,2.06,0.36
723,WESTCHESTER GENERAL HOSPITAL (100284),2016,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,0.99,,0.37,0.06,0.14,0.69,4.12,,,0.19
724,MEMORIAL HOSPITAL MIRAMAR (100285),2016,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,1.12,,0.38,0.06,0.27,0.78,4.68,9.69,2.24,0.27
725,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2016,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,1.51,104.75,0.37,0.06,0.27,0.91,5.31,8.48,1.88,0.4
726,GOOD SAMARITAN MEDICAL CENTER (100287),2016,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,0.89,151.47,0.51,0.06,0.49,0.81,4.51,11.02,2.59,0.48
727,ST MARY'S MEDICAL CENTER (100288),2016,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,1.19,107.58,0.35,0.06,0.13,0.73,4.02,9.82,2.26,0.24
728,CLEVELAND CLINIC HOSPITAL (100289),2016,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,0.78,123.28,0.36,0.06,0.19,0.79,5.42,12.07,2.85,0.66
729,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2016,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,0.57,152.26,0.53,0.06,0.17,0.61,3.63,11.38,1.88,0.07
730,WUESTHOFF MEDICAL CENTER-MELBOURNE (100291),2016,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,1.61,136.32,0.41,0.06,0.14,0.9,4.77,11.69,2.21,0.24
731,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2016,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,1.33,,0.38,0.06,0.14,0.69,2.23,8.38,2.21,0.78
732,DOCTORS HOSPITAL (100296),2016,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,1.6,127.32,0.4,0.06,0.14,1.02,7.11,8.69,2.72,0.17
733,LAKEWOOD RANCH MEDICAL CENTER (100299),2016,Acute Care,Proprietary,123.0,27.392671,-82.434725,FL,0.95,,0.62,0.06,0.14,0.75,4.21,9.48,2.24,0.24
734,ST CLOUD REGIONAL MEDICAL CENTER (100302),2016,Acute Care,Proprietary,84.0,28.242414,-81.302658,FL,0.98,,0.36,0.06,0.14,0.8,5.82,,2.25,0.21
735,ST VINCENT'S MEDICAL CENTER SOUTHSIDE (100307),2016,Acute Care,Voluntary non-profit - Private,298.0,30.253096,-81.584126,FL,1.8,145.62,0.36,0.06,0.12,0.94,4.79,12.92,2.18,0.16
736,SACRED HEART HOSPITAL ON THE GULF (100313),2016,Acute Care,Voluntary non-profit - Private,19.0,29.776562,-85.287605,FL,1.68,,0.4,,0.17,0.95,,,,0.43
737,WEST KENDALL BAPTIST HOSPITAL (100314),2016,Acute Care,Voluntary non-profit - Private,132.0,25.679344,-80.456967,FL,1.03,,0.43,0.06,0.14,0.81,4.99,,2.22,0.76
738,VIERA HOSPITAL (100315),2016,Acute Care,Voluntary non-profit - Private,84.0,28.229812,-80.729434,FL,1.79,139.77,0.36,0.06,0.26,1.09,7.13,10.57,2.17,0.23
739,PALM BAY HOSPITAL (100316),2016,Acute Care,Proprietary,139.0,27.99833,-80.61208,FL,1.04,,0.39,0.06,0.24,0.85,5.51,11.17,2.22,0.58
740,FLORIDA HOSPITAL WESLEY CHAPEL (100319),2016,Acute Care,Voluntary non-profit - Private,126.0,28.193718,-82.353402,FL,1.44,117.27,0.47,0.06,0.15,0.91,5.2,12.12,2.21,0.24
741,POINCIANA MEDICAL CENTER (100320),2016,Acute Care,Proprietary,66.0,28.142723,-81.472985,FL,1.59,,0.46,0.06,0.16,0.93,5.04,,,0.39
742,ST VINCENTS MEDICAL CENTER - CLAY COUNTY (100321),2016,Acute Care,Voluntary non-profit - Private,98.0,30.111135,-81.831298,FL,1.25,130.31,0.36,0.06,0.15,0.91,6.5,11.29,2.22,0.25
743,REGIONAL GENERAL HOSPITAL WILLISTON (100322),2016,Acute Care,Voluntary non-profit - Private,20.0,29.384354,-82.455793,FL,1.42,,0.41,,0.17,0.9,,,,
744,HAMILTON MEDICAL CENTER (110001),2016,Acute Care,Voluntary non-profit - Private,253.0,34.788884,-84.983657,GA,1.17,148.01,0.39,0.06,0.1,0.66,3.55,6.28,2.11,0.09
745,UPSON REGIONAL MEDICAL CENTER (110002),2016,Acute Care,Voluntary non-profit - Other,106.0,32.887252,-84.336109,GA,1.6,,0.43,0.06,0.15,0.82,3.53,,2.21,0.29
746,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC (110003)",2016,Acute Care,Voluntary non-profit - Private,251.0,31.226007,-82.349239,GA,1.01,138.16,0.43,0.06,0.12,0.76,4.62,9.98,2.2,0.5
747,HUTCHESON MEDICAL CENTER (110004),2016,Acute Care,Government - Hospital District or Authority,241.0,,,GA,2.11,,0.38,0.06,0.27,1.0,4.23,,2.82,0.3
748,NORTHSIDE HOSPITAL FORSYTH (110005),2016,Acute Care,Voluntary non-profit - Private,265.0,34.178588,-84.139246,GA,0.72,149.37,0.54,0.06,0.36,0.69,3.6,11.02,1.97,0.34
749,ST MARY'S HOSPITAL (110006),2016,Acute Care,Voluntary non-profit - Private,262.0,33.945929,-83.404467,GA,1.37,140.91,0.4,0.06,0.12,0.76,3.87,9.19,2.12,0.2
750,PHOEBE PUTNEY MEMORIAL HOSPITAL (110007),2016,Acute Care,Government - Hospital District or Authority,478.0,31.590229,-84.156267,GA,1.82,196.12,0.37,0.06,0.16,1.0,5.79,10.1,1.92,0.3
751,NORTHSIDE HOSPITAL CHEROKEE (110008),2016,Acute Care,Voluntary non-profit - Other,123.0,34.227523,-84.460562,GA,1.25,132.19,0.33,0.06,0.24,0.96,7.41,10.62,2.11,0.17
752,EMORY UNIVERSITY HOSPITAL (110010),2016,Acute Care,Voluntary non-profit - Private,612.0,33.791881,-84.320977,GA,0.85,100.7,0.52,0.06,0.23,0.83,5.32,11.17,1.9,0.74
753,TANNER MEDICAL CENTER - CARROLLTON (110011),2016,Acute Care,Government - Hospital District or Authority,175.0,33.570555,-85.072464,GA,2.57,120.11,0.38,0.06,0.11,1.02,3.59,6.92,3.17,0.36
754,TANNER MEDICAL CENTER VILLA RICA (110015),2016,Acute Care,Government - Hospital District or Authority,118.0,33.742992,-84.919477,GA,1.69,,0.38,0.06,0.16,0.97,4.83,,,1.07
755,WELLSTAR WEST GEORGIA MEDICAL CENTER (110016),2016,Acute Care,Government - Hospital District or Authority,456.0,33.031301,-85.056671,GA,1.16,135.74,0.42,0.06,0.13,0.8,5.04,10.07,2.12,0.16
756,PIEDMONT NEWTON HOSPITAL (110018),2016,Acute Care,Voluntary non-profit - Private,92.0,33.602673,-83.848082,GA,1.69,,0.35,0.06,0.15,0.93,5.41,9.69,2.24,0.27
757,GORDON HOSPITAL (110023),2016,Acute Care,Voluntary non-profit - Church,69.0,34.511878,-84.92537,GA,0.85,,0.36,0.06,0.14,0.61,3.23,9.64,2.21,0.23
758,CANDLER HOSPITAL (110024),2016,Acute Care,Voluntary non-profit - Other,260.0,32.027361,-81.101731,GA,2.63,131.58,0.37,0.06,0.09,1.08,4.93,6.91,2.3,0.11
759,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS (110025),2016,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,1.41,140.4,0.35,0.06,0.18,1.02,7.66,11.06,2.55,0.1
760,ELBERT MEMORIAL HOSPITAL (110026),2016,Acute Care,Government - Hospital District or Authority,52.0,34.113068,-82.875601,GA,1.33,,0.47,,0.17,0.88,5.12,,,0.41
761,"ST MARY'S SACRED HEART HOSPITAL, INC (110027)",2016,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,0.89,,0.39,0.06,0.16,0.7,4.35,,2.22,0.34
762,UNIVERSITY HOSPITAL (110028),2016,Acute Care,Voluntary non-profit - Other,530.0,33.472989,-81.981332,GA,0.87,187.24,0.38,0.06,0.13,0.57,2.95,7.62,1.8,0.18
763,"NORTHEAST GEORGIA MEDICAL CENTER, INC (110029)",2016,Acute Care,Government - Local,856.0,34.30335,-83.81737,GA,1.45,126.01,0.36,0.06,0.11,0.86,5.24,6.74,2.88,0.46
764,CARTERSVILLE MEDICAL CENTER (110030),2016,Acute Care,Voluntary non-profit - Private,116.0,,,GA,1.19,128.67,0.44,0.06,0.33,0.77,4.0,9.81,2.17,0.13
765,WELLSTAR SPALDING REGIONAL HOSPITAL (110031),2016,Acute Care,Proprietary,160.0,33.239215,-84.265671,GA,1.07,138.11,0.5,0.06,0.22,0.69,3.11,,2.16,0.17
766,STEPHENS COUNTY HOSPITAL (110032),2016,Acute Care,Government - Hospital District or Authority,75.0,34.59302,-83.347172,GA,1.62,,0.47,0.06,0.14,1.03,6.84,,2.26,0.19
767,AU MEDICAL CENTER (110034),2016,Acute Care,Voluntary non-profit - Other,481.0,33.471029,-81.991453,GA,0.79,143.14,0.62,0.06,0.36,1.18,10.78,15.24,1.89,0.12
768,WELLSTAR KENNESTONE HOSPITAL (110035),2016,Acute Care,Voluntary non-profit - Other,617.0,33.968128,-84.551241,GA,1.81,128.14,0.39,0.06,0.16,0.98,5.57,11.0,2.1,0.15
769,"MEMORIAL HEALTH UNIV MED CEN, INC (110036)",2016,Acute Care,Voluntary non-profit - Other,534.0,32.031785,-81.091827,GA,2.14,148.34,0.31,0.06,0.29,1.3,7.41,22.75,2.13,0.62
770,JOHN D ARCHBOLD MEMORIAL HOSPITAL (110038),2016,Acute Care,Voluntary non-profit - Private,328.0,,,GA,1.28,177.15,0.27,0.06,0.15,0.76,4.46,8.45,2.53,0.26
771,TRINITY HOSPITAL OF AUGUSTA (110039),2016,Acute Care,Proprietary,150.0,,,GA,1.11,,0.36,0.06,0.26,0.8,4.01,10.38,2.75,0.98
772,NORTHRIDGE MEDICAL CENTER (110040),2016,Acute Care,Government - Hospital District or Authority,217.0,34.218475,-83.469116,GA,1.27,,0.4,0.06,0.17,0.92,6.19,,,0.42
773,HABERSHAM COUNTY MEDICAL CTR (110041),2016,Acute Care,Government - Hospital District or Authority,137.0,34.405879,-83.485989,GA,1.94,,0.51,0.06,0.15,0.96,3.75,13.07,2.78,0.32
774,WELLSTAR PAULDING HOSPITAL (110042),2016,Acute Care,Voluntary non-profit - Other,259.0,33.902429,-84.782727,GA,1.91,,0.44,0.06,0.16,0.97,4.71,,2.25,0.3
775,ST JOSEPH'S HOSPITAL - SAVANNAH (110043),2016,Acute Care,Voluntary non-profit - Private,246.0,31.985079,-81.152792,GA,2.07,183.38,0.6,0.06,0.68,1.15,4.98,10.88,2.59,0.39
776,PHOEBE SUMTER MEDICAL CENTER (110044),2016,Acute Care,Government - Hospital District or Authority,54.0,32.06425,-84.255376,GA,1.52,,0.38,0.06,0.15,0.93,5.71,9.8,2.25,0.32
777,BARROW REGIONAL MEDICAL CENTER (110045),2016,Acute Care,Proprietary,55.0,34.007701,-83.706706,GA,1.11,,0.39,0.06,0.16,0.83,5.5,,2.27,0.37
778,CLEARVIEW  REGIONAL MEDICAL CENTER (110046),2016,Acute Care,Proprietary,81.0,33.798635,-83.746316,GA,2.88,,0.44,0.06,0.26,1.36,7.32,9.5,2.79,0.27
779,MURRAY MEDICAL CENTER (110050),2016,Acute Care,Voluntary non-profit - Private,28.0,34.779951,-84.782125,GA,1.4,,0.4,,0.17,0.89,,,,0.46
780,UNION GENERAL HOSPITAL (110051),2016,Acute Care,Government - Hospital District or Authority,190.0,34.884842,-83.963026,GA,1.35,,0.39,0.06,0.16,0.84,4.91,9.55,,0.3
781,FLOYD MEDICAL CENTER (110054),2016,Acute Care,Government - Hospital District or Authority,293.0,34.260454,-85.179957,GA,1.11,120.31,0.28,0.06,0.18,0.79,5.08,10.97,1.97,0.4
782,MIDTOWN MEDICAL CENTER (110064),2016,Acute Care,Voluntary non-profit - Other,367.0,32.481728,-84.982008,GA,1.94,171.21,0.36,0.06,0.28,1.02,4.42,14.92,2.14,0.64
783,HOUSTON MEDICAL CENTER (110069),2016,Acute Care,Voluntary non-profit - Private,236.0,32.618198,-83.62941,GA,0.75,126.7,0.38,0.06,0.25,0.69,4.16,,3.02,0.44
784,APPLING HOSPITAL (110071),2016,Acute Care,Government - Hospital District or Authority,158.0,31.768768,-82.349351,GA,1.32,,0.4,0.06,0.16,0.86,5.08,,,0.39
785,DORMINY MEDICAL CENTER (110073),2016,Acute Care,Government - Hospital District or Authority,60.0,31.697918,-83.260975,GA,1.6,,0.4,0.06,0.17,1.0,6.25,,,0.43
786,PIEDMONT ATHENS REGIONAL MEDICAL CENTER (110074),2016,Acute Care,Voluntary non-profit - Other,350.0,33.962377,-83.397733,GA,1.44,107.94,0.47,0.06,0.16,1.11,9.31,6.78,2.34,0.07
787,EAST GEORGIA REGIONAL MEDICAL CENTER (110075),2016,Acute Care,Proprietary,146.0,32.415171,-81.76865,GA,1.01,127.28,0.31,0.06,0.13,0.83,5.7,12.33,2.2,0.58
788,DEKALB MEDICAL CENTER (110076),2016,Acute Care,Voluntary non-profit - Private,431.0,33.79216,-84.282679,GA,1.73,141.37,0.44,0.06,0.27,0.96,5.47,8.52,2.03,0.1
789,EMORY UNIVERSITY HOSPITAL MIDTOWN (110078),2016,Acute Care,Voluntary non-profit - Private,481.0,33.769592,-84.385188,GA,1.21,141.42,0.75,0.06,0.22,1.32,10.98,11.33,1.94,0.87
790,GRADY MEMORIAL HOSPITAL (110079),2016,Acute Care,Voluntary non-profit - Other,938.0,33.752156,-84.382609,GA,3.06,154.34,0.62,0.06,0.38,1.55,8.1,9.69,2.56,0.79
791,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC (110082)",2016,Acute Care,Voluntary non-profit - Private,294.0,33.908634,-84.35182,GA,2.17,133.38,0.41,0.06,0.22,0.99,4.49,8.92,1.8,0.08
792,PIEDMONT HOSPITAL (110083),2016,Acute Care,Voluntary non-profit - Private,512.0,33.808802,-84.393369,GA,2.18,126.98,0.74,0.06,0.07,1.41,10.14,10.48,1.58,0.25
793,WASHINGTON COUNTY REGIONAL MEDICAL CENTER (110086),2016,Acute Care,Government - Hospital District or Authority,115.0,32.996817,-82.805042,GA,1.29,,0.4,0.06,0.17,0.85,5.0,,,0.42
794,GWINNETT MEDICAL CENTER (110087),2016,Acute Care,Government - Hospital District or Authority,553.0,33.966455,-84.013012,GA,1.22,112.78,0.56,0.06,0.14,0.93,6.19,,3.65,0.19
795,COFFEE REGIONAL MEDICAL CENTER (110089),2016,Acute Care,Government - Hospital District or Authority,86.0,31.509589,-82.86346,GA,0.93,138.68,0.4,0.06,0.25,0.72,3.82,9.18,2.23,0.75
796,ROCKDALE MEDICAL CENTER (110091),2016,Acute Care,Proprietary,141.0,33.682239,-84.001941,GA,1.52,169.28,0.33,0.06,0.13,0.85,4.99,8.62,2.18,0.16
797,DODGE COUNTY HOSPITAL (110092),2016,Acute Care,Government - Hospital District or Authority,49.0,32.186055,-83.178591,GA,1.7,,0.4,0.06,0.16,0.91,4.56,,2.28,0.38
798,TIFT REGIONAL MEDICAL CENTER (110095),2016,Acute Care,Government - Hospital District or Authority,185.0,31.470402,-83.491076,GA,0.91,140.35,0.31,0.06,0.12,0.93,8.35,7.78,2.1,0.46
799,JEFFERSON HOSPITAL (110100),2016,Acute Care,Government - Hospital District or Authority,38.0,33.00976,-82.404384,GA,1.4,,0.4,,0.17,0.89,,,,0.44
800,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR (110101),2016,Acute Care,Proprietary,134.0,31.109181,-83.426372,GA,1.41,,0.41,,0.17,0.9,,,,0.46
801,CRISP REGIONAL HOSPITAL (110104),2016,Acute Care,Government - Hospital District or Authority,210.0,31.977515,-83.782846,GA,1.89,,0.39,0.06,0.16,0.98,5.24,,2.25,0.3
802,COLQUITT REGIONAL MEDICAL CENTER (110105),2016,Acute Care,Government - Hospital District or Authority,132.0,31.126747,-83.782918,GA,2.1,124.69,0.42,0.06,0.14,1.02,4.96,9.47,2.74,0.25
803,"MEDICAL CENTER, NAVICENT HEALTH (THE) (110107)",2016,Acute Care,Government - Hospital District or Authority,615.0,32.833202,-83.636553,GA,1.81,150.31,0.27,0.06,0.32,0.87,4.04,10.69,1.89,0.06
804,EMANUEL MEDICAL CENTER (110109),2016,Acute Care,Government - Hospital District or Authority,97.0,32.59321,-82.346552,GA,1.34,,0.4,,0.17,0.87,,,,0.38
805,UNIVERSITY HOSPITAL MCDUFFIE (110111),2016,Acute Care,Government - Hospital District or Authority,25.0,33.523226,-82.504478,GA,1.13,,0.4,0.06,0.17,0.79,4.57,,,0.43
806,BURKE MEDICAL CENTER (110113),2016,Acute Care,Proprietary,40.0,33.083439,-82.011603,GA,1.42,,0.41,,0.17,0.9,,,,0.46
807,WELLSTAR ATLANTA MEDICAL CENTER (110115),2016,Acute Care,Proprietary,517.0,33.76327,-84.373986,GA,1.66,124.43,0.42,0.06,0.26,1.03,6.68,,2.67,0.11
808,GRADY GENERAL HOSPITAL (110121),2016,Acute Care,Voluntary non-profit - Private,45.0,30.863393,-84.200261,GA,1.52,,0.4,0.06,0.16,0.98,6.16,,,0.38
809,SOUTH GEORGIA MEDICAL CENTER (110122),2016,Acute Care,Government - Hospital District or Authority,312.0,30.86175,-83.288863,GA,0.99,149.35,0.35,0.06,0.1,0.58,2.75,8.67,2.48,0.1
810,WAYNE MEMORIAL HOSPITAL (110124),2016,Acute Care,Government - Hospital District or Authority,102.0,31.602952,-81.899094,GA,1.4,,0.38,0.06,0.15,0.92,6.16,9.99,,0.26
811,FAIRVIEW PARK HOSPITAL (110125),2016,Acute Care,Proprietary,154.0,32.53429,-82.950571,GA,1.16,145.93,0.38,0.06,0.14,0.72,3.86,10.87,2.24,0.18
812,MEADOWS REGIONAL MEDICAL CENTER (110128),2016,Acute Care,Proprietary,64.0,,,GA,2.07,136.12,0.47,0.06,0.14,1.24,7.31,9.0,2.67,1.3
813,ST FRANCIS HOSPITAL (110129),2016,Acute Care,Voluntary non-profit - Private,325.0,32.506927,-84.961378,GA,1.71,132.6,0.56,0.06,0.16,0.91,4.56,7.14,1.86,0.26
814,IRWIN COUNTY HOSPITAL (110130),2016,Acute Care,Government - Hospital District or Authority,64.0,31.602797,-83.250331,GA,1.29,,0.41,,0.17,0.87,,,,0.46
815,MEMORIAL HOSPITAL AND MANOR (110132),2016,Acute Care,Government - Hospital District or Authority,187.0,30.903781,-84.55367,GA,1.21,,0.4,0.06,0.16,0.81,4.75,,,0.38
816,TAYLOR REGIONAL HOSPITAL (110135),2016,Acute Care,Voluntary non-profit - Private,128.0,32.295625,-83.48581,GA,1.79,,0.4,0.06,0.16,1.05,6.54,,2.25,0.39
