,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI SIR,CDI SIR,CLABSI SIR,MRSA SIR,SSI SIR,Total HAC Score
786,PIEDMONT ROCKDALE HOSPITAL (110091),2023,Acute Care,Proprietary,141.0,33.682239,-84.001941,GA,0.0,0.232,1.312,1.761,2.571,0.0
787,DODGE COUNTY HOSPITAL (110092),2023,Acute Care,Government - Hospital District or Authority,49.0,32.186055,-83.178591,GA,,0.561,,,,0.0
788,TIFT REGIONAL MEDICAL CENTER (110095),2023,Acute Care,Government - Hospital District or Authority,185.0,31.470402,-83.491076,GA,1.288,0.521,1.968,0.932,0.275,0.0
789,JEFFERSON HOSPITAL (110100),2023,Acute Care,Government - Hospital District or Authority,38.0,33.00976,-82.404384,GA,,,,,,0.0
790,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR (110101),2023,Acute Care,Proprietary,134.0,31.109181,-83.426372,GA,,,,,,0.0
791,CRISP REGIONAL HOSPITAL (110104),2023,Acute Care,Government - Hospital District or Authority,210.0,31.977515,-83.782846,GA,1.772,1.179,2.421,,,0.0
792,COLQUITT REGIONAL MEDICAL CENTER (110105),2023,Acute Care,Government - Hospital District or Authority,132.0,31.126747,-83.782918,GA,1.341,0.948,0.194,2.23,0.0,0.0
793,ATRIUM HEALTH NAVICENT THE MEDICAL CENTER (110107),2023,Acute Care,Government - Hospital District or Authority,615.0,32.833202,-83.636553,GA,0.539,0.569,1.54,1.381,1.372,0.0
794,EMANUEL MEDICAL CENTER (110109),2023,Acute Care,Government - Hospital District or Authority,97.0,32.59321,-82.346552,GA,,0.0,,,,0.0
795,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER (110111),2023,Acute Care,Government - Hospital District or Authority,25.0,33.523226,-82.504478,GA,,,,,,0.0
796,BURKE MEDICAL CENTER (110113),2023,Acute Care,Proprietary,40.0,33.083439,-82.011603,GA,,,,,,0.0
797,WELLSTAR ATLANTA MEDICAL CENTER (110115),2023,Acute Care,Proprietary,517.0,33.76327,-84.373986,GA,0.731,0.206,0.983,1.626,1.333,0.0
798,GRADY GENERAL HOSPITAL (110121),2023,Acute Care,Voluntary non-profit - Private,45.0,30.863393,-84.200261,GA,,0.98,,,,0.0
799,SOUTH GEORGIA MEDICAL CENTER (110122),2023,Acute Care,Government - Hospital District or Authority,312.0,30.86175,-83.288863,GA,1.082,0.446,1.506,1.191,0.0,0.0
800,WAYNE MEMORIAL HOSPITAL (110124),2023,Acute Care,Government - Hospital District or Authority,102.0,31.602952,-81.899094,GA,2.509,0.0,3.823,,,0.0
801,FAIRVIEW PARK HOSPITAL (110125),2023,Acute Care,Proprietary,154.0,32.53429,-82.950571,GA,0.189,0.024,0.958,0.0,0.0,0.0
802,MEMORIAL HEALTH MEADOWS HOSPITAL (110128),2023,Acute Care,Proprietary,64.0,,,GA,6.198,1.061,,,2.182,0.0
803,ST FRANCIS HOSPITAL- EMORY HEALTHCARE (110129),2023,Acute Care,Voluntary non-profit - Private,325.0,32.506927,-84.961378,GA,0.274,0.34,1.381,1.308,1.126,0.0
804,IRWIN COUNTY HOSPITAL (110130),2023,Acute Care,Government - Hospital District or Authority,64.0,31.602797,-83.250331,GA,,,,,,0.0
805,MEMORIAL HOSPITAL AND MANOR (110132),2023,Acute Care,Government - Hospital District or Authority,187.0,30.903781,-84.55367,GA,,0.434,,,,0.0
806,TAYLOR REGIONAL HOSPITAL (110135),2023,Acute Care,Voluntary non-profit - Private,128.0,32.295625,-83.48581,GA,,1.021,,,,0.0
807,EVANS MEMORIAL HOSPITAL (110142),2023,Acute Care,Government - Hospital District or Authority,79.0,32.164133,-81.900403,GA,,,,,,0.0
808,WELLSTAR COBB MEDICAL CENTER (110143),2023,Acute Care,Voluntary non-profit - Other,377.0,33.856701,-84.601561,GA,0.435,0.308,1.041,1.143,0.95,0.0
809,SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS (110146),2023,Acute Care,Government - Hospital District or Authority,40.0,30.781226,-81.616234,GA,,0.0,,,,0.0
810,NAVICENT HEALTH BALDWIN (110150),2023,Acute Care,Voluntary non-profit - Private,113.0,33.088431,-83.245145,GA,0.0,1.026,0.0,,,0.0
811,PERRY HOSPITAL (110153),2023,Acute Care,Voluntary non-profit - Private,39.0,32.459475,-83.711227,GA,2.83,0.0,,,,0.0
812,NORTHSIDE HOSPITAL (110161),2023,Acute Care,Voluntary non-profit - Private,558.0,33.907895,-84.354754,GA,0.708,0.431,0.453,1.059,0.759,0.0
813,"COLISEUM MEDICAL CENTERS, LLC, DBA (110164)",2023,Acute Care,Voluntary non-profit - Private,257.0,32.847315,-83.62027,GA,0.201,0.289,0.614,0.0,0.7,0.0
814,SOUTHERN REGIONAL MEDICAL CENTER (110165),2023,Acute Care,Voluntary non-profit - Private,272.0,33.577524,-84.390432,GA,0.0,0.23,0.919,0.848,0.754,0.0
815,ADVENTHEALTH REDMOND (110168),2023,Acute Care,Proprietary,225.0,34.278191,-85.194131,GA,0.439,0.317,0.568,1.846,0.43,0.0
816,DOCTORS HOSPITAL (110177),2023,Acute Care,Proprietary,292.0,33.482477,-82.091092,GA,0.185,0.119,0.25,0.517,0.339,0.0
817,WELLSTAR DOUGLAS HOSPITAL (110184),2023,Acute Care,Voluntary non-profit - Private,102.0,33.738973,-84.73305,GA,0.672,0.0,1.929,1.305,1.726,0.0
818,FANNIN REGIONAL HOSPITAL (110189),2023,Acute Care,Proprietary,50.0,34.916923,-84.375509,GA,,2.527,,,,0.0
819,FLINT RIVER COMMUNITY HOSPITAL (110190),2023,Acute Care,Proprietary,47.0,32.295415,-84.030228,GA,,,,,,0.0
820,PIEDMONT HENRY HOSPITAL (110191),2023,Acute Care,Government - Hospital District or Authority,310.0,33.508996,-84.225561,GA,0.576,0.191,0.898,1.903,0.786,0.0
821,EASTSIDE MEDICAL CENTER (110192),2023,Acute Care,Proprietary,276.0,33.877259,-84.019645,GA,0.323,0.256,1.833,2.281,1.373,0.0
822,DONALSONVILLE HOSPITAL INC (110194),2023,Acute Care,Voluntary non-profit - Private,138.0,31.050707,-84.880123,GA,,0.847,,,,0.0
823,WELLSTAR NORTH FULTON HOSPITAL (110198),2023,Acute Care,Proprietary,201.0,34.062989,-84.322477,GA,0.393,0.129,0.805,0.747,1.511,0.0
824,PIEDMONT COLUMBUS REGIONAL NORTHSIDE (110200),2023,Acute Care,Proprietary,93.0,32.53588,-84.954383,GA,0.832,0.442,,,0.317,0.0
825,PIEDMONT MACON NORTH HOSPITAL (110201),2023,Acute Care,Proprietary,86.0,32.869861,-83.694361,GA,,0.0,,,,0.0
826,TURNING POINT HOSPITAL (110209),2023,Acute Care,Proprietary,64.0,31.129247,-83.77355,GA,,0.0,,,,0.0
827,PIEDMONT FAYETTE HOSPITAL (110215),2023,Acute Care,Voluntary non-profit - Private,218.0,33.450593,-84.510526,GA,0.569,0.101,0.828,1.576,1.175,0.0
828,PIEDMONT MOUNTAINSIDE HOSPITAL INC (110225),2023,Acute Care,Voluntary non-profit - Other,50.0,34.447466,-84.446561,GA,0.0,0.33,0.902,,,0.0
829,EMORY HILLANDALE HOSPITAL (110226),2023,Acute Care,Government - Hospital District or Authority,92.0,33.705488,-84.146927,GA,0.521,0.632,0.0,0.628,,0.0
830,"PIEDMONT NEWNAN HOSPITAL, INC (110229)",2023,Acute Care,Voluntary non-profit - Private,145.0,33.359363,-84.754062,GA,0.36,0.125,1.033,1.574,0.803,0.0
831,EMORY JOHNS CREEK HOSPITAL (110230),2023,Acute Care,Proprietary,122.0,34.067466,-84.175187,GA,1.916,0.171,1.873,1.69,0.6,0.0
832,SOUTHEASTERN REGIONAL MEDICAL CENTER (110233),2023,Acute Care,Proprietary,46.0,33.386391,-84.757419,GA,,0.25,,,0.27,0.0
833,SGMC BERRIEN CAMPUS (110234),2023,Acute Care,Government - Hospital District or Authority,54.0,31.203629,-83.238337,GA,,,,,,0.0
834,CHI MEMORIAL HOSPITAL- GEORGIA (110236),2023,Acute Care,Voluntary non-profit - Private,28.0,34.94777,-85.262756,GA,,,,,,0.0
835,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN (110237),2023,Acute Care,Voluntary non-profit - Other,24.0,,,GA,,2.072,,,,0.0
836,NORTHSIDE HOSPITAL DULUTH (110252),2023,Acute Care,Voluntary non-profit - Private,118.0,,,GA,,,,,,0.0
837,THE QUEENS MEDICAL CENTER (120001),2023,Acute Care,Voluntary non-profit - Private,585.0,21.308307,-157.854965,HI,0.936,0.55,0.562,0.752,0.584,0.0
838,MAUI MEMORIAL MEDICAL CENTER (120002),2023,Acute Care,Government - State,217.0,20.884455,-156.488087,HI,0.732,0.38,0.857,0.383,0.83,0.0
839,WAHIAWA GENERAL HOSPITAL (120004),2023,Acute Care,Voluntary non-profit - Private,157.0,21.498511,-158.027299,HI,,0.0,,,,0.0
840,HILO MEDICAL CENTER (120005),2023,Acute Care,Government - State,264.0,19.717467,-155.113513,HI,0.0,0.348,0.0,0.0,1.115,0.0
841,ADVENTIST HEALTH CASTLE (120006),2023,Acute Care,Voluntary non-profit - Church,160.0,21.381502,-157.757229,HI,0.983,0.084,0.626,0.0,0.973,0.0
842,KUAKINI MEDICAL CENTER (120007),2023,Acute Care,Voluntary non-profit - Private,342.0,21.322211,-157.856211,HI,0.864,0.281,0.36,0.0,0.884,0.0
843,KAISER FOUNDATION HOSPITAL (120011),2023,Acute Care,Voluntary non-profit - Private,283.0,21.362292,-157.900139,HI,1.555,1.389,0.844,0.454,0.466,0.0
844,WILCOX MEMORIAL HOSPITAL (120014),2023,Acute Care,Government - Federal,72.0,21.987043,-159.366198,HI,1.691,0.585,0.734,,1.078,0.0
845,KONA COMMUNITY HOSPITAL (120019),2023,Acute Care,Government - State,93.0,19.519237,-155.917719,HI,2.279,0.265,0.0,0.627,,0.0
846,STRAUB CLINIC AND HOSPITAL (120022),2023,Acute Care,Proprietary,159.0,21.302268,-157.850921,HI,0.588,0.645,0.277,0.844,1.392,0.0
847,PALI MOMI MEDICAL CENTER (120026),2023,Acute Care,Proprietary,121.0,21.383988,-157.937675,HI,0.0,0.0,0.539,0.0,1.972,0.0
848,"NORTH HAWAII COMMUNITY HOSPITAL, INC (120028)",2023,Acute Care,Voluntary non-profit - Private,34.0,,,HI,,0.0,,,,0.0
849,ST LUKES MAGIC VALLEY MEDICAL CENTER (130002),2023,Acute Care,Voluntary non-profit - Private,205.0,42.591595,-114.496998,ID,0.579,0.341,0.204,0.407,0.405,0.0
850,ST JOSEPH REGIONAL MEDICAL CENTER (130003),2023,Acute Care,Voluntary non-profit - Private,122.0,46.417121,-117.024997,ID,0.596,0.644,,,1.721,0.0
851,ST LUKE'S REGIONAL MEDICAL CENTER (130006),2023,Acute Care,Voluntary non-profit - Private,569.0,43.612157,-116.192202,ID,0.999,0.686,0.818,0.835,0.667,0.0
852,SAINT ALPHONSUS REGIONAL MEDICAL CENTER (130007),2023,Acute Care,Voluntary non-profit - Church,380.0,43.614072,-116.253622,ID,0.345,0.597,1.447,1.26,0.737,0.0
853,SAINT ALPHONSUS MEDICAL CENTER - NAMPA (130013),2023,Acute Care,Voluntary non-profit - Church,128.0,43.596332,-116.519174,ID,0.805,0.549,2.062,0.0,0.0,0.0
854,WEST VALLEY MEDICAL CENTER (130014),2023,Acute Care,Proprietary,108.0,43.65422,-116.69564,ID,0.0,0.0,,,0.0,0.0
855,EASTERN IDAHO REGIONAL MEDICAL CENTER (130018),2023,Acute Care,Proprietary,313.0,43.470276,-111.990159,ID,0.731,0.404,0.992,1.772,1.531,0.0
856,MADISON MEMORIAL HOSPITAL (130025),2023,Acute Care,Government - Local,68.0,43.826051,-111.773148,ID,,0.547,,,,0.0
857,PORTNEUF MEDICAL CENTER (130028),2023,Acute Care,Proprietary,168.0,42.872621,-112.4189,ID,2.055,0.398,0.481,2.167,0.307,0.0
858,KOOTENAI HEALTH (130049),2023,Acute Care,Government - Hospital District or Authority,286.0,47.694597,-116.792669,ID,0.305,0.382,0.402,0.681,0.422,0.0
859,TREASURE VALLEY HOSPITAL (130063),2023,Acute Care,Proprietary,11.0,43.611289,-116.290332,ID,,,,,,0.0
860,MOUNTAIN VIEW HOSPITAL (130065),2023,Acute Care,Proprietary,41.0,43.472524,-111.988717,ID,,0.0,,,1.274,0.0
861,NORTHWEST SPECIALTY HOSPITAL (130066),2023,Acute Care,Proprietary,34.0,47.71441,-116.924455,ID,,,,,1.698,0.0
862,ST LUKE'S NAMPA MEDICAL CENTER (130071),2023,Acute Care,Voluntary non-profit - Private,82.0,43.616618,-116.590734,ID,2.19,0.593,0.541,,,0.0
863,GROVE CREEK MEDICAL CENTER (130073),2023,Acute Care,Voluntary non-profit - Private,8.0,43.196301,-112.356124,ID,,,,,,0.0
864,"IDAHO FALLS COMMUNITY HOSPITAL, LLC (130074)",2023,Acute Care,Proprietary,88.0,,,ID,2.872,0.801,4.249,,,0.0
865,GRAHAM HOSPITAL ASSOCIATION (140001),2023,Acute Care,Voluntary non-profit - Other,86.0,40.553293,-90.038115,IL,,1.033,,,,0.0
866,ALTON MEMORIAL HOSPITAL (140002),2023,Acute Care,Voluntary non-profit - Private,157.0,,,IL,0.0,1.335,0.312,0.0,0.0,0.0
867,PRESENCE SAINT JOSEPH MEDICAL CENTER (140007),2023,Acute Care,Voluntary non-profit - Church,457.0,41.528248,-88.134645,IL,0.48,0.161,1.001,0.28,0.645,0.0
868,LOYOLA GOTTLIEB MEMORIAL HOSPITAL (140008),2023,Acute Care,Voluntary non-profit - Private,227.0,41.908342,-87.841101,IL,1.52,0.438,0.652,0.545,0.0,0.0
869,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL (140010),2023,Acute Care,Voluntary non-profit - Other,737.0,42.0653,-87.683293,IL,0.447,0.294,0.166,0.763,0.376,0.0
870,HERRIN HOSPITAL (140011),2023,Acute Care,Voluntary non-profit - Private,113.0,37.801613,-89.026508,IL,0.235,1.497,0.0,0.472,0.0,0.0
871,KATHERINE SHAW BETHEA HOSPITAL (140012),2023,Acute Care,Voluntary non-profit - Private,80.0,41.84423,-89.480131,IL,,0.377,,,0.531,0.0
872,PROCTOR HOSPITAL (140013),2023,Acute Care,Voluntary non-profit - Private,162.0,40.752496,-89.593254,IL,0.534,0.305,0.0,,,0.0
873,BLESSING HOSPITAL (140015),2023,Acute Care,Voluntary non-profit - Private,310.0,40.393084,-91.344081,IL,0.336,0.536,1.581,1.2,0.706,0.0
874,MT SINAI HOSPITAL MEDICAL CENTER (140018),2023,Acute Care,Voluntary non-profit - Private,280.0,,,IL,1.016,0.964,1.259,2.74,0.845,0.0
875,HSHS GOOD SHEPHERD HOSPITAL (140019),2023,Acute Care,Voluntary non-profit - Private,30.0,39.405801,-88.807113,IL,,0.0,,,,0.0
876,COPLEY MEMORIAL HOSPITAL (140029),2023,Acute Care,Voluntary non-profit - Private,210.0,41.727722,-88.268415,IL,0.345,0.567,1.149,0.324,0.614,0.0
877,ADVOCATE SHERMAN HOSPITAL (140030),2023,Acute Care,Voluntary non-profit - Private,255.0,42.070221,-88.331468,IL,0.594,0.712,0.131,0.0,0.432,0.0
878,ST ANTHONYS MEMORIAL HOSPITAL (140032),2023,Acute Care,Voluntary non-profit - Church,137.0,39.124496,-88.549274,IL,0.555,0.466,0.0,,,0.0
879,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA (140034),2023,Acute Care,Voluntary non-profit - Church,112.0,38.530809,-89.115999,IL,,0.556,,,,0.0
880,GALESBURG COTTAGE HOSPITAL (140040),2023,Acute Care,Proprietary,128.0,40.955483,-90.366199,IL,,,,,,0.0
881,CGH MEDICAL CENTER (140043),2023,Acute Care,Government - Local,94.0,41.801564,-89.696733,IL,0.827,1.468,3.028,,,0.0
882,GOOD SAMARITAN REGIONAL HLTH CENTER (140046),2023,Acute Care,Voluntary non-profit - Private,129.0,38.3149,-88.93,IL,1.833,0.176,0.932,0.0,0.799,0.0
883,ADVOCATE TRINITY HOSPITAL (140048),2023,Acute Care,Voluntary non-profit - Other,237.0,41.726211,-87.56725,IL,0.501,0.504,0.77,0.675,0.612,0.0
884,WEST SUBURBAN MEDICAL CENTER (140049),2023,Acute Care,Voluntary non-profit - Other,183.0,41.89184,-87.777471,IL,1.46,0.487,2.291,0.786,1.549,0.0
885,OSF SAINT ANTHONY'S HEALTH CENTER (140052),2023,Acute Care,Voluntary non-profit - Church,104.0,,,IL,4.352,0.599,2.12,,,0.0
886,ST JOHNS HOSPITAL (140053),2023,Acute Care,Voluntary non-profit - Church,409.0,39.807289,-89.644833,IL,0.148,0.379,0.601,0.467,0.47,0.0
887,MACNEAL  HOSPITAL (140054),2023,Acute Care,Proprietary,319.0,41.832002,-87.792783,IL,0.434,0.348,1.079,0.361,0.432,0.0
888,JERSEY COMMUNITY HOSPITAL (140059),2023,Acute Care,Government - Local,46.0,39.109906,-90.341622,IL,,,,,,0.0
889,PALOS COMMUNITY HOSPITAL (140062),2023,Acute Care,Voluntary non-profit - Private,386.0,41.668955,-87.815976,IL,0.796,0.773,0.242,0.722,0.525,0.0
890,RUSH OAK PARK HOSPITAL (140063),2023,Acute Care,Voluntary non-profit - Church,222.0,41.879026,-87.803818,IL,0.0,0.308,0.724,0.0,0.723,0.0
891,ST MARY MEDICAL CENTER (140064),2023,Acute Care,Voluntary non-profit - Church,88.0,40.98702,-90.363609,IL,3.514,0.818,2.165,,0.775,0.0
892,ADVENTIST LA GRANGE MEMORIAL HOSPITAL (140065),2023,Acute Care,Voluntary non-profit - Church,179.0,41.797382,-87.888407,IL,1.166,0.967,0.861,1.074,0.0,0.0
893,SAINT FRANCIS MEDICAL CENTER (140067),2023,Acute Care,Voluntary non-profit - Church,651.0,40.702366,-89.589985,IL,1.114,0.306,1.069,0.641,1.123,0.0
894,ROSELAND COMMUNITY HOSPITAL (140068),2023,Acute Care,Voluntary non-profit - Other,136.0,41.692562,-87.624734,IL,1.418,0.649,0.986,,,0.0
895,TOUCHETTE REGIONAL HOSPITAL INC (140077),2023,Acute Care,Voluntary non-profit - Private,124.0,38.571324,-90.10767,IL,,,,,,0.0
896,PRESENCE SAINT FRANCIS HOSPITAL (140080),2023,Acute Care,Voluntary non-profit - Church,191.0,42.023951,-87.685159,IL,0.481,0.766,2.166,0.506,,0.0
897,LOUIS A WEISS MEMORIAL HOSPITAL (140082),2023,Acute Care,Proprietary,164.0,41.966521,-87.648898,IL,0.0,0.673,1.259,0.755,,0.0
898,LORETTO HOSPITAL (140083),2023,Acute Care,Voluntary non-profit - Private,146.0,41.872042,-87.764443,IL,,0.0,,,,0.0
899,VISTA MEDICAL CENTER EAST (140084),2023,Acute Care,Voluntary non-profit - Other,190.0,42.378264,-87.830964,IL,1.332,0.3,1.716,1.845,0.0,0.0
900,THE UNIVERSITY OF CHICAGO MEDICAL CENTER (140088),2023,Acute Care,Voluntary non-profit - Private,620.0,41.787956,-87.604925,IL,0.614,0.609,0.597,0.967,1.069,0.0
901,MC DONOUGH DISTRICT HOSPITAL (140089),2023,Acute Care,Government - Hospital District or Authority,66.0,40.447907,-90.66403,IL,,0.0,,,,0.0
902,CARLE FOUNDATION HOSPITAL (140091),2023,Acute Care,Voluntary non-profit - Private,390.0,40.117423,-88.213888,IL,0.82,0.226,0.746,1.163,0.847,0.0
903,OSF SACRED HEART MEDICAL CENTER (140093),2023,Acute Care,Voluntary non-profit - Church,159.0,40.136197,-87.644908,IL,1.134,0.907,2.21,,0.751,0.0
904,SAINT ANTHONY HOSPITAL (140095),2023,Acute Care,Voluntary non-profit - Church,151.0,41.855538,-87.698272,IL,0.0,0.181,,0.0,,0.0
905,MIDWESTERN REGION MED CENTER (140100),2023,Acute Care,Proprietary,72.0,42.44897,-87.82684,IL,,0.387,,,1.053,0.0
906,MORRIS HOSPITAL & HEALTHCARE CENTERS (140101),2023,Acute Care,Voluntary non-profit - Private,88.0,41.368907,-88.426016,IL,0.0,1.005,0.0,,,0.0
907,ST BERNARD HOSPITAL (140103),2023,Acute Care,Voluntary non-profit - Private,193.0,41.778114,-87.633273,IL,0.336,1.231,0.0,0.635,,0.0
908,OSF SAINT ELIZABETH MDL CTR (140110),2023,Acute Care,Voluntary non-profit - Private,97.0,41.356417,-88.82536,IL,,0.701,,,1.574,0.0
909,OSF HEART OF MARY MEDICAL CENTER (140113),2023,Acute Care,Voluntary non-profit - Church,198.0,40.117391,-88.227123,IL,1.94,0.479,0.624,,,0.0
910,SWEDISH HOSPITAL (140114),2023,Acute Care,Voluntary non-profit - Church,299.0,41.975219,-87.698918,IL,0.839,1.08,0.924,0.997,1.268,0.0
911,THOREK MEMORIAL HOSPITAL (140115),2023,Acute Care,Voluntary non-profit - Private,154.0,41.954556,-87.650899,IL,,0.758,,,,0.0
912,NORTHWESTERN MEDICINE MCHENRY (140116),2023,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL,1.144,0.154,1.12,0.506,0.156,0.0
913,AMITA HEALTH RESURRECTION MEDICAL CENTER (140117),2023,Acute Care,Voluntary non-profit - Church,468.0,41.988458,-87.81257,IL,0.592,0.726,0.447,0.408,0.263,0.0
914,RUSH UNIVERSITY MEDICAL CENTER (140119),2023,Acute Care,Voluntary non-profit - Private,677.0,41.875166,-87.66851,IL,0.35,0.734,0.487,1.039,0.874,0.0
915,PEKIN MEMORIAL HOSPITAL (140120),2023,Acute Care,Voluntary non-profit - Private,97.0,40.563142,-89.633191,IL,0.0,0.864,,,,0.0
916,ADVENTIST HINSDALE HOSPITAL (140122),2023,Acute Care,Voluntary non-profit - Church,266.0,41.805329,-87.920062,IL,0.541,0.508,0.528,0.396,0.0,0.0
917,JOHN H STROGER JR HOSPITAL (140124),2023,Acute Care,Government - Local,434.0,41.874041,-87.674311,IL,0.554,0.693,0.502,1.058,0.478,0.0
918,GATEWAY REGIONAL MEDICAL CENTER (140125),2023,Acute Care,Proprietary,331.0,38.700891,-90.144958,IL,0.0,0.625,0.0,,,0.0
919,CARLE BROMENN MEDICAL CENTER (140127),2023,Acute Care,Voluntary non-profit - Church,215.0,40.496332,-88.99096,IL,0.656,0.187,0.0,0.0,1.072,0.0
920,NORTHWESTERN LAKE FOREST HOSPITAL (140130),2023,Acute Care,Voluntary non-profit - Other,132.0,42.259134,-87.866327,IL,1.892,1.103,1.802,1.571,0.775,0.0
921,HOLY CROSS HOSPITAL (140133),2023,Acute Care,Voluntary non-profit - Private,221.0,41.770008,-87.691909,IL,1.13,0.899,0.62,0.829,,0.0
922,DECATUR MEMORIAL HOSPITAL (140135),2023,Acute Care,Voluntary non-profit - Other,227.0,39.866492,-88.960912,IL,1.872,0.677,2.147,1.265,1.178,0.0
923,HSHS HOLY FAMILY HOSPITAL INC (140137),2023,Acute Care,Voluntary non-profit - Private,74.0,38.90188,-89.408677,IL,,0.998,,,,0.0
924,ST MARGARETS HOSPITAL (140143),2023,Acute Care,Voluntary non-profit - Private,56.0,41.328409,-89.192633,IL,,1.611,,,,0.0
925,ST JOSEPHS HOSPITAL (140145),2023,Acute Care,Voluntary non-profit - Church,49.0,38.625154,-89.524944,IL,,4.23,,,,0.0
926,CARLE RICHLAND MEMORIAL HOSPITAL (140147),2023,Acute Care,Voluntary non-profit - Private,88.0,38.735021,-88.077125,IL,,0.0,,,,0.0
927,MEMORIAL MEDICAL CENTER (140148),2023,Acute Care,Voluntary non-profit - Private,465.0,39.808778,-89.654586,IL,0.892,0.573,1.434,0.814,0.139,0.0
928,UNIVERSITY OF ILLINOIS HOSPITAL (140150),2023,Acute Care,Government - State,498.0,41.869224,-87.670529,IL,0.562,1.04,0.955,0.725,1.79,0.0
929,PRESENCE ST MARYS HOSPITAL (140155),2023,Acute Care,Voluntary non-profit - Other,177.0,41.121113,-87.871768,IL,0.0,0.397,0.564,,,0.0
930,INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO (140158),2023,Acute Care,Voluntary non-profit - Private,11375.0,41.847053,-87.623583,IL,,1.098,,,,0.0
931,FHN MEMORIAL HOSPITAL (140160),2023,Acute Care,Voluntary non-profit - Private,100.0,42.295894,-89.637947,IL,0.0,0.369,0.0,,0.0,0.0
932,SAINT JAMES HOSPITAL (140161),2023,Acute Care,Voluntary non-profit - Church,42.0,40.873402,-88.678583,IL,,1.456,,,,0.0
933,ST JOSEPH MEDICAL CENTER (140162),2023,Acute Care,Voluntary non-profit - Church,149.0,40.480118,-88.955385,IL,2.25,1.373,2.755,0.515,1.329,0.0
934,MEMORIAL HOSPITAL OF CARBONDALE (140164),2023,Acute Care,Voluntary non-profit - Private,164.0,37.727973,-89.220121,IL,1.206,0.598,0.486,1.121,0.635,0.0
935,ST MARYS HOSPITAL (140166),2023,Acute Care,Voluntary non-profit - Private,220.0,39.82635,-88.93191,IL,0.0,0.058,1.892,0.505,1.35,0.0
936,IROQUOIS MEMORIAL HOSPITAL (140167),2023,Acute Care,Voluntary non-profit - Private,67.0,40.765541,-87.732666,IL,,,,,,0.0
937,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS (140172),2023,Acute Care,Proprietary,274.0,,,IL,1.29,0.714,0.844,0.719,0.883,0.0
938,PRESENCE MERCY MEDICAL CENTER (140174),2023,Acute Care,Voluntary non-profit - Church,281.0,41.786906,-88.328909,IL,0.444,1.446,0.0,0.0,0.0,0.0
939,JACKSON PARK HOSPITAL (140177),2023,Acute Care,Voluntary non-profit - Private,181.0,41.757332,-87.58571,IL,0.0,0.0,,,,0.0
940,OSF LITTLE COMPANY OF MARY MEDICAL CENTER (140179),2023,Acute Care,Voluntary non-profit - Other,258.0,41.720902,-87.691966,IL,1.1,0.08,0.739,0.608,3.028,0.0
941,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER (140180),2023,Acute Care,Voluntary non-profit - Church,450.0,41.903104,-87.683213,IL,2.146,0.59,1.78,0.207,0.851,0.0
942,SOUTH SHORE HOSPITAL (140181),2023,Acute Care,Voluntary non-profit - Private,136.0,41.749496,-87.568623,IL,0.537,0.977,3.518,,,0.0
943,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER (140182),2023,Acute Care,Voluntary non-profit - Church,305.0,41.936315,-87.651554,IL,0.427,0.723,1.279,0.0,1.402,0.0
944,HEARTLAND REGIONAL MEDICAL CENTER (140184),2023,Acute Care,Proprietary,95.0,37.744891,-88.988848,IL,0.758,1.1,,,,0.0
945,MEMORIAL HOSPITAL (140185),2023,Acute Care,Voluntary non-profit - Private,353.0,38.550533,-90.021168,IL,1.154,0.446,0.996,1.992,0.996,0.0
946,RIVERSIDE MEDICAL CENTER (140186),2023,Acute Care,Voluntary non-profit - Private,317.0,41.124148,-87.882651,IL,0.442,0.681,0.619,0.368,0.442,0.0
947,HSHS ST ELIZABETH'S HOSPITAL (140187),2023,Acute Care,Voluntary non-profit - Church,205.0,,,IL,0.31,0.492,0.625,0.814,0.312,0.0
948,SARAH BUSH LINCOLN HEALTH CENTER (140189),2023,Acute Care,Voluntary non-profit - Private,108.0,39.488543,-88.275793,IL,2.915,0.632,1.479,0.58,1.603,0.0
949,INGALLS MEMORIAL HOSPITAL (140191),2023,Acute Care,Voluntary non-profit - Private,324.0,41.606331,-87.659484,IL,1.154,0.294,0.843,0.921,0.547,0.0
950,METHODIST HOSPITAL OF CHICAGO (140197),2023,Acute Care,Voluntary non-profit - Private,153.0,41.973262,-87.671141,IL,,0.0,,,,0.0
951,ELMHURST MEMORIAL HOSPITAL (140200),2023,Acute Care,Proprietary,286.0,41.861684,-87.934295,IL,1.042,0.15,0.111,0.326,0.398,0.0
