,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Total HAC Score,Payment Reduction
686,BLAKE MEDICAL CENTER (100213),2020,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,0.8305,0.0447,-0.2067,2.0821,1.5783,-0.0575,0.7119,Yes
687,STEWARD SEBASTIAN RIVER MEDICAL CENTER (100217),2020,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,0.6101,-0.3099,-0.5946,2.2502,-0.1055,0.5712,0.4036,Yes
688,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2020,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,-0.9102,-0.8598,-0.9208,0.6502,-0.0189,-0.6825,-0.457,No
689,FORT WALTON BEACH MEDICAL CENTER (100223),2020,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,0.4048,1.1115,1.4402,-0.3462,0.4361,-1.5258,0.2534,No
690,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2020,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,0.1293,-0.0003,2.1941,-0.1887,-0.2031,0.0871,0.3364,Yes
691,ORANGE PARK MEDICAL CENTER (100226),2020,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,-0.6118,-0.0484,-0.1232,0.5936,0.2887,-0.068,0.0051,No
692,WESTSIDE REGIONAL MEDICAL CENTER (100228),2020,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,-0.5035,-0.5983,0.3084,0.4255,-1.0782,-0.4419,-0.3147,No
693,MEMORIAL HOSPITAL PEMBROKE (100230),2020,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,0.2091,0.225,-0.3858,-0.5214,-0.566,0.4853,-0.0923,No
694,WEST FLORIDA HOSPITAL (100231),2020,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,0.3763,1.0334,0.0379,0.5246,1.7827,-1.3254,0.4049,Yes
695,PUTNAM COMMUNITY MEDICAL CENTER (100232),2020,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,-0.7772,0.6067,0.563,1.3051,0.6516,-1.0445,0.2175,No
696,FAWCETT MEMORIAL HOSPITAL (100236),2020,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,-0.133,1.4271,-0.3619,0.9387,-0.4094,-1.1713,0.0484,No
697,NORTHSIDE HOSPITAL (100238),2020,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,-0.6517,-0.1626,0.2706,-0.2719,1.4456,-0.8567,-0.0378,No
698,GULF COAST REGIONAL MEDICAL CENTER (100242),2020,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,-0.9254,-0.7516,-0.5528,0.5777,-1.1574,0.8181,-0.3319,No
699,BRANDON REGIONAL HOSPITAL (100243),2020,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,-0.6726,-0.0184,-0.8313,-0.5727,-0.6452,0.2282,-0.4187,No
700,CAPE CORAL HOSPITAL (100244),2020,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,-0.6118,-1.1152,-0.5389,-0.0807,-0.8939,-1.5258,-0.7944,No
701,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2020,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,-0.5263,0.1529,0.3979,0.1069,-0.7908,0.061,-0.0997,No
702,LARGO MEDICAL CENTER (100248),2020,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,-0.4541,0.0778,0.4835,1.0272,0.4324,0.3878,0.3258,No
703,BAYFRONT HEALTH SEVEN RIVERS (100249),2020,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,2.1854,1.971,2.0031,1.6254,0.2924,2.3575,1.7391,Yes
704,RAULERSON HOSPITAL (100252),2020,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,-1.5354,1.0094,1.4422,0.1972,1.2356,-1.1183,0.2051,No
705,JUPITER MEDICAL CENTER (100253),2020,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,-1.5354,-1.6531,-1.1516,-1.4453,-1.1371,-0.5054,-1.238,No
706,CAPITAL REGIONAL MEDICAL CENTER (100254),2020,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,-0.3116,0.5105,-0.8313,0.6786,1.4585,-0.3131,0.1986,No
707,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2020,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,0.4086,0.4805,0.1712,0.1883,-0.9768,-1.0847,-0.1355,No
708,DELRAY MEDICAL CENTER (100258),2020,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,-0.6745,-0.4751,-1.0978,-0.1126,-1.1132,-0.3312,-0.6341,No
709,SOUTH BAY HOSPITAL (100259),2020,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,0.3573,-0.6524,-0.6642,-0.7002,1.3314,-1.0006,-0.2214,No
710,ST LUCIE MEDICAL CENTER (100260),2020,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,-0.9349,-0.5533,-1.0839,-0.6382,-0.7981,-0.6551,-0.7773,No
711,OAK HILL HOSPITAL (100264),2020,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,-0.38,0.9493,0.9469,1.4502,-0.6692,-1.1716,0.1876,No
712,MEASE COUNTRYSIDE HOSPITAL (100265),2020,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,-0.055,0.1529,-0.519,-0.9603,0.5153,-0.1485,-0.1691,No
713,GULF BREEZE HOSPITAL (100266),2020,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,0.8552,-0.5232,0.024,-1.4453,0.2114,-0.4889,-0.2278,No
714,ENGLEWOOD COMMUNITY HOSPITAL (100267),2020,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,-0.6289,-1.4938,,,-0.496,-1.5258,-1.0362,No
715,WEST BOCA MEDICAL CENTER (100268),2020,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,-0.7791,-0.4661,1.4323,0.0644,-0.9787,-0.1797,-0.1511,No
716,PALMS WEST HOSPITAL (100269),2020,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,0.3497,-0.5833,0.4815,0.4095,1.2596,-0.5369,0.23,No
717,WELLINGTON REGIONAL MEDICAL CENTER LLC (100275),2020,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,0.7298,-0.4902,0.7759,0.3688,1.3977,0.1631,0.4909,Yes
718,BROWARD HEALTH CORAL SPRINGS (100276),2020,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,0.116,-0.6194,0.8037,-1.0081,0.7898,0.6661,0.1247,No
719,DOUGLAS GARDENS HOSPITAL (100277),2020,Acute Care,Voluntary non-profit - Private,457.0,25.822972,-80.191767,FL,,0.1048,,,,0.0636,0.0842,No
720,MEMORIAL HOSPITAL WEST (100281),2020,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,0.2566,0.198,-0.5349,0.1246,-1.0321,2.3575,0.2283,No
721,WESTCHESTER GENERAL HOSPITAL (100284),2020,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,-1.2541,-0.379,-0.7418,-1.4453,0.0566,-0.7821,-0.7576,No
722,MEMORIAL HOSPITAL MIRAMAR (100285),2020,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,-0.9178,-0.5262,-1.0223,-0.817,-0.5752,0.4723,-0.5644,No
723,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2020,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,-1.0736,-0.6344,-1.4459,-0.4011,-0.9916,-0.7926,-0.8899,No
724,GOOD SAMARITAN MEDICAL CENTER (100287),2020,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,0.0514,-0.4361,0.0001,2.2502,0.4011,0.4325,0.4499,Yes
725,ST MARY'S MEDICAL CENTER (100288),2020,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,2.0676,-0.8177,0.5053,-0.5161,2.0996,-0.4503,0.4814,Yes
726,CLEVELAND CLINIC HOSPITAL (100289),2020,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,0.154,0.4354,2.1941,0.7617,0.3477,1.3329,0.871,Yes
727,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2020,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,0.3459,0.9913,-0.6622,1.0148,0.4619,-0.9043,0.2079,No
728,STEWARD MELBOURNE HOSPITAL (100291),2020,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,-0.1653,-1.6171,0.7142,0.137,0.075,0.9259,0.0116,No
729,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2020,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,0.6671,-0.5893,0.1195,-0.3621,-0.9216,-1.1615,-0.3747,No
730,DOCTORS HOSPITAL (100296),2020,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,0.5511,-0.6735,1.0225,1.4113,-0.8792,1.9818,0.569,Yes
731,LAKEWOOD RANCH MEDICAL CENTER (100299),2020,Acute Care,Proprietary,123.0,27.392671,-82.434725,FL,0.2908,0.0778,-0.0775,0.6892,-1.5,0.0374,-0.0804,No
732,ST CLOUD REGIONAL MEDICAL CENTER (100302),2020,Acute Care,Proprietary,84.0,28.242414,-81.302658,FL,-0.5852,-0.3339,-0.1292,-0.2382,-1.5,-0.5956,-0.5637,No
733,ASCENSION ST VINCENT'S SOUTHSIDE (100307),2020,Acute Care,Voluntary non-profit - Private,298.0,30.253096,-81.584126,FL,0.2718,-1.0191,1.3308,1.6608,0.3366,-1.5258,0.1759,No
734,ASCENSION SACRED HEART GULF (100313),2020,Acute Care,Voluntary non-profit - Private,19.0,29.776562,-85.287605,FL,,-1.9626,,,,-0.0641,-1.0134,No
735,WEST KENDALL BAPTIST HOSPITAL (100314),2020,Acute Care,Voluntary non-profit - Private,132.0,25.679344,-80.456967,FL,-0.2584,0.5886,1.3109,-1.0365,-0.2639,1.0694,0.235,No
736,VIERA HOSPITAL (100315),2020,Acute Care,Voluntary non-profit - Private,84.0,28.229812,-80.729434,FL,1.355,-1.5059,-1.4459,-1.4453,-0.9455,-1.0638,-0.8419,No
737,PALM BAY HOSPITAL (100316),2020,Acute Care,Proprietary,139.0,27.99833,-80.61208,FL,-1.5354,0.0057,-1.4459,2.2502,-0.881,-0.1385,-0.2908,No
738,ADVENTHEALTH WESLEY CHAPEL (100319),2020,Acute Care,Voluntary non-profit - Private,126.0,28.193718,-82.353402,FL,-0.6194,-1.596,-1.4459,-0.5922,-0.3689,-1.1068,-0.9549,No
739,POINCIANA MEDICAL CENTER (100320),2020,Acute Care,Proprietary,66.0,28.142723,-81.472985,FL,-1.5354,-0.5473,-1.4459,,-1.5,-0.4886,-1.1034,No
740,ASCENSION ST VINCENT'S CLAY COUNTY (100321),2020,Acute Care,Voluntary non-profit - Private,98.0,30.111135,-81.831298,FL,-0.9007,-0.6675,-0.8194,-1.4453,0.0972,-0.835,-0.7618,No
741,REGIONAL GENERAL HOSPITAL WILLISTON (100322),2020,Acute Care,Voluntary non-profit - Private,20.0,29.384354,-82.455793,FL,,,,,,0.0754,0.0754,No
742,OVIEDO MEDICAL CENTER (100329),2020,Acute Care,Proprietary,64.0,28.65604,-81.227973,FL,-0.3534,1.4331,-1.4459,,0.344,-0.5859,-0.1216,No
743,HAMILTON MEDICAL CENTER (110001),2020,Acute Care,Voluntary non-profit - Private,253.0,34.788884,-84.983657,GA,0.9768,-1.2234,2.1185,0.9423,0.3606,-1.2969,0.313,No
744,UPSON REGIONAL MEDICAL CENTER (110002),2020,Acute Care,Voluntary non-profit - Other,106.0,32.887252,-84.336109,GA,-1.5354,0.5225,-0.1948,0.2963,-0.1994,0.3442,-0.1278,No
745,MEMORIAL SATILLA HEALTH (110003),2020,Acute Care,Voluntary non-profit - Private,251.0,31.226007,-82.349239,GA,0.2794,0.0598,0.6565,-0.7834,-1.5,-0.3567,-0.2741,No
746,NORTHSIDE HOSPITAL FORSYTH (110005),2020,Acute Care,Voluntary non-profit - Private,265.0,34.178588,-84.139246,GA,-0.1938,-0.7185,-0.8273,0.1936,-0.135,0.1571,-0.254,No
747,ST MARY'S HOSPITAL (110006),2020,Acute Care,Voluntary non-profit - Private,262.0,33.945929,-83.404467,GA,0.7963,-0.1175,0.8753,0.9954,0.064,-0.9724,0.2735,No
748,PHOEBE PUTNEY MEMORIAL HOSPITAL (110007),2020,Acute Care,Government - Hospital District or Authority,478.0,31.590229,-84.156267,GA,0.3003,0.3182,0.3104,0.1299,-0.8018,-1.0877,-0.1385,No
749,NORTHSIDE HOSPITAL CHEROKEE (110008),2020,Acute Care,Voluntary non-profit - Other,123.0,34.227523,-84.460562,GA,-0.6479,-0.5593,-0.529,-0.3373,-0.2142,2.3575,0.0116,No
750,EMORY UNIVERSITY HOSPITAL (110010),2020,Acute Care,Voluntary non-profit - Private,612.0,33.791881,-84.320977,GA,-0.0037,0.9342,0.5053,0.0644,0.6111,1.4193,0.5885,Yes
751,TANNER MEDICAL CENTER - CARROLLTON (110011),2020,Acute Care,Government - Hospital District or Authority,175.0,33.570555,-85.072464,GA,-0.933,0.3002,-0.8293,2.2502,-0.9418,-0.6022,-0.126,No
752,TANNER MEDICAL CENTER VILLA RICA (110015),2020,Acute Care,Government - Hospital District or Authority,118.0,33.742992,-84.919477,GA,0.3478,-0.3219,0.0399,1.1193,,-0.6752,0.102,No
753,WELLSTAR WEST GEORGIA MEDICAL CENTER (110016),2020,Acute Care,Government - Hospital District or Authority,456.0,33.031301,-85.056671,GA,0.7298,-1.2054,1.3447,1.1812,0.7143,-0.4447,0.3867,Yes
754,PIEDMONT NEWTON HOSPITAL (110018),2020,Acute Care,Voluntary non-profit - Private,92.0,33.602673,-83.848082,GA,-1.5354,-1.2655,-0.8711,-1.4453,-0.9289,-1.2026,-1.2081,No
755,ADVENTHEALTH GORDON (110023),2020,Acute Care,Voluntary non-profit - Church,69.0,34.511878,-84.92537,GA,-1.5354,-1.0401,-1.4459,-1.4453,0.3145,0.9737,-0.6964,No
756,CANDLER HOSPITAL (110024),2020,Acute Care,Voluntary non-profit - Other,260.0,32.027361,-81.101731,GA,-0.0931,0.9973,-0.2525,0.9193,-1.0505,1.3996,0.32,No
757,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS (110025),2020,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,1.6571,0.3603,1.3209,0.9104,-0.3229,1.0961,0.837,Yes
758,ELBERT MEMORIAL HOSPITAL (110026),2020,Acute Care,Government - Hospital District or Authority,52.0,34.113068,-82.875601,GA,,1.403,,,,-0.0846,0.6592,Yes
759,"ST MARY'S SACRED HEART HOSPITAL, INC (110027)",2020,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,-1.5354,0.3543,,,,-0.3208,-0.5006,No
760,UNIVERSITY HOSPITAL (110028),2020,Acute Care,Voluntary non-profit - Other,530.0,33.472989,-81.981332,GA,-0.2071,0.7449,0.5491,0.5157,0.0161,-1.5258,0.0155,No
761,"NORTHEAST GEORGIA MEDICAL CENTER, INC (110029)",2020,Acute Care,Government - Local,856.0,34.30335,-83.81737,GA,0.4466,0.1619,-0.7259,-0.2099,0.1745,-0.4972,-0.1083,No
762,CARTERSVILLE MEDICAL CENTER (110030),2020,Acute Care,Voluntary non-profit - Private,116.0,,,GA,-1.275,-0.1897,-1.4459,-1.4453,-0.3155,-0.1338,-0.8009,No
763,WELLSTAR SPALDING REGIONAL HOSPITAL (110031),2020,Acute Care,Proprietary,160.0,33.239215,-84.265671,GA,2.1854,-1.4848,1.0046,2.2502,1.5451,-0.8563,0.774,Yes
764,STEPHENS COUNTY HOSPITAL (110032),2020,Acute Care,Government - Hospital District or Authority,75.0,34.59302,-83.347172,GA,0.745,1.1296,-1.4459,,-0.1442,-0.194,0.0181,No
765,AU MEDICAL CENTER (110034),2020,Acute Care,Voluntary non-profit - Other,481.0,33.471029,-81.991453,GA,0.4504,1.3008,1.2652,-0.2666,2.0996,2.3518,1.2002,Yes
766,WELLSTAR KENNESTONE HOSPITAL (110035),2020,Acute Care,Voluntary non-profit - Other,617.0,33.968128,-84.551241,GA,-0.0132,-1.4848,0.3204,0.5564,0.3919,0.2411,0.002,No
767,MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER (110036),2020,Acute Care,Voluntary non-profit - Other,534.0,32.031785,-81.091827,GA,0.1692,1.1205,0.573,0.0237,1.1159,2.3575,0.8933,Yes
768,JOHN D ARCHBOLD MEMORIAL HOSPITAL (110038),2020,Acute Care,Voluntary non-profit - Private,328.0,,,GA,1.1649,1.0574,1.1339,1.298,0.2132,0.4368,0.8841,Yes
769,NORTHRIDGE MEDICAL CENTER (110040),2020,Acute Care,Government - Hospital District or Authority,217.0,34.218475,-83.469116,GA,,-1.9626,,,,-0.086,-1.0243,No
770,HABERSHAM COUNTY MEDICAL CTR (110041),2020,Acute Care,Government - Hospital District or Authority,137.0,34.405879,-83.485989,GA,-0.551,1.971,,,,-0.3452,0.3583,Yes
771,WELLSTAR PAULDING HOSPITAL (110042),2020,Acute Care,Voluntary non-profit - Other,259.0,33.902429,-84.782727,GA,-0.5206,-1.1122,1.4144,0.0892,0.4951,-0.4826,-0.0195,No
772,ST JOSEPH'S HOSPITAL - SAVANNAH (110043),2020,Acute Care,Voluntary non-profit - Private,246.0,31.985079,-81.152792,GA,-0.3705,1.1055,-0.7756,-0.132,-0.5808,-0.2071,-0.1601,No
773,PHOEBE SUMTER MEDICAL CENTER (110044),2020,Acute Care,Government - Hospital District or Authority,54.0,32.06425,-84.255376,GA,-1.5354,-0.0214,,,-1.5,0.2081,-0.7122,No
774,NORTHEAST GEORGIA MEDICAL CENTER BARROW (110045),2020,Acute Care,Proprietary,55.0,34.007701,-83.706706,GA,,-0.5503,,,,-0.1381,-0.3442,No
775,"PIEDMONT WALTON HOSPITAL, INC (110046)",2020,Acute Care,Proprietary,81.0,33.798635,-83.746316,GA,-1.5354,-0.5082,-1.4459,,-0.2031,2.3575,-0.267,No
776,ADVENTHEALTH MURRAY (110050),2020,Acute Care,Voluntary non-profit - Private,28.0,34.779951,-84.782125,GA,,-1.9626,,,,-0.0778,-1.0202,No
777,UNION GENERAL HOSPITAL (110051),2020,Acute Care,Government - Hospital District or Authority,190.0,34.884842,-83.963026,GA,-1.5354,-0.3039,,,1.6741,-0.6604,-0.2064,No
778,FLOYD MEDICAL CENTER (110054),2020,Acute Care,Government - Hospital District or Authority,293.0,34.260454,-85.179957,GA,0.5987,0.0568,-0.7557,0.1741,0.6664,-1.5258,-0.1309,No
779,PIEDMONT COLUMBUS REGIONAL MIDTOWN (110064),2020,Acute Care,Voluntary non-profit - Other,367.0,32.481728,-84.982008,GA,1.7749,0.5105,0.5014,1.144,0.7843,1.7405,1.0759,Yes
780,HOUSTON MEDICAL CENTER (110069),2020,Acute Care,Voluntary non-profit - Private,236.0,32.618198,-83.62941,GA,-0.7563,-0.7456,0.0916,0.2007,-1.0855,-1.0819,-0.5628,No
781,APPLING HOSPITAL (110071),2020,Acute Care,Government - Hospital District or Authority,158.0,31.768768,-82.349351,GA,,0.7028,,,,-0.0727,0.3151,No
782,DORMINY MEDICAL CENTER (110073),2020,Acute Care,Government - Hospital District or Authority,60.0,31.697918,-83.260975,GA,,-0.7516,,,,0.191,-0.2803,No
783,PIEDMONT ATHENS REGIONAL MEDICAL CENTER (110074),2020,Acute Care,Voluntary non-profit - Other,350.0,33.962377,-83.397733,GA,-0.9444,-0.6554,-0.4315,-0.04,-0.4187,1.4616,-0.1714,No
784,EAST GEORGIA REGIONAL MEDICAL CENTER (110075),2020,Acute Care,Proprietary,146.0,32.415171,-81.76865,GA,-0.8684,-0.8598,-1.4459,-1.4453,-0.4923,0.3125,-0.7999,No
785,EMORY DECATUR HOSPITAL (110076),2020,Acute Care,Voluntary non-profit - Private,431.0,33.79216,-84.282679,GA,-0.0379,1.3639,0.2408,-0.2382,0.1119,1.9621,0.5671,Yes
786,EMORY UNIVERSITY HOSPITAL MIDTOWN (110078),2020,Acute Care,Voluntary non-profit - Private,481.0,33.769592,-84.385188,GA,-0.6156,0.8321,-0.2505,0.0591,1.0238,2.2867,0.5559,Yes
787,GRADY MEMORIAL HOSPITAL (110079),2020,Acute Care,Voluntary non-profit - Other,938.0,33.752156,-84.382609,GA,0.4124,-0.1326,1.5118,0.4626,1.173,0.39,0.6362,Yes
788,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC (110082)",2020,Acute Care,Voluntary non-profit - Private,294.0,33.908634,-84.35182,GA,-0.1634,-0.6795,0.0618,-0.8188,-0.3966,-0.355,-0.3919,No
789,PIEDMONT HOSPITAL (110083),2020,Acute Care,Voluntary non-profit - Private,512.0,33.808802,-84.393369,GA,-0.7449,-0.7937,0.2627,-0.8471,0.2058,0.673,-0.2073,No
790,WASHINGTON COUNTY REGIONAL MEDICAL CENTER (110086),2020,Acute Care,Government - Hospital District or Authority,115.0,32.996817,-82.805042,GA,,,,,,-0.0654,-0.0654,No
791,NORTHSIDE HOSPITAL GWINNETT (110087),2020,Acute Care,Government - Hospital District or Authority,553.0,33.966455,-84.013012,GA,0.2604,0.1048,-0.1928,-0.6542,0.1893,1.1283,0.1393,No
792,"COFFEE REGIONAL MEDICAL CENTER, INC (110089)",2020,Acute Care,Government - Hospital District or Authority,86.0,31.509589,-82.86346,GA,-0.8418,0.4805,1.0046,-0.2666,0.7824,-1.2251,-0.011,No
793,PIEDMONT ROCKDALE HOSPITAL (110091),2020,Acute Care,Proprietary,141.0,33.682239,-84.001941,GA,1.0832,-0.5803,0.0041,-0.5604,-0.3763,-0.166,-0.0993,No
794,DODGE COUNTY HOSPITAL (110092),2020,Acute Care,Government - Hospital District or Authority,49.0,32.186055,-83.178591,GA,0.0761,-1.6231,,,,-0.2217,-0.5896,No
795,TIFT REGIONAL MEDICAL CENTER (110095),2020,Acute Care,Government - Hospital District or Authority,185.0,31.470402,-83.491076,GA,0.4808,-1.2234,1.1458,0.4556,-0.9529,-1.0689,-0.1938,No
796,JEFFERSON HOSPITAL (110100),2020,Acute Care,Government - Hospital District or Authority,38.0,33.00976,-82.404384,GA,,,,,,-0.0699,-0.0699,No
797,"SOUTHWELL MEDICAL, A CAMPUS OF TRMC (110101)",2020,Acute Care,Proprietary,134.0,31.109181,-83.426372,GA,,,,,,0.0477,0.0477,No
798,CRISP REGIONAL HOSPITAL (110104),2020,Acute Care,Government - Hospital District or Authority,210.0,31.977515,-83.782846,GA,1.3797,-1.0641,-0.531,,-0.1571,-0.9992,-0.2743,No
799,COLQUITT REGIONAL MEDICAL CENTER (110105),2020,Acute Care,Government - Hospital District or Authority,132.0,31.126747,-83.782918,GA,-0.743,-0.8147,-0.4912,-0.7196,-1.5,-0.1955,-0.744,No
800,"MEDICAL CENTER, NAVICENT HEALTH (THE) (110107)",2020,Acute Care,Government - Hospital District or Authority,615.0,32.833202,-83.636553,GA,-0.5852,1.0364,-0.151,0.7848,0.8045,0.2055,0.3492,Yes
801,EMANUEL MEDICAL CENTER (110109),2020,Acute Care,Government - Hospital District or Authority,97.0,32.59321,-82.346552,GA,,-1.9626,,,,-0.1885,-1.0756,No
802,UNIVERSITY HOSPITAL MCDUFFIE (110111),2020,Acute Care,Government - Hospital District or Authority,25.0,33.523226,-82.504478,GA,,1.6554,,,,0.3403,0.9979,Yes
803,BURKE MEDICAL CENTER (110113),2020,Acute Care,Proprietary,40.0,33.083439,-82.011603,GA,,,,,,0.0293,0.0293,No
804,WELLSTAR ATLANTA MEDICAL CENTER (110115),2020,Acute Care,Proprietary,517.0,33.76327,-84.373986,GA,1.6818,-1.7463,0.6486,1.7511,1.6962,0.2665,0.7163,Yes
805,GRADY GENERAL HOSPITAL (110121),2020,Acute Care,Voluntary non-profit - Private,45.0,30.863393,-84.200261,GA,,1.971,,,1.5396,-0.3312,1.0598,Yes
806,SOUTH GEORGIA MEDICAL CENTER (110122),2020,Acute Care,Government - Hospital District or Authority,312.0,30.86175,-83.288863,GA,0.7488,-0.0604,0.8216,0.2679,-1.2071,-1.2467,-0.1127,No
807,WAYNE MEMORIAL HOSPITAL (110124),2020,Acute Care,Government - Hospital District or Authority,102.0,31.602952,-81.899094,GA,-1.5354,-0.2648,-0.165,,-1.5,-0.4749,-0.788,No
808,FAIRVIEW PARK HOSPITAL (110125),2020,Acute Care,Proprietary,154.0,32.53429,-82.950571,GA,0.4143,1.2407,1.1796,0.0998,-0.0926,-0.6351,0.3678,Yes
809,MEADOWS REGIONAL MEDICAL CENTER (110128),2020,Acute Care,Proprietary,64.0,,,GA,0.078,0.4264,2.1941,-0.3108,1.3443,2.3575,1.0149,Yes
810,ST FRANCIS HOSPITAL (110129),2020,Acute Care,Voluntary non-profit - Private,325.0,32.506927,-84.961378,GA,-0.3496,1.971,-0.0496,-0.725,-0.6029,0.6573,0.1502,No
811,IRWIN COUNTY HOSPITAL (110130),2020,Acute Care,Government - Hospital District or Authority,64.0,31.602797,-83.250331,GA,,,,,1.2319,0.063,0.6475,Yes
812,MEMORIAL HOSPITAL AND MANOR (110132),2020,Acute Care,Government - Hospital District or Authority,187.0,30.903781,-84.55367,GA,,-1.578,,,,-0.3372,-0.9576,No
813,TAYLOR REGIONAL HOSPITAL (110135),2020,Acute Care,Voluntary non-profit - Private,128.0,32.295625,-83.48581,GA,,0.775,,,,-0.0906,0.3422,Yes
814,EVANS MEMORIAL HOSPITAL (110142),2020,Acute Care,Government - Hospital District or Authority,79.0,32.164133,-81.900403,GA,,,,,,-0.0428,-0.0428,No
815,WELLSTAR COBB HOSPITAL (110143),2020,Acute Care,Voluntary non-profit - Other,377.0,33.856701,-84.601561,GA,0.3858,-1.59,0.3721,1.3405,-0.2529,0.1726,0.0714,No
816,SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS (110146),2020,Acute Care,Government - Hospital District or Authority,40.0,30.781226,-81.616234,GA,,1.5052,,,,0.1219,0.8136,Yes
817,NAVICENT HEALTH BALDWIN (110150),2020,Acute Care,Voluntary non-profit - Private,113.0,33.088431,-83.245145,GA,-1.5354,-0.3039,-1.4459,,,-0.6272,-0.9781,No
818,PERRY HOSPITAL (110153),2020,Acute Care,Voluntary non-profit - Private,39.0,32.459475,-83.711227,GA,0.0666,-0.7035,,,,-0.5702,-0.4024,No
819,NORTHSIDE HOSPITAL (110161),2020,Acute Care,Voluntary non-profit - Private,558.0,33.907895,-84.354754,GA,-0.38,-0.8117,-0.8353,-0.486,-0.5255,2.3575,-0.1135,No
820,COLISEUM MEDICAL CENTERS (110164),2020,Acute Care,Voluntary non-profit - Private,257.0,32.847315,-83.62027,GA,-0.8646,0.4324,0.1274,1.5334,1.0219,-1.3823,0.1447,No
821,SOUTHERN REGIONAL MEDICAL CENTER (110165),2020,Acute Care,Voluntary non-profit - Private,272.0,33.577524,-84.390432,GA,-0.19,-1.2625,0.7977,1.3883,-1.0155,-1.3475,-0.2716,No
822,REDMOND REGIONAL MEDICAL CENTER (110168),2020,Acute Care,Proprietary,225.0,34.278191,-85.194131,GA,-0.437,-0.8688,0.1075,-0.332,-0.5881,-1.4403,-0.5931,No
823,DOCTORS HOSPITAL (110177),2020,Acute Care,Proprietary,292.0,33.482477,-82.091092,GA,0.8799,-0.2227,1.5218,2.2502,-0.8718,0.2025,0.6266,Yes
