,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CLABSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score
511,MCKEE MEDICAL CENTER (060030),2015,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,1.0,1.0,9.0,9.0,1.0,3.8
512,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2015,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,7.0,8.0,2.0,2.0,7.5,5.575
513,ROSE MEDICAL CENTER (060032),2015,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,10.0,2.0,10.0,10.0,6.0,7.4
514,SWEDISH MEDICAL CENTER (060034),2015,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,6.0,8.0,10.0,10.0,7.0,8.05
515,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (060036),2015,Acute Care,Voluntary non-profit - Private,125.0,,,CO,1.0,,5.0,5.0,1.0,2.4
516,KEEFE MEMORIAL HOSPITAL (060043),2015,Acute Care,Government - Hospital District or Authority,11.0,,,CO,,,7.0,7.0,,7.0
517,COLORADO PLAINS MEDICAL CENTER (060044),2015,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,,,2.0,2.0,,2.0
518,YAMPA VALLEY MEDICAL CENTER (060049),2015,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,,,2.0,2.0,,2.0
519,COMMUNITY HOSPITAL (060054),2015,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,4.0,1.0,8.0,8.0,2.5,4.425
520,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2015,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,7.0,6.0,9.0,9.0,6.5,7.375
521,NORTH SUBURBAN MEDICAL CENTER (060065),2015,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,3.0,8.0,8.0,8.0,5.5,6.375
522,DELTA COUNTY MEMORIAL HOSPITAL (060071),2015,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,6.0,1.0,4.0,4.0,3.5,3.675
523,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2015,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,9.0,,5.0,5.0,9.0,7.6
524,STERLING REGIONAL MEDCENTER (060076),2015,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,,,8.0,8.0,,8.0
525,VAIL VALLEY MEDICAL CENTER (060096),2015,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,,,9.0,9.0,,9.0
526,"MEDICAL CENTER OF AURORA, THE (060100)",2015,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,7.0,8.0,9.0,9.0,7.5,8.025
527,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2015,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,7.0,1.0,8.0,8.0,4.0,5.4
528,ST ANTHONY NORTH HEALTH CAMPUS (060104),2015,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,4.0,4.0,9.0,9.0,4.0,5.75
529,NATIONAL JEWISH HEALTH (060107),2015,Acute Care,Voluntary non-profit - Private,21.0,39.740019,-104.942892,CO,,,7.0,7.0,,7.0
530,SKY RIDGE MEDICAL CENTER (060112),2015,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,6.0,3.0,9.0,9.0,4.5,6.075
531,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL (060113),2015,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,8.0,7.0,8.0,8.0,7.5,7.675
532,PARKER ADVENTIST HOSPITAL (060114),2015,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,7.0,3.0,8.0,8.0,5.0,6.05
533,GOOD SAMARITAN MEDICAL CENTER (060116),2015,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,10.0,4.0,3.0,3.0,7.0,5.6
534,"ANIMAS SURGICAL HOSPITAL, LLC (060117)",2015,Acute Care,Physician,12.0,37.248889,-107.870774,CO,,,4.0,4.0,,4.0
535,ST ANTHONY SUMMIT MEDICAL CENTER (060118),2015,Acute Care,Voluntary non-profit - Church,34.0,39.569988,-106.078259,CO,,,4.0,4.0,,4.0
536,MEDICAL CENTER OF THE ROCKIES (060119),2015,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,7.0,3.0,5.0,5.0,5.0,5.0
537,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS (060124),2015,Acute Care,Proprietary,48.0,39.717952,-105.128441,CO,,,8.0,8.0,,8.0
538,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2015,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,10.0,3.0,7.0,7.0,6.5,6.675
539,DAY KIMBALL HOSPITAL (070003),2015,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,5.0,,2.0,2.0,5.0,3.95
540,SHARON HOSPITAL (070004),2015,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,8.0,,4.0,4.0,8.0,6.6
541,WATERBURY HOSPITAL (070005),2015,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,10.0,8.0,10.0,10.0,9.0,9.35
542,STAMFORD HOSPITAL (070006),2015,Acute Care,Voluntary non-profit - Private,303.0,,,CT,9.0,8.0,10.0,10.0,8.5,9.025
543,LAWRENCE & MEMORIAL HOSPITAL (070007),2015,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,9.0,5.0,3.0,3.0,7.0,5.6
544,JOHNSON MEMORIAL HOSPITAL (070008),2015,Acute Care,Voluntary non-profit - Private,88.0,,,CT,8.0,,6.0,6.0,8.0,7.3
545,BRIDGEPORT HOSPITAL (070010),2015,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,7.0,9.0,10.0,10.0,8.0,8.7
546,CHARLOTTE HUNGERFORD HOSPITAL (070011),2015,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,10.0,10.0,1.0,1.0,10.0,6.85
547,ROCKVILLE GENERAL HOSPITAL (070012),2015,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,8.0,5.0,9.0,9.0,6.5,7.375
548,SAINT MARYS HOSPITAL (070016),2015,Acute Care,Voluntary non-profit - Other,167.0,,,CT,5.0,6.0,8.0,8.0,5.5,6.375
549,MIDSTATE MEDICAL CENTER (070017),2015,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,1.0,7.0,7.0,7.0,4.0,5.05
550,GREENWICH HOSPITAL ASSOCIATION (070018),2015,Acute Care,Voluntary non-profit - Private,184.0,41.034395,-73.629632,CT,6.0,7.0,6.0,6.0,6.5,6.325
551,"MILFORD HOSPITAL, INC (070019)",2015,Acute Care,Voluntary non-profit - Private,106.0,,,CT,8.0,1.0,9.0,9.0,4.5,6.075
552,MIDDLESEX HOSPITAL (070020),2015,Acute Care,Voluntary non-profit - Private,228.0,41.554865,-72.647633,CT,10.0,1.0,4.0,4.0,5.5,4.975
553,WINDHAM COMM MEM HOSP & HATCH HOSP (070021),2015,Acute Care,Voluntary non-profit - Private,64.0,41.716569,-72.224068,CT,10.0,10.0,4.0,4.0,10.0,7.9
554,YALE-NEW HAVEN HOSPITAL (070022),2015,Acute Care,Voluntary non-profit - Private,1347.0,41.304285,-72.934689,CT,8.0,6.0,9.0,9.0,7.0,7.7
555,WILLIAM W BACKUS HOSPITAL (070024),2015,Acute Care,Voluntary non-profit - Other,184.0,41.543402,-72.086747,CT,10.0,9.0,2.0,2.0,9.5,6.875
556,HARTFORD HOSPITAL (070025),2015,Acute Care,Voluntary non-profit - Private,895.0,41.754123,-72.68082,CT,10.0,7.0,10.0,10.0,8.5,9.025
557,MANCHESTER MEMORIAL HOSPITAL (070027),2015,Acute Care,Voluntary non-profit - Private,182.0,41.781087,-72.525221,CT,6.0,7.0,9.0,9.0,6.5,7.375
558,ST VINCENT'S MEDICAL CENTER (070028),2015,Acute Care,Voluntary non-profit - Church,350.0,41.200083,-73.202486,CT,8.0,3.0,5.0,5.0,5.5,5.325
559,BRISTOL HOSPITAL (070029),2015,Acute Care,Voluntary non-profit - Private,123.0,41.676078,-72.934878,CT,4.0,3.0,7.0,7.0,3.5,4.725
560,GRIFFIN HOSPITAL (070031),2015,Acute Care,Voluntary non-profit - Other,119.0,41.335978,-73.088689,CT,3.0,8.0,2.0,2.0,5.5,4.275
561,DANBURY HOSPITAL (070033),2015,Acute Care,Voluntary non-profit - Private,370.0,41.406776,-73.444339,CT,10.0,9.0,10.0,10.0,9.5,9.675
562,NORWALK HOSPITAL ASSOCIATION (070034),2015,Acute Care,Voluntary non-profit - Private,278.0,41.110415,-73.421229,CT,10.0,5.0,8.0,8.0,7.5,7.675
563,"HOSPITAL OF CENTRAL CONNECTICUT, THE (070035)",2015,Acute Care,Voluntary non-profit - Other,297.0,41.662015,-72.787799,CT,8.0,6.0,10.0,10.0,7.0,8.05
564,JOHN DEMPSEY HOSPITAL (070036),2015,Acute Care,Government - Local,160.0,41.73509,-72.79582,CT,10.0,8.0,10.0,10.0,9.0,9.35
565,"CONNECTICUT HOSPICE INC,THE (070038)",2015,Acute Care,Voluntary non-profit - Private,52.0,41.256305,-72.833367,CT,10.0,10.0,7.0,7.0,10.0,8.95
566,MASONIC HOME AND HOSPITAL (070039),2015,Acute Care,Voluntary non-profit - Private,503.0,41.460698,-72.836586,CT,,,6.0,6.0,,6.0
567,HEBREW HOME AND HOSPITAL INC (070040),2015,Acute Care,Voluntary non-profit - Private,201.0,41.802774,-72.728931,CT,,,7.0,7.0,,7.0
568,"CHRISTIANA CARE HEALTH SERVICES, INC. (080001)",2015,Acute Care,Voluntary non-profit - Private,1132.0,39.689909,-75.673228,DE,8.0,6.0,5.0,5.0,7.0,6.3
569,ST FRANCIS HOSPITAL (080003),2015,Acute Care,Voluntary non-profit - Private,161.0,,,DE,7.0,7.0,2.0,2.0,7.0,5.25
570,BAYHEALTH - KENT GENERAL HOSPITAL (080004),2015,Acute Care,Voluntary non-profit - Private,268.0,39.150687,-75.522327,DE,10.0,9.0,3.0,3.0,9.5,7.225
571,NANTICOKE MEMORIAL HOSPITAL (080006),2015,Acute Care,Voluntary non-profit - Private,112.0,38.642332,-75.605325,DE,10.0,3.0,8.0,8.0,6.5,7.025
572,BEEBE MEDICAL CENTER (080007),2015,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,1.0,5.0,5.0,5.0,3.0,3.7
573,BAYHEALTH - MILFORD MEMORIAL HOSPITAL (080009),2015,Acute Care,Voluntary non-profit - Private,158.0,,,DE,10.0,1.0,1.0,1.0,5.5,3.925
574,GEORGE WASHINGTON UNIV HOSPITAL (090001),2015,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,9.0,10.0,8.0,8.0,9.5,8.975
575,HOWARD UNIVERSITY HOSPITAL (090003),2015,Acute Care,Voluntary non-profit - Other,241.0,38.917011,-77.021896,DC,7.0,10.0,3.0,3.0,8.5,6.575
576,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL (090004),2015,Acute Care,Voluntary non-profit - Private,396.0,38.912599,-77.074388,DC,7.0,6.0,10.0,10.0,6.5,7.725
577,SIBLEY MEMORIAL HOSPITAL (090005),2015,Acute Care,Voluntary non-profit - Other,248.0,38.935747,-77.109889,DC,9.0,10.0,6.0,6.0,9.5,8.275
578,PROVIDENCE HOSPITAL (090006),2015,Acute Care,Voluntary non-profit - Private,467.0,,,DC,9.0,8.0,6.0,6.0,8.5,7.625
579,UNITED MEDICAL CENTER (090008),2015,Acute Care,Proprietary,187.0,38.834155,-76.984698,DC,6.0,5.0,8.0,8.0,5.5,6.375
580,MEDSTAR WASHINGTON HOSPITAL CENTER (090011),2015,Acute Care,Voluntary non-profit - Other,757.0,38.929157,-77.012268,DC,8.0,7.0,10.0,10.0,7.5,8.375
581,UF HEALTH JACKSONVILLE (100001),2015,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,8.0,9.0,10.0,10.0,8.5,9.025
582,BETHESDA HOSPITAL EAST (100002),2015,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,6.0,3.0,3.0,3.0,4.5,3.975
583,ORLANDO HEALTH (100006),2015,Acute Care,Voluntary non-profit - Private,1590.0,28.526925,-81.378203,FL,7.0,5.0,8.0,8.0,6.0,6.7
584,FLORIDA HOSPITAL (100007),2015,Acute Care,Voluntary non-profit - Private,2603.0,28.573457,-81.370328,FL,6.0,6.0,8.0,8.0,6.0,6.7
585,BAPTIST HOSPITAL OF MIAMI INC (100008),2015,Acute Care,Voluntary non-profit - Private,747.0,25.687781,-80.339086,FL,10.0,5.0,8.0,8.0,7.5,7.675
586,UNIVERSITY OF MIAMI HOSPITAL (100009),2015,Acute Care,Voluntary non-profit - Private,495.0,,,FL,2.0,2.0,10.0,10.0,2.0,4.8
587,LEE MEMORIAL HOSPITAL (100012),2015,Acute Care,Government - Hospital District or Authority,831.0,26.626924,-81.872295,FL,7.0,6.0,10.0,10.0,6.5,7.725
588,BERT FISH MEDICAL CENTER (100014),2015,Acute Care,Voluntary non-profit - Church,111.0,29.021174,-80.922903,FL,4.0,7.0,8.0,8.0,5.5,6.375
589,HALIFAX HEALTH MEDICAL CENTER (100017),2015,Acute Care,Government - Hospital District or Authority,508.0,29.20055,-81.05534,FL,9.0,9.0,2.0,2.0,9.0,6.55
590,NAPLES COMMUNITY HOSPITAL (100018),2015,Acute Care,Voluntary non-profit - Private,641.0,26.150806,-81.799488,FL,3.0,2.0,4.0,4.0,2.5,3.025
591,HOLMES REGIONAL MEDICAL CENTER (100019),2015,Acute Care,Voluntary non-profit - Private,523.0,28.08691,-80.613523,FL,6.0,2.0,8.0,8.0,4.0,5.4
592,JACKSON MEMORIAL HOSPITAL (100022),2015,Acute Care,Government - Hospital District or Authority,1682.0,25.790612,-80.214945,FL,5.0,7.0,10.0,10.0,6.0,7.4
593,CITRUS MEMORIAL HOSPITAL (100023),2015,Acute Care,Government - Hospital District or Authority,202.0,28.832242,-82.335335,FL,8.0,7.0,7.0,7.0,7.5,7.325
594,SACRED HEART HOSPITAL (100025),2015,Acute Care,Voluntary non-profit - Private,524.0,30.475588,-87.210986,FL,9.0,9.0,4.0,4.0,9.0,7.25
595,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM (100026),2015,Acute Care,Government - Hospital District or Authority,257.0,30.159681,-85.647067,FL,7.0,2.0,1.0,1.0,4.5,3.275
596,PARRISH MEDICAL CENTER (100028),2015,Acute Care,Government - Hospital District or Authority,210.0,28.629068,-80.824943,FL,1.0,1.0,1.0,1.0,1.0,1.0
597,NORTH SHORE MEDICAL CENTER (100029),2015,Acute Care,Proprietary,759.0,25.861658,-80.214656,FL,10.0,10.0,2.0,2.0,10.0,7.2
598,HEALTH CENTRAL (100030),2015,Acute Care,Government - State,197.0,28.551666,-81.525787,FL,8.0,7.0,1.0,1.0,7.5,5.225
599,BAYFRONT HEALTH - ST PETERSBURG (100032),2015,Acute Care,Voluntary non-profit - Private,350.0,27.763222,-82.641663,FL,2.0,8.0,10.0,10.0,5.0,6.75
600,MOUNT SINAI MEDICAL CENTER (100034),2015,Acute Care,Proprietary,598.0,25.815045,-80.137939,FL,3.0,8.0,9.0,9.0,5.5,6.725
601,MANATEE MEMORIAL HOSPITAL (100035),2015,Acute Care,Proprietary,303.0,27.497209,-82.561241,FL,10.0,10.0,4.0,4.0,10.0,7.9
602,MEMORIAL REGIONAL HOSPITAL (100038),2015,Acute Care,Government - Hospital District or Authority,1002.0,26.018262,-80.178865,FL,4.0,4.0,9.0,9.0,4.0,5.75
603,BROWARD HEALTH MEDICAL CENTER (100039),2015,Acute Care,Government - Hospital District or Authority,638.0,26.101975,-80.14231,FL,7.0,6.0,9.0,9.0,6.5,7.375
604,ST VINCENT'S MEDICAL CENTER (100040),2015,Acute Care,Voluntary non-profit - Private,490.0,30.307891,-81.689154,FL,7.0,6.0,1.0,1.0,6.5,4.575
605,MEASE DUNEDIN HOSPITAL (100043),2015,Acute Care,Voluntary non-profit - Private,114.0,28.014032,-82.783822,FL,5.0,5.0,5.0,5.0,5.0,5.0
606,MARTIN MEDICAL CENTER (100044),2015,Acute Care,Voluntary non-profit - Private,450.0,27.199441,-80.243034,FL,3.0,3.0,8.0,8.0,3.0,4.75
607,FLORIDA HOSPITAL DELAND (100045),2015,Acute Care,Voluntary non-profit - Church,160.0,29.042613,-81.317205,FL,5.0,3.0,7.0,7.0,4.0,5.05
608,FLORIDA HOSPITAL ZEPHYRHILLS (100046),2015,Acute Care,Voluntary non-profit - Church,144.0,28.260937,-82.188041,FL,1.0,2.0,8.0,8.0,1.5,3.775
609,BAYFRONT HEALTH PUNTA GORDA (100047),2015,Acute Care,Proprietary,172.0,26.940682,-82.041788,FL,5.0,6.0,2.0,2.0,5.5,4.275
610,JAY HOSPITAL (100048),2015,Acute Care,Voluntary non-profit - Private,28.0,30.95004,-87.151666,FL,,,6.0,6.0,,6.0
611,HIGHLANDS REGIONAL MEDICAL CENTER (100049),2015,Acute Care,Proprietary,119.0,27.465045,-81.433761,FL,2.0,10.0,8.0,8.0,6.0,6.7
612,PALM SPRINGS GENERAL HOSPITAL (100050),2015,Acute Care,Voluntary non-profit - Private,182.0,25.866662,-80.312165,FL,5.0,10.0,1.0,1.0,7.5,5.225
613,SOUTH LAKE HOSPITAL (100051),2015,Acute Care,Government - Hospital District or Authority,158.0,28.551178,-81.723415,FL,10.0,10.0,10.0,10.0,10.0,10.0
614,WINTER HAVEN HOSPITAL (100052),2015,Acute Care,Voluntary non-profit - Private,514.0,28.027669,-81.726746,FL,6.0,7.0,7.0,7.0,6.5,6.675
615,HIALEAH HOSPITAL (100053),2015,Acute Care,Proprietary,346.0,25.844931,-80.268881,FL,4.0,8.0,1.0,1.0,6.0,4.25
616,TWIN CITIES HOSPITAL (100054),2015,Acute Care,Proprietary,63.0,,,FL,3.0,,2.0,2.0,3.0,2.65
617,FLORIDA HOSPITAL NORTH PINELLAS (100055),2015,Acute Care,Voluntary non-profit - Other,168.0,28.13314,-82.758576,FL,1.0,1.0,4.0,4.0,1.0,2.05
618,FLORIDA HOSPITAL WATERMAN (100057),2015,Acute Care,Voluntary non-profit - Church,263.0,28.822351,-81.71021,FL,8.0,5.0,9.0,9.0,6.5,7.375
619,MUNROE REGIONAL MEDICAL CENTER (100062),2015,Acute Care,Government - Hospital District or Authority,404.0,29.174236,-82.137834,FL,5.0,7.0,1.0,1.0,6.0,4.25
620,MORTON PLANT NORTH BAY HOSPITAL (100063),2015,Acute Care,Voluntary non-profit - Private,220.0,28.253933,-82.715478,FL,5.0,7.0,8.0,8.0,6.0,6.7
621,ST ANTHONYS HOSPITAL (100067),2015,Acute Care,Voluntary non-profit - Church,349.0,27.779343,-82.651224,FL,7.0,6.0,9.0,9.0,6.5,7.375
622,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER (100068),2015,Acute Care,Voluntary non-profit - Church,374.0,29.24275,-81.1093,FL,7.0,10.0,1.0,1.0,8.5,5.875
623,FLORIDA HOSPITAL CARROLLWOOD (100069),2015,Acute Care,Voluntary non-profit - Church,105.0,28.013102,-82.504954,FL,4.0,10.0,8.0,8.0,7.0,7.35
624,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH (100070),2015,Acute Care,Proprietary,264.0,27.089683,-82.444445,FL,10.0,10.0,10.0,10.0,10.0,10.0
625,BAYFRONT HEALTH BROOKSVILLE (100071),2015,Acute Care,Voluntary non-profit - Church,244.0,28.541115,-82.443386,FL,7.0,10.0,4.0,4.0,8.5,6.925
626,FLORIDA HOSPITAL FISH MEMORIAL (100072),2015,Acute Care,Voluntary non-profit - Church,176.0,28.91129,-81.284122,FL,2.0,3.0,6.0,6.0,2.5,3.725
627,HOLY CROSS HOSPITAL INC (100073),2015,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,3.0,5.0,2.0,2.0,4.0,3.3
628,ST JOSEPHS HOSPITAL (100075),2015,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,5.0,6.0,9.0,9.0,5.5,6.725
629,BAYFRONT HEALTH PORT CHARLOTTE (100077),2015,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,4.0,5.0,9.0,9.0,4.5,6.075
630,JFK MEDICAL CENTER (100080),2015,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,4.0,7.0,6.0,6.0,5.5,5.675
631,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2015,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,1.0,,5.0,5.0,1.0,2.4
632,LEESBURG REGIONAL MEDICAL CENTER (100084),2015,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,9.0,9.0,4.0,4.0,9.0,7.25
633,BROWARD HEALTH NORTH (100086),2015,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,4.0,3.0,6.0,6.0,3.5,4.375
634,SARASOTA MEMORIAL HOSPITAL (100087),2015,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,10.0,9.0,3.0,3.0,9.5,7.225
635,BAPTIST MEDICAL CENTER (100088),2015,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,8.0,4.0,5.0,5.0,6.0,5.65
636,FLAGLER HOSPITAL (100090),2015,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,3.0,4.0,8.0,8.0,3.5,5.075
637,WUESTHOFF MEDICAL CENTER  ROCKLEDGE (100092),2015,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,8.0,10.0,3.0,3.0,9.0,6.9
638,BAPTIST HOSPITAL (100093),2015,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,8.0,8.0,2.0,2.0,8.0,5.9
639,LAKE WALES MEDICAL CENTER (100099),2015,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,3.0,1.0,6.0,6.0,2.0,3.4
640,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER (100102),2015,Acute Care,Voluntary non-profit - Private,95.0,30.193486,-82.632704,FL,1.0,,7.0,7.0,1.0,3.1
641,INDIAN RIVER MEDICAL CENTER (100105),2015,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,8.0,6.0,6.0,6.0,7.0,6.65
642,DOCTOR'S MEMORIAL HOSPITAL INC (100106),2015,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,,,3.0,3.0,,3.0
643,LEHIGH REGIONAL MEDICAL CENTER (100107),2015,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,7.0,9.0,5.0,5.0,8.0,6.95
644,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER (100109),2015,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,8.0,5.0,4.0,4.0,6.5,5.625
645,OSCEOLA REGIONAL MEDICAL CENTER (100110),2015,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,5.0,5.0,2.0,2.0,5.0,3.95
646,UF HEALTH SHANDS HOSPITAL (100113),2015,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,5.0,4.0,4.0,4.0,4.5,4.325
647,BAPTIST MEDICAL CENTER  BEACHES (100117),2015,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,8.0,1.0,5.0,5.0,4.5,4.675
648,FLORIDA HOSPITAL FLAGLER (100118),2015,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,6.0,1.0,8.0,8.0,3.5,5.075
649,BARTOW REGIONAL MEDICAL CENTER (100121),2015,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,6.0,5.0,6.0,6.0,5.5,5.675
650,NORTH OKALOOSA MEDICAL CENTER (100122),2015,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,8.0,1.0,4.0,4.0,4.5,4.325
651,SANTA ROSA MEDICAL CENTER (100124),2015,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,2.0,1.0,6.0,6.0,1.5,3.075
652,HOMESTEAD HOSPITAL (100125),2015,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,1.0,3.0,2.0,2.0,2.0,2.0
653,PALMS OF PASADENA HOSPITAL (100126),2015,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,3.0,9.0,8.0,8.0,6.0,6.7
654,MORTON PLANT HOSPITAL (100127),2015,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,6.0,4.0,9.0,9.0,5.0,6.4
655,TAMPA GENERAL HOSPITAL (100128),2015,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,7.0,6.0,10.0,10.0,6.5,7.725
656,LAKESIDE MEDICAL CENTER (100130),2015,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,3.0,8.0,7.0,7.0,5.5,6.025
657,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2015,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,6.0,2.0,3.0,3.0,4.0,3.65
658,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2015,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,5.0,3.0,1.0,1.0,4.0,2.95
659,ED FRASER MEMORIAL HOSPITAL (100134),2015,Acute Care,Government - Hospital District or Authority,90.0,30.28555,-82.11955,FL,10.0,10.0,7.0,7.0,10.0,8.95
660,TALLAHASSEE MEMORIAL HOSPITAL (100135),2015,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,6.0,4.0,1.0,1.0,5.0,3.6
661,HEART OF FLORIDA REGIONAL MEDICAL CENTER (100137),2015,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,2.0,10.0,10.0,10.0,6.0,7.4
662,BAPTIST MEDICAL CENTER - NASSAU (100140),2015,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,1.0,1.0,1.0,1.0,1.0,1.0
663,JACKSON HOSPITAL (100142),2015,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,6.0,10.0,2.0,2.0,8.0,5.9
664,LOWER KEYS MEDICAL CENTER (100150),2015,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,10.0,1.0,9.0,9.0,5.5,6.725
665,MAYO CLINIC (100151),2015,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,5.0,7.0,3.0,3.0,6.0,4.95
666,SOUTH MIAMI HOSPITAL (100154),2015,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,9.0,7.0,5.0,5.0,8.0,6.95
667,LAKE CITY MEDICAL CENTER (100156),2015,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,1.0,1.0,5.0,5.0,1.0,2.4
668,LAKELAND REGIONAL MEDICAL CENTER (100157),2015,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,8.0,8.0,1.0,1.0,8.0,5.55
669,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2015,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,10.0,9.0,3.0,3.0,9.5,7.225
670,DOCTORS HOSPITAL OF SARASOTA (100166),2015,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,6.0,10.0,4.0,4.0,8.0,6.6
