,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CDI Score,CLABSI Score,MRSA Score,SSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
356,MARIN GENERAL HOSPITAL (050360),2016,Acute Care,Government - Local,258.0,37.948884,-122.535897,CA,7.0,10.0,4.0,7.0,4.0,7.0,7.0,6.4,6.49,No
357,NORTHBAY MEDICAL CENTER (050367),2016,Acute Care,Voluntary non-profit - Other,183.0,38.261108,-122.048104,CA,9.0,9.0,7.0,5.0,9.0,10.0,10.0,7.8,8.13,Yes
358,LAC+USC MEDICAL CENTER (050373),2016,Acute Care,Government - Local,669.0,34.059872,-118.210308,CA,8.0,4.0,8.0,9.0,1.0,2.0,2.0,6.0,5.4,No
359,LAC/HARBOR-UCLA MED CENTER (050376),2016,Acute Care,Government - Local,433.0,33.831583,-118.294546,CA,9.0,4.0,5.0,4.0,7.0,2.0,2.0,5.8,5.23,No
360,PACIFICA HOSPITAL OF THE VALLEY (050378),2016,Acute Care,Proprietary,231.0,34.241134,-118.395669,CA,10.0,2.0,10.0,7.0,,4.0,4.0,7.25,6.7625,Yes
361,GOOD SAMARITAN HOSPITAL (050380),2016,Acute Care,Proprietary,357.0,37.251104,-121.946563,CA,7.0,9.0,5.0,4.0,10.0,6.0,6.0,7.0,6.85,Yes
362,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS (050382),2016,Acute Care,Proprietary,491.0,34.089947,-117.893666,CA,4.0,5.0,4.0,7.0,5.0,3.0,3.0,5.0,4.7,No
363,HEMET VALLEY MEDICAL CENTER (050390),2016,Acute Care,Government - State,359.0,33.75122,-116.959859,CA,4.0,9.0,9.0,10.0,2.0,2.0,2.0,6.8,6.08,No
364,PIH HOSPITAL - DOWNEY (050393),2016,Acute Care,Voluntary non-profit - Private,192.0,33.935563,-118.131703,CA,5.0,9.0,10.0,10.0,2.0,8.0,8.0,7.2,7.32,Yes
365,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA (050394),2016,Acute Care,Voluntary non-profit - Private,216.0,34.274184,-119.257238,CA,2.0,8.0,4.0,7.0,2.0,4.0,4.0,4.6,4.51,No
366,SANTA BARBARA COTTAGE HOSPITAL (050396),2016,Acute Care,Voluntary non-profit - Private,377.0,34.429483,-119.723077,CA,9.0,4.0,3.0,2.0,8.0,1.0,1.0,5.2,4.57,No
367,COALINGA REGIONAL MEDICAL CENTER (050397),2016,Acute Care,Government - Hospital District or Authority,136.0,36.151517,-120.342089,CA,,,,,,7.0,,,,No
368,CHINESE HOSPITAL (050407),2016,Acute Care,Voluntary non-profit - Private,64.0,37.795695,-122.40925,CA,1.0,6.0,,,1.0,2.0,2.0,2.6667,2.5667,No
369,KAISER FOUNDATION HOSPITAL - SOUTH BAY (050411),2016,Acute Care,Voluntary non-profit - Other,257.0,33.788623,-118.294366,CA,8.0,10.0,4.0,8.0,3.0,9.0,9.0,6.6,6.96,Yes
370,MERCY HOSPITAL OF FOLSOM (050414),2016,Acute Care,Voluntary non-profit - Private,106.0,38.671125,-121.145833,CA,7.0,9.0,3.0,4.0,5.0,8.0,8.0,5.6,5.96,No
371,SUTTER COAST HOSPITAL (050417),2016,Acute Care,Government - Hospital District or Authority,49.0,41.772698,-124.194144,CA,1.0,10.0,,,9.0,6.0,6.0,6.6667,6.5667,No
372,PALO VERDE HOSPITAL (050423),2016,Acute Care,Government - Federal,46.0,33.61245,-114.595479,CA,,4.0,,,9.0,7.0,7.0,6.5,6.575,Yes
373,SCRIPPS GREEN HOSPITAL (050424),2016,Acute Care,Voluntary non-profit - Private,161.0,32.897124,-117.241854,CA,7.0,9.0,9.0,7.0,7.0,4.0,4.0,7.8,7.23,Yes
374,KAISER FOUNDATION HOSPITAL - SACRAMENTO (050425),2016,Acute Care,Voluntary non-profit - Private,281.0,38.602162,-121.392238,CA,10.0,8.0,3.0,5.0,8.0,7.0,7.0,6.8,6.83,Yes
375,WEST ANAHEIM MEDICAL CENTER (050426),2016,Acute Care,Proprietary,215.0,33.824735,-117.995115,CA,3.0,4.0,5.0,7.0,4.0,1.0,1.0,4.6,4.06,No
376,HUNTINGTON MEMORIAL HOSPITAL (050438),2016,Acute Care,Voluntary non-profit - Private,558.0,34.135761,-118.151803,CA,8.0,7.0,4.0,3.0,2.0,9.0,9.0,4.8,5.43,No
377,STANFORD HEALTH CARE (050441),2016,Acute Care,Voluntary non-profit - Private,500.0,37.433138,-122.176664,CA,8.0,9.0,7.0,6.0,10.0,7.0,7.0,8.0,7.85,Yes
378,MERCY MEDICAL CENTER (050444),2016,Acute Care,Voluntary non-profit - Private,186.0,37.340122,-120.465214,CA,3.0,6.0,3.0,3.0,3.0,4.0,4.0,3.6,3.66,No
379,UCSF MEDICAL CENTER (050454),2016,Acute Care,Voluntary non-profit - Other,739.0,37.763553,-122.457654,CA,5.0,9.0,7.0,4.0,9.0,4.0,4.0,6.8,6.38,No
380,SAN JOAQUIN COMMUNITY HOSPITAL (050455),2016,Acute Care,Voluntary non-profit - Private,256.0,35.383056,-119.018857,CA,6.0,6.0,7.0,8.0,8.0,4.0,4.0,7.0,6.55,No
381,ST MARY'S MEDICAL CENTER (050457),2016,Acute Care,Voluntary non-profit - Private,182.0,37.77384,-122.454495,CA,3.0,8.0,3.0,1.0,1.0,3.0,3.0,3.2,3.17,No
382,DOCTORS MEDICAL CENTER (050464),2016,Acute Care,Proprietary,445.0,37.665666,-120.99625,CA,2.0,6.0,4.0,6.0,3.0,7.0,7.0,4.2,4.62,No
383,MEMORIAL HOSPITAL OF GARDENA (050468),2016,Acute Care,Proprietary,172.0,33.892375,-118.295106,CA,4.0,5.0,3.0,10.0,4.0,4.0,4.0,5.2,5.02,No
384,GOOD SAMARITAN HOSPITAL (050471),2016,Acute Care,Proprietary,327.0,34.053209,-118.265292,CA,8.0,8.0,8.0,10.0,8.0,3.0,3.0,8.4,7.59,Yes
385,WEST HILLS HOSPITAL & MEDICAL CENTER (050481),2016,Acute Care,Proprietary,225.0,34.202931,-118.628598,CA,8.0,10.0,9.0,2.0,5.0,1.0,1.0,6.8,5.93,No
386,LONG BEACH MEMORIAL MEDICAL CENTER (050485),2016,Acute Care,Voluntary non-profit - Other,457.0,33.807107,-118.185098,CA,8.0,10.0,9.0,6.0,7.0,9.0,9.0,8.0,8.15,Yes
387,EDEN MEDICAL CENTER (050488),2016,Acute Care,Voluntary non-profit - Other,152.0,,,CA,9.0,10.0,9.0,10.0,4.0,7.0,7.0,8.4,8.19,Yes
388,CLOVIS COMMUNITY MEDICAL CENTER (050492),2016,Acute Care,Voluntary non-profit - Private,189.0,36.837421,-119.661626,CA,10.0,7.0,5.0,5.0,5.0,9.0,9.0,6.4,6.79,Yes
389,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS (050496),2016,Acute Care,Voluntary non-profit - Private,256.0,37.98296,-122.034236,CA,10.0,10.0,8.0,9.0,10.0,5.0,5.0,9.4,8.74,Yes
390,SUTTER AUBURN FAITH HOSPITAL (050498),2016,Acute Care,Voluntary non-profit - Other,67.0,38.944317,-121.099423,CA,1.0,9.0,1.0,4.0,9.0,5.0,5.0,4.8,4.83,No
391,SAINT VINCENT MEDICAL CENTER (050502),2016,Acute Care,Voluntary non-profit - Church,366.0,34.06319,-118.273665,CA,8.0,9.0,7.0,6.0,7.0,1.0,1.0,7.4,6.44,No
392,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS (050503),2016,Acute Care,Voluntary non-profit - Private,178.0,33.036272,-117.284237,CA,6.0,8.0,10.0,8.0,10.0,3.0,3.0,8.4,7.59,Yes
393,SIERRA VISTA REGIONAL MEDICAL CENTER (050506),2016,Acute Care,Proprietary,161.0,35.290966,-120.666174,CA,1.0,6.0,7.0,4.0,6.0,2.0,2.0,4.8,4.38,No
394,KAISER FOUNDATION HOSPITAL (050510),2016,Acute Care,Voluntary non-profit - Other,115.0,38.004335,-122.553881,CA,10.0,7.0,4.0,4.0,4.0,7.0,7.0,5.8,5.98,No
395,KAISER FOUNDATION HOSPITAL - FREMONT (050512),2016,Acute Care,Voluntary non-profit - Other,164.0,37.550913,-121.975769,CA,10.0,10.0,1.0,3.0,9.0,9.0,9.0,6.6,6.96,Yes
396,KAISER FOUNDATION HOSPITAL - SAN DIEGO (050515),2016,Acute Care,Voluntary non-profit - Other,491.0,32.792973,-117.095859,CA,6.0,9.0,5.0,3.0,9.0,8.0,8.0,6.4,6.64,Yes
397,MERCY SAN JUAN MEDICAL CENTER (050516),2016,Acute Care,Voluntary non-profit - Other,371.0,38.668048,-121.312964,CA,5.0,8.0,2.0,3.0,7.0,10.0,10.0,5.0,5.75,No
398,VICTOR VALLEY GLOBAL MEDICAL CENTER (050517),2016,Acute Care,Voluntary non-profit - Private,101.0,34.52897,-117.292518,CA,1.0,10.0,1.0,3.0,1.0,3.0,3.0,3.2,3.17,No
399,SUTTER DELTA MEDICAL CENTER (050523),2016,Acute Care,Voluntary non-profit - Private,138.0,37.982295,-121.804681,CA,7.0,7.0,6.0,5.0,5.0,8.0,8.0,6.0,6.3,No
400,HUNTINGTON BEACH HOSPITAL (050526),2016,Acute Care,Proprietary,131.0,33.703889,-117.989065,CA,3.0,8.0,10.0,10.0,,2.0,2.0,7.75,6.8875,Yes
401,MEMORIAL HOSPITAL LOS BANOS (050528),2016,Acute Care,Voluntary non-profit - Private,40.0,37.063431,-120.859407,CA,,2.0,,,,5.0,5.0,2.0,2.45,No
402,JOHN F KENNEDY MEMORIAL HOSPITAL (050534),2016,Acute Care,Proprietary,135.0,33.706359,-116.233881,CA,7.0,3.0,5.0,3.0,5.0,2.0,2.0,4.6,4.21,No
403,SUTTER DAVIS HOSPITAL (050537),2016,Acute Care,Proprietary,48.0,38.562923,-121.772522,CA,1.0,5.0,1.0,1.0,1.0,8.0,8.0,1.8,2.73,No
404,KAISER FOUNDATION HOSPITAL - REDWOOD CITY (050541),2016,Acute Care,Voluntary non-profit - Other,168.0,37.489693,-122.224682,CA,10.0,10.0,6.0,1.0,3.0,9.0,9.0,6.0,6.45,No
405,COLLEGE HOSPITAL COSTA MESA (050543),2016,Acute Care,Proprietary,122.0,33.652605,-117.911965,CA,,1.0,,3.0,,5.0,5.0,2.0,2.45,No
406,LOS ROBLES HOSPITAL & MEDICAL CENTER (050549),2016,Acute Care,Proprietary,329.0,34.206398,-118.882624,CA,5.0,9.0,3.0,7.0,7.0,5.0,5.0,6.2,6.02,No
407,LOS ALAMITOS MEDICAL CENTER (050551),2016,Acute Care,Proprietary,163.0,33.803175,-118.067413,CA,7.0,10.0,4.0,6.0,9.0,6.0,6.0,7.2,7.02,Yes
408,MOTION PICTURE & TELEVISION HOSPITAL (050552),2016,Acute Care,Voluntary non-profit - Other,213.0,,,CA,,,,,,7.0,,,,No
409,MEMORIAL MEDICAL CENTER (050557),2016,Acute Care,Voluntary non-profit - Private,419.0,37.668701,-120.975674,CA,10.0,9.0,8.0,4.0,10.0,9.0,9.0,8.2,8.32,Yes
410,KAISER FOUNDATION HOSPITAL - WEST LA (050561),2016,Acute Care,Voluntary non-profit - Private,275.0,34.03799,-118.376247,CA,3.0,10.0,6.0,2.0,2.0,7.0,7.0,4.6,4.96,No
411,MISSION HOSPITAL REGIONAL MED CENTER (050567),2016,Acute Care,Voluntary non-profit - Private,1044.0,,,CA,5.0,6.0,6.0,4.0,10.0,10.0,10.0,6.2,6.77,Yes
412,MADERA COMMUNITY HOSPITAL (050568),2016,Acute Care,Voluntary non-profit - Other,106.0,36.945427,-120.045467,CA,1.0,2.0,,1.0,2.0,3.0,3.0,1.5,1.725,No
413,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER (050570),2016,Acute Care,Proprietary,400.0,33.715435,-117.937012,CA,5.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,3.7,No
414,EISENHOWER MEDICAL CENTER (050573),2016,Acute Care,Proprietary,370.0,33.764852,-116.408085,CA,4.0,6.0,3.0,6.0,7.0,3.0,3.0,5.2,4.87,No
415,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER (050575),2016,Acute Care,Voluntary non-profit - Private,111.0,,,CA,1.0,2.0,10.0,1.0,,6.0,6.0,3.5,3.875,No
416,LA PALMA INTERCOMMUNITY HOSPITAL (050580),2016,Acute Care,Proprietary,140.0,33.847585,-118.03725,CA,9.0,10.0,1.0,10.0,5.0,1.0,1.0,7.0,6.1,No
417,LAKEWOOD REGIONAL MEDICAL CENTER (050581),2016,Acute Care,Proprietary,170.0,33.860223,-118.148749,CA,2.0,7.0,5.0,9.0,3.0,1.0,1.0,5.2,4.57,No
418,CHINO VALLEY MEDICAL CENTER (050586),2016,Acute Care,Proprietary,120.0,34.026351,-117.685988,CA,3.0,5.0,1.0,1.0,3.0,1.0,1.0,2.6,2.36,No
419,SAN DIMAS COMMUNITY HOSPITAL (050588),2016,Acute Care,Proprietary,77.0,34.099423,-117.835006,CA,3.0,9.0,1.0,4.0,7.0,7.0,7.0,4.8,5.13,No
420,PLACENTIA LINDA HOSPITAL (050589),2016,Acute Care,Proprietary,114.0,33.886612,-117.842096,CA,4.0,3.0,1.0,8.0,10.0,4.0,4.0,5.2,5.02,No
421,METHODIST HOSPITAL OF SACRAMENTO (050590),2016,Acute Care,Voluntary non-profit - Other,320.0,38.464232,-121.416333,CA,2.0,8.0,3.0,6.0,2.0,9.0,9.0,4.2,4.92,No
422,FOOTHILL PRESBYTERIAN HOSPITAL (050597),2016,Acute Care,Voluntary non-profit - Private,105.0,34.133196,-117.872534,CA,7.0,9.0,4.0,3.0,10.0,6.0,6.0,6.6,6.51,No
423,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER (050599),2016,Acute Care,Voluntary non-profit - Other,598.0,38.554375,-121.457535,CA,5.0,7.0,6.0,9.0,8.0,9.0,9.0,7.0,7.3,Yes
424,SADDLEBACK MEMORIAL MEDICAL CENTER (050603),2016,Acute Care,Voluntary non-profit - Private,281.0,33.607762,-117.708258,CA,9.0,9.0,7.0,2.0,8.0,6.0,6.0,7.0,6.85,Yes
425,KAISER FOUNDATION HOSPITAL-SAN JOSE (050604),2016,Acute Care,Voluntary non-profit - Other,237.0,37.239327,-121.802084,CA,8.0,10.0,10.0,5.0,9.0,8.0,8.0,8.4,8.34,Yes
426,DELANO REGIONAL MEDICAL CENTER (050608),2016,Acute Care,Proprietary,156.0,35.761418,-119.238878,CA,,4.0,,1.0,,7.0,7.0,2.5,3.175,No
427,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE (050609),2016,Acute Care,Voluntary non-profit - Other,456.0,33.854441,-117.84411,CA,4.0,7.0,3.0,3.0,4.0,4.0,4.0,4.2,4.17,No
428,ST JOHNS PLEASANT VALLEY HOSPITAL (050616),2016,Acute Care,Voluntary non-profit - Church,165.0,34.242965,-119.018306,CA,1.0,10.0,1.0,1.0,4.0,2.0,2.0,3.4,3.19,No
429,HENRY MAYO NEWHALL  HOSPITAL (050624),2016,Acute Care,Voluntary non-profit - Private,267.0,34.396342,-118.553143,CA,4.0,6.0,10.0,3.0,4.0,5.0,5.0,5.4,5.34,No
430,CEDARS-SINAI MEDICAL CENTER (050625),2016,Acute Care,Voluntary non-profit - Other,894.0,34.075496,-118.380122,CA,8.0,9.0,4.0,5.0,9.0,10.0,10.0,7.0,7.45,Yes
431,TWIN CITIES COMMUNITY HOSPITAL (050633),2016,Acute Care,Proprietary,122.0,35.554389,-120.72013,CA,1.0,7.0,8.0,4.0,7.0,7.0,7.0,5.4,5.64,No
432,POMERADO HOSPITAL (050636),2016,Acute Care,Government - Hospital District or Authority,236.0,32.996802,-117.057852,CA,8.0,10.0,3.0,6.0,9.0,4.0,4.0,7.2,6.72,Yes
433,EAST LOS ANGELES DOCTORS HOSPITAL (050641),2016,Acute Care,Proprietary,127.0,34.02393,-118.184285,CA,3.0,3.0,4.0,8.0,,3.0,3.0,4.5,4.275,No
434,LOS ANGELES COMMUNITY HOSPITAL (050663),2016,Acute Care,Proprietary,251.0,34.018874,-118.186461,CA,1.0,3.0,10.0,10.0,,1.0,1.0,6.0,5.25,No
435,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER (050668),2016,Acute Care,Voluntary non-profit - Other,780.0,37.747824,-122.458636,CA,,,,,,7.0,,,,No
436,KAISER FOUNDATION HOSP SO SACRAMENTO (050674),2016,Acute Care,Voluntary non-profit - Other,222.0,38.471647,-121.423802,CA,10.0,9.0,3.0,6.0,9.0,8.0,8.0,7.4,7.49,Yes
437,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS (050677),2016,Acute Care,Voluntary non-profit - Private,268.0,34.171852,-118.588183,CA,10.0,9.0,7.0,7.0,2.0,4.0,4.0,7.0,6.55,No
438,ORANGE COAST MEMORIAL MEDICAL CENTER (050678),2016,Acute Care,Proprietary,219.0,33.701659,-117.956107,CA,2.0,5.0,3.0,4.0,2.0,5.0,5.0,3.2,3.47,No
439,MENIFEE VALLEY MEDICAL CENTER (050684),2016,Acute Care,Government - Hospital District or Authority,84.0,33.718344,-117.166468,CA,1.0,10.0,10.0,3.0,8.0,6.0,6.0,6.4,6.34,No
440,"KAISER FOUNDATION HOSPITAL, RIVERSIDE (050686)",2016,Acute Care,Government - Hospital District or Authority,226.0,33.906505,-117.47071,CA,3.0,10.0,4.0,9.0,3.0,9.0,9.0,5.8,6.28,No
441,SAINT LOUISE REGIONAL HOSPITAL (050688),2016,Acute Care,Voluntary non-profit - Church,72.0,,,CA,3.0,9.0,1.0,4.0,7.0,4.0,4.0,4.8,4.68,No
442,SAN RAMON REGIONAL MEDICAL CTR (050689),2016,Acute Care,Proprietary,123.0,37.775988,-121.959274,CA,10.0,10.0,5.0,1.0,8.0,8.0,8.0,6.8,6.98,Yes
443,KAISER FOUNDATION HOSPITAL-SANTA ROSA (050690),2016,Acute Care,Voluntary non-profit - Other,169.0,38.470217,-122.724316,CA,6.0,10.0,7.0,1.0,6.0,7.0,7.0,6.0,6.15,No
444,KECK HOSPITAL OF USC (050696),2016,Acute Care,Voluntary non-profit - Other,334.0,34.062168,-118.203234,CA,9.0,8.0,7.0,5.0,7.0,7.0,7.0,7.2,7.17,Yes
445,PATIENTS' HOSPITAL OF REDDING (050697),2016,Acute Care,Physician,10.0,40.58549,-122.416264,CA,,,,,,7.0,7.0,,7.0,Yes
446,SOUTHWEST HEALTHCARE SYSTEM (050701),2016,Acute Care,Proprietary,241.0,33.557832,-117.184346,CA,1.0,9.0,1.0,3.0,3.0,5.0,5.0,3.4,3.64,No
447,MISSION COMMUNITY HOSPITAL (050704),2016,Acute Care,Voluntary non-profit - Private,141.0,34.221494,-118.456802,CA,1.0,9.0,10.0,6.0,,4.0,4.0,6.5,6.125,No
448,FRESNO SURGICAL HOSPITAL (050708),2016,Acute Care,Proprietary,28.0,36.824644,-119.781416,CA,,1.0,,,,1.0,1.0,1.0,1.0,No
449,DESERT VALLEY HOSPITAL (050709),2016,Acute Care,Proprietary,142.0,34.470911,-117.297099,CA,3.0,7.0,9.0,7.0,3.0,2.0,2.0,5.8,5.23,No
450,KAISER FOUNDATION HOSPITAL - FRESNO (050710),2016,Acute Care,Voluntary non-profit - Private,169.0,36.84278,-119.783436,CA,8.0,10.0,1.0,10.0,3.0,8.0,8.0,6.4,6.64,Yes
451,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ (050714),2016,Acute Care,Voluntary non-profit - Private,30.0,36.987865,-121.97818,CA,,1.0,,,8.0,2.0,2.0,4.5,4.125,No
452,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR (050717),2016,Acute Care,Government - Local,234.0,,,CA,10.0,2.0,7.0,3.0,1.0,6.0,6.0,4.6,4.81,No
453,KAISER FOUNDATION HOSPITAL - BALDWIN PARK (050723),2016,Acute Care,Voluntary non-profit - Other,259.0,34.064642,-117.984646,CA,8.0,10.0,5.0,4.0,2.0,5.0,5.0,5.8,5.68,No
454,BAKERSFIELD HEART HOSPITAL (050724),2016,Acute Care,Proprietary,47.0,35.386106,-119.040847,CA,10.0,7.0,9.0,5.0,8.0,9.0,9.0,7.8,7.98,Yes
455,STANISLAUS SURGICAL HOSPITAL (050726),2016,Acute Care,Proprietary,23.0,37.664558,-120.957516,CA,,1.0,,,,4.0,4.0,1.0,1.45,No
456,COMMUNITY HOSPITAL OF LONG BEACH (050727),2016,Acute Care,Voluntary non-profit - Private,154.0,,,CA,5.0,9.0,10.0,2.0,,6.0,6.0,6.5,6.425,No
457,WHITTIER HOSPITAL MEDICAL CENTER (050735),2016,Acute Care,Proprietary,178.0,33.950748,-118.005114,CA,2.0,8.0,4.0,7.0,4.0,8.0,8.0,5.0,5.45,No
458,MONTEREY PARK HOSPITAL (050736),2016,Acute Care,Proprietary,101.0,34.049769,-118.138751,CA,1.0,6.0,10.0,8.0,10.0,7.0,7.0,7.0,7.0,Yes
459,GARFIELD MEDICAL CENTER (050737),2016,Acute Care,Proprietary,210.0,34.067864,-118.122906,CA,8.0,10.0,5.0,7.0,3.0,7.0,7.0,6.6,6.66,Yes
460,GREATER EL MONTE COMMUNITY HOSPITAL (050738),2016,Acute Care,Voluntary non-profit - Private,118.0,34.048705,-118.042452,CA,1.0,3.0,6.0,6.0,,4.0,4.0,4.0,4.0,No
461,CENTINELA HOSPITAL MEDICAL CENTER (050739),2016,Acute Care,Proprietary,349.0,33.949086,-118.348214,CA,6.0,5.0,8.0,4.0,1.0,1.0,1.0,4.8,4.23,No
462,MARINA DEL REY HOSPITAL (050740),2016,Acute Care,Proprietary,98.0,33.981732,-118.440154,CA,3.0,10.0,9.0,10.0,1.0,3.0,3.0,6.6,6.06,No
463,OLYMPIA MEDICAL CENTER (050742),2016,Acute Care,Proprietary,204.0,34.057527,-118.359857,CA,10.0,10.0,9.0,7.0,4.0,6.0,6.0,8.0,7.7,Yes
464,ANAHEIM GLOBAL MEDICAL CENTER (050744),2016,Acute Care,Proprietary,185.0,33.820566,-117.909002,CA,10.0,2.0,10.0,1.0,8.0,5.0,5.0,6.2,6.02,No
465,CHAPMAN GLOBAL MEDICAL CENTER (050745),2016,Acute Care,Proprietary,112.0,33.787878,-117.827058,CA,9.0,4.0,,,,5.0,5.0,6.5,6.275,No
466,ORANGE COUNTY GLOBAL MEDICAL CENTER (050746),2016,Acute Care,Proprietary,246.0,33.753636,-117.834209,CA,10.0,8.0,7.0,9.0,6.0,10.0,10.0,8.0,8.3,Yes
467,SOUTH COAST GLOBAL MEDICAL CENTER (050747),2016,Acute Care,Proprietary,177.0,33.710692,-117.88541,CA,1.0,3.0,10.0,1.0,1.0,4.0,4.0,3.2,3.32,No
468,KAISER FOUNDATION HOSPITAL MANTECA (050748),2016,Acute Care,Voluntary non-profit - Private,238.0,37.797371,-121.246183,CA,10.0,10.0,8.0,9.0,5.0,6.0,6.0,8.4,8.04,Yes
469,MIRACLE MILE MEDICAL CENTER (050751),2016,Acute Care,Proprietary,17.0,,,CA,,,,,,6.0,6.0,,6.0,No
470,MENLO PARK SURGICAL HOSPITAL (050754),2016,Acute Care,Voluntary non-profit - Private,16.0,37.462043,-122.159517,CA,,,,,,8.0,8.0,,8.0,Yes
471,SHERMAN OAKS HOSPITAL (050755),2016,Acute Care,Voluntary non-profit - Private,150.0,34.15981,-118.448705,CA,1.0,10.0,9.0,5.0,,1.0,1.0,6.25,5.4625,No
472,ALVARADO HOSPITAL MEDICAL CENTER (050757),2016,Acute Care,Government - Federal,300.0,32.777136,-117.056602,CA,6.0,9.0,7.0,10.0,1.0,1.0,1.0,6.6,5.76,No
473,MONTCLAIR HOSPITAL MEDICAL CENTER (050758),2016,Acute Care,Voluntary non-profit - Private,103.0,34.077662,-117.696098,CA,8.0,10.0,8.0,1.0,,2.0,2.0,6.75,6.0375,No
474,KAISER FOUNDATION HOSPITAL - ANTIOCH (050760),2016,Acute Care,Proprietary,138.0,37.949469,-121.774824,CA,8.0,8.0,5.0,3.0,6.0,5.0,5.0,6.0,5.85,No
475,PROVIDENCE TARZANA MEDICAL CENTER (050761),2016,Acute Care,Voluntary non-profit - Private,244.0,34.169777,-118.53183,CA,5.0,9.0,6.0,10.0,2.0,10.0,10.0,6.4,6.94,Yes
476,SILVER LAKE MEDICAL CENTER (050763),2016,Acute Care,Proprietary,218.0,34.06879,-118.26356,CA,1.0,6.0,1.0,1.0,,1.0,1.0,2.25,2.0625,No
477,SHASTA REGIONAL MEDICAL CENTER (050764),2016,Acute Care,Proprietary,219.0,40.585376,-122.386683,CA,8.0,10.0,10.0,7.0,4.0,1.0,1.0,7.8,6.78,Yes
478,KAISER FOUNDATION HOSPITAL-MORENO VALLEY (050765),2016,Acute Care,Voluntary non-profit - Other,87.0,33.895697,-117.187121,CA,3.0,10.0,6.0,5.0,3.0,7.0,7.0,5.4,5.64,No
479,SUTTER SURGICAL HOSPITAL - NORTH VALLEY (050766),2016,Acute Care,Physician,14.0,39.132167,-121.613603,CA,,1.0,,,1.0,6.0,6.0,1.0,1.75,No
480,KAISER FOUNDATION HOSPITAL - VACAVILLE (050767),2016,Acute Care,Proprietary,126.0,38.390073,-121.936776,CA,10.0,10.0,4.0,1.0,9.0,6.0,6.0,6.8,6.68,Yes
481,HOAG ORTHOPEDIC INSTITUTE (050769),2016,Acute Care,Proprietary,70.0,33.66095,-117.774478,CA,,1.0,,,,2.0,2.0,1.0,1.15,No
482,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA (050770),2016,Acute Care,Proprietary,108.0,33.613435,-117.168923,CA,9.0,5.0,10.0,4.0,8.0,1.0,1.0,7.2,6.27,No
483,COAST PLAZA HOSPITAL (050771),2016,Acute Care,Proprietary,116.0,33.912428,-118.099156,CA,1.0,2.0,4.0,,,7.0,7.0,2.3333,3.0333,No
484,KAISER FOUNDATION HOSPITAL - ROSEVILLE (050772),2016,Acute Care,Voluntary non-profit - Private,342.0,38.746698,-121.247166,CA,9.0,5.0,3.0,2.0,7.0,2.0,2.0,5.2,4.72,No
485,SAN LEANDRO HOSPITAL (050773),2016,Acute Care,Government - Hospital District or Authority,67.0,,,CA,3.0,9.0,9.0,4.0,,8.0,8.0,6.25,6.5125,No
486,TEMECULA VALLEY HOSPITAL (050775),2016,Acute Care,Proprietary,140.0,33.47929,-117.105744,CA,1.0,8.0,1.0,4.0,3.0,2.0,2.0,3.4,3.19,No
487,COLLEGE MEDICAL CENTER (050776),2016,Acute Care,Proprietary,213.0,33.807201,-118.193721,CA,5.0,2.0,8.0,2.0,,4.0,4.0,4.25,4.2125,No
488,KAISER FOUNDATION HOSPITAL - SAN LEANDRO (050777),2016,Acute Care,Voluntary non-profit - Private,207.0,37.706524,-122.169447,CA,7.0,8.0,8.0,4.0,10.0,,,7.4,7.4,Yes
489,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL (050778),2016,Acute Care,Voluntary non-profit - Private,345.0,34.049482,-117.261122,CA,2.0,3.0,6.0,3.0,,,,3.5,3.5,No
490,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL (050779)",2016,Acute Care,Voluntary non-profit - Private,131.0,33.924361,-118.244331,CA,,,,,,,,,,No
491,FOOTHILL REGIONAL MEDICAL CENTER (050780),2016,Acute Care,Proprietary,170.0,33.730773,-117.829485,CA,,,,,10.0,,,10.0,10.0,Yes
492,NORTH COLORADO MEDICAL CENTER (060001),2016,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,4.0,6.0,9.0,6.0,9.0,6.0,6.0,6.8,6.68,Yes
493,LONGMONT UNITED HOSPITAL (060003),2016,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,4.0,5.0,3.0,3.0,4.0,8.0,8.0,3.8,4.43,No
