,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Domain 1 Score,Domain 2 Score,Total HAC Score,Payment Reduction
589,HALIFAX HEALTH MEDICAL CENTER (100017),2019,Acute Care,Government - Hospital District or Authority,508.0,29.20055,-81.05534,FL,1.3947,0.2221,1.1012,-0.0027,0.3236,0.6731,0.6731,0.6078,0.6176,Yes
590,NAPLES COMMUNITY HOSPITAL (100018),2019,Acute Care,Voluntary non-profit - Private,641.0,26.150806,-81.799488,FL,0.751,0.2083,-0.8119,0.5658,-0.5186,-1.4725,-1.4725,0.0389,-0.1878,No
591,HOLMES REGIONAL MEDICAL CENTER (100019),2019,Acute Care,Voluntary non-profit - Private,523.0,28.08691,-80.613523,FL,1.4872,0.2525,-0.3503,0.7213,0.5273,0.2376,0.2376,0.5276,0.4841,Yes
592,JACKSON MEMORIAL HOSPITAL (100022),2019,Acute Care,Government - Hospital District or Authority,1682.0,25.790612,-80.214945,FL,-0.0462,0.1807,-0.5737,2.196,-0.3865,2.347,2.347,0.2741,0.585,Yes
593,CITRUS MEMORIAL HOSPITAL (100023),2019,Acute Care,Government - Hospital District or Authority,202.0,28.832242,-82.335335,FL,0.0009,0.2387,0.9424,-1.0009,-0.4544,0.3251,0.3251,-0.0546,0.0023,No
594,SACRED HEART HOSPITAL (100025),2019,Acute Care,Voluntary non-profit - Private,524.0,30.475588,-87.210986,FL,0.0707,-0.756,-0.6864,0.1729,0.6667,1.1755,1.1755,-0.1064,0.0859,No
595,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM (100026),2019,Acute Care,Government - Hospital District or Authority,257.0,30.159681,-85.647067,FL,-0.5172,-0.6952,2.2018,1.661,-0.7205,-0.1463,-0.1463,0.386,0.3062,No
596,PARRISH MEDICAL CENTER (100028),2019,Acute Care,Government - Hospital District or Authority,210.0,28.629068,-80.824943,FL,-0.8783,0.5343,-0.8156,2.196,-1.4966,1.8359,1.8359,-0.092,0.1972,No
597,NORTH SHORE MEDICAL CENTER (100029),2019,Acute Care,Proprietary,759.0,25.861658,-80.214656,FL,0.8452,-0.6178,0.4586,0.8149,-1.1205,0.8184,0.8184,0.0761,0.1874,No
598,HEALTH CENTRAL (100030),2019,Acute Care,Government - State,197.0,28.551666,-81.525787,FL,1.5186,0.6421,1.2231,2.196,0.2465,-0.5664,-0.5664,1.1653,0.9055,Yes
599,BAYFRONT HEALTH - ST PETERSBURG (100032),2019,Acute Care,Voluntary non-profit - Private,350.0,27.763222,-82.641663,FL,0.0166,-0.1619,-0.6956,0.2966,0.7365,2.347,2.347,0.0384,0.3847,Yes
600,MOUNT SINAI MEDICAL CENTER (100034),2019,Acute Care,Proprietary,598.0,25.815045,-80.137939,FL,0.2242,-0.2338,-0.1767,-0.0261,0.3786,0.2737,0.2737,0.0333,0.0693,No
601,MANATEE MEMORIAL HOSPITAL (100035),2019,Acute Care,Proprietary,303.0,27.497209,-82.561241,FL,0.0463,-0.0514,0.501,0.524,0.931,1.5845,1.5845,0.3902,0.5693,Yes
602,MEMORIAL REGIONAL HOSPITAL (100038),2019,Acute Care,Government - Hospital District or Authority,1002.0,26.018262,-80.178865,FL,0.5033,0.0232,-0.2598,-0.1431,-0.614,0.2131,0.2131,-0.0981,-0.0514,No
603,BROWARD HEALTH MEDICAL CENTER (100039),2019,Acute Care,Government - Hospital District or Authority,638.0,26.101975,-80.14231,FL,0.1736,-0.4659,-0.5423,0.3986,1.1952,1.6771,1.6771,0.1518,0.3806,Yes
604,ST VINCENT'S MEDICAL CENTER RIVERSIDE (100040),2019,Acute Care,Voluntary non-profit - Private,490.0,30.307891,-81.689154,FL,0.0184,-0.7864,-0.7584,-0.3605,-0.3168,0.7211,0.7211,-0.4407,-0.2665,No
605,MEASE DUNEDIN HOSPITAL (100043),2019,Acute Care,Voluntary non-profit - Private,114.0,28.014032,-82.783822,FL,-0.2834,-0.8748,0.2222,-1.4406,-0.2838,0.3028,0.3028,-0.5321,-0.4068,No
606,MARTIN MEDICAL CENTER (100044),2019,Acute Care,Voluntary non-profit - Private,450.0,27.199441,-80.243034,FL,-0.8591,0.258,-0.6587,1.1995,0.3842,1.6133,1.6133,0.0648,0.2971,No
607,FLORIDA HOSPITAL DELAND (100045),2019,Acute Care,Voluntary non-profit - Church,160.0,29.042613,-81.317205,FL,-1.5202,-0.861,-1.0188,-0.8905,-1.0783,0.948,0.948,-1.0738,-0.7705,No
608,FLORIDA HOSPITAL ZEPHYRHILLS (100046),2019,Acute Care,Voluntary non-profit - Church,144.0,28.260937,-82.188041,FL,-0.9166,-1.1152,-0.6328,-0.7952,0.3897,-0.9524,-0.9524,-0.614,-0.6648,No
609,BAYFRONT HEALTH PUNTA GORDA (100047),2019,Acute Care,Proprietary,172.0,26.940682,-82.041788,FL,-0.6672,-0.2752,2.2018,-0.5929,,0.4031,0.4031,0.1666,0.2021,No
610,JAY HOSPITAL (100048),2019,Acute Care,Voluntary non-profit - Private,28.0,30.95004,-87.151666,FL,,1.9711,,,,-0.05,-0.05,1.9711,1.6679,Yes
611,HIGHLANDS REGIONAL MEDICAL CENTER (100049),2019,Acute Care,Proprietary,119.0,27.465045,-81.433761,FL,-0.2485,-1.1843,-0.2228,1.5807,-0.8067,1.1262,1.1262,-0.1763,0.0191,No
612,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS (100050),2019,Acute Care,Voluntary non-profit - Private,182.0,25.866662,-80.312165,FL,2.1658,0.2801,2.2018,2.0957,0.83,-0.746,-0.746,1.5147,1.1756,Yes
613,SOUTH LAKE HOSPITAL (100051),2019,Acute Care,Government - Hospital District or Authority,158.0,28.551178,-81.723415,FL,-0.5573,-0.1896,-0.1748,-0.1799,1.3236,-1.0355,-1.0355,0.0444,-0.1176,No
614,WINTER HAVEN HOSPITAL (100052),2019,Acute Care,Voluntary non-profit - Private,514.0,28.027669,-81.726746,FL,0.1527,-0.3498,-0.4925,-0.3705,0.6392,0.7776,0.7776,-0.0842,0.0451,No
615,HIALEAH HOSPITAL (100053),2019,Acute Care,Proprietary,346.0,25.844931,-80.268881,FL,-0.6585,0.7526,1.7162,2.196,-0.5737,0.228,0.228,0.6865,0.6178,Yes
616,TWIN CITIES HOSPITAL (100054),2019,Acute Care,Proprietary,63.0,,,FL,-0.7143,0.2332,2.1538,,-0.1865,-0.6623,-0.6623,0.3715,0.2165,No
617,FLORIDA HOSPITAL NORTH PINELLAS (100055),2019,Acute Care,Voluntary non-profit - Other,168.0,28.13314,-82.758576,FL,-1.0928,-1.1898,-1.4878,-1.4406,-1.4966,1.1569,1.1569,-1.3415,-0.9668,No
618,FLORIDA HOSPITAL WATERMAN (100057),2019,Acute Care,Voluntary non-profit - Church,263.0,28.822351,-81.71021,FL,-0.1247,-0.7201,-0.9984,-0.6347,0.008,0.24,0.24,-0.494,-0.3839,No
619,FLORIDA HOSPITAL OCALA (100062),2019,Acute Care,Government - Hospital District or Authority,404.0,29.174236,-82.137834,FL,-0.4997,-0.7947,0.2794,0.3384,-0.2819,-1.5577,-1.5577,-0.1917,-0.3966,No
620,MORTON PLANT NORTH BAY HOSPITAL (100063),2019,Acute Care,Voluntary non-profit - Private,220.0,28.253933,-82.715478,FL,0.0951,-0.0818,-0.4149,0.0876,-0.5737,-0.8258,-0.8258,-0.1775,-0.2748,No
621,ST ANTHONYS HOSPITAL (100067),2019,Acute Care,Voluntary non-profit - Church,349.0,27.779343,-82.651224,FL,0.5905,0.0757,-0.341,-0.4474,-0.3039,1.2442,1.2442,-0.0852,0.1142,No
622,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER (100068),2019,Acute Care,Voluntary non-profit - Church,374.0,29.24275,-81.1093,FL,-0.8102,-0.4327,-0.5275,0.315,-1.3076,0.5981,0.5981,-0.5526,-0.38,No
623,FLORIDA HOSPITAL CARROLLWOOD (100069),2019,Acute Care,Voluntary non-profit - Church,105.0,28.013102,-82.504954,FL,-1.0143,-1.5932,-1.4878,1.6325,-0.5205,-0.6424,-0.6424,-0.5966,-0.6035,No
624,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH (100070),2019,Acute Care,Proprietary,264.0,27.089683,-82.444445,FL,-0.498,-1.4523,-0.2561,-0.9424,-0.3039,1.6937,1.6937,-0.6905,-0.3329,No
625,BAYFRONT HEALTH BROOKSVILLE (100071),2019,Acute Care,Voluntary non-profit - Church,244.0,28.541115,-82.443386,FL,0.5086,-0.7587,1.6681,2.196,-0.403,1.342,1.342,0.6422,0.7472,Yes
626,FLORIDA HOSPITAL FISH MEMORIAL (100072),2019,Acute Care,Voluntary non-profit - Church,176.0,28.91129,-81.284122,FL,-0.5259,-0.5488,0.8094,-0.8069,-1.2287,0.8132,0.8132,-0.4602,-0.2692,No
627,HOLY CROSS HOSPITAL (100073),2019,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,-0.4736,0.8687,0.4549,1.3249,0.6135,-0.5143,-0.5143,0.5577,0.3969,Yes
628,ST JOSEPHS HOSPITAL (100075),2019,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,0.4667,-0.4797,-0.2228,-0.2501,0.1786,-1.1558,-1.1558,-0.0615,-0.2256,No
629,BAYFRONT HEALTH PORT CHARLOTTE (100077),2019,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,-1.0702,0.084,-1.1333,-0.9825,-1.0195,1.8159,1.8159,-0.8243,-0.4283,No
630,JFK MEDICAL CENTER (100080),2019,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,-0.8556,0.1005,1.1954,0.8133,-0.1021,0.3752,0.3752,0.2303,0.252,No
631,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2019,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,,-1.9247,,,,-0.1981,-0.1981,-1.9247,-1.6657,No
632,LEESBURG REGIONAL MEDICAL CENTER (100084),2019,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,-0.0671,0.5316,0.0726,1.6526,-0.0104,-1.2821,-1.2821,0.4359,0.1782,No
633,BROWARD HEALTH NORTH (100086),2019,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,-0.7527,-0.7836,-1.0298,0.4153,0.5988,1.7103,1.7103,-0.3104,-0.0073,No
634,SARASOTA MEMORIAL HOSPITAL (100087),2019,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,0.0149,-0.0431,0.5343,-0.1164,0.641,-1.2647,-1.2647,0.2061,-0.0145,No
635,BAPTIST MEDICAL CENTER JACKSONVILLE (100088),2019,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,0.4283,-0.3111,0.2444,0.5106,1.0759,1.2258,1.2258,0.3896,0.515,Yes
636,FLAGLER HOSPITAL (100090),2019,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,-0.327,0.5122,-0.3909,-1.2132,0.9401,2.0865,2.0865,-0.0958,0.2316,No
637,STEWARD ROCKLEDGE HOSPITAL (100092),2019,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,0.0812,-0.1675,-0.4777,1.7262,-0.0691,0.4722,0.4722,0.2186,0.2567,No
638,BAPTIST HOSPITAL (100093),2019,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,-0.6428,-0.9052,0.4586,0.3551,0.0282,-0.6072,-0.6072,-0.1412,-0.2111,No
639,LAKE WALES MEDICAL CENTER (100099),2019,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,-1.0196,0.2663,-0.1527,-1.4406,0.0117,0.694,0.694,-0.467,-0.2928,No
640,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER (100102),2019,Acute Care,Voluntary non-profit - Private,95.0,30.193486,-82.632704,FL,-0.2084,-1.0433,,,-0.0782,-1.0545,-1.0545,-0.4433,-0.535,No
641,INDIAN RIVER MEDICAL CENTER (100105),2019,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,-0.5765,-0.4327,-0.5442,-0.6865,-0.8012,-0.7196,-0.7196,-0.6082,-0.6249,No
642,DOCTOR'S MEMORIAL HOSPITAL INC (100106),2019,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,-1.5202,-1.9247,,,,-0.1577,-0.1577,-1.7225,-1.4878,No
643,LEHIGH REGIONAL MEDICAL CENTER (100107),2019,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,0.5365,-1.0102,0.3718,,,-0.8777,-0.8777,-0.034,-0.1605,No
644,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER (100109),2019,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,-1.3894,-0.3277,0.4623,-0.4341,-1.181,0.2727,0.2727,-0.574,-0.447,No
645,OSCEOLA REGIONAL MEDICAL CENTER (100110),2019,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,-0.559,-0.0818,-0.2561,0.7899,-0.6361,-0.6254,-0.6254,-0.1486,-0.2201,No
646,UF HEALTH SHANDS HOSPITAL (100113),2019,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,0.3359,-0.7449,0.2074,-0.2384,0.8429,1.0023,1.0023,0.0806,0.2188,No
647,BAPTIST MEDICAL CENTER - BEACHES (100117),2019,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,0.1632,-1.1097,0.706,0.6327,-0.1113,-0.242,-0.242,0.0562,0.0115,No
648,FLORIDA HOSPITAL FLAGLER (100118),2019,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,0.5574,0.0784,-0.4998,-0.2719,-0.6874,-0.5459,-0.5459,-0.1647,-0.2218,No
649,BARTOW REGIONAL MEDICAL CENTER (100121),2019,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,-0.4038,0.2801,-0.3078,,-0.8306,-0.3541,-0.3541,-0.3155,-0.3213,No
650,NORTH OKALOOSA MEDICAL CENTER (100122),2019,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,1.8204,-1.1566,-1.4878,2.196,0.6447,-0.9254,-0.9254,0.4033,0.204,No
651,SANTA ROSA MEDICAL CENTER (100124),2019,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,0.1597,0.2138,0.4752,-0.1247,-0.2415,0.0886,0.0886,0.0965,0.0953,No
652,HOMESTEAD HOSPITAL (100125),2019,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,-0.716,-0.7118,2.2018,2.0405,0.786,2.347,2.347,0.7201,0.9641,Yes
653,PALMS OF PASADENA HOSPITAL (100126),2019,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,0.0236,1.4793,2.2018,2.196,-0.981,-0.0222,-0.0222,0.9839,0.833,Yes
654,MORTON PLANT HOSPITAL (100127),2019,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,-0.1334,-0.289,-0.5405,0.0826,1.4484,0.1211,0.1211,0.1136,0.1147,No
655,TAMPA GENERAL HOSPITAL (100128),2019,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,-0.4718,-0.4355,0.2148,0.4538,0.2447,2.347,2.347,0.0012,0.3531,Yes
656,LAKESIDE MEDICAL CENTER (100130),2019,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,0.3498,-1.7451,-0.3521,,,-0.2784,-0.2784,-0.5825,-0.5369,No
657,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2019,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,-0.498,0.5951,1.3228,0.0107,1.0943,-0.7832,-0.7832,0.505,0.3117,No
658,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2019,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,-0.3881,-0.0072,0.0024,-1.4406,0.0153,1.8814,1.8814,-0.3636,-0.0269,No
659,ED FRASER MEMORIAL HOSPITAL (100134),2019,Acute Care,Government - Hospital District or Authority,90.0,30.28555,-82.11955,FL,,1.9711,,2.196,,0.0283,0.0283,2.0836,1.7753,Yes
660,TALLAHASSEE MEMORIAL HOSPITAL (100135),2019,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,1.0197,0.095,-0.0585,-0.2317,0.7016,-0.7104,-0.7104,0.3052,0.1529,No
661,HEART OF FLORIDA REGIONAL MEDICAL CENTER (100137),2019,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,-0.7893,-0.4327,0.538,0.0809,-0.1021,0.4121,0.4121,-0.141,-0.0581,No
662,BAPTIST MEDICAL CENTER - NASSAU (100140),2019,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,-0.4997,-0.8776,1.5943,-1.4406,0.8154,-1.1,-1.1,-0.0817,-0.2344,No
663,JACKSON HOSPITAL (100142),2019,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,-1.5202,1.9711,,,-1.4966,0.7469,0.7469,-0.3486,-0.1843,No
664,LOWER KEYS MEDICAL CENTER (100150),2019,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,0.9813,0.0812,1.0107,1.5673,0.0172,-0.0528,-0.0528,0.7315,0.6139,Yes
665,MAYO CLINIC (100151),2019,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,-0.9882,0.1033,0.4401,-0.2134,-0.4526,2.2946,2.2946,-0.2221,0.1554,No
666,SOUTH MIAMI HOSPITAL (100154),2019,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,-0.7945,-0.5957,0.2056,-1.1932,0.5126,1.1234,1.1234,-0.373,-0.1486,No
667,LAKE CITY MEDICAL CENTER (100156),2019,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,-1.2149,0.6808,1.2988,1.6359,-0.4636,-1.5577,-1.5577,0.3874,0.0956,No
668,LAKELAND REGIONAL MEDICAL CENTER (100157),2019,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,-0.2189,-0.3001,0.8685,0.5023,0.4172,0.6455,0.6455,0.2538,0.3126,No
669,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2019,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,-0.013,0.247,0.49,0.5825,0.3621,0.0197,0.0197,0.3337,0.2866,No
670,DOCTORS HOSPITAL OF SARASOTA (100166),2019,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,0.9098,0.037,0.3902,-0.3505,-0.4122,-1.2891,-1.2891,0.1149,-0.0957,No
671,PLANTATION GENERAL HOSPITAL (100167),2019,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,-0.0584,-0.6316,1.4078,0.6611,-0.6948,0.4492,0.4492,0.1368,0.1837,No
672,BOCA RATON REGIONAL HOSPITAL (100168),2019,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,0.2155,0.6145,-0.5885,0.8735,0.23,2.347,2.347,0.269,0.5807,Yes
673,FLORIDA HOSPITAL TAMPA (100173),2019,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,-0.9917,-1.187,-0.5423,0.0542,0.3401,2.347,2.347,-0.4653,-0.0435,No
674,DESOTO MEMORIAL HOSPITAL (100175),2019,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,,0.1696,,,,0.055,0.055,0.1696,0.1524,No
675,PALM BEACH GARDENS MEDICAL CENTER (100176),2019,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,-1.5202,-0.546,-1.1,-1.4406,-0.8489,-0.6392,-0.6392,-1.0912,-1.0234,No
676,CAPE CANAVERAL HOSPITAL (100177),2019,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,-0.2136,0.7167,0.0117,0.1913,-0.2049,-0.4039,-0.4039,0.1002,0.0246,No
677,MEMORIAL HOSPITAL JACKSONVILLE (100179),2019,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,0.137,1.3163,2.2018,0.85,0.2979,0.4396,0.4396,0.9606,0.8825,Yes
678,ST PETERSBURG GENERAL HOSPITAL (100180),2019,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,-0.4212,-0.441,-0.775,1.5824,-0.6911,-0.5363,-0.5363,-0.1492,-0.2073,No
679,LARKIN COMMUNITY HOSPITAL (100181),2019,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,0.8662,1.9324,0.754,2.196,-1.4966,2.1485,2.1485,0.8504,1.0451,Yes
680,CORAL GABLES HOSPITAL (100183),2019,Acute Care,Proprietary,245.0,,,FL,-0.2101,0.3437,-0.8636,0.2816,-0.614,-0.6149,-0.6149,-0.2125,-0.2729,No
681,PALMETTO GENERAL HOSPITAL (100187),2019,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,-0.3061,-0.7781,-0.871,-0.2418,-0.159,-0.3321,-0.3321,-0.4712,-0.4503,No
682,NORTHWEST MEDICAL CENTER (100189),2019,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,-1.1242,-0.5626,-0.5516,0.2832,-1.3278,0.6624,0.6624,-0.6566,-0.4587,No
683,MEDICAL CENTER OF TRINITY (100191),2019,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,-0.0933,0.5951,0.8057,0.2682,-0.6819,-0.3775,-0.3775,0.1788,0.0953,No
684,BROWARD HEALTH IMPERIAL POINT (100200),2019,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,0.6429,0.9571,0.8353,1.8566,-0.8159,0.828,0.828,0.6952,0.7151,Yes
685,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2019,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,1.1871,-0.1012,1.6866,0.9186,-0.2984,-1.5577,-1.5577,0.6786,0.3431,Yes
686,MEMORIAL HOSPITAL OF TAMPA (100206),2019,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,-0.6183,-1.1732,2.2018,0.7848,0.6337,-1.4293,-1.4293,0.3658,0.0965,No
687,KENDALL REGIONAL MEDICAL CENTER (100209),2019,Acute Care,Proprietary,423.0,,,FL,-0.2067,-0.9743,2.2018,0.7915,-0.0195,0.1036,0.1036,0.3586,0.3203,No
688,FLORIDA HOSPITAL DADE CITY (100211),2019,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,-0.7963,-1.5324,-1.4878,,-1.4966,-0.4724,-0.4724,-1.3283,-1.1999,No
689,OCALA REGIONAL MEDICAL CENTER (100212),2019,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,-0.6724,0.1696,0.8057,0.6745,-0.6067,-1.5577,-1.5577,0.0741,-0.1706,No
690,BLAKE MEDICAL CENTER (100213),2019,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,0.3568,0.6449,2.2018,2.1224,2.1365,-0.981,-0.981,1.4925,1.1215,Yes
691,STEWARD SEBASTIAN RIVER MEDICAL CENTER (100217),2019,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,0.5644,-0.1371,-0.8415,2.196,0.0465,-1.5577,-1.5577,0.3657,0.0772,No
692,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2019,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,-0.4474,-0.6261,-0.3687,0.6477,0.2098,-0.8073,-0.8073,-0.1169,-0.2205,No
693,FORT WALTON BEACH MEDICAL CENTER (100223),2019,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,0.0219,-0.5598,0.8575,-0.5444,0.4209,-1.2479,-1.2479,0.0392,-0.1539,No
694,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2019,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,-0.2224,0.0425,2.2018,0.519,-0.526,-0.7326,-0.7326,0.403,0.2327,No
695,ORANGE PARK MEDICAL CENTER (100226),2019,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,-0.8608,-0.068,0.1834,0.5223,-0.2636,-1.5532,-1.5532,-0.0973,-0.3157,No
696,WESTSIDE REGIONAL MEDICAL CENTER (100228),2019,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,-0.4456,-0.0708,-0.3226,0.0458,-1.1095,-0.3268,-0.3268,-0.3805,-0.3725,No
697,MEMORIAL HOSPITAL PEMBROKE (100230),2019,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,1.2901,0.0867,-1.124,0.4504,-1.17,1.6903,1.6903,-0.0934,0.1742,No
698,WEST FLORIDA HOSPITAL (100231),2019,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,0.0655,0.3409,-0.2542,1.1293,1.23,-1.2838,-1.2838,0.5023,0.2344,No
699,PUTNAM COMMUNITY MEDICAL CENTER (100232),2019,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,-1.1521,0.2663,2.1003,1.5255,-0.2838,-1.1898,-1.1898,0.4912,0.2391,No
700,FAWCETT MEMORIAL HOSPITAL (100236),2019,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,-0.3043,1.9711,-0.2118,0.0425,-0.8287,-1.4458,-1.4458,0.1337,-0.1032,No
701,NORTHSIDE HOSPITAL (100238),2019,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,-0.6201,0.1033,0.189,0.6661,-0.9113,-0.3315,-0.3315,-0.1146,-0.1471,No
702,GULF COAST REGIONAL MEDICAL CENTER (100242),2019,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,-1.0998,-1.0627,0.0745,1.3935,-1.0251,-0.4673,-0.4673,-0.3439,-0.3624,No
703,BRANDON REGIONAL HOSPITAL (100243),2019,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,-0.4387,0.0287,-0.2118,-0.4759,-0.8379,0.3176,0.3176,-0.3871,-0.2814,No
704,CAPE CORAL HOSPITAL (100244),2019,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,-0.2276,-0.2697,-0.1804,-0.2384,-0.4672,-1.2736,-1.2736,-0.2767,-0.4262,No
705,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2019,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,-0.6253,0.8576,0.0117,0.0709,-1.0104,1.8956,1.8956,-0.1391,0.1661,No
706,LARGO MEDICAL CENTER (100248),2019,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,-0.2747,0.0204,1.2619,1.457,0.208,1.5624,1.5624,0.5345,0.6887,Yes
707,BAYFRONT HEALTH SEVEN RIVERS (100249),2019,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,2.1658,1.1146,1.6589,1.462,-0.0581,1.0982,1.0982,1.2686,1.2431,Yes
708,RAULERSON HOSPITAL (100252),2019,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,-1.0388,0.1061,1.0126,2.196,1.5658,-0.5947,-0.5947,0.7683,0.5639,Yes
709,JUPITER MEDICAL CENTER (100253),2019,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,-1.1992,-1.9247,-1.0169,-1.4406,-1.3113,-0.7368,-0.7368,-1.3786,-1.2823,No
710,CAPITAL REGIONAL MEDICAL CENTER (100254),2019,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,-0.7893,-0.6869,-0.0437,1.1594,0.252,-0.3539,-0.3539,-0.0217,-0.0715,No
711,TAMPA COMMUNITY HOSPITAL (100255),2019,Acute Care,Proprietary,208.0,,,FL,0.997,-0.6814,-0.8433,-1.4406,-1.4966,-0.4588,-0.4588,-0.693,-0.6579,No
