,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI W Z Score,CDI W Z Score,CLABSI W Z Score,MRSA W Z Score,SSI W Z Score,PSI-90 W Z Score,Total HAC Score,Payment Reduction
754,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS (110025),2021,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,1.8581,1.0276,0.9148,1.1703,-0.3113,1.0959,0.9592,Yes
755,"TY COBB REGIONAL MEDICAL CENTER, LLC (110027)",2021,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,-1.5517,0.031,,,,-0.1975,-0.5727,No
756,UNIVERSITY HOSPITAL (110028),2021,Acute Care,Voluntary non-profit - Other,530.0,33.472989,-81.981332,GA,0.7654,0.518,0.1578,0.7253,0.1602,-1.1455,0.1969,No
757,"NORTHEAST GEORGIA MEDICAL CENTER, INC (110029)",2021,Acute Care,Government - Local,856.0,34.30335,-83.81737,GA,0.6587,0.4406,-0.724,0.0065,-0.2688,-0.6474,-0.0891,No
758,CARTERSVILLE MEDICAL CENTER (110030),2021,Acute Care,Voluntary non-profit - Private,116.0,,,GA,-1.5517,-0.6592,-0.853,-1.4868,-1.0842,0.7535,-0.8136,No
759,WELLSTAR SPALDING REGIONAL HOSPITAL (110031),2021,Acute Care,Proprietary,160.0,33.239215,-84.265671,GA,2.1532,-1.301,1.6136,1.3453,2.0795,-0.4324,0.9097,Yes
760,STEPHENS COUNTY HOSPITAL (110032),2021,Acute Care,Government - Hospital District or Authority,75.0,34.59302,-83.347172,GA,1.385,-0.943,-1.3958,,-1.4855,-0.4371,-0.5753,No
761,AU Medical Center (110034),2021,Acute Care,Voluntary non-profit - Other,481.0,33.471029,-81.991453,GA,0.1061,2.0113,0.9627,0.4069,2.0795,2.3824,1.3248,Yes
762,WELLSTAR KENNESTONE HOSPITAL (110035),2021,Acute Care,Voluntary non-profit - Other,617.0,33.968128,-84.551241,GA,0.1103,-1.3526,-0.0751,0.1741,1.8022,0.7432,0.2337,No
763,MEMORIAL UNIVERSITY MEDICAL CENTER (110036),2021,Acute Care,Voluntary non-profit - Other,534.0,32.031785,-81.091827,GA,0.194,0.8986,0.3367,-0.459,1.2197,1.1331,0.5539,Yes
764,JOHN D ARCHBOLD MEMORIAL HOSPITAL (110038),2021,Acute Care,Voluntary non-profit - Private,328.0,,,GA,1.2176,0.8212,1.2372,0.5428,-0.2706,1.3357,0.814,Yes
765,NORTHRIDGE MEDICAL CENTER (110040),2021,Acute Care,Government - Hospital District or Authority,217.0,34.218475,-83.469116,GA,,,,,,0.002,0.002,No
766,HABERSHAM COUNTY MEDICAL CTR (110041),2021,Acute Care,Government - Hospital District or Authority,137.0,34.405879,-83.485989,GA,-1.5517,1.0405,,,,-0.3753,-0.2955,No
767,WELLSTAR PAULDING HOSPITAL (110042),2021,Acute Care,Voluntary non-profit - Other,259.0,33.902429,-84.782727,GA,-0.9719,-1.101,0.5488,0.5056,0.236,-0.9336,-0.286,No
768,ST JOSEPH'S HOSPITAL - SAVANNAH (110043),2021,Acute Care,Voluntary non-profit - Private,246.0,31.985079,-81.152792,GA,0.0014,1.0179,-0.7282,-0.3119,-0.034,-0.2611,-0.0526,No
769,PHOEBE SUMTER MEDICAL CENTER (110044),2021,Acute Care,Government - Hospital District or Authority,54.0,32.06425,-84.255376,GA,-0.323,0.6309,,,-1.4855,-0.0104,-0.297,No
770,BARROW REGIONAL MEDICAL CENTER (110045),2021,Acute Care,Proprietary,55.0,34.007701,-83.706706,GA,,0.6051,,,,-0.0697,0.2677,No
771,PIEDMONT WALTON HOSPITAL (110046),2021,Acute Care,Proprietary,81.0,33.798635,-83.746316,GA,-0.3125,-1.5203,-1.3958,,1.4379,-0.0859,-0.3753,No
772,ADVENTHEALTH MURRAY (110050),2021,Acute Care,Voluntary non-profit - Private,28.0,34.779951,-84.782125,GA,,,,,,-0.0496,-0.0496,No
773,UNION GENERAL HOSPITAL (110051),2021,Acute Care,Government - Hospital District or Authority,190.0,34.884842,-83.963026,GA,-1.5517,0.9212,,,0.3192,-0.9502,-0.3154,No
774,FLOYD MEDICAL CENTER (110054),2021,Acute Care,Government - Hospital District or Authority,293.0,34.260454,-85.179957,GA,0.1794,0.1762,0.2098,0.094,0.3747,-1.5047,-0.0785,No
775,PIEDMONT COLUMBUS REGIONAL MIDTOWN (110064),2021,Acute Care,Voluntary non-profit - Other,367.0,32.481728,-84.982008,GA,1.5901,0.3181,0.867,2.2,0.7038,0.7483,1.0712,Yes
776,HOUSTON MEDICAL CENTER (110069),2021,Acute Care,Voluntary non-profit - Private,236.0,32.618198,-83.62941,GA,-0.9279,-0.0238,0.006,-0.068,-1.4855,-0.6076,-0.5178,No
777,APPLING HOSPITAL (110071),2021,Acute Care,Government - Hospital District or Authority,158.0,31.768768,-82.349351,GA,,0.6341,,,,-0.0707,0.2817,No
778,DORMINY MEDICAL CENTER (110073),2021,Acute Care,Government - Hospital District or Authority,60.0,31.697918,-83.260975,GA,,-1.946,,,,0.7609,-0.5926,No
779,PIEDMONT ATHENS REGIONAL MEDICAL CENTER (110074),2021,Acute Care,Voluntary non-profit - Other,350.0,33.962377,-83.397733,GA,-0.8588,-0.814,-0.4495,-0.1108,0.1232,0.9111,-0.1998,No
780,EAST GEORGIA REGIONAL MEDICAL CENTER (110075),2021,Acute Care,Proprietary,146.0,32.415171,-81.76865,GA,-0.5302,-1.0623,-1.3958,-1.4868,-0.8106,-0.1027,-0.8981,No
781,EMORY DECATUR HOSPITAL (110076),2021,Acute Care,Voluntary non-profit - Private,431.0,33.79216,-84.282679,GA,-0.0718,1.8017,-0.3663,-0.3845,0.3969,2.1963,0.5954,Yes
782,EMORY UNIVERSITY HOSPITAL MIDTOWN (110078),2021,Acute Care,Voluntary non-profit - Private,481.0,33.769592,-84.385188,GA,-0.8107,0.7212,-0.3663,-0.0158,0.7168,1.4756,0.2868,No
783,GRADY MEMORIAL HOSPITAL (110079),2021,Acute Care,Voluntary non-profit - Other,938.0,33.752156,-84.382609,GA,-0.0321,-0.0561,0.7027,0.2449,1.4361,0.6808,0.496,Yes
784,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC (110082)",2021,Acute Care,Voluntary non-profit - Private,294.0,33.908634,-84.35182,GA,0.3217,-0.6947,-0.0377,-0.5837,-0.3095,-0.0952,-0.2332,No
785,PIEDMONT HOSPITAL (110083),2021,Acute Care,Voluntary non-profit - Private,512.0,33.808802,-84.393369,GA,-0.8861,-0.9914,0.3845,-0.4255,0.9479,0.5127,-0.0763,No
786,WASHINGTON COUNTY REGIONAL MEDICAL CENTER (110086),2021,Acute Care,Government - Hospital District or Authority,115.0,32.996817,-82.805042,GA,,,,,,-0.018,-0.018,No
787,NORTHSIDE HOSPITAL GWINNETT (110087),2021,Acute Care,Government - Hospital District or Authority,553.0,33.966455,-84.013012,GA,0.4075,0.2342,-0.1251,-0.3715,-0.0654,1.6591,0.2898,No
788,"COFFEE REGIONAL MEDICAL CENTER, INC (110089)",2021,Acute Care,Government - Hospital District or Authority,86.0,31.509589,-82.86346,GA,-0.5805,1.3179,0.3699,-0.4236,-0.3612,-0.5671,-0.0408,No
789,PIEDMONT ROCKDALE HOSPITAL (110091),2021,Acute Care,Proprietary,141.0,33.682239,-84.001941,GA,1.0773,-1.559,0.1474,0.3324,0.641,0.2184,0.1429,No
790,DODGE COUNTY HOSPITAL (110092),2021,Acute Care,Government - Hospital District or Authority,49.0,32.186055,-83.178591,GA,0.1291,0.4148,,,,1.0422,0.5287,Yes
791,TIFT REGIONAL MEDICAL CENTER (110095),2021,Acute Care,Government - Hospital District or Authority,185.0,31.470402,-83.491076,GA,-0.4612,-0.9172,2.067,1.7997,-1.2211,-0.7687,0.0831,No
792,JEFFERSON HOSPITAL (110100),2021,Acute Care,Government - Hospital District or Authority,38.0,33.00976,-82.404384,GA,,,,,,-0.0352,-0.0352,No
793,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR (110101),2021,Acute Care,Proprietary,134.0,31.109181,-83.426372,GA,,,,,,0.0725,0.0725,No
794,CRISP REGIONAL HOSPITAL (110104),2021,Acute Care,Government - Hospital District or Authority,210.0,31.977515,-83.782846,GA,-0.8505,-0.4399,-1.3958,,0.0899,-0.4943,-0.6181,No
795,COLQUITT REGIONAL MEDICAL CENTER (110105),2021,Acute Care,Government - Hospital District or Authority,132.0,31.126747,-83.782918,GA,-0.5972,0.0342,-1.3958,-0.0996,-1.4855,-0.108,-0.6086,No
796,"MEDICAL CENTER, NAVICENT HEALTH (THE) (110107)",2021,Acute Care,Government - Hospital District or Authority,615.0,32.833202,-83.636553,GA,-0.8358,0.4471,0.1183,1.4105,0.358,1.1529,0.4418,Yes
797,EMANUEL MEDICAL CENTER (110109),2021,Acute Care,Government - Hospital District or Authority,97.0,32.59321,-82.346552,GA,,-1.946,,,,-0.1829,-1.0645,No
798,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER (110111),2021,Acute Care,Government - Hospital District or Authority,25.0,33.523226,-82.504478,GA,,0.1955,,,,0.3071,0.2513,No
799,BURKE MEDICAL CENTER (110113),2021,Acute Care,Proprietary,40.0,33.083439,-82.011603,GA,,,,,,0.0742,0.0742,No
800,WELLSTAR ATLANTA MEDICAL CENTER (110115),2021,Acute Care,Proprietary,517.0,33.76327,-84.373986,GA,0.1898,-1.8815,0.7963,2.146,1.7596,-0.3038,0.4511,Yes
801,GRADY GENERAL HOSPITAL (110121),2021,Acute Care,Voluntary non-profit - Private,45.0,30.863393,-84.200261,GA,,1.6501,,,-1.4855,-0.294,-0.0431,No
802,SOUTH GEORGIA MEDICAL CENTER (110122),2021,Acute Care,Government - Hospital District or Authority,312.0,30.86175,-83.288863,GA,0.0014,-0.0948,0.449,0.3287,-1.1101,-0.5077,-0.1556,No
803,WAYNE MEMORIAL HOSPITAL (110124),2021,Acute Care,Government - Hospital District or Authority,102.0,31.602952,-81.899094,GA,-0.7207,-0.4108,-1.3958,,-1.4855,-0.5735,-0.9173,No
804,FAIRVIEW PARK HOSPITAL (110125),2021,Acute Care,Proprietary,154.0,32.53429,-82.950571,GA,0.9266,0.9051,1.7696,0.2393,-0.2466,-0.8443,0.4583,Yes
805,MEADOWS REGIONAL MEDICAL CENTER (110128),2021,Acute Care,Proprietary,64.0,,,GA,-0.6098,1.1631,2.1169,-0.3938,-0.8032,2.3824,0.6426,Yes
806,ST FRANCIS HOSPITAL- EMORY HEALTHCARE (110129),2021,Acute Care,Voluntary non-profit - Private,325.0,32.506927,-84.961378,GA,-0.5784,0.5083,1.4348,0.7253,-0.1893,0.414,0.3858,Yes
807,IRWIN COUNTY HOSPITAL (110130),2021,Acute Care,Government - Hospital District or Authority,64.0,31.602797,-83.250331,GA,,,,,0.9941,0.0883,0.5412,Yes
808,MEMORIAL HOSPITAL AND MANOR (110132),2021,Acute Care,Government - Hospital District or Authority,187.0,30.903781,-84.55367,GA,,-1.946,,,,-0.4082,-1.1771,No
809,TAYLOR REGIONAL HOSPITAL (110135),2021,Acute Care,Voluntary non-profit - Private,128.0,32.295625,-83.48581,GA,,0.3503,,,,-0.2745,0.0379,No
810,EVANS MEMORIAL HOSPITAL (110142),2021,Acute Care,Government - Hospital District or Authority,79.0,32.164133,-81.900403,GA,,,,,,0.0086,0.0086,No
811,WELLSTAR COBB HOSPITAL (110143),2021,Acute Care,Voluntary non-profit - Other,377.0,33.856701,-84.601561,GA,1.3599,-1.53,0.4136,0.0624,-0.3538,-0.0607,-0.0181,No
812,SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS (110146),2021,Acute Care,Government - Hospital District or Authority,40.0,30.781226,-81.616234,GA,,2.0113,,,-1.4855,0.0459,0.1906,No
813,NAVICENT HEALTH BALDWIN (110150),2021,Acute Care,Voluntary non-profit - Private,113.0,33.088431,-83.245145,GA,-0.8212,-0.1786,-1.3958,-1.4868,,-0.6071,-0.8979,No
814,PERRY HOSPITAL (110153),2021,Acute Care,Voluntary non-profit - Private,39.0,32.459475,-83.711227,GA,0.2694,-1.946,,,,-0.5382,-0.7383,No
815,NORTHSIDE HOSPITAL (110161),2021,Acute Care,Voluntary non-profit - Private,558.0,33.907895,-84.354754,GA,-0.3544,-0.5398,-0.8862,-0.5446,-0.4685,2.2131,-0.0968,No
816,"COLISEUM MEDICAL CENTERS, LLC, DBA (110164)",2021,Acute Care,Voluntary non-profit - Private,257.0,32.847315,-83.62027,GA,-0.4737,0.4084,0.0767,0.7886,-0.3797,-1.5047,-0.1808,No
817,SOUTHERN REGIONAL MEDICAL CENTER (110165),2021,Acute Care,Voluntary non-profit - Private,272.0,33.577524,-84.390432,GA,-1.0577,-1.5526,0.3658,1.0269,-1.0399,-1.2606,-0.5863,No
818,REDMOND REGIONAL MEDICAL CENTER (110168),2021,Acute Care,Proprietary,225.0,34.278191,-85.194131,GA,-0.0132,-0.4205,-0.5764,-0.3715,-0.2799,-1.1042,-0.4609,No
819,DOCTORS HOSPITAL (110177),2021,Acute Care,Proprietary,292.0,33.482477,-82.091092,GA,-0.457,-0.3076,-0.2831,1.0325,-1.0509,0.367,-0.1165,No
820,WELLSTAR DOUGLAS HOSPITAL (110184),2021,Acute Care,Voluntary non-profit - Private,102.0,33.738973,-84.73305,GA,1.1631,-1.7042,0.9897,-0.0568,1.0884,-1.4579,0.0037,No
821,FANNIN REGIONAL HOSPITAL (110189),2021,Acute Care,Proprietary,50.0,34.916923,-84.375509,GA,,-0.3012,,,-0.3908,-0.2857,-0.3259,No
822,FLINT RIVER COMMUNITY HOSPITAL (110190),2021,Acute Care,Proprietary,47.0,32.295415,-84.030228,GA,,,,,,0.1155,0.1155,No
823,PIEDMONT HENRY HOSPITAL (110191),2021,Acute Care,Government - Hospital District or Authority,310.0,33.508996,-84.225561,GA,-1.0975,-1.6525,0.5862,1.7978,-0.4426,0.3692,-0.0732,No
824,EASTSIDE MEDICAL CENTER (110192),2021,Acute Care,Proprietary,276.0,33.877259,-84.019645,GA,1.182,-0.5721,0.1932,-0.7066,-0.2281,0.2767,0.0242,No
825,DONALSONVILLE HOSPITAL INC (110194),2021,Acute Care,Voluntary non-profit - Private,138.0,31.050707,-84.880123,GA,,0.4535,,,,-0.1117,0.1709,No
826,WELLSTAR NORTH FULTON HOSPITAL (110198),2021,Acute Care,Proprietary,201.0,34.062989,-84.322477,GA,0.3049,-1.2526,-0.1022,-0.0195,2.0795,-1.1111,-0.0168,No
827,PIEDMONT COLUMBUS REGIONAL NORTHSIDE (110200),2021,Acute Care,Proprietary,93.0,32.53588,-84.954383,GA,-0.773,-0.0496,,,0.1787,-0.8851,-0.3823,No
828,COLISEUM NORTHSIDE HOSPITAL (110201),2021,Acute Care,Proprietary,86.0,32.869861,-83.694361,GA,1.3055,0.418,-1.3958,,-1.4855,-1.1833,-0.4682,No
829,TURNING POINT HOSPITAL (110209),2021,Acute Care,Proprietary,64.0,31.129247,-83.77355,GA,,-1.946,,,,-0.4327,-1.1894,No
830,PIEDMONT FAYETTE HOSPITAL (110215),2021,Acute Care,Voluntary non-profit - Private,218.0,33.450593,-84.510526,GA,-0.6558,-1.5751,-0.0419,0.0661,0.9645,1.7882,0.091,No
831,PIEDMONT MOUNTAINSIDE HOSPITAL INC (110225),2021,Acute Care,Voluntary non-profit - Other,50.0,34.447466,-84.446561,GA,-0.2581,-1.946,-1.3958,,-1.4855,-1.1876,-1.2546,No
832,EMORY HILLANDALE HOSPITAL (110226),2021,Acute Care,Government - Hospital District or Authority,92.0,33.705488,-84.146927,GA,-1.5517,0.3987,0.1162,0.4143,0.3359,1.2361,0.1582,No
833,"PIEDMONT NEWNAN HOSPITAL, INC (110229)",2021,Acute Care,Voluntary non-profit - Private,145.0,33.359363,-84.754062,GA,-1.5517,-1.7977,-0.6408,-1.4868,1.1458,-0.4802,-0.8019,No
834,EMORY JOHNS CREEK HOSPITAL (110230),2021,Acute Care,Proprietary,122.0,34.067466,-84.175187,GA,0.8701,-0.6011,0.1474,-0.2542,0.0936,-0.433,-0.0295,No
835,SOUTHEASTERN REGIONAL MEDICAL CENTER (110233),2021,Acute Care,Proprietary,46.0,33.386391,-84.757419,GA,,-0.5011,,,-0.8457,-0.5251,-0.624,No
836,SGMC BERRIEN CAMPUS (110234),2021,Acute Care,Government - Hospital District or Authority,54.0,31.203629,-83.238337,GA,,,,,,0.0691,0.0691,No
837,CHI MEMORIAL HOSPITAL- GEORGIA (110236),2021,Acute Care,Voluntary non-profit - Private,28.0,34.94777,-85.262756,GA,,,,,,0.0325,0.0325,No
838,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN (110237),2021,Acute Care,Voluntary non-profit - Other,24.0,,,GA,,,,,,,,No
839,THE QUEENS MEDICAL CENTER (120001),2021,Acute Care,Voluntary non-profit - Private,585.0,21.308307,-157.854965,HI,-0.3711,-0.1464,-0.905,-0.8053,0.3821,0.0518,-0.299,No
840,MAUI MEMORIAL MEDICAL CENTER (120002),2021,Acute Care,Government - State,217.0,20.884455,-156.488087,HI,2.1532,-0.0948,0.3055,-0.7457,-0.18,-0.3755,0.1771,No
841,WAHIAWA GENERAL HOSPITAL (120004),2021,Acute Care,Voluntary non-profit - Private,157.0,21.498511,-158.027299,HI,,-1.3429,,,,-0.2676,-0.8053,No
842,HILO MEDICAL CENTER (120005),2021,Acute Care,Government - State,264.0,19.717467,-155.113513,HI,-0.1681,-0.3076,-1.1504,-1.0958,-1.0251,0.8949,-0.4753,No
843,ADVENTIST HEALTH CASTLE (120006),2021,Acute Care,Voluntary non-profit - Church,160.0,21.381502,-157.757229,HI,-0.6119,-0.5205,-0.2353,0.0419,-1.4855,1.3194,-0.2486,No
844,KUAKINI MEDICAL CENTER (120007),2021,Acute Care,Voluntary non-profit - Private,342.0,21.322211,-157.856211,HI,0.3342,-0.6753,-1.3958,-1.4868,-1.4855,0.5654,-0.6906,No
845,KAISER FOUNDATION HOSPITAL (120011),2021,Acute Care,Voluntary non-profit - Private,283.0,21.362292,-157.900139,HI,0.4954,1.4082,-0.2415,0.6359,-0.4334,-0.3904,0.2457,No
846,WILCOX MEMORIAL HOSPITAL (120014),2021,Acute Care,Government - Federal,72.0,21.987043,-159.366198,HI,1.722,-0.2173,-0.0127,-0.5614,1.1014,-0.7874,0.2074,No
847,KONA COMMUNITY HOSPITAL (120019),2021,Acute Care,Government - State,93.0,19.519237,-155.917719,HI,1.8371,-0.5463,-0.568,-1.4868,,-0.4496,-0.2427,No
848,STRAUB CLINIC AND HOSPITAL (120022),2021,Acute Care,Proprietary,159.0,21.302268,-157.850921,HI,-1.2419,-0.8785,-1.3958,-0.3379,-0.6737,-1.3212,-0.9748,No
849,PALI MOMI MEDICAL CENTER (120026),2021,Acute Care,Proprietary,121.0,21.383988,-157.937675,HI,-1.5517,-1.8396,-1.1192,-1.4868,-1.4855,-1.5047,-1.4979,No
850,NORTH HAWAII COMMUNITY HOSPITAL (120028),2021,Acute Care,Voluntary non-profit - Private,34.0,,,HI,,1.6694,,,0.4505,-0.5928,0.509,Yes
851,ST LUKES MAGIC VALLEY MEDICAL CENTER (130002),2021,Acute Care,Voluntary non-profit - Private,205.0,42.591595,-114.496998,ID,-0.1786,-0.3399,-1.1233,-1.4868,-0.1468,-0.8498,-0.6875,No
852,ST JOSEPH REGIONAL MEDICAL CENTER (130003),2021,Acute Care,Voluntary non-profit - Private,122.0,46.417121,-117.024997,ID,-1.5517,0.3019,-1.3958,,1.1883,-0.075,-0.3065,No
853,ST LUKE'S REGIONAL MEDICAL CENTER (130006),2021,Acute Care,Voluntary non-profit - Private,569.0,43.612157,-116.192202,ID,0.914,0.7373,0.0808,-0.8463,0.5633,-0.9551,0.0824,No
854,SAINT ALPHONSUS REGIONAL MEDICAL CENTER (130007),2021,Acute Care,Voluntary non-profit - Church,380.0,43.614072,-116.253622,ID,0.5373,-0.2238,-0.541,-0.7401,0.8887,-0.9756,-0.1758,No
855,SAINT ALPHONSUS MEDICAL CENTER - NAMPA (130013),2021,Acute Care,Voluntary non-profit - Church,128.0,43.596332,-116.519174,ID,-0.5428,-0.0915,-0.6658,-0.5726,-0.3428,1.1965,-0.1698,No
856,WEST VALLEY MEDICAL CENTER (130014),2021,Acute Care,Proprietary,108.0,43.65422,-116.69564,ID,-0.5072,-1.301,-1.3958,,-0.8309,-0.7467,-0.9563,No
857,EASTERN IDAHO REGIONAL MEDICAL CENTER (130018),2021,Acute Care,Proprietary,313.0,43.470276,-111.990159,ID,1.4038,0.2471,0.1973,-1.4868,0.3155,-1.1405,-0.0772,No
858,MADISON MEMORIAL HOSPITAL (130025),2021,Acute Care,Government - Local,68.0,43.826051,-111.773148,ID,-0.0509,-1.4816,,,-1.4855,-0.9186,-0.9841,No
859,PORTNEUF MEDICAL CENTER (130028),2021,Acute Care,Proprietary,168.0,42.872621,-112.4189,ID,0.4347,-0.1399,0.0434,-0.2355,-0.1597,-0.3358,-0.0655,No
860,KOOTENAI HEALTH (130049),2021,Acute Care,Government - Hospital District or Authority,286.0,47.694597,-116.792669,ID,-0.6328,0.202,-0.6242,-1.2298,0.6835,0.2509,-0.2251,No
861,TREASURE VALLEY HOSPITAL (130063),2021,Acute Care,Proprietary,11.0,43.611289,-116.290332,ID,,,,,,-0.3777,-0.3777,No
862,MOUNTAIN VIEW HOSPITAL (130065),2021,Acute Care,Proprietary,41.0,43.472524,-111.988717,ID,,-1.946,,,-0.6146,-0.9549,-1.1718,No
863,NORTHWEST SPECIALTY HOSPITAL (130066),2021,Acute Care,Proprietary,34.0,47.71441,-116.924455,ID,,,,,-0.3797,-0.798,-0.5888,No
864,ST LUKE'S NAMPA MEDICAL CENTER (130071),2021,Acute Care,Voluntary non-profit - Private,82.0,43.616618,-116.590734,ID,-1.5517,0.331,,,0.4302,-0.6156,-0.3515,No
865,GROVE CREEK MEDICAL CENTER (130073),2021,Acute Care,Voluntary non-profit - Private,8.0,43.196301,-112.356124,ID,,,,,,,,No
866,"IDAHO FALLS COMMUNITY HOSPITAL, LLC (130074)",2021,Acute Care,Proprietary,88.0,,,ID,,,,,,,,No
867,GRAHAM HOSPITAL ASSOCIATION (140001),2021,Acute Care,Voluntary non-profit - Other,86.0,40.553293,-90.038115,IL,0.8199,0.9051,,,-1.4855,-0.9553,-0.179,No
868,ALTON MEMORIAL HOSPITAL (140002),2021,Acute Care,Voluntary non-profit - Private,157.0,,,IL,-0.5846,0.776,-1.3958,-0.8556,1.7744,0.789,0.0839,No
869,PRESENCE SAINT JOSEPH MEDICAL CENTER (140007),2021,Acute Care,Voluntary non-profit - Church,457.0,41.528248,-88.134645,IL,1.8225,-0.8333,-0.281,-0.9841,-0.5979,-0.7894,-0.2772,No
870,GOTTLIEB MEMORIAL HOSPITAL (140008),2021,Acute Care,Voluntary non-profit - Private,227.0,41.908342,-87.841101,IL,-1.087,-1.0978,-0.7053,-0.837,-0.9844,-1.2536,-0.9942,No
871,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL (140010),2021,Acute Care,Voluntary non-profit - Other,737.0,42.0653,-87.683293,IL,-0.0195,-0.427,-1.1005,0.6359,-0.3501,1.9582,0.1162,No
872,SOUTHERN ILLINOIS HOSPITAL SERVICES DBA HERRIN HOSPITAL (140011),2021,Acute Care,Voluntary non-profit - Private,113.0,37.801613,-89.026508,IL,-0.8191,2.0113,-0.6388,2.2,0.7149,-0.7516,0.4528,Yes
873,KATHERINE SHAW BETHEA HOSPITAL (140012),2021,Acute Care,Voluntary non-profit - Private,80.0,41.84423,-89.480131,IL,2.1532,1.2211,,,2.0795,-0.7832,1.1677,Yes
874,PROCTOR HOSPITAL (140013),2021,Acute Care,Voluntary non-profit - Private,162.0,40.752496,-89.593254,IL,-1.0054,0.8986,1.6948,1.5185,-1.4855,-0.9343,0.1145,No
875,BLESSING HOSPITAL (140015),2021,Acute Care,Voluntary non-profit - Private,310.0,40.393084,-91.344081,IL,-0.1095,1.1727,0.0018,0.027,0.0918,-0.2566,0.1545,No
876,MT SINAI HOSPITAL MEDICAL CENTER (140018),2021,Acute Care,Voluntary non-profit - Private,280.0,,,IL,2.1532,0.8921,0.3741,0.3156,1.4287,1.379,1.0905,Yes
877,HSHS GOOD SHEPHERD HOSPITAL INC (140019),2021,Acute Care,Voluntary non-profit - Private,30.0,39.405801,-88.807113,IL,,,,,,-0.0169,-0.0169,No
878,COPLEY MEMORIAL HOSPITAL (140029),2021,Acute Care,Voluntary non-profit - Private,210.0,41.727722,-88.268415,IL,-0.6642,0.7115,-0.5597,-1.1386,0.0918,-0.6343,-0.3656,No
879,ADVOCATE SHERMAN HOSPITAL (140030),2021,Acute Care,Voluntary non-profit - Private,255.0,42.070221,-88.331468,IL,-0.4612,0.131,-0.4412,-1.4868,-0.5998,-0.1259,-0.4973,No
880,ST ANTHONYS MEMORIAL HOSPITAL (140032),2021,Acute Care,Voluntary non-profit - Church,137.0,39.124496,-88.549274,IL,-1.5517,-0.1754,-1.3958,,-1.4855,0.9792,-0.7258,No
881,LAKE BEHAVIORAL HOSPITAL (140033),2021,Acute Care,Voluntary non-profit - Church,78.0,42.359402,-87.866605,IL,,,,,,,,No
882,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA (140034),2021,Acute Care,Voluntary non-profit - Church,112.0,38.530809,-89.115999,IL,-0.6872,-0.7495,-0.2727,-1.4868,0.983,-0.306,-0.4199,No
883,GALESBURG COTTAGE HOSPITAL (140040),2021,Acute Care,Proprietary,128.0,40.955483,-90.366199,IL,-0.637,1.3534,-1.3958,,,0.459,-0.0551,No
884,CGH MEDICAL CENTER (140043),2021,Acute Care,Government - Local,94.0,41.801564,-89.696733,IL,0.7759,0.7341,-0.5493,-0.3212,-0.7126,0.1801,0.0178,No
885,SSM HEALTH - GOOD SAMARITAN HOSPITAL (140046),2021,Acute Care,Voluntary non-profit - Private,129.0,38.3149,-88.93,IL,-0.3314,-0.4624,0.8628,-0.8668,-0.7495,0.9304,-0.1028,No
886,ADVOCATE TRINITY HOSPITAL (140048),2021,Acute Care,Voluntary non-profit - Other,237.0,41.726211,-87.56725,IL,0.0307,0.8051,-0.1188,-1.4868,0.4246,0.1167,-0.0381,No
887,WEST SUBURBAN MEDICAL CENTER (140049),2021,Acute Care,Voluntary non-profit - Other,183.0,41.89184,-87.777471,IL,-1.0661,0.7567,0.1245,-0.8854,-1.001,0.1143,-0.3262,No
888,OSF SAINT ANTHONY'S HEALTH CENTER (140052),2021,Acute Care,Voluntary non-profit - Church,104.0,,,IL,-0.7542,2.0113,-0.6076,,-0.5591,-0.6366,-0.1092,No
889,ST JOHNS HOSPITAL (140053),2021,Acute Care,Voluntary non-profit - Church,409.0,39.807289,-89.644833,IL,-0.9133,-0.3334,-0.9258,-0.2523,0.3654,1.5035,-0.0926,No
890,MACNEAL  HOSPITAL (140054),2021,Acute Care,Proprietary,319.0,41.832002,-87.792783,IL,-1.3654,1.8597,0.0704,-0.4124,-1.1175,0.155,-0.135,No
891,PASSAVANT AREA HOSPITAL (140058),2021,Acute Care,Voluntary non-profit - Private,111.0,39.745268,-90.259912,IL,-0.6181,1.7533,0.5904,,0.9368,-0.6135,0.4098,Yes
892,JERSEY COMMUNITY HOSPITAL (140059),2021,Acute Care,Government - Local,46.0,39.109906,-90.341622,IL,,,,,,-0.235,-0.235,No
893,PALOS COMMUNITY HOSPITAL (140062),2021,Acute Care,Voluntary non-profit - Private,386.0,41.668955,-87.815976,IL,-0.637,1.2437,-0.6866,-0.8034,0.456,0.616,0.0315,No
