,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
276,SUTTER SOLANO MEDICAL CENTER (050101),2016,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,100.0,17.0,20.0,406.0,98.0,42.0,94.0,36.0,,,82.0,17.0,84.0,1063.0,,,99.0,418.0,,,1.0,37634.0,5.0,16.0,,,,,204.0,583.0,114.0,393.0,385.0,586.0,42.0,92.0,0.0,89.0,,,93.0,14.0
277,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2016,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,97.0,37.0,39.0,794.0,38.0,69.0,,,,,55.0,11.0,75.0,1999.0,,,94.0,455.0,,,5.0,48821.0,35.0,43.0,,,48.0,11.0,130.0,506.0,172.0,716.0,351.0,506.0,86.0,195.0,13.0,119.0,,,100.0,17.0
278,WHITE MEMORIAL MEDICAL CENTER (050103),2016,Acute Care,Voluntary non-profit - Church,352.0,,,CA,97.0,39.0,17.0,382.0,87.0,169.0,41.0,75.0,,,92.0,24.0,63.0,2866.0,0.0,27.0,86.0,496.0,,,1.0,60944.0,12.0,42.0,,,,,376.0,517.0,232.0,346.0,558.0,558.0,31.0,230.0,0.0,104.0,100.0,35.0,100.0,33.0
279,SAINT FRANCIS MEDICAL CENTER (050104),2016,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,83.0,23.0,50.0,370.0,99.0,107.0,93.0,14.0,,,70.0,33.0,80.0,3615.0,0.0,18.0,96.0,448.0,,,8.0,81881.0,7.0,26.0,,,,,151.0,501.0,238.0,342.0,478.0,501.0,108.0,227.0,3.0,211.0,100.0,35.0,90.0,41.0
280,MARIAN REGIONAL MEDICAL CENTER (050107),2016,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,100.0,45.0,14.0,816.0,,,,,,,96.0,24.0,78.0,3982.0,0.0,15.0,100.0,759.0,,,1.0,104725.0,9.0,49.0,,,,,120.0,1023.0,118.0,786.0,273.0,1033.0,35.0,362.0,0.0,74.0,96.0,23.0,100.0,38.0
281,"SUTTER MEDICAL CENTER, SACRAMENTO (050108)",2016,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,96.0,47.0,16.0,408.0,93.0,72.0,96.0,72.0,,,73.0,15.0,92.0,4755.0,0.0,22.0,97.0,479.0,,,2.0,75314.0,9.0,47.0,,,,,262.0,412.0,189.0,367.0,524.0,415.0,54.0,212.0,1.0,640.0,81.0,31.0,91.0,89.0
282,LOMPOC VALLEY MEDICAL CENTER (050110),2016,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,92.0,91.0,52.0,386.0,96.0,124.0,62.0,134.0,,,55.0,11.0,89.0,719.0,,,88.0,276.0,,,4.0,24919.0,12.0,94.0,,,,,101.0,346.0,159.0,371.0,268.0,346.0,52.0,132.0,5.0,66.0,,,,
283,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2016,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,87.0,15.0,31.0,383.0,89.0,27.0,92.0,24.0,,,,,87.0,2137.0,0.0,29.0,99.0,481.0,,,1.0,48879.0,5.0,15.0,,,,,277.0,514.0,150.0,358.0,369.0,516.0,59.0,154.0,0.0,30.0,,,100.0,29.0
284,SAN MATEO MEDICAL CENTER (050113),2016,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,98.0,42.0,80.0,255.0,,,100.0,53.0,,,,,73.0,1575.0,,,100.0,277.0,,,2.0,41818.0,11.0,43.0,,,,,175.0,512.0,137.0,351.0,372.0,513.0,52.0,101.0,,,,,100.0,19.0
285,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2016,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,96.0,45.0,37.0,436.0,43.0,111.0,25.0,32.0,,,73.0,26.0,90.0,4520.0,0.0,36.0,93.0,504.0,,,3.0,114819.0,8.0,47.0,,,,,128.0,657.0,208.0,396.0,352.0,657.0,80.0,486.0,0.0,65.0,100.0,68.0,98.0,124.0
286,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2016,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,91.0,11.0,14.0,412.0,,,,,,,91.0,23.0,75.0,2653.0,0.0,11.0,100.0,544.0,,,4.0,61110.0,0.0,13.0,,,,,186.0,858.0,189.0,377.0,392.0,860.0,37.0,195.0,1.0,74.0,93.0,15.0,98.0,45.0
287,DOCTORS HOSPITAL OF MANTECA (050118),2016,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,96.0,26.0,46.0,410.0,82.0,111.0,75.0,106.0,,,94.0,16.0,87.0,900.0,,,93.0,404.0,,,2.0,34787.0,12.0,27.0,,,,,84.0,541.0,158.0,423.0,257.0,541.0,67.0,89.0,5.0,58.0,,,,
288,ADVENTIST MEDICAL CENTER (050121),2016,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,90.0,121.0,15.0,832.0,47.0,113.0,79.0,108.0,,,52.0,23.0,91.0,2611.0,,,90.0,1149.0,,,1.0,123048.0,17.0,121.0,,,66.0,41.0,129.0,1475.0,136.0,782.0,312.0,1480.0,86.0,451.0,0.0,22.0,,,90.0,40.0
289,DAMERON HOSPITAL (050122),2016,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,,,28.0,499.0,90.0,90.0,72.0,86.0,,,65.0,17.0,89.0,1527.0,,,94.0,627.0,,,9.0,38503.0,,,,,,,231.0,611.0,162.0,465.0,440.0,612.0,76.0,188.0,6.0,54.0,,,96.0,28.0
290,USC VERDUGO HILLS HOSPITAL (050124),2016,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,100.0,17.0,23.0,383.0,97.0,151.0,83.0,35.0,,,91.0,11.0,87.0,1302.0,,,93.0,458.0,,,1.0,23067.0,5.0,18.0,,,,,132.0,602.0,164.0,346.0,362.0,604.0,40.0,120.0,6.0,67.0,,,,
291,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2016,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,98.0,42.0,6.0,501.0,100.0,28.0,100.0,15.0,,,,,91.0,2145.0,0.0,14.0,99.0,674.0,,,0.0,90366.0,9.0,41.0,,,,,219.0,1369.0,130.0,459.0,365.0,1371.0,26.0,286.0,0.0,49.0,100.0,18.0,98.0,47.0
292,VALLEY PRESBYTERIAN HOSPITAL (050126),2016,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,96.0,26.0,28.0,735.0,19.0,465.0,44.0,59.0,,,,,65.0,3029.0,21.0,14.0,78.0,557.0,,,4.0,70578.0,11.0,25.0,,,,,196.0,474.0,166.0,532.0,314.0,526.0,42.0,42.0,1.0,189.0,85.0,20.0,83.0,18.0
293,WOODLAND MEMORIAL HOSPITAL (050127),2016,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,100.0,37.0,8.0,408.0,100.0,72.0,90.0,72.0,,,79.0,19.0,92.0,995.0,,,99.0,317.0,,,2.0,2266.0,6.0,38.0,,,,,70.0,355.0,125.0,385.0,269.0,355.0,28.0,137.0,0.0,26.0,,,100.0,12.0
294,TRI-CITY MEDICAL CENTER (050128),2016,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,98.0,117.0,51.0,381.0,,,,,,,73.0,15.0,87.0,3641.0,0.0,21.0,95.0,478.0,,,7.0,73319.0,0.0,120.0,,,,,114.0,552.0,250.0,342.0,394.0,558.0,64.0,229.0,2.0,312.0,85.0,59.0,90.0,71.0
295,ST BERNARDINE MEDICAL CENTER (050129),2016,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,92.0,80.0,17.0,375.0,,,,,,,,,81.0,2239.0,0.0,17.0,100.0,514.0,,,3.0,99268.0,0.0,80.0,,,,,240.0,596.0,136.0,360.0,509.0,599.0,34.0,228.0,2.0,60.0,100.0,16.0,91.0,22.0
296,NOVATO COMMUNITY HOSPITAL (050131),2016,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,,,17.0,409.0,89.0,18.0,,,,,89.0,18.0,90.0,545.0,,,100.0,303.0,100.0,71.0,1.0,15054.0,11.0,11.0,,,,,114.0,508.0,114.0,380.0,236.0,508.0,55.0,107.0,,,,,,
297,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2016,Acute Care,Physician,272.0,34.102461,-118.105572,CA,100.0,13.0,25.0,388.0,86.0,35.0,,,,,,,84.0,1812.0,,,96.0,482.0,,,0.0,28327.0,13.0,17.0,,,,,86.0,500.0,129.0,364.0,242.0,500.0,50.0,167.0,1.0,479.0,100.0,12.0,100.0,14.0
298,RIDEOUT MEMORIAL HOSPITAL (050133),2016,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,,,6.0,404.0,17.0,30.0,,,,,76.0,21.0,88.0,2665.0,,,99.0,462.0,,,1.0,62065.0,,,,,,,229.0,702.0,138.0,367.0,410.0,705.0,44.0,179.0,3.0,66.0,,,100.0,40.0
299,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2016,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,,,36.0,394.0,,,,,,,,,44.0,2913.0,,,83.0,933.0,,,4.0,25961.0,,,,,,,151.0,480.0,160.0,341.0,392.0,482.0,74.0,69.0,,,,,100.0,19.0
300,PETALUMA VALLEY HOSPITAL (050136),2016,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,95.0,74.0,29.0,382.0,52.0,52.0,78.0,27.0,,,68.0,19.0,57.0,1300.0,,,87.0,246.0,,,2.0,19280.0,6.0,79.0,,,,,177.0,361.0,170.0,348.0,354.0,361.0,62.0,91.0,7.0,42.0,,,92.0,13.0
301,KAISER FOUNDATION HOSPITAL - PANORAMA CITY (050137),2016,Acute Care,Voluntary non-profit - Private,218.0,34.219847,-118.430299,CA,,,,,,,,,,,,,94.0,3272.0,,,99.0,1127.0,,,,,,,,,,,91.0,1130.0,,,309.0,1132.0,,,0.0,148.0,100.0,18.0,100.0,32.0
302,KAISER FOUNDATION HOSPITAL - LOS ANGELES (050138),2016,Acute Care,Voluntary non-profit - Other,517.0,34.098141,-118.294825,CA,,,,,,,,,,,,,91.0,6452.0,2.0,43.0,94.0,1274.0,,,,,,,,,,,140.0,1008.0,,,432.0,1008.0,,,0.0,127.0,,,87.0,78.0
303,KAISER FOUNDATION HOSPITAL - DOWNEY (050139),2016,Acute Care,Voluntary non-profit - Other,358.0,33.917101,-118.128998,CA,,,,,,,,,,,,,93.0,4691.0,0.0,27.0,99.0,1152.0,,,,,,,,,,,121.0,1189.0,,,417.0,1191.0,,,1.0,164.0,91.0,22.0,100.0,121.0
304,KAISER FOUNDATION HOSPITAL FONTANA (050140),2016,Acute Care,Voluntary non-profit - Private,634.0,34.072271,-117.433458,CA,,,,,,,,,,,,,91.0,7249.0,0.0,43.0,98.0,1190.0,,,,,,,,,,,149.0,1219.0,,,452.0,1220.0,,,1.0,211.0,100.0,13.0,100.0,268.0
305,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA (050145),2016,Acute Care,Voluntary non-profit - Private,278.0,,,CA,,,40.0,383.0,80.0,20.0,100.0,33.0,,,92.0,12.0,85.0,2858.0,9.0,22.0,98.0,592.0,,,2.0,55892.0,,,,,,,58.0,753.0,192.0,344.0,246.0,753.0,70.0,71.0,6.0,32.0,93.0,30.0,100.0,41.0
306,CALIFORNIA HOSPITAL MEDICAL CENTER LA (050149),2016,Acute Care,Voluntary non-profit - Other,312.0,34.037212,-118.265363,CA,97.0,39.0,15.0,408.0,82.0,45.0,100.0,37.0,,,85.0,20.0,83.0,2172.0,0.0,15.0,95.0,459.0,,,0.0,84299.0,8.0,44.0,,,,,247.0,638.0,211.0,382.0,546.0,638.0,34.0,146.0,0.0,105.0,100.0,24.0,100.0,58.0
307,SIERRA NEVADA MEMORIAL HOSPITAL (050150),2016,Acute Care,Voluntary non-profit - Other,108.0,39.228949,-121.047264,CA,98.0,103.0,12.0,419.0,100.0,16.0,100.0,20.0,,,88.0,24.0,88.0,1106.0,,,100.0,455.0,,,4.0,32865.0,13.0,101.0,,,,,248.0,786.0,145.0,392.0,382.0,789.0,33.0,102.0,2.0,42.0,,,98.0,40.0
308,SAINT FRANCIS MEMORIAL HOSPITAL (050152),2016,Acute Care,Voluntary non-profit - Private,202.0,37.789561,-122.417112,CA,100.0,13.0,10.0,409.0,78.0,46.0,100.0,35.0,,,87.0,15.0,91.0,1481.0,,,99.0,440.0,,,4.0,37091.0,27.0,13.0,,,,,111.0,652.0,137.0,327.0,319.0,653.0,34.0,34.0,,,,,,
309,O'CONNOR HOSPITAL (050153),2016,Acute Care,Voluntary non-profit - Church,348.0,,,CA,,,14.0,384.0,80.0,76.0,81.0,227.0,,,73.0,11.0,71.0,2195.0,,,98.0,466.0,,,3.0,56586.0,,,,,,,200.0,620.0,133.0,365.0,324.0,620.0,53.0,110.0,8.0,65.0,,,96.0,25.0
310,ENCINO HOSPITAL MEDICAL CENTER (050158),2016,Acute Care,Proprietary,139.0,34.156826,-118.486948,CA,,,3.0,645.0,,,,,,,,,86.0,467.0,,,100.0,428.0,,,0.0,2759.0,6.0,11.0,,,,,77.0,568.0,107.0,600.0,225.0,579.0,38.0,62.0,,,,,,
311,VENTURA COUNTY MEDICAL CENTER (050159),2016,Acute Care,Government - Local,269.0,34.279055,-119.254355,CA,,,37.0,921.0,,,,,,,,,62.0,2144.0,,,85.0,660.0,,,3.0,55371.0,,,,,,,184.0,570.0,174.0,839.0,402.0,577.0,76.0,305.0,2.0,49.0,,,64.0,28.0
312,SAN JOAQUIN GENERAL HOSPITAL (050167),2016,Acute Care,Government - Local,187.0,37.886492,-121.282061,CA,88.0,25.0,57.0,397.0,100.0,117.0,90.0,63.0,,,,,90.0,1963.0,0.0,18.0,90.0,503.0,,,7.0,43835.0,14.0,28.0,,,,,239.0,637.0,179.0,377.0,484.0,639.0,83.0,145.0,0.0,30.0,93.0,15.0,69.0,16.0
313,ST JUDE MEDICAL CENTER (050168),2016,Acute Care,Voluntary non-profit - Church,336.0,33.893503,-117.927952,CA,97.0,89.0,28.0,404.0,88.0,101.0,14.0,100.0,,,71.0,24.0,81.0,3858.0,5.0,20.0,80.0,510.0,,,2.0,67334.0,10.0,98.0,,,,,128.0,709.0,184.0,377.0,327.0,715.0,60.0,179.0,2.0,60.0,100.0,38.0,89.0,57.0
314,PRESBYTERIAN INTERCOMMUNITY HOSPITAL (050169),2016,Acute Care,Voluntary non-profit - Private,431.0,33.967433,-118.048143,CA,97.0,173.0,7.0,419.0,20.0,2158.0,34.0,979.0,,,73.0,11.0,89.0,4908.0,0.0,37.0,96.0,549.0,,,1.0,79829.0,8.0,190.0,,,,,119.0,776.0,228.0,368.0,348.0,776.0,72.0,210.0,1.0,70.0,96.0,23.0,94.0,106.0
315,SANTA ROSA MEMORIAL HOSPITAL (050174),2016,Acute Care,Voluntary non-profit - Private,280.0,38.442954,-122.701112,CA,100.0,14.0,43.0,383.0,98.0,64.0,79.0,63.0,,,65.0,17.0,70.0,2935.0,0.0,25.0,80.0,512.0,,,4.0,46754.0,0.0,15.0,,,,,187.0,667.0,204.0,337.0,380.0,668.0,87.0,113.0,9.0,64.0,92.0,12.0,87.0,62.0
316,EMANUEL MEDICAL CENTER (050179),2016,Acute Care,Voluntary non-profit - Church,1288.0,37.510487,-120.837491,CA,92.0,38.0,37.0,463.0,82.0,174.0,57.0,124.0,,,69.0,29.0,79.0,1561.0,0.0,16.0,97.0,532.0,,,3.0,71070.0,9.0,45.0,,,,,158.0,880.0,160.0,442.0,362.0,880.0,70.0,234.0,0.0,48.0,,,98.0,44.0
317,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS (050180),2016,Acute Care,Voluntary non-profit - Other,473.0,37.914297,-122.042071,CA,100.0,36.0,21.0,407.0,,,,,,,,,79.0,4326.0,0.0,26.0,96.0,547.0,,,1.0,51715.0,6.0,36.0,,,,,127.0,689.0,166.0,395.0,297.0,691.0,62.0,224.0,5.0,66.0,90.0,31.0,97.0,29.0
318,GEORGE L MEE MEMORIAL HOSPITAL (050189),2016,Acute Care,Voluntary non-profit - Other,89.0,36.206819,-121.132137,CA,96.0,27.0,35.0,390.0,64.0,14.0,,,,,,,88.0,599.0,,,81.0,192.0,,,5.0,13378.0,6.0,28.0,,,,,91.0,133.0,120.0,391.0,298.0,134.0,40.0,68.0,0.0,45.0,,,,
319,ST MARY MEDICAL CENTER (050191),2016,Acute Care,Voluntary non-profit - Church,304.0,33.779954,-118.186683,CA,93.0,15.0,18.0,390.0,90.0,77.0,95.0,80.0,,,,,72.0,2650.0,,,97.0,465.0,,,3.0,57853.0,14.0,15.0,,,,,180.0,630.0,146.0,360.0,354.0,669.0,45.0,138.0,3.0,75.0,,,100.0,27.0
320,ADVENTIST MEDICAL CENTER - REEDLEY (050192),2016,Acute Care,Voluntary non-profit - Private,49.0,36.607812,-119.451695,CA,82.0,60.0,14.0,419.0,,,,,,,,,92.0,401.0,,,94.0,279.0,,,1.0,29325.0,32.0,58.0,,,,,89.0,167.0,132.0,394.0,336.0,168.0,54.0,120.0,2.0,42.0,,,,
321,WATSONVILLE COMMUNITY HOSPITAL (050194),2016,Acute Care,Proprietary,106.0,36.92828,-121.793721,CA,100.0,30.0,19.0,429.0,96.0,45.0,47.0,89.0,,,53.0,19.0,75.0,778.0,,,100.0,389.0,,,0.0,32387.0,16.0,29.0,,,,,95.0,501.0,138.0,393.0,291.0,501.0,44.0,80.0,20.0,25.0,,,,
322,WASHINGTON HOSPITAL (050195),2016,Acute Care,Government - Hospital District or Authority,320.0,37.557653,-121.98087,CA,,,30.0,405.0,100.0,15.0,,,,,,,92.0,2700.0,,,94.0,521.0,100.0,34.0,2.0,53309.0,,,,,,,131.0,725.0,130.0,375.0,306.0,725.0,62.0,87.0,2.0,191.0,91.0,23.0,100.0,75.0
323,SEQUOIA HOSPITAL (050197),2016,Acute Care,Voluntary non-profit - Private,219.0,37.480987,-122.253223,CA,,,13.0,411.0,,,,,,,,,79.0,1683.0,,,99.0,495.0,,,1.0,22454.0,,,,,,,94.0,424.0,120.0,393.0,241.0,424.0,38.0,89.0,0.0,39.0,,,,
324,PALMDALE REGIONAL MEDICAL CENTER (050204),2016,Acute Care,Proprietary,170.0,34.585688,-118.14364,CA,,,57.0,408.0,,,,,,,,,63.0,1305.0,0.0,21.0,98.0,603.0,,,1.0,73550.0,,,,,,,274.0,1028.0,153.0,395.0,598.0,1029.0,91.0,205.0,,,3.0,31.0,100.0,61.0
325,GLENDORA COMMUNITY HOSPITAL (050205),2016,Acute Care,Proprietary,128.0,34.128685,-117.865193,CA,,,16.0,302.0,,,,,,,,,79.0,550.0,,,88.0,249.0,,,1.0,5166.0,,,,,,,78.0,555.0,140.0,251.0,284.0,555.0,60.0,12.0,,,,,,
326,ALAMEDA HOSPITAL (050211),2016,Acute Care,Government - Hospital District or Authority,231.0,37.76323,-122.253541,CA,96.0,24.0,28.0,400.0,,,,,,,,,83.0,685.0,,,97.0,262.0,,,1.0,15692.0,12.0,24.0,,,,,130.0,522.0,138.0,364.0,300.0,527.0,45.0,24.0,,,93.0,14.0,,
327,SHARP CHULA VISTA MEDICAL CENTER (050222),2016,Acute Care,Proprietary,370.0,32.618448,-117.02399,CA,95.0,138.0,86.0,335.0,93.0,85.0,100.0,60.0,,,,,89.0,2931.0,,,99.0,530.0,,,4.0,69348.0,8.0,142.0,,,,,242.0,779.0,201.0,377.0,447.0,781.0,36.0,200.0,2.0,442.0,100.0,30.0,100.0,12.0
328,HOAG MEMORIAL HOSPITAL PRESBYTERIAN (050224),2016,Acute Care,Voluntary non-profit - Private,468.0,,,CA,95.0,19.0,43.0,197.0,67.0,70.0,82.0,50.0,,,33.0,21.0,91.0,7904.0,8.0,38.0,99.0,509.0,,,1.0,111077.0,5.0,21.0,,,,,89.0,545.0,175.0,375.0,294.0,582.0,58.0,663.0,2.0,634.0,96.0,45.0,93.0,96.0
329,FEATHER RIVER HOSPITAL (050225),2016,Acute Care,Voluntary non-profit - Church,100.0,39.756161,-121.572305,CA,96.0,54.0,23.0,407.0,47.0,68.0,100.0,64.0,,,,,79.0,1975.0,,,98.0,458.0,,,1.0,28501.0,21.0,56.0,,,,,101.0,674.0,162.0,384.0,341.0,676.0,65.0,105.0,2.0,40.0,,,92.0,13.0
330,AHMC ANAHEIM REGIONAL MEDICAL CENTER (050226),2016,Acute Care,Voluntary non-profit - Private,223.0,33.847138,-117.933934,CA,95.0,21.0,58.0,342.0,94.0,62.0,89.0,44.0,,,,,77.0,1566.0,0.0,19.0,97.0,499.0,,,6.0,43540.0,18.0,20.0,,,,,132.0,696.0,184.0,327.0,294.0,744.0,84.0,194.0,2.0,40.0,,,96.0,25.0
331,SAN FRANCISCO GENERAL HOSPITAL (050228),2016,Acute Care,Government - Local,422.0,37.756171,-122.406608,CA,,,33.0,366.0,,,,,,,,,76.0,6403.0,2.0,45.0,80.0,491.0,,,7.0,68301.0,,,,,,,200.0,830.0,226.0,326.0,462.0,836.0,61.0,154.0,0.0,37.0,97.0,33.0,79.0,68.0
332,GARDEN GROVE HOSPITAL & MEDICAL CENTER (050230),2016,Acute Care,Proprietary,160.0,33.774471,-117.913645,CA,98.0,59.0,24.0,536.0,,,,,,,,,90.0,728.0,,,100.0,456.0,,,4.0,27126.0,7.0,62.0,,,,,102.0,637.0,146.0,487.0,263.0,637.0,66.0,104.0,0.0,68.0,,,,
333,POMONA VALLEY HOSPITAL MEDICAL CENTER (050231),2016,Acute Care,Voluntary non-profit - Private,399.0,34.077639,-117.752329,CA,100.0,55.0,39.0,483.0,90.0,386.0,93.0,202.0,,,,,88.0,4398.0,6.0,18.0,85.0,448.0,,,2.0,97442.0,0.0,61.0,,,,,252.0,475.0,220.0,459.0,484.0,483.0,68.0,288.0,0.0,167.0,100.0,78.0,100.0,32.0
334,FRENCH HOSPITAL MEDICAL CENTER (050232),2016,Acute Care,Voluntary non-profit - Other,103.0,35.278663,-120.650212,CA,,,9.0,407.0,100.0,41.0,100.0,49.0,,,,,70.0,1140.0,,,100.0,408.0,,,0.0,19823.0,,,,,,,116.0,468.0,125.0,385.0,246.0,468.0,29.0,68.0,0.0,49.0,,,,
335,SHARP CORONADO HOSPITAL AND HLTHCR CTR (050234),2016,Acute Care,Voluntary non-profit - Other,185.0,32.694257,-117.167947,CA,,,37.0,386.0,86.0,63.0,92.0,38.0,,,,,87.0,955.0,,,98.0,331.0,,,2.0,16056.0,,,,,,,53.0,401.0,130.0,469.0,211.0,401.0,54.0,64.0,,,,,,
336,PROVIDENCE SAINT JOSEPH MEDICAL CTR (050235),2016,Acute Care,Voluntary non-profit - Church,361.0,34.157643,-118.327841,CA,100.0,32.0,40.0,585.0,95.0,256.0,83.0,250.0,,,,,66.0,3952.0,0.0,19.0,97.0,554.0,,,3.0,68130.0,0.0,32.0,,,,,135.0,708.0,157.0,558.0,301.0,708.0,80.0,233.0,5.0,83.0,100.0,56.0,82.0,39.0
337,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES (050236),2016,Acute Care,Voluntary non-profit - Church,144.0,34.288837,-118.74396,CA,87.0,45.0,20.0,407.0,81.0,53.0,48.0,172.0,,,,,87.0,1474.0,8.0,13.0,96.0,536.0,,,1.0,35754.0,8.0,47.0,,,,,160.0,947.0,155.0,366.0,333.0,947.0,47.0,189.0,8.0,39.0,,,90.0,21.0
338,METHODIST HOSPITAL OF SOUTHERN CA (050238),2016,Acute Care,Voluntary non-profit - Private,404.0,34.134862,-118.042446,CA,100.0,52.0,40.0,406.0,100.0,45.0,,,,,,,82.0,2956.0,,,96.0,524.0,,,4.0,56371.0,15.0,63.0,,,,,98.0,773.0,229.0,372.0,296.0,774.0,64.0,252.0,0.0,236.0,97.0,38.0,100.0,13.0
