,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
356,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER (050292),2021,Acute Care,Government - Local,400.0,33.910054,-117.195824,CA,47.0,59.0,96.0,153.0,,,,,93.0,15.0,77.0,4040.0,,,1.0,96936.0,,,391.0,34.0,220.0,150.0,,,68.0,41.0,,,73.0,59.0,94.0,34.0
357,MERCY HOSPITAL (050295),2021,Acute Care,Voluntary non-profit - Other,226.0,35.373323,-119.027386,CA,78.0,58.0,,,,,,,82.0,11.0,82.0,2372.0,,,,,,,,,197.0,192.0,3.0,30.0,92.0,52.0,85.0,20.0,91.0,58.0,97.0,38.0
358,BARSTOW COMMUNITY HOSPITAL (050298),2021,Acute Care,Proprietary,33.0,34.893696,-117.0166,CA,85.0,71.0,,,,,,,,,51.0,431.0,,,5.0,32621.0,,,,,168.0,189.0,0.0,13.0,98.0,63.0,89.0,19.0,89.0,71.0,100.0,56.0
359,ST MARY MEDICAL CENTER (050300),2021,Acute Care,Voluntary non-profit - Private,210.0,34.542046,-117.265602,CA,44.0,34.0,57.0,21.0,,,,,87.0,39.0,59.0,2303.0,,,2.0,82352.0,,,,,234.0,177.0,9.0,23.0,76.0,21.0,,,68.0,34.0,88.0,17.0
360,ADVENTIST HEALTH UKIAH VALLEY (050301),2021,Acute Care,Voluntary non-profit - Church,50.0,39.153019,-123.2038,CA,52.0,31.0,59.0,81.0,,,,,,,97.0,1178.0,,,1.0,33030.0,,,159.0,15.0,112.0,202.0,,,95.0,22.0,,,71.0,31.0,100.0,14.0
361,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP (050305),2021,Acute Care,Voluntary non-profit - Private,423.0,37.856488,-122.257329,CA,57.0,58.0,,,,,,,,,78.0,3462.0,,,,,,,354.0,24.0,212.0,174.0,4.0,130.0,80.0,41.0,,,76.0,58.0,87.0,23.0
362,EL CAMINO HOSPITAL (050308),2021,Acute Care,Government - Hospital District or Authority,448.0,37.369341,-122.077933,CA,80.0,86.0,86.0,36.0,,,,,,,86.0,4488.0,,,0.0,63962.0,,,340.0,37.0,170.0,632.0,1.0,155.0,92.0,78.0,87.0,23.0,92.0,86.0,98.0,59.0
363,SUTTER ROSEVILLE MEDICAL CENTER (050309),2021,Acute Care,Voluntary non-profit - Other,330.0,,,CA,70.0,64.0,,,,,,,,,75.0,3834.0,,,,,,,,,210.0,191.0,7.0,103.0,94.0,50.0,,,86.0,64.0,88.0,42.0
364,SUTTER TRACY COMMUNITY HOSPITAL (050313),2021,Acute Care,Voluntary non-profit - Private,80.0,37.744232,-121.43494,CA,81.0,31.0,,,,,,,88.0,17.0,84.0,1020.0,,,,,,,170.0,15.0,175.0,181.0,,,96.0,27.0,,,90.0,31.0,95.0,21.0
365,KERN MEDICAL CENTER (050315),2021,Acute Care,Voluntary non-profit - Other,221.0,35.380964,-118.967546,CA,48.0,50.0,,,,,,,,,87.0,2723.0,,,,,,,,,220.0,168.0,0.0,43.0,80.0,30.0,,,64.0,50.0,92.0,24.0
366,HIGHLAND HOSPITAL (050320),2021,Acute Care,Government - Hospital District or Authority,416.0,37.799234,-122.231199,CA,28.0,71.0,,,,,,,,,87.0,4410.0,,,,,,,291.0,36.0,183.0,354.0,0.0,15.0,77.0,31.0,,,56.0,71.0,71.0,31.0
367,SCRIPPS MEMORIAL HOSPITAL LA JOLLA (050324),2021,Acute Care,Voluntary non-profit - Other,361.0,32.8855,-117.223022,CA,83.0,52.0,94.0,78.0,,,,,,,88.0,4586.0,,,1.0,47156.0,,,302.0,14.0,157.0,182.0,12.0,25.0,96.0,45.0,,,90.0,52.0,94.0,32.0
368,LOMA LINDA UNIVERSITY MEDICAL CENTER (050327),2021,Acute Care,Voluntary non-profit - Private,571.0,34.049482,-117.261122,CA,26.0,145.0,97.0,73.0,100.0,57.0,,,,,82.0,13490.0,,,1.0,85241.0,,,486.0,16.0,322.0,173.0,,,53.0,75.0,,,61.0,145.0,77.0,62.0
369,CORONA REGIONAL MEDICAL CENTER (050329),2021,Acute Care,Proprietary,238.0,33.873327,-117.566768,CA,80.0,64.0,,,,,,,73.0,11.0,69.0,1932.0,,,0.0,56764.0,,,211.0,15.0,170.0,176.0,0.0,24.0,98.0,53.0,,,86.0,64.0,95.0,39.0
370,SALINAS VALLEY MEMORIAL HOSPITAL (050334),2021,Acute Care,Voluntary non-profit - Other,247.0,36.659979,-121.646327,CA,69.0,58.0,100.0,17.0,,,,,,,87.0,2344.0,,,1.0,60135.0,,,,,146.0,193.0,0.0,68.0,93.0,44.0,,,79.0,58.0,95.0,37.0
371,ADVENTIST HEALTH SONORA (050335),2021,Acute Care,Voluntary non-profit - Church,152.0,37.976728,-120.369442,CA,69.0,42.0,99.0,99.0,,,77.0,13.0,,,92.0,1438.0,,,1.0,34602.0,,,,,134.0,199.0,0.0,17.0,94.0,31.0,,,86.0,42.0,78.0,23.0
372,ADVENTIST HEALTH LODI MEMORIAL (050336),2021,Acute Care,Voluntary non-profit - Other,200.0,38.121634,-121.285787,CA,80.0,79.0,98.0,45.0,,,,,,,93.0,1460.0,,,2.0,54517.0,62.0,12.0,186.0,16.0,162.0,230.0,0.0,13.0,90.0,70.0,100.0,14.0,90.0,80.0,98.0,56.0
373,PIONEERS MEMORIAL HEALTHCARE DISTRICT (050342),2021,Acute Care,Government - Hospital District or Authority,107.0,32.959947,-115.552723,CA,58.0,26.0,,,,,,,,,75.0,1025.0,,,,,,,,,,,0.0,33.0,100.0,18.0,,,88.0,26.0,69.0,16.0
374,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER (050348),2021,Acute Care,Government - Local,415.0,33.780111,-117.894303,CA,46.0,52.0,,,,,,,,,93.0,9627.0,,,,,,,957.0,13.0,276.0,189.0,0.0,13.0,75.0,32.0,,,63.0,52.0,95.0,20.0
375,BEVERLY HOSPITAL (050350),2021,Acute Care,Voluntary non-profit - Private,211.0,34.016032,-118.100526,CA,76.0,54.0,,,,,,,,,51.0,1398.0,,,2.0,35474.0,,,500.0,19.0,152.0,162.0,12.0,41.0,95.0,41.0,100.0,11.0,85.0,55.0,92.0,40.0
376,TORRANCE MEMORIAL MEDICAL CENTER (050351),2021,Acute Care,Voluntary non-profit - Other,505.0,33.812644,-118.34375,CA,75.0,161.0,76.0,106.0,,,,,,,99.0,5324.0,,,,,,,,,141.0,239.0,3.0,138.0,92.0,130.0,100.0,11.0,84.0,161.0,95.0,123.0
377,BARTON MEMORIAL HOSPITAL (050352),2021,Acute Care,Voluntary non-profit - Private,112.0,38.912337,-119.997711,CA,93.0,14.0,100.0,66.0,,,,,,,89.0,1118.0,,,,,,,219.0,43.0,145.0,583.0,,,100.0,13.0,,,100.0,14.0,91.0,11.0
378,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE (050353),2021,Acute Care,Voluntary non-profit - Church,442.0,33.837577,-118.35708,CA,76.0,49.0,100.0,118.0,,,,,,,85.0,3724.0,,,1.0,69666.0,,,403.0,14.0,267.0,162.0,0.0,29.0,90.0,41.0,,,86.0,49.0,96.0,25.0
379,GOLETA VALLEY COTTAGE HOSPITAL (050357),2021,Acute Care,Voluntary non-profit - Other,55.0,34.433699,-119.809322,CA,63.0,30.0,,,,,,,,,93.0,360.0,,,,,,,,,192.0,198.0,,,90.0,21.0,,,87.0,30.0,55.0,11.0
380,MARIN GENERAL HOSPITAL (050360),2021,Acute Care,Government - Local,258.0,37.948884,-122.535897,CA,44.0,178.0,,,,,,,,,94.0,2042.0,,,,,,,211.0,23.0,171.0,183.0,2.0,49.0,79.0,107.0,58.0,12.0,74.0,180.0,73.0,92.0
381,NORTHBAY MEDICAL CENTER (050367),2021,Acute Care,Voluntary non-profit - Other,183.0,38.261108,-122.048104,CA,70.0,67.0,,,97.0,33.0,,,90.0,20.0,74.0,7380.0,,,,,,,299.0,16.0,204.0,223.0,0.0,64.0,91.0,55.0,88.0,16.0,88.0,67.0,91.0,45.0
382,LAC+USC MEDICAL CENTER (050373),2021,Acute Care,Government - Local,669.0,34.059872,-118.210308,CA,50.0,26.0,76.0,49.0,,,,,,,66.0,10900.0,,,2.0,119110.0,,,632.0,12.0,338.0,186.0,,,68.0,22.0,,,85.0,26.0,100.0,16.0
383,LAC/HARBOR-UCLA MED CENTER (050376),2021,Acute Care,Government - Local,433.0,33.831583,-118.294546,CA,30.0,63.0,35.0,26.0,,,,,,,69.0,5788.0,,,2.0,99228.0,,,816.0,16.0,328.0,168.0,0.0,11.0,69.0,35.0,64.0,11.0,62.0,63.0,86.0,29.0
384,PACIFICA HOSPITAL OF THE VALLEY (050378),2021,Acute Care,Proprietary,231.0,34.241134,-118.395669,CA,0.0,18.0,,,,,,,,,62.0,851.0,,,,,,,289.0,11.0,256.0,80.0,,,,,,,11.0,18.0,,
385,GOOD SAMARITAN HOSPITAL (050380),2021,Acute Care,Proprietary,357.0,37.251104,-121.946563,CA,68.0,63.0,,,,,,,,,70.0,3056.0,,,0.0,57773.0,,,171.0,20.0,155.0,240.0,0.0,19.0,88.0,51.0,,,81.0,64.0,100.0,37.0
386,EMANATE HEALTH INTER-COMMUNITY HOSPITAL (050382),2021,Acute Care,Proprietary,491.0,34.089947,-117.893666,CA,65.0,184.0,95.0,238.0,,,,,,,94.0,3757.0,,,1.0,118902.0,,,,,165.0,191.0,1.0,173.0,93.0,136.0,79.0,34.0,81.0,184.0,87.0,101.0
387,HEMET GLOBAL MEDICAL CENTER (050390),2021,Acute Care,Government - State,359.0,33.75122,-116.959859,CA,44.0,55.0,,,,,,,,,84.0,1092.0,,,1.0,56886.0,,,749.0,13.0,188.0,181.0,0.0,31.0,79.0,33.0,82.0,11.0,65.0,55.0,88.0,25.0
388,PIH HOSPITAL - DOWNEY (050393),2021,Acute Care,Voluntary non-profit - Private,192.0,33.935563,-118.131703,CA,68.0,28.0,99.0,152.0,,,,,,,83.0,2060.0,,,3.0,58427.0,,,,,195.0,195.0,,,100.0,19.0,,,86.0,28.0,69.0,16.0
389,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA (050394),2021,Acute Care,Voluntary non-profit - Private,216.0,34.274184,-119.257238,CA,75.0,63.0,93.0,116.0,,,,,,,,,,,1.0,54117.0,,,,,191.0,237.0,2.0,123.0,90.0,52.0,,,86.0,63.0,95.0,37.0
390,SANTA BARBARA COTTAGE HOSPITAL (050396),2021,Acute Care,Voluntary non-profit - Private,377.0,34.429483,-119.723077,CA,54.0,306.0,,,,,,,,,90.0,3907.0,,,,,,,285.0,11.0,246.0,196.0,4.0,113.0,81.0,209.0,93.0,60.0,75.0,307.0,83.0,118.0
391,NH Twenty Nine Palms (05039F),2021,Acute Care (DOD),Department of Defense,,,,,,,45.0,11.0,,,,,,,,,,,2.0,11547.0,,,,,110.0,220.0,,,,,,,,,,
392,CHINESE HOSPITAL (050407),2021,Acute Care,Voluntary non-profit - Private,64.0,37.795695,-122.40925,CA,63.0,63.0,93.0,275.0,,,,,,,77.0,719.0,,,1.0,6753.0,,,144.0,20.0,152.0,188.0,,,92.0,51.0,56.0,16.0,82.0,65.0,100.0,41.0
393,KAISER FOUNDATION HOSPITAL - SOUTH BAY (050411),2021,Acute Care,Voluntary non-profit - Other,257.0,33.788623,-118.294366,CA,88.0,84.0,,,,,,,,,81.0,3766.0,,,,,,,,,,,0.0,64.0,96.0,79.0,91.0,23.0,95.0,84.0,98.0,51.0
394,MERCY HOSPITAL OF FOLSOM (050414),2021,Acute Care,Voluntary non-profit - Private,106.0,38.671125,-121.145833,CA,81.0,32.0,,,,,,,100.0,16.0,86.0,1423.0,,,,,,,228.0,16.0,155.0,181.0,0.0,21.0,96.0,27.0,,,84.0,32.0,100.0,26.0
395,SUTTER COAST HOSPITAL (050417),2021,Acute Care,Government - Hospital District or Authority,49.0,41.772698,-124.194144,CA,85.0,41.0,,,,,,,,,70.0,525.0,,,,,,,226.0,17.0,144.0,177.0,,,95.0,38.0,,,95.0,41.0,97.0,36.0
396,Weed ACH (FT Irwin) (05041F),2021,Acute Care (DOD),Department of Defense,,,,,,,,,,,,,,,,,,,0.0,11743.0,,,,,137.0,94.0,,,,,,,,,,
397,PALO VERDE HOSPITAL (050423),2021,Acute Care,Government - Federal,46.0,33.61245,-114.595479,CA,,,,,,,,,,,78.0,148.0,,,,,336.0,14.0,,,287.0,157.0,,,,,,,,,,
398,SCRIPPS GREEN HOSPITAL (050424),2021,Acute Care,Voluntary non-profit - Private,161.0,32.897124,-117.241854,CA,83.0,36.0,95.0,80.0,96.0,85.0,,,,,90.0,2194.0,,,,,,,,,,,,,91.0,33.0,100.0,12.0,94.0,36.0,96.0,28.0
399,KAISER FOUNDATION HOSPITAL - SACRAMENTO (050425),2021,Acute Care,Voluntary non-profit - Private,281.0,38.602162,-121.392238,CA,72.0,58.0,,,,,,,,,71.0,5583.0,,,,,,,,,,,,,98.0,44.0,,,81.0,58.0,91.0,35.0
400,WEST ANAHEIM MEDICAL CENTER (050426),2021,Acute Care,Proprietary,215.0,33.824735,-117.995115,CA,81.0,54.0,,,,,,,,,65.0,918.0,,,2.0,33673.0,,,312.0,19.0,169.0,169.0,,,94.0,47.0,,,87.0,54.0,100.0,29.0
401,HUNTINGTON MEMORIAL HOSPITAL (050438),2021,Acute Care,Voluntary non-profit - Private,558.0,34.135761,-118.151803,CA,44.0,165.0,89.0,89.0,,,,,,,86.0,4388.0,,,,,,,,,205.0,223.0,3.0,37.0,83.0,101.0,33.0,18.0,66.0,165.0,89.0,71.0
402,STANFORD HEALTH CARE (050441),2021,Acute Care,Voluntary non-profit - Private,500.0,37.433138,-122.176664,CA,58.0,76.0,92.0,72.0,97.0,125.0,,,,,87.0,16428.0,,,1.0,60233.0,,,,,163.0,203.0,,,76.0,59.0,92.0,13.0,82.0,76.0,92.0,39.0
403,MERCY MEDICAL CENTER (050444),2021,Acute Care,Voluntary non-profit - Private,186.0,37.340122,-120.465214,CA,67.0,63.0,,,,,,,84.0,25.0,88.0,1603.0,,,,,,,457.0,11.0,203.0,181.0,0.0,32.0,87.0,52.0,91.0,11.0,89.0,63.0,90.0,39.0
404,UCSF MEDICAL CENTER (050454),2021,Acute Care,Voluntary non-profit - Other,739.0,37.763553,-122.457654,CA,44.0,63.0,99.0,423.0,83.0,63.0,,,,,94.0,17521.0,,,5.0,63104.0,,,684.0,18.0,230.0,181.0,3.0,70.0,70.0,43.0,,,75.0,63.0,85.0,26.0
405,ADVENTIST HEALTH BAKERSFIELD (050455),2021,Acute Care,Voluntary non-profit - Private,256.0,35.383056,-119.018857,CA,78.0,54.0,81.0,59.0,100.0,19.0,,,,,95.0,2539.0,,,1.0,75967.0,,,,,200.0,205.0,0.0,40.0,96.0,45.0,93.0,14.0,85.0,54.0,98.0,40.0
406,ST MARY'S MEDICAL CENTER (050457),2021,Acute Care,Voluntary non-profit - Private,182.0,37.77384,-122.454495,CA,70.0,66.0,,,,,,,,,82.0,1471.0,,,,,,,184.0,38.0,166.0,164.0,,,89.0,56.0,73.0,11.0,88.0,66.0,95.0,39.0
407,DOCTORS MEDICAL CENTER (050464),2021,Acute Care,Proprietary,445.0,37.665666,-120.99625,CA,32.0,38.0,98.0,132.0,,,,,,,57.0,4480.0,,,0.0,101422.0,,,238.0,17.0,165.0,197.0,1.0,170.0,60.0,20.0,,,61.0,38.0,81.0,16.0
408,MEMORIAL HOSPITAL OF GARDENA (050468),2021,Acute Care,Proprietary,172.0,33.892375,-118.295106,CA,46.0,194.0,100.0,12.0,,,,,,,67.0,985.0,,,4.0,42743.0,,,243.0,18.0,163.0,158.0,,,86.0,121.0,83.0,41.0,65.0,194.0,93.0,86.0
409,GOOD SAMARITAN HOSPITAL (050471),2021,Acute Care,Proprietary,327.0,34.053209,-118.265292,CA,62.0,133.0,95.0,61.0,,,,,,,80.0,2533.0,,,6.0,45542.0,,,682.0,12.0,187.0,280.0,3.0,116.0,83.0,102.0,94.0,33.0,80.0,133.0,95.0,82.0
410,WEST HILLS HOSPITAL & MEDICAL CENTER (050481),2021,Acute Care,Proprietary,225.0,34.202931,-118.628598,CA,73.0,55.0,,,,,,,,,52.0,1752.0,,,1.0,59279.0,,,165.0,18.0,132.0,226.0,12.0,16.0,93.0,45.0,100.0,12.0,87.0,55.0,92.0,36.0
411,LONG BEACH MEMORIAL MEDICAL CENTER (050485),2021,Acute Care,Voluntary non-profit - Other,457.0,33.807107,-118.185098,CA,53.0,38.0,95.0,112.0,45.0,11.0,,,,,72.0,4930.0,,,1.0,112171.0,,,347.0,11.0,204.0,276.0,,,74.0,27.0,,,84.0,38.0,72.0,18.0
412,EDEN MEDICAL CENTER (050488),2021,Acute Care,Voluntary non-profit - Other,152.0,,,CA,70.0,144.0,,,,,,,,,88.0,1713.0,,,,,,,340.0,14.0,210.0,183.0,0.0,42.0,82.0,128.0,86.0,22.0,90.0,146.0,98.0,98.0
413,CLOVIS COMMUNITY MEDICAL CENTER (050492),2021,Acute Care,Voluntary non-profit - Private,189.0,36.837421,-119.661626,CA,30.0,56.0,,,,,,,,,79.0,2949.0,,,,,,,,,276.0,170.0,3.0,39.0,90.0,21.0,,,59.0,56.0,40.0,20.0
414,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS (050496),2021,Acute Care,Voluntary non-profit - Private,256.0,37.98296,-122.034236,CA,72.0,50.0,91.0,23.0,88.0,49.0,,,83.0,23.0,74.0,2484.0,,,0.0,61687.0,,,177.0,16.0,154.0,168.0,,,88.0,41.0,,,84.0,51.0,97.0,32.0
415,SUTTER AUBURN FAITH HOSPITAL (050498),2021,Acute Care,Voluntary non-profit - Other,67.0,38.944317,-121.099423,CA,66.0,38.0,,,,,,,,,77.0,1102.0,,,,,47.0,13.0,363.0,14.0,138.0,183.0,,,86.0,29.0,,,100.0,38.0,72.0,32.0
416,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS (050503),2021,Acute Care,Voluntary non-profit - Private,178.0,33.036272,-117.284237,CA,74.0,57.0,92.0,75.0,,,,,92.0,12.0,86.0,2635.0,,,3.0,54213.0,,,1592.0,13.0,222.0,178.0,0.0,20.0,93.0,45.0,100.0,13.0,88.0,57.0,84.0,32.0
417,SIERRA VISTA REGIONAL MEDICAL CENTER (050506),2021,Acute Care,Proprietary,161.0,35.290966,-120.666174,CA,66.0,77.0,89.0,65.0,,,,,,,91.0,755.0,,,0.0,24791.0,,,190.0,14.0,128.0,215.0,,,93.0,56.0,100.0,11.0,78.0,78.0,88.0,33.0
418,KAISER FOUNDATION HOSPITAL (050510),2021,Acute Care,Voluntary non-profit - Other,115.0,38.004335,-122.553881,CA,67.0,33.0,,,,,,,,,87.0,2366.0,,,,,,,,,,,,,88.0,26.0,91.0,11.0,85.0,33.0,89.0,18.0
419,KAISER FOUNDATION HOSPITAL - FREMONT (050512),2021,Acute Care,Voluntary non-profit - Other,164.0,37.550913,-121.975769,CA,94.0,33.0,,,,,,,,,82.0,1915.0,,,,,,,,,,,,,100.0,32.0,,,97.0,33.0,100.0,20.0
420,KAISER FOUNDATION HOSPITAL - SAN DIEGO (050515),2021,Acute Care,Voluntary non-profit - Other,491.0,32.792973,-117.095859,CA,76.0,167.0,,,,,,,,,82.0,6642.0,,,,,,,,,,,0.0,123.0,87.0,149.0,95.0,21.0,90.0,168.0,98.0,85.0
421,MERCY SAN JUAN MEDICAL CENTER (050516),2021,Acute Care,Voluntary non-profit - Other,371.0,38.668048,-121.312964,CA,88.0,41.0,,,,,,,,,87.0,3621.0,,,,,,,225.0,14.0,178.0,184.0,9.0,11.0,100.0,37.0,,,90.0,41.0,100.0,27.0
422,VICTOR VALLEY GLOBAL MEDICAL CENTER (050517),2021,Acute Care,Voluntary non-profit - Private,101.0,34.52897,-117.292518,CA,24.0,25.0,,,,,,,,,17.0,2752.0,,,3.0,36910.0,,,,,194.0,157.0,0.0,61.0,,,,,78.0,27.0,38.0,16.0
423,SUTTER DELTA MEDICAL CENTER (050523),2021,Acute Care,Voluntary non-profit - Private,138.0,37.982295,-121.804681,CA,60.0,48.0,,,,,,,,,88.0,886.0,,,,,,,,,207.0,187.0,3.0,33.0,84.0,37.0,,,83.0,48.0,91.0,32.0
424,HUNTINGTON BEACH HOSPITAL (050526),2021,Acute Care,Proprietary,131.0,33.703889,-117.989065,CA,86.0,21.0,83.0,24.0,,,,,,,88.0,738.0,,,2.0,20081.0,,,310.0,38.0,157.0,140.0,,,95.0,19.0,,,90.0,21.0,100.0,12.0
425,MEMORIAL HOSPITAL LOS BANOS (050528),2021,Acute Care,Voluntary non-profit - Private,40.0,37.063431,-120.859407,CA,63.0,71.0,,,,,,,,,73.0,432.0,,,,,,,426.0,12.0,144.0,187.0,0.0,54.0,96.0,49.0,,,82.0,71.0,81.0,48.0
426,JOHN F KENNEDY MEMORIAL HOSPITAL (050534),2021,Acute Care,Proprietary,135.0,33.706359,-116.233881,CA,38.0,45.0,95.0,104.0,,,,,68.0,22.0,81.0,841.0,,,1.0,54179.0,,,195.0,21.0,128.0,219.0,0.0,16.0,79.0,24.0,,,67.0,45.0,73.0,22.0
427,SUTTER DAVIS HOSPITAL (050537),2021,Acute Care,Proprietary,48.0,38.562923,-121.772522,CA,63.0,38.0,,,,,,,,,75.0,1055.0,,,,,,,233.0,20.0,145.0,175.0,3.0,30.0,80.0,30.0,,,82.0,40.0,95.0,20.0
428,KAISER FOUNDATION HOSPITAL - REDWOOD CITY (050541),2021,Acute Care,Voluntary non-profit - Other,168.0,37.489693,-122.224682,CA,74.0,42.0,,,,,,,,,84.0,2564.0,,,,,,,,,,,3.0,38.0,89.0,35.0,,,83.0,42.0,100.0,26.0
429,COLLEGE HOSPITAL COSTA MESA (050543),2021,Acute Care,Proprietary,122.0,33.652605,-117.911965,CA,,,,,,,,,,,71.0,653.0,,,4.0,1682.0,,,,,,,,,,,,,,,,
430,LOS ROBLES HOSPITAL & MEDICAL CENTER (050549),2021,Acute Care,Proprietary,329.0,34.206398,-118.882624,CA,81.0,62.0,97.0,37.0,,,,,,,75.0,3463.0,,,1.0,53638.0,,,199.0,25.0,128.0,175.0,7.0,29.0,89.0,56.0,100.0,12.0,92.0,62.0,98.0,43.0
431,LOS ALAMITOS MEDICAL CENTER (050551),2021,Acute Care,Proprietary,163.0,33.803175,-118.067413,CA,81.0,72.0,97.0,35.0,,,,,,,80.0,1630.0,,,0.0,35767.0,,,422.0,15.0,195.0,221.0,,,100.0,59.0,,,83.0,72.0,98.0,48.0
432,MEMORIAL MEDICAL CENTER (050557),2021,Acute Care,Voluntary non-profit - Private,419.0,37.668701,-120.975674,CA,61.0,75.0,,,,,,,,,64.0,3679.0,,,,,,,,,165.0,192.0,4.0,68.0,77.0,62.0,,,91.0,75.0,86.0,44.0
433,KAISER FOUNDATION HOSPITAL - WEST LA (050561),2021,Acute Care,Voluntary non-profit - Private,275.0,34.03799,-118.376247,CA,88.0,98.0,,,,,,,,,70.0,3341.0,,,,,,,,,,,0.0,61.0,96.0,90.0,100.0,33.0,93.0,98.0,98.0,64.0
434,PROVIDENCE MISSION HOSPITAL (050567),2021,Acute Care,Voluntary non-profit - Private,1044.0,,,CA,66.0,175.0,92.0,63.0,,,,,82.0,11.0,76.0,4077.0,,,2.0,82787.0,,,257.0,15.0,205.0,183.0,0.0,24.0,86.0,137.0,90.0,21.0,83.0,175.0,91.0,100.0
435,MADERA COMMUNITY HOSPITAL (050568),2021,Acute Care,Voluntary non-profit - Other,106.0,36.945427,-120.045467,CA,,,84.0,76.0,,,,,,,79.0,1025.0,,,2.0,34453.0,241.0,13.0,451.0,11.0,178.0,231.0,0.0,25.0,,,,,,,,
436,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER (050570),2021,Acute Care,Proprietary,400.0,33.715435,-117.937012,CA,54.0,69.0,,,,,,,,,80.0,2973.0,,,0.0,54571.0,,,145.0,12.0,159.0,220.0,0.0,31.0,88.0,42.0,,,74.0,69.0,73.0,33.0
437,EISENHOWER MEDICAL CENTER (050573),2021,Acute Care,Proprietary,370.0,33.764852,-116.408085,CA,40.0,43.0,95.0,73.0,94.0,35.0,,,,,92.0,4436.0,,,5.0,83942.0,,,,,211.0,165.0,,,73.0,26.0,,,79.0,43.0,68.0,25.0
438,LA PALMA INTERCOMMUNITY HOSPITAL (050580),2021,Acute Care,Proprietary,140.0,33.847585,-118.03725,CA,83.0,24.0,100.0,20.0,,,,,,,87.0,450.0,,,3.0,18891.0,,,,,173.0,173.0,,,91.0,22.0,,,92.0,24.0,100.0,17.0
439,LAKEWOOD REGIONAL MEDICAL CENTER (050581),2021,Acute Care,Proprietary,170.0,33.860223,-118.148749,CA,51.0,89.0,96.0,136.0,,,,,,,77.0,1491.0,,,1.0,51604.0,,,173.0,13.0,170.0,217.0,,,73.0,66.0,73.0,11.0,76.0,90.0,98.0,57.0
