,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
2223,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS (140213),2018,Acute Care,Voluntary non-profit - Private,299.0,41.54543,-87.986049,IL,22.0,558.0,,,47.0,407.0,39.0,76.0,77.0,81.0,95.0,63.0,,,,,91.0,4938.0,0.0,24.0,99.0,527.0,,,4.0,78430.0,,,,,,,292.0,12.0,93.0,677.0,169.0,391.0,291.0,685.0,40.0,332.0,0.0,71.0
2224,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN (140217),2018,Acute Care,Voluntary non-profit - Church,184.0,42.036242,-88.327934,IL,42.0,52.0,82.0,11.0,13.0,403.0,96.0,67.0,89.0,76.0,,,,,80.0,15.0,69.0,1401.0,,,89.0,597.0,,,2.0,24411.0,4.0,13.0,,,,,149.0,29.0,96.0,604.0,130.0,362.0,256.0,606.0,57.0,83.0,,
2225,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN (140217),2018,Acute Care,Voluntary non-profit - Church,184.0,42.036242,-88.327934,IL,45.0,69.0,,,11.0,404.0,96.0,67.0,89.0,76.0,,,,,86.0,14.0,62.0,1295.0,,,89.0,597.0,,,2.0,24411.0,,,,,,,156.0,34.0,86.0,598.0,124.0,357.0,241.0,601.0,54.0,88.0,,
2226,ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),2018,Acute Care,Voluntary non-profit - Church,630.0,42.039748,-87.848146,IL,62.0,117.0,,,28.0,384.0,90.0,106.0,93.0,104.0,100.0,27.0,,,,,97.0,5516.0,0.0,58.0,99.0,532.0,,,2.0,72076.0,,,,,,,435.0,14.0,94.0,551.0,208.0,391.0,297.0,552.0,22.0,259.0,0.0,434.0
2227,ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),2018,Acute Care,Voluntary non-profit - Church,630.0,42.039748,-87.848146,IL,64.0,148.0,,,32.0,377.0,90.0,106.0,93.0,104.0,100.0,27.0,,,,,98.0,5488.0,0.0,57.0,99.0,532.0,,,2.0,72076.0,,,,,,,412.0,16.0,98.0,578.0,216.0,387.0,301.0,580.0,21.0,269.0,0.0,416.0
2228,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO (140224),2018,Acute Care,Voluntary non-profit - Church,322.0,41.933928,-87.636418,IL,58.0,120.0,,,7.0,408.0,87.0,76.0,100.0,73.0,,,,,,,75.0,2266.0,0.0,15.0,88.0,562.0,,,1.0,21761.0,,,,,,,158.0,24.0,130.0,478.0,144.0,383.0,245.0,478.0,40.0,47.0,0.0,37.0
2229,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO (140224),2018,Acute Care,Voluntary non-profit - Church,322.0,41.933928,-87.636418,IL,59.0,150.0,,,7.0,408.0,87.0,76.0,100.0,73.0,,,,,,,92.0,1963.0,0.0,15.0,88.0,562.0,,,1.0,21761.0,,,,,,,154.0,22.0,131.0,459.0,140.0,383.0,247.0,459.0,38.0,43.0,0.0,33.0
2230,SWEDISH AMERICAN HOSPITAL (140228),2018,Acute Care,Voluntary non-profit - Other,313.0,42.266943,-89.07355,IL,48.0,275.0,100.0,50.0,27.0,435.0,91.0,55.0,94.0,84.0,73.0,51.0,,,91.0,11.0,93.0,3716.0,0.0,15.0,95.0,528.0,,,0.0,90031.0,6.0,52.0,,,,,245.0,27.0,62.0,671.0,164.0,390.0,261.0,671.0,53.0,280.0,5.0,43.0
2231,SWEDISH AMERICAN HOSPITAL (140228),2018,Acute Care,Voluntary non-profit - Other,313.0,42.266943,-89.07355,IL,49.0,305.0,100.0,47.0,24.0,436.0,91.0,55.0,94.0,84.0,73.0,51.0,,,79.0,14.0,94.0,3507.0,0.0,15.0,95.0,528.0,,,0.0,90031.0,5.0,49.0,,,,,270.0,20.0,60.0,687.0,159.0,402.0,253.0,687.0,51.0,282.0,3.0,39.0
2232,EDWARD HOSPITAL (140231),2018,Acute Care,Voluntary non-profit - Private,297.0,41.761426,-88.149239,IL,50.0,107.0,100.0,14.0,12.0,404.0,81.0,75.0,98.0,92.0,92.0,39.0,,,,,90.0,7140.0,0.0,36.0,99.0,542.0,,,0.0,88061.0,7.0,14.0,,,,,316.0,20.0,151.0,620.0,119.0,379.0,245.0,621.0,25.0,279.0,3.0,75.0
2233,EDWARD HOSPITAL (140231),2018,Acute Care,Voluntary non-profit - Private,297.0,41.761426,-88.149239,IL,53.0,147.0,100.0,22.0,12.0,404.0,81.0,75.0,98.0,92.0,92.0,39.0,,,,,91.0,7172.0,0.0,30.0,99.0,542.0,,,0.0,88061.0,5.0,24.0,,,,,383.0,18.0,165.0,620.0,116.0,383.0,249.0,621.0,24.0,279.0,4.0,79.0
2234,SAINT ANTHONY MEDICAL CENTER (140233),2018,Acute Care,Voluntary non-profit - Church,238.0,42.265778,-89.0073,IL,34.0,62.0,,,13.0,406.0,82.0,38.0,94.0,99.0,17.0,23.0,,,,,91.0,3000.0,2.0,50.0,93.0,568.0,,,1.0,42191.0,,,,,,,,,97.0,715.0,169.0,393.0,255.0,716.0,56.0,215.0,3.0,62.0
2235,SAINT ANTHONY MEDICAL CENTER (140233),2018,Acute Care,Voluntary non-profit - Church,238.0,42.265778,-89.0073,IL,32.0,79.0,,,12.0,407.0,82.0,38.0,94.0,99.0,17.0,23.0,,,,,94.0,3009.0,0.0,51.0,93.0,568.0,,,1.0,42191.0,,,,,,,236.0,12.0,101.0,753.0,172.0,389.0,258.0,753.0,59.0,197.0,4.0,50.0
2236,ILLINOIS VALLEY COMMUNITY HOSPITAL (140234),2018,Acute Care,Voluntary non-profit - Private,55.0,41.328769,-89.125188,IL,12.0,24.0,98.0,54.0,16.0,382.0,99.0,71.0,100.0,72.0,,,,,53.0,17.0,90.0,757.0,,,89.0,276.0,,,1.0,15168.0,4.0,67.0,,,,,132.0,22.0,74.0,39.0,99.0,361.0,235.0,46.0,49.0,50.0,2.0,59.0
2237,ILLINOIS VALLEY COMMUNITY HOSPITAL (140234),2018,Acute Care,Voluntary non-profit - Private,55.0,41.328769,-89.125188,IL,20.0,45.0,98.0,52.0,14.0,381.0,99.0,71.0,100.0,72.0,,,,,50.0,16.0,75.0,783.0,,,89.0,276.0,,,1.0,15168.0,4.0,66.0,,,,,126.0,15.0,72.0,45.0,93.0,360.0,228.0,49.0,48.0,45.0,2.0,55.0
2238,ROCKFORD MEMORIAL HOSPITAL (140239),2018,Acute Care,Voluntary non-profit - Private,299.0,42.298434,-89.096782,IL,32.0,66.0,,,49.0,822.0,,,50.0,20.0,,,,,,,94.0,3481.0,5.0,21.0,96.0,627.0,,,4.0,53950.0,,,,,,,254.0,36.0,56.0,750.0,160.0,779.0,220.0,752.0,63.0,165.0,0.0,61.0
2239,ROCKFORD MEMORIAL HOSPITAL (140239),2018,Acute Care,Voluntary non-profit - Private,299.0,42.298434,-89.096782,IL,33.0,89.0,,,48.0,834.0,,,50.0,20.0,,,,,,,94.0,4045.0,5.0,19.0,96.0,627.0,,,4.0,53950.0,,,,,,,207.0,40.0,56.0,733.0,153.0,791.0,218.0,735.0,60.0,177.0,0.0,65.0
2240,WESTLAKE COMMUNITY HOSPITAL (140240),2018,Acute Care,Voluntary non-profit - Other,175.0,41.891794,-87.848963,IL,58.0,65.0,,,25.0,430.0,96.0,75.0,84.0,55.0,,,,,,,89.0,1065.0,,,96.0,374.0,,,3.0,19839.0,,,,,,,326.0,31.0,92.0,420.0,131.0,385.0,277.0,420.0,50.0,59.0,0.0,52.0
2241,WESTLAKE COMMUNITY HOSPITAL (140240),2018,Acute Care,Voluntary non-profit - Other,175.0,41.891794,-87.848963,IL,56.0,80.0,,,25.0,429.0,96.0,75.0,84.0,55.0,,,,,,,91.0,1109.0,,,96.0,374.0,,,3.0,19839.0,,,,,,,295.0,36.0,94.0,403.0,136.0,382.0,273.0,403.0,48.0,55.0,0.0,53.0
2242,CENTRAL DUPAGE HOSPITAL (140242),2018,Acute Care,Voluntary non-profit - Private,375.0,41.873765,-88.158095,IL,55.0,119.0,,,22.0,383.0,79.0,96.0,90.0,96.0,96.0,46.0,,,,,97.0,6020.0,0.0,29.0,93.0,499.0,,,2.0,72484.0,,,,,,,232.0,20.0,79.0,408.0,165.0,361.0,236.0,412.0,31.0,230.0,0.0,55.0
2243,CENTRAL DUPAGE HOSPITAL (140242),2018,Acute Care,Voluntary non-profit - Private,375.0,41.873765,-88.158095,IL,56.0,167.0,,,22.0,383.0,79.0,96.0,90.0,96.0,96.0,46.0,,,,,97.0,5757.0,0.0,29.0,93.0,499.0,,,2.0,72484.0,,,,,,,232.0,18.0,78.0,396.0,167.0,361.0,240.0,398.0,31.0,238.0,0.0,54.0
2244,ADVOCATE SOUTH SUBURBAN HOSPITAL (140250),2018,Acute Care,Voluntary non-profit - Church,259.0,41.566922,-87.694399,IL,47.0,109.0,88.0,16.0,68.0,406.0,88.0,72.0,89.0,74.0,,,,,92.0,13.0,97.0,2415.0,0.0,21.0,100.0,558.0,,,5.0,50039.0,8.0,18.0,,,,,567.0,14.0,130.0,869.0,222.0,382.0,394.0,869.0,31.0,119.0,1.0,108.0
2245,ADVOCATE SOUTH SUBURBAN HOSPITAL (140250),2018,Acute Care,Voluntary non-profit - Church,259.0,41.566922,-87.694399,IL,50.0,145.0,88.0,16.0,54.0,406.0,88.0,72.0,89.0,74.0,,,,,92.0,12.0,97.0,2213.0,0.0,19.0,100.0,558.0,,,5.0,50039.0,9.0,19.0,,,,,547.0,17.0,122.0,877.0,212.0,378.0,376.0,877.0,28.0,102.0,0.0,107.0
2246,COMMUNITY FIRST MEDICAL CENTER (140251),2018,Acute Care,Voluntary non-profit - Private,274.0,41.94585,-87.768287,IL,44.0,77.0,100.0,12.0,23.0,410.0,99.0,149.0,100.0,13.0,,,,,82.0,22.0,98.0,1129.0,0.0,13.0,87.0,558.0,,,2.0,42412.0,9.0,22.0,,,,,368.0,36.0,149.0,1076.0,162.0,356.0,274.0,1078.0,52.0,138.0,,
2247,COMMUNITY FIRST MEDICAL CENTER (140251),2018,Acute Care,Voluntary non-profit - Private,274.0,41.94585,-87.768287,IL,39.0,101.0,100.0,13.0,25.0,412.0,99.0,149.0,100.0,13.0,,,,,90.0,20.0,98.0,1177.0,0.0,16.0,87.0,558.0,,,2.0,42412.0,9.0,21.0,,,,,373.0,35.0,129.0,1069.0,166.0,358.0,281.0,1072.0,58.0,127.0,,
2248,NORTHWEST COMMUNITY HOSPITAL 1 (140252),2018,Acute Care,Voluntary non-profit - Private,435.0,42.066604,-87.992951,IL,62.0,129.0,,,9.0,406.0,90.0,101.0,91.0,90.0,80.0,41.0,,,100.0,13.0,76.0,5838.0,3.0,35.0,89.0,554.0,,,0.0,64909.0,,,,,,,266.0,26.0,71.0,793.0,144.0,377.0,221.0,793.0,20.0,244.0,0.0,59.0
2249,NORTHWEST COMMUNITY HOSPITAL 1 (140252),2018,Acute Care,Voluntary non-profit - Private,435.0,42.066604,-87.992951,IL,64.0,174.0,,,9.0,407.0,90.0,101.0,91.0,90.0,80.0,41.0,,,100.0,13.0,75.0,6058.0,3.0,34.0,89.0,554.0,,,0.0,64909.0,,,,,,,246.0,28.0,73.0,775.0,151.0,375.0,225.0,775.0,19.0,240.0,0.0,63.0
2250,ALEXIAN BROTHERS MEDICAL CENTER 1 (140258),2018,Acute Care,Voluntary non-profit - Church,372.0,42.003705,-88.014996,IL,62.0,112.0,,,17.0,427.0,98.0,172.0,99.0,168.0,88.0,26.0,,,,,87.0,4269.0,0.0,52.0,96.0,647.0,,,1.0,50007.0,,,,,,,256.0,25.0,103.0,783.0,158.0,386.0,260.0,783.0,34.0,203.0,0.0,49.0
2251,ALEXIAN BROTHERS MEDICAL CENTER 1 (140258),2018,Acute Care,Voluntary non-profit - Church,372.0,42.003705,-88.014996,IL,67.0,152.0,,,24.0,427.0,98.0,172.0,99.0,168.0,88.0,26.0,,,,,86.0,4782.0,0.0,45.0,96.0,647.0,,,1.0,50007.0,,,,,,,364.0,28.0,101.0,795.0,167.0,386.0,255.0,795.0,34.0,192.0,0.0,47.0
2252,GENESIS HEALTH SYSTEM (140275),2018,Acute Care,Government - Local,236.0,41.493068,-90.419997,IL,29.0,89.0,76.0,21.0,46.0,404.0,98.0,58.0,100.0,67.0,,,,,77.0,22.0,100.0,1682.0,,,98.0,410.0,,,3.0,21581.0,9.0,29.0,,,,,,,68.0,634.0,180.0,381.0,277.0,634.0,74.0,115.0,3.0,33.0
2253,GENESIS HEALTH SYSTEM (140275),2018,Acute Care,Government - Local,236.0,41.493068,-90.419997,IL,33.0,121.0,71.0,21.0,46.0,404.0,98.0,58.0,100.0,67.0,,,,,76.0,25.0,99.0,1569.0,,,98.0,410.0,,,3.0,21581.0,11.0,27.0,,,,,,,67.0,597.0,186.0,378.0,270.0,597.0,75.0,113.0,3.0,31.0
2254,LOYOLA UNIVERSITY MEDICAL CENTER (140276),2018,Acute Care,Voluntary non-profit - Private,518.0,41.858732,-87.83321,IL,54.0,184.0,,,47.0,381.0,99.0,84.0,96.0,96.0,94.0,47.0,,,,,95.0,9400.0,0.0,77.0,100.0,536.0,,,7.0,46055.0,,,,,,,468.0,28.0,206.0,490.0,242.0,345.0,384.0,492.0,69.0,119.0,1.0,81.0
2255,LOYOLA UNIVERSITY MEDICAL CENTER (140276),2018,Acute Care,Voluntary non-profit - Private,518.0,41.858732,-87.83321,IL,57.0,249.0,,,45.0,368.0,99.0,84.0,96.0,96.0,94.0,47.0,,,,,94.0,9504.0,0.0,71.0,100.0,536.0,,,7.0,46055.0,,,,,,,510.0,24.0,196.0,470.0,227.0,349.0,385.0,472.0,76.0,112.0,1.0,87.0
2256,TRINITY ROCK ISLAND (140280),2018,Acute Care,Voluntary non-profit - Other,328.0,41.483649,-90.572799,IL,41.0,76.0,92.0,12.0,20.0,377.0,94.0,120.0,45.0,116.0,47.0,53.0,,,65.0,17.0,92.0,4144.0,14.0,14.0,91.0,509.0,,,1.0,69743.0,8.0,12.0,,,,,244.0,27.0,104.0,594.0,127.0,340.0,253.0,594.0,34.0,187.0,5.0,37.0
2257,TRINITY ROCK ISLAND (140280),2018,Acute Care,Voluntary non-profit - Other,328.0,41.483649,-90.572799,IL,44.0,103.0,93.0,14.0,20.0,376.0,94.0,120.0,45.0,116.0,47.0,53.0,,,68.0,19.0,88.0,3738.0,17.0,18.0,91.0,509.0,,,1.0,69743.0,8.0,14.0,,,,,244.0,25.0,101.0,578.0,127.0,346.0,253.0,579.0,33.0,182.0,7.0,30.0
2258,NORTHWESTERN MEMORIAL HOSPITAL (140281),2018,Acute Care,Voluntary non-profit - Private,896.0,41.894995,-87.621364,IL,54.0,74.0,,,41.0,384.0,95.0,96.0,98.0,96.0,,,,,,,66.0,15919.0,0.0,146.0,99.0,473.0,,,3.0,89128.0,,,,,,,382.0,27.0,74.0,292.0,248.0,342.0,388.0,292.0,40.0,70.0,1.0,137.0
2259,NORTHWESTERN MEMORIAL HOSPITAL (140281),2018,Acute Care,Voluntary non-profit - Private,896.0,41.894995,-87.621364,IL,55.0,99.0,,,42.0,384.0,95.0,96.0,98.0,96.0,,,,,,,95.0,8749.0,0.0,139.0,99.0,473.0,,,3.0,89128.0,,,,,,,406.0,32.0,72.0,292.0,267.0,338.0,390.0,292.0,40.0,74.0,1.0,139.0
2260,KISHWAUKEE COMMUNITY HOSPITAL (140286),2018,Acute Care,Voluntary non-profit - Private,97.0,41.96188,-88.72226,IL,56.0,149.0,92.0,13.0,11.0,483.0,99.0,98.0,100.0,169.0,,,,,92.0,13.0,99.0,1554.0,,,99.0,506.0,,,0.0,27236.0,7.0,14.0,,,,,291.0,33.0,100.0,648.0,131.0,423.0,276.0,648.0,28.0,151.0,3.0,91.0
2261,KISHWAUKEE COMMUNITY HOSPITAL (140286),2018,Acute Care,Voluntary non-profit - Private,97.0,41.96188,-88.72226,IL,57.0,215.0,92.0,12.0,12.0,478.0,99.0,98.0,100.0,169.0,,,,,92.0,13.0,99.0,1225.0,0.0,13.0,99.0,506.0,,,0.0,27236.0,5.0,13.0,,,,,241.0,27.0,101.0,635.0,132.0,428.0,276.0,635.0,27.0,157.0,3.0,75.0
2262,ADVOCATE GOOD SAMARITAN HOSPITAL (140288),2018,Acute Care,Voluntary non-profit - Church,306.0,41.819137,-88.01022,IL,67.0,96.0,91.0,11.0,28.0,391.0,84.0,76.0,84.0,75.0,100.0,16.0,,,,,96.0,3220.0,2.0,52.0,99.0,562.0,,,1.0,42705.0,6.0,13.0,,,,,242.0,22.0,131.0,609.0,190.0,370.0,323.0,613.0,26.0,124.0,2.0,121.0
2263,ADVOCATE GOOD SAMARITAN HOSPITAL (140288),2018,Acute Care,Voluntary non-profit - Church,306.0,41.819137,-88.01022,IL,69.0,131.0,83.0,12.0,28.0,387.0,84.0,76.0,84.0,75.0,100.0,16.0,,,,,97.0,3437.0,2.0,56.0,99.0,562.0,,,1.0,42705.0,8.0,15.0,,,,,220.0,22.0,122.0,602.0,189.0,374.0,314.0,605.0,24.0,128.0,1.0,122.0
2264,ANDERSON HOSPITAL (140289),2018,Acute Care,Voluntary non-profit - Private,147.0,38.738127,-89.946422,IL,27.0,71.0,88.0,42.0,37.0,404.0,85.0,81.0,79.0,80.0,,,,,82.0,28.0,95.0,1555.0,,,97.0,484.0,,,3.0,36412.0,4.0,42.0,,,,,,,70.0,641.0,177.0,386.0,269.0,645.0,56.0,275.0,0.0,29.0
2265,ANDERSON HOSPITAL (140289),2018,Acute Care,Voluntary non-profit - Private,147.0,38.738127,-89.946422,IL,29.0,99.0,89.0,35.0,33.0,404.0,85.0,81.0,79.0,80.0,,,,,81.0,27.0,90.0,1544.0,,,97.0,484.0,,,3.0,36412.0,5.0,35.0,,,,,,,65.0,641.0,167.0,389.0,264.0,644.0,52.0,260.0,0.0,27.0
2266,ST ALEXIUS MEDICAL CENTER (140290),2018,Acute Care,Voluntary non-profit - Church,306.0,42.052409,-88.144445,IL,70.0,84.0,,,22.0,430.0,98.0,169.0,100.0,164.0,100.0,47.0,,,,,88.0,3101.0,0.0,26.0,97.0,564.0,,,1.0,61038.0,,,,,,,340.0,35.0,106.0,727.0,168.0,391.0,273.0,728.0,24.0,219.0,0.0,106.0
2267,ST ALEXIUS MEDICAL CENTER (140290),2018,Acute Care,Voluntary non-profit - Church,306.0,42.052409,-88.144445,IL,70.0,115.0,,,22.0,430.0,98.0,169.0,100.0,164.0,100.0,47.0,,,,,88.0,3839.0,0.0,27.0,97.0,564.0,,,1.0,61038.0,,,,,,,353.0,29.0,107.0,730.0,172.0,395.0,276.0,732.0,22.0,223.0,0.0,108.0
2268,ADVOCATE GOOD SHEPHERD HOSPITAL (140291),2018,Acute Care,Voluntary non-profit - Church,168.0,42.193415,-88.177959,IL,52.0,105.0,,,20.0,405.0,99.0,74.0,77.0,108.0,100.0,29.0,,,94.0,16.0,97.0,2312.0,7.0,14.0,98.0,538.0,,,1.0,36049.0,,,,,,,536.0,20.0,113.0,756.0,146.0,380.0,276.0,756.0,37.0,132.0,2.0,137.0
2269,ADVOCATE GOOD SHEPHERD HOSPITAL (140291),2018,Acute Care,Voluntary non-profit - Church,168.0,42.193415,-88.177959,IL,49.0,144.0,,,19.0,405.0,99.0,74.0,77.0,108.0,100.0,29.0,,,92.0,13.0,97.0,2883.0,,,98.0,538.0,,,1.0,36049.0,,,,,,,486.0,24.0,109.0,761.0,150.0,376.0,273.0,761.0,37.0,126.0,1.0,135.0
2270,ADVENTIST GLENOAKS (140292),2018,Acute Care,Voluntary non-profit - Other,139.0,41.915166,-88.058597,IL,51.0,72.0,,,10.0,388.0,97.0,71.0,79.0,67.0,,,,,,,95.0,877.0,,,98.0,325.0,,,0.0,22518.0,,,,,,,278.0,22.0,85.0,417.0,120.0,400.0,225.0,488.0,33.0,93.0,2.0,57.0
2271,ADVENTIST GLENOAKS (140292),2018,Acute Care,Voluntary non-profit - Other,139.0,41.915166,-88.058597,IL,54.0,97.0,,,11.0,398.0,97.0,71.0,79.0,67.0,,,,,93.0,14.0,95.0,842.0,,,98.0,325.0,,,0.0,22518.0,,,,,,,318.0,25.0,91.0,445.0,115.0,395.0,236.0,524.0,35.0,89.0,2.0,50.0
2272,CROSSROADS COMMUNITY HOSPITAL (140294),2018,Acute Care,Proprietary,48.0,38.312314,-88.936788,IL,66.0,47.0,97.0,63.0,14.0,432.0,71.0,35.0,86.0,21.0,,,,,,,77.0,384.0,,,100.0,312.0,,,1.0,11651.0,10.0,68.0,,,,,195.0,20.0,68.0,430.0,111.0,397.0,246.0,430.0,39.0,57.0,,
2273,CROSSROADS COMMUNITY HOSPITAL (140294),2018,Acute Care,Proprietary,48.0,38.312314,-88.936788,IL,72.0,68.0,97.0,63.0,14.0,431.0,71.0,35.0,86.0,21.0,,,,,,,77.0,363.0,,,100.0,312.0,,,1.0,11651.0,10.0,69.0,,,,,174.0,20.0,70.0,437.0,117.0,396.0,250.0,439.0,40.0,58.0,,
2274,PROVIDENT HOSPITAL OF CHICAGO (140300),2018,Acute Care,Government - Local,43.0,41.802158,-87.614193,IL,,,98.0,108.0,52.0,406.0,100.0,40.0,,,,,,,,,94.0,342.0,,,96.0,321.0,,,3.0,29730.0,56.0,122.0,,,129.0,13.0,,,102.0,594.0,167.0,371.0,486.0,600.0,87.0,70.0,,
2275,PROVIDENT HOSPITAL OF CHICAGO (140300),2018,Acute Care,Government - Local,43.0,41.802158,-87.614193,IL,,,98.0,116.0,51.0,405.0,100.0,40.0,,,,,,,,,90.0,345.0,,,96.0,321.0,,,3.0,29730.0,53.0,126.0,,,130.0,12.0,,,99.0,542.0,168.0,364.0,488.0,544.0,94.0,59.0,,
2276,ADVENTIST BOLINGBROOK HOSPITAL (140304),2018,Acute Care,Voluntary non-profit - Private,136.0,41.679388,-88.083883,IL,51.0,79.0,,,22.0,391.0,96.0,94.0,94.0,67.0,,,,,,,88.0,1354.0,,,99.0,511.0,,,1.0,39058.0,,,,,,,214.0,23.0,53.0,581.0,146.0,402.0,210.0,645.0,56.0,137.0,2.0,59.0
2277,ADVENTIST BOLINGBROOK HOSPITAL (140304),2018,Acute Care,Voluntary non-profit - Private,136.0,41.679388,-88.083883,IL,53.0,106.0,64.0,11.0,22.0,401.0,96.0,94.0,94.0,67.0,,,,,,,96.0,1276.0,,,99.0,511.0,,,1.0,39058.0,2.0,11.0,,,,,292.0,25.0,64.0,598.0,154.0,398.0,214.0,682.0,60.0,140.0,2.0,56.0
2278,METRO-EAST SERVICES INC (140307),2018,Acute Care,Voluntary non-profit - Private,94.0,38.572559,-89.90689,IL,32.0,66.0,100.0,22.0,13.0,408.0,,,,,,,,,84.0,31.0,97.0,1021.0,,,97.0,453.0,,,1.0,17501.0,6.0,24.0,,,,,216.0,12.0,67.0,638.0,146.0,376.0,235.0,639.0,28.0,94.0,1.0,125.0
2279,METRO-EAST SERVICES INC (140307),2018,Acute Care,Voluntary non-profit - Private,94.0,38.572559,-89.90689,IL,30.0,94.0,100.0,23.0,13.0,407.0,,,,,,,,,85.0,33.0,93.0,1437.0,,,97.0,453.0,,,1.0,17501.0,5.0,25.0,,,,,,,67.0,661.0,139.0,383.0,236.0,662.0,25.0,107.0,1.0,135.0
2280,THOMAS H BOYD MEMORIAL HOSPITAL (141300),2018,Critical Access,Voluntary non-profit - Private,25.0,39.29617,-90.412303,IL,,,,,,,,,,,,,,,,,71.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,THOMAS H BOYD MEMORIAL HOSPITAL (141300),2018,Critical Access,Voluntary non-profit - Private,25.0,39.29617,-90.412303,IL,,,,,,,,,,,,,,,,,78.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,KIRBY MEDICAL CENTER (141301),2018,Critical Access,Voluntary non-profit - Private,16.0,40.060163,-88.56377,IL,,,,,,,,,,,,,,,,,83.0,408.0,,,93.0,60.0,,,,,,,,,,,,,55.0,125.0,,,197.0,125.0,,,,
2283,KIRBY MEDICAL CENTER (141301),2018,Critical Access,Voluntary non-profit - Private,16.0,40.060163,-88.56377,IL,,,,,,,,,,,,,,,,,88.0,427.0,,,93.0,60.0,,,,,,,,,,,,,70.0,120.0,,,215.0,120.0,,,,
