,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
1078,ST MARGARETS HOSPITAL (140143),2023,Acute Care,Voluntary non-profit - Private,56.0,41.328409,-89.192633,IL,,,,,,,,,61.0,79.0,,,,,85.0,46.0,,,87.0,15.0,96.0,785.0,,,98.0,100.0,1.0,9131.0,,,232.0,19.0,139.0,454.0,92.8,706.0,16.0,252.0,69.0,29.0,88.0,16.0,75.0,80.0,100.0,34.0,98.0,327.0
1079,ST JOSEPHS HOSPITAL (140145),2023,Acute Care,Voluntary non-profit - Church,49.0,38.625154,-89.524944,IL,28.0,240.0,,,,,,,81.0,69.0,,,,,96.0,77.0,,,67.0,18.0,49.0,581.0,,,,,0.0,8406.0,,,247.0,14.0,144.0,346.0,54.2,428.0,21.0,146.0,69.0,13.0,,,88.0,69.0,98.0,47.0,98.0,223.0
1080,CARLE RICHLAND MEMORIAL HOSPITAL (140147),2023,Acute Care,Voluntary non-profit - Private,88.0,38.735021,-88.077125,IL,,,,,,,,,51.0,74.0,,,,,100.0,29.0,,,,,97.0,589.0,,,95.0,120.0,1.0,9275.0,,,195.0,16.0,150.0,370.0,88.0,527.0,26.0,163.0,68.0,31.0,21.0,14.0,83.0,75.0,96.0,48.0,83.0,258.0
1081,MEMORIAL MEDICAL CENTER (140148),2023,Acute Care,Voluntary non-profit - Private,465.0,39.808778,-89.654586,IL,,,,,,,94.0,188.0,48.0,331.0,96.0,255.0,,,100.0,64.0,,,,,85.0,5835.0,,,94.0,1393.0,5.0,63794.0,,,340.0,60.0,257.0,1106.0,87.3,5971.0,,,74.0,103.0,91.0,58.0,71.0,335.0,77.0,193.0,81.0,5522.0
1082,UNIVERSITY OF ILLINOIS HOSPITAL AND CLINICS (140150),2023,Acute Care,Government - State,498.0,41.869224,-87.670529,IL,,,,,,,86.0,76.0,56.0,106.0,96.0,89.0,94.0,88.0,98.0,50.0,,,,,98.0,9832.0,,,100.0,1268.0,4.0,49619.0,,,557.0,28.0,322.0,354.0,96.4,7185.0,,,65.0,31.0,,,73.0,106.0,91.0,47.0,97.0,4001.0
1083,PRESENCE ST MARYS HOSPITAL (140155),2023,Acute Care,Voluntary non-profit - Other,177.0,41.121113,-87.871768,IL,145.0,771.0,72.0,157.0,,,,,55.0,80.0,,,,,83.0,41.0,,,77.0,13.0,85.0,616.0,,,97.0,624.0,1.0,25624.0,,,226.0,12.0,139.0,396.0,80.6,563.0,,,76.0,25.0,44.0,16.0,76.0,80.0,95.0,42.0,97.0,907.0
1084,INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO (140158),2023,Acute Care,Voluntary non-profit - Private,11375.0,41.847053,-87.623583,IL,,,,,,,,,23.0,62.0,,,,,70.0,40.0,,,,,99.0,504.0,,,,,2.0,21852.0,,,327.0,27.0,145.0,355.0,98.2,544.0,,,77.0,13.0,,,48.0,62.0,66.0,29.0,,
1085,FHN MEMORIAL HOSPITAL (140160),2023,Acute Care,Voluntary non-profit - Private,100.0,42.295894,-89.637947,IL,,,,,,,,,52.0,212.0,,,,,97.0,69.0,,,93.0,15.0,76.0,1454.0,,,,,0.0,24347.0,84.0,13.0,298.0,22.0,182.0,456.0,81.6,1433.0,,,64.0,74.0,74.0,38.0,75.0,212.0,93.0,97.0,,
1086,SAINT JAMES HOSPITAL (140161),2023,Acute Care,Voluntary non-profit - Church,42.0,40.873402,-88.678583,IL,,,,,,,,,63.0,107.0,,,,,100.0,101.0,,,82.0,17.0,91.0,459.0,,,84.0,124.0,1.0,12678.0,,,296.0,18.0,129.0,358.0,84.7,445.0,,,62.0,48.0,73.0,15.0,86.0,107.0,95.0,61.0,,
1087,ST JOSEPH MEDICAL CENTER (140162),2023,Acute Care,Voluntary non-profit - Church,149.0,40.480118,-88.955385,IL,,,,,,,87.0,45.0,54.0,213.0,100.0,51.0,98.0,51.0,,,,,,,76.0,1472.0,,,91.0,381.0,2.0,29959.0,,,308.0,18.0,203.0,381.0,89.3,1462.0,,,53.0,72.0,86.0,22.0,76.0,213.0,93.0,124.0,,
1088,MEMORIAL HOSPITAL OF CARBONDALE (140164),2023,Acute Care,Voluntary non-profit - Private,164.0,37.727973,-89.220121,IL,,,,,,,96.0,68.0,44.0,75.0,100.0,76.0,95.0,76.0,,,,,74.0,19.0,100.0,2479.0,,,99.0,432.0,4.0,33437.0,,,209.0,20.0,146.0,380.0,99.8,1645.0,23.0,1423.0,24.0,17.0,,,69.0,75.0,81.0,26.0,,
1089,ST MARYS HOSPITAL (140166),2023,Acute Care,Voluntary non-profit - Private,220.0,39.82635,-88.93191,IL,82.0,1316.0,,,,,87.0,39.0,60.0,108.0,97.0,39.0,90.0,39.0,83.0,118.0,,,48.0,25.0,71.0,912.0,,,96.0,345.0,8.0,32347.0,,,376.0,26.0,206.0,359.0,83.7,532.0,16.0,669.0,59.0,29.0,100.0,14.0,76.0,108.0,94.0,70.0,98.0,1060.0
1090,IROQUOIS MEMORIAL HOSPITAL (140167),2023,Acute Care,Voluntary non-profit - Private,67.0,40.765541,-87.732666,IL,,,,,,,,,50.0,34.0,,,,,88.0,25.0,,,,,98.0,412.0,,,,,0.0,4157.0,,,246.0,20.0,157.0,369.0,88.6,454.0,,,,,,,79.0,34.0,92.0,25.0,,
1091,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS (140172),2023,Acute Care,Proprietary,274.0,,,IL,,,,,,,91.0,78.0,42.0,129.0,96.0,84.0,98.0,83.0,94.0,72.0,,,64.0,22.0,93.0,2344.0,,,,,5.0,47202.0,,,571.0,28.0,339.0,317.0,83.0,1466.0,,,70.0,23.0,,,68.0,129.0,66.0,58.0,91.0,2251.0
1092,PRESENCE MERCY MEDICAL CENTER (140174),2023,Acute Care,Voluntary non-profit - Church,281.0,41.786906,-88.328909,IL,120.0,919.0,88.0,28.0,,,,,64.0,97.0,,,97.0,32.0,,,,,58.0,31.0,90.0,661.0,,,98.0,421.0,1.0,30726.0,,,342.0,59.0,180.0,336.0,95.7,542.0,,,59.0,34.0,83.0,12.0,81.0,97.0,98.0,60.0,92.0,1245.0
1093,JACKSON PARK HOSPITAL (140177),2023,Acute Care,Voluntary non-profit - Private,181.0,41.757332,-87.58571,IL,,,,,,,,,0.0,20.0,,,,,63.0,38.0,,,,,22.0,581.0,,,76.0,58.0,2.0,17554.0,,,292.0,70.0,195.0,599.0,,,,,,,,,15.0,20.0,,,,
1094,OSF LITTLE COMPANY OF MARY MEDICAL CENTER (140179),2023,Acute Care,Voluntary non-profit - Other,258.0,41.720902,-87.691966,IL,,,,,,,97.0,141.0,32.0,182.0,98.0,111.0,,,94.0,82.0,,,81.0,26.0,60.0,1952.0,,,,,11.0,44130.0,,,551.0,20.0,255.0,383.0,91.6,2011.0,10.0,827.0,33.0,66.0,79.0,19.0,71.0,182.0,80.0,110.0,,
1095,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER (140180),2023,Acute Care,Voluntary non-profit - Church,450.0,41.903104,-87.683213,IL,251.0,2089.0,215.0,173.0,,,,,72.0,67.0,,,98.0,40.0,94.0,358.0,,,,,91.0,1580.0,,,96.0,315.0,1.0,47710.0,,,304.0,25.0,211.0,373.0,97.9,1198.0,,,100.0,17.0,92.0,12.0,79.0,68.0,92.0,48.0,76.0,2111.0
1096,SOUTH SHORE HOSPITAL (140181),2023,Acute Care,Voluntary non-profit - Private,136.0,41.749496,-87.568623,IL,,,,,,,,,66.0,53.0,,,,,,,,,,,66.0,517.0,,,73.0,96.0,10.0,9908.0,,,706.0,20.0,270.0,283.0,99.1,463.0,,,93.0,15.0,,,74.0,53.0,90.0,31.0,40.0,368.0
1097,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER (140182),2023,Acute Care,Voluntary non-profit - Church,305.0,41.936315,-87.651554,IL,112.0,2788.0,134.0,100.0,,,,,69.0,108.0,96.0,103.0,,,87.0,78.0,,,,,99.0,3438.0,,,99.0,749.0,2.0,40408.0,,,382.0,30.0,242.0,366.0,95.6,2555.0,,,75.0,44.0,85.0,27.0,89.0,108.0,91.0,65.0,97.0,2485.0
1098,HEARTLAND REGIONAL MEDICAL CENTER (140184),2023,Acute Care,Proprietary,95.0,37.744891,-88.988848,IL,,,,,,,,,66.0,119.0,,,,,69.0,52.0,,,88.0,16.0,71.0,697.0,,,95.0,257.0,5.0,12298.0,,,193.0,27.0,159.0,368.0,79.7,594.0,25.0,280.0,60.0,20.0,91.0,11.0,76.0,119.0,94.0,65.0,88.0,456.0
1099,MEMORIAL HOSPITAL (140185),2023,Acute Care,Voluntary non-profit - Private,353.0,38.550533,-90.021168,IL,,,,,,,96.0,126.0,53.0,129.0,98.0,128.0,97.0,127.0,95.0,136.0,,,85.0,20.0,97.0,3844.0,,,96.0,411.0,3.0,67774.0,,,,,186.0,382.0,96.6,2528.0,,,45.0,33.0,,,77.0,129.0,90.0,77.0,,
1100,RIVERSIDE MEDICAL CENTER (140186),2023,Acute Care,Voluntary non-profit - Private,317.0,41.124148,-87.882651,IL,113.0,2645.0,107.0,191.0,,,,,57.0,183.0,,,99.0,87.0,88.0,98.0,,,,,98.0,4377.0,,,95.0,454.0,3.0,39308.0,,,239.0,22.0,210.0,350.0,98.0,3115.0,,,65.0,49.0,93.0,28.0,74.0,183.0,90.0,108.0,97.0,2508.0
1101,HSHS ST ELIZABETH'S HOSPITAL (140187),2023,Acute Care,Voluntary non-profit - Church,205.0,,,IL,76.0,2488.0,,,,,95.0,56.0,80.0,271.0,93.0,58.0,96.0,56.0,97.0,287.0,,,65.0,26.0,62.0,1726.0,,,100.0,486.0,2.0,38516.0,,,392.0,15.0,224.0,372.0,85.1,1125.0,18.0,1527.0,84.0,68.0,98.0,47.0,88.0,272.0,96.0,161.0,98.0,2525.0
1102,SARAH BUSH LINCOLN HEALTH CENTER (140189),2023,Acute Care,Voluntary non-profit - Private,108.0,39.488543,-88.275793,IL,,,,,,,94.0,31.0,58.0,146.0,96.0,47.0,96.0,46.0,94.0,140.0,,,81.0,16.0,91.0,3333.0,,,,,2.0,37316.0,41.0,19.0,198.0,20.0,181.0,406.0,86.1,3003.0,18.0,1061.0,70.0,53.0,93.0,27.0,78.0,146.0,86.0,70.0,,
1103,INGALLS MEMORIAL HOSPITAL (140191),2023,Acute Care,Voluntary non-profit - Private,324.0,41.606331,-87.659484,IL,,,,,,,89.0,96.0,36.0,45.0,92.0,89.0,88.0,89.0,97.0,62.0,,,68.0,19.0,80.0,2139.0,,,,,7.0,45900.0,,,496.0,13.0,163.0,365.0,96.0,1813.0,,,,,,,73.0,45.0,54.0,24.0,81.0,2904.0
1104,METHODIST HOSPITAL OF CHICAGO (140197),2023,Acute Care,Voluntary non-profit - Private,153.0,41.973262,-87.671141,IL,155.0,153.0,144.0,44.0,,,,,,,,,,,85.0,104.0,,,,,68.0,266.0,,,,,1.0,2765.0,,,378.0,306.0,164.0,109.0,93.6,224.0,,,,,,,,,,,0.0,1471.0
1105,ELMHURST MEMORIAL HOSPITAL (140200),2023,Acute Care,Proprietary,286.0,41.861684,-87.934295,IL,,,,,78.0,36.0,,,54.0,171.0,100.0,119.0,97.0,121.0,100.0,81.0,,,76.0,17.0,94.0,4105.0,,,,,1.0,75622.0,,,236.0,18.0,176.0,397.0,95.1,4361.0,,,70.0,61.0,76.0,34.0,71.0,171.0,98.0,93.0,,
1106,ADVOCATE CONDELL MEDICAL CENTER (140202),2023,Acute Care,Voluntary non-profit - Private,269.0,42.274563,-87.95165,IL,130.0,4131.0,142.0,112.0,,,,,70.0,164.0,95.0,111.0,,,99.0,75.0,,,100.0,29.0,98.0,3021.0,,,99.0,635.0,9.0,49407.0,,,415.0,31.0,267.0,367.0,93.0,2144.0,,,80.0,71.0,95.0,39.0,80.0,164.0,99.0,90.0,90.0,4302.0
1107,HUMBOLDT PARK HEALTH (140206),2023,Acute Care,Voluntary non-profit - Private,181.0,41.900481,-87.699288,IL,,,,,,,,,30.0,79.0,,,,,94.0,32.0,,,,,85.0,793.0,,,99.0,205.0,1.0,23995.0,,,231.0,51.0,176.0,378.0,,,10.0,235.0,54.0,28.0,54.0,13.0,71.0,79.0,79.0,47.0,98.0,979.0
1108,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER (140208),2023,Acute Care,Voluntary non-profit - Church,731.0,41.720316,-87.732364,IL,243.0,9462.0,305.0,380.0,,,,,63.0,215.0,97.0,300.0,,,97.0,77.0,,,,,98.0,7914.0,,,98.0,1733.0,10.0,106682.0,,,445.0,21.0,280.0,385.0,94.9,6132.0,,,62.0,80.0,98.0,43.0,81.0,216.0,95.0,125.0,93.0,10067.0
1109,METHODIST MEDICAL CENTER OF ILLINOIS (140209),2023,Acute Care,Voluntary non-profit - Private,280.0,40.700181,-89.5946,IL,,,,,,,95.0,61.0,62.0,411.0,100.0,70.0,93.0,69.0,94.0,53.0,,,92.0,12.0,92.0,3257.0,,,97.0,812.0,5.0,35949.0,,,614.0,47.0,210.0,320.0,92.4,3521.0,,,73.0,117.0,93.0,71.0,82.0,411.0,82.0,238.0,,
1110,HARRISBURG MEDICAL CENTER (140210),2023,Acute Care,Voluntary non-profit - Other,71.0,,,IL,,,,,,,,,70.0,79.0,,,,,91.0,45.0,,,93.0,14.0,100.0,503.0,,,,,1.0,10345.0,73.0,15.0,268.0,25.0,152.0,339.0,99.7,399.0,,,64.0,25.0,73.0,11.0,86.0,79.0,98.0,56.0,,
1111,NORTHWESTERN MEDICINE DELNOR COMMUNITY HOSPITAL (140211),2023,Acute Care,Voluntary non-profit - Other,149.0,41.886345,-88.340414,IL,,,,,,,91.0,55.0,60.0,187.0,95.0,56.0,96.0,50.0,91.0,87.0,,,,,97.0,2567.0,,,,,4.0,40880.0,,,346.0,18.0,239.0,381.0,97.6,2631.0,,,62.0,63.0,77.0,30.0,77.0,187.0,100.0,73.0,,
1112,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS (140213),2023,Acute Care,Voluntary non-profit - Private,299.0,41.54543,-87.986049,IL,106.0,5438.0,128.0,104.0,59.0,41.0,,,50.0,596.0,91.0,156.0,92.0,154.0,86.0,84.0,,,50.0,24.0,77.0,4787.0,,,,,4.0,73155.0,,,691.0,26.0,208.0,342.0,98.5,3714.0,,,55.0,202.0,68.0,87.0,73.0,596.0,94.0,288.0,,
1113,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN (140217),2023,Acute Care,Voluntary non-profit - Church,184.0,42.036242,-88.327934,IL,134.0,900.0,90.0,226.0,,,,,61.0,82.0,,,92.0,36.0,98.0,62.0,,,,,79.0,959.0,,,98.0,264.0,0.0,21214.0,,,220.0,34.0,173.0,364.0,90.5,556.0,,,75.0,32.0,65.0,17.0,79.0,82.0,98.0,51.0,90.0,1417.0
1114,ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),2023,Acute Care,Voluntary non-profit - Church,630.0,42.039748,-87.848146,IL,146.0,6738.0,151.0,434.0,,,,,77.0,203.0,99.0,226.0,,,99.0,92.0,,,,,98.0,5961.0,,,99.0,1439.0,2.0,74452.0,,,423.0,28.0,252.0,400.0,93.6,4717.0,,,91.0,76.0,94.0,52.0,85.0,204.0,97.0,144.0,96.0,6734.0
1115,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO (140224),2023,Acute Care,Voluntary non-profit - Church,322.0,41.933928,-87.636418,IL,146.0,1096.0,128.0,66.0,,,,,78.0,166.0,,,,,100.0,84.0,,,,,86.0,1155.0,,,90.0,213.0,1.0,17568.0,,,308.0,32.0,147.0,385.0,98.1,913.0,,,97.0,35.0,90.0,21.0,86.0,166.0,90.0,106.0,75.0,1665.0
1116,SWEDISH AMERICAN HOSPITAL (140228),2023,Acute Care,Voluntary non-profit - Other,313.0,42.266943,-89.07355,IL,,,,,,,90.0,77.0,59.0,594.0,100.0,70.0,,,100.0,31.0,,,,,85.0,9050.0,,,96.0,892.0,3.0,67307.0,,,238.0,32.0,236.0,386.0,87.2,4499.0,,,61.0,264.0,89.0,123.0,81.0,594.0,98.0,350.0,,
1117,EDWARD HOSPITAL (140231),2023,Acute Care,Voluntary non-profit - Private,297.0,41.761426,-88.149239,IL,,,,,82.0,40.0,,,46.0,168.0,100.0,177.0,97.0,174.0,98.0,82.0,,,,,90.0,7266.0,,,,,2.0,102773.0,,,345.0,23.0,168.0,396.0,95.4,7208.0,,,55.0,73.0,52.0,33.0,80.0,168.0,95.0,104.0,,
1118,SAINT ANTHONY MEDICAL CENTER (140233),2023,Acute Care,Voluntary non-profit - Church,238.0,42.265778,-89.0073,IL,,,,,,,94.0,126.0,66.0,142.0,100.0,107.0,96.0,102.0,92.0,38.0,,,,,94.0,2256.0,,,91.0,1038.0,3.0,34825.0,,,414.0,15.0,221.0,387.0,88.9,2187.0,,,76.0,70.0,98.0,40.0,85.0,142.0,90.0,84.0,,
1119,ST MARGARET'S HEALTH - PERU (140234),2023,Acute Care,Voluntary non-profit - Private,55.0,41.328769,-89.125188,IL,,,,,,,,,74.0,43.0,,,,,93.0,14.0,,,71.0,14.0,90.0,561.0,,,,,2.0,11057.0,,,180.0,28.0,127.0,356.0,94.6,513.0,,,80.0,15.0,,,88.0,43.0,93.0,28.0,,
1120,JAVON BEA HOSPITAL (140239),2023,Acute Care,Voluntary non-profit - Private,299.0,42.298434,-89.096782,IL,,,,,,,93.0,123.0,43.0,225.0,97.0,171.0,95.0,169.0,95.0,265.0,,,,,83.0,3480.0,,,94.0,827.0,11.0,34757.0,,,242.0,12.0,222.0,377.0,88.7,1426.0,,,47.0,77.0,66.0,29.0,72.0,225.0,87.0,105.0,,
1121,NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL (140242),2023,Acute Care,Voluntary non-profit - Private,375.0,41.873765,-88.158095,IL,,,,,92.0,25.0,93.0,208.0,44.0,110.0,99.0,137.0,97.0,130.0,96.0,184.0,,,,,96.0,6085.0,,,,,5.0,69927.0,,,242.0,24.0,211.0,379.0,98.3,6200.0,,,55.0,38.0,94.0,17.0,74.0,111.0,76.0,54.0,,
1122,COMMUNITY FIRST MEDICAL CENTER (140251),2023,Acute Care,Voluntary non-profit - Private,274.0,41.94585,-87.768287,IL,,,,,,,,,29.0,99.0,,,,,97.0,64.0,,,36.0,11.0,96.0,893.0,,,,,12.0,22364.0,,,235.0,43.0,262.0,297.0,93.4,935.0,,,50.0,20.0,,,59.0,99.0,62.0,48.0,,
1123,NORTHWEST COMMUNITY HOSPITAL 1 (140252),2023,Acute Care,Voluntary non-profit - Private,435.0,42.066604,-87.992951,IL,,,,,,,98.0,164.0,75.0,129.0,100.0,170.0,98.0,170.0,100.0,76.0,,,,,95.0,3181.0,,,97.0,869.0,2.0,56982.0,,,369.0,33.0,183.0,369.0,99.6,2365.0,,,88.0,43.0,85.0,27.0,89.0,129.0,89.0,82.0,,
1124,ALEXIAN BROTHERS MEDICAL CENTER 1 (140258),2023,Acute Care,Voluntary non-profit - Church,372.0,42.003705,-88.014996,IL,,,,,,,76.0,149.0,74.0,180.0,98.0,172.0,94.0,165.0,98.0,128.0,,,,,82.0,2720.0,,,99.0,531.0,1.0,40792.0,,,355.0,31.0,213.0,397.0,93.8,1657.0,,,71.0,77.0,93.0,45.0,88.0,182.0,100.0,92.0,96.0,3914.0
1125,GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI (140275),2023,Acute Care,Government - Local,236.0,41.493068,-90.419997,IL,77.0,667.0,,,,,,,50.0,125.0,,,,,99.0,91.0,,,82.0,22.0,96.0,1131.0,,,,,4.0,20359.0,,,287.0,13.0,204.0,394.0,66.6,814.0,,,56.0,63.0,65.0,20.0,82.0,125.0,97.0,74.0,,
1126,LOYOLA UNIVERSITY MEDICAL CENTER (140276),2023,Acute Care,Voluntary non-profit - Private,518.0,41.858732,-87.83321,IL,,,,,,,,,44.0,247.0,99.0,136.0,95.0,133.0,100.0,95.0,,,,,89.0,9285.0,,,98.0,2053.0,11.0,43504.0,,,677.0,31.0,324.0,362.0,93.7,7247.0,18.0,2369.0,41.0,98.0,85.0,34.0,77.0,247.0,86.0,130.0,96.0,3541.0
1127,TRINITY ROCK ISLAND (140280),2023,Acute Care,Voluntary non-profit - Other,328.0,41.483649,-90.572799,IL,,,,,,,99.0,78.0,53.0,68.0,100.0,82.0,,,69.0,16.0,,,71.0,28.0,90.0,2818.0,,,97.0,635.0,4.0,57364.0,,,285.0,24.0,171.0,345.0,92.9,3126.0,,,58.0,19.0,,,76.0,68.0,81.0,27.0,,
1128,NORTHWESTERN MEMORIAL HOSPITAL (140281),2023,Acute Care,Voluntary non-profit - Private,896.0,41.894995,-87.621364,IL,,,,,,,83.0,222.0,50.0,101.0,96.0,173.0,97.0,163.0,99.0,106.0,,,,,94.0,14734.0,,,,,10.0,89586.0,,,386.0,28.0,355.0,377.0,98.5,15223.0,,,62.0,24.0,64.0,11.0,66.0,101.0,89.0,38.0,,
1129,NORTHWESTERN MEDICINE KISHWAUKEE HOSPITAL (140286),2023,Acute Care,Voluntary non-profit - Private,97.0,41.96188,-88.72226,IL,,,,,,,100.0,38.0,66.0,185.0,97.0,33.0,84.0,32.0,100.0,79.0,,,100.0,14.0,93.0,2389.0,,,,,2.0,35511.0,,,302.0,24.0,174.0,369.0,97.8,2391.0,,,67.0,63.0,92.0,36.0,82.0,186.0,95.0,106.0,,
1130,ADVOCATE GOOD SAMARITAN HOSPITAL (140288),2023,Acute Care,Voluntary non-profit - Church,306.0,41.819137,-88.01022,IL,111.0,3171.0,104.0,123.0,,,,,65.0,289.0,96.0,91.0,,,91.0,76.0,,,87.0,23.0,98.0,3099.0,,,99.0,925.0,2.0,39357.0,,,163.0,20.0,196.0,378.0,98.0,2458.0,,,76.0,103.0,88.0,60.0,83.0,292.0,91.0,172.0,92.0,3616.0
1131,ANDERSON HOSPITAL (140289),2023,Acute Care,Voluntary non-profit - Private,147.0,38.738127,-89.946422,IL,,,,,,,100.0,42.0,38.0,99.0,93.0,55.0,96.0,54.0,93.0,90.0,,,76.0,17.0,70.0,1739.0,,,,,1.0,33418.0,,,376.0,17.0,202.0,377.0,93.8,1462.0,,,22.0,23.0,,,63.0,99.0,91.0,47.0,,
1132,ST ALEXIUS MEDICAL CENTER (140290),2023,Acute Care,Voluntary non-profit - Church,306.0,42.052409,-88.144445,IL,,,,,,,88.0,68.0,56.0,187.0,94.0,70.0,93.0,67.0,98.0,119.0,,,,,80.0,2601.0,,,99.0,298.0,2.0,53168.0,,,378.0,34.0,198.0,438.0,94.5,1447.0,,,64.0,87.0,91.0,47.0,78.0,188.0,98.0,93.0,93.0,3497.0
1133,ADVOCATE GOOD SHEPHERD HOSPITAL (140291),2023,Acute Care,Voluntary non-profit - Church,168.0,42.193415,-88.177959,IL,88.0,1693.0,84.0,34.0,,,,,78.0,168.0,94.0,62.0,,,94.0,81.0,,,79.0,14.0,97.0,2401.0,,,96.0,623.0,1.0,34611.0,,,211.0,23.0,182.0,382.0,92.3,1756.0,,,83.0,69.0,91.0,47.0,91.0,168.0,94.0,97.0,92.0,2586.0
1134,ADVENTIST GLENOAKS (140292),2023,Acute Care,Voluntary non-profit - Other,139.0,41.915166,-88.058597,IL,,,,,,,,,67.0,139.0,,,,,97.0,75.0,,,67.0,12.0,88.0,935.0,,,98.0,275.0,2.0,20016.0,,,223.0,33.0,162.0,401.0,95.3,737.0,,,67.0,70.0,95.0,39.0,89.0,140.0,97.0,86.0,,
