,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
701,HOLY CROSS HOSPITAL (100073),2020,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,66.0,125.0,100.0,300.0,99.0,362.0,100.0,48.0,,,,,,,,,1.0,57812.0,,,241.0,17.0,111.0,878.0,152.0,384.0,2.0,105.0,89.0,100.0,61.0,18.0,82.0,125.0,96.0,69.0
702,ST JOSEPHS HOSPITAL (100075),2020,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,79.0,835.0,98.0,164.0,100.0,253.0,,,,,65.0,23.0,79.0,12726.0,,,1.0,264211.0,,,341.0,101.0,82.0,2594.0,143.0,3086.0,1.0,673.0,94.0,708.0,94.0,172.0,87.0,835.0,96.0,535.0
703,BAYFRONT HEALTH PORT CHARLOTTE (100077),2020,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,47.0,218.0,88.0,41.0,91.0,70.0,,,,,,,77.0,1716.0,,,1.0,31249.0,,,,,176.0,927.0,145.0,412.0,0.0,31.0,81.0,149.0,39.0,33.0,76.0,220.0,87.0,133.0
704,JFK MEDICAL CENTER (100080),2020,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,67.0,183.0,95.0,101.0,88.0,105.0,,,,,,,55.0,3396.0,,,0.0,126489.0,,,177.0,33.0,60.0,1254.0,125.0,497.0,0.0,48.0,97.0,135.0,47.0,17.0,80.0,183.0,89.0,97.0
705,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2020,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,,,,,,,,,,,,,,,,,0.0,9631.0,,,,,60.0,207.0,116.0,306.0,,,,,,,,,,
706,UF HEALTH LEESBURG HOSPITAL (100084),2020,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,52.0,116.0,81.0,16.0,99.0,82.0,,,,,60.0,20.0,87.0,2365.0,,,3.0,43525.0,,,248.0,14.0,207.0,891.0,192.0,372.0,0.0,57.0,85.0,75.0,79.0,19.0,75.0,116.0,82.0,67.0
707,BROWARD HEALTH NORTH (100086),2020,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,64.0,384.0,100.0,39.0,100.0,83.0,,,,,,,88.0,2889.0,,,1.0,62980.0,,,281.0,16.0,139.0,1014.0,181.0,369.0,,,88.0,302.0,79.0,113.0,87.0,384.0,88.0,259.0
708,SARASOTA MEMORIAL HOSPITAL (100087),2020,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,58.0,405.0,93.0,76.0,100.0,82.0,,,,,,,90.0,8675.0,,,2.0,117133.0,,,364.0,20.0,80.0,712.0,178.0,506.0,2.0,418.0,90.0,280.0,78.0,76.0,76.0,407.0,87.0,214.0
709,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE (100088),2020,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,49.0,157.0,96.0,189.0,94.0,189.0,95.0,84.0,,,62.0,21.0,,,,,1.0,270340.0,,,198.0,11.0,165.0,667.0,139.0,691.0,3.0,106.0,74.0,119.0,26.0,23.0,83.0,157.0,86.0,81.0
710,FLAGLER HOSPITAL (100090),2020,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,79.0,179.0,100.0,218.0,100.0,249.0,,,,,82.0,17.0,89.0,2330.0,,,1.0,58308.0,,,321.0,19.0,225.0,747.0,148.0,400.0,0.0,44.0,99.0,145.0,98.0,50.0,87.0,179.0,90.0,101.0
711,STEWARD ROCKLEDGE HOSPITAL (100092),2020,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,72.0,138.0,100.0,34.0,96.0,112.0,,,,,,,92.0,1371.0,,,1.0,39671.0,,,318.0,18.0,152.0,942.0,131.0,353.0,0.0,61.0,93.0,109.0,86.0,14.0,81.0,138.0,95.0,65.0
712,BAPTIST HOSPITAL (100093),2020,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,44.0,108.0,98.0,87.0,100.0,102.0,100.0,29.0,,,,,,,,,1.0,58726.0,,,320.0,26.0,181.0,743.0,178.0,378.0,9.0,23.0,72.0,69.0,77.0,13.0,73.0,108.0,83.0,58.0
713,ADVENTHEALTH LAKE WALES (100099),2020,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,91.0,94.0,99.0,166.0,100.0,230.0,,,,,,,,,,,1.0,25057.0,,,,,82.0,816.0,133.0,402.0,,,99.0,87.0,,,94.0,94.0,99.0,69.0
714,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER (100102),2020,Acute Care,Voluntary non-profit - Private,95.0,30.193486,-82.632704,FL,53.0,32.0,97.0,32.0,97.0,29.0,,,,,,,58.0,463.0,,,1.0,26645.0,77.0,15.0,234.0,11.0,107.0,321.0,108.0,386.0,0.0,49.0,81.0,21.0,,,78.0,32.0,82.0,22.0
715,CLEVELAND CLINIC INDIAN RIVER HOSPITAL (100105),2020,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,64.0,686.0,100.0,71.0,100.0,103.0,91.0,44.0,,,77.0,13.0,93.0,3369.0,,,2.0,64048.0,,,183.0,53.0,111.0,875.0,151.0,1111.0,0.0,40.0,94.0,467.0,97.0,62.0,79.0,686.0,82.0,396.0
716,DOCTORS MEMORIAL HOSPITAL INC (100106),2020,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,75.0,24.0,28.0,25.0,72.0,101.0,,,,,50.0,14.0,69.0,346.0,,,7.0,12272.0,,,,,94.0,305.0,155.0,331.0,,,95.0,19.0,,,83.0,24.0,93.0,14.0
717,LEHIGH REGIONAL MEDICAL CENTER (100107),2020,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,81.0,84.0,,,92.0,13.0,,,,,,,88.0,460.0,,,2.0,27694.0,,,84.0,11.0,91.0,777.0,120.0,417.0,,,92.0,75.0,83.0,12.0,93.0,84.0,93.0,54.0
718,ADVENTHEALTH SEBRING (100109),2020,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,61.0,104.0,,,89.0,201.0,97.0,33.0,,,85.0,20.0,94.0,2280.0,,,2.0,51096.0,,,264.0,14.0,100.0,819.0,162.0,401.0,1.0,178.0,93.0,72.0,,,75.0,104.0,89.0,54.0
719,OSCEOLA REGIONAL MEDICAL CENTER (100110),2020,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,67.0,135.0,71.0,14.0,96.0,26.0,,,,,,,59.0,2725.0,,,1.0,95029.0,,,,,125.0,1209.0,120.0,525.0,0.0,25.0,86.0,105.0,,,88.0,136.0,85.0,85.0
720,UF HEALTH SHANDS HOSPITAL (100113),2020,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,67.0,107.0,95.0,80.0,80.0,99.0,96.0,51.0,,,,,95.0,14396.0,,,4.0,134923.0,,,435.0,13.0,229.0,454.0,218.0,374.0,3.0,128.0,90.0,84.0,80.0,20.0,83.0,107.0,92.0,59.0
721,BAPTIST MEDICAL CENTER  BEACHES (100117),2020,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,50.0,137.0,94.0,182.0,95.0,185.0,,,,,,,,,,,0.0,32097.0,,,204.0,30.0,104.0,819.0,167.0,688.0,0.0,48.0,77.0,98.0,17.0,18.0,79.0,137.0,87.0,76.0
722,FLORIDA HOSPITAL FLAGLER (100118),2020,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,82.0,604.0,68.0,80.0,100.0,68.0,100.0,24.0,,,86.0,21.0,83.0,1910.0,,,1.0,43596.0,,,,,76.0,891.0,141.0,411.0,,,91.0,569.0,63.0,167.0,95.0,605.0,99.0,425.0
723,BARTOW REGIONAL MEDICAL CENTER (100121),2020,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,65.0,217.0,90.0,29.0,88.0,24.0,,,,,,,87.0,716.0,,,1.0,35359.0,,,111.0,17.0,49.0,808.0,94.0,626.0,,,90.0,161.0,88.0,34.0,78.0,217.0,94.0,128.0
724,NORTH OKALOOSA MEDICAL CENTER (100122),2020,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,57.0,200.0,100.0,37.0,100.0,210.0,,,,,80.0,46.0,91.0,655.0,,,2.0,33669.0,,,344.0,14.0,101.0,833.0,140.0,405.0,13.0,47.0,86.0,153.0,19.0,26.0,83.0,201.0,91.0,132.0
725,SANTA ROSA MEDICAL CENTER (100124),2020,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,86.0,200.0,100.0,45.0,100.0,205.0,,,,,,,86.0,777.0,,,1.0,35075.0,40.0,17.0,111.0,11.0,65.0,878.0,110.0,407.0,0.0,37.0,93.0,187.0,91.0,46.0,94.0,200.0,99.0,150.0
726,HOMESTEAD HOSPITAL (100125),2020,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,74.0,266.0,100.0,22.0,100.0,17.0,,,,,56.0,16.0,85.0,2094.0,,,2.0,94351.0,,,273.0,11.0,192.0,962.0,200.0,528.0,0.0,193.0,92.0,222.0,83.0,48.0,86.0,266.0,96.0,170.0
727,PALMS OF PASADENA HOSPITAL (100126),2020,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,87.0,406.0,94.0,36.0,100.0,103.0,,,,,,,89.0,757.0,,,0.0,16592.0,,,186.0,24.0,52.0,1046.0,109.0,425.0,,,97.0,366.0,97.0,62.0,94.0,406.0,93.0,228.0
728,MORTON PLANT HOSPITAL (100127),2020,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,84.0,506.0,98.0,58.0,98.0,180.0,82.0,33.0,,,45.0,11.0,80.0,4347.0,,,1.0,94823.0,,,240.0,47.0,72.0,1366.0,149.0,1024.0,0.0,188.0,94.0,455.0,98.0,108.0,91.0,506.0,99.0,366.0
729,TAMPA GENERAL HOSPITAL (100128),2020,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,28.0,181.0,63.0,191.0,92.0,132.0,90.0,20.0,,,,,94.0,12099.0,,,5.0,106076.0,,,284.0,38.0,139.0,971.0,219.0,1139.0,0.0,90.0,73.0,73.0,,,51.0,181.0,63.0,54.0
730,LAKESIDE MEDICAL CENTER (100130),2020,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,86.0,77.0,,,,,,,,,44.0,16.0,78.0,586.0,,,0.0,23359.0,,,,,98.0,437.0,135.0,372.0,0.0,36.0,96.0,72.0,75.0,16.0,95.0,77.0,98.0,61.0
731,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2020,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,75.0,194.0,100.0,28.0,100.0,75.0,,,,,,,19.0,2532.0,,,1.0,64005.0,,,188.0,24.0,109.0,1348.0,143.0,484.0,,,92.0,166.0,73.0,30.0,90.0,194.0,93.0,123.0
732,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2020,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,78.0,174.0,98.0,182.0,98.0,116.0,,,,,69.0,16.0,84.0,1268.0,,,1.0,40303.0,,,155.0,11.0,71.0,828.0,141.0,576.0,0.0,78.0,93.0,150.0,90.0,39.0,89.0,175.0,96.0,136.0
733,ED FRASER MEMORIAL HOSPITAL (100134),2020,Acute Care,Government - Hospital District or Authority,90.0,30.28555,-82.11955,FL,,,90.0,40.0,95.0,57.0,,,,,,,,,,,7.0,12305.0,,,185.0,11.0,102.0,234.0,127.0,419.0,,,,,,,,,,
734,TALLAHASSEE MEMORIAL HEALTHCARE (100135),2020,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,32.0,170.0,91.0,97.0,98.0,231.0,,,,,,,99.0,9429.0,,,4.0,106597.0,,,236.0,19.0,193.0,621.0,163.0,399.0,2.0,292.0,79.0,72.0,,,56.0,170.0,71.0,78.0
735,ADVENTHEALTH HEART OF FLORIDA (100137),2020,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,97.0,76.0,100.0,36.0,100.0,33.0,,,,,,,,,,,3.0,53109.0,,,,,136.0,672.0,122.0,294.0,0.0,33.0,100.0,74.0,100.0,14.0,99.0,76.0,99.0,70.0
736,NH Jacksonville (10013F),2020,Acute Care (DOD),Department of Defense,,,,,,,90.0,31.0,70.0,30.0,,,,,,,,,,,,,,,,,114.0,277.0,130.0,474.0,0.0,16.0,,,,,,,,
737,BAPTIST MEDICAL CENTER - NASSAU (100140),2020,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,37.0,128.0,95.0,182.0,97.0,190.0,,,,,,,,,,,2.0,22968.0,50.0,12.0,152.0,24.0,106.0,605.0,150.0,686.0,2.0,45.0,77.0,74.0,12.0,17.0,69.0,128.0,78.0,65.0
738,JACKSON HOSPITAL (100142),2020,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,83.0,105.0,57.0,96.0,82.0,83.0,,,,,,,98.0,718.0,,,2.0,36997.0,,,117.0,21.0,113.0,372.0,87.0,1245.0,3.0,73.0,98.0,91.0,91.0,22.0,89.0,105.0,97.0,71.0
739,LOWER KEYS MEDICAL CENTER (100150),2020,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,73.0,71.0,79.0,24.0,100.0,52.0,,,93.0,14.0,100.0,12.0,64.0,595.0,,,1.0,23531.0,152.0,24.0,227.0,20.0,42.0,410.0,125.0,396.0,2.0,51.0,89.0,63.0,57.0,14.0,90.0,71.0,98.0,47.0
740,MAYO CLINIC FLORIDA (100151),2020,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,56.0,150.0,78.0,85.0,100.0,81.0,,,,,,,91.0,7427.0,,,1.0,39482.0,,,,,113.0,595.0,188.0,397.0,,,84.0,103.0,87.0,30.0,75.0,150.0,89.0,88.0
741,SOUTH MIAMI HOSPITAL (100154),2020,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,56.0,68.0,,,100.0,11.0,,,,,,,84.0,4343.0,97.0,78.0,1.0,44256.0,,,,,102.0,691.0,225.0,396.0,5.0,62.0,85.0,47.0,77.0,13.0,70.0,69.0,100.0,39.0
742,LAKE CITY MEDICAL CENTER (100156),2020,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,77.0,159.0,,,94.0,33.0,,,,,88.0,26.0,67.0,740.0,,,0.0,45242.0,27.0,17.0,,,99.0,1142.0,60.0,403.0,,,95.0,133.0,78.0,18.0,94.0,159.0,85.0,104.0
743,LAKELAND REGIONAL MEDICAL CENTER (100157),2020,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,58.0,189.0,44.0,32.0,78.0,97.0,,,,,63.0,19.0,98.0,6631.0,,,0.0,250000.0,,,170.0,23.0,34.0,948.0,152.0,414.0,3.0,64.0,84.0,135.0,90.0,31.0,79.0,189.0,88.0,112.0
744,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2020,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,70.0,145.0,69.0,16.0,91.0,32.0,,,,,,,86.0,1494.0,,,1.0,46602.0,,,284.0,14.0,109.0,1103.0,157.0,432.0,2.0,40.0,91.0,116.0,72.0,18.0,84.0,147.0,93.0,92.0
745,DOCTORS HOSPITAL OF SARASOTA (100166),2020,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,91.0,80.0,79.0,19.0,100.0,44.0,,,,,,,77.0,1114.0,,,0.0,36911.0,,,198.0,15.0,72.0,873.0,128.0,454.0,,,99.0,75.0,91.0,11.0,94.0,80.0,100.0,58.0
746,PLANTATION GENERAL HOSPITAL (100167),2020,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,92.0,110.0,,,92.0,39.0,64.0,11.0,,,,,47.0,3320.0,,,0.0,117238.0,,,128.0,17.0,111.0,847.0,127.0,528.0,2.0,161.0,100.0,101.0,,,94.0,111.0,97.0,65.0
747,BOCA RATON REGIONAL HOSPITAL (100168),2020,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,75.0,289.0,58.0,85.0,87.0,165.0,89.0,102.0,,,92.0,13.0,,,,,1.0,55016.0,,,204.0,22.0,116.0,760.0,174.0,346.0,0.0,73.0,91.0,249.0,80.0,66.0,87.0,289.0,99.0,186.0
748,ADVENTHEALTH TAMPA (100173),2020,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,64.0,235.0,92.0,215.0,81.0,181.0,100.0,12.0,,,,,89.0,5240.0,,,2.0,110374.0,,,252.0,11.0,121.0,681.0,148.0,417.0,0.0,48.0,85.0,186.0,59.0,27.0,83.0,237.0,95.0,146.0
749,DESOTO MEMORIAL HOSPITAL (100175),2020,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,66.0,50.0,94.0,94.0,81.0,96.0,,,,,90.0,21.0,95.0,449.0,,,1.0,15181.0,48.0,16.0,218.0,11.0,80.0,756.0,114.0,372.0,,,90.0,42.0,,,84.0,51.0,100.0,32.0
750,PALM BEACH GARDENS MEDICAL CENTER (100176),2020,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,55.0,76.0,,,100.0,21.0,,,,,,,,,,,0.0,8616.0,,,175.0,12.0,102.0,1080.0,147.0,417.0,,,80.0,59.0,,,84.0,76.0,90.0,51.0
751,CAPE CANAVERAL HOSPITAL (100177),2020,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,81.0,103.0,89.0,18.0,96.0,71.0,,,,,,,93.0,1613.0,,,1.0,34567.0,,,210.0,11.0,104.0,906.0,166.0,389.0,0.0,41.0,90.0,94.0,82.0,11.0,94.0,103.0,95.0,58.0
752,MEMORIAL HOSPITAL JACKSONVILLE (100179),2020,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,86.0,111.0,100.0,25.0,100.0,100.0,,,,,,,68.0,2811.0,,,1.0,108796.0,,,288.0,16.0,162.0,1181.0,131.0,477.0,1.0,130.0,98.0,100.0,93.0,29.0,93.0,111.0,96.0,78.0
753,ST PETERSBURG GENERAL HOSPITAL (100180),2020,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,78.0,133.0,93.0,41.0,93.0,45.0,,,,,,,87.0,918.0,,,0.0,36272.0,,,,,63.0,1140.0,124.0,457.0,0.0,40.0,93.0,119.0,58.0,19.0,92.0,133.0,96.0,79.0
754,LARKIN COMMUNITY HOSPITAL (100181),2020,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,92.0,86.0,,,,,,,,,,,,,,,0.0,7219.0,,,388.0,43.0,142.0,250.0,262.0,211.0,,,99.0,80.0,,,93.0,86.0,100.0,41.0
755,CORAL GABLES HOSPITAL (100183),2020,Acute Care,Proprietary,245.0,,,FL,77.0,133.0,94.0,90.0,95.0,64.0,,,,,,,,,,,0.0,24138.0,,,174.0,33.0,99.0,1167.0,191.0,451.0,,,100.0,104.0,91.0,11.0,82.0,133.0,94.0,88.0
756,PALMETTO GENERAL HOSPITAL (100187),2020,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,76.0,220.0,83.0,30.0,,,,,,,,,,,,,1.0,69399.0,,,,,128.0,795.0,170.0,344.0,5.0,111.0,90.0,186.0,100.0,31.0,88.0,220.0,94.0,125.0
757,NORTHWEST MEDICAL CENTER (100189),2020,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,58.0,157.0,,,97.0,39.0,,,,,,,56.0,1846.0,,,1.0,59540.0,,,220.0,13.0,113.0,876.0,130.0,486.0,9.0,58.0,90.0,112.0,59.0,27.0,78.0,157.0,89.0,104.0
758,MEDICAL CENTER OF TRINITY (100191),2020,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,62.0,129.0,,,100.0,33.0,,,,,84.0,25.0,87.0,1840.0,,,1.0,77522.0,,,176.0,18.0,45.0,1115.0,108.0,499.0,2.0,46.0,85.0,95.0,94.0,16.0,83.0,129.0,86.0,85.0
759,BROWARD HEALTH IMPERIAL POINT (100200),2020,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,85.0,186.0,92.0,100.0,90.0,97.0,,,,,,,86.0,1687.0,,,0.0,39074.0,,,254.0,36.0,83.0,833.0,116.0,383.0,,,96.0,167.0,93.0,46.0,95.0,186.0,92.0,130.0
760,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2020,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,70.0,113.0,100.0,34.0,100.0,101.0,,,,,,,82.0,3535.0,,,0.0,82438.0,,,,,110.0,951.0,117.0,477.0,2.0,95.0,99.0,81.0,,,89.0,113.0,77.0,81.0
761,MEMORIAL HOSPITAL OF TAMPA (100206),2020,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,95.0,78.0,11.0,70.0,96.0,106.0,,,,,27.0,11.0,75.0,1408.0,,,0.0,21816.0,,,146.0,30.0,95.0,758.0,139.0,451.0,,,100.0,74.0,,,96.0,78.0,98.0,53.0
762,KENDALL REGIONAL MEDICAL CENTER (100209),2020,Acute Care,Proprietary,423.0,,,FL,67.0,180.0,97.0,31.0,100.0,79.0,,,,,,,34.0,4249.0,,,1.0,80145.0,,,286.0,25.0,194.0,1066.0,120.0,505.0,0.0,58.0,88.0,137.0,100.0,14.0,82.0,180.0,90.0,103.0
763,ADVENTHEALTH DADE CITY (100211),2020,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,79.0,186.0,,,,,,,,,,,95.0,466.0,,,,,,,,,79.0,2118.0,129.0,411.0,,,98.0,157.0,76.0,29.0,87.0,187.0,97.0,133.0
764,MARION COMMUNTIY HOSPITAL (100212),2020,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,79.0,153.0,100.0,27.0,100.0,67.0,,,,,,,72.0,3716.0,,,1.0,131410.0,,,222.0,16.0,129.0,1509.0,127.0,552.0,,,95.0,128.0,95.0,22.0,92.0,153.0,88.0,99.0
765,BLAKE MEDICAL CENTER (100213),2020,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,83.0,144.0,,,100.0,100.0,,,,,,,78.0,2205.0,,,1.0,44244.0,,,157.0,13.0,57.0,1765.0,161.0,446.0,,,91.0,132.0,93.0,28.0,95.0,144.0,96.0,98.0
766,STEWARD SEBASTIAN RIVER MEDICAL CENTER (100217),2020,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,52.0,80.0,97.0,90.0,96.0,71.0,,,,,,,95.0,937.0,,,1.0,20429.0,,,199.0,12.0,170.0,721.0,140.0,368.0,,,79.0,58.0,,,80.0,80.0,87.0,46.0
767,96th Medical Group (Eglin AFB) (10021F),2020,Acute Care (DOD),Department of Defense,,,,,,,96.0,73.0,98.0,49.0,,,,,,,,,,,,,,,,,90.0,293.0,91.0,491.0,0.0,24.0,,,,,,,,
768,GULF COAST MEDICAL CENTER LEE HEALTH (100220),2020,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,35.0,236.0,63.0,106.0,94.0,294.0,,,,,85.0,13.0,95.0,2941.0,,,1.0,70805.0,,,236.0,14.0,243.0,925.0,192.0,414.0,,,66.0,137.0,43.0,21.0,69.0,236.0,77.0,111.0
769,FORT WALTON BEACH MEDICAL CENTER (100223),2020,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,51.0,136.0,100.0,73.0,99.0,72.0,,,,,,,55.0,2234.0,,,1.0,68881.0,,,267.0,39.0,169.0,1203.0,108.0,510.0,1.0,81.0,89.0,87.0,47.0,17.0,77.0,137.0,77.0,78.0
770,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2020,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,90.0,90.0,,,,,,,,,,,51.0,1400.0,,,1.0,39510.0,58.0,16.0,280.0,27.0,76.0,1124.0,132.0,417.0,,,99.0,84.0,,,94.0,90.0,99.0,67.0
771,ORANGE PARK MEDICAL CENTER (100226),2020,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,79.0,113.0,100.0,40.0,100.0,91.0,,,,,,,65.0,2900.0,,,1.0,114261.0,,,398.0,12.0,145.0,834.0,130.0,524.0,0.0,72.0,95.0,98.0,76.0,17.0,89.0,113.0,95.0,66.0
772,WESTSIDE REGIONAL MEDICAL CENTER (100228),2020,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,90.0,138.0,100.0,53.0,100.0,48.0,,,,,,,42.0,2639.0,,,0.0,59973.0,,,,,75.0,1400.0,133.0,482.0,,,97.0,128.0,97.0,32.0,96.0,138.0,95.0,98.0
