,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
374,LODI MEMORIAL HOSPITAL (050336),2017,Acute Care,Voluntary non-profit - Other,200.0,38.121634,-121.285787,CA,99.0,94.0,24.0,405.0,,,,,,,84.0,51.0,86.0,1738.0,0.0,11.0,97.0,515.0,,,3.0,44328.0,8.0,105.0,,,63.0,25.0,132.0,849.0,194.0,372.0,316.0,849.0,36.0,155.0,0.0,47.0,,,100.0,22.0
375,PIONEERS MEMORIAL HEALTHCARE DISTRICT (050342),2017,Acute Care,Government - Hospital District or Authority,107.0,32.959947,-115.552723,CA,93.0,68.0,7.0,411.0,100.0,46.0,,,,,43.0,14.0,68.0,1089.0,,,87.0,454.0,,,1.0,48171.0,12.0,74.0,,,,,433.0,586.0,163.0,384.0,662.0,586.0,49.0,213.0,2.0,59.0,,,,
376,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER (050348),2017,Acute Care,Government - Local,415.0,33.780111,-117.894303,CA,91.0,11.0,26.0,348.0,73.0,70.0,100.0,49.0,,,,,96.0,9060.0,0.0,86.0,97.0,514.0,,,3.0,49577.0,9.0,12.0,,,,,267.0,551.0,240.0,350.0,528.0,552.0,68.0,146.0,0.0,28.0,96.0,55.0,100.0,64.0
377,BEVERLY HOSPITAL (050350),2017,Acute Care,Voluntary non-profit - Private,211.0,34.016032,-118.100526,CA,93.0,14.0,50.0,335.0,,,,,,,,,75.0,1230.0,15.0,13.0,94.0,482.0,,,3.0,29635.0,2.0,13.0,,,,,138.0,678.0,254.0,354.0,431.0,699.0,84.0,176.0,0.0,81.0,,,94.0,33.0
378,TORRANCE MEMORIAL MEDICAL CENTER (050351),2017,Acute Care,Voluntary non-profit - Other,505.0,33.812644,-118.34375,CA,73.0,22.0,45.0,668.0,41.0,56.0,100.0,26.0,,,,,95.0,5844.0,5.0,19.0,98.0,595.0,,,2.0,77618.0,8.0,23.0,,,,,120.0,826.0,168.0,622.0,325.0,829.0,75.0,231.0,2.0,111.0,83.0,36.0,85.0,41.0
379,BARTON MEMORIAL HOSPITAL (050352),2017,Acute Care,Voluntary non-profit - Private,112.0,38.912337,-119.997711,CA,99.0,89.0,32.0,377.0,10.0,83.0,23.0,75.0,,,67.0,15.0,88.0,1150.0,,,100.0,248.0,,,1.0,21474.0,10.0,85.0,,,,,91.0,287.0,126.0,351.0,270.0,288.0,63.0,257.0,0.0,28.0,,,,
380,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE (050353),2017,Acute Care,Voluntary non-profit - Church,442.0,33.837577,-118.35708,CA,99.0,114.0,20.0,395.0,85.0,104.0,92.0,105.0,,,83.0,24.0,59.0,4348.0,0.0,14.0,100.0,520.0,,,2.0,78961.0,8.0,123.0,,,,,174.0,775.0,270.0,366.0,448.0,775.0,55.0,267.0,0.0,75.0,95.0,21.0,100.0,31.0
381,GOLETA VALLEY COTTAGE HOSPITAL (050357),2017,Acute Care,Voluntary non-profit - Other,55.0,34.433699,-119.809322,CA,90.0,63.0,26.0,402.0,,,,,,,,,91.0,952.0,,,100.0,311.0,,,2.0,20508.0,4.0,71.0,,,,,100.0,225.0,126.0,369.0,269.0,225.0,28.0,115.0,,,,,,
382,TULARE REGIONAL MEDICAL CENTER (050359),2017,Acute Care,Government - Hospital District or Authority,110.0,,,CA,100.0,20.0,72.0,496.0,0.0,240.0,14.0,50.0,,,,,66.0,714.0,,,83.0,654.0,,,7.0,34825.0,16.0,20.0,,,,,110.0,649.0,161.0,535.0,323.0,652.0,85.0,71.0,,,,,62.0,13.0
383,MARIN GENERAL HOSPITAL (050360),2017,Acute Care,Government - Local,258.0,37.948884,-122.535897,CA,,,17.0,401.0,100.0,91.0,100.0,64.0,,,56.0,18.0,95.0,1993.0,0.0,20.0,91.0,507.0,,,1.0,37236.0,,,,,,,114.0,620.0,144.0,384.0,305.0,680.0,58.0,212.0,0.0,72.0,100.0,17.0,73.0,22.0
384,NORTHBAY MEDICAL CENTER (050367),2017,Acute Care,Voluntary non-profit - Other,183.0,38.261108,-122.048104,CA,91.0,107.0,16.0,1562.0,,,,,,,76.0,41.0,93.0,3180.0,0.0,12.0,95.0,599.0,,,3.0,71474.0,0.0,113.0,,,,,178.0,985.0,165.0,1457.0,386.0,985.0,38.0,206.0,0.0,110.0,91.0,23.0,94.0,32.0
385,LAC+USC MEDICAL CENTER (050373),2017,Acute Care,Government - Local,669.0,34.059872,-118.210308,CA,,,29.0,383.0,,,,,,,,,64.0,10043.0,15.0,13.0,89.0,501.0,,,4.0,120055.0,,,,,,,158.0,806.0,328.0,361.0,543.0,821.0,82.0,174.0,3.0,30.0,,,91.0,56.0
386,LAC/HARBOR-UCLA MED CENTER (050376),2017,Acute Care,Government - Local,433.0,33.831583,-118.294546,CA,,,38.0,379.0,,,,,,,,,79.0,5115.0,0.0,15.0,88.0,515.0,,,11.0,107033.0,,,,,,,207.0,685.0,314.0,350.0,654.0,689.0,58.0,190.0,0.0,33.0,,,94.0,31.0
387,PACIFICA HOSPITAL OF THE VALLEY (050378),2017,Acute Care,Proprietary,231.0,34.241134,-118.395669,CA,,,49.0,167.0,,,,,,,,,73.0,858.0,,,91.0,481.0,,,2.0,15213.0,,,,,,,131.0,451.0,137.0,147.0,298.0,454.0,43.0,101.0,1.0,91.0,,,,
388,GOOD SAMARITAN HOSPITAL (050380),2017,Acute Care,Proprietary,357.0,37.251104,-121.946563,CA,100.0,12.0,4.0,516.0,93.0,28.0,,,,,,,72.0,3572.0,0.0,19.0,100.0,486.0,,,0.0,54753.0,10.0,13.0,,,,,125.0,639.0,130.0,489.0,257.0,691.0,33.0,275.0,0.0,92.0,100.0,30.0,100.0,32.0
389,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS (050382),2017,Acute Care,Proprietary,491.0,34.089947,-117.893666,CA,98.0,124.0,35.0,404.0,91.0,233.0,82.0,200.0,,,87.0,38.0,58.0,3851.0,0.0,13.0,79.0,480.0,,,3.0,91495.0,8.0,128.0,,,41.0,25.0,200.0,611.0,154.0,371.0,389.0,610.0,49.0,411.0,5.0,592.0,88.0,25.0,93.0,27.0
390,HEMET VALLEY MEDICAL CENTER (050390),2017,Acute Care,Government - State,359.0,33.75122,-116.959859,CA,94.0,86.0,58.0,381.0,,,,,,,,,50.0,1497.0,,,93.0,519.0,,,4.0,55015.0,16.0,87.0,,,97.0,15.0,166.0,801.0,187.0,361.0,425.0,801.0,96.0,128.0,8.0,48.0,,,92.0,13.0
391,PIH HOSPITAL - DOWNEY (050393),2017,Acute Care,Voluntary non-profit - Private,192.0,33.935563,-118.131703,CA,97.0,116.0,66.0,427.0,96.0,200.0,83.0,168.0,,,,,77.0,1690.0,,,97.0,534.0,,,7.0,55293.0,4.0,121.0,,,35.0,23.0,129.0,642.0,201.0,395.0,412.0,645.0,102.0,193.0,3.0,146.0,,,100.0,23.0
392,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA (050394),2017,Acute Care,Voluntary non-profit - Private,216.0,34.274184,-119.257238,CA,,,34.0,418.0,79.0,102.0,64.0,100.0,,,55.0,20.0,76.0,2711.0,12.0,17.0,88.0,468.0,,,2.0,48652.0,,,,,,,164.0,502.0,184.0,403.0,336.0,505.0,93.0,131.0,2.0,293.0,93.0,15.0,55.0,47.0
393,SANTA BARBARA COTTAGE HOSPITAL (050396),2017,Acute Care,Voluntary non-profit - Private,377.0,34.429483,-119.723077,CA,,,46.0,397.0,70.0,102.0,78.0,69.0,,,50.0,12.0,89.0,4129.0,0.0,19.0,98.0,517.0,,,2.0,49930.0,,,,,,,114.0,572.0,180.0,354.0,305.0,573.0,29.0,178.0,0.0,53.0,97.0,30.0,92.0,13.0
394,COALINGA REGIONAL MEDICAL CENTER (050397),2017,Acute Care,Government - Hospital District or Authority,136.0,36.151517,-120.342089,CA,92.0,36.0,15.0,466.0,,,,,,,,,95.0,297.0,,,76.0,84.0,,,2.0,9547.0,21.0,37.0,,,,,74.0,95.0,118.0,372.0,332.0,95.0,58.0,90.0,,,,,,
395,CHINESE HOSPITAL (050407),2017,Acute Care,Voluntary non-profit - Private,64.0,37.795695,-122.40925,CA,,,12.0,699.0,54.0,169.0,55.0,141.0,,,,,74.0,571.0,,,87.0,292.0,,,1.0,6827.0,,,,,,,75.0,509.0,138.0,675.0,206.0,509.0,37.0,41.0,,,,,,
396,KAISER FOUNDATION HOSPITAL - SOUTH BAY (050411),2017,Acute Care,Voluntary non-profit - Other,257.0,33.788623,-118.294366,CA,,,,,,,,,,,,,95.0,3514.0,0.0,12.0,98.0,1204.0,,,,,,,,,,,103.0,996.0,,,382.0,1001.0,,,1.0,178.0,100.0,14.0,98.0,66.0
397,MERCY HOSPITAL OF FOLSOM (050414),2017,Acute Care,Voluntary non-profit - Private,106.0,38.671125,-121.145833,CA,98.0,103.0,4.0,408.0,90.0,77.0,98.0,96.0,94.0,18.0,94.0,52.0,82.0,1312.0,,,99.0,529.0,,,0.0,45355.0,2.0,109.0,18.0,18.0,,,100.0,817.0,150.0,375.0,354.0,820.0,22.0,181.0,0.0,41.0,,,97.0,29.0
398,SUTTER COAST HOSPITAL (050417),2017,Acute Care,Government - Hospital District or Authority,49.0,41.772698,-124.194144,CA,97.0,70.0,34.0,394.0,98.0,60.0,100.0,70.0,64.0,14.0,67.0,18.0,86.0,407.0,,,100.0,250.0,,,3.0,21508.0,10.0,75.0,28.0,14.0,,,185.0,440.0,144.0,376.0,399.0,440.0,60.0,134.0,7.0,27.0,,,,
399,PALO VERDE HOSPITAL (050423),2017,Acute Care,Government - Federal,46.0,33.61245,-114.595479,CA,62.0,29.0,26.0,400.0,18.0,17.0,75.0,12.0,,,,,60.0,201.0,,,87.0,204.0,,,7.0,10518.0,34.0,29.0,,,,,76.0,302.0,236.0,349.0,350.0,309.0,49.0,95.0,9.0,23.0,,,,
400,SCRIPPS GREEN HOSPITAL (050424),2017,Acute Care,Voluntary non-profit - Private,161.0,32.897124,-117.241854,CA,,,,,94.0,106.0,96.0,75.0,,,,,90.0,2466.0,0.0,24.0,100.0,621.0,,,,,,,,,,,,,,,,,,,,,,,100.0,24.0
401,KAISER FOUNDATION HOSPITAL - SACRAMENTO (050425),2017,Acute Care,Voluntary non-profit - Private,281.0,38.602162,-121.392238,CA,,,,,,,,,,,,,83.0,5648.0,0.0,32.0,96.0,593.0,,,,,,,,,,,52.0,753.0,,,320.0,754.0,,,,,100.0,25.0,100.0,44.0
402,WEST ANAHEIM MEDICAL CENTER (050426),2017,Acute Care,Proprietary,215.0,33.824735,-117.995115,CA,94.0,17.0,34.0,421.0,,,,,,,,,86.0,1108.0,,,92.0,526.0,,,10.0,31358.0,4.0,18.0,,,,,106.0,1101.0,191.0,370.0,308.0,1104.0,63.0,155.0,,,,,100.0,12.0
403,HUNTINGTON MEMORIAL HOSPITAL (050438),2017,Acute Care,Voluntary non-profit - Private,558.0,34.135761,-118.151803,CA,91.0,100.0,29.0,2275.0,91.0,100.0,99.0,96.0,,,,,71.0,5900.0,16.0,43.0,81.0,560.0,,,4.0,72278.0,11.0,109.0,,,,,176.0,745.0,259.0,2053.0,358.0,746.0,92.0,162.0,5.0,99.0,85.0,20.0,63.0,54.0
404,STANFORD HEALTH CARE (050441),2017,Acute Care,Voluntary non-profit - Private,500.0,37.433138,-122.176664,CA,,,14.0,406.0,90.0,83.0,69.0,85.0,,,62.0,26.0,90.0,14315.0,0.0,128.0,99.0,566.0,,,1.0,69443.0,5.0,11.0,,,,,273.0,522.0,178.0,386.0,437.0,522.0,54.0,307.0,,,100.0,29.0,100.0,71.0
405,MERCY MEDICAL CENTER (050444),2017,Acute Care,Voluntary non-profit - Private,186.0,37.340122,-120.465214,CA,97.0,176.0,7.0,401.0,,,,,,,87.0,38.0,93.0,1946.0,0.0,20.0,98.0,478.0,,,3.0,72169.0,5.0,184.0,,,,,218.0,658.0,149.0,379.0,482.0,660.0,22.0,160.0,0.0,89.0,93.0,15.0,95.0,57.0
406,UCSF MEDICAL CENTER (050454),2017,Acute Care,Voluntary non-profit - Other,739.0,37.763553,-122.457654,CA,92.0,12.0,37.0,382.0,96.0,530.0,99.0,277.0,,,,,87.0,13264.0,1.0,110.0,97.0,480.0,,,5.0,44552.0,8.0,12.0,,,,,270.0,345.0,239.0,337.0,482.0,346.0,52.0,127.0,1.0,152.0,100.0,18.0,94.0,53.0
407,SAN JOAQUIN COMMUNITY HOSPITAL (050455),2017,Acute Care,Voluntary non-profit - Private,256.0,35.383056,-119.018857,CA,,,41.0,587.0,97.0,74.0,91.0,77.0,,,55.0,11.0,49.0,3050.0,3.0,31.0,99.0,599.0,,,4.0,78708.0,,,,,,,369.0,973.0,236.0,529.0,563.0,976.0,70.0,363.0,0.0,136.0,100.0,33.0,98.0,87.0
408,ST MARY'S MEDICAL CENTER (050457),2017,Acute Care,Voluntary non-profit - Private,182.0,37.77384,-122.454495,CA,,,5.0,410.0,93.0,57.0,100.0,23.0,,,,,91.0,1827.0,,,99.0,396.0,,,1.0,19057.0,,,,,,,53.0,550.0,130.0,343.0,280.0,565.0,34.0,28.0,,,,,,
409,DOCTORS MEDICAL CENTER (050464),2017,Acute Care,Proprietary,445.0,37.665666,-120.99625,CA,,,32.0,382.0,94.0,117.0,90.0,124.0,,,82.0,11.0,81.0,3335.0,0.0,30.0,100.0,508.0,,,1.0,103794.0,,,,,,,143.0,671.0,143.0,381.0,330.0,672.0,70.0,207.0,0.0,467.0,93.0,27.0,100.0,54.0
410,MEMORIAL HOSPITAL OF GARDENA (050468),2017,Acute Care,Proprietary,172.0,33.892375,-118.295106,CA,100.0,57.0,42.0,1059.0,18.0,82.0,,,,,,,57.0,1049.0,,,83.0,553.0,,,4.0,40513.0,18.0,57.0,,,,,110.0,899.0,133.0,1140.0,307.0,935.0,78.0,106.0,0.0,159.0,,,,
411,GOOD SAMARITAN HOSPITAL (050471),2017,Acute Care,Proprietary,327.0,34.053209,-118.265292,CA,92.0,76.0,32.0,542.0,91.0,22.0,89.0,64.0,,,,,80.0,2436.0,0.0,22.0,97.0,496.0,,,1.0,36834.0,12.0,79.0,,,,,125.0,569.0,214.0,465.0,294.0,569.0,67.0,93.0,0.0,252.0,97.0,37.0,100.0,18.0
412,WEST HILLS HOSPITAL & MEDICAL CENTER (050481),2017,Acute Care,Proprietary,225.0,34.202931,-118.628598,CA,97.0,39.0,5.0,534.0,,,,,,,84.0,31.0,77.0,1377.0,,,100.0,541.0,,,1.0,53875.0,8.0,40.0,,,,,143.0,993.0,136.0,460.0,300.0,995.0,34.0,211.0,0.0,47.0,,,100.0,16.0
413,LONG BEACH MEMORIAL MEDICAL CENTER (050485),2017,Acute Care,Voluntary non-profit - Other,457.0,33.807107,-118.185098,CA,85.0,65.0,9.0,384.0,31.0,64.0,,,,,,,95.0,6562.0,6.0,35.0,97.0,560.0,,,1.0,106484.0,12.0,69.0,,,,,157.0,890.0,223.0,353.0,477.0,891.0,42.0,365.0,,,82.0,17.0,97.0,78.0
414,EDEN MEDICAL CENTER (050488),2017,Acute Care,Voluntary non-profit - Other,152.0,,,CA,98.0,48.0,53.0,409.0,100.0,11.0,100.0,12.0,,,,,91.0,1842.0,0.0,11.0,100.0,509.0,,,3.0,48427.0,17.0,47.0,,,79.0,15.0,204.0,792.0,196.0,367.0,376.0,792.0,89.0,103.0,0.0,89.0,100.0,49.0,100.0,19.0
415,CLOVIS COMMUNITY MEDICAL CENTER (050492),2017,Acute Care,Voluntary non-profit - Private,189.0,36.837421,-119.661626,CA,,,53.0,369.0,85.0,230.0,89.0,132.0,,,65.0,17.0,88.0,2958.0,0.0,16.0,98.0,424.0,,,1.0,63214.0,,,,,,,472.0,394.0,266.0,323.0,906.0,394.0,85.0,135.0,2.0,160.0,,,100.0,46.0
416,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS (050496),2017,Acute Care,Voluntary non-profit - Private,256.0,37.98296,-122.034236,CA,96.0,24.0,30.0,408.0,,,,,,,64.0,28.0,72.0,2648.0,,,96.0,625.0,,,1.0,58923.0,7.0,24.0,,,,,136.0,882.0,150.0,380.0,292.0,885.0,71.0,192.0,,,92.0,26.0,100.0,14.0
417,SUTTER AUBURN FAITH HOSPITAL (050498),2017,Acute Care,Voluntary non-profit - Other,67.0,38.944317,-121.099423,CA,99.0,68.0,21.0,409.0,100.0,72.0,94.0,72.0,,,78.0,18.0,87.0,737.0,,,100.0,349.0,,,2.0,28218.0,7.0,74.0,,,,,111.0,601.0,139.0,379.0,258.0,601.0,49.0,119.0,,,,,100.0,20.0
418,SAINT VINCENT MEDICAL CENTER (050502),2017,Acute Care,Voluntary non-profit - Church,366.0,34.06319,-118.273665,CA,86.0,14.0,9.0,360.0,88.0,84.0,42.0,12.0,,,,,78.0,1791.0,0.0,11.0,99.0,560.0,,,1.0,25746.0,6.0,14.0,,,,,153.0,847.0,143.0,347.0,301.0,847.0,51.0,20.0,,,,,88.0,17.0
419,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS (050503),2017,Acute Care,Voluntary non-profit - Private,178.0,33.036272,-117.284237,CA,98.0,134.0,38.0,400.0,99.0,74.0,100.0,73.0,,,82.0,28.0,92.0,2416.0,0.0,14.0,98.0,485.0,,,2.0,47616.0,8.0,145.0,,,,,116.0,728.0,223.0,359.0,362.0,729.0,69.0,315.0,0.0,38.0,100.0,18.0,100.0,23.0
420,SIERRA VISTA REGIONAL MEDICAL CENTER (050506),2017,Acute Care,Proprietary,161.0,35.290966,-120.666174,CA,97.0,32.0,32.0,490.0,92.0,80.0,79.0,28.0,,,79.0,14.0,74.0,1276.0,,,96.0,478.0,,,1.0,24456.0,11.0,33.0,,,,,97.0,471.0,141.0,457.0,282.0,472.0,58.0,139.0,0.0,37.0,,,100.0,14.0
421,KAISER FOUNDATION HOSPITAL (050510),2017,Acute Care,Voluntary non-profit - Other,115.0,38.004335,-122.553881,CA,,,,,,,,,,,,,93.0,2302.0,,,97.0,413.0,,,,,,,,,,,43.0,604.0,,,275.0,603.0,,,,,100.0,19.0,100.0,39.0
422,KAISER FOUNDATION HOSPITAL - FREMONT (050512),2017,Acute Care,Voluntary non-profit - Other,164.0,37.550913,-121.975769,CA,,,,,,,,,,,,,92.0,1769.0,,,97.0,369.0,,,,,,,,,,,59.0,592.0,,,312.0,594.0,,,,,100.0,25.0,100.0,14.0
423,KAISER FOUNDATION HOSPITAL - SAN DIEGO (050515),2017,Acute Care,Voluntary non-profit - Other,491.0,32.792973,-117.095859,CA,,,,,,,,,,,,,92.0,4726.0,0.0,32.0,95.0,1163.0,,,,,,,,,,,182.0,1133.0,,,596.0,1133.0,,,0.0,218.0,100.0,17.0,98.0,123.0
424,MERCY SAN JUAN MEDICAL CENTER (050516),2017,Acute Care,Voluntary non-profit - Other,371.0,38.668048,-121.312964,CA,96.0,27.0,12.0,408.0,99.0,72.0,100.0,72.0,,,69.0,16.0,74.0,4157.0,0.0,47.0,99.0,524.0,,,1.0,81192.0,6.0,28.0,,,,,152.0,682.0,198.0,351.0,364.0,686.0,30.0,193.0,3.0,34.0,96.0,46.0,86.0,74.0
425,VICTOR VALLEY GLOBAL MEDICAL CENTER (050517),2017,Acute Care,Voluntary non-profit - Private,101.0,34.52897,-117.292518,CA,98.0,44.0,71.0,421.0,100.0,23.0,92.0,13.0,,,,,67.0,997.0,,,97.0,604.0,,,7.0,38141.0,24.0,39.0,,,,,177.0,510.0,244.0,381.0,695.0,519.0,130.0,123.0,20.0,41.0,,,89.0,19.0
426,SUTTER DELTA MEDICAL CENTER (050523),2017,Acute Care,Voluntary non-profit - Private,138.0,37.982295,-121.804681,CA,,,24.0,409.0,92.0,26.0,82.0,67.0,,,59.0,17.0,89.0,1310.0,,,100.0,523.0,,,0.0,60302.0,,,,,,,176.0,949.0,154.0,385.0,357.0,949.0,45.0,127.0,3.0,149.0,,,100.0,18.0
427,HUNTINGTON BEACH HOSPITAL (050526),2017,Acute Care,Proprietary,131.0,33.703889,-117.989065,CA,,,23.0,414.0,100.0,13.0,,,,,,,73.0,760.0,,,74.0,290.0,,,4.0,18271.0,,,,,,,102.0,597.0,148.0,349.0,276.0,599.0,54.0,94.0,,,,,,
428,MEMORIAL HOSPITAL LOS BANOS (050528),2017,Acute Care,Voluntary non-profit - Private,40.0,37.063431,-120.859407,CA,95.0,21.0,22.0,412.0,66.0,170.0,42.0,19.0,,,82.0,17.0,91.0,392.0,,,100.0,217.0,,,2.0,33674.0,10.0,26.0,,,,,52.0,258.0,129.0,389.0,248.0,258.0,56.0,179.0,0.0,98.0,,,,
429,JOHN F KENNEDY MEMORIAL HOSPITAL (050534),2017,Acute Care,Proprietary,135.0,33.706359,-116.233881,CA,94.0,17.0,0.0,471.0,,,,,,,,,82.0,839.0,,,96.0,461.0,,,2.0,42336.0,7.0,20.0,,,,,117.0,500.0,167.0,438.0,355.0,519.0,61.0,235.0,1.0,79.0,,,,
430,SUTTER DAVIS HOSPITAL (050537),2017,Acute Care,Proprietary,48.0,38.562923,-121.772522,CA,100.0,38.0,22.0,408.0,94.0,64.0,100.0,72.0,,,100.0,17.0,81.0,1002.0,,,99.0,341.0,,,2.0,28621.0,8.0,40.0,,,,,123.0,347.0,137.0,392.0,295.0,348.0,42.0,131.0,0.0,101.0,,,,
431,KAISER FOUNDATION HOSPITAL - REDWOOD CITY (050541),2017,Acute Care,Voluntary non-profit - Other,168.0,37.489693,-122.224682,CA,,,,,,,,,,,,,85.0,2529.0,,,97.0,470.0,,,,,,,,,,,48.0,400.0,,,276.0,402.0,,,0.0,102.0,,,100.0,22.0
432,COLLEGE HOSPITAL COSTA MESA (050543),2017,Acute Care,Proprietary,122.0,33.652605,-117.911965,CA,,,,,,,,,,,,,86.0,632.0,,,86.0,277.0,,,4.0,1130.0,,,,,,,,,,,,,,,,,,,,
433,LOS ROBLES HOSPITAL & MEDICAL CENTER (050549),2017,Acute Care,Proprietary,329.0,34.206398,-118.882624,CA,97.0,32.0,6.0,456.0,35.0,57.0,86.0,21.0,,,,,62.0,3600.0,0.0,17.0,100.0,814.0,,,0.0,48977.0,4.0,36.0,,,,,131.0,1154.0,148.0,416.0,295.0,1155.0,32.0,233.0,0.0,74.0,90.0,41.0,100.0,18.0
434,LOS ALAMITOS MEDICAL CENTER (050551),2017,Acute Care,Proprietary,163.0,33.803175,-118.067413,CA,97.0,35.0,58.0,372.0,93.0,55.0,84.0,111.0,,,,,91.0,1783.0,0.0,22.0,98.0,557.0,,,5.0,32312.0,17.0,38.0,,,,,163.0,779.0,241.0,352.0,366.0,780.0,51.0,143.0,0.0,73.0,100.0,29.0,100.0,16.0
435,MOTION PICTURE & TELEVISION HOSPITAL (050552),2017,Acute Care,Voluntary non-profit - Other,213.0,,,CA,,,,,,,,,,,,,91.0,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,MEMORIAL MEDICAL CENTER (050557),2017,Acute Care,Voluntary non-profit - Private,419.0,37.668701,-120.975674,CA,100.0,20.0,58.0,410.0,98.0,115.0,100.0,244.0,,,86.0,21.0,79.0,3546.0,0.0,48.0,100.0,550.0,,,5.0,73003.0,8.0,33.0,,,,,158.0,789.0,189.0,388.0,359.0,790.0,73.0,410.0,0.0,238.0,100.0,33.0,97.0,64.0
437,KAISER FOUNDATION HOSPITAL - WEST LA (050561),2017,Acute Care,Voluntary non-profit - Private,275.0,34.03799,-118.376247,CA,,,,,,,,,,,,,93.0,3342.0,0.0,17.0,97.0,1195.0,,,,,,,,,,,78.0,924.0,,,369.0,925.0,,,1.0,154.0,100.0,14.0,98.0,62.0
438,MISSION HOSPITAL REGIONAL MED CENTER (050567),2017,Acute Care,Voluntary non-profit - Private,1044.0,,,CA,100.0,78.0,48.0,395.0,72.0,83.0,94.0,96.0,,,62.0,16.0,82.0,3765.0,0.0,29.0,93.0,533.0,,,2.0,60453.0,6.0,85.0,,,,,118.0,755.0,214.0,373.0,306.0,757.0,61.0,102.0,3.0,78.0,98.0,57.0,88.0,43.0
439,MADERA COMMUNITY HOSPITAL (050568),2017,Acute Care,Voluntary non-profit - Other,106.0,36.945427,-120.045467,CA,90.0,59.0,33.0,472.0,55.0,29.0,,,,,71.0,14.0,86.0,1091.0,,,95.0,379.0,,,4.0,39689.0,34.0,62.0,,,108.0,12.0,124.0,464.0,213.0,424.0,396.0,464.0,74.0,135.0,1.0,125.0,,,,
