,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
1404,MONTGOMERY COUNTY MEMORIAL HOSPITAL (161363),2019,Critical Access,Government - Local,25.0,41.02654,-95.213919,IA,,,,,,,,,,,,,96.0,467.0,,,99.0,241.0,,,0.0,6187.0,7.0,49.0,,,,,44.0,377.0,116.0,312.0,175.0,377.0,,
1405,GREATER REGIONAL MEDICAL CENTER (161365),2019,Critical Access,Government - Local,25.0,41.071214,-94.383744,IA,84.0,70.0,92.0,53.0,95.0,63.0,85.0,26.0,,,,,92.0,692.0,,,85.0,53.0,,,0.0,7034.0,5.0,51.0,67.0,12.0,228.0,14.0,,,104.0,249.0,,,3.0,30.0
1406,SHENANDOAH MEDICAL CENTER (161366),2019,Critical Access,Voluntary non-profit - Private,25.0,40.753639,-95.369106,IA,,,,,,,,,,,,,93.0,405.0,,,96.0,216.0,,,,,7.0,27.0,,,195.0,31.0,35.0,227.0,106.0,397.0,188.0,230.0,,
1407,PELLA REGIONAL HEALTH CENTER (161367),2019,Critical Access,Voluntary non-profit - Other,50.0,41.412337,-92.911667,IA,62.0,40.0,,,,,,,,,,,99.0,1139.0,,,94.0,240.0,,,0.0,11053.0,8.0,11.0,,,,,57.0,198.0,,,205.0,198.0,2.0,50.0
1408,FLOYD VALLEY HEALTHCARE (161368),2019,Critical Access,Proprietary,25.0,42.79728,-96.15599,IA,,,,,,,,,,,,,,,,,97.0,187.0,,,0.0,3368.0,6.0,26.0,,,154.0,157.0,20.0,30.0,113.0,2909.0,184.0,84.0,,
1409,LORING HOSPITAL (161370),2019,Critical Access,Voluntary non-profit - Private,25.0,42.418706,-94.977991,IA,,,,,,,,,,,,,96.0,155.0,,,100.0,84.0,,,0.0,2112.0,4.0,21.0,,,,,14.0,102.0,61.0,233.0,135.0,103.0,,
1410,WINNESHIEK MEDICAL CENTER (161371),2019,Critical Access,Government - Local,25.0,43.294634,-91.771187,IA,,,,,,,,,,,,,,,,,86.0,217.0,,,0.0,8119.0,,,,,,,35.0,336.0,,,180.0,400.0,0.0,23.0
1411,BOONE COUNTY HOSPITAL (161372),2019,Critical Access,Government - Local,29.0,42.055583,-93.877037,IA,67.0,30.0,,,,,,,,,,,,,,,,,,,,,6.0,48.0,,,155.0,23.0,,,99.0,450.0,,,,
1412,RINGGOLD COUNTY HOSPITAL (161373),2019,Critical Access,Government - Local,16.0,40.71833,-94.223613,IA,,,,,,,,,,,,,98.0,160.0,,,26.0,186.0,,,,,,,,,,,17.0,119.0,,,143.0,231.0,,
1413,MYRTUE MEDICAL CENTER (161374),2019,Critical Access,Voluntary non-profit - Other,25.0,41.647473,-95.326202,IA,62.0,21.0,,,,,,,,,,,98.0,490.0,,,100.0,92.0,,,0.0,5500.0,3.0,32.0,,,,,46.0,180.0,,,190.0,218.0,0.0,12.0
1414,BUENA VISTA REGIONAL MEDICAL CENTER (161375),2019,Critical Access,Government - Local,35.0,42.644356,-95.222008,IA,,,,,,,,,,,,,96.0,653.0,,,,,,,0.0,7990.0,4.0,37.0,,,133.0,16.0,,,136.0,345.0,,,0.0,109.0
1415,CASS COUNTY MEMORIAL HOSPITAL (161376),2019,Critical Access,Government - Local,29.0,41.401712,-94.992608,IA,72.0,40.0,,,,,,,,,,,93.0,499.0,,,98.0,313.0,,,0.0,5963.0,4.0,47.0,,,119.0,15.0,52.0,349.0,104.0,292.0,194.0,384.0,,
1416,MERCY MEDICAL CENTER-CENTERVILLE (161377),2019,Critical Access,Voluntary non-profit - Private,44.0,,,IA,,,,,,,,,,,75.0,16.0,81.0,318.0,,,96.0,157.0,,,2.0,6405.0,3.0,47.0,,,197.0,23.0,55.0,132.0,141.0,387.0,252.0,133.0,,
1417,MERCY MEDICAL CENTER-DYERSVILLE (161378),2019,Critical Access,Voluntary non-profit - Private,23.0,42.475924,-91.129632,IA,,,,,,,,,,,,,97.0,178.0,,,,,,,,,,,,,,,,,,,,,,
1418,MAHASKA  HEALTH PARTNERSHIP (161379),2019,Critical Access,Voluntary non-profit - Other,30.0,41.298562,-92.630131,IA,,,,,,,,,,,,,,,,,97.0,249.0,,,,,,,,,,,,,,,,,,
1419,HANSEN FAMILY HOSPITAL (161380),2019,Critical Access,Government - Local,21.0,42.500939,-93.262394,IA,,,,,,,,,,,,,100.0,310.0,,,,,,,,,,,,,,,,,100.0,91.0,,,,
1420,SANFORD SHELDON MEDICAL CENTER (161381),2019,Critical Access,Voluntary non-profit - Private,89.0,43.186387,-95.847268,IA,,,,,,,,,,,,,98.0,383.0,,,,,,,,,6.0,48.0,,,115.0,15.0,,,112.0,236.0,,,,
1421,VIA CHRISTI HOSPITAL PITTSBURG INC (170006),2019,Acute Care,Voluntary non-profit - Private,92.0,37.38153,-94.68385,KS,78.0,72.0,100.0,63.0,100.0,63.0,83.0,18.0,,,,,99.0,846.0,,,97.0,259.0,,,2.0,15772.0,6.0,20.0,,,154.0,14.0,73.0,314.0,125.0,359.0,194.0,314.0,0.0,41.0
1422,SAINT JOHN HOSPITAL (170009),2019,Acute Care,Voluntary non-profit - Other,63.0,39.283683,-94.903472,KS,100.0,38.0,,,,,,,,,,,77.0,402.0,,,98.0,339.0,,,0.0,11622.0,10.0,33.0,,,159.0,27.0,118.0,525.0,96.0,407.0,220.0,527.0,,
1423,SALINA REGIONAL HEALTH CENTER (170012),2019,Acute Care,Voluntary non-profit - Private,205.0,38.833271,-97.610525,KS,64.0,391.0,93.0,71.0,100.0,72.0,30.0,43.0,,,100.0,24.0,90.0,2095.0,8.0,12.0,96.0,527.0,100.0,57.0,0.0,35506.0,,,,,140.0,24.0,142.0,638.0,112.0,382.0,244.0,639.0,3.0,117.0
1424,HAYS MEDICAL CENTER (170013),2019,Acute Care,Voluntary non-profit - Other,143.0,38.879604,-99.299273,KS,54.0,175.0,94.0,157.0,98.0,56.0,91.0,22.0,,,,,100.0,1697.0,,,97.0,466.0,,,0.0,11528.0,,,,,196.0,14.0,102.0,302.0,115.0,387.0,180.0,308.0,1.0,83.0
1425,RANSOM MEMORIAL HOSPITAL (170014),2019,Acute Care,Government - Local,46.0,38.597285,-95.268759,KS,67.0,126.0,97.0,102.0,99.0,69.0,,,,,94.0,16.0,97.0,765.0,,,100.0,261.0,,,1.0,12228.0,5.0,112.0,30.0,11.0,139.0,12.0,72.0,390.0,111.0,400.0,200.0,390.0,0.0,19.0
1426,UNIVERSITY OF KANSAS HLTH SYSTEM ST FRANCIS CAMPUS (170016),2019,Acute Care,Voluntary non-profit - Church,269.0,39.056107,-95.696692,KS,74.0,284.0,95.0,75.0,78.0,89.0,89.0,45.0,,,,,100.0,1534.0,9.0,11.0,84.0,525.0,,,2.0,34315.0,,,,,219.0,19.0,63.0,617.0,148.0,408.0,226.0,617.0,0.0,94.0
1427,SUSAN B ALLEN MEMORIAL HOSPITAL (170017),2019,Acute Care,Voluntary non-profit - Private,46.0,37.817438,-96.858795,KS,67.0,48.0,100.0,129.0,99.0,132.0,,,,,,,99.0,683.0,,,94.0,299.0,,,1.0,14125.0,3.0,90.0,,,,,62.0,405.0,77.0,495.0,200.0,405.0,0.0,24.0
1428,HUTCHINSON REGIONAL MEDICAL CENTER INC (170020),2019,Acute Care,Proprietary,173.0,38.079485,-97.892275,KS,73.0,398.0,96.0,24.0,,,74.0,31.0,,,76.0,25.0,97.0,1061.0,,,97.0,582.0,,,1.0,25458.0,12.0,26.0,,,165.0,23.0,64.0,785.0,142.0,606.0,220.0,785.0,0.0,82.0
1429,ST CATHERINE HOSPITAL (170023),2019,Acute Care,Voluntary non-profit - Private,98.0,37.968871,-100.868615,KS,52.0,88.0,21.0,182.0,59.0,64.0,,,,,56.0,16.0,96.0,1448.0,,,100.0,326.0,,,1.0,17344.0,11.0,31.0,,,169.0,13.0,56.0,292.0,111.0,387.0,195.0,295.0,0.0,75.0
1430,PRATT REGIONAL MEDICAL CENTER (170027),2019,Acute Care,Voluntary non-profit - Private,83.0,37.645365,-98.729367,KS,33.0,55.0,97.0,63.0,79.0,63.0,,,,,,,100.0,471.0,,,95.0,259.0,,,0.0,3205.0,6.0,48.0,,,130.0,46.0,22.0,187.0,78.0,1191.0,164.0,213.0,0.0,12.0
1431,"SUMNER COMMUNITY HOSPITAL, LLC (170039)",2019,Acute Care,Government - Local,61.0,37.277815,-97.394251,KS,,,69.0,64.0,70.0,40.0,,,,,,,70.0,207.0,,,53.0,95.0,,,2.0,3778.0,10.0,50.0,,,136.0,14.0,26.0,78.0,85.0,405.0,145.0,85.0,,
1432,UNIVERSITY OF KANSAS HOSPITAL (170040),2019,Acute Care,Government - Hospital District or Authority,770.0,39.055395,-94.608229,KS,47.0,230.0,100.0,120.0,100.0,120.0,93.0,68.0,,,64.0,11.0,96.0,14910.0,1.0,81.0,90.0,555.0,,,4.0,56751.0,,,,,418.0,17.0,126.0,408.0,266.0,354.0,381.0,413.0,0.0,43.0
1433,OLATHE MEDICAL CENTER (170049),2019,Acute Care,Voluntary non-profit - Private,246.0,38.854524,-94.823673,KS,54.0,109.0,99.0,90.0,96.0,89.0,85.0,34.0,,,,,95.0,2733.0,0.0,20.0,93.0,510.0,,,1.0,39992.0,,,,,196.0,15.0,87.0,670.0,157.0,387.0,234.0,670.0,0.0,165.0
1434,MERCY HOSPITAL-FORT SCOTT (170058),2019,Acute Care,Voluntary non-profit - Church,51.0,,,KS,41.0,29.0,88.0,69.0,73.0,64.0,,,,,,,98.0,471.0,,,99.0,218.0,,,3.0,9332.0,2.0,40.0,,,211.0,11.0,91.0,146.0,130.0,269.0,220.0,154.0,0.0,26.0
1435,SOUTHWEST MEDICAL CENTER (170068),2019,Acute Care,Government - Local,84.0,37.054216,-100.926569,KS,70.0,67.0,25.0,60.0,93.0,27.0,,,,,,,91.0,638.0,,,90.0,231.0,,,1.0,10231.0,10.0,49.0,,,202.0,15.0,49.0,229.0,131.0,371.0,195.0,229.0,0.0,43.0
1436,GEARY COMMUNITY HOSPITAL (170074),2019,Acute Care,Government - Local,55.0,39.013979,-96.849798,KS,59.0,27.0,79.0,68.0,100.0,47.0,,,,,17.0,12.0,93.0,658.0,,,95.0,237.0,,,1.0,14190.0,8.0,70.0,,,228.0,12.0,63.0,249.0,120.0,375.0,220.0,257.0,4.0,24.0
1437,"MERCY HOSPITAL, INC (170075)",2019,Acute Care,Voluntary non-profit - Church,20.0,38.205072,-97.516996,KS,,,100.0,36.0,100.0,22.0,,,,,,,93.0,60.0,,,82.0,118.0,,,0.0,1059.0,,,,,130.0,11.0,7.0,95.0,72.0,222.0,110.0,121.0,,
1438,STORMONT VAIL HOSPITAL (170086),2019,Acute Care,Voluntary non-profit - Private,422.0,39.051129,-95.695627,KS,51.0,248.0,,,,,100.0,46.0,,,90.0,21.0,98.0,7154.0,0.0,16.0,100.0,590.0,,,2.0,65924.0,8.0,13.0,,,175.0,27.0,80.0,626.0,164.0,440.0,283.0,630.0,1.0,90.0
1439,NEWTON MEDICAL CENTER (170103),2019,Acute Care,Voluntary non-profit - Private,100.0,38.023034,-97.33654,KS,63.0,191.0,93.0,254.0,95.0,339.0,,,,,56.0,16.0,96.0,1049.0,,,90.0,1053.0,,,1.0,14336.0,8.0,37.0,,,188.0,513.0,40.0,1175.0,129.0,10314.0,192.0,1196.0,0.0,46.0
1440,SHAWNEE MISSION MEDICAL CENTER (170104),2019,Acute Care,Voluntary non-profit - Church,370.0,38.995137,-94.69204,KS,46.0,241.0,88.0,257.0,97.0,300.0,100.0,32.0,,,79.0,33.0,96.0,4782.0,0.0,18.0,98.0,511.0,,,3.0,75110.0,,,,,238.0,33.0,131.0,465.0,155.0,389.0,245.0,466.0,1.0,112.0
1441,MCPHERSON HOSPITAL INC (170105),2019,Acute Care,Voluntary non-profit - Private,37.0,38.379006,-97.672485,KS,19.0,54.0,86.0,59.0,,,,,,,,,85.0,499.0,,,67.0,266.0,,,1.0,8251.0,19.0,55.0,,,175.0,29.0,26.0,397.0,114.0,474.0,205.0,419.0,0.0,22.0
1442,MIAMI COUNTY MEDICAL CENTER (170109),2019,Acute Care,Government - Hospital District or Authority,18.0,38.568591,-94.850849,KS,,,95.0,62.0,99.0,105.0,,,,,,,96.0,270.0,,,99.0,240.0,,,2.0,8942.0,8.0,34.0,,,176.0,15.0,54.0,387.0,105.0,365.0,180.0,388.0,,
1443,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL (170110),2019,Acute Care,Government - Local,24.0,37.583992,-101.358013,KS,,,0.0,15.0,,,,,,,,,100.0,191.0,,,95.0,126.0,,,0.0,1631.0,22.0,12.0,,,,,31.0,102.0,85.0,248.0,161.0,105.0,,
1444,LABETTE HEALTH (170120),2019,Acute Care,Government - Local,56.0,37.322012,-95.266593,KS,48.0,140.0,97.0,137.0,100.0,25.0,,,,,,,95.0,794.0,,,86.0,252.0,,,1.0,13677.0,6.0,152.0,59.0,17.0,137.0,13.0,54.0,219.0,85.0,555.0,224.0,219.0,0.0,15.0
1445,"ASCENSION VIA CHRISTI HOSPITALS WICHITA, INC. (170122)",2019,Acute Care,Voluntary non-profit - Church,690.0,37.700627,-97.331694,KS,40.0,205.0,30.0,285.0,82.0,117.0,,,,,85.0,13.0,99.0,6508.0,2.0,43.0,95.0,528.0,,,2.0,108533.0,,,,,271.0,28.0,99.0,564.0,162.0,331.0,270.0,564.0,0.0,244.0
1446,WESLEY MEDICAL CENTER (170123),2019,Acute Care,Proprietary,572.0,37.695489,-97.299058,KS,71.0,129.0,100.0,106.0,100.0,100.0,36.0,36.0,,,,,87.0,6231.0,0.0,38.0,100.0,671.0,,,0.0,150042.0,6.0,46.0,,,111.0,18.0,61.0,765.0,102.0,459.0,191.0,766.0,2.0,89.0
1447,SAINT LUKE'S CUSHING HOSPITAL (170133),2019,Acute Care,Voluntary non-profit - Private,29.0,39.307773,-94.918355,KS,73.0,55.0,100.0,67.0,,,,,,,90.0,30.0,85.0,524.0,,,100.0,273.0,,,2.0,13154.0,10.0,93.0,,,166.0,18.0,60.0,387.0,139.0,374.0,242.0,389.0,0.0,18.0
1448,LAWRENCE MEMORIAL HOSPITAL (170137),2019,Acute Care,Government - Local,143.0,38.97815,-95.247649,KS,52.0,143.0,98.0,685.0,99.0,815.0,,,,,,,95.0,2776.0,,,99.0,539.0,,,1.0,39337.0,7.0,21.0,,,302.0,37.0,70.0,743.0,154.0,395.0,195.0,747.0,0.0,110.0
1449,"ASCENSION VIA CHRISTI HOSPITAL MANHATTAN, INC (170142)",2019,Acute Care,Voluntary non-profit - Church,100.0,39.203114,-96.598186,KS,82.0,177.0,95.0,130.0,96.0,140.0,,,,,33.0,12.0,99.0,976.0,,,98.0,408.0,,,1.0,20740.0,8.0,54.0,,,278.0,20.0,90.0,362.0,128.0,348.0,216.0,362.0,0.0,101.0
1450,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC (170145)",2019,Acute Care,Government - Local,69.0,37.040399,-95.638346,KS,36.0,44.0,63.0,57.0,82.0,11.0,,,,,,,98.0,650.0,,,96.0,253.0,,,1.0,10679.0,6.0,52.0,,,138.0,16.0,56.0,305.0,138.0,228.0,222.0,325.0,0.0,43.0
1451,PROVIDENCE MEDICAL CENTER (170146),2019,Acute Care,Voluntary non-profit - Church,184.0,39.128582,-94.786329,KS,82.0,80.0,99.0,79.0,100.0,77.0,,,,,,,90.0,1569.0,,,99.0,574.0,,,1.0,35040.0,,,,,184.0,16.0,110.0,924.0,116.0,370.0,219.0,925.0,3.0,60.0
1452,SOUTH CENTRAL KS  MED CENTER (170150),2019,Acute Care,Government - Local,40.0,37.134534,-97.036568,KS,50.0,44.0,92.0,65.0,100.0,15.0,,,,,,,88.0,300.0,,,98.0,263.0,,,1.0,7377.0,6.0,38.0,,,,,44.0,290.0,66.0,288.0,169.0,291.0,,
1453,MORTON COUNTY HOSPITAL (170166),2019,Acute Care,Government - Local,31.0,,,KS,,,,,,,,,,,,,95.0,95.0,,,93.0,68.0,,,1.0,246.0,,,,,,,11.0,95.0,84.0,269.0,82.0,95.0,,
1454,WESTERN PLAINS MEDICAL COMPLEX (170175),2019,Acute Care,Proprietary,67.0,37.785487,-100.014975,KS,72.0,74.0,74.0,68.0,91.0,53.0,,,,,69.0,13.0,97.0,396.0,,,98.0,256.0,,,0.0,11401.0,6.0,22.0,,,129.0,21.0,50.0,272.0,100.0,389.0,201.0,272.0,0.0,48.0
1455,OVERLAND PARK REG MED CTR (170176),2019,Acute Care,Proprietary,270.0,38.937613,-94.723726,KS,76.0,114.0,100.0,11.0,100.0,11.0,,,,,,,95.0,2391.0,0.0,23.0,100.0,585.0,,,0.0,42759.0,,,,,156.0,16.0,81.0,787.0,103.0,457.0,204.0,788.0,0.0,59.0
1456,MENORAH MEDICAL CENTER (170182),2019,Acute Care,Voluntary non-profit - Other,255.0,38.912835,-94.651473,KS,66.0,100.0,100.0,103.0,100.0,104.0,,,,,,,97.0,2230.0,0.0,24.0,99.0,607.0,,,0.0,14938.0,,,,,,,94.0,636.0,153.0,438.0,221.0,636.0,0.0,46.0
1457,KANSAS SURGERY & RECOVERY CENTER (170183),2019,Acute Care,Proprietary,27.0,37.732911,-97.226256,KS,,,,,,,,,,,,,99.0,198.0,,,100.0,311.0,,,,,,,,,,,,,,,,,,
1458,SAINT LUKE'S SOUTH HOSPITAL (170185),2019,Acute Care,Voluntary non-profit - Other,121.0,38.905583,-94.667847,KS,38.0,96.0,98.0,84.0,90.0,84.0,,,,,82.0,11.0,81.0,1324.0,,,98.0,552.0,,,1.0,17807.0,6.0,14.0,,,210.0,17.0,134.0,680.0,147.0,377.0,240.0,683.0,4.0,47.0
1459,KANSAS HEART HOSPITAL (170186),2019,Acute Care,Proprietary,46.0,37.749305,-97.226366,KS,,,,,,,,,,,,,79.0,340.0,,,98.0,280.0,,,,,,,,,,,,,,,,,,
1460,SALINA SURGICAL HOSPITAL (170187),2019,Acute Care,Proprietary,15.0,38.834346,-97.609162,KS,,,92.0,237.0,94.0,157.0,,,,,,,84.0,249.0,,,99.0,263.0,,,,,,,,,,,,,,,,,,
1461,KANSAS CITY ORTHOPAEDIC INSTITUTE (170188),2019,Acute Care,Physician,11.0,38.927549,-94.628235,KS,,,,,,,,,,,,,67.0,286.0,,,96.0,449.0,,,,,,,,,,,,,,,,,,
1462,MANHATTAN SURGICAL HOSPITAL LLC (170190),2019,Acute Care,Physician,13.0,39.202826,-96.598183,KS,,,100.0,83.0,99.0,87.0,,,,,,,98.0,189.0,,,98.0,385.0,,,,,,,,,,,,,,,,,,
1463,UNIVERSITY  OF KS HLTH SYSTEM GREAT BEND CAMPUS (170191),2019,Acute Care,Proprietary,32.0,38.3562,-98.791619,KS,25.0,12.0,73.0,52.0,92.0,24.0,,,,,,,62.0,455.0,,,48.0,248.0,,,0.0,9129.0,13.0,43.0,,,,,40.0,144.0,106.0,324.0,206.0,162.0,0.0,11.0
1464,DOCTORS HOSPITAL LLC (170194),2019,Acute Care,Proprietary,9.0,38.927412,-94.6435,KS,,,,,,,,,,,,,98.0,62.0,,,21.0,52.0,,,,,,,,,,,,,,,,,,
1465,"KANSAS SPINE & SPECIALTY HOSPITAL, LLC (170196)",2019,Acute Care,Physician,36.0,37.743966,-97.226326,KS,,,,,,,,,,,,,55.0,265.0,,,99.0,305.0,,,,,,,,,,,,,,,,,,
1466,KANSAS MEDICAL CENTER LLC (170197),2019,Acute Care,Proprietary,56.0,37.72324,-97.14648,KS,69.0,74.0,77.0,70.0,100.0,69.0,,,,,,,99.0,706.0,,,89.0,326.0,,,1.0,8675.0,,,,,,,54.0,193.0,90.0,372.0,193.0,193.0,,
1467,"SUMMIT SURGICAL, LLC (170198)",2019,Acute Care,Physician,10.0,38.07953,-97.888595,KS,,,,,,,,,,,,,95.0,80.0,,,99.0,131.0,,,,,,,,,,,,,,,,,,
1468,MINIMALLY INVASIVE SURGERY HOSPITAL (170199),2019,Acute Care,Proprietary,9.0,38.924376,-94.769705,KS,,,,,,,,,,,,,95.0,80.0,,,100.0,58.0,,,,,,,,,,,,,,,,,,
1469,"ASCENSION VIA CHRISTI HOSPITAL ST. TERESA, INC. (170200)",2019,Acute Care,Voluntary non-profit - Church,60.0,37.725045,-97.513786,KS,45.0,71.0,88.0,85.0,96.0,48.0,,,,,,,100.0,540.0,,,87.0,293.0,,,1.0,13529.0,,,,,,,58.0,423.0,122.0,373.0,200.0,423.0,,
1470,"PINNACLE REGIONAL HOSPITAL, INC (170201)",2019,Acute Care,Proprietary,4.0,38.896301,-94.667876,KS,,,,,,,,,,,,,53.0,173.0,,,99.0,217.0,,,,,,,,,,,,,,,,,,
1471,PREMIER SURGICAL INSTITUTE (170203),2019,Acute Care,Government - Local,36.0,37.076624,-94.621802,KS,,,77.0,53.0,76.0,94.0,,,,,,,82.0,177.0,,,50.0,706.0,,,,,,,,,,,,,,,,,,
1472,GRISELL MEMORIAL HOSPITAL (171300),2019,Critical Access,Government - Hospital District or Authority,40.0,38.63671,-99.931546,KS,,,,,,,,,,,,,52.0,83.0,,,,,,,0.0,179.0,,,,,,,,,105.0,99.0,,,,
1473,OSWEGO COMMUNITY HOSPITAL (171302),2019,Critical Access,Proprietary,12.0,37.159673,-95.11077,KS,,,,,,,,,,,,,60.0,85.0,,,,,,,,,,,,,,,,,,,,,,
1474,LANE COUNTY HOSPITAL (171303),2019,Critical Access,Voluntary non-profit - Other,29.0,,,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,245.0,,,,
1475,ASHLAND HEALTH CENTER (171304),2019,Critical Access,Government - Hospital District or Authority,34.0,,,KS,,,,,,,,,,,,,66.0,94.0,,,88.0,25.0,,,,,,,,,,,7.0,25.0,,,118.0,26.0,,
1476,WICHITA COUNTY HEALTH CENTER (171306),2019,Critical Access,Government - Local,38.0,38.476196,-101.35561,KS,,,,,,,,,,,,,79.0,120.0,,,70.0,23.0,,,0.0,649.0,,,,,,,15.0,46.0,102.0,156.0,144.0,46.0,,
1477,RAWLINS COUNTY HEALTH CENTER (171307),2019,Critical Access,Voluntary non-profit - Other,14.0,39.813264,-101.0385,KS,,,,,,,,,,,,,99.0,93.0,,,27.0,30.0,,,,,,,,,,,1.0,61.0,112.0,167.0,111.0,61.0,,
1478,MERCY HOSPITAL COLUMBUS (171308),2019,Critical Access,Voluntary non-profit - Church,17.0,37.172064,-94.843805,KS,,,,,,,,,,,,,99.0,80.0,,,94.0,16.0,,,0.0,1831.0,,,,,,,,,83.0,223.0,,,,
1479,JEWELL COUNTY HOSPITAL (171309),2019,Critical Access,Government - Local,30.0,39.787054,-98.201298,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,16.0,,,71.0,283.0,90.0,11.0,,
1480,CHEYENNE COUNTY HOSPITAL (171310),2019,Critical Access,Government - Local,16.0,39.771069,-101.803259,KS,,,,,,,,,,,,,96.0,97.0,,,59.0,64.0,,,,,12.0,17.0,,,,,12.0,44.0,98.0,226.0,117.0,65.0,,
1481,ROOKS COUNTY HEALTH CENTER (171311),2019,Critical Access,Government - Hospital District or Authority,18.0,39.247967,-99.298203,KS,,,,,,,,,,,,,97.0,182.0,,,78.0,147.0,,,0.0,1593.0,7.0,39.0,,,170.0,14.0,20.0,119.0,144.0,62.0,147.0,123.0,,
1482,COMANCHE COUNTY HOSPITAL (171312),2019,Critical Access,Government - Local,12.0,37.268976,-99.332016,KS,,,,,,,,,,,,,58.0,55.0,,,41.0,22.0,,,0.0,645.0,,,,,,,20.0,42.0,64.0,268.0,108.0,42.0,,
1483,KEARNY COUNTY HOSPITAL (171313),2019,Critical Access,Government - Local,62.0,37.945971,-101.251036,KS,0.0,11.0,,,,,,,,,,,96.0,362.0,,,77.0,57.0,,,,,,,,,,,18.0,82.0,119.0,269.0,175.0,85.0,,
1484,NEMAHA VALLEY COMMUNITY HOSPITAL (171315),2019,Critical Access,Voluntary non-profit - Private,24.0,39.837849,-96.07789,KS,,,,,,,,,,,,,99.0,166.0,,,96.0,99.0,,,0.0,1328.0,10.0,19.0,,,,,11.0,96.0,110.0,261.0,128.0,122.0,,
1485,ANDERSON COUNTY HOSPITAL (171316),2019,Critical Access,Voluntary non-profit - Private,43.0,38.28012,-95.2493,KS,,,,,,,,,,,,,94.0,368.0,,,100.0,27.0,,,0.0,3164.0,10.0,17.0,,,,,50.0,50.0,104.0,263.0,210.0,51.0,,
1486,EDWARDS COUNTY HOSPITAL (171317),2019,Critical Access,Government - Local,19.0,37.920715,-99.419431,KS,,,,,,,,,,,,,96.0,92.0,,,79.0,14.0,,,1.0,773.0,3.0,17.0,,,,,12.0,29.0,105.0,136.0,107.0,31.0,,
