,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
525,GREATER EL MONTE COMMUNITY HOSPITAL (050738),2017,Acute Care,Voluntary non-profit - Private,118.0,34.048705,-118.042452,CA,,,,,,0.502,5.0,9.959,15614.0,,,,,,,0.0,0.459,16170.0,,7.0,0.0,0.033,4.0,0.0,0.075,
526,CENTINELA HOSPITAL MEDICAL CENTER (050739),2017,Acute Care,Proprietary,349.0,33.949086,-118.348214,CA,,,,,,0.805,39.0,48.43,64187.0,,,,,,0.741,2.0,2.699,67298.0,,22.0,0.0,0.187,65.0,0.0,1.895,0.0
527,MARINA DEL REY HOSPITAL (050740),2017,Acute Care,Proprietary,98.0,33.981732,-118.440154,CA,,,,,,0.756,9.0,11.908,13363.0,,,,,,,2.0,0.415,13363.0,,4.0,0.0,0.036,31.0,0.0,0.785,
528,OLYMPIA MEDICAL CENTER (050742),2017,Acute Care,Proprietary,204.0,34.057527,-118.359857,CA,,,,,,2.327,66.0,28.36,27409.0,,,,,,2.041,3.0,1.47,27409.0,,16.0,0.0,0.13,17.0,0.0,0.468,
529,ANAHEIM GLOBAL MEDICAL CENTER (050744),2017,Acute Care,Proprietary,185.0,33.820566,-117.909002,CA,,,,,,0.822,9.0,10.955,18520.0,,,,,,0.952,1.0,1.05,20325.0,,41.0,0.0,0.358,8.0,0.0,0.242,
530,CHAPMAN GLOBAL MEDICAL CENTER (050745),2017,Acute Care,Proprietary,112.0,33.787878,-117.827058,CA,,,,,,0.786,3.0,3.819,7862.0,,,,,,,0.0,0.311,7862.0,,,,,4.0,0.0,0.137,
531,ORANGE COUNTY GLOBAL MEDICAL CENTER (050746),2017,Acute Care,Proprietary,246.0,33.753636,-117.834209,CA,,,,,,1.153,33.0,28.619,37284.0,,,,,,0.0,0.0,2.418,40339.0,,126.0,1.0,0.974,52.0,0.0,1.822,0.0
532,SOUTH COAST GLOBAL MEDICAL CENTER (050747),2017,Acute Care,Proprietary,177.0,33.710692,-117.88541,CA,,,,,,0.446,2.0,4.482,9572.0,,,,,,,0.0,0.553,12167.0,,75.0,0.0,0.644,3.0,0.0,0.097,
533,KAISER FOUNDATION HOSPITAL MANTECA (050748),2017,Acute Care,Voluntary non-profit - Private,238.0,37.797371,-121.246183,CA,,,,,,1.065,31.0,29.102,39779.0,,,,,,0.613,1.0,1.632,47008.0,,25.0,1.0,0.253,194.0,1.0,5.429,0.184
534,MIRACLE MILE MEDICAL CENTER (050751),2017,Acute Care,Proprietary,17.0,,,CA,,,,,,,0.0,0.016,98.0,,,,,,,0.0,0.002,98.0,,,,,,,,
535,MENLO PARK SURGICAL HOSPITAL (050754),2017,Acute Care,Voluntary non-profit - Private,16.0,37.462043,-122.159517,CA,,,,,,,0.0,0.053,272.0,,,,,,,0.0,0.004,272.0,,8.0,0.0,0.053,,,,
536,SHERMAN OAKS HOSPITAL (050755),2017,Acute Care,Voluntary non-profit - Private,150.0,34.15981,-118.448705,CA,,,,,,0.611,15.0,24.547,31778.0,,,,,,1.359,2.0,1.471,31778.0,,2.0,0.0,0.015,8.0,1.0,0.221,
537,ALVARADO HOSPITAL MEDICAL CENTER (050757),2017,Acute Care,Government - Federal,300.0,32.777136,-117.056602,CA,,,,,,1.64,30.0,18.294,26478.0,,,,,,3.393,4.0,1.179,26478.0,,17.0,0.0,0.136,24.0,1.0,0.622,
538,MONTCLAIR HOSPITAL MEDICAL CENTER (050758),2017,Acute Care,Voluntary non-profit - Private,103.0,34.077662,-117.696098,CA,,,,,,0.88,5.0,5.683,10585.0,,,,,,,0.0,0.476,11118.0,,20.0,0.0,0.186,3.0,0.0,0.072,
539,KAISER FOUNDATION HOSPITAL - ANTIOCH (050760),2017,Acute Care,Proprietary,138.0,37.949469,-121.774824,CA,,,,,,0.724,13.0,17.961,26198.0,,,,,,,1.0,0.951,29178.0,,65.0,0.0,0.5,93.0,7.0,2.285,3.063
540,PROVIDENCE TARZANA MEDICAL CENTER (050761),2017,Acute Care,Voluntary non-profit - Private,244.0,34.169777,-118.53183,CA,,,,,,1.256,45.0,35.82,48730.0,,,,,,2.834,7.0,2.47,52420.0,0.0,153.0,0.0,1.128,121.0,4.0,2.897,1.381
541,SILVER LAKE MEDICAL CENTER (050763),2017,Acute Care,Proprietary,218.0,34.06879,-118.26356,CA,,,,,,2.367,19.0,8.027,15446.0,,,,,,,0.0,0.508,15446.0,,2.0,0.0,0.009,,,,
542,SHASTA REGIONAL MEDICAL CENTER (050764),2017,Acute Care,Proprietary,219.0,40.585376,-122.386683,CA,,,,,,1.202,24.0,19.965,31027.0,,,,,,1.954,4.0,2.047,31027.0,,9.0,0.0,0.068,86.0,5.0,2.382,2.099
543,KAISER FOUNDATION HOSPITAL-MORENO VALLEY (050765),2017,Acute Care,Voluntary non-profit - Other,87.0,33.895697,-117.187121,CA,,,,,,1.106,10.0,9.038,15458.0,,,,,,,0.0,0.634,17438.0,,34.0,0.0,0.285,34.0,0.0,0.861,
544,SUTTER SURGICAL HOSPITAL - NORTH VALLEY (050766),2017,Acute Care,Physician,14.0,39.132167,-121.613603,CA,,,,,,,0.0,0.17,1142.0,,,,,,,0.0,0.016,1380.0,,36.0,0.0,0.293,32.0,1.0,0.791,
545,KAISER FOUNDATION HOSPITAL - VACAVILLE (050767),2017,Acute Care,Proprietary,126.0,38.390073,-121.936776,CA,,,,,,0.652,10.0,15.339,25181.0,,,,,,1.86,2.0,1.076,27218.0,,6.0,1.0,0.048,63.0,3.0,1.794,1.672
546,HOAG ORTHOPEDIC INSTITUTE (050769),2017,Acute Care,Proprietary,70.0,33.66095,-117.774478,CA,,,,,,0.61,1.0,1.64,10553.0,,,,,,,0.0,0.124,10553.0,,,,,,,,
547,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA (050770),2017,Acute Care,Proprietary,108.0,33.613435,-117.168923,CA,,,,,,0.953,21.0,22.028,28943.0,,,,,,1.718,2.0,1.164,30759.0,,10.0,0.0,0.058,103.0,1.0,2.492,0.401
548,COAST PLAZA HOSPITAL (050771),2017,Acute Care,Proprietary,116.0,33.912428,-118.099156,CA,,,,,,0.32,2.0,6.253,13351.0,,,,,,,1.0,0.418,13351.0,,10.0,0.0,0.08,7.0,0.0,0.15,
549,KAISER FOUNDATION HOSPITAL - ROSEVILLE (050772),2017,Acute Care,Voluntary non-profit - Private,342.0,38.746698,-121.247166,CA,,,,,,0.802,44.0,54.854,69619.0,,,,,,0.59,2.0,3.393,89657.0,,116.0,1.0,0.955,269.0,4.0,6.773,0.591
550,SAN LEANDRO HOSPITAL (050773),2017,Acute Care,Government - Hospital District or Authority,67.0,,,CA,,,,,,0.738,3.0,4.064,12832.0,,,,,,,1.0,0.511,12832.0,,,,,15.0,0.0,0.341,
551,TEMECULA VALLEY HOSPITAL (050775),2017,Acute Care,Proprietary,140.0,33.47929,-117.105744,CA,,,,,,1.063,21.0,19.75,29342.0,,,,,,,0.0,0.836,29342.0,,,,,67.0,0.0,1.881,0.0
552,COLLEGE MEDICAL CENTER (050776),2017,Acute Care,Proprietary,213.0,33.807201,-118.193721,CA,,,,,,0.369,9.0,24.398,48585.0,,,,,,0.0,0.0,2.301,49024.0,,11.0,0.0,0.089,3.0,0.0,0.084,
553,KAISER FOUNDATION HOSPITAL - SAN LEANDRO (050777),2017,Acute Care,Voluntary non-profit - Private,207.0,37.706524,-122.169447,CA,,,,,,0.345,9.0,26.083,38004.0,,,,,,1.035,2.0,1.933,52002.0,,30.0,0.0,0.26,89.0,2.0,2.321,0.862
554,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL (050778),2017,Acute Care,Voluntary non-profit - Private,345.0,34.049482,-117.261122,CA,,,,,,0.621,22.0,35.435,62505.0,,,,,,0.153,1.0,6.522,96439.0,,14.0,0.0,0.215,,,,
555,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL (050779)",2017,Acute Care,Voluntary non-profit - Private,131.0,33.924361,-118.244331,CA,,,,,,0.923,7.0,7.582,19433.0,,,,,,,0.0,0.661,20228.0,,1.0,0.0,0.008,3.0,0.0,0.09,
556,FOOTHILL REGIONAL MEDICAL CENTER (050780),2017,Acute Care,Proprietary,170.0,33.730773,-117.829485,CA,,,,,,1.242,6.0,4.831,5534.0,,,,,,,0.0,0.156,5534.0,,,,,3.0,0.0,0.079,
557,CASA COLINA HOSPITAL (050782),2017,Acute Care,Voluntary non-profit - Private,99.0,34.096242,-117.746861,CA,,,,,,,,,,,,,,,,0.0,0.02,1104.0,,,,,,,,
558,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS (051300),2017,Critical Access,Government - Hospital District or Authority,75.0,39.806144,-120.463129,CA,,,,,,,0.0,0.239,1084.0,,,,,,,0.0,0.022,1084.0,,,,,,,,
559,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY (051301),2017,Critical Access,Government - Hospital District or Authority,25.0,,,CA,,,,,,0.0,0.0,1.282,5801.0,,,,,,,0.0,0.121,5802.0,,,,,,,,
560,MAMMOTH HOSPITAL (051303),2017,Critical Access,Government - Hospital District or Authority,17.0,37.645071,-118.963911,CA,,,,,,,0.0,0.465,1437.0,,,,,,,0.0,0.034,1602.0,,1.0,0.0,0.007,2.0,0.0,0.041,
561,JOHN C FREMONT HEALTHCARE DISTRICT (051304),2017,Critical Access,Government - Hospital District or Authority,35.0,37.500531,-119.976948,CA,,,,,,,0.0,0.53,1712.0,,,,,,,0.0,0.036,1712.0,,,,,,,,
562,MAYERS MEMORIAL HOSPITAL (051305),2017,Critical Access,Government - Hospital District or Authority,120.0,41.023968,-121.424651,CA,,,,,,,1.0,0.177,800.0,,,,,,,0.0,0.044,2094.0,,,,,,,,
563,GLENN MEDICAL CENTER (051306),2017,Critical Access,Voluntary non-profit - Private,16.0,39.520467,-122.20812,CA,,,,,,,0.0,0.316,1435.0,,,,,,,0.0,0.031,1435.0,,,,,,,,
564,CATALINA ISLAND MEDICAL CENTER (051307),2017,Critical Access,Voluntary non-profit - Church,12.0,33.339079,-118.330477,CA,,,,,,,0.0,0.044,200.0,,,,,,,0.0,0.003,200.0,,,,,,,,
565,JEROLD PHELPS COMMUNITY HOSPITAL (051309),2017,Critical Access,Government - Hospital District or Authority,17.0,40.101491,-123.792756,CA,,,,,,,0.0,0.274,1240.0,,,,,,,0.0,0.026,1240.0,,,,,,,,
566,FRANK R HOWARD MEMORIAL HOSPITAL (051310),2017,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,,,,,,1.869,5.0,2.675,5891.0,,,,,,,0.0,0.123,5891.0,,5.0,0.0,0.036,11.0,0.0,0.32,
567,ORCHARD HOSPITAL (051311),2017,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,,,,,,,1.0,0.005,11.0,,,,,,,0.0,0.0,11.0,,,,,,,,
568,MOUNTAINS COMMUNITY HOSPITAL (051312),2017,Critical Access,Government - Hospital District or Authority,37.0,34.2659,-117.167092,CA,,,,,,,0.0,0.058,262.0,,,,,,,0.0,0.005,265.0,,,,,,,,
569,KERN VALLEY HEALTHCARE DISTRICT (051314),2017,Critical Access,Government - Hospital District or Authority,98.0,35.635351,-118.4063,CA,,,,,,,3.0,0.641,2901.0,,,,,,,0.0,0.061,2901.0,,2.0,0.0,0.019,,,,
570,TRINITY HOSPITAL (051315),2017,Critical Access,Government - Hospital District or Authority,47.0,40.737579,-122.939444,CA,,,,,,,0.0,0.496,2243.0,,,,,,,0.0,0.043,1999.0,,,,,,,,
571,FAIRCHILD MEDICAL CENTER (051316),2017,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,,,,,,1.605,3.0,1.869,4115.0,,,,,,,0.0,0.095,4515.0,,12.0,0.0,0.103,23.0,0.0,0.668,
572,ST HELENA HOSPITAL-CLEARLAKE (051317),2017,Critical Access,Voluntary non-profit - Church,25.0,,,CA,,,,,,0.0,0.0,1.803,5222.0,,,,,,,0.0,0.116,5544.0,,6.0,0.0,0.05,11.0,1.0,0.255,
573,REDWOOD MEMORIAL HOSPITAL (051318),2017,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,,,,,,0.646,1.0,1.548,5803.0,,,,,,,0.0,0.136,6569.0,,17.0,0.0,0.14,27.0,0.0,0.634,
574,MERCY MEDICAL CENTER MT SHASTA (051319),2017,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,,,,,,,0.0,0.572,2596.0,,,,,,,0.0,0.06,2899.0,,12.0,0.0,0.092,13.0,0.0,0.318,
575,BANNER LASSEN MEDICAL CENTER (051320),2017,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,,,,,,1.173,2.0,1.705,3754.0,,,,,,,0.0,0.087,4182.0,,4.0,0.0,0.032,2.0,0.0,0.069,
576,HEALDSBURG DISTRICT HOSPITAL (051321),2017,Critical Access,Government - Hospital District or Authority,42.0,38.626583,-122.863741,CA,,,,,,2.031,3.0,1.477,3784.0,,,,,,,0.0,0.079,3784.0,,,,,5.0,0.0,0.131,
577,COLORADO RIVER MEDICAL CENTER (051323),2017,Critical Access,Voluntary non-profit - Private,25.0,34.832836,-114.618317,CA,,,,,,,1.0,0.228,1035.0,,,,,,,0.0,0.03,1469.0,,,,,,,,
578,NORTHERN INYO HOSPITAL (051324),2017,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,,,,,,2.338,4.0,1.711,3769.0,,,,,,,0.0,0.086,4152.0,,2.0,0.0,0.021,8.0,0.0,0.163,
579,MENDOCINO COAST DISTRICT HOSPITAL (051325),2017,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,,,,,,0.565,1.0,1.771,4503.0,,,,,,,0.0,0.098,4705.0,,,,,9.0,0.0,0.205,
580,PLUMAS DISTRICT HOSPITAL (051326),2017,Critical Access,Government - Hospital District or Authority,21.0,39.934767,-120.919251,CA,,,,,,,0.0,0.16,729.0,,,,,,,0.0,0.015,729.0,,,,,7.0,0.0,0.169,
581,SENECA DISTRICT HOSPITAL (051327),2017,Critical Access,Government - Hospital District or Authority,26.0,40.305302,-121.234018,CA,,,,,,,0.0,0.022,138.0,,,,,,,0.0,0.002,138.0,,,,,,,,
582,TAHOE FOREST HOSPITAL (051328),2017,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,,,,,,1.778,3.0,1.687,4317.0,,,,,,,0.0,0.104,4982.0,,3.0,0.0,0.028,23.0,0.0,0.559,
583,SUTTER LAKESIDE HOSPITAL (051329),2017,Critical Access,Voluntary non-profit - Private,25.0,39.105175,-122.908238,CA,,,,,,2.949,8.0,2.712,5973.0,,,,,,,0.0,0.136,6513.0,,13.0,0.0,0.102,25.0,1.0,0.55,
584,MODOC MEDICAL CENTER (051330),2017,Critical Access,Government - Hospital District or Authority,82.0,41.479949,-120.545503,CA,,,,,,,0.0,0.158,449.0,,,,,,,0.0,0.009,449.0,,,,,,,,
585,SANTA YNEZ VALLEY COTTAGE HOSPITAL (051331),2017,Critical Access,Voluntary non-profit - Private,11.0,34.602465,-120.126643,CA,,,,,,,,,,,,,,,,,,,,,,,,,,
586,MARK TWAIN MEDICAL CENTER (051332),2017,Critical Access,Voluntary non-profit - Other,25.0,38.190973,-120.670661,CA,,,,,,0.768,1.0,1.303,3842.0,,,,,,,0.0,0.079,3842.0,,22.0,0.0,0.227,8.0,0.0,0.181,
587,OJAI VALLEY COMMUNITY HOSPITAL (051334),2017,Critical Access,Voluntary non-profit - Private,93.0,34.442251,-119.264518,CA,,,,,,,,,,,,,,,,,,,,,,,,,,
588,BEAR VALLEY COMMUNITY HOSPITAL (051335),2017,Critical Access,Government - Hospital District or Authority,30.0,34.246023,-116.888343,CA,,,,,,,2.0,0.297,1232.0,,,,,,,0.0,0.022,1232.0,,,,,,,,
589,NORTH COLORADO MEDICAL CENTER (060001),2017,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,,,,,,0.714,23.0,32.19,48687.0,,,,,,0.58,1.0,1.723,51411.0,,77.0,4.0,0.718,156.0,4.0,4.264,0.938
590,LONGMONT UNITED HOSPITAL (060003),2017,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,,,,,,0.672,11.0,16.376,23678.0,,,,,,,0.0,0.806,24513.0,,25.0,0.0,0.223,66.0,1.0,1.551,0.645
591,PLATTE VALLEY MEDICAL CENTER (060004),2017,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,,,,,,0.581,2.0,3.442,9224.0,,,,,,,0.0,0.346,10002.0,,68.0,0.0,0.545,59.0,3.0,1.464,2.049
592,MONTROSE MEMORIAL HOSPITAL (060006),2017,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,,,,,,0.549,3.0,5.461,8243.0,,,,,,,0.0,0.329,8712.0,,103.0,1.0,0.783,38.0,1.0,0.873,
593,SAN LUIS VALLEY HEALTH (060008),2017,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,,,,,,1.295,4.0,3.089,5701.0,,,,,,,0.0,0.136,6290.0,,19.0,0.0,0.174,15.0,0.0,0.482,
594,LUTHERAN MEDICAL CENTER (060009),2017,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,,,,,,1.408,48.0,34.094,45825.0,,,,,,0.741,2.0,2.698,52840.0,1.859,203.0,3.0,1.614,159.0,5.0,4.24,1.179
595,POUDRE VALLEY HOSPITAL (060010),2017,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,,,,,,0.847,30.0,35.428,46526.0,,,,,,0.0,0.0,1.936,55131.0,2.12,178.0,3.0,1.415,165.0,2.0,4.303,0.465
596,DENVER HEALTH MEDICAL CENTER (060011),2017,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,,,,,,1.228,93.0,75.732,95548.0,,,,,,1.209,7.0,5.792,108132.0,,82.0,1.0,0.712,142.0,5.0,4.721,1.059
597,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER (060012),2017,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,,,,,,1.145,16.0,13.974,23306.0,,,,,,0.706,1.0,1.417,24442.0,,42.0,0.0,0.314,41.0,2.0,1.142,1.751
598,"ST MARY CORWIN MED CTR, CENTURA HEALTH (060012)",2017,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,,,,,,,,,,,,,,,,,,,,,,,,,,
599,MERCY REGIONAL MEDICAL CENTER (060013),2017,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,,,,,,0.798,7.0,8.771,13619.0,,,,,,,1.0,0.526,15173.0,,70.0,1.0,0.589,54.0,0.0,1.336,0.0
600,PRESBYTERIAN ST LUKES MEDICAL CENTER (060014),2017,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,,,,,,1.83,78.0,42.616,57734.0,,,,,,0.395,2.0,5.063,75975.0,,116.0,0.0,0.996,107.0,1.0,2.868,0.349
601,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2017,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,,,,,,1.237,56.0,45.273,61289.0,,,,,,0.499,2.0,4.007,61289.0,,22.0,0.0,0.161,154.0,2.0,4.205,0.476
602,CENTURA HEALTH-ST ANTHONY  HOSPITAL (060015),2017,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,,,,,,,,,,,,,,,,,,,,,,,,,,
603,CENTURA HEALTH-ST THOMAS MORE HOSPITAL (060016),2017,Acute Care,Voluntary non-profit - Private,152.0,,,CO,,,,,,1.79,2.0,1.118,5603.0,,,,,,,0.0,0.115,5823.0,,44.0,1.0,0.397,33.0,1.0,0.796,
604,PARKVIEW MEDICAL CENTER INC (060020),2017,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,,,,,,0.992,51.0,51.421,72682.0,,,,,,0.789,4.0,5.071,76669.0,0.0,245.0,0.0,2.214,238.0,10.0,6.416,1.559
605,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL (060022),2017,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,,,,,,0.775,56.0,72.221,81075.0,,,,,,1.004,5.0,4.978,102366.0,,58.0,0.0,0.466,323.0,4.0,8.328,0.48
606,UCH-MEMORIAL HEALTH SYSTEM (060022),2017,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,,,,,,,,,,,,,,,,,,,,,,,,,,
607,ST MARYS  MEDICAL CENTER (060023),2017,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,,,,,,1.506,61.0,40.497,60165.0,,,,,,0.943,4.0,4.241,66593.0,0.0,170.0,0.0,1.337,182.0,2.0,4.772,0.419
608,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2017,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,,,,,,,,,,,,,,,0.576,9.0,15.632,179594.0,2.527,210.0,4.0,1.583,405.0,12.0,11.326,1.06
609,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT (060024),2017,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,,,,,,,,,,,,,,,,,,,,,,,,,,
610,FOOTHILLS HOSPITAL (060027),2017,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,,,,,,1.091,20.0,18.326,33631.0,,,,,,0.852,1.0,1.174,33428.0,,74.0,1.0,0.497,101.0,6.0,2.445,2.454
611,FOOTHILLS HOSPITAL - BOULDER COMMUNITY HEALTH (060027),2017,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,,,,,,,,,,,,,,,,,,,,,,,,,,
612,SAINT JOSEPH HOSPITAL (060028),2017,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,,,,,,,,,,,,,,,0.211,1.0,4.74,89997.0,0.296,389.0,1.0,3.376,263.0,8.0,6.991,1.144
613,MCKEE MEDICAL CENTER (060030),2017,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,,,,,,0.747,5.0,6.695,12870.0,,,,,,,0.0,0.29,14424.0,1.372,279.0,3.0,2.187,45.0,1.0,1.236,0.809
614,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2017,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,,,,,,1.286,55.0,42.778,84231.0,,,,,,0.497,2.0,4.026,90913.0,1.705,421.0,6.0,3.519,296.0,6.0,7.744,0.775
615,ROSE MEDICAL CENTER (060032),2017,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,,,,,,1.127,29.0,25.731,36054.0,,,,,,0.925,2.0,2.163,46830.0,1.656,245.0,3.0,1.812,180.0,12.0,4.619,2.598
616,SWEDISH MEDICAL CENTER (060034),2017,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,,,,,,1.153,80.0,69.367,84331.0,,,,,,1.139,6.0,5.269,96273.0,0.352,348.0,1.0,2.844,332.0,13.0,8.588,1.514
617,HCA-HEALTHONE DBA SWEDISH MEDICAL CENTER (060034),2017,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,,,,,,,,,,,,,,,,,,,,,,,,,,
618,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (060036),2017,Acute Care,Voluntary non-profit - Private,125.0,,,CO,,,,,,1.245,2.0,1.607,2855.0,,,,,,,0.0,0.054,3023.0,,2.0,0.0,0.03,6.0,0.0,0.141,
619,KEEFE MEMORIAL HOSPITAL (060043),2017,Acute Care,Government - Hospital District or Authority,11.0,,,CO,,,,,,,,,,,,,,,,0.0,0.0,6.0,,,,,,,,
620,COLORADO PLAINS MEDICAL CENTER (060044),2017,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,,,,,,0.541,1.0,1.848,3110.0,,,,,,,0.0,0.093,3697.0,,20.0,0.0,0.16,7.0,0.0,0.161,
621,YAMPA VALLEY MEDICAL CENTER (060049),2017,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,,,,,,1.622,6.0,3.699,4861.0,,,,,,,0.0,0.177,5685.0,,8.0,1.0,0.057,16.0,1.0,0.414,
622,COMMUNITY HOSPITAL (060054),2017,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,,,,,,1.928,10.0,5.186,8918.0,,,,,,,0.0,0.235,9413.0,,69.0,1.0,0.521,58.0,1.0,1.426,0.701
623,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2017,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,,,,,,0.962,26.0,27.028,35741.0,,,,,,0.0,0.0,2.014,35741.0,,62.0,0.0,0.513,64.0,0.0,1.616,0.0
624,NORTH SUBURBAN MEDICAL CENTER (060065),2017,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,,,,,,1.332,26.0,19.516,26614.0,,,,,,0.0,0.0,1.167,29444.0,,120.0,1.0,0.916,61.0,3.0,1.66,1.807
625,DELTA COUNTY MEMORIAL HOSPITAL (060071),2017,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,,,,,,,0.0,0.004,47.0,,,,,,,0.0,0.002,71.0,,6.0,0.0,0.04,42.0,0.0,1.019,0.0
626,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2017,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,,,,,,0.797,7.0,8.786,12209.0,,,,,,,0.0,0.575,14115.0,,33.0,1.0,0.246,39.0,1.0,0.952,
627,STERLING REGIONAL MEDCENTER (060076),2017,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,,,,,,2.226,3.0,1.348,4018.0,,,,,,,0.0,0.095,4467.0,,4.0,0.0,0.033,6.0,0.0,0.153,
628,VAIL VALLEY MEDICAL CENTER (060096),2017,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,,,,,,2.545,5.0,1.965,5970.0,,,,,,,0.0,0.138,7580.0,,9.0,1.0,0.056,6.0,0.0,0.164,
629,"MEDICAL CENTER OF AURORA, THE (060100)",2017,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,,,,,,0.774,55.0,71.052,71569.0,,,,,,0.61,3.0,4.915,73611.0,,72.0,1.0,0.563,141.0,2.0,3.628,0.551
630,AURORA SOUTH HOSPITAL AND MEDICAL CENTER (060100),2017,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,,,,,,,,,,,,,,,,,,,,,,,,,,
631,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2017,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,,,,,,0.629,3.0,4.769,10339.0,,,,,,,0.0,0.458,14685.0,1.553,152.0,2.0,1.288,35.0,3.0,0.888,
632,ST ANTHONY NORTH HEALTH CAMPUS (060104),2017,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,,,,,,0.919,15.0,16.328,21703.0,,,,,,,2.0,0.978,21747.0,,61.0,1.0,0.577,86.0,4.0,2.33,1.717
