,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
1231,METRO-EAST SERVICES INC (140307),2019,Acute Care,Voluntary non-profit - Private,94.0,38.572559,-89.90689,IL,1.75,,2.0,1.143,1972.0,1.274,12.0,9.42,17543.0,0.0,1514.0,,0.0,1.07,0.0,0.0,1.022,20561.0,,32.0,1.0,0.281,41.0,1.0,1.07,0.935
1232,NORTH CHICAGO VA MEDICAL CENTER (14034F),2019,Acute Care (VA),Government - Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,THOMAS H BOYD MEMORIAL HOSPITAL (141300),2019,Critical Access,Voluntary non-profit - Private,25.0,39.29617,-90.412303,IL,,,,,,,0.0,0.407,1846.0,,,,,,,0.0,0.038,1846.0,,,,,,,,
1234,KIRBY MEDICAL CENTER (141301),2019,Critical Access,Voluntary non-profit - Private,16.0,40.060163,-88.56377,IL,,,0.0,0.519,794.0,,0.0,0.368,1666.0,,603.0,,0.0,0.164,,0.0,0.034,1666.0,,,,,,,,
1235,MIDWEST MEDICAL CENTER (141302),2019,Critical Access,Voluntary non-profit - Private,82.0,42.446622,-90.456972,IL,,,0.0,0.05,76.0,,0.0,0.43,1951.0,,,,,,,0.0,0.041,1951.0,,,,,,,,
1236,WARNER HOSPITAL AND HEALTH SERVICES (141303),2019,Critical Access,Government - Local,18.0,40.148953,-88.964616,IL,,,,,,,0.0,0.121,347.0,,,,,,,0.0,0.008,373.0,,,,,,,,
1237,"GENESIS MEDICAL CENTER, ALEDO (141304)",2019,Critical Access,Voluntary non-profit - Private,22.0,41.20508,-90.758485,IL,,,0.0,0.108,166.0,,0.0,0.242,1099.0,,24.0,,0.0,0.007,,0.0,0.022,1099.0,,,,,,,,
1238,MEMORIAL HOSPITAL (141305),2019,Critical Access,Voluntary non-profit - Private,22.0,40.409306,-91.111319,IL,,,0.0,0.164,251.0,0.847,1.0,1.181,2980.0,,121.0,,0.0,0.032,,0.0,0.061,2980.0,,,,,,,,
1239,COMMUNITY MEMORIAL HOSPITAL (141306),2019,Critical Access,Voluntary non-profit - Private,25.0,39.015339,-89.78989,IL,,,0.0,0.098,149.0,,0.0,0.463,2094.0,,,,,,,0.0,0.043,2094.0,,,,,,,,
1240,PINCKNEYVILLE COMMUNITY HOSPITAL (141307),2019,Critical Access,Government - Hospital District or Authority,21.0,38.08023,-89.368631,IL,,,,,,,0.0,0.428,1520.0,,,,,,,0.0,0.031,1520.0,,,,,,,,
1241,WASHINGTON COUNTY HOSPITAL* (141308),2019,Critical Access,Government - Hospital District or Authority,50.0,38.339118,-89.390016,IL,,,0.0,0.027,40.0,,0.0,0.042,191.0,,,,,,,0.0,0.004,191.0,,,,,,,,
1242,ADVOCATE EUREKA  HOSPITAL (141309),2019,Critical Access,Voluntary non-profit - Private,24.0,40.721405,-89.271661,IL,,,0.0,0.038,59.0,,1.0,0.417,1196.0,,172.0,,0.0,0.047,,0.0,0.024,1196.0,,,,,,,,
1243,OSF SAINT PAUL MEDICAL CENTER (141310),2019,Critical Access,Voluntary non-profit - Private,25.0,41.555187,-89.105497,IL,,,0.0,0.124,189.0,,0.0,0.759,2858.0,,297.0,,0.0,0.081,,0.0,0.059,2858.0,,,,,,,,
1244,FAIRFIELD MEMORIAL HOSPITAL 1 (141311),2019,Critical Access,Voluntary non-profit - Private,64.0,38.381637,-88.374422,IL,,,0.0,0.202,310.0,4.405,5.0,1.135,2863.0,,452.0,,1.0,0.123,,0.0,0.059,2863.0,,2.0,0.0,0.018,20.0,0.0,0.539,
1245,ROCHELLE COMMUNITY HOSPITAL (141312),2019,Critical Access,Voluntary non-profit - Private,18.0,41.928573,-89.062801,IL,,,0.0,0.048,74.0,,0.0,0.099,448.0,,6.0,,0.0,0.002,,0.0,0.009,453.0,,,,,,,,
1246,MASON DISTRICT HOSPITAL (141313),2019,Critical Access,Government - Hospital District or Authority,25.0,40.305713,-90.056111,IL,,,0.0,0.116,178.0,,0.0,0.41,1471.0,,168.0,,0.0,0.046,,1.0,0.031,1471.0,,,,,,,,
1247,ILLINI COMMUNITY HOSPITAL (141315),2019,Critical Access,Voluntary non-profit - Private,31.0,39.606793,-90.815055,IL,,,0.0,0.111,170.0,,0.0,0.267,967.0,,39.0,,0.0,0.011,,0.0,0.02,967.0,,,,,,,,
1248,HOOPESTON COMMUNITY MEMORIAL HOSPITAL (141316),2019,Critical Access,Voluntary non-profit - Private,39.0,40.459188,-87.660086,IL,,,0.0,0.097,94.0,,0.0,0.181,820.0,,48.0,,0.0,0.013,,0.0,0.017,820.0,,,,,2.0,0.0,0.046,
1249,GIBSON COMMUNITY HOSPITAL (141317),2019,Critical Access,Voluntary non-profit - Private,67.0,40.478072,-88.370716,IL,,,1.0,0.301,462.0,0.0,0.0,1.703,7711.0,,323.0,,0.0,0.088,,0.0,0.166,8009.0,,1.0,0.0,0.008,5.0,0.0,0.116,
1250,OSF HOLY FAMILY MEDICAL CENTER (141318),2019,Critical Access,Voluntary non-profit - Private,22.0,40.921291,-90.658986,IL,,,,,,,0.0,0.567,1747.0,,,,,,,0.0,0.036,1747.0,,,,,,,,
1251,HAMMOND HENRY HOSPITAL (141319),2019,Critical Access,Government - Hospital District or Authority,64.0,41.460674,-90.158405,IL,,,0.0,0.171,263.0,,0.0,0.695,2055.0,,35.0,,0.0,0.009,,0.0,0.029,1387.0,,,,,27.0,0.0,0.571,
1252,PARIS COMMUNITY HOSPITAL (141320),2019,Critical Access,Voluntary non-profit - Other,25.0,39.606712,-87.678311,IL,,,3.0,0.29,443.0,,1.0,0.955,3388.0,,191.0,,0.0,0.052,,0.0,0.07,3388.0,,3.0,0.0,0.025,1.0,0.0,0.027,
1253,FRANKLIN HOSPITAL (141321),2019,Critical Access,Government - Hospital District or Authority,24.0,38.009137,-88.917142,IL,,,0.0,0.135,209.0,,2.0,0.313,1119.0,,,,,,,0.0,0.023,1119.0,,,,,,,,
1254,ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),2019,Critical Access,Voluntary non-profit - Private,25.0,40.152373,-89.388698,IL,0.585,,1.0,1.709,700.0,1.067,2.0,1.875,4131.0,,334.0,,0.0,0.092,,0.0,0.09,4326.0,,17.0,2.0,0.147,,,,
1255,MASSAC MEMORIAL HOSPITAL (141323),2019,Critical Access,Government - Hospital District or Authority,25.0,37.166836,-88.739578,IL,,,,,,0.656,2.0,3.048,8948.0,,,,,,,0.0,0.186,8948.0,,,,,,,,
1256,FERRELL HOSPITAL COMMUNITY FOUNDATIONS (141324),2019,Critical Access,Voluntary non-profit - Private,25.0,37.815332,-88.441451,IL,0.665,,1.0,1.504,616.0,,0.0,0.044,197.0,,322.0,,0.0,0.088,,0.0,0.015,712.0,,,,,,,,
1257,OSF SAINT LUKES MEDICAL CENTER (141325),2019,Critical Access,Voluntary non-profit - Church,25.0,41.222163,-89.947769,IL,,,0.0,0.122,188.0,0.0,0.0,1.045,2300.0,,143.0,,0.0,0.039,,0.0,0.048,2300.0,,,,,1.0,0.0,0.025,
1258,HAMILTON MEMORIAL HOSPITAL DISTRICT (141326),2019,Critical Access,Government - Hospital District or Authority,25.0,38.087916,-88.541234,IL,,,0.0,0.077,157.0,,0.0,0.174,1354.0,,84.0,,0.0,0.049,,0.0,0.024,1354.0,,,,,,,,
1259,WABASH GENERAL HOSPITAL 1 (141327),2019,Critical Access,Government - Hospital District or Authority,25.0,38.421625,-87.768772,IL,,,,,,,2.0,0.912,2268.0,,,,,,,0.0,0.048,2268.0,,,,,,,,
1260,HARDIN COUNTY GENERAL HOSPITAL (141328),2019,Critical Access,Voluntary non-profit - Private,25.0,,,IL,,,,,,,0.0,0.3,1355.0,,,,,,,0.0,0.028,1355.0,,,,,,,,
1261,MORRISON COMMUNITY HOSPITAL (141329),2019,Critical Access,Government - Hospital District or Authority,38.0,41.809131,-89.956574,IL,,,0.0,0.166,254.0,,0.0,0.425,1929.0,,456.0,,1.0,0.124,,0.0,0.039,1929.0,,,,,,,,
1262,HOPEDALE HOSPITAL (141330),2019,Critical Access,Voluntary non-profit - Private,164.0,40.418383,-89.417729,IL,1.323,,2.0,1.512,619.0,,0.0,0.013,32.0,,204.0,,0.0,0.056,,0.0,0.0,40.0,,4.0,0.0,0.032,18.0,0.0,0.48,
1263,MARSHALL BROWNING HOSPITAL (141331),2019,Critical Access,Voluntary non-profit - Private,25.0,38.024441,-89.2368,IL,,,,,,,1.0,0.791,2450.0,,412.0,,0.0,0.113,,0.0,0.051,2450.0,,,,,,,,
1264,HILLSBORO AREA HOSPITAL (141332),2019,Critical Access,Voluntary non-profit - Private,25.0,39.153672,-89.481508,IL,,,0.0,0.192,293.0,,0.0,0.548,2478.0,,82.0,,0.0,0.022,,0.0,0.052,2478.0,,,,,,,,
1265,SARAH D CULBERTSON MEMORIAL HOSPITAL (141333),2019,Critical Access,Government - Hospital District or Authority,25.0,40.117944,-90.563587,IL,,,,,,,0.0,0.381,1380.0,,,,,,,0.0,0.029,1380.0,,,,,,,,
1266,ST JOSEPH MEMORIAL HOSPITAL (141334),2019,Critical Access,Voluntary non-profit - Private,25.0,37.773205,-89.32635,IL,,,0.0,0.729,1117.0,0.504,1.0,1.984,4971.0,,1461.0,,0.0,0.398,,0.0,0.103,4971.0,,,,,,,,
1267,MERCY HARVARD HOSPITAL (141335),2019,Critical Access,Voluntary non-profit - Private,57.0,42.425992,-88.607748,IL,,,0.0,0.208,318.0,,0.0,0.366,1149.0,,72.0,,0.0,0.019,,0.0,0.024,1149.0,,,,,12.0,1.0,0.315,
1268,ST JOSEPH'S HOSPITAL (141336),2019,Critical Access,Voluntary non-profit - Church,25.0,38.757077,-89.667358,IL,,,0.0,0.643,985.0,1.36,3.0,2.206,6716.0,,771.0,,0.0,0.21,,0.0,0.139,6716.0,,,,,6.0,0.0,0.162,
1269,PERRY MEMORIAL HOSPITAL (141337),2019,Critical Access,Government - Local,25.0,41.36801,-89.455958,IL,0.0,,0.0,1.067,437.0,,0.0,0.23,1042.0,,73.0,,0.0,0.02,,0.0,0.026,1253.0,,,,,35.0,0.0,0.894,
1270,MEMORIAL HOSPITAL (141338),2019,Critical Access,Government - Hospital District or Authority,25.0,37.918529,-89.812888,IL,,,0.0,0.065,101.0,,0.0,0.461,2089.0,,9.0,,0.0,0.002,,0.0,0.043,2089.0,,,,,5.0,0.0,0.156,
1271,TAYLORVILLE MEMORIAL HOSPITAL (141339),2019,Critical Access,Voluntary non-profit - Private,32.0,39.553753,-89.293754,IL,,,0.0,0.89,364.0,1.087,2.0,1.84,5495.0,,482.0,,0.0,0.131,,0.0,0.115,5495.0,,,,,,,,
1272,VALLEY WEST COMMUNITY HOSPITAL (141340),2019,Critical Access,Voluntary non-profit - Private,25.0,41.657133,-88.62192,IL,,,0.0,0.27,412.0,,0.0,0.562,2547.0,,86.0,,0.0,0.024,,0.0,0.059,2851.0,,,,,8.0,0.0,0.241,
1273,PANA COMMUNITY HOSPITAL (141341),2019,Critical Access,Voluntary non-profit - Private,22.0,39.380296,-89.084213,IL,,,,,,,0.0,0.361,1632.0,,,,,,,0.0,0.033,1632.0,,,,,,,,
1274,UNION COUNTY HOSPITAL (141342),2019,Critical Access,Proprietary,45.0,37.465305,-89.245019,IL,,,0.0,0.349,534.0,,1.0,0.525,2381.0,,58.0,,0.0,0.016,,0.0,0.05,2381.0,,,,,,,,
1275,CRAWFORD MEMORIAL HOSPITAL (141343),2019,Critical Access,Government - Hospital District or Authority,57.0,39.013668,-87.748999,IL,,,0.0,0.329,503.0,1.467,2.0,1.363,3002.0,,343.0,,0.0,0.093,,0.0,0.07,3342.0,,11.0,0.0,0.092,2.0,0.0,0.051,
1276,LAWRENCE COUNTY MEMORIAL HOSPITAL (141344),2019,Critical Access,Voluntary non-profit - Private,25.0,38.729518,-87.69415,IL,,,0.0,0.162,249.0,,0.0,0.275,1245.0,,28.0,,0.0,0.008,,0.0,0.026,1245.0,,,,,,,,
1277,SALEM TOWNSHIP HOSPITAL (141345),2019,Critical Access,Government - Local,25.0,38.64083,-88.948337,IL,,,0.0,0.24,369.0,,0.0,0.439,1985.0,,328.0,,0.0,0.09,,0.0,0.042,1985.0,,,,,15.0,0.0,0.407,
1278,FAYETTE COUNTY HOSPITAL (141346),2019,Critical Access,Voluntary non-profit - Other,110.0,,,IL,,,0.0,0.028,43.0,,2.0,0.281,856.0,,6.0,,0.0,0.002,,0.0,0.018,856.0,,,,,,,,
1279,CARLINVILLE AREA HOSPITAL (141347),2019,Critical Access,Voluntary non-profit - Private,25.0,39.299642,-89.88163,IL,,,,,,,3.0,0.752,2772.0,,,,,,,0.0,0.057,2772.0,,,,,,,,
1280,RED BUD REGIONAL HOSPITAL (141348),2019,Critical Access,Proprietary,25.0,38.209605,-89.996408,IL,0.0,,0.0,1.334,546.0,0.432,1.0,2.317,6791.0,,530.0,,0.0,0.144,,0.0,0.142,6791.0,,,,,2.0,0.0,0.045,
1281,SPARTA COMMUNITY HOSPITAL (141349),2019,Critical Access,Government - Hospital District or Authority,25.0,,,IL,,,0.0,0.219,335.0,,1.0,0.923,2466.0,,314.0,,0.0,0.086,,0.0,0.052,2466.0,,,,,1.0,0.0,0.024,
1282,ST FRANCIS HOSPITAL (141350),2019,Critical Access,Voluntary non-profit - Church,25.0,39.18081,-89.639636,IL,,,0.0,0.056,87.0,,0.0,0.902,4083.0,,23.0,,0.0,0.007,,1.0,0.094,4530.0,,,,,,,,
1283,CLAY COUNTY HOSPITAL (141351),2019,Critical Access,Government - Local,20.0,38.680917,-88.470337,IL,,,0.0,0.164,334.0,,0.0,0.552,2543.0,,294.0,,0.0,0.17,,0.0,0.05,2543.0,,,,,10.0,0.0,0.266,
1284,JOHNSON MEMORIAL HOSPITAL (150001),2019,Acute Care,Government - Local,83.0,39.480598,-86.076663,IN,,,0.0,0.453,888.0,0.42,2.0,4.761,7546.0,,432.0,,0.0,0.266,,0.0,0.149,8197.0,,10.0,0.0,0.082,23.0,0.0,0.529,
1285,METHODIST HOSPITALS INC (150002),2019,Acute Care,Voluntary non-profit - Private,490.0,41.599436,-87.357023,IN,0.38,,7.0,18.419,12677.0,0.467,30.0,64.277,80609.0,0.613,14201.0,,9.0,14.682,0.915,7.0,7.652,86290.0,,39.0,1.0,0.369,133.0,6.0,3.911,1.534
1286,FRANCISCAN HEALTH HAMMOND (150004),2019,Acute Care,Voluntary non-profit - Church,214.0,41.61449,-87.52201,IN,1.583,,7.0,4.423,4171.0,1.25,29.0,23.206,21583.0,0.985,4378.0,,4.0,4.06,0.0,0.0,1.7,22588.0,,7.0,0.0,0.074,34.0,1.0,0.952,
1287,HENDRICKS REGIONAL HEALTH (150005),2019,Acute Care,Government - Local,128.0,39.76071,-86.500995,IN,0.0,,0.0,1.987,2817.0,0.57,7.0,12.27,18999.0,,1140.0,,1.0,0.774,,0.0,0.775,21478.0,,24.0,0.0,0.204,62.0,0.0,1.715,0.0
1288,LA PORTE HOSPITAL (150006),2019,Acute Care,Voluntary non-profit - Private,143.0,41.609838,-86.723855,IN,,,1.0,0.976,2719.0,1.453,14.0,9.635,18477.0,0.821,1926.0,,1.0,1.218,,0.0,0.487,18687.0,,4.0,0.0,0.03,36.0,2.0,0.886,
1289,COMMUNITY HOWARD REGIONAL HEALTH INC (150007),2019,Acute Care,Voluntary non-profit - Private,119.0,40.446835,-86.127103,IN,,,0.0,0.77,1053.0,0.885,9.0,10.169,19082.0,,707.0,,0.0,0.475,,0.0,0.579,19675.0,,30.0,0.0,0.336,35.0,0.0,0.916,
1290,ST CATHERINE HOSPITAL INC (150008),2019,Acute Care,Voluntary non-profit - Private,188.0,41.634064,-87.448542,IN,1.205,,3.0,2.489,3418.0,0.746,16.0,21.435,35909.0,0.865,3345.0,,2.0,2.312,1.88,3.0,1.596,37045.0,,15.0,0.0,0.129,28.0,1.0,0.711,
1291,CLARK MEMORIAL HOSPITAL (150009),2019,Acute Care,Voluntary non-profit - Other,176.0,38.282784,-85.749248,IN,0.458,,2.0,4.366,5140.0,0.874,23.0,26.305,27722.0,0.648,3833.0,,2.0,3.086,1.483,2.0,1.349,31362.0,,40.0,0.0,0.349,56.0,1.0,1.566,0.639
1292,ST VINCENT KOKOMO (150010),2019,Acute Care,Voluntary non-profit - Church,144.0,40.487218,-86.155487,IN,,,0.0,0.98,1382.0,0.752,6.0,7.984,17271.0,0.931,1506.0,,1.0,1.074,,0.0,0.63,17721.0,,9.0,0.0,0.093,41.0,1.0,1.063,0.941
1293,MARION GENERAL HOSPITAL (150011),2019,Acute Care,Voluntary non-profit - Private,119.0,40.563853,-85.665139,IN,0.613,,1.0,1.631,2329.0,0.341,4.0,11.738,17738.0,,1049.0,,1.0,0.74,,0.0,0.806,19730.0,,72.0,0.0,0.598,37.0,0.0,0.909,
1294,SAINT JOSEPH REGIONAL MEDICAL CENTER (150012),2019,Acute Care,Voluntary non-profit - Private,286.0,41.704501,-86.174459,IN,0.408,,3.0,7.348,6837.0,0.698,32.0,45.813,61131.0,0.932,6679.0,,6.0,6.438,1.396,5.0,3.581,67826.0,,86.0,0.0,0.765,157.0,4.0,3.886,1.029
1295,FRANCISCAN HEALTH MICHIGAN CITY (150015),2019,Acute Care,Voluntary non-profit - Church,160.0,,,IN,1.643,,5.0,3.044,4333.0,0.817,16.0,19.594,20885.0,0.415,3493.0,,1.0,2.412,,0.0,0.615,21836.0,0.0,145.0,0.0,1.275,59.0,1.0,1.545,0.647
1296,LUTHERAN HOSPITAL OF INDIANA (150017),2019,Acute Care,Proprietary,389.0,41.037374,-85.245885,IN,1.043,,17.0,16.296,17341.0,0.561,35.0,62.355,100039.0,0.771,16029.0,,11.0,14.262,0.342,3.0,8.782,106607.0,,71.0,1.0,0.647,330.0,8.0,8.877,0.901
1297,ELKHART GENERAL HOSPITAL (150018),2019,Acute Care,Government - Local,261.0,41.678761,-85.991833,IN,0.208,,1.0,4.815,5891.0,0.541,16.0,29.557,48910.0,0.272,5126.0,,1.0,3.679,0.91,3.0,3.296,52166.0,,48.0,0.0,0.397,106.0,2.0,2.699,0.741
1298,PARKVIEW REGIONAL MEDICAL CENTER (150021),2019,Acute Care,Voluntary non-profit - Private,713.0,41.187063,-85.09946,IN,0.616,,15.0,24.363,21049.0,0.969,125.0,129.032,150404.0,0.256,20126.0,,5.0,19.545,0.651,5.0,7.677,166171.0,2.133,387.0,7.0,3.281,511.0,20.0,13.687,1.461
1299,FRANCISCAN HEALTH CRAWFORDSVILLE (150022),2019,Acute Care,Voluntary non-profit - Church,42.0,40.066073,-86.908085,IN,,,1.0,0.464,594.0,1.02,3.0,2.941,5690.0,,358.0,,0.0,0.279,,0.0,0.191,5690.0,,14.0,0.0,0.131,8.0,0.0,0.194,
1300,UNION HOSPITAL INC (150023),2019,Acute Care,Voluntary non-profit - Other,278.0,39.484862,-87.407085,IN,0.708,,6.0,8.472,8514.0,0.621,24.0,38.661,52929.0,0.417,7773.0,,3.0,7.189,0.823,3.0,3.645,59827.0,,35.0,0.0,0.288,93.0,1.0,2.517,0.397
1301,ESKENAZI HEALTH (150024),2019,Acute Care,Government - Local,325.0,39.78053,-86.17345,IN,0.731,,11.0,15.057,8658.0,0.92,43.0,46.737,67146.0,1.063,6780.0,,9.0,8.47,1.626,11.0,6.764,80575.0,,62.0,1.0,0.581,104.0,9.0,3.817,2.358
1302,GOSHEN GENERAL HOSPITAL (150026),2019,Acute Care,Voluntary non-profit - Private,118.0,41.564326,-85.829995,IN,0.0,,0.0,3.325,3441.0,0.887,15.0,16.911,25386.0,0.0,2844.0,,0.0,2.497,0.704,1.0,1.421,27933.0,1.538,219.0,3.0,1.95,137.0,9.0,3.55,2.535
1303,VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE (15002F),2019,Acute Care (VA),VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,HENRY COUNTY MEMORIAL HOSPITAL (150030),2019,Acute Care,Government - Local,61.0,39.942474,-85.36501,IN,1.155,,2.0,1.732,2712.0,0.245,1.0,4.077,8270.0,,778.0,,0.0,0.474,,0.0,0.334,8924.0,,,,,9.0,0.0,0.217,
1305,ST MARY MEDICAL CENTER INC (150034),2019,Acute Care,Voluntary non-profit - Private,198.0,41.512654,-87.258902,IN,0.353,,2.0,5.66,6689.0,0.943,34.0,36.063,49260.0,0.535,5395.0,,2.0,3.741,0.435,1.0,2.299,51098.0,,94.0,0.0,0.8,85.0,4.0,2.2,1.818
1306,PORTER REGIONAL HOSPITAL (150035),2019,Acute Care,Proprietary,251.0,41.55007,-87.051316,IN,0.657,,5.0,7.606,8695.0,0.796,34.0,42.715,55889.0,0.715,8495.0,,5.0,6.993,0.257,1.0,3.889,59136.0,,44.0,1.0,0.313,87.0,1.0,2.299,0.435
1307,HANCOCK REGIONAL HOSPITAL (150037),2019,Acute Care,Government - Local,88.0,39.794952,-85.769604,IN,,,1.0,0.706,1381.0,0.6,7.0,11.662,11110.0,,987.0,,1.0,0.607,,1.0,0.619,11991.0,,11.0,0.0,0.104,36.0,1.0,0.949,
1308,INDIANAPOLIS VA MEDICAL CENTER (15003F),2019,Acute Care (VA),Government - Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,GOOD SAMARITAN HOSPITAL (150042),2019,Acute Care,Voluntary non-profit - Other,187.0,38.67292,-87.534213,IN,1.443,,4.0,2.772,3906.0,0.694,15.0,21.62,25648.0,1.19,3604.0,,3.0,2.522,1.178,2.0,1.698,26616.0,,16.0,0.0,0.143,44.0,1.0,1.21,0.826
1310,BAPTIST HEALTH FLOYD (150044),2019,Acute Care,Government - Local,221.0,38.300506,-85.83508,IN,0.657,,5.0,7.608,8659.0,0.582,32.0,54.945,67089.0,0.26,9379.0,,2.0,7.687,1.263,4.0,3.166,69638.0,,2.0,0.0,0.03,136.0,1.0,3.682,0.272
1311,DEKALB HEALTH (150045),2019,Acute Care,Voluntary non-profit - Private,49.0,41.367669,-85.035573,IN,,,0.0,0.455,884.0,0.396,2.0,5.056,5668.0,,541.0,,0.0,0.341,,0.0,0.201,6369.0,,9.0,1.0,0.08,18.0,0.0,0.434,
1312,TERRE HAUTE REGIONAL HOSPITAL (150046),2019,Acute Care,Proprietary,195.0,39.419624,-87.406837,IN,0.761,,2.0,2.628,3035.0,0.346,3.0,8.679,20000.0,1.957,2522.0,,4.0,2.044,,1.0,0.992,20893.0,,45.0,1.0,0.357,34.0,0.0,1.014,0.0
1313,ST JOSEPH HOSPITAL (150047),2019,Acute Care,Proprietary,136.0,41.078891,-85.148873,IN,0.334,,1.0,2.992,1858.0,0.5,6.0,12.002,18891.0,0.0,1806.0,,0.0,3.436,0.0,0.0,1.283,19247.0,,1.0,0.0,0.007,1.0,0.0,0.035,
1314,REID HEALTH (150048),2019,Acute Care,Voluntary non-profit - Private,220.0,39.86303,-84.887765,IN,0.509,,5.0,9.816,10379.0,0.864,44.0,50.933,51966.0,0.88,5623.0,,4.0,4.544,0.0,0.0,2.549,51966.0,0.0,143.0,0.0,1.244,96.0,0.0,2.481,0.0
1315,IU HEALTH BLOOMINGTON HOSPITAL (150051),2019,Acute Care,Voluntary non-profit - Private,266.0,39.161402,-86.540528,IN,1.781,,9.0,5.052,5246.0,0.683,30.0,43.943,61369.0,0.858,6276.0,,5.0,5.825,0.258,1.0,3.874,68836.0,,125.0,5.0,0.992,155.0,9.0,3.975,2.264
1316,INDIANA UNIVERSITY HEALTH (150056),2019,Acute Care,Voluntary non-profit - Private,1296.0,39.790571,-86.165259,IN,0.744,,47.0,63.131,38537.0,0.56,169.0,301.899,294527.0,0.817,64394.0,,60.0,73.48,0.795,27.0,33.98,329807.0,1.384,293.0,4.0,2.89,660.0,19.0,20.868,0.91
1317,FRANCISCAN HEALTH MOORESVILLE (150057),2019,Acute Care,Voluntary non-profit - Church,87.0,39.609322,-86.356098,IN,,,0.0,0.612,751.0,0.844,3.0,3.554,8371.0,,537.0,,1.0,0.43,,0.0,0.36,9218.0,,20.0,0.0,0.21,85.0,2.0,2.311,0.865
1318,MEMORIAL HOSPITAL OF SOUTH BEND (150058),2019,Acute Care,Voluntary non-profit - Private,445.0,41.683711,-86.25057,IN,0.905,,8.0,8.837,8953.0,0.435,32.0,73.522,106339.0,0.524,11175.0,,6.0,11.458,0.851,7.0,8.222,119823.0,0.541,244.0,1.0,1.847,211.0,5.0,5.476,0.913
1319,RIVERVIEW HEALTH (150059),2019,Acute Care,Government - Local,153.0,40.047026,-86.024081,IN,1.101,,3.0,2.726,3978.0,0.732,7.0,9.562,17044.0,2.18,2658.0,,4.0,1.835,,1.0,0.664,18363.0,,24.0,1.0,0.195,32.0,1.0,0.786,
1320,DAVIESS COMMUNITY HOSPITAL (150061),2019,Acute Care,Voluntary non-profit - Other,74.0,38.658695,-87.160319,IN,,,0.0,0.461,891.0,0.681,2.0,2.939,4929.0,,293.0,,1.0,0.177,,1.0,0.129,5795.0,,4.0,0.0,0.047,8.0,0.0,0.198,
1321,FAYETTE REGIONAL HEALTH SYSTEM (150064),2019,Acute Care,Proprietary,67.0,39.65592,-85.131984,IN,,,0.0,0.197,404.0,1.287,3.0,2.331,3918.0,,86.0,,0.0,0.051,,0.0,0.098,4251.0,,1.0,0.0,0.01,,,,
1322,SCHNECK MEDICAL CENTER (150065),2019,Acute Care,Government - Local,89.0,38.956734,-85.891356,IN,0.0,,0.0,1.292,1324.0,2.276,16.0,7.031,9296.0,0.618,1872.0,,1.0,1.618,,1.0,0.583,10713.0,,66.0,0.0,0.629,61.0,0.0,1.665,0.0
1323,KING'S DAUGHTERS' HEALTH (150069),2019,Acute Care,Voluntary non-profit - Private,78.0,,,IN,0.996,,2.0,2.009,2893.0,0.371,2.0,5.391,13004.0,,1090.0,,0.0,0.735,,0.0,0.456,13776.0,,37.0,0.0,0.283,11.0,0.0,0.272,
1324,MEMORIAL HOSPITAL (150072),2019,Acute Care,Government - Local,64.0,40.762465,-86.361246,IN,,,0.0,0.524,927.0,2.034,7.0,3.442,4990.0,,360.0,,0.0,0.225,,0.0,0.125,6065.0,,13.0,0.0,0.137,30.0,0.0,0.831,
1325,COMMUNITY HOSPITAL EAST (150074),2019,Acute Care,Voluntary non-profit - Private,312.0,39.787241,-86.073803,IN,1.639,,9.0,5.49,7428.0,1.096,32.0,29.188,51993.0,0.821,6409.0,,4.0,4.873,0.453,1.0,2.207,55798.0,,79.0,2.0,0.847,34.0,1.0,1.062,0.942
1326,BLUFFTON REGIONAL MEDICAL CENTER (150075),2019,Acute Care,Proprietary,68.0,40.737645,-85.171494,IN,,,0.0,0.131,239.0,0.0,0.0,1.471,5147.0,,42.0,,0.0,0.027,,0.0,0.196,5147.0,,,,,9.0,0.0,0.233,
1327,SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH (150076),2019,Acute Care,Voluntary non-profit - Church,45.0,41.335555,-86.331756,IN,,,0.0,0.683,1331.0,1.041,4.0,3.842,5576.0,,495.0,,0.0,0.307,,0.0,0.236,5773.0,,4.0,0.0,0.028,15.0,0.0,0.424,
