,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Number of Procedures,CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Number of Procedures,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
770,DOCTOR'S MEMORIAL HOSPITAL INC (100106),2014,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,,,,,,0.0,0.0,1.265,2823.0,,,,,,,0.0,0.091,2545.0,,2.0,0.0,0.008,5.0,0.0,0.113,
771,LEHIGH REGIONAL MEDICAL CENTER (100107),2014,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,1.172,,2.0,1.707,1313.0,1.442,6.0,4.16,9055.0,1.375,970.0,,2.0,1.455,,1.0,0.717,9055.0,,5.0,0.0,0.053,14.0,1.0,0.464,
772,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER (100109),2014,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,1.292,,5.0,3.871,3142.0,0.484,9.0,18.595,35490.0,0.314,2125.0,,1.0,3.189,1.008,2.0,1.984,36500.0,,42.0,0.0,0.501,76.0,1.0,2.476,0.404
773,OSCEOLA REGIONAL MEDICAL CENTER (100110),2014,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,0.843,,9.0,10.677,7676.0,0.517,19.0,36.729,60088.0,0.53,5173.0,,4.0,7.544,1.484,6.0,4.043,63621.0,2.483,150.0,4.0,1.611,157.0,3.0,5.018,0.598
774,UF HEALTH SHANDS HOSPITAL (100113),2014,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,0.716,,78.0,108.975,36616.0,1.15,182.0,158.259,169975.0,0.268,42479.0,,29.0,108.216,1.231,24.0,19.492,187776.0,1.154,230.0,3.0,2.6,222.0,12.0,8.105,1.481
775,BAPTIST MEDICAL CENTER  BEACHES (100117),2014,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,1.396,,7.0,5.015,4180.0,1.423,23.0,16.161,24999.0,0.0,3056.0,,0.0,4.585,1.896,2.0,1.055,24999.0,,47.0,0.0,0.436,92.0,3.0,2.843,1.055
776,FLORIDA HOSPITAL FLAGLER (100118),2014,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,0.945,,3.0,3.174,2645.0,0.6,13.0,21.661,29131.0,0.0,1406.0,,0.0,2.11,0.805,1.0,1.242,26695.0,,46.0,0.0,0.399,51.0,0.0,1.542,0.0
777,BARTOW REGIONAL MEDICAL CENTER (100121),2014,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,1.792,,3.0,1.674,1288.0,0.959,5.0,5.215,10762.0,0.882,756.0,,1.0,1.134,,1.0,0.766,10852.0,,13.0,0.0,0.151,56.0,0.0,1.902,0.0
778,NORTH OKALOOSA MEDICAL CENTER (100122),2014,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,1.334,,3.0,2.249,1875.0,0.682,6.0,8.803,16034.0,0.0,772.0,,0.0,1.16,,1.0,0.838,16716.0,,59.0,0.0,0.574,44.0,1.0,1.466,0.682
779,SANTA ROSA MEDICAL CENTER (100124),2014,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,0.362,,2.0,5.528,2764.0,0.318,2.0,6.297,11985.0,0.0,921.0,,0.0,1.842,,1.0,0.645,12556.0,,52.0,0.0,0.435,34.0,1.0,1.071,0.934
780,HOMESTEAD HOSPITAL (100125),2014,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,0.0,,0.0,3.137,2413.0,0.365,6.0,16.451,24490.0,0.0,1585.0,,0.0,2.378,4.062,6.0,1.477,26941.0,,18.0,1.0,0.132,64.0,2.0,1.87,1.07
781,PALMS OF PASADENA HOSPITAL (100126),2014,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,0.529,,2.0,3.782,2909.0,1.012,10.0,9.879,19849.0,1.361,1958.0,,4.0,2.938,2.11,3.0,1.422,19849.0,,5.0,0.0,0.046,63.0,2.0,1.883,1.062
782,MORTON PLANT HOSPITAL (100127),2014,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,0.69,,16.0,23.18,15289.0,0.933,66.0,70.739,78469.0,0.417,13905.0,,9.0,21.595,0.346,2.0,5.782,83148.0,0.587,436.0,2.0,3.407,269.0,5.0,8.068,0.62
783,TAMPA GENERAL HOSPITAL (100128),2014,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,1.151,,89.0,77.351,26028.0,0.817,153.0,187.277,193600.0,0.598,32551.0,,49.0,81.896,1.231,26.0,21.118,214550.0,0.904,289.0,3.0,3.319,292.0,18.0,10.387,1.733
784,LAKESIDE MEDICAL CENTER (100130),2014,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,0.0,,0.0,1.688,780.0,0.612,2.0,3.27,7503.0,0.0,801.0,,0.0,1.616,,0.0,0.463,7935.0,,16.0,1.0,0.195,15.0,0.0,0.551,
785,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2014,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,0.644,,5.0,7.764,5591.0,0.606,32.0,52.821,83883.0,0.099,6849.0,,1.0,10.116,1.3,9.0,6.922,83888.0,,81.0,1.0,0.7,124.0,5.0,3.806,1.314
786,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2014,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,1.382,,3.0,2.171,1670.0,0.718,8.0,11.146,16532.0,0.545,1223.0,,1.0,1.835,,0.0,0.846,17275.0,,40.0,0.0,0.37,72.0,1.0,2.37,0.422
787,ED FRASER MEMORIAL HOSPITAL (100134),2014,Acute Care,Government - Hospital District or Authority,90.0,30.28555,-82.11955,FL,,,,,,,,,,,,,,,,,,,,,,,,,,
788,TALLAHASSEE MEMORIAL HOSPITAL (100135),2014,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,0.971,,20.0,20.598,9998.0,0.876,39.0,44.545,64562.0,0.268,10169.0,,5.0,18.677,0.0,0.0,5.713,72453.0,,106.0,3.0,0.929,143.0,5.0,4.459,1.121
789,HEART OF FLORIDA REGIONAL MEDICAL CENTER (100137),2014,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,0.36,,2.0,5.554,4272.0,0.437,6.0,13.719,27401.0,1.804,1477.0,,4.0,2.217,0.648,1.0,1.544,27401.0,0.0,142.0,0.0,1.616,79.0,5.0,2.643,1.892
790,BAPTIST MEDICAL CENTER - NASSAU (100140),2014,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,0.0,,0.0,1.19,915.0,0.698,4.0,5.732,9061.0,,394.0,,0.0,0.592,,2.0,0.458,9220.0,,53.0,0.0,0.552,66.0,1.0,1.955,0.512
791,JACKSON HOSPITAL (100142),2014,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,,,1.0,0.993,763.0,0.0,0.0,5.216,8982.0,,572.0,,1.0,0.859,,2.0,0.517,8982.0,,32.0,0.0,0.147,41.0,2.0,1.22,1.639
792,LOWER KEYS MEDICAL CENTER (100150),2014,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,2.154,,3.0,1.393,1072.0,0.705,6.0,8.512,12647.0,0.0,678.0,,0.0,1.018,,2.0,0.644,13029.0,,22.0,1.0,0.149,37.0,1.0,1.221,0.819
793,MAYO CLINIC (100151),2014,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,0.917,,15.0,16.363,6544.0,0.912,47.0,51.527,52324.0,1.021,6107.0,,15.0,14.69,1.15,6.0,5.218,52324.0,0.0,184.0,0.0,1.839,279.0,4.0,9.298,0.43
794,"SOUTH MIAMI HOSPITAL, INC (100154)",2014,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,1.889,,9.0,4.765,3244.0,0.86,29.0,33.719,45593.0,0.518,7007.0,,7.0,13.52,0.587,2.0,3.406,63796.0,0.75,160.0,1.0,1.334,130.0,0.0,3.908,0.0
795,LAKE CITY MEDICAL CENTER (100156),2014,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,0.0,,0.0,1.489,1146.0,1.153,8.0,6.94,12770.0,,323.0,,0.0,0.486,,1.0,0.975,12771.0,,,,,41.0,1.0,1.374,0.728
796,LAKELAND REGIONAL MEDICAL CENTER (100157),2014,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,1.121,,36.0,32.104,16305.0,0.828,105.0,126.758,154303.0,0.867,12520.0,,22.0,25.386,0.582,7.0,12.02,156776.0,1.04,362.0,3.0,2.885,408.0,2.0,11.865,0.169
797,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2014,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,2.892,,16.0,5.533,3994.0,0.735,15.0,20.41,32400.0,0.978,2808.0,,4.0,4.092,0.448,1.0,2.233,32400.0,2.801,107.0,3.0,1.071,103.0,3.0,3.404,0.881
798,DOCTORS HOSPITAL OF SARASOTA (100166),2014,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,0.752,,2.0,2.659,1735.0,0.434,6.0,13.828,23730.0,0.545,1117.0,,1.0,1.836,1.421,2.0,1.407,23730.0,,76.0,1.0,0.691,103.0,2.0,3.191,0.627
799,PLANTATION GENERAL HOSPITAL (100167),2014,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,1.332,,9.0,6.755,4555.0,0.599,32.0,53.397,87366.0,0.401,7881.0,,6.0,14.947,1.347,7.0,5.198,99960.0,2.257,409.0,8.0,3.544,250.0,5.0,7.891,0.634
800,BOCA RATON REGIONAL HOSPITAL (100168),2014,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,0.597,,8.0,13.401,6200.0,0.843,40.0,47.454,55694.0,0.628,4982.0,,6.0,9.547,0.579,2.0,3.456,59811.0,0.825,149.0,1.0,1.212,264.0,6.0,7.916,0.758
801,FLORIDA HOSPITAL TAMPA (100173),2014,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,0.84,,13.0,15.477,10867.0,1.038,60.0,57.792,72450.0,0.688,10918.0,,12.0,17.443,0.73,5.0,6.848,77265.0,1.15,214.0,2.0,1.739,171.0,19.0,5.271,3.605
802,DESOTO MEMORIAL HOSPITAL (100175),2014,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,0.0,,0.0,1.22,610.0,3.42,5.0,1.462,3935.0,,149.0,,1.0,0.283,,0.0,0.194,4431.0,,4.0,0.0,0.025,9.0,0.0,0.277,
803,PALM BEACH GARDENS MEDICAL CENTER (100176),2014,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,0.12,,1.0,8.328,6940.0,0.304,4.0,13.171,27506.0,0.154,8662.0,,2.0,12.993,,0.0,0.985,27506.0,,,,,28.0,0.0,0.823,
804,CAPE CANAVERAL HOSPITAL (100177),2014,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,0.476,,1.0,2.102,1616.0,1.124,11.0,9.783,18784.0,0.0,1006.0,,0.0,1.51,,3.0,0.897,20130.0,,21.0,0.0,0.255,57.0,1.0,1.74,0.575
805,MEMORIAL HOSPITAL JACKSONVILLE (100179),2014,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,2.325,,21.0,9.031,7439.0,0.981,59.0,60.147,80411.0,0.321,8306.0,,4.0,12.444,1.086,10.0,9.204,83230.0,0.485,197.0,1.0,2.062,255.0,15.0,8.711,1.722
806,ST PETERSBURG GENERAL HOSPITAL (100180),2014,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,3.849,,15.0,3.897,3247.0,1.552,23.0,14.82,19573.0,2.034,2294.0,,7.0,3.442,2.562,3.0,1.171,21134.0,2.155,173.0,4.0,1.856,78.0,2.0,2.624,0.762
807,LARKIN COMMUNITY HOSPITAL (100181),2014,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,0.0,,0.0,1.822,1401.0,0.483,6.0,12.418,22131.0,,449.0,,1.0,0.675,3.53,4.0,1.133,22131.0,,19.0,0.0,0.148,4.0,0.0,0.131,
808,CORAL GABLES HOSPITAL (100183),2014,Acute Care,Proprietary,245.0,,,FL,0.785,,3.0,3.821,3184.0,0.708,6.0,8.479,16889.0,1.131,1768.0,,3.0,2.653,,0.0,0.675,16889.0,,29.0,0.0,0.276,42.0,0.0,1.349,0.0
809,PALMETTO GENERAL HOSPITAL (100187),2014,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,1.285,,24.0,18.674,8496.0,0.574,35.0,60.999,70259.0,0.941,7342.0,,13.0,13.809,1.951,9.0,4.614,72907.0,,117.0,2.0,0.994,92.0,5.0,2.671,1.872
810,NORTHWEST MEDICAL CENTER (100189),2014,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,2.561,,13.0,5.077,3719.0,0.99,22.0,22.222,40149.0,1.247,3816.0,,7.0,5.615,1.443,3.0,2.079,43626.0,0.821,286.0,2.0,2.435,132.0,2.0,4.1,0.488
811,MEDICAL CENTER OF TRINITY (100191),2014,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,0.805,,4.0,4.966,4138.0,1.027,32.0,31.162,50950.0,0.699,2859.0,,3.0,4.289,0.52,1.0,1.924,52646.0,0.0,180.0,0.0,2.047,157.0,5.0,5.188,0.964
812,BROWARD HEALTH IMPERIAL POINT (100200),2014,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,1.436,,5.0,3.482,1741.0,0.574,11.0,19.165,28941.0,0.692,1522.0,,2.0,2.891,0.682,1.0,1.467,28941.0,0.0,215.0,0.0,2.133,66.0,5.0,2.13,2.347
813,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2014,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,0.969,,9.0,9.291,7246.0,1.068,61.0,57.121,71670.0,0.63,6432.0,,6.0,9.527,1.931,10.0,5.179,76566.0,0.896,224.0,2.0,2.233,321.0,15.0,10.088,1.487
814,MEMORIAL HOSPITAL OF TAMPA (100206),2014,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,0.595,,1.0,1.682,1294.0,0.71,9.0,12.675,22449.0,0.76,876.0,,1.0,1.315,,3.0,0.936,22449.0,,13.0,0.0,0.117,59.0,1.0,1.942,0.515
815,KENDALL REGIONAL MEDICAL CENTER (100209),2014,Acute Care,Proprietary,423.0,,,FL,2.35,,23.0,9.786,5978.0,0.551,24.0,43.562,72007.0,0.836,8335.0,,14.0,16.755,0.468,2.0,4.274,73090.0,,54.0,0.0,0.403,125.0,0.0,3.937,0.0
816,BAYFRONT HEALTH DADE CITY (100211),2014,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,0.67,,2.0,2.984,2295.0,0.624,3.0,4.804,9023.0,,476.0,,1.0,0.715,,0.0,0.604,9023.0,,2.0,0.0,0.013,56.0,1.0,1.739,0.575
817,OCALA REGIONAL MEDICAL CENTER (100212),2014,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,0.37,,5.0,13.515,5692.0,1.296,37.0,28.548,52907.0,0.503,2637.0,,3.0,5.969,1.444,4.0,2.771,52907.0,0.0,129.0,0.0,1.209,138.0,2.0,4.631,0.432
818,BLAKE MEDICAL CENTER (100213),2014,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,1.435,,11.0,7.665,5689.0,1.209,48.0,39.701,57991.0,0.0,3747.0,,0.0,5.473,1.243,4.0,3.219,57991.0,,23.0,1.0,0.214,154.0,4.0,4.979,0.803
819,SEBASTIAN RIVER MEDICAL CENTER (100217),2014,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,0.821,,3.0,3.653,3044.0,0.0,0.0,8.087,16417.0,0.878,2278.0,,3.0,3.418,,2.0,0.72,16417.0,,16.0,0.0,0.23,65.0,0.0,2.195,0.0
820,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2014,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,2.515,,16.0,6.361,5185.0,1.353,85.0,62.82,78438.0,1.039,3226.0,,5.0,4.812,1.04,4.0,3.847,80497.0,,40.0,0.0,0.328,281.0,12.0,8.671,1.384
821,FORT WALTON BEACH MEDICAL CENTER (100223),2014,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,0.0,,0.0,8.66,4330.0,0.042,1.0,24.018,44362.0,0.565,2792.0,,3.0,5.307,1.183,2.0,1.691,47178.0,,68.0,1.0,0.524,74.0,1.0,2.404,0.416
822,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2014,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,0.255,,1.0,3.924,3018.0,1.115,24.0,21.531,38974.0,1.205,1106.0,,2.0,1.66,1.411,3.0,2.126,38974.0,,3.0,0.0,0.033,56.0,0.0,1.772,0.0
823,ORANGE PARK MEDICAL CENTER (100226),2014,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,0.593,,6.0,10.119,5231.0,1.083,50.0,46.152,60807.0,0.786,3774.0,,6.0,7.636,1.653,5.0,3.025,64529.0,0.391,297.0,1.0,2.556,180.0,3.0,5.865,0.512
824,WESTSIDE REGIONAL MEDICAL CENTER (100228),2014,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,1.155,,10.0,8.659,6706.0,0.739,21.0,28.422,45177.0,1.055,4498.0,,7.0,6.636,1.28,3.0,2.343,45177.0,,53.0,0.0,0.532,188.0,10.0,6.036,1.657
825,MEMORIAL HOSPITAL PEMBROKE (100230),2014,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,0.985,,2.0,2.031,1692.0,1.906,19.0,9.966,21811.0,0.43,1548.0,,1.0,2.324,2.671,3.0,1.123,21811.0,,10.0,0.0,0.093,90.0,7.0,2.933,2.387
826,WEST FLORIDA HOSPITAL (100231),2014,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,1.25,,12.0,9.602,6833.0,1.085,30.0,27.646,53504.0,0.721,5140.0,,6.0,8.323,1.747,5.0,2.862,54106.0,,55.0,0.0,0.502,169.0,7.0,5.559,1.259
827,PUTNAM COMMUNITY MEDICAL CENTER (100232),2014,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,3.009,,6.0,1.994,1533.0,1.042,8.0,7.679,13255.0,1.445,922.0,,2.0,1.384,,2.0,0.519,13255.0,,28.0,0.0,0.249,20.0,0.0,0.621,
828,WEST PALM HOSPITAL (100234),2014,Acute Care,Proprietary,242.0,,,FL,1.476,,3.0,2.032,1562.0,1.354,10.0,7.387,9871.0,0.0,1207.0,,0.0,1.812,,2.0,0.604,9871.0,,24.0,0.0,0.194,45.0,0.0,1.241,0.0
829,FAWCETT MEMORIAL HOSPITAL (100236),2014,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,0.421,,2.0,4.752,3655.0,1.875,51.0,27.206,41245.0,0.875,3046.0,,4.0,4.57,1.618,4.0,2.472,41245.0,,10.0,0.0,0.084,135.0,0.0,4.233,0.0
830,NORTHSIDE HOSPITAL (100238),2014,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,1.245,,25.0,20.076,6174.0,0.794,20.0,25.195,31368.0,0.692,5218.0,,7.0,10.116,2.166,4.0,1.847,31368.0,,13.0,0.0,0.14,55.0,1.0,1.897,0.527
831,EDWARD WHITE HOSPITAL (100239),2014,Acute Care,Proprietary,124.0,,,FL,0.0,,0.0,1.882,1448.0,0.518,3.0,5.795,11492.0,0.655,1017.0,,1.0,1.526,,0.0,0.584,12808.0,,,,,16.0,1.0,0.524,
832,ANNE BATES LEACH EYE HOSPITAL (100240),2014,Acute Care,Voluntary non-profit - Private,56.0,,,FL,,,,,,,0.0,0.069,149.0,,,,,,,0.0,0.006,149.0,,,,,,,,
833,GULF COAST REGIONAL MEDICAL CENTER (100242),2014,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,0.0,,0.0,2.902,2233.0,0.765,10.0,13.069,24661.0,0.0,2391.0,,0.0,3.55,0.0,0.0,1.359,31624.0,,111.0,0.0,0.916,87.0,0.0,2.633,0.0
834,BRANDON REGIONAL HOSPITAL (100243),2014,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,1.122,,14.0,12.478,9251.0,1.216,51.0,41.939,69744.0,1.431,8288.0,,19.0,13.276,2.083,8.0,3.84,77039.0,0.0,274.0,0.0,2.653,226.0,3.0,7.454,0.402
835,CAPE CORAL HOSPITAL (100244),2014,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,0.773,,4.0,5.176,4313.0,1.578,72.0,45.622,51751.0,0.698,2866.0,,3.0,4.3,0.346,1.0,2.887,54425.0,0.0,161.0,0.0,1.244,159.0,0.0,4.855,0.0
836,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2014,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,0.172,,4.0,23.232,8885.0,0.581,25.0,43.012,70940.0,0.2,6184.0,,3.0,15.006,0.948,4.0,4.219,74407.0,0.0,125.0,0.0,1.247,74.0,0.0,2.414,0.0
837,LARGO MEDICAL CENTER (100248),2014,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,0.0,,0.0,15.436,6764.0,0.911,38.0,41.728,65162.0,0.0,5880.0,,0.0,10.354,2.282,7.0,3.068,65162.0,,11.0,0.0,0.131,188.0,1.0,6.244,0.16
838,SEVEN RIVERS REGIONAL MEDICAL CENTER (100249),2014,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,1.016,,3.0,2.953,2460.0,2.527,32.0,12.662,22084.0,0.0,1097.0,,0.0,1.646,,2.0,0.912,22333.0,,12.0,0.0,0.14,80.0,0.0,2.55,0.0
839,RAULERSON HOSPITAL (100252),2014,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,0.0,,0.0,1.425,1096.0,0.582,5.0,8.598,17509.0,0.0,1129.0,,0.0,1.695,,0.0,0.832,17509.0,,35.0,0.0,0.308,35.0,0.0,1.121,0.0
840,JUPITER MEDICAL CENTER (100253),2014,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,0.752,,3.0,3.988,3323.0,0.419,9.0,21.496,34679.0,0.631,2113.0,,2.0,3.171,0.0,0.0,1.261,35190.0,,69.0,0.0,0.581,177.0,1.0,5.009,0.2
841,CAPITAL REGIONAL MEDICAL CENTER (100254),2014,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,0.0,,0.0,2.268,1890.0,0.317,7.0,22.107,34889.0,0.0,1077.0,,0.0,1.617,1.193,2.0,1.677,36793.0,0.91,114.0,1.0,1.099,61.0,0.0,1.991,0.0
842,TOWN & COUNTRY HOSPITAL (100255),2014,Acute Care,Proprietary,208.0,,,FL,0.0,,0.0,1.773,1364.0,0.658,6.0,9.118,20024.0,0.781,853.0,,1.0,1.281,0.0,0.0,1.164,20024.0,,20.0,0.0,0.142,32.0,0.0,1.001,0.0
843,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2014,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,1.295,,32.0,24.703,11609.0,0.745,22.0,29.545,50303.0,0.8,8116.0,,12.0,14.995,0.818,2.0,2.444,50303.0,,,,,129.0,1.0,4.164,0.24
844,DELRAY MEDICAL CENTER (100258),2014,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,0.449,,8.0,17.818,7226.0,0.541,23.0,42.507,72446.0,0.088,5359.0,,1.0,11.374,0.573,3.0,5.239,72446.0,,97.0,0.0,0.71,136.0,1.0,3.968,0.252
845,SOUTH BAY HOSPITAL (100259),2014,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,0.0,,0.0,2.782,2140.0,1.847,29.0,15.702,24642.0,0.892,1495.0,,2.0,2.243,0.0,0.0,1.38,24642.0,,,,,66.0,8.0,2.056,3.891
846,ST LUCIE MEDICAL CENTER (100260),2014,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,0.0,,0.0,4.771,3976.0,0.985,28.0,28.44,45113.0,0.0,2644.0,,0.0,3.967,0.0,0.0,2.208,46546.0,,69.0,0.0,0.688,112.0,2.0,3.433,0.583
847,OAK HILL HOSPITAL (100264),2014,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,0.385,,3.0,7.799,6010.0,1.51,34.0,22.52,45041.0,0.238,5316.0,,2.0,8.393,0.62,1.0,1.614,45041.0,,23.0,0.0,0.242,181.0,4.0,5.974,0.67
848,MEASE COUNTRYSIDE HOSPITAL (100265),2014,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,0.853,,11.0,12.891,7743.0,1.06,43.0,40.576,44036.0,0.436,5194.0,,4.0,9.182,0.401,1.0,2.493,53295.0,0.0,171.0,0.0,1.389,208.0,1.0,6.253,0.16
849,GULF BREEZE HOSPITAL (100266),2014,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,1.509,,2.0,1.325,1019.0,0.276,2.0,7.25,11505.0,,620.0,,0.0,0.931,,0.0,0.516,11505.0,,7.0,0.0,0.081,44.0,0.0,1.34,0.0
850,ENGLEWOOD COMMUNITY HOSPITAL (100267),2014,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,,,0.0,0.841,647.0,1.057,4.0,3.786,8195.0,,371.0,,0.0,0.558,,0.0,0.83,8195.0,,3.0,0.0,0.029,37.0,0.0,1.189,0.0
851,WEST BOCA MEDICAL CENTER (100268),2014,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,1.589,,4.0,2.517,1936.0,0.873,13.0,14.894,29510.0,0.499,2917.0,,3.0,6.01,1.919,3.0,1.563,35299.0,,70.0,0.0,0.576,32.0,0.0,0.942,
852,PALMS WEST HOSPITAL (100269),2014,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,0.0,,0.0,4.652,3341.0,0.593,13.0,21.917,38382.0,0.638,2667.0,,3.0,4.699,2.008,4.0,1.992,38936.0,0.0,211.0,0.0,1.887,49.0,2.0,1.632,1.225
853,WELLINGTON REGIONAL MEDICAL CENTER (100275),2014,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,1.3,,5.0,3.847,3206.0,0.706,14.0,19.844,35086.0,0.387,3014.0,,2.0,5.162,1.707,3.0,1.757,38175.0,,83.0,0.0,0.704,98.0,0.0,3.112,0.0
854,BROWARD HEALTH CORAL SPRINGS (100276),2014,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,2.641,,10.0,3.786,3156.0,0.708,17.0,24.002,35351.0,2.161,2773.0,,9.0,4.165,0.64,1.0,1.563,40372.0,,102.0,0.0,0.85,135.0,3.0,3.891,0.771
855,DOUGLAS GARDENS HOSPITAL (100277),2014,Acute Care,Voluntary non-profit - Private,457.0,25.822972,-80.191767,FL,,,,,,,0.0,0.714,1637.0,,,,,,,0.0,0.059,1637.0,,,,,,,,
856,MEMORIAL HOSPITAL WEST (100281),2014,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,1.272,,8.0,6.29,5242.0,1.04,58.0,55.769,74528.0,0.226,5898.0,,2.0,8.869,2.117,7.0,3.306,76762.0,1.83,405.0,6.0,3.278,239.0,8.0,7.59,1.054
