,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
483,CEDAR-SINAI MARINA DEL REY HOSPITAL (050740),2020,Acute Care,Proprietary,98.0,33.981732,-118.440154,CA,0.473,1.0,2.115,3003.0,0.756,7.0,9.257,17446.0,0.0,2615.0,0.0,1.843,,0.0,0.66,17446.0,,,,,37.0,0.0,0.966,
484,OLYMPIA MEDICAL CENTER (050742),2020,Acute Care,Proprietary,204.0,34.057527,-118.359857,CA,0.429,1.0,2.332,3352.0,1.403,14.0,9.982,24509.0,1.606,2657.0,3.0,1.868,4.444,5.0,1.125,24509.0,,5.0,0.0,0.043,14.0,0.0,0.364,
485,ANAHEIM GLOBAL MEDICAL CENTER (050744),2020,Acute Care,Proprietary,185.0,33.820566,-117.909002,CA,0.0,0.0,1.549,2199.0,0.55,4.0,7.278,11404.0,0.0,1987.0,0.0,1.433,0.937,1.0,1.067,24248.0,,4.0,0.0,0.03,4.0,0.0,0.108,
486,CHAPMAN GLOBAL MEDICAL CENTER (050745),2020,Acute Care,Proprietary,112.0,33.787878,-117.827058,CA,0.0,0.0,1.344,1995.0,0.408,1.0,2.451,7005.0,,868.0,0.0,0.6,,0.0,0.253,7005.0,,,,,6.0,1.0,0.172,
487,ORANGE COUNTY GLOBAL MEDICAL CENTER (050746),2020,Acute Care,Proprietary,246.0,33.753636,-117.834209,CA,1.79,15.0,8.38,9008.0,0.646,12.0,18.589,40614.0,0.825,8232.0,6.0,7.275,0.351,1.0,2.851,42388.0,,61.0,0.0,0.528,45.0,2.0,1.504,1.33
488,SOUTH COAST GLOBAL MEDICAL CENTER (050747),2020,Acute Care,Proprietary,177.0,33.710692,-117.88541,CA,1.447,2.0,1.382,1993.0,0.252,1.0,3.971,12395.0,1.619,1766.0,2.0,1.235,,0.0,0.719,15678.0,,73.0,0.0,0.586,13.0,0.0,0.443,
489,KAISER FOUNDATION HOSPITAL MANTECA (050748),2020,Acute Care,Voluntary non-profit - Private,238.0,37.797371,-121.246183,CA,1.139,5.0,4.389,6631.0,0.348,9.0,25.886,45360.0,0.909,7984.0,5.0,5.503,1.744,3.0,1.72,54723.0,,26.0,0.0,0.239,282.0,2.0,7.659,0.261
490,SHERMAN OAKS HOSPITAL (050755),2020,Acute Care,Voluntary non-profit - Private,150.0,34.15981,-118.448705,CA,0.516,1.0,1.938,2773.0,0.299,4.0,13.38,19197.0,0.0,1462.0,0.0,1.065,,2.0,0.647,19197.0,,1.0,0.0,0.009,1.0,0.0,0.027,
491,ALVARADO HOSPITAL MEDICAL CENTER (050757),2020,Acute Care,Government - Federal,300.0,32.777136,-117.056602,CA,1.208,2.0,1.655,2234.0,1.491,21.0,14.083,22215.0,0.47,2830.0,1.0,2.128,1.506,2.0,1.328,22215.0,,1.0,0.0,0.007,30.0,0.0,0.889,
492,MONTCLAIR HOSPITAL MEDICAL CENTER (050758),2020,Acute Care,Voluntary non-profit - Private,103.0,34.077662,-117.696098,CA,0.858,1.0,1.166,1499.0,0.585,3.0,5.127,8354.0,2.907,1294.0,3.0,1.032,,0.0,0.288,9016.0,,2.0,0.0,0.015,6.0,0.0,0.129,
493,KAISER FOUNDATION HOSPITAL - ANTIOCH (050760),2020,Acute Care,Proprietary,138.0,37.949469,-121.774824,CA,0.0,0.0,1.607,2358.0,0.233,4.0,17.14,28632.0,1.062,2749.0,2.0,1.884,,0.0,0.907,31661.0,,76.0,1.0,0.607,130.0,7.0,3.476,2.014
494,PROVIDENCE TARZANA MEDICAL CENTER (050761),2020,Acute Care,Voluntary non-profit - Private,244.0,34.169777,-118.53183,CA,1.062,9.0,8.473,9553.0,0.154,4.0,25.943,50611.0,0.2,6296.0,1.0,5.004,0.0,0.0,2.842,58973.0,0.0,146.0,0.0,1.115,136.0,3.0,3.491,0.859
495,"L A DOWNTOWN MEDICAL CENTER, LLC (050763)",2020,Acute Care,Proprietary,218.0,34.06879,-118.26356,CA,0.687,1.0,1.456,2141.0,0.174,1.0,5.739,12897.0,0.0,1607.0,0.0,1.106,,0.0,0.57,12897.0,,2.0,0.0,0.019,,,,
496,SHASTA REGIONAL MEDICAL CENTER (050764),2020,Acute Care,Proprietary,219.0,40.585376,-122.386683,CA,0.684,3.0,4.383,6290.0,0.125,2.0,15.974,28718.0,1.405,2922.0,3.0,2.135,0.63,1.0,1.588,28718.0,,54.0,0.0,0.429,98.0,0.0,2.947,0.0
497,KAISER FOUNDATION HOSPITAL-MORENO VALLEY (050765),2020,Acute Care,Voluntary non-profit - Other,87.0,33.895697,-117.187121,CA,1.063,3.0,2.822,3047.0,0.622,6.0,9.649,17827.0,1.425,1769.0,2.0,1.404,,1.0,0.99,19462.0,,31.0,0.0,0.252,65.0,0.0,1.581,0.0
498,SUTTER SURGICAL HOSPITAL - NORTH VALLEY (050766),2020,Acute Care,Physician,14.0,39.132167,-121.613603,CA,,0.0,0.175,527.0,,0.0,0.263,1843.0,,40.0,1.0,0.023,,0.0,0.021,1843.0,,40.0,0.0,0.32,27.0,0.0,0.652,
499,KAISER FOUNDATION HOSPITAL - VACAVILLE (050767),2020,Acute Care,Proprietary,126.0,38.390073,-121.936776,CA,1.025,3.0,2.927,2904.0,0.588,12.0,20.418,31852.0,1.698,2552.0,4.0,2.356,0.0,0.0,1.295,33868.0,,6.0,0.0,0.054,67.0,1.0,1.701,0.588
500,HOAG ORTHOPEDIC INSTITUTE (050769),2020,Acute Care,Proprietary,70.0,33.66095,-117.774478,CA,,,,,,1.0,0.876,7464.0,,,,,,0.0,0.097,7464.0,,,,,,,,
501,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA (050770),2020,Acute Care,Proprietary,108.0,33.613435,-117.168923,CA,0.444,1.0,2.251,3220.0,0.928,19.0,20.485,36299.0,0.462,3050.0,1.0,2.163,0.0,0.0,1.535,39269.0,,5.0,0.0,0.045,67.0,2.0,1.762,1.135
502,COAST PLAZA HOSPITAL (050771),2020,Acute Care,Proprietary,116.0,33.912428,-118.099156,CA,0.0,0.0,1.251,1757.0,2.255,11.0,4.879,10305.0,0.0,1422.0,0.0,1.042,,1.0,0.457,10305.0,,3.0,0.0,0.027,6.0,0.0,0.13,
503,KAISER FOUNDATION HOSPITAL - ROSEVILLE (050772),2020,Acute Care,Voluntary non-profit - Private,342.0,38.746698,-121.247166,CA,0.187,2.0,10.667,8751.0,0.487,27.0,55.429,84396.0,0.627,14544.0,10.0,15.955,0.0,0.0,4.815,107363.0,,45.0,0.0,0.38,273.0,4.0,6.944,0.576
504,TEMECULA VALLEY HOSPITAL (050775),2020,Acute Care,Proprietary,140.0,33.47929,-117.105744,CA,0.71,2.0,2.818,3978.0,0.448,12.0,26.791,39581.0,0.0,2306.0,0.0,1.658,1.384,2.0,1.445,39581.0,,,,,90.0,1.0,2.306,0.434
505,COLLEGE MEDICAL CENTER (050776),2020,Acute Care,Proprietary,213.0,33.807201,-118.193721,CA,1.754,5.0,2.85,3118.0,0.789,7.0,8.868,26640.0,2.16,1632.0,3.0,1.389,2.199,4.0,1.819,26640.0,,6.0,0.0,0.049,10.0,0.0,0.244,
506,KAISER FOUNDATION HOSPITAL - SAN LEANDRO (050777),2020,Acute Care,Voluntary non-profit - Private,207.0,37.706524,-122.169447,CA,0.38,1.0,2.635,3100.0,0.147,4.0,27.197,46905.0,1.245,5089.0,5.0,4.017,2.081,4.0,1.922,57662.0,,30.0,0.0,0.29,100.0,8.0,2.687,2.977
507,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL (050778),2020,Acute Care,Voluntary non-profit - Private,345.0,34.049482,-117.261122,CA,0.282,1.0,3.54,2423.0,0.419,15.0,35.835,62251.0,0.29,15953.0,6.0,20.702,0.352,2.0,5.681,96767.0,,24.0,0.0,0.339,1.0,0.0,0.028,
508,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL (050779)",2020,Acute Care,Voluntary non-profit - Private,131.0,33.924361,-118.244331,CA,0.0,0.0,2.045,2901.0,0.294,6.0,20.412,39428.0,0.0,1466.0,0.0,1.066,0.876,1.0,1.141,39428.0,,5.0,0.0,0.036,6.0,0.0,0.195,
509,FOOTHILL REGIONAL MEDICAL CENTER (050780),2020,Acute Care,Proprietary,170.0,33.730773,-117.829485,CA,,0.0,0.88,1645.0,0.77,3.0,3.898,10616.0,,1112.0,1.0,0.721,,0.0,0.456,10616.0,,,,,13.0,0.0,0.332,
510,CASA COLINA HOSPITAL (050782),2020,Acute Care,Voluntary non-profit - Private,99.0,34.096242,-117.746861,CA,,0.0,0.737,1276.0,0.552,1.0,1.81,4637.0,,786.0,2.0,0.552,,0.0,0.101,4637.0,,,,,5.0,0.0,0.094,
511,COLUSA MEDICAL CENTER (050783),2020,Acute Care,Proprietary,50.0,39.207286,-121.999974,CA,,0.0,0.254,466.0,0.0,0.0,1.375,5416.0,,300.0,0.0,0.177,,0.0,0.126,5416.0,,,,,,,,
512,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS (051300),2020,Critical Access,Government - Hospital District or Authority,75.0,39.806144,-120.463129,CA,,0.0,0.108,165.0,,0.0,0.321,1451.0,,63.0,0.0,0.017,,0.0,0.03,1451.0,,,,,,,,
513,ADVENTIST HEALTH TEHACHAPI VALLEY (051301),2020,Critical Access,Government - Hospital District or Authority,25.0,,,CA,,0.0,0.297,283.0,,1.0,0.858,3884.0,,188.0,0.0,0.052,,0.0,0.081,3884.0,,,,,15.0,0.0,0.413,
514,MAMMOTH HOSPITAL (051303),2020,Critical Access,Government - Hospital District or Authority,17.0,37.645071,-118.963911,CA,,0.0,0.126,91.0,,0.0,0.713,2038.0,,109.0,0.0,0.029,,0.0,0.045,2164.0,,4.0,0.0,0.03,3.0,0.0,0.072,
515,JOHN C FREMONT HEALTHCARE DISTRICT (051304),2020,Critical Access,Government - Hospital District or Authority,35.0,37.500531,-119.976948,CA,,0.0,0.159,243.0,0.0,0.0,1.042,4720.0,,219.0,0.0,0.06,,0.0,0.098,4720.0,,,,,,,,
516,MAYERS MEMORIAL HOSPITAL (051305),2020,Critical Access,Government - Hospital District or Authority,120.0,41.023968,-121.424651,CA,,0.0,0.241,369.0,,1.0,0.274,1237.0,,48.0,0.0,0.013,,0.0,0.026,1237.0,,,,,,,,
517,GLENN MEDICAL CENTER (051306),2020,Critical Access,Voluntary non-profit - Private,16.0,39.520467,-122.20812,CA,,0.0,0.587,900.0,0.0,0.0,1.573,7124.0,,724.0,0.0,0.198,,0.0,0.148,7124.0,,,,,,,,
518,CATALINA ISLAND MEDICAL CENTER (051307),2020,Critical Access,Voluntary non-profit - Church,12.0,33.339079,-118.330477,CA,,0.0,0.005,7.0,,0.0,0.074,330.0,,,,,,0.0,0.006,330.0,,,,,,,,
519,JEROLD PHELPS COMMUNITY HOSPITAL (051309),2020,Critical Access,Government - Hospital District or Authority,17.0,40.101491,-123.792756,CA,,0.0,0.141,216.0,,0.0,0.322,1459.0,,85.0,1.0,0.023,,1.0,0.031,1459.0,,,,,,,,
520,ADVENTIST HEALTH HOWARD MEMORIAL (051310),2020,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,,1.0,0.818,1251.0,0.0,0.0,2.215,7904.0,,1068.0,0.0,0.292,,0.0,0.165,7904.0,,7.0,0.0,0.051,13.0,0.0,0.317,
521,ORCHARD HOSPITAL (051311),2020,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,,,,,,0.0,0.271,1226.0,,260.0,0.0,0.071,,0.0,0.026,1226.0,,,,,,,,
522,MOUNTAINS COMMUNITY HOSPITAL (051312),2020,Critical Access,Government - Hospital District or Authority,37.0,34.2659,-117.167092,CA,,,,,,0.0,0.218,986.0,,,,,,0.0,0.021,986.0,,,,,,,,
523,KERN VALLEY HEALTHCARE DISTRICT (051314),2020,Critical Access,Government - Hospital District or Authority,98.0,35.635351,-118.4063,CA,0.0,0.0,1.009,413.0,,0.0,0.892,2570.0,,17.0,0.0,0.005,,0.0,0.053,2570.0,,3.0,0.0,0.022,,,,
524,TRINITY HOSPITAL (051315),2020,Critical Access,Government - Hospital District or Authority,47.0,40.737579,-122.939444,CA,,1.0,0.128,196.0,,0.0,0.47,2130.0,,13.0,0.0,0.003,,0.0,0.044,2130.0,,,,,,,,
525,FAIRCHILD MEDICAL CENTER (051316),2020,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,,0.0,0.697,1067.0,2.838,5.0,1.762,3878.0,,264.0,0.0,0.072,,1.0,0.089,4248.0,,6.0,0.0,0.041,8.0,0.0,0.207,
526,ADVENTIST HEALTH CLEARLAKE (051317),2020,Critical Access,Voluntary non-profit - Church,25.0,,,CA,,0.0,0.725,1111.0,0.792,1.0,1.263,5717.0,,734.0,0.0,0.199,,0.0,0.125,6041.0,,1.0,0.0,0.01,3.0,0.0,0.075,
527,REDWOOD MEMORIAL HOSPITAL (051318),2020,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,,0.0,0.459,703.0,0.0,0.0,1.26,4595.0,,322.0,0.0,0.087,,0.0,0.104,4985.0,,32.0,0.0,0.258,34.0,1.0,0.879,
528,MERCY MEDICAL CENTER OF MT SHASTA (051319),2020,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,,0.0,0.246,376.0,,2.0,0.672,3042.0,,205.0,0.0,0.056,,0.0,0.068,3292.0,,8.0,0.0,0.066,13.0,0.0,0.385,
529,BANNER LASSEN MEDICAL CENTER (051320),2020,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,,1.0,0.173,263.0,,1.0,0.85,3847.0,,130.0,0.0,0.035,,0.0,0.087,4211.0,,16.0,0.0,0.125,9.0,0.0,0.285,
530,HEALDSBURG DISTRICT HOSPITAL (051321),2020,Critical Access,Government - Hospital District or Authority,42.0,38.626583,-122.863741,CA,,0.0,0.319,489.0,,1.0,0.807,2309.0,,198.0,0.0,0.054,,0.0,0.048,2309.0,,,,,2.0,0.0,0.062,
531,COLORADO RIVER MEDICAL CENTER (051323),2020,Critical Access,Voluntary non-profit - Private,25.0,34.832836,-114.618317,CA,,0.0,0.072,112.0,,0.0,0.288,1309.0,,15.0,0.0,0.005,,0.0,0.027,1309.0,,,,,,,,
532,NORTHERN INYO HOSPITAL (051324),2020,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,,0.0,0.051,79.0,2.558,3.0,1.173,3419.0,,51.0,0.0,0.014,,0.0,0.081,3883.0,,2.0,0.0,0.023,9.0,1.0,0.239,
533,MENDOCINO COAST DISTRICT HOSPITAL (051325),2020,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,,0.0,0.117,179.0,0.801,1.0,1.248,4412.0,,49.0,0.0,0.013,,0.0,0.094,4522.0,,2.0,0.0,0.016,8.0,1.0,0.213,
534,PLUMAS DISTRICT HOSPITAL (051326),2020,Critical Access,Government - Hospital District or Authority,21.0,39.934767,-120.919251,CA,,1.0,0.19,292.0,,0.0,0.383,1609.0,,14.0,0.0,0.004,,0.0,0.033,1609.0,,2.0,0.0,0.011,6.0,0.0,0.147,
535,SENECA DISTRICT HOSPITAL (051327),2020,Critical Access,Government - Hospital District or Authority,26.0,40.305302,-121.234018,CA,,0.0,0.03,46.0,,0.0,0.144,650.0,,,,,,0.0,0.014,650.0,,,,,,,,
536,TAHOE FOREST HOSPITAL (051328),2020,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,,0.0,0.452,693.0,1.33,4.0,3.008,6626.0,,751.0,0.0,0.205,,0.0,0.154,7406.0,,4.0,0.0,0.03,15.0,0.0,0.358,
537,SUTTER LAKESIDE HOSPITAL (051329),2020,Critical Access,Voluntary non-profit - Private,25.0,39.105175,-122.908238,CA,,0.0,0.792,1212.0,0.734,2.0,2.725,6995.0,,955.0,0.0,0.261,,0.0,0.157,7509.0,,12.0,0.0,0.104,28.0,1.0,0.775,
538,MODOC MEDICAL CENTER (051330),2020,Critical Access,Government - Hospital District or Authority,82.0,41.479949,-120.545503,CA,,0.0,0.092,141.0,,1.0,0.086,287.0,,68.0,0.0,0.019,,0.0,0.006,287.0,,,,,,,,
539,SANTA YNEZ VALLEY COTTAGE HOSPITAL (051331),2020,Critical Access,Voluntary non-profit - Private,11.0,34.602465,-120.126643,CA,,0.0,0.006,9.0,,0.0,0.1,360.0,,10.0,0.0,0.003,,0.0,0.008,360.0,,,,,,,,
540,MARK TWAIN MEDICAL CENTER (051332),2020,Critical Access,Voluntary non-profit - Other,25.0,38.190973,-120.670661,CA,,0.0,0.458,702.0,1.631,2.0,1.226,3031.0,,396.0,0.0,0.108,,0.0,0.063,3031.0,,2.0,0.0,0.02,11.0,0.0,0.259,
541,OJAI VALLEY COMMUNITY HOSPITAL (051334),2020,Critical Access,Voluntary non-profit - Private,93.0,34.442251,-119.264518,CA,,0.0,0.132,203.0,,0.0,0.333,998.0,,62.0,0.0,0.017,,0.0,0.021,998.0,,1.0,0.0,0.007,,,,
542,BEAR VALLEY COMMUNITY HOSPITAL (051335),2020,Critical Access,Government - Hospital District or Authority,30.0,34.246023,-116.888343,CA,,0.0,0.136,89.0,,0.0,0.158,715.0,,,,,,0.0,0.014,715.0,,,,,,,,
543,CHILDREN'S HOSP OF LOS ANGELES (053302),2020,Childrens,Voluntary non-profit - Private,363.0,34.098145,-118.290878,CA,0.461,4.0,8.685,6463.0,1.774,70.0,39.454,101681.0,0.775,34050.0,34.0,43.852,0.0,0.0,6.064,122091.0,,,,,4.0,1.0,0.169,
544,LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD (053305),2020,Childrens,Voluntary non-profit - Private,332.0,37.437382,-122.175061,CA,1.28,4.0,3.126,3890.0,0.778,27.0,34.723,81970.0,0.323,26358.0,12.0,37.195,1.12,4.0,3.57,103366.0,,6.0,0.0,0.017,1.0,0.0,0.0,
545,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB (053309),2020,Childrens,Voluntary non-profit - Other,365.0,33.807107,-118.185098,CA,0.368,1.0,2.72,2462.0,0.574,8.0,13.949,46501.0,0.419,6764.0,4.0,9.546,0.931,2.0,2.148,67610.0,,14.0,0.0,0.195,,,,
546,NORTH COLORADO MEDICAL CENTER (060001),2020,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,0.531,3.0,5.651,5899.0,0.581,15.0,25.836,53383.0,0.206,5650.0,1.0,4.851,0.492,1.0,2.034,55817.0,,100.0,0.0,0.919,134.0,5.0,3.669,1.363
547,LONGMONT UNITED HOSPITAL (060003),2020,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,0.932,2.0,2.146,3045.0,0.893,10.0,11.197,17253.0,1.089,3847.0,3.0,2.755,,2.0,0.672,18744.0,,12.0,0.0,0.097,70.0,2.0,1.902,1.052
548,PLATTE VALLEY MEDICAL CENTER (060004),2020,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,0.0,0.0,1.25,2343.0,0.278,1.0,3.599,11888.0,,546.0,0.0,0.324,,0.0,0.508,13675.0,,54.0,0.0,0.454,83.0,0.0,2.334,0.0
549,MONTROSE MEMORIAL HOSPITAL (060006),2020,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,,0.0,0.776,1506.0,1.295,7.0,5.407,6614.0,,568.0,0.0,0.352,,1.0,0.273,7223.0,,23.0,1.0,0.15,34.0,2.0,0.732,
550,SAN LUIS VALLEY HEALTH (060008),2020,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,,2.0,0.912,1233.0,1.67,6.0,3.592,6894.0,,666.0,1.0,0.537,,1.0,0.266,7451.0,,16.0,1.0,0.164,22.0,0.0,0.541,
551,LUTHERAN MEDICAL CENTER (060009),2020,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,0.481,2.0,4.154,4774.0,0.372,8.0,21.506,47103.0,1.258,5828.0,6.0,4.768,0.449,1.0,2.228,52612.0,0.0,147.0,0.0,1.106,136.0,4.0,3.564,1.122
552,POUDRE VALLEY HOSPITAL (060010),2020,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,0.41,2.0,4.881,3847.0,0.559,19.0,34.012,50515.0,0.118,8513.0,1.0,8.441,0.0,0.0,2.964,59639.0,1.217,182.0,2.0,1.644,149.0,7.0,3.682,1.901
553,DENVER HEALTH & HOSPITAL AUTHORITY (060011),2020,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,1.536,28.0,18.227,11137.0,0.573,47.0,81.963,97439.0,0.457,9850.0,5.0,10.937,0.588,5.0,8.499,109104.0,,99.0,1.0,0.899,132.0,3.0,4.259,0.704
554,"ST MARY CORWIN MED CTR, CENTURA HEALTH (060012)",2020,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,,0.0,0.312,436.0,0.223,1.0,4.492,8589.0,,273.0,0.0,0.226,,0.0,0.233,8589.0,,,,,42.0,0.0,1.151,0.0
555,MERCY REGIONAL MEDICAL CENTER (060013),2020,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,0.0,0.0,1.011,1906.0,0.944,8.0,8.476,15582.0,0.0,2207.0,0.0,1.409,,1.0,0.559,16120.0,,57.0,0.0,0.475,40.0,0.0,1.038,0.0
556,PRESBYTERIAN ST LUKE'S MEDICAL CENTER (060014),2020,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,0.476,2.0,4.2,3217.0,0.671,19.0,28.314,60440.0,0.467,11650.0,7.0,14.979,0.148,1.0,6.743,84428.0,,84.0,1.0,0.703,96.0,1.0,2.679,0.373
557,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2020,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,0.15,3.0,19.958,10365.0,0.945,38.0,40.218,61583.0,0.644,11939.0,8.0,12.421,0.995,4.0,4.022,61583.0,,13.0,0.0,0.098,179.0,3.0,4.938,0.608
558,"PARKVIEW MEDICAL CENTER, INC (060020)",2020,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,0.328,6.0,18.304,12819.0,0.958,44.0,45.926,73016.0,0.74,6783.0,5.0,6.755,0.298,2.0,6.706,75997.0,1.598,217.0,3.0,1.877,203.0,5.0,5.864,0.853
559,UCH-MEMORIAL HEALTH SYSTEM (060022),2020,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,0.982,18.0,18.338,14993.0,0.44,23.0,52.29,103963.0,0.405,16573.0,7.0,17.282,0.898,7.0,7.797,119686.0,1.405,795.0,9.0,6.406,400.0,13.0,11.77,1.105
560,ST MARYS MEDICAL CENTER (060023),2020,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,0.276,3.0,10.872,8554.0,0.211,7.0,33.142,67037.0,0.775,6013.0,5.0,6.451,0.987,4.0,4.051,72753.0,0.0,231.0,0.0,1.876,184.0,6.0,4.588,1.308
561,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2020,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,0.506,26.0,51.382,28748.0,0.802,139.0,173.377,184614.0,0.563,34584.0,21.0,37.288,0.705,12.0,17.02,207664.0,1.442,362.0,4.0,2.774,513.0,30.0,13.74,2.183
562,BOULDER COMMUNITY HEALTH (060027),2020,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,0.428,1.0,2.337,3378.0,0.811,15.0,18.506,30517.0,0.309,4677.0,1.0,3.239,1.686,2.0,1.186,29135.0,,99.0,1.0,0.719,112.0,2.0,2.789,0.717
563,SAINT JOSEPH HOSPITAL (060028),2020,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,0.249,2.0,8.022,6305.0,0.269,11.0,40.866,85601.0,0.61,7543.0,5.0,8.203,0.442,3.0,6.785,102998.0,1.595,230.0,3.0,1.881,251.0,11.0,6.416,1.714
564,MCKEE MEDICAL CENTER (060030),2020,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,,1.0,0.622,951.0,0.0,0.0,3.927,11512.0,,502.0,1.0,0.326,,0.0,0.28,12420.0,0.0,257.0,0.0,2.101,63.0,1.0,1.626,0.615
565,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2020,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,0.328,5.0,15.259,12125.0,0.821,43.0,52.401,85678.0,0.725,10217.0,8.0,11.037,0.511,3.0,5.872,101129.0,1.502,388.0,5.0,3.328,298.0,9.0,7.616,1.182
566,ROSE MEDICAL CENTER (060032),2020,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,0.38,2.0,5.263,4261.0,0.284,5.0,17.625,36719.0,0.881,4217.0,4.0,4.542,0.433,1.0,2.309,49258.0,0.0,215.0,0.0,1.612,180.0,3.0,4.681,0.641
567,HCA-HEALTHONE DBA SWEDISH MEDICAL CENTER (060034),2020,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,0.399,9.0,22.529,12469.0,0.361,17.0,47.073,98525.0,0.197,8382.0,2.0,10.149,0.665,6.0,9.027,104085.0,0.755,334.0,2.0,2.648,290.0,14.0,7.779,1.8
568,Evans ACH (FT Carson) (06003F),2020,Acute Care (DOD),Department of Defense,,,,,,0.0,0.189,325.0,,,,,,172.0,0.0,0.137,,,,,,,,,,,,
569,COLORADO PLAINS MEDICAL CENTER (060044),2020,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,,0.0,0.36,494.0,0.0,0.0,1.375,2328.0,,121.0,0.0,0.097,,0.0,0.077,2774.0,,24.0,1.0,0.201,1.0,0.0,0.029,
570,UCHEALTH YAMPA VALLEY MEDICAL CENTER (060049),2020,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,,0.0,0.154,300.0,0.0,0.0,1.631,3962.0,,319.0,1.0,0.19,,0.0,0.151,4742.0,,11.0,1.0,0.096,17.0,1.0,0.379,
571,COMMUNITY HOSPITAL (060054),2020,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,,0.0,0.601,1088.0,0.826,5.0,6.051,8876.0,,1132.0,1.0,0.704,,0.0,0.344,9606.0,,104.0,1.0,0.828,70.0,4.0,1.762,2.27
572,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2020,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,0.265,1.0,3.773,4288.0,0.619,14.0,22.626,36025.0,1.504,5618.0,7.0,4.655,2.867,5.0,1.744,36025.0,,20.0,1.0,0.153,58.0,2.0,1.541,1.298
573,NORTH SUBURBAN MEDICAL CENTER (060065),2020,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,0.341,1.0,2.931,4168.0,0.086,1.0,11.573,29068.0,0.825,3488.0,2.0,2.424,1.508,2.0,1.326,31945.0,0.0,161.0,0.0,1.223,64.0,1.0,1.692,0.591
