,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
1046,JEROLD PHELPS COMMUNITY HOSPITAL (051309),2018,Critical Access,Government - Hospital District or Authority,17.0,40.101491,-123.792756,CA,,0.0,0.084,129.0,,0.0,0.347,1570.0,,28.0,0.0,0.008,,0.0,0.033,1570.0,,,,,,,,
1047,ADVENTIST HEALTH HOWARD MEMORIAL (051310),2018,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,2.054,4.0,1.947,1014.0,1.582,5.0,3.161,6962.0,,764.0,0.0,0.208,,0.0,0.145,6962.0,,11.0,0.0,0.066,8.0,0.0,0.174,
1048,ADVENTIST HEALTH HOWARD MEMORIAL (051310),2018,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,2.151,3.0,1.395,917.0,1.766,5.0,2.831,7128.0,,707.0,0.0,0.193,,0.0,0.148,7128.0,,9.0,0.0,0.053,8.0,0.0,0.18,
1049,ORCHARD HOSPITAL (051311),2018,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,,,,,,0.0,0.248,712.0,,214.0,0.0,0.059,,0.0,0.015,713.0,,,,,,,,
1050,ORCHARD HOSPITAL (051311),2018,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,,,,,,0.0,0.303,965.0,,233.0,0.0,0.064,,0.0,0.02,966.0,,,,,,,,
1051,MOUNTAINS COMMUNITY HOSPITAL (051312),2018,Critical Access,Government - Hospital District or Authority,37.0,34.2659,-117.167092,CA,,,,,,0.0,0.054,244.0,,,,,,0.0,0.005,244.0,,,,,,,,
1052,MOUNTAINS COMMUNITY HOSPITAL (051312),2018,Critical Access,Government - Hospital District or Authority,37.0,34.2659,-117.167092,CA,,,,,,0.0,0.047,215.0,,,,,,0.0,0.004,215.0,,,,,,,,
1053,KERN VALLEY HEALTHCARE DISTRICT (051314),2018,Critical Access,Government - Hospital District or Authority,98.0,35.635351,-118.4063,CA,,2.0,0.484,742.0,,0.0,0.947,3347.0,,1.0,0.0,0.0,,1.0,0.07,3347.0,,6.0,0.0,0.047,,,,
1054,KERN VALLEY HEALTHCARE DISTRICT (051314),2018,Critical Access,Government - Hospital District or Authority,98.0,35.635351,-118.4063,CA,,3.0,0.528,809.0,0.0,0.0,1.092,3249.0,,24.0,0.0,0.006,,0.0,0.068,3249.0,,7.0,0.0,0.063,,,,
1055,TRINITY HOSPITAL (051315),2018,Critical Access,Government - Hospital District or Authority,47.0,40.737579,-122.939444,CA,,0.0,0.098,149.0,,1.0,0.486,2202.0,,94.0,0.0,0.027,,0.0,0.046,2202.0,,,,,,,,
1056,TRINITY HOSPITAL (051315),2018,Critical Access,Government - Hospital District or Authority,47.0,40.737579,-122.939444,CA,,0.0,0.112,171.0,,0.0,0.456,2066.0,,85.0,0.0,0.024,,0.0,0.043,2066.0,,,,,,,,
1057,FAIRCHILD MEDICAL CENTER (051316),2018,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,0.0,0.0,1.531,2345.0,2.441,4.0,1.639,4067.0,,530.0,0.0,0.144,,0.0,0.093,4485.0,,8.0,0.0,0.061,10.0,1.0,0.235,
1058,FAIRCHILD MEDICAL CENTER (051316),2018,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,0.0,0.0,1.635,2505.0,1.856,3.0,1.616,4015.0,,581.0,0.0,0.158,,0.0,0.091,4394.0,,8.0,0.0,0.069,8.0,1.0,0.205,
1059,ADVENTIST HEALTH CLEARLAKE (051317),2018,Critical Access,Voluntary non-profit - Church,25.0,,,CA,,0.0,0.795,1217.0,0.0,0.0,1.105,4999.0,,908.0,0.0,0.248,,0.0,0.111,5313.0,,1.0,0.0,0.007,7.0,0.0,0.221,
1060,ADVENTIST HEALTH CLEARLAKE (051317),2018,Critical Access,Voluntary non-profit - Church,25.0,,,CA,,0.0,0.786,1203.0,0.0,0.0,1.106,5004.0,,784.0,0.0,0.214,,0.0,0.111,5313.0,,2.0,0.0,0.014,6.0,0.0,0.185,
1061,REDWOOD MEMORIAL HOSPITAL (051318),2018,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,,0.0,0.585,897.0,0.729,1.0,1.372,5012.0,,273.0,1.0,0.074,,0.0,0.115,5515.0,,7.0,0.0,0.067,24.0,1.0,0.559,
1062,REDWOOD MEMORIAL HOSPITAL (051318),2018,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,,1.0,0.567,869.0,0.874,1.0,1.144,5178.0,,322.0,1.0,0.088,,0.0,0.119,5677.0,,9.0,0.0,0.086,28.0,0.0,0.719,
1063,MERCY MEDICAL CENTER MT SHASTA (051319),2018,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,,0.0,0.484,740.0,,1.0,0.834,3084.0,,54.0,0.0,0.015,,0.0,0.067,3252.0,,9.0,0.0,0.092,6.0,0.0,0.188,
1064,MERCY MEDICAL CENTER MT SHASTA (051319),2018,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,,1.0,0.454,694.0,,1.0,0.794,2905.0,,96.0,0.0,0.026,,0.0,0.064,3076.0,,8.0,0.0,0.078,9.0,0.0,0.269,
1065,BANNER LASSEN MEDICAL CENTER (051320),2018,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,,0.0,0.286,438.0,2.433,3.0,1.233,3639.0,,139.0,0.0,0.039,,0.0,0.083,4028.0,,4.0,0.0,0.028,3.0,0.0,0.064,
1066,BANNER LASSEN MEDICAL CENTER (051320),2018,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,,0.0,0.337,515.0,1.957,2.0,1.022,3658.0,,187.0,0.0,0.052,,0.0,0.083,4020.0,,6.0,0.0,0.049,3.0,0.0,0.055,
1067,HEALDSBURG DISTRICT HOSPITAL (051321),2018,Critical Access,Government - Hospital District or Authority,42.0,38.626583,-122.863741,CA,,0.0,0.379,579.0,0.959,1.0,1.043,2296.0,,127.0,0.0,0.034,,0.0,0.048,2296.0,,,,,1.0,0.0,0.031,
1068,HEALDSBURG DISTRICT HOSPITAL (051321),2018,Critical Access,Government - Hospital District or Authority,42.0,38.626583,-122.863741,CA,,0.0,0.398,608.0,,2.0,0.99,2179.0,,133.0,0.0,0.036,,0.0,0.045,2179.0,,,,,1.0,0.0,0.031,
1069,COLORADO RIVER MEDICAL CENTER (051323),2018,Critical Access,Voluntary non-profit - Private,25.0,34.832836,-114.618317,CA,,0.0,0.068,103.0,,0.0,0.313,1018.0,,41.0,0.0,0.011,,0.0,0.029,1389.0,,,,,,,,
1070,COLORADO RIVER MEDICAL CENTER (051323),2018,Critical Access,Voluntary non-profit - Private,25.0,34.832836,-114.618317,CA,,0.0,0.064,98.0,,0.0,0.404,1428.0,,32.0,0.0,0.009,,0.0,0.03,1428.0,,,,,,,,
1071,NORTHERN INYO HOSPITAL (051324),2018,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,,0.0,0.091,141.0,0.0,0.0,1.228,3134.0,,46.0,0.0,0.012,,0.0,0.083,3971.0,,2.0,0.0,0.021,12.0,0.0,0.338,
1072,NORTHERN INYO HOSPITAL (051324),2018,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,,0.0,0.09,139.0,0.762,1.0,1.313,3320.0,,41.0,0.0,0.011,,0.0,0.089,4267.0,,3.0,0.0,0.031,14.0,0.0,0.407,
1073,MENDOCINO COAST DISTRICT HOSPITAL (051325),2018,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,,,,,1.834,3.0,1.636,4114.0,,187.0,0.0,0.052,,2.0,0.09,4327.0,,1.0,0.0,0.009,13.0,0.0,0.349,
1074,MENDOCINO COAST DISTRICT HOSPITAL (051325),2018,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,,,,,1.414,2.0,1.414,4175.0,,178.0,0.0,0.049,,0.0,0.092,4413.0,,1.0,0.0,0.009,13.0,0.0,0.337,
1075,PLUMAS DISTRICT HOSPITAL (051326),2018,Critical Access,Government - Hospital District or Authority,21.0,39.934767,-120.919251,CA,,0.0,0.261,400.0,,1.0,0.592,1745.0,,348.0,0.0,0.095,,0.0,0.036,1745.0,,,,,8.0,0.0,0.187,
1076,PLUMAS DISTRICT HOSPITAL (051326),2018,Critical Access,Government - Hospital District or Authority,21.0,39.934767,-120.919251,CA,,0.0,0.21,322.0,,1.0,0.535,1898.0,,297.0,0.0,0.081,,0.0,0.039,1898.0,,,,,8.0,0.0,0.19,
1077,SENECA DISTRICT HOSPITAL (051327),2018,Critical Access,Government - Hospital District or Authority,26.0,40.305302,-121.234018,CA,,0.0,0.048,77.0,,0.0,0.091,448.0,,,,,,0.0,0.009,448.0,,,,,,,,
1078,SENECA DISTRICT HOSPITAL (051327),2018,Critical Access,Government - Hospital District or Authority,26.0,40.305302,-121.234018,CA,,0.0,0.059,89.0,,0.0,0.096,436.0,,,,,,0.0,0.009,436.0,,,,,,,,
1079,TAHOE FOREST HOSPITAL (051328),2018,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,,0.0,0.146,223.0,3.077,6.0,1.95,4293.0,,69.0,0.0,0.019,,0.0,0.107,5150.0,,7.0,0.0,0.055,18.0,0.0,0.46,
1080,TAHOE FOREST HOSPITAL (051328),2018,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,,0.0,0.159,244.0,1.559,3.0,1.924,4235.0,,116.0,0.0,0.032,,0.0,0.104,5006.0,,3.0,0.0,0.03,14.0,0.0,0.374,
1081,SUTTER LAKESIDE HOSPITAL (051329),2018,Critical Access,Voluntary non-profit - Private,25.0,39.105175,-122.908238,CA,0.0,0.0,4.751,1945.0,0.994,3.0,3.019,6647.0,,1239.0,0.0,0.338,,2.0,0.151,7235.0,,16.0,0.0,0.154,31.0,2.0,0.766,
1082,SUTTER LAKESIDE HOSPITAL (051329),2018,Critical Access,Voluntary non-profit - Private,25.0,39.105175,-122.908238,CA,0.0,0.0,4.8,1965.0,0.649,2.0,3.082,6787.0,,1229.0,0.0,0.335,,2.0,0.153,7340.0,,15.0,0.0,0.138,31.0,2.0,0.815,
1083,MODOC MEDICAL CENTER (051330),2018,Critical Access,Government - Hospital District or Authority,82.0,41.479949,-120.545503,CA,,1.0,0.101,153.0,,0.0,0.199,601.0,,16.0,0.0,0.004,,0.0,0.013,601.0,,,,,,,,
1084,MODOC MEDICAL CENTER (051330),2018,Critical Access,Government - Hospital District or Authority,82.0,41.479949,-120.545503,CA,,1.0,0.087,131.0,,0.0,0.186,542.0,,24.0,0.0,0.006,,0.0,0.012,542.0,,,,,,,,
1085,MARK TWAIN MEDICAL CENTER (051332),2018,Critical Access,Voluntary non-profit - Other,25.0,38.190973,-120.670661,CA,0.0,0.0,1.053,943.0,,0.0,0.93,3388.0,,544.0,0.0,0.148,,0.0,0.07,3388.0,,6.0,0.0,0.048,2.0,0.0,0.046,
1086,MARK TWAIN MEDICAL CENTER (051332),2018,Critical Access,Voluntary non-profit - Other,25.0,38.190973,-120.670661,CA,0.0,0.0,1.477,970.0,,1.0,0.753,3407.0,,564.0,0.0,0.154,,0.0,0.071,3407.0,,8.0,0.0,0.063,3.0,0.0,0.063,
1087,OJAI VALLEY COMMUNITY HOSPITAL (051334),2018,Critical Access,Voluntary non-profit - Private,93.0,34.442251,-119.264518,CA,,0.0,0.043,66.0,,0.0,0.136,299.0,,25.0,0.0,0.007,,0.0,0.006,299.0,,1.0,0.0,0.006,2.0,0.0,0.05,
1088,OJAI VALLEY COMMUNITY HOSPITAL (051334),2018,Critical Access,Voluntary non-profit - Private,93.0,34.442251,-119.264518,CA,,0.0,0.071,109.0,,0.0,0.319,703.0,,37.0,0.0,0.01,,0.0,0.014,703.0,,1.0,0.0,0.006,2.0,0.0,0.05,
1089,BEAR VALLEY COMMUNITY HOSPITAL (051335),2018,Critical Access,Government - Hospital District or Authority,30.0,34.246023,-116.888343,CA,,0.0,0.047,72.0,,0.0,0.259,1175.0,,,,,,0.0,0.024,1175.0,,,,,,,,
1090,BEAR VALLEY COMMUNITY HOSPITAL (051335),2018,Critical Access,Government - Hospital District or Authority,30.0,34.246023,-116.888343,CA,,0.0,0.051,78.0,,0.0,0.266,1021.0,,3.0,0.0,0.001,,0.0,0.021,1021.0,,,,,,,,
1091,NORTH COLORADO MEDICAL CENTER (060001),2018,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,0.928,7.0,7.546,8570.0,0.441,12.0,27.205,52956.0,1.072,6982.0,6.0,5.599,0.487,1.0,2.052,55773.0,,45.0,0.0,0.392,176.0,5.0,4.834,1.034
1092,NORTH COLORADO MEDICAL CENTER (060001),2018,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,0.865,7.0,8.095,8995.0,0.428,11.0,25.693,53434.0,0.689,7022.0,4.0,5.802,0.0,0.0,2.113,56316.0,,41.0,0.0,0.382,165.0,3.0,4.55,0.659
1093,LONGMONT UNITED HOSPITAL (060003),2018,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,1.569,4.0,2.55,3551.0,0.808,13.0,16.097,23159.0,0.0,4447.0,0.0,3.178,,0.0,0.954,24367.0,1.896,145.0,2.0,1.055,90.0,2.0,2.26,0.885
1094,LONGMONT UNITED HOSPITAL (060003),2018,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,1.255,3.0,2.391,3323.0,0.537,8.0,14.884,21941.0,0.345,4043.0,1.0,2.9,,0.0,0.916,23234.0,1.949,141.0,2.0,1.026,86.0,2.0,2.164,0.924
1095,PLATTE VALLEY MEDICAL CENTER (060004),2018,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,0.0,0.0,2.064,3066.0,0.223,1.0,4.484,10947.0,,1279.0,0.0,0.858,,0.0,0.439,12181.0,,62.0,0.0,0.533,99.0,1.0,2.479,0.403
1096,PLATTE VALLEY MEDICAL CENTER (060004),2018,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,0.0,0.0,2.041,3103.0,0.398,2.0,5.029,11081.0,,1192.0,0.0,0.797,,2.0,0.415,12660.0,,49.0,0.0,0.432,102.0,1.0,2.555,0.391
1097,MONTROSE MEMORIAL HOSPITAL (060006),2018,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,,1.0,0.772,1496.0,1.785,9.0,5.041,7482.0,,868.0,0.0,0.529,,2.0,0.337,8213.0,,71.0,0.0,0.573,45.0,3.0,1.043,2.876
1098,MONTROSE MEMORIAL HOSPITAL (060006),2018,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,,1.0,0.78,1510.0,1.57,10.0,6.371,7455.0,,836.0,0.0,0.51,,1.0,0.335,8168.0,,81.0,0.0,0.693,51.0,3.0,1.212,2.475
1099,SAN LUIS VALLEY HEALTH (060008),2018,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,,3.0,0.572,1123.0,0.591,3.0,5.072,5866.0,,573.0,0.0,0.346,,0.0,0.155,6240.0,,13.0,0.0,0.1,16.0,0.0,0.402,
1100,SAN LUIS VALLEY HEALTH (060008),2018,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,,3.0,0.608,1196.0,1.097,4.0,3.646,6368.0,,686.0,0.0,0.414,,0.0,0.184,6829.0,,16.0,0.0,0.126,17.0,0.0,0.431,
1101,LUTHERAN MEDICAL CENTER (060009),2018,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,0.88,6.0,6.818,6503.0,0.858,29.0,33.813,47451.0,0.358,6786.0,2.0,5.594,0.329,1.0,3.037,54376.0,0.0,212.0,0.0,1.708,172.0,7.0,4.528,1.546
1102,LUTHERAN MEDICAL CENTER (060009),2018,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,0.743,5.0,6.726,6370.0,0.56,19.0,33.944,47445.0,0.553,6603.0,3.0,5.428,0.347,1.0,2.878,54136.0,0.576,219.0,1.0,1.736,157.0,5.0,4.092,1.222
1103,POUDRE VALLEY HOSPITAL (060010),2018,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,0.202,1.0,4.96,5282.0,1.079,41.0,38.009,50809.0,0.0,5437.0,0.0,4.93,0.523,1.0,1.913,60611.0,0.0,247.0,0.0,1.966,155.0,2.0,4.102,0.488
1104,POUDRE VALLEY HOSPITAL (060010),2018,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,0.214,1.0,4.668,4974.0,1.06,39.0,36.803,50766.0,0.0,5542.0,0.0,5.029,0.52,1.0,1.922,60907.0,0.0,239.0,0.0,1.966,163.0,3.0,4.281,0.701
1105,DENVER HEALTH MEDICAL CENTER (060011),2018,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,1.097,21.0,19.15,11819.0,0.924,71.0,76.824,97508.0,0.928,10893.0,11.0,11.848,0.729,4.0,5.486,111181.0,,75.0,1.0,0.693,115.0,10.0,3.898,2.565
1106,DENVER HEALTH MEDICAL CENTER (060011),2018,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,1.0,19.0,18.997,11470.0,0.81,64.0,78.988,98519.0,0.888,10308.0,10.0,11.258,0.174,1.0,5.748,110880.0,,76.0,1.0,0.728,139.0,5.0,4.758,1.051
1107,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER (060012),2018,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,1.193,4.0,3.353,4158.0,0.67,10.0,14.93,25372.0,2.143,2775.0,5.0,2.333,0.591,1.0,1.691,26747.0,,34.0,0.0,0.298,54.0,2.0,1.424,1.404
1108,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER (060012),2018,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,1.503,5.0,3.326,4117.0,0.999,17.0,17.025,25725.0,3.45,2757.0,8.0,2.319,0.0,0.0,1.717,26891.0,,22.0,0.0,0.174,55.0,1.0,1.481,0.675
1109,MERCY REGIONAL MEDICAL CENTER (060013),2018,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,1.675,2.0,1.194,1700.0,1.802,16.0,8.877,14765.0,,1207.0,1.0,0.783,,1.0,0.477,14765.0,,51.0,1.0,0.396,42.0,0.0,0.972,
1110,MERCY REGIONAL MEDICAL CENTER (060013),2018,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,2.278,3.0,1.317,1875.0,1.347,12.0,8.906,15260.0,,1347.0,2.0,0.875,,1.0,0.523,15260.0,,62.0,1.0,0.476,48.0,0.0,1.111,0.0
1111,PRESBYTERIAN ST LUKES MEDICAL CENTER (060014),2018,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,0.757,4.0,5.287,4101.0,1.478,60.0,40.609,57587.0,0.381,10854.0,5.0,13.11,0.625,4.0,6.395,77853.0,0.855,142.0,1.0,1.169,108.0,1.0,2.758,0.363
1112,PRESBYTERIAN ST LUKES MEDICAL CENTER (060014),2018,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,0.556,3.0,5.399,4162.0,1.455,64.0,43.983,57907.0,0.472,10327.0,6.0,12.7,0.595,4.0,6.718,77830.0,0.806,151.0,1.0,1.24,137.0,1.0,3.443,0.29
1113,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2018,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,1.225,20.0,16.332,13413.0,1.449,55.0,37.959,54625.0,0.485,12350.0,5.0,10.306,1.082,3.0,2.772,54625.0,,33.0,0.0,0.244,158.0,4.0,4.486,0.892
1114,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2018,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,1.148,20.0,17.425,13850.0,1.557,57.0,36.603,53989.0,0.567,12777.0,6.0,10.585,1.659,5.0,3.014,53989.0,,34.0,0.0,0.238,157.0,5.0,4.47,1.119
1115,CENTURA HEALTH-ST THOMAS MORE HOSPITAL (060016),2018,Acute Care,Voluntary non-profit - Private,152.0,,,CO,,0.0,0.609,1219.0,0.643,1.0,1.555,5274.0,,603.0,2.0,0.363,,0.0,0.102,5636.0,,33.0,0.0,0.29,37.0,0.0,1.005,0.0
1116,CENTURA HEALTH-ST THOMAS MORE HOSPITAL (060016),2018,Acute Care,Voluntary non-profit - Private,152.0,,,CO,,0.0,0.626,1251.0,0.595,1.0,1.682,5221.0,,568.0,2.0,0.343,,0.0,0.103,5647.0,,28.0,0.0,0.253,30.0,0.0,0.785,
1117,PARKVIEW MEDICAL CENTER INC (060020),2018,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,0.327,7.0,21.385,12990.0,1.083,59.0,54.495,67320.0,1.918,6936.0,14.0,7.3,1.188,5.0,4.21,70836.0,0.0,220.0,0.0,1.954,185.0,4.0,5.301,0.755
1118,PARKVIEW MEDICAL CENTER INC (060020),2018,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,0.524,11.0,21.003,12785.0,1.022,48.0,46.958,66801.0,1.708,6661.0,12.0,7.026,0.516,2.0,3.879,70183.0,0.0,154.0,0.0,1.358,169.0,9.0,4.524,1.989
1119,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL (060022),2018,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,0.58,8.0,13.787,16467.0,0.624,46.0,73.745,91760.0,0.524,17351.0,8.0,15.253,1.152,7.0,6.075,116296.0,0.646,186.0,1.0,1.547,329.0,6.0,9.308,0.645
1120,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL (060022),2018,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,0.912,13.0,14.259,17042.0,0.661,46.0,69.644,93165.0,0.455,17538.0,7.0,15.38,0.494,3.0,6.07,119181.0,0.532,227.0,1.0,1.88,311.0,6.0,9.039,0.664
1121,ST MARYS  MEDICAL CENTER (060023),2018,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,0.631,6.0,9.514,9545.0,0.77,31.0,40.237,55571.0,0.809,7808.0,6.0,7.416,0.734,2.0,2.725,61380.0,0.0,159.0,0.0,1.188,144.0,3.0,3.644,0.823
1122,ST MARYS  MEDICAL CENTER (060023),2018,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,0.635,6.0,9.455,9478.0,0.633,24.0,37.903,53527.0,0.827,7645.0,6.0,7.254,1.101,3.0,2.724,59848.0,0.829,159.0,1.0,1.206,136.0,4.0,3.453,1.158
1123,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2018,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,0.637,33.0,51.765,28464.0,1.217,243.0,199.704,171193.0,0.402,32016.0,14.0,34.83,0.544,9.0,16.552,189467.0,1.283,198.0,2.0,1.559,545.0,25.0,15.351,1.629
1124,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2018,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,0.7,38.0,54.274,29853.0,1.286,256.0,199.117,173893.0,0.487,33973.0,18.0,36.985,0.536,9.0,16.776,192441.0,4.149,189.0,6.0,1.446,624.0,25.0,17.753,1.408
1125,FOOTHILLS HOSPITAL (060027),2018,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,1.603,4.0,2.496,3600.0,1.146,24.0,20.935,33843.0,0.249,5786.0,1.0,4.01,,1.0,0.993,30051.0,,94.0,0.0,0.629,84.0,6.0,2.06,2.913
1126,FOOTHILLS HOSPITAL (060027),2018,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,2.864,7.0,2.444,3524.0,0.914,20.0,21.874,33713.0,0.25,5773.0,1.0,4.008,,1.0,0.904,29199.0,,77.0,0.0,0.528,90.0,8.0,2.254,3.549
1127,SAINT JOSEPH HOSPITAL (060028),2018,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,0.443,4.0,9.027,7115.0,0.693,55.0,79.369,80625.0,0.682,9148.0,7.0,10.268,0.382,2.0,5.232,95803.0,1.036,349.0,3.0,2.895,259.0,8.0,6.657,1.202
1128,SAINT JOSEPH HOSPITAL (060028),2018,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,0.473,4.0,8.45,6662.0,0.587,48.0,81.792,80276.0,0.476,9265.0,5.0,10.501,0.386,2.0,5.18,97022.0,1.091,329.0,3.0,2.749,262.0,9.0,6.88,1.308
1129,MCKEE MEDICAL CENTER (060030),2018,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,0.796,1.0,1.257,1846.0,0.0,0.0,5.082,13102.0,,1423.0,0.0,0.983,,1.0,0.271,14478.0,0.819,298.0,2.0,2.441,53.0,1.0,1.339,0.747
1130,MCKEE MEDICAL CENTER (060030),2018,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,1.646,2.0,1.215,1792.0,0.0,0.0,4.277,12774.0,,1380.0,0.0,0.948,,1.0,0.262,14044.0,0.0,282.0,0.0,2.29,58.0,1.0,1.445,0.692
1131,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2018,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,0.794,10.0,12.599,13398.0,0.817,45.0,55.061,82387.0,0.922,11077.0,10.0,10.849,0.854,4.0,4.683,94688.0,0.647,551.0,3.0,4.635,314.0,6.0,8.291,0.724
1132,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2018,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,0.535,7.0,13.076,13891.0,0.77,43.0,55.847,82774.0,0.652,11105.0,7.0,10.734,0.428,2.0,4.669,94010.0,0.565,617.0,3.0,5.308,345.0,6.0,8.906,0.674
1133,ROSE MEDICAL CENTER (060032),2018,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,1.035,6.0,5.795,4807.0,0.851,23.0,27.015,36640.0,1.373,3972.0,6.0,4.37,1.423,3.0,2.108,48178.0,0.562,238.0,1.0,1.779,194.0,5.0,5.025,0.995
1134,ROSE MEDICAL CENTER (060032),2018,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,0.617,4.0,6.483,5342.0,0.787,21.0,26.668,36857.0,1.067,4297.0,5.0,4.686,1.888,4.0,2.119,48426.0,0.618,222.0,1.0,1.618,191.0,7.0,4.971,1.408
1135,SWEDISH MEDICAL CENTER (060034),2018,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,0.602,15.0,24.901,14412.0,0.974,79.0,81.122,91711.0,0.55,8469.0,6.0,10.912,1.587,10.0,6.3,97060.0,0.0,278.0,0.0,2.25,340.0,12.0,8.962,1.339
