,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
1173,STARKE HOSPITAL (150102),2016,Acute Care,Proprietary,39.0,41.288064,-86.621937,IN,,1.0,0.543,2811.0,,15.0,0.0,0.01,,0.0,0.039,2811.0,,,,,,
1174,WITHAM HEALTH SERVICES (150104),2016,Acute Care,Government - Local,89.0,40.076909,-86.475209,IN,0.952,2.0,2.101,6575.0,,197.0,0.0,0.137,,0.0,0.207,6575.0,,0.0,0.029,0.0,0.347,
1175,FRANCISCAN HEALTH LAFAYETTE (150109),2016,Acute Care,Voluntary non-profit - Church,190.0,40.393845,-86.838378,IN,0.761,23.0,30.216,44849.0,0.749,6382.0,4.0,5.337,0.907,2.0,2.205,46006.0,,0.0,0.327,0.0,2.476,0.0
1176,COLUMBUS REGIONAL HOSPITAL (150112),2016,Acute Care,Government - Local,196.0,39.215872,-85.896854,IN,0.644,16.0,24.837,28169.0,1.315,3341.0,3.0,2.282,1.484,2.0,1.348,31493.0,,1.0,0.859,1.0,1.963,0.509
1177,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY (150113),2016,Acute Care,Voluntary non-profit - Private,135.0,40.130781,-85.691569,IN,1.557,19.0,12.206,22124.0,0.311,4694.0,1.0,3.213,,2.0,0.874,24384.0,0.0,0.0,1.017,1.0,1.718,0.582
1178,MEMORIAL HOSPITAL AND HEALTH CARE CENTER (150115),2016,Acute Care,Voluntary non-profit - Church,149.0,38.393743,-86.941281,IN,1.314,8.0,6.089,15649.0,,292.0,1.0,0.23,,0.0,0.537,17251.0,,1.0,0.676,2.0,1.423,1.405
1179,COMMUNITY HOSPITAL (150125),2016,Acute Care,Voluntary non-profit - Private,447.0,41.549671,-87.505971,IN,0.989,76.0,76.844,86578.0,1.147,22799.0,21.0,18.304,0.282,1.0,3.547,95678.0,0.571,1.0,1.752,3.0,4.175,0.719
1180,FRANCISCAN HEALTH CROWN POINT (150126),2016,Acute Care,Voluntary non-profit - Church,221.0,41.396497,-87.364436,IN,1.237,30.0,24.258,33066.0,1.137,4857.0,4.0,3.517,1.596,3.0,1.88,38822.0,,0.0,0.765,2.0,2.21,0.905
1181,COMMUNITY HOSPITAL SOUTH (150128),2016,Acute Care,Voluntary non-profit - Private,159.0,39.635538,-86.133908,IN,1.706,35.0,20.511,39602.0,0.46,2959.0,1.0,2.173,0.0,0.0,1.788,42764.0,,1.0,0.476,5.0,2.37,2.11
1182,KOSCIUSKO COMMUNITY HOSPITAL (150133),2016,Acute Care,Proprietary,72.0,41.24643,-85.82832,IN,0.157,1.0,6.367,11090.0,,365.0,0.0,0.25,,1.0,0.424,12177.0,,1.0,0.354,0.0,0.815,
1183,PARKVIEW NOBLE HOSPITAL (150146),2016,Acute Care,Voluntary non-profit - Private,31.0,41.448459,-85.29478,IN,0.453,1.0,2.208,7085.0,,,,,,0.0,0.156,7085.0,,1.0,0.313,0.0,0.032,
1184,WOMEN'S HOSPITAL THE (150149),2016,Acute Care,Proprietary,74.0,37.973548,-87.449109,IN,0.0,0.0,4.476,12680.0,1.519,1426.0,3.0,1.975,,0.0,0.479,25559.0,1.151,4.0,3.474,0.0,0.099,
1185,DUPONT HOSPITAL LLC (150150),2016,Acute Care,Proprietary,131.0,41.178689,-85.110603,IN,0.0,0.0,6.352,11442.0,3.504,1830.0,7.0,1.998,,0.0,0.684,21718.0,,0.0,0.45,0.0,0.454,
1186,ST VINCENT HEART CENTER OF INDIANA LLC (150153),2016,Acute Care,Proprietary,107.0,39.938311,-86.158722,IN,0.291,2.0,6.881,21298.0,0.305,8108.0,2.0,6.557,,1.0,0.499,21298.0,,,,,,
1187,ST VINCENT CARMEL HOSPITAL INC (150157),2016,Acute Care,Voluntary non-profit - Church,144.0,39.983065,-86.14716,IN,0.514,4.0,7.78,14444.0,,1326.0,0.0,0.969,,0.0,0.926,19534.0,0.0,0.0,1.121,1.0,2.051,0.488
1188,IU HEALTH WEST HOSPITAL (150158),2016,Acute Care,Proprietary,133.0,39.782568,-86.343731,IN,1.451,27.0,18.613,32652.0,0.495,2827.0,1.0,2.022,1.443,2.0,1.386,33179.0,0.0,0.0,1.052,2.0,1.634,1.224
1189,ORTHOINDY HOSPITAL (150160),2016,Acute Care,Physician,38.0,39.906702,-86.266258,IN,,0.0,0.893,5938.0,,,,,,0.0,0.069,5938.0,,,,,,
1190,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL (150161),2016,Acute Care,Proprietary,156.0,39.959275,-86.162356,IN,1.061,17.0,16.016,24515.0,1.461,3173.0,4.0,2.738,3.03,4.0,1.32,34364.0,3.446,5.0,1.451,7.0,2.712,2.581
1191,FRANCISCAN HEALTH INDIANAPOLIS (150162),2016,Acute Care,Voluntary non-profit - Church,436.0,39.648365,-86.082674,IN,1.368,65.0,47.528,81288.0,0.68,14399.0,10.0,14.709,0.721,4.0,5.545,83399.0,0.476,1.0,2.103,5.0,8.415,0.594
1192,FRANCISCAN HEALTH MUNSTER (150165),2016,Acute Care,Voluntary non-profit - Private,54.0,41.537258,-87.512328,IN,1.116,3.0,2.688,4915.0,,977.0,0.0,0.661,,0.0,0.205,4915.0,,,,0.0,0.464,
1193,PINNACLE HOSPITAL (150166),2016,Acute Care,Physician,18.0,41.449118,-87.330069,IN,,2.0,0.871,2999.0,,467.0,0.0,0.303,,0.0,0.053,2999.0,,0.0,0.048,,,
1194,ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC (150167),2016,Acute Care,Voluntary non-profit - Private,37.0,41.188662,-85.103292,IN,,0.0,0.872,5639.0,,,,,,0.0,0.064,5639.0,,,,,,
1195,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR (150168),2016,Acute Care,Proprietary,39.0,41.037352,-85.245918,IN,,0.0,0.913,6081.0,,,,,,0.0,0.078,6081.0,,,,,,
1196,COMMUNITY HOSPITAL NORTH (150169),2016,Acute Care,Voluntary non-profit - Private,330.0,39.900033,-86.043072,IN,1.05,58.0,55.223,88941.0,0.734,8654.0,6.0,8.178,0.546,3.0,5.494,109484.0,2.241,4.0,1.785,13.0,7.533,1.726
1197,PHYSICIANS' MEDICAL CENTER LLC (150172),2016,Acute Care,Physician,11.0,38.340032,-85.827064,IN,,0.0,0.101,916.0,,,,,,0.0,0.01,916.0,,0.0,0.029,0.0,0.732,
1198,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL (150173),2016,Acute Care,Voluntary non-profit - Private,180.0,40.403025,-86.807164,IN,0.418,23.0,55.057,43054.0,0.579,1869.0,1.0,1.727,0.312,1.0,3.206,49290.0,,0.0,0.679,1.0,2.438,0.41
1199,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC (150175),2016,Acute Care,Proprietary,24.0,,,IN,1.161,3.0,2.583,7266.0,,,,,,0.0,0.207,7266.0,,,,,,
1200,KENTUCKIANA MEDICAL CENTER LLC (150176),2016,Acute Care,Proprietary,42.0,,,IN,0.0,0.0,2.351,4346.0,8.254,2253.0,13.0,1.575,,2.0,0.134,2506.0,,,,1.0,0.579,
1201,UNITY MEDICAL AND SURGICAL HOSPITAL (150177),2016,Acute Care,Proprietary,29.0,41.700723,-86.176781,IN,,0.0,0.174,1081.0,,284.0,0.0,0.184,,0.0,0.014,1081.0,,,,,,
1202,FAIRBANKS (150179),2016,Acute Care,Voluntary non-profit - Private,80.0,39.902814,-86.039284,IN,0.0,0.0,3.957,20534.0,,,,,,0.0,0.401,20534.0,,,,,,
1203,ST VINCENT FISHERS HOSPITAL INC (150181),2016,Acute Care,Voluntary non-profit - Private,46.0,39.988852,-85.918844,IN,,0.0,0.2,1132.0,,64.0,0.0,0.043,,0.0,0.021,1223.0,,0.0,0.101,0.0,0.059,
1204,FRANCISCAN HEALTH CARMEL (150182),2016,Acute Care,Voluntary non-profit - Church,6.0,,,IN,,0.0,0.081,503.0,,24.0,0.0,0.015,,0.0,0.009,503.0,,0.0,0.031,,,
1205,COMMUNITY HOSPITAL OF BREMEN INC (151300),2016,Critical Access,Voluntary non-profit - Private,24.0,41.45694,-86.157922,IN,,0.0,0.339,1536.0,,22.0,0.0,0.007,,0.0,0.034,1619.0,,,,0.0,0.046,
1206,ST VINCENT RANDOLPH HOSPITAL INC (151301),2016,Critical Access,Voluntary non-profit - Private,25.0,40.167877,-84.970394,IN,,1.0,0.478,1754.0,,177.0,0.0,0.052,,0.0,0.046,2237.0,,0.0,0.052,0.0,0.111,
1207,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL (151302),2016,Critical Access,Voluntary non-profit - Private,15.0,40.468905,-85.372027,IN,,,,,,,,,,0.0,0.013,670.0,,,,0.0,0.092,
1208,RUSH MEMORIAL HOSPITAL (151304),2016,Critical Access,Government - Local,24.0,39.621442,-85.444792,IN,,,,,,31.0,0.0,0.009,,,,,,0.0,0.034,,,
1209,PULASKI MEMORIAL HOSPITAL (151305),2016,Critical Access,Government - Local,25.0,41.057384,-86.595641,IN,,,,,,,,,,,,,,0.0,0.009,0.0,0.369,
1210,INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL (151306),2016,Critical Access,Voluntary non-profit - Private,25.0,38.567698,-86.475188,IN,,0.0,0.563,1413.0,,60.0,0.0,0.017,,0.0,0.035,1713.0,,0.0,0.007,,,
1211,ST VINCENT WILLIAMSPORT HOSPITAL INC (151307),2016,Critical Access,Voluntary non-profit - Church,16.0,40.29047,-87.295819,IN,,0.0,0.001,3.0,,431.0,0.0,0.128,,0.0,0.001,27.0,,,,,,
1212,ST VINCENT CLAY HOSPITAL INC (151309),2016,Critical Access,Voluntary non-profit - Private,25.0,39.526935,-87.111318,IN,2.839,4.0,1.409,3103.0,,197.0,0.0,0.058,,0.0,0.065,3103.0,,0.0,0.008,0.0,0.214,
1213,"PARKVIEW WABASH HOSPITAL, INC (151310)",2016,Critical Access,Voluntary non-profit - Private,30.0,40.81877,-85.829126,IN,,0.0,0.406,1835.0,,66.0,0.0,0.02,,0.0,0.035,1660.0,,,,0.0,0.078,
1214,INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC (151311),2016,Critical Access,Voluntary non-profit - Other,25.0,40.272216,-86.041102,IN,,0.0,0.882,3996.0,,67.0,0.0,0.02,,0.0,0.083,3996.0,,0.0,0.09,1.0,0.5,
1215,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL (151312),2016,Critical Access,Voluntary non-profit - Private,25.0,40.734862,-86.775623,IN,,0.0,0.306,673.0,,34.0,0.0,0.01,,0.0,0.014,673.0,,,,,,
1216,WOODLAWN HOSPITAL (151313),2016,Critical Access,Government - Local,25.0,41.061728,-86.196973,IN,0.0,0.0,1.781,4541.0,,369.0,0.0,0.109,,0.0,0.103,4948.0,,0.0,0.067,0.0,0.319,
1217,ST VINCENT SALEM HOSPITAL INC (151314),2016,Critical Access,Voluntary non-profit - Private,25.0,38.613165,-86.107802,IN,,,,,,16.0,0.0,0.005,,,,,,,,0.0,0.034,
1218,CAMERON MEMORIAL COMMUNITY HOSPITAL INC (151315),2016,Critical Access,Voluntary non-profit - Private,25.0,41.634883,-84.99552,IN,0.0,0.0,1.141,4124.0,,383.0,0.0,0.113,,0.0,0.095,4553.0,,0.0,0.116,0.0,0.328,
1219,GREENE COUNTY GENERAL HOSPITAL (151317),2016,Critical Access,Government - Local,25.0,39.040496,-87.129176,IN,,0.0,0.15,679.0,,159.0,0.0,0.046,,0.0,0.003,160.0,,0.0,0.037,,,
1220,DUKES MEMORIAL HOSPITAL (151318),2016,Critical Access,Voluntary non-profit - Private,25.0,40.757358,-86.083146,IN,,0.0,0.909,2372.0,,47.0,0.0,0.014,,0.0,0.05,2372.0,,0.0,0.042,0.0,0.021,
1221,GIBSON GENERAL HOSPITAL (151319),2016,Critical Access,Voluntary non-profit - Private,40.0,38.360231,-87.589559,IN,,2.0,0.242,1093.0,,4.0,0.0,0.002,,0.0,0.022,1093.0,,,,,,
1222,JAY COUNTY HOSPITAL (151320),2016,Critical Access,Government - Local,32.0,40.439366,-84.984105,IN,,0.0,0.21,792.0,,,,,,0.0,0.018,879.0,,0.0,0.1,0.0,0.622,
1223,PERRY COUNTY MEMORIAL HOSPITAL (151322),2016,Critical Access,Voluntary non-profit - Other,25.0,37.96865,-86.729561,IN,,2.0,0.81,2461.0,,116.0,0.0,0.033,,0.0,0.052,2461.0,,0.0,0.026,1.0,0.104,
1224,PARKVIEW LAGRANGE HOSPITAL (151323),2016,Critical Access,Voluntary non-profit - Private,25.0,41.645803,-85.424936,IN,0.0,0.0,1.295,3430.0,,,,,,0.0,0.077,3684.0,,0.0,0.039,0.0,0.069,
1225,"FRANCISCAN HEALTH RENSSELAER, INC (151324)",2016,Critical Access,Voluntary non-profit - Private,25.0,40.9336,-87.138357,IN,0.0,0.0,1.166,5281.0,,598.0,0.0,0.177,,0.0,0.109,5281.0,,0.0,0.008,0.0,0.018,
1226,UNION HOSPITAL CLINTON (151326),2016,Critical Access,Voluntary non-profit - Private,25.0,39.652926,-87.398213,IN,,0.0,0.314,932.0,,4.0,0.0,0.001,,0.0,0.02,932.0,,0.0,0.035,0.0,0.037,
1227,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL (151328),2016,Critical Access,Voluntary non-profit - Private,27.0,38.860988,-86.512167,IN,1.125,3.0,2.666,5872.0,,491.0,0.0,0.145,,0.0,0.123,5872.0,,0.0,0.144,0.0,0.452,
1228,MARGARET MARY HEALTH (151329),2016,Critical Access,Voluntary non-profit - Private,25.0,39.306141,-85.222703,IN,1.907,4.0,2.097,4617.0,,213.0,0.0,0.064,,0.0,0.115,5545.0,,1.0,0.26,1.0,0.513,
1229,ADAMS MEMORIAL HOSPITAL (151330),2016,Critical Access,Government - Local,33.0,40.817966,-84.912535,IN,2.198,7.0,3.185,7014.0,,97.0,1.0,0.029,,0.0,0.155,7423.0,,0.0,0.035,0.0,0.19,
1230,HARRISON COUNTY HOSPITAL (151331),2016,Critical Access,Government - Local,25.0,38.23898,-86.14774,IN,0.843,1.0,1.186,3396.0,,331.0,0.0,0.099,,0.0,0.08,3861.0,,0.0,0.089,0.0,0.264,
1231,DECATUR COUNTY MEMORIAL HOSPITAL (151332),2016,Critical Access,Government - Local,25.0,39.344116,-85.479404,IN,,,,,,392.0,0.0,0.116,,,,,,0.0,0.028,0.0,0.12,
1232,PUTNAM COUNTY HOSPITAL (151333),2016,Critical Access,Government - Local,25.0,39.622205,-86.845996,IN,,3.0,0.412,1212.0,,253.0,0.0,0.075,,0.0,0.024,1150.0,,,,1.0,0.208,
1233,SCOTT MEMORIAL HOSPITAL (151334),2016,Critical Access,Proprietary,25.0,38.705525,-85.7852,IN,,,,,,56.0,0.0,0.017,,,,,,,,,,
1234,ST VINCENT DUNN HOSPITAL INC (151335),2016,Critical Access,Voluntary non-profit - Private,25.0,38.853488,-86.493194,IN,,0.0,0.005,21.0,,51.0,0.0,0.015,,,,,,0.0,0.008,0.0,0.049,
1235,CENTRAL IOWA HEALTHCARE (160001),2016,Acute Care,Voluntary non-profit - Private,60.0,42.04805,-92.905914,IA,0.731,3.0,4.102,8306.0,,510.0,0.0,0.345,,1.0,0.193,9303.0,,1.0,0.223,1.0,0.998,
1236,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME (160005),2016,Acute Care,Voluntary non-profit - Church,147.0,42.056982,-94.867981,IA,1.062,4.0,3.766,6204.0,,126.0,0.0,0.091,,0.0,0.136,5829.0,,0.0,0.074,0.0,0.591,
1237,KEOKUK AREA HOSPITAL (160008),2016,Acute Care,Voluntary non-profit - Private,50.0,40.406952,-91.388116,IA,0.831,1.0,1.203,3622.0,,165.0,0.0,0.121,,0.0,0.125,3622.0,,,,0.0,0.026,
1238,TRINITY MUSCATINE (160013),2016,Acute Care,Voluntary non-profit - Private,39.0,41.434173,-91.052727,IA,0.622,2.0,3.217,4873.0,,281.0,1.0,0.19,,0.0,0.112,5567.0,,0.0,0.067,3.0,0.85,
1239,TRINITY REGIONAL MEDICAL CENTER (160016),2016,Acute Care,Voluntary non-profit - Private,70.0,42.490278,-94.191337,IA,0.375,6.0,16.013,16230.0,0.0,1478.0,0.0,1.002,,1.0,0.553,16767.0,,0.0,0.098,0.0,0.908,
1240,IOWA LUTHERAN HOSPITAL (160024),2016,Acute Care,Voluntary non-profit - Private,191.0,41.600393,-93.610756,IA,0.72,18.0,25.003,38974.0,0.635,3871.0,2.0,3.152,0.573,1.0,1.744,38570.0,,0.0,0.19,5.0,1.367,3.658
1241,CHI HEALTH MERCY COUNCIL BLUFFS (160028),2016,Acute Care,Voluntary non-profit - Private,168.0,41.269636,-95.838201,IA,0.588,10.0,17.01,28693.0,1.234,2124.0,2.0,1.621,2.423,3.0,1.238,29469.0,,0.0,0.51,1.0,1.914,0.522
1242,MERCY HOSPITAL (160029),2016,Acute Care,Voluntary non-profit - Church,220.0,41.663541,-91.528653,IA,,6.0,0.057,289.0,0.564,2480.0,1.0,1.772,,0.0,0.029,1047.0,,0.0,0.13,2.0,1.127,1.775
1243,MARY GREELEY MEDICAL CENTER (160030),2016,Acute Care,Government - Local,207.0,42.032391,-93.610624,IA,1.224,34.0,27.785,32790.0,1.311,2263.0,2.0,1.525,0.849,1.0,1.178,35130.0,0.0,0.0,1.027,5.0,3.197,1.564
1244,SKIFF MEDICAL CENTER (160032),2016,Acute Care,Government - Local,48.0,41.702413,-93.051177,IA,0.953,1.0,1.049,5005.0,,,,,,0.0,0.111,5345.0,,0.0,0.069,1.0,0.258,
1245,GENESIS MEDICAL CENTER-DAVENPORT (160033),2016,Acute Care,Voluntary non-profit - Other,324.0,41.542837,-90.556958,IA,0.758,34.0,44.846,59021.0,1.788,6700.0,11.0,6.151,0.29,1.0,3.443,64706.0,,1.0,0.51,9.0,4.499,2.0
1246,SARTORI MEMORIAL HOSPITAL (160040),2016,Acute Care,Voluntary non-profit - Church,50.0,42.533922,-92.455969,IA,1.998,5.0,2.502,4292.0,,413.0,0.0,0.278,,0.0,0.098,4292.0,,,,0.0,0.523,
1247,ST LUKES HOSPITAL (160045),2016,Acute Care,Voluntary non-profit - Private,342.0,41.985632,-91.659013,IA,0.897,47.0,52.42,70390.0,0.474,8066.0,4.0,8.442,0.0,0.0,4.249,77087.0,0.0,0.0,2.566,6.0,4.344,1.381
1248,METHODIST JENNIE EDMUNDSON (160047),2016,Acute Care,Voluntary non-profit - Private,112.0,41.268309,-95.836128,IA,0.693,9.0,12.981,21720.0,,1243.0,1.0,0.872,,1.0,0.857,22522.0,,0.0,0.465,0.0,0.741,
1249,GREAT RIVER MEDICAL CENTER (160057),2016,Acute Care,Voluntary non-profit - Private,320.0,40.807369,-91.170278,IA,0.702,16.0,22.781,25948.0,1.505,2970.0,3.0,1.994,0.907,1.0,1.102,27370.0,,1.0,0.265,2.0,1.937,1.033
1250,UNIVERSITY OF IOWA HOSPITAL & CLINICS (160058),2016,Acute Care,Government - State,741.0,41.661203,-91.550759,IA,0.862,211.0,244.706,200041.0,1.652,30636.0,57.0,34.511,0.401,10.0,24.911,228868.0,1.175,5.0,4.254,13.0,10.629,1.223
1251,MERCY MEDICAL CENTER-NORTH IOWA (160064),2016,Acute Care,Voluntary non-profit - Church,218.0,43.148377,-93.216102,IA,0.47,15.0,31.928,47746.0,0.824,6855.0,5.0,6.065,1.619,3.0,1.853,49309.0,0.731,1.0,1.368,0.0,2.894,0.0
1252,COVENANT MEDICAL CENTER (160067),2016,Acute Care,Voluntary non-profit - Private,214.0,42.463867,-92.345787,IA,0.844,21.0,24.891,33589.0,2.024,3012.0,5.0,2.47,0.53,1.0,1.886,37740.0,,1.0,0.629,3.0,1.474,2.035
1253,MERCY MEDICAL CENTER-DUBUQUE (160069),2016,Acute Care,Voluntary non-profit - Church,197.0,42.493145,-90.67435,IA,0.82,17.0,20.727,32237.0,0.443,3377.0,1.0,2.259,0.0,0.0,1.686,32327.0,,0.0,0.782,0.0,2.37,0.0
1254,MERCY MEDICAL CENTER - CEDAR RAPIDS (160079),2016,Acute Care,Voluntary non-profit - Church,302.0,41.978904,-91.654798,IA,0.823,38.0,46.166,45691.0,0.249,5950.0,1.0,4.014,1.298,3.0,2.311,46162.0,,1.0,0.974,3.0,2.142,1.401
1255,MERCY MEDICAL CENTER-CLINTON (160080),2016,Acute Care,Voluntary non-profit - Private,192.0,41.860543,-90.188155,IA,1.239,10.0,8.071,19162.0,,1418.0,1.0,0.958,,1.0,0.756,20119.0,,0.0,0.109,1.0,1.113,0.898
1256,IOWA METHODIST MEDICAL CENTER (160082),2016,Acute Care,Voluntary non-profit - Private,505.0,41.590777,-93.633131,IA,1.028,94.0,91.445,117281.0,0.457,21916.0,10.0,21.897,0.707,7.0,9.904,138106.0,1.665,4.0,2.402,10.0,11.575,0.864
1257,MERCY MEDICAL CENTER-DES MOINES (160083),2016,Acute Care,Voluntary non-profit - Private,592.0,41.599577,-93.625702,IA,0.828,108.0,130.461,150487.0,0.684,22436.0,18.0,26.313,0.731,8.0,10.949,174560.0,1.39,6.0,4.316,9.0,8.442,1.066
1258,OTTUMWA REGIONAL HEALTH CENTER (160089),2016,Acute Care,Proprietary,115.0,,,IA,0.313,1.0,3.19,7883.0,,293.0,0.0,0.201,,0.0,0.328,8990.0,,0.0,0.084,1.0,0.635,
1259,BROADLAWNS MEDICAL CENTER (160101),2016,Acute Care,Government - Local,111.0,41.615097,-93.641155,IA,1.021,8.0,7.834,14568.0,,534.0,0.0,0.461,,0.0,0.509,15860.0,,0.0,0.063,0.0,0.545,
1260,TRINITY BETTENDORF (160104),2016,Acute Care,Voluntary non-profit - Private,79.0,41.566105,-90.51736,IA,0.57,6.0,10.523,13860.0,0.735,1562.0,1.0,1.361,,0.0,0.748,16010.0,,1.0,0.431,3.0,1.916,1.566
1261,ALLEN HOSPITAL (160110),2016,Acute Care,Voluntary non-profit - Private,200.0,42.525753,-92.337758,IA,0.968,13.0,13.431,32136.0,0.774,6355.0,4.0,5.17,0.0,0.0,1.614,34733.0,,0.0,0.205,1.0,2.798,0.357
1262,SPENCER MUNICIPAL HOSPITAL (160112),2016,Acute Care,Government - Local,70.0,43.150009,-95.143842,IA,0.581,2.0,3.44,7980.0,,579.0,0.0,0.385,,0.0,0.213,8582.0,,0.0,0.732,4.0,0.522,
1263,FINLEY HOSPITAL (160117),2016,Acute Care,Voluntary non-profit - Private,108.0,42.495413,-90.687573,IA,0.441,14.0,31.726,23522.0,,1425.0,0.0,0.96,,0.0,0.735,25233.0,,0.0,0.307,0.0,1.62,0.0
1264,FORT MADISON COMMUNITY HOSPITAL (160122),2016,Acute Care,Voluntary non-profit - Private,50.0,40.624167,-91.382067,IA,1.689,3.0,1.776,6247.0,,251.0,0.0,0.165,,0.0,0.116,6389.0,,0.0,0.022,0.0,0.221,
1265,LAKES REGIONAL HEALTHCARE (160124),2016,Acute Care,Voluntary non-profit - Other,44.0,43.418396,-95.126312,IA,0.0,0.0,1.032,3657.0,,255.0,0.0,0.167,,0.0,0.07,3970.0,,0.0,0.037,1.0,0.272,
1266,ST LUKES REGIONAL MEDICAL CENTER (160146),2016,Acute Care,Voluntary non-profit - Private,183.0,42.5186,-96.406029,IA,1.367,31.0,22.67,31586.0,0.58,6081.0,3.0,5.169,0.637,1.0,1.569,36505.0,,1.0,0.756,1.0,2.274,0.44
1267,GRINNELL REGIONAL MEDICAL CENTER (160147),2016,Acute Care,Voluntary non-profit - Private,45.0,41.743278,-92.734728,IA,2.893,3.0,1.037,3556.0,,422.0,0.0,0.284,,0.0,0.097,3410.0,,0.0,0.018,2.0,0.376,
1268,MERCY MEDICAL CENTER-SIOUX CITY (160153),2016,Acute Care,Voluntary non-profit - Private,205.0,42.495329,-96.400061,IA,1.457,37.0,25.402,37413.0,0.913,5266.0,4.0,4.383,0.0,0.0,1.761,37413.0,,1.0,0.26,9.0,2.913,3.09
1269,IOWA SPECIALTY HOSPITAL - BELMOND (161301),2016,Critical Access,Government - Local,22.0,42.844988,-93.612855,IA,,0.0,0.09,406.0,,14.0,0.0,0.004,,0.0,0.007,382.0,,,,,,
1270,GRUNDY COUNTY MEMORIAL HOSPITAL (161303),2016,Critical Access,Voluntary non-profit - Other,62.0,42.358753,-92.762205,IA,,,,,,40.0,0.0,0.011,,,,,,,,,,
1271,CHI HEALTH  - MERCY CORNING (161304),2016,Critical Access,Voluntary non-profit - Private,22.0,40.988375,-94.747914,IA,,1.0,0.286,983.0,,106.0,0.0,0.031,,0.0,0.02,983.0,,0.0,0.033,,,
1272,CHI HEALTH MISSOURI VALLEY (161309),2016,Critical Access,Voluntary non-profit - Private,25.0,41.562977,-95.885096,IA,,0.0,0.567,2086.0,,141.0,0.0,0.042,,0.0,0.044,2086.0,,,,,,
1273,ADAIR COUNTY MEMORIAL HOSPITAL (161310),2016,Critical Access,Government - Local,25.0,41.303103,-94.451927,IA,,0.0,0.092,419.0,,28.0,0.0,0.009,,,,,,,,,,
1274,GUTTENBERG MUNICIPAL HOSPITAL (161312),2016,Critical Access,Government - Local,25.0,42.785548,-91.099954,IA,,,,,,22.0,0.0,0.006,,,,,,,,,,
1275,GENESIS MEDICAL CENTER-DEWITT (161313),2016,Critical Access,Voluntary non-profit - Private,77.0,41.82594,-90.546257,IA,,,,,,265.0,0.0,0.078,,,,,,,,,,
1276,GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS (161316),2016,Critical Access,Voluntary non-profit - Private,25.0,42.96768,-91.809477,IA,,0.0,0.438,1984.0,,,,,,0.0,0.043,2121.0,,,,,,
1277,CENTRAL COMMUNITY HOSPITAL (161319),2016,Critical Access,Voluntary non-profit - Private,16.0,42.859771,-91.414536,IA,,0.0,0.197,891.0,,,,,,0.0,0.018,891.0,,,,,,
1278,COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER (161320),2016,Critical Access,Voluntary non-profit - Private,18.0,42.847422,-92.109691,IA,,1.0,0.016,63.0,,18.0,0.0,0.005,,0.0,0.001,51.0,,,,,,
1279,DALLAS COUNTY HOSPITAL (161322),2016,Critical Access,Voluntary non-profit - Other,25.0,41.833959,-94.094469,IA,,0.0,0.006,13.0,,1.0,0.0,0.0,,0.0,0.0,19.0,,,,,,
1280,MITCHELL COUNTY REGIONAL HEALTH (161323),2016,Critical Access,Voluntary non-profit - Other,25.0,43.289076,-92.809482,IA,,0.0,0.074,336.0,,,,,,,,,,,,,,
1281,GREENE COUNTY MEDICAL CENTER (161325),2016,Critical Access,Government - Local,25.0,42.015217,-94.38906,IA,,0.0,0.148,672.0,,,,,,0.0,0.014,672.0,,0.0,0.007,,,
1282,MADISON COUNTY MEMORIAL HOSPITAL (161326),2016,Critical Access,Government - Local,25.0,41.328816,-94.016963,IA,,0.0,0.001,6.0,,29.0,0.0,0.008,,,,,,,,,,
1283,DAVIS COUNTY HOSPITAL (161327),2016,Critical Access,Government - Local,36.0,40.759223,-92.414987,IA,,,,,,,,,,0.0,0.0,12.0,,,,,,
1284,JACKSON COUNTY REGIONAL HEALTH CENTER (161329),2016,Critical Access,Government - Local,25.0,42.073715,-90.673132,IA,,,,,,84.0,0.0,0.025,,,,,,,,,,
1285,AUDUBON COUNTY MEMORIAL HOSPITAL (161330),2016,Critical Access,Government - Local,23.0,41.715423,-94.937044,IA,,0.0,0.0,1.0,,54.0,0.0,0.017,,,,,,,,,,
