,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
438,NORTH COLORADO MEDICAL CENTER (060001),2021,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,2.9,,
439,LONGMONT UNITED HOSPITAL (060003),2021,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,2.5,,
440,PLATTE VALLEY MEDICAL CENTER (060004),2021,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,0.6,,
441,MONTROSE MEMORIAL HOSPITAL (060006),2021,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,4.6,,3.3
442,SAN LUIS VALLEY HEALTH (060008),2021,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,1.8,,2.2
443,LUTHERAN MEDICAL CENTER (060009),2021,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,0.5,,
444,POUDRE VALLEY HOSPITAL (060010),2021,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,0.9,,3.8
445,DENVER HEALTH & HOSPITAL AUTHORITY (060011),2021,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,1.3,,0.0
446,"ST MARY CORWIN MED CTR, CENTURA HEALTH (060012)",2021,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,2.9,,
447,MERCY REGIONAL MEDICAL CENTER (060013),2021,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,2.5,,4.8
448,PRESBYTERIAN ST LUKE'S MEDICAL CENTER (060014),2021,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,7.9,,4.3
449,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2021,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,0.6,,3.3
450,"PARKVIEW MEDICAL CENTER, INC (060020)",2021,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,3.6,,3.4
451,UCH-MEMORIAL HEALTH SYSTEM (060022),2021,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,0.8,37.8,3.2
452,ST MARYS MEDICAL CENTER (060023),2021,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,2.1,,
453,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2021,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,1.5,28.1,4.5
454,BOULDER COMMUNITY HEALTH (060027),2021,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,1.2,,3.2
455,SAINT JOSEPH HOSPITAL (060028),2021,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,0.7,,
456,MCKEE MEDICAL CENTER (060030),2021,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,1.8,,
457,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2021,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,0.3,,3.1
458,ROSE MEDICAL CENTER (060032),2021,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,0.0,,4.2
459,HCA-HEALTHONE DBA SWEDISH MEDICAL CENTER (060034),2021,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,0.9,,3.2
460,COLORADO PLAINS MEDICAL CENTER (060044),2021,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,2.4,,
461,UCHEALTH YAMPA VALLEY MEDICAL CENTER (060049),2021,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,0.6,,9.8
462,COMMUNITY HOSPITAL (060054),2021,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,2.3,,
463,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2021,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,4.8,,3.8
464,NORTH SUBURBAN MEDICAL CENTER (060065),2021,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,0.0,,
465,DELTA COUNTY MEMORIAL HOSPITAL (060071),2021,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,2.9,,
466,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2021,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,4.7,,1.6
467,STERLING REGIONAL MEDCENTER (060076),2021,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,1.1,,
468,VAIL HEALTH HOSPITAL (060096),2021,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,3.1,,3.9
469,AURORA SOUTH HOSPITAL AND MEDICAL CENTER (060100),2021,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,0.3,,1.6
470,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2021,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,0.8,,
471,CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS (060104),2021,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,0.6,,
472,NATIONAL JEWISH HEALTH (060107),2021,Acute Care,Voluntary non-profit - Private,21.0,39.740019,-104.942892,CO,,,10.7
473,SKY RIDGE MEDICAL CENTER (060112),2021,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,0.3,,5.9
474,"LITTLETON ADVENTIST HOSPITAL, CENTURA HEALTH (060113)",2021,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,1.0,,4.6
475,PARKER ADVENTIST HOSPITAL (060114),2021,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,0.6,,5.2
476,GOOD SAMARITAN MEDICAL CENTER LLC (060116),2021,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,0.0,,
477,ST. ANTHONY SUMMIT MEDICAL CENTER (060118),2021,Acute Care,Voluntary non-profit - Church,34.0,39.569988,-106.078259,CO,0.7,,1.7
478,MEDICAL CENTER OF THE ROCKIES (060119),2021,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,2.5,33.3,2.9
479,CASTLE ROCK ADVENTIST HOSPITAL (060125),2021,Acute Care,Voluntary non-profit - Private,56.0,39.404112,-104.886146,CO,1.8,,
480,LONGS PEAK HOSPITAL (060128),2021,Acute Care,Voluntary non-profit - Private,57.0,,,CO,0.0,,2.2
481,UCHEALTH GRANDVIEW HOSPITAL (060130),2021,Acute Care,Voluntary non-profit - Private,21.0,38.910262,-104.816436,CO,0.9,,
482,UCHEALTH GREELEY HOSPITAL (060131),2021,Acute Care,Voluntary non-profit - Private,52.0,40.390073,-104.789043,CO,2.3,,
483,UCHEALTH HIGHLANDS RANCH HOSPITAL (060132),2021,Acute Care,Voluntary non-profit - Private,91.0,39.552776,-105.004228,CO,1.5,,
484,RIO GRANDE HOSPITAL (061301),2021,Critical Access,Voluntary non-profit - Private,16.0,37.674371,-106.36481,CO,0.6,,
485,EAST MORGAN COUNTY HOSPITAL (061303),2021,Critical Access,Government - Hospital District or Authority,25.0,40.254738,-103.649178,CO,6.3,,
486,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL (061308),2021,Critical Access,Voluntary non-profit - Private,17.0,37.26375,-105.964095,CO,1.6,,
487,ESTES PARK MEDICAL CENTER (061312),2021,Critical Access,Government - Hospital District or Authority,84.0,40.372259,-105.514088,CO,3.8,,
488,KIT CARSON COUNTY MEMORIAL HOSPITAL (061313),2021,Critical Access,Government - Hospital District or Authority,19.0,39.302378,-102.270711,CO,4.2,,
489,"MEMORIAL HOSPITAL, THE (061314)",2021,Critical Access,Government - Local,25.0,40.518288,-107.57863,CO,5.0,,
490,YUMA DISTRICT HOSPITAL (061315),2021,Critical Access,Government - Hospital District or Authority,16.0,40.118445,-102.736654,CO,1.6,,
491,SPANISH PEAKS REGIONAL HEALTH CENTER (061316),2021,Critical Access,Government - Hospital District or Authority,141.0,37.607688,-104.819786,CO,4.2,,
492,GRAND RIVER HOSPITAL DISTRICT (061317),2021,Critical Access,Government - Hospital District or Authority,66.0,39.522587,-107.77201,CO,4.3,,
493,MIDDLE PARK MEDICAL CENTER (061318),2021,Critical Access,Government - Hospital District or Authority,21.0,40.0575,-106.391183,CO,0.0,,
494,GUNNISON VALLEY HOSPITAL (061320),2021,Critical Access,Government - Local,20.0,38.551089,-106.924321,CO,4.2,,
495,MT SAN RAFAEL HOSPITAL (061321),2021,Critical Access,Voluntary non-profit - Private,25.0,37.17338,-104.488796,CO,0.7,,0.0
496,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER (061322),2021,Critical Access,Government - Hospital District or Authority,25.0,38.543102,-106.007291,CO,9.7,,1.6
497,PROWERS MEDICAL CENTER (061323),2021,Critical Access,Government - Hospital District or Authority,25.0,38.070915,-102.609068,CO,1.5,,
498,ASPEN VALLEY HOSPITAL (061324),2021,Critical Access,Government - Hospital District or Authority,25.0,39.190057,-106.837784,CO,1.9,,4.9
499,UCHEALTH PIKES PEAK REGIONAL HOSPITAL (061326),2021,Critical Access,Voluntary non-profit - Private,15.0,38.973932,-105.074267,CO,0.7,,
500,SOUTHWEST MEMORIAL HOSPITAL (061327),2021,Critical Access,Voluntary non-profit - Private,25.0,37.36214,-108.572739,CO,0.0,,
501,PAGOSA SPRINGS MEDICAL CENTER (061328),2021,Critical Access,Government - Hospital District or Authority,11.0,37.252776,-107.077219,CO,2.8,,
502,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (061336),2021,Critical Access,Voluntary non-profit - Private,124.0,37.976929,-103.548742,CO,2.0,,
503,CENTURA HEALTH-ST THOMAS MORE HOSPITAL (061344),2021,Critical Access,Voluntary non-profit - Private,116.0,38.455747,-105.230264,CO,3.1,,
504,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2021,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,1.2,,3.9
505,DAY KIMBALL HOSPITAL (070003),2021,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,2.2,,7.4
506,SHARON HOSPITAL (070004),2021,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,1.6,,2.3
507,WATERBURY HOSPITAL (070005),2021,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,0.0,,3.2
508,STAMFORD HOSPITAL (070006),2021,Acute Care,Voluntary non-profit - Private,303.0,,,CT,1.4,,4.6
509,LAWRENCE & MEMORIAL HOSPITAL (070007),2021,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,1.5,48.8,4.8
510,JOHNSON MEMORIAL HOSPITAL (070008),2021,Acute Care,Voluntary non-profit - Private,88.0,,,CT,0.0,,
511,BRIDGEPORT HOSPITAL (070010),2021,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,0.9,,3.5
512,CHARLOTTE HUNGERFORD HOSPITAL (070011),2021,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,0.0,,5.3
513,ROCKVILLE GENERAL HOSPITAL (070012),2021,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,0.6,,
514,SAINT MARY'S HOSPITAL (070016),2021,Acute Care,Voluntary non-profit - Other,167.0,,,CT,0.3,,5.7
515,MIDSTATE MEDICAL CENTER (070017),2021,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,0.0,,
516,GREENWICH HOSPITAL ASSOCIATION - (070018),2021,Acute Care,Voluntary non-profit - Private,184.0,41.034395,-73.629632,CT,1.9,,4.8
517,MIDDLESEX HOSPITAL (070020),2021,Acute Care,Voluntary non-profit - Private,228.0,41.554865,-72.647633,CT,0.9,,
518,WINDHAM COMMUNITY MEMORIAL HOSPITAL (070021),2021,Acute Care,Voluntary non-profit - Private,64.0,41.716569,-72.224068,CT,1.3,,
519,YALE-NEW HAVEN HOSPITAL (070022),2021,Acute Care,Voluntary non-profit - Private,1347.0,41.304285,-72.934689,CT,1.3,37.5,4.3
520,WILLIAM W BACKUS HOSPITAL (070024),2021,Acute Care,Voluntary non-profit - Other,184.0,41.543402,-72.086747,CT,2.3,,5.5
521,HARTFORD HOSPITAL (070025),2021,Acute Care,Voluntary non-profit - Private,895.0,41.754123,-72.68082,CT,0.7,,
522,MANCHESTER MEMORIAL HOSPITAL (070027),2021,Acute Care,Voluntary non-profit - Private,182.0,41.781087,-72.525221,CT,1.5,,1.4
523,ST VINCENT'S MEDICAL CENTER (070028),2021,Acute Care,Voluntary non-profit - Church,350.0,41.200083,-73.202486,CT,1.4,,5.6
524,BRISTOL HOSPITAL (070029),2021,Acute Care,Voluntary non-profit - Private,123.0,41.676078,-72.934878,CT,0.7,,2.0
525,GRIFFIN HOSPITAL (070031),2021,Acute Care,Voluntary non-profit - Other,119.0,41.335978,-73.088689,CT,0.4,,
526,DANBURY HOSPITAL (070033),2021,Acute Care,Voluntary non-profit - Private,370.0,41.406776,-73.444339,CT,1.0,50.0,2.9
527,NORWALK HOSPITAL (070034),2021,Acute Care,Voluntary non-profit - Private,278.0,41.110415,-73.421229,CT,2.7,,4.7
528,THE HOSPITAL OF CENTRAL CONNECTICUT (070035),2021,Acute Care,Voluntary non-profit - Other,297.0,41.662015,-72.787799,CT,0.9,,
529,JOHN DEMPSEY HOSPITAL (070036),2021,Acute Care,Government - Local,160.0,41.73509,-72.79582,CT,0.3,,5.6
530,CHRISTIANA HOSPITAL (080001),2021,Acute Care,Voluntary non-profit - Private,1132.0,39.689909,-75.673228,DE,1.1,33.7,3.5
531,ST FRANCIS HOSPITAL (080003),2021,Acute Care,Voluntary non-profit - Private,161.0,,,DE,0.0,,
532,"BAYHEALTH HOSPITAL, KENT CAMPUS (080004)",2021,Acute Care,Voluntary non-profit - Private,268.0,39.150687,-75.522327,DE,0.9,,3.4
533,NANTICOKE MEMORIAL HOSPITAL (080006),2021,Acute Care,Voluntary non-profit - Private,112.0,38.642332,-75.605325,DE,1.1,,
534,BEEBE MEDICAL CENTER (080007),2021,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,1.2,30.1,3.7
535,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS (080009)",2021,Acute Care,Voluntary non-profit - Private,158.0,,,DE,2.2,,4.2
536,GEORGE WASHINGTON UNIV HOSPITAL (090001),2021,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,1.3,,3.2
537,HOWARD UNIVERSITY HOSPITAL (090003),2021,Acute Care,Voluntary non-profit - Other,241.0,38.917011,-77.021896,DC,1.6,,
538,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL (090004),2021,Acute Care,Voluntary non-profit - Private,396.0,38.912599,-77.074388,DC,1.5,,8.7
539,SIBLEY MEMORIAL HOSPITAL (090005),2021,Acute Care,Voluntary non-profit - Other,248.0,38.935747,-77.109889,DC,0.5,46.2,
540,UNITED MEDICAL CENTER (090008),2021,Acute Care,Proprietary,187.0,38.834155,-76.984698,DC,1.5,,
541,MEDSTAR WASHINGTON HOSPITAL CENTER (090011),2021,Acute Care,Voluntary non-profit - Other,757.0,38.929157,-77.012268,DC,0.4,,3.4
542,SHANDS JACKSONVILLE (100001),2021,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,3.4,,1.3
543,BETHESDA  HOSPITAL INC (100002),2021,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,1.2,,
544,ORLANDO HEALTH (100006),2021,Acute Care,Voluntary non-profit - Private,1590.0,28.526925,-81.378203,FL,0.6,,5.4
545,ADVENTHEALTH ORLANDO (100007),2021,Acute Care,Voluntary non-profit - Private,2603.0,28.573457,-81.370328,FL,0.9,33.9,2.7
546,BAPTIST HOSPITAL OF MIAMI (100008),2021,Acute Care,Voluntary non-profit - Private,747.0,25.687781,-80.339086,FL,0.5,,2.2
547,LEE MEMORIAL HOSPITAL (100012),2021,Acute Care,Government - Hospital District or Authority,831.0,26.626924,-81.872295,FL,2.0,34.1,5.3
548,ADVENTHEALTH NEW SMYRNA BEACH (100014),2021,Acute Care,Voluntary non-profit - Church,111.0,29.021174,-80.922903,FL,0.9,,
549,HALIFAX HEALTH MEDICAL CENTER (100017),2021,Acute Care,Government - Hospital District or Authority,508.0,29.20055,-81.05534,FL,0.0,,
550,NAPLES COMMUNITY HOSPITAL (100018),2021,Acute Care,Voluntary non-profit - Private,641.0,26.150806,-81.799488,FL,0.2,,5.4
551,HOLMES REGIONAL MEDICAL CENTER (100019),2021,Acute Care,Voluntary non-profit - Private,523.0,28.08691,-80.613523,FL,0.2,,
552,JACKSON HEALTH SYSTEM (100022),2021,Acute Care,Government - Hospital District or Authority,1682.0,25.790612,-80.214945,FL,0.2,,1.4
553,CITRUS MEMORIAL HOSPITAL (100023),2021,Acute Care,Government - Hospital District or Authority,202.0,28.832242,-82.335335,FL,1.2,,
554,SACRED HEART HOSPITAL (100025),2021,Acute Care,Voluntary non-profit - Private,524.0,30.475588,-87.210986,FL,1.1,40.3,2.7
555,ASCENSION SACRED HEART BAY (100026),2021,Acute Care,Government - Hospital District or Authority,257.0,30.159681,-85.647067,FL,2.6,,
556,PARRISH MEDICAL CENTER (100028),2021,Acute Care,Government - Hospital District or Authority,210.0,28.629068,-80.824943,FL,2.2,,4.1
557,NORTH SHORE MEDICAL CENTER (100029),2021,Acute Care,Proprietary,759.0,25.861658,-80.214656,FL,0.0,,3.2
558,ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL (100030),2021,Acute Care,Government - State,197.0,28.551666,-81.525787,FL,1.4,,
559,BAYFRONT HEALTH - ST PETERSBURG (100032),2021,Acute Care,Voluntary non-profit - Private,350.0,27.763222,-82.641663,FL,0.0,,
560,MOUNT SINAI MEDICAL CENTER (100034),2021,Acute Care,Proprietary,598.0,25.815045,-80.137939,FL,2.6,,4.4
561,MANATEE MEMORIAL HOSPITAL (100035),2021,Acute Care,Proprietary,303.0,27.497209,-82.561241,FL,0.3,,4.2
562,MEMORIAL REGIONAL HOSPITAL (100038),2021,Acute Care,Government - Hospital District or Authority,1002.0,26.018262,-80.178865,FL,0.5,,
563,BROWARD HEALTH MEDICAL CENTER (100039),2021,Acute Care,Government - Hospital District or Authority,638.0,26.101975,-80.14231,FL,0.8,,4.5
564,ASCENSION ST VINCENT'S RIVERSIDE (100040),2021,Acute Care,Voluntary non-profit - Private,490.0,30.307891,-81.689154,FL,2.9,32.2,4.7
565,MEASE DUNEDIN HOSPITAL (100043),2021,Acute Care,Voluntary non-profit - Private,114.0,28.014032,-82.783822,FL,1.9,,
566,CLEVELAND CLINIC MARTIN NORTH HOSPITAL (100044),2021,Acute Care,Voluntary non-profit - Private,450.0,27.199441,-80.243034,FL,1.1,,6.8
567,ADVENTHEALTH DELAND (100045),2021,Acute Care,Voluntary non-profit - Church,160.0,29.042613,-81.317205,FL,0.6,,
568,FLORIDA HOSPITAL ZEPHYRHILLS (100046),2021,Acute Care,Voluntary non-profit - Church,144.0,28.260937,-82.188041,FL,1.3,,
569,BAYFRONT HEALTH PUNTA GORDA (100047),2021,Acute Care,Proprietary,172.0,26.940682,-82.041788,FL,0.8,,
570,JAY HOSPITAL (100048),2021,Acute Care,Voluntary non-profit - Private,28.0,30.95004,-87.151666,FL,1.8,,
571,HIGHLANDS REGIONAL MEDICAL CENTER (100049),2021,Acute Care,Proprietary,119.0,27.465045,-81.433761,FL,3.0,,
572,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS (100050),2021,Acute Care,Voluntary non-profit - Private,182.0,25.866662,-80.312165,FL,0.0,,
573,ORLANDO HEALTH SOUTH LAKE HOSPITAL (100051),2021,Acute Care,Government - Hospital District or Authority,158.0,28.551178,-81.723415,FL,1.4,,
574,WINTER HAVEN HOSPITAL (100052),2021,Acute Care,Voluntary non-profit - Private,514.0,28.027669,-81.726746,FL,2.5,,
575,HIALEAH HOSPITAL (100053),2021,Acute Care,Proprietary,346.0,25.844931,-80.268881,FL,0.0,,
576,TWIN CITIES HOSPITAL (100054),2021,Acute Care,Proprietary,63.0,,,FL,5.8,,
577,ADVENTHEALTH NORTH PINELLAS (100055),2021,Acute Care,Voluntary non-profit - Other,168.0,28.13314,-82.758576,FL,1.1,,
578,ADVENTHEALTH WATERMAN (100057),2021,Acute Care,Voluntary non-profit - Church,263.0,28.822351,-81.71021,FL,1.3,,5.7
579,ADVENTHEALTH OCALA (100062),2021,Acute Care,Government - Hospital District or Authority,404.0,29.174236,-82.137834,FL,0.2,,
580,MORTON PLANT NORTH BAY HOSPITAL (100063),2021,Acute Care,Voluntary non-profit - Private,220.0,28.253933,-82.715478,FL,0.0,,
581,ST ANTHONYS HOSPITAL (100067),2021,Acute Care,Voluntary non-profit - Church,349.0,27.779343,-82.651224,FL,1.6,,
582,ADVENTHEALTH DAYTONA BEACH (100068),2021,Acute Care,Voluntary non-profit - Church,374.0,29.24275,-81.1093,FL,0.4,,3.0
583,FLORIDA HOSPITAL CARROLLWOOD (100069),2021,Acute Care,Voluntary non-profit - Church,105.0,28.013102,-82.504954,FL,0.7,,
584,VENICE REGIONAL BAYFRONT HEALTH (100070),2021,Acute Care,Proprietary,264.0,27.089683,-82.444445,FL,0.4,,5.9
585,BAYFRONT HEALTH BROOKSVILLE (100071),2021,Acute Care,Voluntary non-profit - Church,244.0,28.541115,-82.443386,FL,0.5,,
586,ADVENTHEALTH FISH MEMORIAL (100072),2021,Acute Care,Voluntary non-profit - Church,176.0,28.91129,-81.284122,FL,0.2,,
587,HOLY CROSS HOSPITAL (100073),2021,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,0.8,40.6,4.7
588,ST JOSEPHS HOSPITAL (100075),2021,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,0.2,,2.9
589,BAYFRONT HEALTH PORT CHARLOTTE (100077),2021,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,0.0,,
590,JFK MEDICAL CENTER (100080),2021,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,0.0,,
591,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2021,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,4.1,,
592,UF HEALTH LEESBURG HOSPITAL (100084),2021,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,0.0,,
593,BROWARD HEALTH NORTH (100086),2021,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,1.2,,
594,SARASOTA MEMORIAL HOSPITAL (100087),2021,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,2.2,29.3,2.2
595,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE (100088),2021,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,2.3,29.9,5.4
596,FLAGLER HOSPITAL (100090),2021,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,2.5,53.7,
597,STEWARD ROCKLEDGE HOSPITAL (100092),2021,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,2.4,,4.3
598,BAPTIST HOSPITAL (100093),2021,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,4.2,36.6,3.0
599,ADVENTHEALTH LAKE WALES (100099),2021,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,4.3,,
600,CLEVELAND CLINIC INDIAN RIVER HOSPITAL (100105),2021,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,0.7,,5.6
601,DOCTORS MEMORIAL HOSPITAL INC (100106),2021,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,2.2,,
602,LEHIGH REGIONAL MEDICAL CENTER (100107),2021,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,0.0,,
603,ADVENTHEALTH SEBRING (100109),2021,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,2.2,,4.4
604,OSCEOLA REGIONAL MEDICAL CENTER (100110),2021,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,0.5,,
605,UF HEALTH SHANDS HOSPITAL (100113),2021,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,4.3,32.0,5.1
606,BAPTIST MEDICAL CENTER  BEACHES (100117),2021,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,3.7,,4.6
607,FLORIDA HOSPITAL FLAGLER (100118),2021,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,0.3,,4.4
608,BARTOW REGIONAL MEDICAL CENTER (100121),2021,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,0.0,,
609,NORTH OKALOOSA MEDICAL CENTER (100122),2021,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,1.8,,
610,SANTA ROSA MEDICAL CENTER (100124),2021,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,1.0,,
611,HOMESTEAD HOSPITAL (100125),2021,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,0.4,,
612,PALMS OF PASADENA HOSPITAL (100126),2021,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,1.1,,
613,MORTON PLANT HOSPITAL (100127),2021,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,0.5,,
614,TAMPA GENERAL HOSPITAL (100128),2021,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,2.4,,10.3
615,LAKESIDE MEDICAL CENTER (100130),2021,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,1.4,,
616,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2021,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,2.0,,
617,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2021,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,1.7,,
618,ED FRASER MEMORIAL HOSPITAL (100134),2021,Acute Care,Government - Hospital District or Authority,90.0,30.28555,-82.11955,FL,0.0,,
619,TALLAHASSEE MEMORIAL HEALTHCARE (100135),2021,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,0.3,,
620,ADVENTHEALTH HEART OF FLORIDA (100137),2021,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,1.9,,
621,BAPTIST MEDICAL CENTER - NASSAU (100140),2021,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,1.1,,2.8
622,JACKSON HOSPITAL (100142),2021,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,4.4,,6.8
623,LOWER KEYS MEDICAL CENTER (100150),2021,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,1.4,,
624,MAYO CLINIC FLORIDA (100151),2021,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,1.3,,10.7
625,SOUTH MIAMI HOSPITAL (100154),2021,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,0.3,,0.0
626,LAKE CITY MEDICAL CENTER (100156),2021,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,0.2,,
627,LAKELAND REGIONAL MEDICAL CENTER (100157),2021,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,0.0,,
628,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2021,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,0.5,,
629,DOCTORS HOSPITAL OF SARASOTA (100166),2021,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,0.3,,
