,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),Breast Cancer Screening Recall Rates (OP-39),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
391,EISENHOWER MEDICAL CENTER (050573),2022,Acute Care,Proprietary,370.0,33.764852,-116.408085,CA,35.4,12.7,,4.6
392,LA PALMA INTERCOMMUNITY HOSPITAL (050580),2022,Acute Care,Proprietary,140.0,33.847585,-118.03725,CA,1.3,,,
393,LAKEWOOD REGIONAL MEDICAL CENTER (050581),2022,Acute Care,Proprietary,170.0,33.860223,-118.148749,CA,4.0,10.5,,3.0
394,CHINO VALLEY MEDICAL CENTER (050586),2022,Acute Care,Proprietary,120.0,34.026351,-117.685988,CA,1.0,,,
395,SAN DIMAS COMMUNITY HOSPITAL (050588),2022,Acute Care,Proprietary,77.0,34.099423,-117.835006,CA,0.0,,,
396,PLACENTIA LINDA HOSPITAL (050589),2022,Acute Care,Proprietary,114.0,33.886612,-117.842096,CA,14.1,11.2,,
397,METHODIST HOSPITAL OF SACRAMENTO (050590),2022,Acute Care,Voluntary non-profit - Other,320.0,38.464232,-121.416333,CA,0.3,,,
398,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL (050597),2022,Acute Care,Voluntary non-profit - Private,105.0,34.133196,-117.872534,CA,8.6,8.1,,
399,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER (050599),2022,Acute Care,Voluntary non-profit - Other,598.0,38.554375,-121.457535,CA,6.9,6.2,37.9,4.3
400,MEMORIALCARE SADDLEBACK MEDICAL CENTER (050603),2022,Acute Care,Voluntary non-profit - Private,281.0,33.607762,-117.708258,CA,9.4,7.3,,3.1
401,ADVENTIST HEALTH DELANO (050608),2022,Acute Care,Proprietary,156.0,35.761418,-119.238878,CA,21.2,4.1,,
402,HENRY MAYO NEWHALL  HOSPITAL (050624),2022,Acute Care,Voluntary non-profit - Private,267.0,34.396342,-118.553143,CA,0.7,12.5,,8.4
403,CEDARS-SINAI MEDICAL CENTER (050625),2022,Acute Care,Voluntary non-profit - Other,894.0,34.075496,-118.380122,CA,4.1,14.8,42.6,5.8
404,TENET HEALTH CENTRAL TWIN CITIES COMMUNITY HOSP (050633),2022,Acute Care,Proprietary,122.0,35.554389,-120.72013,CA,4.6,,,
405,PALOMAR MEDICAL CENTER POWAY (050636),2022,Acute Care,Government - Hospital District or Authority,236.0,32.996802,-117.057852,CA,1.9,8.0,,
406,MEMORIALCARE ORANGE COAST MEDICAL CENTER (050678),2022,Acute Care,Proprietary,219.0,33.701659,-117.956107,CA,11.7,9.5,,4.3
407,MENIFEE GLOBAL MEDICAL CENTER (050684),2022,Acute Care,Government - Hospital District or Authority,84.0,33.718344,-117.166468,CA,0.0,,,
408,SAN RAMON REGIONAL MEDICAL CENTER (050689),2022,Acute Care,Proprietary,123.0,37.775988,-121.959274,CA,6.7,7.7,,0.0
409,KECK HOSPITAL OF USC (050696),2022,Acute Care,Voluntary non-profit - Other,334.0,34.062168,-118.203234,CA,1.0,,46.5,5.7
410,SOUTHWEST HEALTHCARE SYSTEM (050701),2022,Acute Care,Proprietary,241.0,33.557832,-117.184346,CA,1.9,,,
411,MISSION COMMUNITY HOSPITAL (050704),2022,Acute Care,Voluntary non-profit - Private,141.0,34.221494,-118.456802,CA,0.0,,,
412,DESERT VALLEY HOSPITAL (050709),2022,Acute Care,Proprietary,142.0,34.470911,-117.297099,CA,0.0,,,4.2
413,BAKERSFIELD HEART HOSPITAL (050724),2022,Acute Care,Proprietary,47.0,35.386106,-119.040847,CA,0.0,,,
414,STANISLAUS SURGICAL HOSPITAL (050726),2022,Acute Care,Proprietary,23.0,37.664558,-120.957516,CA,,19.9,,
415,WHITTIER HOSPITAL MEDICAL CENTER (050735),2022,Acute Care,Proprietary,178.0,33.950748,-118.005114,CA,0.7,,,
416,MONTEREY PARK HOSPITAL (050736),2022,Acute Care,Proprietary,101.0,34.049769,-118.138751,CA,6.3,,,
417,GREATER EL MONTE COMMUNITY HOSPITAL (050738),2022,Acute Care,Voluntary non-profit - Private,118.0,34.048705,-118.042452,CA,0.0,,,
418,CENTINELA HOSPITAL MEDICAL CENTER (050739),2022,Acute Care,Proprietary,349.0,33.949086,-118.348214,CA,0.5,,,
419,CEDAR-SINAI MARINA DEL REY HOSPITAL (050740),2022,Acute Care,Proprietary,98.0,33.981732,-118.440154,CA,5.2,11.9,,
420,OLYMPIA MEDICAL CENTER (050742),2022,Acute Care,Proprietary,204.0,34.057527,-118.359857,CA,0.0,,,
421,ORANGE COUNTY GLOBAL MEDICAL CENTER (050746),2022,Acute Care,Proprietary,246.0,33.753636,-117.834209,CA,0.0,,,
422,SHERMAN OAKS HOSPITAL (050755),2022,Acute Care,Voluntary non-profit - Private,150.0,34.15981,-118.448705,CA,0.7,,,
423,ALVARADO HOSPITAL MEDICAL CENTER (050757),2022,Acute Care,Government - Federal,300.0,32.777136,-117.056602,CA,0.0,,,
424,MONTCLAIR HOSPITAL MEDICAL CENTER (050758),2022,Acute Care,Voluntary non-profit - Private,103.0,34.077662,-117.696098,CA,0.0,,,
425,PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER (050761),2022,Acute Care,Voluntary non-profit - Private,244.0,34.169777,-118.53183,CA,4.8,7.7,,1.8
426,"L A DOWNTOWN MEDICAL CENTER, LLC (050763)",2022,Acute Care,Proprietary,218.0,34.06879,-118.26356,CA,0.0,,,
427,SHASTA REGIONAL MEDICAL CENTER (050764),2022,Acute Care,Proprietary,219.0,40.585376,-122.386683,CA,1.2,,,
428,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA (050770),2022,Acute Care,Proprietary,108.0,33.613435,-117.168923,CA,6.2,10.3,,2.2
429,COAST PLAZA HOSPITAL (050771),2022,Acute Care,Proprietary,116.0,33.912428,-118.099156,CA,1.6,,,
430,TEMECULA VALLEY HOSPITAL (050775),2022,Acute Care,Proprietary,140.0,33.47929,-117.105744,CA,0.9,,,
431,COLLEGE MEDICAL CENTER (050776),2022,Acute Care,Proprietary,213.0,33.807201,-118.193721,CA,3.6,,,
432,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL (050779)",2022,Acute Care,Voluntary non-profit - Private,131.0,33.924361,-118.244331,CA,0.3,,,
433,COLUSA MEDICAL CENTER (050783),2022,Acute Care,Proprietary,50.0,39.207286,-121.999974,CA,3.9,,,
434,ADVENTIST HEALTH TULARE (050784),2022,Acute Care,Voluntary non-profit - Private,80.0,36.220283,-119.337669,CA,6.2,9.3,,
435,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS (051300),2022,Critical Access,Government - Hospital District or Authority,75.0,39.806144,-120.463129,CA,4.2,9.9,,
436,ADVENTIST HEALTH TEHACHAPI VALLEY (051301),2022,Critical Access,Government - Hospital District or Authority,25.0,,,CA,5.7,7.9,,
437,MAMMOTH HOSPITAL (051303),2022,Critical Access,Government - Hospital District or Authority,17.0,37.645071,-118.963911,CA,4.5,5.5,,
438,JOHN C FREMONT HEALTHCARE DISTRICT (051304),2022,Critical Access,Government - Hospital District or Authority,35.0,37.500531,-119.976948,CA,13.1,19.5,,
439,MAYERS MEMORIAL HOSPITAL (051305),2022,Critical Access,Government - Hospital District or Authority,120.0,41.023968,-121.424651,CA,46.5,,,
440,GLENN MEDICAL CENTER (051306),2022,Critical Access,Voluntary non-profit - Private,16.0,39.520467,-122.20812,CA,5.6,16.9,,
441,ADVENTIST HEALTH HOWARD MEMORIAL (051310),2022,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,2.2,3.5,51.7,
442,ORCHARD HOSPITAL (051311),2022,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,7.2,8.5,,
443,MOUNTAINS COMMUNITY HOSPITAL (051312),2022,Critical Access,Government - Hospital District or Authority,37.0,34.2659,-117.167092,CA,9.6,7.7,,
444,KERN VALLEY HEALTHCARE DISTRICT (051314),2022,Critical Access,Government - Hospital District or Authority,98.0,35.635351,-118.4063,CA,8.2,,,
445,TRINITY HOSPITAL (051315),2022,Critical Access,Government - Hospital District or Authority,47.0,40.737579,-122.939444,CA,4.8,,,
446,FAIRCHILD MEDICAL CENTER (051316),2022,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,50.9,4.4,59.6,1.7
447,ADVENTIST HEALTH CLEARLAKE (051317),2022,Critical Access,Voluntary non-profit - Church,25.0,,,CA,3.9,6.8,59.7,3.4
448,PROVIDENCE REDWOOD MEMORIAL HOSPITAL (051318),2022,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,13.3,7.3,,
449,MERCY MEDICAL CENTER OF MT SHASTA (051319),2022,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,62.1,11.0,44.4,1.7
450,BANNER LASSEN MEDICAL CENTER (051320),2022,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,7.1,3.8,52.1,
451,HEALDSBURG HOSPITAL (051321),2022,Critical Access,Government - Hospital District or Authority,42.0,38.626583,-122.863741,CA,4.7,1.3,,
452,COLORADO RIVER MEDICAL CENTER (051323),2022,Critical Access,Voluntary non-profit - Private,25.0,34.832836,-114.618317,CA,2.8,,,
453,NORTHERN INYO HOSPITAL (051324),2022,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,7.2,11.6,50.0,1.6
454,MENDOCINO COAST DISTRICT HOSPITAL (051325),2022,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,6.5,5.7,60.4,2.0
455,PLUMAS DISTRICT HOSPITAL (051326),2022,Critical Access,Government - Hospital District or Authority,21.0,39.934767,-120.919251,CA,8.8,13.3,,0.0
456,SENECA DISTRICT HOSPITAL (051327),2022,Critical Access,Government - Hospital District or Authority,26.0,40.305302,-121.234018,CA,3.2,,,
457,TAHOE FOREST HOSPITAL (051328),2022,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,7.5,6.8,49.1,4.1
458,SUTTER LAKESIDE HOSPITAL (051329),2022,Critical Access,Voluntary non-profit - Private,25.0,39.105175,-122.908238,CA,4.7,7.9,41.8,4.3
459,MODOC MEDICAL CENTER (051330),2022,Critical Access,Government - Hospital District or Authority,82.0,41.479949,-120.545503,CA,39.5,,,
460,SANTA YNEZ VALLEY COTTAGE HOSPITAL (051331),2022,Critical Access,Voluntary non-profit - Private,11.0,34.602465,-120.126643,CA,8.5,6.8,56.0,
461,MARK TWAIN MEDICAL CENTER (051332),2022,Critical Access,Voluntary non-profit - Other,25.0,38.190973,-120.670661,CA,5.7,21.3,57.8,
462,OJAI VALLEY COMMUNITY HOSPITAL (051334),2022,Critical Access,Voluntary non-profit - Private,93.0,34.442251,-119.264518,CA,12.9,14.0,,
463,BEAR VALLEY COMMUNITY HOSPITAL (051335),2022,Critical Access,Government - Hospital District or Authority,30.0,34.246023,-116.888343,CA,4.6,9.9,,
464,SOUTHERN MONTEREY COUNTY MEMORIAL HOSPITAL (051336),2022,Critical Access,Voluntary non-profit - Other,61.0,,,CA,10.1,9.1,,
465,NORTH COLORADO MEDICAL CENTER (060001),2022,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,5.5,10.2,,2.0
466,LONGMONT UNITED HOSPITAL (060003),2022,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,3.7,8.4,,
467,PLATTE VALLEY MEDICAL CENTER (060004),2022,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,2.0,,,0.0
468,MONTROSE REGIONAL HEALTH (060006),2022,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,9.6,5.8,42.4,5.1
469,SAN LUIS VALLEY HEALTH (060008),2022,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,7.6,10.3,52.6,2.5
470,LUTHERAN MEDICAL CENTER (060009),2022,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,0.8,15.2,,
471,POUDRE VALLEY HOSPITAL (060010),2022,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,4.4,6.9,41.5,3.9
472,DENVER HEALTH & HOSPITAL AUTHORITY (060011),2022,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,1.2,13.6,60.9,
473,"ST MARY CORWIN MED CTR, CENTURA HEALTH (060012)",2022,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,13.4,14.7,,2.1
474,MERCY REGIONAL MEDICAL CENTER (060013),2022,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,7.3,7.1,,2.8
475,PRESBYTERIAN ST LUKE'S MEDICAL CENTER (060014),2022,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,16.5,,,5.2
476,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2022,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,3.5,6.2,,2.0
477,"PARKVIEW MEDICAL CENTER, INC (060020)",2022,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,8.7,15.8,53.3,3.7
478,UCH-MEMORIAL HEALTH SYSTEM (060022),2022,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,2.8,6.9,48.4,3.4
479,ST MARYS MEDICAL CENTER (060023),2022,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,6.3,8.2,43.8,4.5
480,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2022,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,4.5,9.8,48.0,4.9
481,BOULDER COMMUNITY HEALTH (060027),2022,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,8.5,8.3,50.0,3.9
482,SAINT JOSEPH HOSPITAL (060028),2022,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,0.7,7.5,,1.8
483,MCKEE MEDICAL CENTER (060030),2022,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,6.8,9.0,,3.8
484,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2022,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,2.5,11.6,,4.6
485,ROSE MEDICAL CENTER (060032),2022,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,2.7,9.9,,6.1
486,HCA-HEALTHONE DBA SWEDISH MEDICAL CENTER (060034),2022,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,1.9,,,3.8
487,COLORADO PLAINS MEDICAL CENTER (060044),2022,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,5.1,6.8,,2.2
488,UCHEALTH YAMPA VALLEY MEDICAL CENTER (060049),2022,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,9.8,14.2,,0.0
489,COMMUNITY HOSPITAL (060054),2022,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,2.6,5.5,,0.0
490,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2022,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,18.1,10.3,,7.5
491,NORTH SUBURBAN MEDICAL CENTER (060065),2022,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,0.6,9.4,,3.4
492,DELTA COUNTY MEMORIAL HOSPITAL (060071),2022,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,11.5,10.8,55.1,0.0
493,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2022,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,16.1,9.9,40.4,2.1
494,STERLING REGIONAL MEDCENTER (060076),2022,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,5.5,2.3,54.5,1.8
495,VAIL HEALTH HOSPITAL (060096),2022,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,16.0,10.8,,2.5
496,AURORA SOUTH HOSPITAL AND MEDICAL CENTER (060100),2022,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,1.8,10.4,,3.1
497,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2022,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,7.5,9.2,,
498,CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS (060104),2022,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,3.0,12.6,,
499,NATIONAL JEWISH HEALTH (060107),2022,Acute Care,Voluntary non-profit - Private,21.0,39.740019,-104.942892,CO,14.0,,,10.9
500,SKY RIDGE MEDICAL CENTER (060112),2022,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,2.0,,,4.6
501,"LITTLETON ADVENTIST HOSPITAL, CENTURA HEALTH (060113)",2022,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,2.0,14.3,,4.3
502,PARKER ADVENTIST HOSPITAL (060114),2022,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,2.4,10.4,,3.3
503,GOOD SAMARITAN MEDICAL CENTER LLC (060116),2022,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,2.9,10.0,,
504,"ANIMAS SURGICAL HOSPITAL, LLC (060117)",2022,Acute Care,Physician,12.0,37.248889,-107.870774,CO,8.7,,,
505,ST ANTHONY SUMMIT MEDICAL CENTER (060118),2022,Acute Care,Voluntary non-profit - Church,34.0,39.569988,-106.078259,CO,9.9,6.1,,6.0
506,MEDICAL CENTER OF THE ROCKIES (060119),2022,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,4.4,6.3,47.4,4.6
507,CASTLE ROCK ADVENTIST HOSPITAL (060125),2022,Acute Care,Voluntary non-profit - Private,56.0,39.404112,-104.886146,CO,3.7,7.6,,4.2
508,BANNER FORT COLLINS MEDICAL CENTER (060126),2022,Acute Care,Voluntary non-profit - Other,25.0,40.521117,-105.010885,CO,8.5,10.3,,
509,LONGS PEAK HOSPITAL (060128),2022,Acute Care,Voluntary non-profit - Private,57.0,,,CO,3.0,,,4.1
510,UCHEALTH BROOMFIELD HOSPITAL (060129),2022,Acute Care,Proprietary,32.0,39.9105,-105.093207,CO,3.8,,,
511,UCHEALTH GRANDVIEW HOSPITAL (060130),2022,Acute Care,Voluntary non-profit - Private,21.0,38.910262,-104.816436,CO,0.6,,,
512,UCHEALTH GREELEY HOSPITAL (060131),2022,Acute Care,Voluntary non-profit - Private,52.0,40.390073,-104.789043,CO,4.4,7.1,,8.1
513,UCHEALTH HIGHLANDS RANCH HOSPITAL (060132),2022,Acute Care,Voluntary non-profit - Private,91.0,39.552776,-105.004228,CO,5.0,,,3.3
514,RIO GRANDE HOSPITAL (061301),2022,Critical Access,Voluntary non-profit - Private,16.0,37.674371,-106.36481,CO,2.7,,,
515,COLORADO CANYONS HOSPITAL AND MEDICAL CENTER (061302),2022,Critical Access,Voluntary non-profit - Private,56.0,39.164337,-108.735901,CO,4.3,8.2,,
516,EAST MORGAN COUNTY HOSPITAL (061303),2022,Critical Access,Government - Hospital District or Authority,25.0,40.254738,-103.649178,CO,10.1,2.9,,
517,MELISSA MEMORIAL HOSPITAL (061305),2022,Critical Access,Government - Hospital District or Authority,15.0,40.578428,-102.290249,CO,,9.6,,
518,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL (061308),2022,Critical Access,Voluntary non-profit - Private,17.0,37.26375,-105.964095,CO,0.0,,,
519,WRAY COMMUNITY DISTRICT HOSPITAL (061309),2022,Critical Access,Government - Hospital District or Authority,16.0,40.075405,-102.23466,CO,5.1,9.9,,
520,SOUTHEAST COLORADO HOSPITAL DISTRICT (061311),2022,Critical Access,Government - Hospital District or Authority,71.0,37.404165,-102.612423,CO,5.7,,,
521,ESTES PARK MEDICAL CENTER (061312),2022,Critical Access,Government - Hospital District or Authority,84.0,40.372259,-105.514088,CO,3.4,4.6,,2.6
522,KIT CARSON COUNTY MEMORIAL HOSPITAL (061313),2022,Critical Access,Government - Hospital District or Authority,19.0,39.302378,-102.270711,CO,3.6,3.4,,
523,"MEMORIAL HOSPITAL, THE (061314)",2022,Critical Access,Government - Local,25.0,40.518288,-107.57863,CO,5.2,8.1,,
524,YUMA DISTRICT HOSPITAL (061315),2022,Critical Access,Government - Hospital District or Authority,16.0,40.118445,-102.736654,CO,3.4,7.5,,
525,SPANISH PEAKS REGIONAL HEALTH CENTER (061316),2022,Critical Access,Government - Hospital District or Authority,141.0,37.607688,-104.819786,CO,8.3,,,
526,GRAND RIVER HOSPITAL DISTRICT (061317),2022,Critical Access,Government - Hospital District or Authority,66.0,39.522587,-107.77201,CO,10.4,13.1,,1.9
527,MIDDLE PARK MEDICAL CENTER (061318),2022,Critical Access,Government - Hospital District or Authority,21.0,40.0575,-106.391183,CO,4.1,11.5,,
528,ST VINCENT GENERAL HOSPITAL DISTRICT (061319),2022,Critical Access,Government - Hospital District or Authority,15.0,39.244392,-106.303302,CO,3.1,,,
529,GUNNISON VALLEY HOSPITAL (061320),2022,Critical Access,Government - Local,20.0,38.551089,-106.924321,CO,8.4,12.8,,
530,MT SAN RAFAEL HOSPITAL (061321),2022,Critical Access,Voluntary non-profit - Private,25.0,37.17338,-104.488796,CO,9.2,9.1,,
531,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER (061322),2022,Critical Access,Government - Hospital District or Authority,25.0,38.543102,-106.007291,CO,14.2,4.7,,0.8
532,ASPEN VALLEY HOSPITAL (061324),2022,Critical Access,Government - Hospital District or Authority,25.0,39.190057,-106.837784,CO,9.2,12.8,,2.5
533,EASTERN RIO BLANCO COUNTY HEALTH SERVICE DISTRICT (061325),2022,Critical Access,Government - Hospital District or Authority,44.0,,,CO,,7.1,,
534,UCHEALTH PIKES PEAK REGIONAL HOSPITAL (061326),2022,Critical Access,Voluntary non-profit - Private,15.0,38.973932,-105.074267,CO,2.7,7.3,,
535,SOUTHWEST MEMORIAL HOSPITAL (061327),2022,Critical Access,Voluntary non-profit - Private,25.0,37.36214,-108.572739,CO,2.9,8.6,,
536,PAGOSA SPRINGS MEDICAL CENTER (061328),2022,Critical Access,Government - Hospital District or Authority,11.0,37.252776,-107.077219,CO,6.9,8.0,43.2,
537,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (061336),2022,Critical Access,Voluntary non-profit - Private,124.0,37.976929,-103.548742,CO,5.3,8.0,,
538,CENTURA HEALTH-ST THOMAS MORE HOSPITAL (061344),2022,Critical Access,Voluntary non-profit - Private,116.0,38.455747,-105.230264,CO,6.2,9.3,,1.8
539,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2022,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,1.6,16.8,44.0,0.8
540,DAY KIMBALL HOSPITAL (070003),2022,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,5.3,8.5,,3.5
541,SHARON HOSPITAL (070004),2022,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,6.5,15.4,,4.1
542,WATERBURY HOSPITAL (070005),2022,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,2.5,,,4.1
543,STAMFORD HOSPITAL (070006),2022,Acute Care,Voluntary non-profit - Private,303.0,,,CT,4.7,37.8,46.3,7.5
544,LAWRENCE & MEMORIAL HOSPITAL (070007),2022,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,6.0,14.0,45.9,2.6
545,JOHNSON MEMORIAL HOSPITAL (070008),2022,Acute Care,Voluntary non-profit - Private,88.0,,,CT,0.3,14.3,,
546,BRIDGEPORT HOSPITAL (070010),2022,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,3.4,27.7,,5.6
547,CHARLOTTE HUNGERFORD HOSPITAL (070011),2022,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,2.4,32.1,,7.5
548,ROCKVILLE GENERAL HOSPITAL (070012),2022,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,2.8,15.5,,
549,SAINT MARY'S HOSPITAL (070016),2022,Acute Care,Voluntary non-profit - Other,167.0,,,CT,3.8,20.8,,6.5
550,MIDSTATE MEDICAL CENTER (070017),2022,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,0.8,31.3,,
551,GREENWICH HOSPITAL ASSOCIATION - (070018),2022,Acute Care,Voluntary non-profit - Private,184.0,41.034395,-73.629632,CT,6.6,44.8,,3.6
552,MIDDLESEX HOSPITAL (070020),2022,Acute Care,Voluntary non-profit - Private,228.0,41.554865,-72.647633,CT,4.1,36.8,42.2,
553,WINDHAM COMMUNITY MEMORIAL HOSPITAL (070021),2022,Acute Care,Voluntary non-profit - Private,64.0,41.716569,-72.224068,CT,3.7,12.6,,2.0
554,YALE-NEW HAVEN HOSPITAL (070022),2022,Acute Care,Voluntary non-profit - Private,1347.0,41.304285,-72.934689,CT,5.3,25.0,47.4,3.4
555,WILLIAM W BACKUS HOSPITAL (070024),2022,Acute Care,Voluntary non-profit - Other,184.0,41.543402,-72.086747,CT,7.1,16.5,42.0,4.5
556,HARTFORD HOSPITAL (070025),2022,Acute Care,Voluntary non-profit - Private,895.0,41.754123,-72.68082,CT,3.3,10.6,,9.8
557,MANCHESTER MEMORIAL HOSPITAL (070027),2022,Acute Care,Voluntary non-profit - Private,182.0,41.781087,-72.525221,CT,2.8,18.3,,3.8
558,ST VINCENT'S MEDICAL CENTER (070028),2022,Acute Care,Voluntary non-profit - Church,350.0,41.200083,-73.202486,CT,3.0,37.6,,4.5
559,BRISTOL HOSPITAL (070029),2022,Acute Care,Voluntary non-profit - Private,123.0,41.676078,-72.934878,CT,2.9,24.6,,1.9
560,GRIFFIN HOSPITAL (070031),2022,Acute Care,Voluntary non-profit - Other,119.0,41.335978,-73.088689,CT,1.9,29.8,,2.2
561,DANBURY HOSPITAL (070033),2022,Acute Care,Voluntary non-profit - Private,370.0,41.406776,-73.444339,CT,6.5,33.7,43.0,4.9
562,NORWALK HOSPITAL (070034),2022,Acute Care,Voluntary non-profit - Private,278.0,41.110415,-73.421229,CT,9.2,38.4,37.9,4.9
563,THE HOSPITAL OF CENTRAL CONNECTICUT (070035),2022,Acute Care,Voluntary non-profit - Other,297.0,41.662015,-72.787799,CT,3.5,24.8,35.1,
564,JOHN DEMPSEY HOSPITAL (070036),2022,Acute Care,Government - Local,160.0,41.73509,-72.79582,CT,2.3,25.1,37.5,7.8
565,CHRISTIANA HOSPITAL (080001),2022,Acute Care,Voluntary non-profit - Private,1132.0,39.689909,-75.673228,DE,4.6,6.7,53.0,5.5
566,ST FRANCIS HOSPITAL (080003),2022,Acute Care,Voluntary non-profit - Private,161.0,,,DE,2.3,19.5,,
567,"BAYHEALTH HOSPITAL, KENT CAMPUS (080004)",2022,Acute Care,Voluntary non-profit - Private,268.0,39.150687,-75.522327,DE,3.7,11.8,25.3,2.6
568,"TIDALHEALTH NANTICOKE, INC. (080006)",2022,Acute Care,Voluntary non-profit - Private,112.0,38.642332,-75.605325,DE,5.2,7.8,,1.2
569,BEEBE MEDICAL CENTER (080007),2022,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,3.3,5.9,34.2,2.7
570,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS (080009)",2022,Acute Care,Voluntary non-profit - Private,158.0,,,DE,3.7,11.2,38.9,3.1
571,GEORGE WASHINGTON UNIV HOSPITAL (090001),2022,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,9.0,11.0,48.0,4.2
