,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
736,EMORY UNIVERSITY HOSPITAL (110010),2014,Acute Care,Voluntary non-profit - Private,612.0,33.791881,-84.320977,GA,14.2,36.3,9.2,7.4,1.6,0.1
737,TANNER MEDICAL CENTER - CARROLLTON (110011),2014,Acute Care,Government - Hospital District or Authority,175.0,33.570555,-85.072464,GA,7.7,36.7,6.6,5.6,1.6,3.0
738,TANNER MEDICAL CENTER VILLA RICA (110015),2014,Acute Care,Government - Hospital District or Authority,118.0,33.742992,-84.919477,GA,8.8,,7.2,4.2,1.2,3.7
739,WEST GEORGIA MEDICAL CENTER (110016),2014,Acute Care,Government - Hospital District or Authority,456.0,33.031301,-85.056671,GA,4.0,,6.1,6.1,2.0,6.6
740,NEWTON MEDICAL CENTER (110018),2014,Acute Care,Voluntary non-profit - Private,92.0,33.602673,-83.848082,GA,16.1,41.0,7.6,,3.2,11.8
741,GORDON HOSPITAL (110023),2014,Acute Care,Voluntary non-profit - Church,69.0,34.511878,-84.92537,GA,16.0,29.1,10.5,5.1,1.1,8.3
742,CANDLER HOSPITAL (110024),2014,Acute Care,Voluntary non-profit - Other,260.0,32.027361,-81.101731,GA,38.0,45.5,6.6,3.7,3.2,3.3
743,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS (110025),2014,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,7.5,27.9,3.5,6.5,4.7,4.7
744,ELBERT MEMORIAL HOSPITAL (110026),2014,Acute Care,Government - Hospital District or Authority,52.0,34.113068,-82.875601,GA,23.5,,4.6,,,
745,"TY COBB REGIONAL MEDICAL CENTER, LLC (110027)",2014,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,10.8,50.0,23.7,4.7,3.9,6.6
746,UNIVERSITY HOSPITAL (110028),2014,Acute Care,Voluntary non-profit - Other,530.0,33.472989,-81.981332,GA,6.1,27.7,9.7,4.5,1.1,6.3
747,"NORTHEAST GEORGIA MEDICAL CENTER, INC (110029)",2014,Acute Care,Government - Local,856.0,34.30335,-83.81737,GA,3.8,35.3,8.8,5.2,2.2,0.6
748,CARTERSVILLE MEDICAL CENTER (110030),2014,Acute Care,Voluntary non-profit - Private,116.0,,,GA,6.2,38.0,12.4,9.4,4.5,1.5
749,SPALDING REGIONAL HOSPITAL (110031),2014,Acute Care,Proprietary,160.0,33.239215,-84.265671,GA,4.7,,6.1,8.2,0.8,1.8
750,STEPHENS COUNTY HOSPITAL (110032),2014,Acute Care,Government - Hospital District or Authority,75.0,34.59302,-83.347172,GA,9.0,,12.8,5.0,,8.7
751,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS (110034),2014,Acute Care,Voluntary non-profit - Other,481.0,33.471029,-81.991453,GA,15.2,32.7,3.4,6.4,0.5,0.0
752,WELLSTAR KENNESTONE HOSPITAL (110035),2014,Acute Care,Voluntary non-profit - Other,617.0,33.968128,-84.551241,GA,7.8,27.3,16.5,4.4,2.1,0.5
753,"MEMORIAL HEALTH UNIV MED CEN, INC (110036)",2014,Acute Care,Voluntary non-profit - Other,534.0,32.031785,-81.091827,GA,34.6,42.0,8.9,3.8,2.5,22.3
754,JOHN D ARCHBOLD MEMORIAL HOSPITAL (110038),2014,Acute Care,Voluntary non-profit - Private,328.0,,,GA,11.4,35.0,9.4,6.8,1.6,1.9
755,TRINITY HOSPITAL OF AUGUSTA (110039),2014,Acute Care,Proprietary,150.0,,,GA,7.9,,13.0,9.4,,11.6
756,NORTHRIDGE MEDICAL CENTER (110040),2014,Acute Care,Government - Hospital District or Authority,217.0,34.218475,-83.469116,GA,3.2,,39.5,,,3.6
757,HABERSHAM COUNTY MEDICAL CTR (110041),2014,Acute Care,Government - Hospital District or Authority,137.0,34.405879,-83.485989,GA,3.3,55.6,14.2,3.9,4.1,1.0
758,WELLSTAR PAULDING HOSPITAL (110042),2014,Acute Care,Voluntary non-profit - Other,259.0,33.902429,-84.782727,GA,5.9,35.2,11.6,5.4,,0.8
759,ST JOSEPH'S HOSPITAL - SAVANNAH (110043),2014,Acute Care,Voluntary non-profit - Private,246.0,31.985079,-81.152792,GA,20.8,,4.2,6.7,2.9,0.6
760,PHOEBE SUMTER MEDICAL CENTER (110044),2014,Acute Care,Government - Hospital District or Authority,54.0,32.06425,-84.255376,GA,2.0,,12.3,,6.2,0.0
761,BARROW REGIONAL MEDICAL CENTER (110045),2014,Acute Care,Proprietary,55.0,34.007701,-83.706706,GA,2.8,36.2,8.8,,4.4,4.1
762,CLEARVIEW  REGIONAL MEDICAL CENTER (110046),2014,Acute Care,Proprietary,81.0,33.798635,-83.746316,GA,7.4,,11.9,5.8,4.3,7.0
763,MURRAY MEDICAL CENTER (110050),2014,Acute Care,Voluntary non-profit - Private,28.0,34.779951,-84.782125,GA,7.1,,11.5,,,8.0
764,UNION GENERAL HOSPITAL (110051),2014,Acute Care,Government - Hospital District or Authority,190.0,34.884842,-83.963026,GA,4.8,40.3,7.8,9.6,0.8,1.6
765,FLOYD MEDICAL CENTER (110054),2014,Acute Care,Government - Hospital District or Authority,293.0,34.260454,-85.179957,GA,1.4,34.3,9.7,5.7,2.2,0.0
766,MIDTOWN MEDICAL CENTER (110064),2014,Acute Care,Voluntary non-profit - Other,367.0,32.481728,-84.982008,GA,3.3,43.7,4.3,5.5,1.4,0.8
767,HOUSTON MEDICAL CENTER (110069),2014,Acute Care,Voluntary non-profit - Private,236.0,32.618198,-83.62941,GA,22.1,37.8,4.4,,2.6,8.8
768,APPLING HOSPITAL (110071),2014,Acute Care,Government - Hospital District or Authority,158.0,31.768768,-82.349351,GA,21.8,47.5,11.1,2.2,,15.4
769,DORMINY MEDICAL CENTER (110073),2014,Acute Care,Government - Hospital District or Authority,60.0,31.697918,-83.260975,GA,36.7,,12.9,6.0,,40.2
770,ATHENS REGIONAL MEDICAL CENTER (110074),2014,Acute Care,Voluntary non-profit - Other,350.0,33.962377,-83.397733,GA,5.7,36.6,6.9,6.8,0.8,0.1
771,EAST GEORGIA REGIONAL MEDICAL CENTER (110075),2014,Acute Care,Proprietary,146.0,32.415171,-81.76865,GA,42.4,48.8,10.2,4.5,3.0,45.5
772,DEKALB MEDICAL CENTER (110076),2014,Acute Care,Voluntary non-profit - Private,431.0,33.79216,-84.282679,GA,6.0,47.9,6.7,3.9,4.6,0.0
773,EMORY UNIVERSITY HOSPITAL MIDTOWN (110078),2014,Acute Care,Voluntary non-profit - Private,481.0,33.769592,-84.385188,GA,7.9,41.9,9.0,4.8,2.4,0.0
774,GRADY MEMORIAL HOSPITAL (110079),2014,Acute Care,Voluntary non-profit - Other,938.0,33.752156,-84.382609,GA,9.1,30.9,6.5,3.8,1.2,4.0
775,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC (110082)",2014,Acute Care,Voluntary non-profit - Private,294.0,33.908634,-84.35182,GA,4.8,32.7,7.2,4.6,1.4,0.3
776,PIEDMONT HOSPITAL (110083),2014,Acute Care,Voluntary non-profit - Private,512.0,33.808802,-84.393369,GA,8.4,37.8,9.7,5.5,1.3,0.7
777,WASHINGTON COUNTY REGIONAL MEDICAL CENTER (110086),2014,Acute Care,Government - Hospital District or Authority,115.0,32.996817,-82.805042,GA,20.9,,5.8,,,19.4
778,GWINNETT MEDICAL CENTER (110087),2014,Acute Care,Government - Hospital District or Authority,553.0,33.966455,-84.013012,GA,5.6,34.8,16.0,5.1,0.8,3.0
779,COFFEE REGIONAL MEDICAL CENTER (110089),2014,Acute Care,Government - Hospital District or Authority,86.0,31.509589,-82.86346,GA,17.0,37.4,10.5,8.3,5.0,21.2
780,ROCKDALE MEDICAL CENTER (110091),2014,Acute Care,Proprietary,141.0,33.682239,-84.001941,GA,7.0,41.4,10.9,7.5,2.8,2.4
781,DODGE COUNTY HOSPITAL (110092),2014,Acute Care,Government - Hospital District or Authority,49.0,32.186055,-83.178591,GA,21.0,,4.2,,,21.5
782,TIFT REGIONAL MEDICAL CENTER (110095),2014,Acute Care,Government - Hospital District or Authority,185.0,31.470402,-83.491076,GA,3.0,34.2,16.6,5.1,2.3,0.1
783,JEFFERSON HOSPITAL (110100),2014,Acute Care,Government - Hospital District or Authority,38.0,33.00976,-82.404384,GA,5.2,,8.9,,5.7,
784,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR (110101),2014,Acute Care,Proprietary,134.0,31.109181,-83.426372,GA,29.7,,15.0,,,30.8
785,CRISP REGIONAL HOSPITAL (110104),2014,Acute Care,Government - Hospital District or Authority,210.0,31.977515,-83.782846,GA,10.3,35.8,4.7,5.0,4.7,1.5
786,COLQUITT REGIONAL MEDICAL CENTER (110105),2014,Acute Care,Government - Hospital District or Authority,132.0,31.126747,-83.782918,GA,6.4,31.4,8.8,5.1,,0.0
787,MEDICAL CENTER OF CENTRAL GEORGIA (110107),2014,Acute Care,Government - Hospital District or Authority,615.0,32.833202,-83.636553,GA,10.4,,4.4,6.1,2.2,1.3
788,EMANUEL COUNTY HOSPITAL AUTHORITY (110109),2014,Acute Care,Government - Hospital District or Authority,97.0,32.59321,-82.346552,GA,26.1,,14.9,,,35.7
789,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER (110111),2014,Acute Care,Government - Hospital District or Authority,25.0,33.523226,-82.504478,GA,12.8,,10.9,,1.0,18.8
790,BURKE MEDICAL CENTER (110113),2014,Acute Care,Proprietary,40.0,33.083439,-82.011603,GA,5.8,,13.7,,,
791,ATLANTA MEDICAL CENTER (110115),2014,Acute Care,Proprietary,517.0,33.76327,-84.373986,GA,5.1,40.9,4.2,6.5,1.1,4.0
792,GRADY GENERAL HOSPITAL (110121),2014,Acute Care,Voluntary non-profit - Private,45.0,30.863393,-84.200261,GA,2.3,43.2,7.0,,,1.2
793,SOUTH GEORGIA MEDICAL CENTER (110122),2014,Acute Care,Government - Hospital District or Authority,312.0,30.86175,-83.288863,GA,25.4,38.5,8.8,6.2,2.2,7.6
794,WAYNE MEMORIAL HOSPITAL (110124),2014,Acute Care,Government - Hospital District or Authority,102.0,31.602952,-81.899094,GA,11.1,43.2,13.4,4.4,,14.8
795,FAIRVIEW PARK HOSPITAL (110125),2014,Acute Care,Proprietary,154.0,32.53429,-82.950571,GA,3.7,,4.1,4.0,1.8,0.5
796,MEADOWS REGIONAL MEDICAL CENTER (110128),2014,Acute Care,Proprietary,64.0,,,GA,12.6,37.2,8.7,4.7,2.7,1.4
797,"ST FRANCIS HOSPITAL, INC (110129)",2014,Acute Care,Voluntary non-profit - Private,325.0,32.506927,-84.961378,GA,9.9,33.5,7.8,1.2,1.4,1.7
798,IRWIN COUNTY HOSPITAL (110130),2014,Acute Care,Government - Hospital District or Authority,64.0,31.602797,-83.250331,GA,25.0,,9.6,,,
799,MEMORIAL HOSPITAL AND MANOR (110132),2014,Acute Care,Government - Hospital District or Authority,187.0,30.903781,-84.55367,GA,18.1,34.7,3.0,,,9.7
800,TAYLOR REGIONAL HOSPITAL (110135),2014,Acute Care,Voluntary non-profit - Private,128.0,32.295625,-83.48581,GA,7.2,45.0,7.0,4.5,,0.5
801,EVANS MEMORIAL HOSPITAL (110142),2014,Acute Care,Government - Hospital District or Authority,79.0,32.164133,-81.900403,GA,29.1,,12.1,,,12.1
802,WELLSTAR COBB HOSPITAL (110143),2014,Acute Care,Voluntary non-profit - Other,377.0,33.856701,-84.601561,GA,8.5,,12.9,5.6,2.0,0.6
803,SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS (110146),2014,Acute Care,Government - Hospital District or Authority,40.0,30.781226,-81.616234,GA,11.7,42.9,3.0,3.1,,18.1
804,OCONEE REGIONAL MEDICAL CENTER (110150),2014,Acute Care,Voluntary non-profit - Private,113.0,33.088431,-83.245145,GA,9.6,,8.8,5.6,2.3,13.1
805,PERRY HOSPITAL (110153),2014,Acute Care,Voluntary non-profit - Private,39.0,32.459475,-83.711227,GA,23.8,,4.1,,,11.9
806,NORTHSIDE HOSPITAL (110161),2014,Acute Care,Voluntary non-profit - Private,558.0,33.907895,-84.354754,GA,9.2,38.0,9.0,7.0,1.4,0.1
807,COLISEUM MEDICAL CENTER (110164),2014,Acute Care,Voluntary non-profit - Private,257.0,32.847315,-83.62027,GA,1.1,,7.4,,2.7,0.7
808,SOUTHERN REGIONAL MEDICAL CENTER (110165),2014,Acute Care,Voluntary non-profit - Private,272.0,33.577524,-84.390432,GA,6.1,,11.0,4.6,1.1,3.6
809,REDMOND REGIONAL MEDICAL CENTER (110168),2014,Acute Care,Proprietary,225.0,34.278191,-85.194131,GA,4.8,40.9,15.2,6.2,2.3,3.2
810,DOCTORS HOSPITAL (110177),2014,Acute Care,Proprietary,292.0,33.482477,-82.091092,GA,3.8,40.7,10.8,5.6,1.4,0.6
811,EMORY-ADVENTIST HOSPITAL (110183),2014,Acute Care,Voluntary non-profit - Church,73.0,,,GA,4.7,,8.3,,1.6,
812,WELLSTAR DOUGLAS HOSPITAL (110184),2014,Acute Care,Voluntary non-profit - Private,102.0,33.738973,-84.73305,GA,12.0,43.5,16.0,6.6,,1.1
813,DOCTORS SPECIALTY HOSPITAL (110186),2014,Acute Care,Government - Hospital District or Authority,132.0,,,GA,3.4,,,,,0.0
814,CHESTATEE REGIONAL HOSPITAL (110187),2014,Acute Care,Proprietary,48.0,,,GA,5.7,,9.1,,,
815,FANNIN REGIONAL HOSPITAL (110189),2014,Acute Care,Proprietary,50.0,34.916923,-84.375509,GA,10.4,,5.1,1.8,,7.9
816,FLINT RIVER HOSPITAL (110190),2014,Acute Care,Proprietary,47.0,32.295415,-84.030228,GA,1.7,,,,,3.1
817,PIEDMONT HENRY HOSPITAL (110191),2014,Acute Care,Government - Hospital District or Authority,310.0,33.508996,-84.225561,GA,7.7,39.0,8.7,8.8,2.2,0.9
818,EASTSIDE MEDICAL CENTER (110192),2014,Acute Care,Proprietary,276.0,33.877259,-84.019645,GA,6.0,40.0,8.9,5.9,1.0,1.4
819,DONALSONVILLE HOSPITAL INC (110194),2014,Acute Care,Voluntary non-profit - Private,138.0,31.050707,-84.880123,GA,20.1,,5.2,,1.1,
820,NORTH FULTON HOSPITAL (110198),2014,Acute Care,Proprietary,201.0,34.062989,-84.322477,GA,2.3,27.6,7.5,8.0,0.6,0.0
821,NORTHSIDE MEDICAL CENTER (110200),2014,Acute Care,Proprietary,93.0,32.53588,-84.954383,GA,,27.1,,,,
822,COLISEUM NORTHSIDE HOSPITAL (110201),2014,Acute Care,Proprietary,86.0,32.869861,-83.694361,GA,3.3,,5.6,,,
823,NORTH GEORGIA MEDICAL CENTER (110205),2014,Acute Care,Proprietary,140.0,,,GA,15.1,,6.0,3.8,,
824,PIEDMONT FAYETTE HOSPITAL (110215),2014,Acute Care,Voluntary non-profit - Private,218.0,33.450593,-84.510526,GA,3.9,30.4,6.8,6.6,1.4,0.6
825,PIEDMONT MOUNTAINSIDE HOSPITAL INC (110225),2014,Acute Care,Voluntary non-profit - Other,50.0,34.447466,-84.446561,GA,17.1,30.9,8.1,5.0,2.1,11.6
826,DEKALB MEDICAL CENTER AT HILLANDALE (110226),2014,Acute Care,Government - Hospital District or Authority,92.0,33.705488,-84.146927,GA,3.9,,8.2,4.4,,0.0
827,"PIEDMONT NEWNAN HOSPITAL, INC (110229)",2014,Acute Care,Voluntary non-profit - Private,145.0,33.359363,-84.754062,GA,4.7,,6.1,6.1,1.7,0.3
828,EMORY JOHNS CREEK HOSPITAL (110230),2014,Acute Care,Proprietary,122.0,34.067466,-84.175187,GA,1.8,,5.7,10.4,,0.0
829,BLECKLEY MEMORIAL HOSPITAL (111302),2014,Critical Access,Government - Hospital District or Authority,15.0,32.384545,-83.345927,GA,2.7,,,,,
830,JASPER MEMORIAL HOSPITAL (111303),2014,Critical Access,Government - Local,67.0,33.313982,-83.686877,GA,4.0,,,,0.0,
831,MORGAN MEMORIAL HOSPITAL (111304),2014,Critical Access,Government - Hospital District or Authority,29.0,33.567545,-83.472004,GA,7.3,,6.9,,0.0,3.9
832,MILLER COUNTY HOSPITAL (111305),2014,Critical Access,Government - Hospital District or Authority,142.0,31.17548,-84.734548,GA,13.7,,,,,31.0
833,EFFINGHAM COUNTY HOSPITAL (111306),2014,Critical Access,Government - Hospital District or Authority,130.0,32.364734,-81.321664,GA,25.1,41.0,9.6,,,21.0
834,"MEDICAL CENTER OF PEACH COUNTY, THE (111310)",2014,Critical Access,Government - Hospital District or Authority,25.0,32.606568,-83.758449,GA,23.8,,1.5,,,
835,PUTNAM GENERAL HOSPITAL (111313),2014,Critical Access,Government - Hospital District or Authority,25.0,33.335519,-83.370844,GA,16.4,,9.4,,,11.9
836,MONROE COUNTY HOSPITAL (111318),2014,Critical Access,Government - Hospital District or Authority,25.0,33.031981,-83.946494,GA,1.3,,2.5,,,2.0
837,HIGGINS GENERAL HOSPITAL (111320),2014,Critical Access,Government - Hospital District or Authority,16.0,33.716343,-85.144623,GA,5.9,,7.2,2.0,,4.8
838,WILLS MEMORIAL HOSPITAL (111325),2014,Critical Access,Government - Hospital District or Authority,25.0,33.729302,-82.742388,GA,39.2,,,,,33.3
839,BACON COUNTY HOSPITAL (111327),2014,Critical Access,Voluntary non-profit - Other,113.0,31.53911,-82.459687,GA,5.4,50.0,9.5,,,36.1
840,ST MARY'S GOOD SAMARITAN HOSPITAL (111329),2014,Critical Access,Proprietary,25.0,33.479921,-83.241645,GA,14.4,,6.2,,,12.7
841,POLK MEDICAL CENTER (111330),2014,Critical Access,Government - Hospital District or Authority,24.0,34.014927,-85.19502,GA,0.0,,9.1,,,
842,JEFF DAVIS HOSPITAL (111333),2014,Critical Access,Government - Hospital District or Authority,28.0,31.857893,-82.607397,GA,16.4,,10.1,,,
843,LIBERTY REGIONAL MEDICAL CENTER (111335),2014,Critical Access,Government - Hospital District or Authority,132.0,,,GA,4.8,,3.0,,,0.4
844,THE QUEENS MEDICAL CENTER (120001),2014,Acute Care,Voluntary non-profit - Private,585.0,21.308307,-157.854965,HI,5.4,40.2,5.8,3.3,3.3,0.1
845,MAUI MEMORIAL MEDICAL CENTER (120002),2014,Acute Care,Government - State,217.0,20.884455,-156.488087,HI,1.8,,,4.5,1.3,0.0
846,WAHIAWA GENERAL HOSPITAL (120004),2014,Acute Care,Voluntary non-profit - Private,157.0,21.498511,-158.027299,HI,2.3,,6.4,2.1,,5.6
847,HILO MEDICAL CENTER (120005),2014,Acute Care,Government - State,264.0,19.717467,-155.113513,HI,52.0,,,5.7,2.0,3.3
848,CASTLE MEDICAL CENTER (120006),2014,Acute Care,Voluntary non-profit - Church,160.0,21.381502,-157.757229,HI,0.6,,21.7,1.7,,0.0
849,KUAKINI MEDICAL CENTER (120007),2014,Acute Care,Voluntary non-profit - Private,342.0,21.322211,-157.856211,HI,8.1,34.0,9.1,6.3,1.1,0.8
850,WILCOX MEMORIAL HOSPITAL (120014),2014,Acute Care,Government - Federal,72.0,21.987043,-159.366198,HI,1.3,40.0,3.8,3.0,,0.0
851,KONA COMMUNITY HOSPITAL (120019),2014,Acute Care,Government - State,93.0,19.519237,-155.917719,HI,45.6,,,,,5.4
852,STRAUB CLINIC AND HOSPITAL (120022),2014,Acute Care,Proprietary,159.0,21.302268,-157.850921,HI,6.7,31.0,9.8,4.3,2.9,0.4
853,PALI MOMI MEDICAL CENTER (120026),2014,Acute Care,Proprietary,121.0,21.383988,-157.937675,HI,5.9,39.8,7.6,3.2,1.1,0.6
854,NORTH HAWAII COMMUNITY HOSPITAL (120028),2014,Acute Care,Voluntary non-profit - Private,34.0,,,HI,8.3,,11.8,2.4,,3.1
855,ST LUKE'S MAGIC VALLEY RMC (130002),2014,Acute Care,Voluntary non-profit - Private,205.0,42.591595,-114.496998,ID,7.5,37.2,7.1,6.1,0.9,0.2
856,ST JOSEPH REGIONAL MEDICAL CENTER (130003),2014,Acute Care,Voluntary non-profit - Private,122.0,46.417121,-117.024997,ID,3.1,34.5,10.6,4.1,,0.0
857,ST LUKE'S REGIONAL MEDICAL CENTER (130006),2014,Acute Care,Voluntary non-profit - Private,569.0,43.612157,-116.192202,ID,7.5,37.3,8.4,4.8,1.6,0.9
858,ST ALPHONSUS REGIONAL MEDICAL CENTER (130007),2014,Acute Care,Voluntary non-profit - Church,380.0,43.614072,-116.253622,ID,3.5,,8.9,4.8,0.2,1.7
859,SAINT ALPHONSUS MEDICAL CENTER - NAMPA (130013),2014,Acute Care,Voluntary non-profit - Church,128.0,43.596332,-116.519174,ID,1.6,,9.2,4.6,,0.6
860,WEST VALLEY MEDICAL CENTER (130014),2014,Acute Care,Proprietary,108.0,43.65422,-116.69564,ID,4.6,,10.5,5.1,0.4,0.0
861,EASTERN IDAHO REGIONAL MEDICAL CENTER (130018),2014,Acute Care,Proprietary,313.0,43.470276,-111.990159,ID,2.3,42.4,5.8,4.5,2.0,0.0
862,MADISON MEMORIAL HOSPITAL (130025),2014,Acute Care,Government - Local,68.0,43.826051,-111.773148,ID,1.8,,,2.0,,2.7
863,PORTNEUF MEDICAL CENTER (130028),2014,Acute Care,Proprietary,168.0,42.872621,-112.4189,ID,7.9,41.2,7.1,4.8,1.8,3.8
864,KOOTENAI MEDICAL CENTER (130049),2014,Acute Care,Government - Hospital District or Authority,286.0,47.694597,-116.792669,ID,9.0,35.8,6.7,4.3,2.6,0.4
865,MOUNTAIN VIEW HOSPITAL (130065),2014,Acute Care,Proprietary,41.0,43.472524,-111.988717,ID,4.3,41.3,6.9,,,0.0
866,NORTHWEST SPECIALTY HOSPITAL (130066),2014,Acute Care,Proprietary,34.0,47.71441,-116.924455,ID,4.1,32.9,,,,1.7
867,TETON VALLEY HOSPITAL (131313),2014,Critical Access,Voluntary non-profit - Private,13.0,43.727285,-111.108608,ID,,,6.3,,,
868,SYRINGA GENERAL HOSPITAL (131315),2014,Critical Access,Government - Hospital District or Authority,15.0,45.926789,-116.126994,ID,15.0,,,,,
869,BENEWAH COMMUNITY HOSPITAL (131317),2014,Critical Access,Government - Local,19.0,47.314613,-116.566678,ID,9.1,,4.7,,0.0,1.3
870,WALTER KNOX MEMORIAL HOSPITAL (131318),2014,Critical Access,Government - Local,14.0,43.879078,-116.485255,ID,4.7,,,,0.0,1.8
871,CASSIA REGIONAL MEDICAL CENTER (131326),2014,Critical Access,Voluntary non-profit - Private,26.0,42.534204,-113.783419,ID,4.5,40.8,14.2,7.5,,1.2
872,BONNER GENERAL HOSPITAL (131328),2014,Critical Access,Voluntary non-profit - Private,25.0,48.277485,-116.550314,ID,4.8,45.2,14.8,4.4,1.0,0.4
873,GRAHAM HOSPITAL ASSOCIATION (140001),2014,Acute Care,Voluntary non-profit - Other,86.0,40.553293,-90.038115,IL,5.7,40.0,11.5,2.0,,0.3
874,ALTON MEMORIAL HOSPITAL (140002),2014,Acute Care,Voluntary non-profit - Private,157.0,,,IL,2.9,,4.5,8.0,5.3,0.2
875,PRESENCE SAINT JOSEPH MEDICAL CENTER (140007),2014,Acute Care,Voluntary non-profit - Church,457.0,41.528248,-88.134645,IL,17.7,31.9,5.4,8.4,2.7,3.3
876,LOYOLA GOTTLIEB MEMORIAL HOSPITAL (140008),2014,Acute Care,Voluntary non-profit - Private,227.0,41.908342,-87.841101,IL,13.3,42.7,8.2,4.7,,3.5
877,EVANSTON HOSPITAL (140010),2014,Acute Care,Voluntary non-profit - Other,737.0,42.0653,-87.683293,IL,8.9,35.3,4.7,6.4,2.3,2.6
878,HERRIN HOSPITAL (140011),2014,Acute Care,Voluntary non-profit - Private,113.0,37.801613,-89.026508,IL,12.6,37.3,10.8,7.2,3.9,12.7
879,KATHERINE SHAW BETHEA HOSPITAL (140012),2014,Acute Care,Voluntary non-profit - Private,80.0,41.84423,-89.480131,IL,4.6,29.2,10.4,4.2,,0.4
880,PROCTOR HOSPITAL (140013),2014,Acute Care,Voluntary non-profit - Private,162.0,40.752496,-89.593254,IL,6.7,43.1,7.0,2.5,2.1,5.0
881,BLESSING HOSPITAL (140015),2014,Acute Care,Voluntary non-profit - Private,310.0,40.393084,-91.344081,IL,3.3,41.0,7.3,5.4,2.6,0.0
882,MT SINAI HOSPITAL MEDICAL CENTER (140018),2014,Acute Care,Voluntary non-profit - Private,280.0,,,IL,5.5,,6.5,4.8,1.0,1.6
883,SHELBY MEMORIAL HOSPITAL (140019),2014,Acute Care,Voluntary non-profit - Private,30.0,39.405801,-88.807113,IL,5.9,,14.9,8.4,,0.9
884,ST MARYS HOSPITAL (140026),2014,Acute Care,Voluntary non-profit - Church,105.0,,,IL,21.6,41.0,5.4,3.1,1.4,6.1
885,COPLEY MEMORIAL HOSPITAL (140029),2014,Acute Care,Voluntary non-profit - Private,210.0,41.727722,-88.268415,IL,4.7,40.0,5.9,7.7,1.7,0.8
886,SHERMAN HOSPITAL (140030),2014,Acute Care,Voluntary non-profit - Private,255.0,42.070221,-88.331468,IL,8.3,26.5,6.4,6.3,2.6,1.9
887,ST ANTHONYS MEMORIAL HOSPITAL (140032),2014,Acute Care,Voluntary non-profit - Church,137.0,39.124496,-88.549274,IL,6.0,35.3,9.8,3.8,2.9,2.2
888,ST MARYS HOSPITAL (140034),2014,Acute Care,Voluntary non-profit - Church,112.0,38.530809,-89.115999,IL,23.2,31.0,9.1,12.3,,0.2
889,GALESBURG COTTAGE HOSPITAL (140040),2014,Acute Care,Proprietary,128.0,40.955483,-90.366199,IL,3.5,35.7,8.1,3.2,1.7,1.7
890,CGH MEDICAL CENTER (140043),2014,Acute Care,Government - Local,94.0,41.801564,-89.696733,IL,1.1,34.8,10.7,5.3,1.5,0.5
891,GOOD SAMARITAN REGIONAL HLTH CENTER (140046),2014,Acute Care,Voluntary non-profit - Private,129.0,38.3149,-88.93,IL,18.7,43.6,6.5,4.1,6.0,0.7
892,ADVOCATE TRINITY HOSPITAL (140048),2014,Acute Care,Voluntary non-profit - Other,237.0,41.726211,-87.56725,IL,2.3,28.6,10.7,1.6,0.5,2.7
893,WEST SUBURBAN MEDICAL CENTER (140049),2014,Acute Care,Voluntary non-profit - Other,183.0,41.89184,-87.777471,IL,18.6,32.1,11.8,6.6,1.2,8.4
894,SAINT ANTHONY'S HEALTH CENTER (140052),2014,Acute Care,Voluntary non-profit - Church,104.0,,,IL,12.3,46.9,8.6,4.9,,3.3
895,ST JOHNS HOSPITAL (140053),2014,Acute Care,Voluntary non-profit - Church,409.0,39.807289,-89.644833,IL,15.5,38.0,15.0,4.6,4.0,4.6
896,MACNEAL  HOSPITAL (140054),2014,Acute Care,Proprietary,319.0,41.832002,-87.792783,IL,4.0,44.8,8.6,6.2,4.5,0.5
897,PASSAVANT AREA HOSPITAL (140058),2014,Acute Care,Voluntary non-profit - Private,111.0,39.745268,-90.259912,IL,2.7,50.8,7.1,7.0,3.6,0.6
898,JERSEY COMMUNITY HOSPITAL (140059),2014,Acute Care,Government - Local,46.0,39.109906,-90.341622,IL,23.8,60.3,7.0,,2.2,6.3
899,PALOS COMMUNITY HOSPITAL (140062),2014,Acute Care,Voluntary non-profit - Private,386.0,41.668955,-87.815976,IL,3.4,42.4,9.8,6.6,2.3,0.4
900,RUSH OAK PARK HOSPITAL (140063),2014,Acute Care,Voluntary non-profit - Church,222.0,41.879026,-87.803818,IL,7.3,,7.2,5.7,,0.0
901,ST MARY MEDICAL CENTER (140064),2014,Acute Care,Voluntary non-profit - Church,88.0,40.98702,-90.363609,IL,7.9,41.6,11.2,4.1,1.7,0.5
