,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
1832,OSF SACRED HEART MEDICAL CENTER (140093),2018,Acute Care,Voluntary non-profit - Church,159.0,40.136197,-87.644908,IL,11.6,,11.8,4.5,0.5,3.3
1833,PRESENCE UNITED SAMARITANS MEDICAL CENTER (140093),2018,Acute Care,Voluntary non-profit - Church,159.0,40.136197,-87.644908,IL,11.6,,11.8,4.5,0.5,3.3
1834,SAINT ANTHONY HOSPITAL (140095),2018,Acute Care,Voluntary non-profit - Church,151.0,41.855538,-87.698272,IL,2.1,,2.3,2.0,,0.0
1835,SAINT ANTHONY HOSPITAL (140095),2018,Acute Care,Voluntary non-profit - Church,151.0,41.855538,-87.698272,IL,2.1,,2.3,2.0,,0.0
1836,MIDWESTERN REGION MED CENTER (140100),2018,Acute Care,Proprietary,72.0,42.44897,-87.82684,IL,36.3,,8.3,,,0.0
1837,MIDWESTERN REGION MED CENTER (140100),2018,Acute Care,Proprietary,72.0,42.44897,-87.82684,IL,36.3,,8.3,,,0.0
1838,MORRIS HOSPITAL & HEALTHCARE CENTERS (140101),2018,Acute Care,Voluntary non-profit - Private,88.0,41.368907,-88.426016,IL,10.4,36.5,8.4,3.3,0.7,0.3
1839,MORRIS HOSPITAL & HEALTHCARE CENTERS (140101),2018,Acute Care,Voluntary non-profit - Private,88.0,41.368907,-88.426016,IL,10.4,36.5,8.4,3.3,0.7,0.3
1840,ST BERNARD HOSPITAL (140103),2018,Acute Care,Voluntary non-profit - Private,193.0,41.778114,-87.633273,IL,0.8,,5.7,,,
1841,ST BERNARD HOSPITAL (140103),2018,Acute Care,Voluntary non-profit - Private,193.0,41.778114,-87.633273,IL,0.8,,5.7,,,
1842,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER (140110),2018,Acute Care,Voluntary non-profit - Private,97.0,41.356417,-88.82536,IL,5.2,32.0,9.4,2.8,0.2,0.1
1843,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER (140110),2018,Acute Care,Voluntary non-profit - Private,97.0,41.356417,-88.82536,IL,5.2,32.0,9.4,2.8,0.2,0.1
1844,OSF HEART OF MARY MEDICAL CENTER (140113),2018,Acute Care,Voluntary non-profit - Church,198.0,40.117391,-88.227123,IL,1.9,,12.5,2.6,1.3,0.6
1845,PRESENCE COVENANT MEDICAL CENTER (140113),2018,Acute Care,Voluntary non-profit - Church,198.0,40.117391,-88.227123,IL,1.9,,12.5,2.6,1.3,0.6
1846,SWEDISH COVENANT HOSPITAL (140114),2018,Acute Care,Voluntary non-profit - Church,299.0,41.975219,-87.698918,IL,13.5,40.4,5.3,5.9,1.1,1.6
1847,SWEDISH COVENANT HOSPITAL (140114),2018,Acute Care,Voluntary non-profit - Church,299.0,41.975219,-87.698918,IL,13.5,40.4,5.3,5.9,1.1,1.6
1848,THOREK MEMORIAL HOSPITAL (140115),2018,Acute Care,Voluntary non-profit - Private,154.0,41.954556,-87.650899,IL,7.8,,9.5,4.3,,1.4
1849,THOREK MEMORIAL HOSPITAL (140115),2018,Acute Care,Voluntary non-profit - Private,154.0,41.954556,-87.650899,IL,7.8,,9.5,4.3,,1.4
1850,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL (140116),2018,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL,7.9,31.1,8.9,4.4,1.5,0.8
1851,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL (140116),2018,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL,7.9,31.1,8.9,4.4,1.5,0.8
1852,PRESENCE RESURRECTION MEDICAL CENTER (140117),2018,Acute Care,Voluntary non-profit - Church,468.0,41.988458,-87.81257,IL,8.3,30.4,7.4,6.7,0.9,0.3
1853,PRESENCE RESURRECTION MEDICAL CENTER (140117),2018,Acute Care,Voluntary non-profit - Church,468.0,41.988458,-87.81257,IL,8.3,30.4,7.4,6.7,0.9,0.3
1854,METROSOUTH MEDICAL CENTER (140118),2018,Acute Care,Proprietary,291.0,,,IL,5.4,,4.5,3.3,0.8,3.8
1855,METROSOUTH MEDICAL CENTER (140118),2018,Acute Care,Proprietary,291.0,,,IL,5.4,,4.5,3.3,0.8,3.8
1856,RUSH UNIVERSITY MEDICAL CENTER (140119),2018,Acute Care,Voluntary non-profit - Private,677.0,41.875166,-87.66851,IL,5.3,,11.9,5.6,0.7,1.8
1857,RUSH UNIVERSITY MEDICAL CENTER (140119),2018,Acute Care,Voluntary non-profit - Private,677.0,41.875166,-87.66851,IL,5.3,,11.9,5.6,0.7,1.8
1858,PEKIN MEMORIAL HOSPITAL (140120),2018,Acute Care,Voluntary non-profit - Private,97.0,40.563142,-89.633191,IL,6.5,,8.3,3.6,0.6,0.0
1859,PEKIN MEMORIAL HOSPITAL (140120),2018,Acute Care,Voluntary non-profit - Private,97.0,40.563142,-89.633191,IL,6.5,,8.3,3.6,0.6,0.0
1860,ADVENTIST HINSDALE HOSPITAL (140122),2018,Acute Care,Voluntary non-profit - Church,266.0,41.805329,-87.920062,IL,11.6,46.0,12.1,4.8,1.8,10.3
1861,ADVENTIST HINSDALE HOSPITAL (140122),2018,Acute Care,Voluntary non-profit - Church,266.0,41.805329,-87.920062,IL,11.6,46.0,12.1,4.8,1.8,10.3
1862,JOHN H STROGER JR HOSPITAL (140124),2018,Acute Care,Government - Local,434.0,41.874041,-87.674311,IL,8.6,53.8,5.6,2.0,,0.1
1863,JOHN H STROGER JR HOSPITAL (140124),2018,Acute Care,Government - Local,434.0,41.874041,-87.674311,IL,8.6,53.8,5.6,2.0,,0.1
1864,GATEWAY REGIONAL MEDICAL CENTER (140125),2018,Acute Care,Proprietary,331.0,38.700891,-90.144958,IL,14.9,49.2,6.9,,1.3,7.6
1865,GATEWAY REGIONAL MEDICAL CENTER (140125),2018,Acute Care,Proprietary,331.0,38.700891,-90.144958,IL,14.9,49.2,6.9,,1.3,7.6
1866,ADVOCATE BROMENN MEDICAL CENTER (140127),2018,Acute Care,Voluntary non-profit - Church,215.0,40.496332,-88.99096,IL,5.5,,6.4,6.2,0.4,3.2
1867,ADVOCATE BROMENN MEDICAL CENTER (140127),2018,Acute Care,Voluntary non-profit - Church,215.0,40.496332,-88.99096,IL,5.5,,6.4,6.2,0.4,3.2
1868,NORTHWESTERN LAKE FOREST HOSPITAL (140130),2018,Acute Care,Voluntary non-profit - Other,132.0,42.259134,-87.866327,IL,14.4,50.7,11.0,4.5,0.9,0.3
1869,NORTHWESTERN LAKE FOREST HOSPITAL (140130),2018,Acute Care,Voluntary non-profit - Other,132.0,42.259134,-87.866327,IL,14.4,50.7,11.0,4.5,0.9,0.3
1870,HOLY CROSS HOSPITAL (140133),2018,Acute Care,Voluntary non-profit - Private,221.0,41.770008,-87.691909,IL,0.7,,7.5,3.9,1.0,0.0
1871,HOLY CROSS HOSPITAL (140133),2018,Acute Care,Voluntary non-profit - Private,221.0,41.770008,-87.691909,IL,0.7,,7.5,3.9,1.0,0.0
1872,DECATUR MEMORIAL HOSPITAL (140135),2018,Acute Care,Voluntary non-profit - Other,227.0,39.866492,-88.960912,IL,5.8,40.9,11.8,4.9,1.2,0.6
1873,DECATUR MEMORIAL HOSPITAL (140135),2018,Acute Care,Voluntary non-profit - Other,227.0,39.866492,-88.960912,IL,5.8,40.9,11.8,4.9,1.2,0.6
1874,GREENVILLE REGIONAL HOSPITAL (140137),2018,Acute Care,Voluntary non-profit - Private,74.0,38.90188,-89.408677,IL,5.8,,6.1,,,3.2
1875,GREENVILLE REGIONAL HOSPITAL (140137),2018,Acute Care,Voluntary non-profit - Private,74.0,38.90188,-89.408677,IL,5.8,,6.1,,,3.2
1876,ST MARGARETS HOSPITAL (140143),2018,Acute Care,Voluntary non-profit - Private,56.0,41.328409,-89.192633,IL,10.9,45.7,10.0,5.1,0.4,0.5
1877,ST MARGARETS HOSPITAL (140143),2018,Acute Care,Voluntary non-profit - Private,56.0,41.328409,-89.192633,IL,10.9,45.7,10.0,5.1,0.4,0.5
1878,ST JOSEPHS HOSPITAL (140145),2018,Acute Care,Voluntary non-profit - Church,49.0,38.625154,-89.524944,IL,3.9,,6.5,3.8,,1.3
1879,ST JOSEPHS HOSPITAL (140145),2018,Acute Care,Voluntary non-profit - Church,49.0,38.625154,-89.524944,IL,3.9,,6.5,3.8,,1.3
1880,RICHLAND MEMORIAL HOSPITAL (140147),2018,Acute Care,Voluntary non-profit - Private,88.0,38.735021,-88.077125,IL,6.3,,6.5,7.2,,0.8
1881,RICHLAND MEMORIAL HOSPITAL (140147),2018,Acute Care,Voluntary non-profit - Private,88.0,38.735021,-88.077125,IL,6.3,,6.5,7.2,,0.8
1882,MEMORIAL MEDICAL CENTER (140148),2018,Acute Care,Voluntary non-profit - Private,465.0,39.808778,-89.654586,IL,4.6,46.9,7.1,3.2,1.9,0.8
1883,MEMORIAL MEDICAL CENTER (140148),2018,Acute Care,Voluntary non-profit - Private,465.0,39.808778,-89.654586,IL,4.6,46.9,7.1,3.2,1.9,0.8
1884,UNIVERSITY OF ILLINOIS HOSPITAL (140150),2018,Acute Care,Government - State,498.0,41.869224,-87.670529,IL,6.1,,7.0,6.4,0.8,0.0
1885,UNIVERSITY OF ILLINOIS HOSPITAL (140150),2018,Acute Care,Government - State,498.0,41.869224,-87.670529,IL,6.1,,7.0,6.4,0.8,0.0
1886,PRESENCE ST MARYS HOSPITAL (140155),2018,Acute Care,Voluntary non-profit - Other,177.0,41.121113,-87.871768,IL,20.8,41.5,4.1,5.0,0.9,28.6
1887,PRESENCE ST MARYS HOSPITAL (140155),2018,Acute Care,Voluntary non-profit - Other,177.0,41.121113,-87.871768,IL,20.8,41.5,4.1,5.0,0.9,28.6
1888,MERCY HOSPITAL AND MEDICAL CENTER (140158),2018,Acute Care,Voluntary non-profit - Private,11375.0,41.847053,-87.623583,IL,5.5,38.0,7.2,3.7,0.8,0.3
1889,MERCY HOSPITAL AND MEDICAL CENTER (140158),2018,Acute Care,Voluntary non-profit - Private,11375.0,41.847053,-87.623583,IL,5.5,38.0,7.2,3.7,0.8,0.3
1890,FHN MEMORIAL HOSPITAL (140160),2018,Acute Care,Voluntary non-profit - Private,100.0,42.295894,-89.637947,IL,4.0,45.6,11.2,6.5,1.6,0.0
1891,FHN MEMORIAL HOSPITAL (140160),2018,Acute Care,Voluntary non-profit - Private,100.0,42.295894,-89.637947,IL,4.0,45.6,11.2,6.5,1.6,0.0
1892,SAINT JAMES HOSPITAL (140161),2018,Acute Care,Voluntary non-profit - Church,42.0,40.873402,-88.678583,IL,2.2,39.6,11.0,5.7,0.0,0.8
1893,SAINT JAMES HOSPITAL (140161),2018,Acute Care,Voluntary non-profit - Church,42.0,40.873402,-88.678583,IL,2.2,39.6,11.0,5.7,0.0,0.8
1894,ST JOSEPH MEDICAL CENTER (140162),2018,Acute Care,Voluntary non-profit - Church,149.0,40.480118,-88.955385,IL,12.6,27.8,11.8,4.4,1.1,1.4
1895,ST JOSEPH MEDICAL CENTER (140162),2018,Acute Care,Voluntary non-profit - Church,149.0,40.480118,-88.955385,IL,12.6,27.8,11.8,4.4,1.1,1.4
1896,MEMORIAL HOSPITAL OF CARBONDALE (140164),2018,Acute Care,Voluntary non-profit - Private,164.0,37.727973,-89.220121,IL,21.9,,4.5,3.9,1.2,24.7
1897,MEMORIAL HOSPITAL OF CARBONDALE (140164),2018,Acute Care,Voluntary non-profit - Private,164.0,37.727973,-89.220121,IL,21.9,,4.5,3.9,1.2,24.7
1898,ST MARYS HOSPITAL (140166),2018,Acute Care,Voluntary non-profit - Private,220.0,39.82635,-88.93191,IL,7.9,43.2,9.6,2.5,2.4,1.3
1899,ST MARYS HOSPITAL (140166),2018,Acute Care,Voluntary non-profit - Private,220.0,39.82635,-88.93191,IL,7.9,43.2,9.6,2.5,2.4,1.3
1900,IROQUOIS MEMORIAL HOSPITAL (140167),2018,Acute Care,Voluntary non-profit - Private,67.0,40.765541,-87.732666,IL,14.7,,10.6,,1.0,6.9
1901,IROQUOIS MEMORIAL HOSPITAL (140167),2018,Acute Care,Voluntary non-profit - Private,67.0,40.765541,-87.732666,IL,14.7,,10.6,,1.0,6.9
1902,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS (140172),2018,Acute Care,Proprietary,274.0,,,IL,7.8,33.8,6.8,5.1,1.3,1.2
1903,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS (140172),2018,Acute Care,Proprietary,274.0,,,IL,7.8,33.8,6.8,5.1,1.3,1.2
1904,PRESENCE MERCY MEDICAL CENTER (140174),2018,Acute Care,Voluntary non-profit - Church,281.0,41.786906,-88.328909,IL,2.4,,10.6,6.6,0.2,0.2
1905,PRESENCE MERCY MEDICAL CENTER (140174),2018,Acute Care,Voluntary non-profit - Church,281.0,41.786906,-88.328909,IL,2.4,,10.6,6.6,0.2,0.2
1906,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL (140176),2018,Acute Care,Voluntary non-profit - Private,113.0,,,IL,6.1,32.7,7.0,10.6,1.2,2.1
1907,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL (140176),2018,Acute Care,Voluntary non-profit - Private,113.0,,,IL,6.1,32.7,7.0,10.6,1.2,2.1
1908,JACKSON PARK HOSPITAL (140177),2018,Acute Care,Voluntary non-profit - Private,181.0,41.757332,-87.58571,IL,0.0,,,,,0.0
1909,JACKSON PARK HOSPITAL (140177),2018,Acute Care,Voluntary non-profit - Private,181.0,41.757332,-87.58571,IL,0.0,,,,,0.0
1910,LITTLE COMPANY OF MARY HOSPITAL (140179),2018,Acute Care,Voluntary non-profit - Other,258.0,41.720902,-87.691966,IL,5.5,,9.2,5.0,0.4,0.4
1911,LITTLE COMPANY OF MARY HOSPITAL (140179),2018,Acute Care,Voluntary non-profit - Other,258.0,41.720902,-87.691966,IL,5.5,,9.2,5.0,0.4,0.4
1912,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER (140180),2018,Acute Care,Voluntary non-profit - Church,450.0,41.903104,-87.683213,IL,15.0,30.2,3.0,7.0,0.7,1.1
1913,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER (140180),2018,Acute Care,Voluntary non-profit - Church,450.0,41.903104,-87.683213,IL,15.0,30.2,3.0,7.0,0.7,1.1
1914,SOUTH SHORE HOSPITAL (140181),2018,Acute Care,Voluntary non-profit - Private,136.0,41.749496,-87.568623,IL,17.7,,2.9,,0.7,
1915,SOUTH SHORE HOSPITAL (140181),2018,Acute Care,Voluntary non-profit - Private,136.0,41.749496,-87.568623,IL,17.7,,2.9,,0.7,
1916,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER (140182),2018,Acute Care,Voluntary non-profit - Church,305.0,41.936315,-87.651554,IL,2.6,,10.3,8.9,1.1,0.0
1917,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER (140182),2018,Acute Care,Voluntary non-profit - Church,305.0,41.936315,-87.651554,IL,2.6,,10.3,8.9,1.1,0.0
1918,HEARTLAND REGIONAL MEDICAL CENTER (140184),2018,Acute Care,Proprietary,95.0,37.744891,-88.988848,IL,2.6,,8.2,7.2,1.2,0.0
1919,HEARTLAND REGIONAL MEDICAL CENTER (140184),2018,Acute Care,Proprietary,95.0,37.744891,-88.988848,IL,2.6,,8.2,7.2,1.2,0.0
1920,MEMORIAL HOSPITAL (140185),2018,Acute Care,Voluntary non-profit - Private,353.0,38.550533,-90.021168,IL,6.7,39.7,5.8,4.5,0.9,1.3
1921,MEMORIAL HOSPITAL (140185),2018,Acute Care,Voluntary non-profit - Private,353.0,38.550533,-90.021168,IL,6.7,39.7,5.8,4.5,0.9,1.3
1922,RIVERSIDE MEDICAL CENTER (140186),2018,Acute Care,Voluntary non-profit - Private,317.0,41.124148,-87.882651,IL,7.5,40.7,9.1,4.3,1.2,0.4
1923,RIVERSIDE MEDICAL CENTER (140186),2018,Acute Care,Voluntary non-profit - Private,317.0,41.124148,-87.882651,IL,7.5,40.7,9.1,4.3,1.2,0.4
1924,HSHS ST ELIZABETH'S HOSPITAL (140187),2018,Acute Care,Voluntary non-profit - Church,205.0,,,IL,10.8,,6.8,7.4,1.0,4.0
1925,HSHS ST ELIZABETH'S HOSPITAL (140187),2018,Acute Care,Voluntary non-profit - Church,205.0,,,IL,10.8,,6.8,7.4,1.0,4.0
1926,SARAH BUSH LINCOLN HEALTH CENTER (140189),2018,Acute Care,Voluntary non-profit - Private,108.0,39.488543,-88.275793,IL,5.2,35.4,5.7,2.5,0.9,0.2
1927,SARAH BUSH LINCOLN HEALTH CENTER (140189),2018,Acute Care,Voluntary non-profit - Private,108.0,39.488543,-88.275793,IL,5.2,35.4,5.7,2.5,0.9,0.2
1928,INGALLS MEMORIAL HOSPITAL (140191),2018,Acute Care,Voluntary non-profit - Private,324.0,41.606331,-87.659484,IL,6.5,38.9,8.0,3.0,1.5,1.8
1929,INGALLS MEMORIAL HOSPITAL (140191),2018,Acute Care,Voluntary non-profit - Private,324.0,41.606331,-87.659484,IL,6.5,38.9,8.0,3.0,1.5,1.8
1930,METHODIST HOSPITAL OF CHICAGO (140197),2018,Acute Care,Voluntary non-profit - Private,153.0,41.973262,-87.671141,IL,,,,,0.0,
1931,METHODIST HOSPITAL OF CHICAGO (140197),2018,Acute Care,Voluntary non-profit - Private,153.0,41.973262,-87.671141,IL,,,,,0.0,
1932,ELMHURST MEMORIAL HOSPITAL (140200),2018,Acute Care,Proprietary,286.0,41.861684,-87.934295,IL,5.0,45.6,8.1,5.0,0.7,0.0
1933,ELMHURST MEMORIAL HOSPITAL (140200),2018,Acute Care,Proprietary,286.0,41.861684,-87.934295,IL,5.0,45.6,8.1,5.0,0.7,0.0
1934,ADVOCATE CONDELL MEDICAL CENTER (140202),2018,Acute Care,Voluntary non-profit - Private,269.0,42.274563,-87.95165,IL,3.7,34.4,4.3,6.5,0.3,0.7
1935,ADVOCATE CONDELL MEDICAL CENTER (140202),2018,Acute Care,Voluntary non-profit - Private,269.0,42.274563,-87.95165,IL,3.7,34.4,4.3,6.5,0.3,0.7
1936,NORWEGIAN-AMERICAN HOSPITAL (140206),2018,Acute Care,Voluntary non-profit - Private,181.0,41.900481,-87.699288,IL,2.1,,7.5,,0.0,
1937,NORWEGIAN-AMERICAN HOSPITAL (140206),2018,Acute Care,Voluntary non-profit - Private,181.0,41.900481,-87.699288,IL,2.1,,7.5,,0.0,
1938,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER (140208),2018,Acute Care,Voluntary non-profit - Church,731.0,41.720316,-87.732364,IL,3.5,42.7,9.3,3.5,0.5,0.7
1939,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER (140208),2018,Acute Care,Voluntary non-profit - Church,731.0,41.720316,-87.732364,IL,3.5,42.7,9.3,3.5,0.5,0.7
1940,METHODIST MEDICAL CENTER OF ILLINOIS (140209),2018,Acute Care,Voluntary non-profit - Private,280.0,40.700181,-89.5946,IL,8.3,33.9,9.2,2.0,1.1,0.1
1941,METHODIST MEDICAL CENTER OF ILLINOIS (140209),2018,Acute Care,Voluntary non-profit - Private,280.0,40.700181,-89.5946,IL,8.3,33.9,9.2,2.0,1.1,0.1
1942,HARRISBURG MEDICAL CENTER (140210),2018,Acute Care,Voluntary non-profit - Other,71.0,,,IL,15.2,,7.0,3.3,1.0,20.2
1943,HARRISBURG MEDICAL CENTER (140210),2018,Acute Care,Voluntary non-profit - Other,71.0,,,IL,15.2,,7.0,3.3,1.0,20.2
1944,DELNOR COMMUNITY HOSPITAL (140211),2018,Acute Care,Voluntary non-profit - Other,149.0,41.886345,-88.340414,IL,9.6,43.6,10.2,5.0,0.5,0.7
1945,DELNOR COMMUNITY HOSPITAL (140211),2018,Acute Care,Voluntary non-profit - Other,149.0,41.886345,-88.340414,IL,9.6,43.6,10.2,5.0,0.5,0.7
1946,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS (140213),2018,Acute Care,Voluntary non-profit - Private,299.0,41.54543,-87.986049,IL,3.4,43.9,7.6,3.4,1.3,0.1
1947,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS (140213),2018,Acute Care,Voluntary non-profit - Private,299.0,41.54543,-87.986049,IL,3.4,43.9,7.6,3.4,1.3,0.1
1948,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN (140217),2018,Acute Care,Voluntary non-profit - Church,184.0,42.036242,-88.327934,IL,6.1,,8.3,5.7,1.3,0.3
1949,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN (140217),2018,Acute Care,Voluntary non-profit - Church,184.0,42.036242,-88.327934,IL,6.1,,8.3,5.7,1.3,0.3
1950,ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),2018,Acute Care,Voluntary non-profit - Church,630.0,42.039748,-87.848146,IL,4.8,44.0,7.1,6.8,0.6,0.5
1951,ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),2018,Acute Care,Voluntary non-profit - Church,630.0,42.039748,-87.848146,IL,4.8,44.0,7.1,6.8,0.6,0.5
1952,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO (140224),2018,Acute Care,Voluntary non-profit - Church,322.0,41.933928,-87.636418,IL,6.6,30.9,7.0,7.3,,0.3
1953,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO (140224),2018,Acute Care,Voluntary non-profit - Church,322.0,41.933928,-87.636418,IL,6.6,30.9,7.0,7.3,,0.3
1954,SWEDISH AMERICAN HOSPITAL (140228),2018,Acute Care,Voluntary non-profit - Other,313.0,42.266943,-89.07355,IL,4.4,45.1,8.9,3.3,0.3,0.2
1955,SWEDISH AMERICAN HOSPITAL (140228),2018,Acute Care,Voluntary non-profit - Other,313.0,42.266943,-89.07355,IL,4.4,45.1,8.9,3.3,0.3,0.2
1956,EDWARD HOSPITAL (140231),2018,Acute Care,Voluntary non-profit - Private,297.0,41.761426,-88.149239,IL,5.1,31.2,13.4,4.4,0.4,0.8
1957,EDWARD HOSPITAL (140231),2018,Acute Care,Voluntary non-profit - Private,297.0,41.761426,-88.149239,IL,5.1,31.2,13.4,4.4,0.4,0.8
1958,SAINT ANTHONY MEDICAL CENTER (140233),2018,Acute Care,Voluntary non-profit - Church,238.0,42.265778,-89.0073,IL,8.9,45.2,6.8,2.5,0.4,2.1
1959,SAINT ANTHONY MEDICAL CENTER (140233),2018,Acute Care,Voluntary non-profit - Church,238.0,42.265778,-89.0073,IL,8.9,45.2,6.8,2.5,0.4,2.1
1960,ILLINOIS VALLEY COMMUNITY HOSPITAL (140234),2018,Acute Care,Voluntary non-profit - Private,55.0,41.328769,-89.125188,IL,6.4,,9.9,5.1,,0.4
1961,ILLINOIS VALLEY COMMUNITY HOSPITAL (140234),2018,Acute Care,Voluntary non-profit - Private,55.0,41.328769,-89.125188,IL,6.4,,9.9,5.1,,0.4
1962,ROCKFORD MEMORIAL HOSPITAL (140239),2018,Acute Care,Voluntary non-profit - Private,299.0,42.298434,-89.096782,IL,8.4,38.8,,3.0,0.5,2.3
1963,ROCKFORD MEMORIAL HOSPITAL (140239),2018,Acute Care,Voluntary non-profit - Private,299.0,42.298434,-89.096782,IL,8.4,38.8,,3.0,0.5,2.3
1964,WESTLAKE COMMUNITY HOSPITAL (140240),2018,Acute Care,Voluntary non-profit - Other,175.0,41.891794,-87.848963,IL,1.8,,9.5,6.3,0.6,0.0
1965,WESTLAKE COMMUNITY HOSPITAL (140240),2018,Acute Care,Voluntary non-profit - Other,175.0,41.891794,-87.848963,IL,1.8,,9.5,6.3,0.6,0.0
1966,CENTRAL DUPAGE HOSPITAL (140242),2018,Acute Care,Voluntary non-profit - Private,375.0,41.873765,-88.158095,IL,6.6,42.3,7.3,5.6,0.7,0.1
1967,CENTRAL DUPAGE HOSPITAL (140242),2018,Acute Care,Voluntary non-profit - Private,375.0,41.873765,-88.158095,IL,6.6,42.3,7.3,5.6,0.7,0.1
1968,ADVOCATE SOUTH SUBURBAN HOSPITAL (140250),2018,Acute Care,Voluntary non-profit - Church,259.0,41.566922,-87.694399,IL,3.2,47.2,10.1,3.2,1.0,1.3
1969,ADVOCATE SOUTH SUBURBAN HOSPITAL (140250),2018,Acute Care,Voluntary non-profit - Church,259.0,41.566922,-87.694399,IL,3.2,47.2,10.1,3.2,1.0,1.3
1970,COMMUNITY FIRST MEDICAL CENTER (140251),2018,Acute Care,Voluntary non-profit - Private,274.0,41.94585,-87.768287,IL,9.6,54.3,5.6,7.8,0.9,3.2
1971,COMMUNITY FIRST MEDICAL CENTER (140251),2018,Acute Care,Voluntary non-profit - Private,274.0,41.94585,-87.768287,IL,9.6,54.3,5.6,7.8,0.9,3.2
1972,NORTHWEST COMMUNITY HOSPITAL 1 (140252),2018,Acute Care,Voluntary non-profit - Private,435.0,42.066604,-87.992951,IL,6.5,40.1,9.7,6.0,1.7,0.4
1973,NORTHWEST COMMUNITY HOSPITAL 1 (140252),2018,Acute Care,Voluntary non-profit - Private,435.0,42.066604,-87.992951,IL,6.5,40.1,9.7,6.0,1.7,0.4
1974,ALEXIAN BROTHERS MEDICAL CENTER 1 (140258),2018,Acute Care,Voluntary non-profit - Church,372.0,42.003705,-88.014996,IL,6.6,38.3,5.7,4.5,1.0,2.8
1975,ALEXIAN BROTHERS MEDICAL CENTER 1 (140258),2018,Acute Care,Voluntary non-profit - Church,372.0,42.003705,-88.014996,IL,6.6,38.3,5.7,4.5,1.0,2.8
1976,GENESIS HEALTH SYSTEM (140275),2018,Acute Care,Government - Local,236.0,41.493068,-90.419997,IL,1.3,,8.4,4.4,1.5,0.0
1977,GENESIS HEALTH SYSTEM (140275),2018,Acute Care,Government - Local,236.0,41.493068,-90.419997,IL,1.3,,8.4,4.4,1.5,0.0
1978,LOYOLA UNIVERSITY MEDICAL CENTER (140276),2018,Acute Care,Voluntary non-profit - Private,518.0,41.858732,-87.83321,IL,9.0,40.6,8.5,4.8,1.3,0.6
1979,LOYOLA UNIVERSITY MEDICAL CENTER (140276),2018,Acute Care,Voluntary non-profit - Private,518.0,41.858732,-87.83321,IL,9.0,40.6,8.5,4.8,1.3,0.6
1980,TRINITY ROCK ISLAND (140280),2018,Acute Care,Voluntary non-profit - Other,328.0,41.483649,-90.572799,IL,1.9,,9.7,,0.6,0.0
1981,TRINITY ROCK ISLAND (140280),2018,Acute Care,Voluntary non-profit - Other,328.0,41.483649,-90.572799,IL,1.9,,9.7,,0.6,0.0
1982,NORTHWESTERN MEMORIAL HOSPITAL (140281),2018,Acute Care,Voluntary non-profit - Private,896.0,41.894995,-87.621364,IL,10.7,40.1,9.4,5.5,0.3,0.0
1983,NORTHWESTERN MEMORIAL HOSPITAL (140281),2018,Acute Care,Voluntary non-profit - Private,896.0,41.894995,-87.621364,IL,10.7,40.1,9.4,5.5,0.3,0.0
1984,KISHWAUKEE COMMUNITY HOSPITAL (140286),2018,Acute Care,Voluntary non-profit - Private,97.0,41.96188,-88.72226,IL,10.4,,8.7,6.3,0.3,1.2
1985,KISHWAUKEE COMMUNITY HOSPITAL (140286),2018,Acute Care,Voluntary non-profit - Private,97.0,41.96188,-88.72226,IL,10.4,,8.7,6.3,0.3,1.2
1986,ADVOCATE GOOD SAMARITAN HOSPITAL (140288),2018,Acute Care,Voluntary non-profit - Church,306.0,41.819137,-88.01022,IL,2.2,40.6,8.7,7.3,1.5,0.5
