,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Mammography Follow-up Rates (OP-9),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13),Outpatients with brain CT scans who got a sinus CT scan at the same time (OP-14),Thorax CT Use of Contrast Material (OP-11)
1105,FRANCISCAN HEALTHCARE - MUNSTER (150165),2015,Acute Care,Voluntary non-profit - Private,54.0,41.537258,-87.512328,IN,38.4,40.4,11.7,5.0,,0.9
1106,PINNACLE HOSPITAL (150166),2015,Acute Care,Physician,18.0,41.449118,-87.330069,IN,23.9,44.7,,,,
1107,COMMUNITY HOSPITAL NORTH (150169),2015,Acute Care,Voluntary non-profit - Private,330.0,39.900033,-86.043072,IN,13.6,45.6,13.5,,3.2,11.1
1108,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL (150173),2015,Acute Care,Voluntary non-profit - Private,180.0,40.403025,-86.807164,IN,2.0,,,7.5,2.1,0.5
1109,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC (150175),2015,Acute Care,Proprietary,24.0,,,IN,,,,5.2,,
1110,KENTUCKIANA MEDICAL CENTER LLC (150176),2015,Acute Care,Proprietary,42.0,,,IN,3.2,,,,,0.0
1111,UNITY MEDICAL AND SURGICAL HOSPITAL (150177),2015,Acute Care,Proprietary,29.0,41.700723,-86.176781,IN,,47.2,,,,
1112,ST VINCENT FISHERS HOSPITAL INC (150181),2015,Acute Care,Voluntary non-profit - Private,46.0,39.988852,-85.918844,IN,3.4,,9.3,,,1.6
1113,COMMUNITY HOSPITAL OF BREMEN INC (151300),2015,Critical Access,Voluntary non-profit - Private,24.0,41.45694,-86.157922,IN,3.8,,11.8,,,0.0
1114,ST VINCENT RANDOLPH HOSPITAL INC (151301),2015,Critical Access,Voluntary non-profit - Private,25.0,40.167877,-84.970394,IN,10.6,,4.7,,5.1,8.0
1115,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL (151302),2015,Critical Access,Voluntary non-profit - Private,15.0,40.468905,-85.372027,IN,2.8,,10.7,,,1.6
1116,ST VINCENT JENNINGS HOSPITAL INC (151303),2015,Critical Access,Voluntary non-profit - Church,25.0,39.011259,-85.640374,IN,2.3,51.4,10.3,,1.0,3.1
1117,RUSH MEMORIAL HOSPITAL (151304),2015,Critical Access,Government - Local,24.0,39.621442,-85.444792,IN,4.4,,7.1,4.3,,4.2
1118,PULASKI MEMORIAL HOSPITAL (151305),2015,Critical Access,Government - Local,25.0,41.057384,-86.595641,IN,21.4,,9.1,,,20.3
1119,INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL (151306),2015,Critical Access,Voluntary non-profit - Private,25.0,38.567698,-86.475188,IN,4.4,,12.4,,0.8,1.4
1120,ST VINCENT WILLIAMSPORT HOSPITAL INC (151307),2015,Critical Access,Voluntary non-profit - Church,16.0,40.29047,-87.295819,IN,2.9,,10.0,,,1.8
1121,ST VINCENT MERCY HOSPITAL (151308),2015,Critical Access,Voluntary non-profit - Church,23.0,40.27602,-85.844005,IN,10.7,,23.5,,1.0,1.6
1122,ST VINCENT CLAY HOSPITAL INC (151309),2015,Critical Access,Voluntary non-profit - Private,25.0,39.526935,-87.111318,IN,45.1,,0.8,,,0.7
1123,"PARKVIEW WABASH HOSPITAL, INC (151310)",2015,Critical Access,Voluntary non-profit - Private,30.0,40.81877,-85.829126,IN,6.1,,11.3,,4.4,1.3
1124,INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC (151311),2015,Critical Access,Voluntary non-profit - Other,25.0,40.272216,-86.041102,IN,6.1,,12.5,6.0,,1.5
1125,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL (151312),2015,Critical Access,Voluntary non-profit - Private,25.0,40.734862,-86.775623,IN,4.2,,5.2,,1.3,2.4
1126,WOODLAWN HOSPITAL (151313),2015,Critical Access,Government - Local,25.0,41.061728,-86.196973,IN,1.9,,4.7,,,1.6
1127,ST VINCENT SALEM HOSPITAL INC (151314),2015,Critical Access,Voluntary non-profit - Private,25.0,38.613165,-86.107802,IN,2.3,,9.6,,5.5,0.0
1128,CAMERON MEMORIAL COMMUNITY HOSPITAL INC (151315),2015,Critical Access,Voluntary non-profit - Private,25.0,41.634883,-84.99552,IN,4.8,,15.2,,,0.0
1129,ST VINCENT FRANKFORT HOSPITAL INC (151316),2015,Critical Access,Voluntary non-profit - Church,23.0,40.269905,-86.510536,IN,0.6,,8.2,,1.2,0.0
1130,GREENE COUNTY GENERAL HOSPITAL (151317),2015,Critical Access,Government - Local,25.0,39.040496,-87.129176,IN,20.5,,9.4,3.2,,8.3
1131,DUKES MEMORIAL HOSPITAL (151318),2015,Critical Access,Voluntary non-profit - Private,25.0,40.757358,-86.083146,IN,1.8,,4.7,2.8,,1.0
1132,GIBSON GENERAL HOSPITAL (151319),2015,Critical Access,Voluntary non-profit - Private,40.0,38.360231,-87.589559,IN,17.3,,9.4,,,
1133,JAY COUNTY HOSPITAL (151320),2015,Critical Access,Government - Local,32.0,40.439366,-84.984105,IN,4.4,,10.0,,,0.0
1134,PERRY COUNTY MEMORIAL HOSPITAL (151322),2015,Critical Access,Voluntary non-profit - Other,25.0,37.96865,-86.729561,IN,40.7,,7.2,3.7,,41.3
1135,PARKVIEW LAGRANGE HOSPITAL (151323),2015,Critical Access,Voluntary non-profit - Private,25.0,41.645803,-85.424936,IN,2.4,,9.1,,,1.4
1136,JASPER COUNTY HOSPITAL (151324),2015,Critical Access,Voluntary non-profit - Private,25.0,40.9336,-87.138357,IN,5.8,,5.8,,,1.1
1137,"ST MARY'S WARRICK HOSPITAL, INC (151325)",2015,Critical Access,Voluntary non-profit - Private,35.0,38.041356,-87.263374,IN,0.8,,8.8,,,0.0
1138,UNION HOSPITAL CLINTON (151326),2015,Critical Access,Voluntary non-profit - Private,25.0,39.652926,-87.398213,IN,8.6,,11.0,,4.8,8.1
1139,SULLIVAN COUNTY COMMUNITY HOSPITAL (151327),2015,Critical Access,Government - Local,25.0,39.126254,-87.409083,IN,12.8,,2.5,,,1.2
1140,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL (151328),2015,Critical Access,Voluntary non-profit - Private,27.0,38.860988,-86.512167,IN,9.1,58.7,4.7,2.2,2.5,6.4
1141,MARGARET MARY HEALTH (151329),2015,Critical Access,Voluntary non-profit - Private,25.0,39.306141,-85.222703,IN,15.7,,11.1,1.6,,16.1
1142,ADAMS MEMORIAL HOSPITAL (151330),2015,Critical Access,Government - Local,33.0,40.817966,-84.912535,IN,5.0,,7.3,2.8,,0.7
1143,HARRISON COUNTY HOSPITAL (151331),2015,Critical Access,Government - Local,25.0,38.23898,-86.14774,IN,15.4,50.9,13.9,4.1,,9.3
1144,DECATUR COUNTY MEMORIAL HOSPITAL (151332),2015,Critical Access,Government - Local,25.0,39.344116,-85.479404,IN,36.8,,1.4,5.2,,40.0
1145,PUTNAM COUNTY HOSPITAL (151333),2015,Critical Access,Government - Local,25.0,39.622205,-86.845996,IN,17.7,,8.3,,,5.6
1146,ST VINCENT DUNN HOSPITAL INC (151335),2015,Critical Access,Voluntary non-profit - Private,25.0,38.853488,-86.493194,IN,2.1,,7.0,,,0.0
1147,MARSHALLTOWN MEDICAL & SURGICAL CENTER (160001),2015,Acute Care,Voluntary non-profit - Private,60.0,42.04805,-92.905914,IA,0.5,,9.2,4.3,1.8,3.0
1148,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME (160005),2015,Acute Care,Voluntary non-profit - Church,147.0,42.056982,-94.867981,IA,4.5,,5.7,,,0.5
1149,KEOKUK AREA HOSPITAL (160008),2015,Acute Care,Voluntary non-profit - Private,50.0,40.406952,-91.388116,IA,10.9,50.0,2.9,,,0.9
1150,TRINITY MUSCATINE (160013),2015,Acute Care,Voluntary non-profit - Private,39.0,41.434173,-91.052727,IA,3.7,,10.1,5.0,,1.6
1151,TRINITY REGIONAL MEDICAL CENTER (160016),2015,Acute Care,Voluntary non-profit - Private,70.0,42.490278,-94.191337,IA,2.1,40.4,,,,1.3
1152,IOWA LUTHERAN HOSPITAL (160024),2015,Acute Care,Voluntary non-profit - Private,191.0,41.600393,-93.610756,IA,4.4,43.7,6.9,,,0.0
1153,CHI HEALTH MERCY COUNCIL BLUFFS (160028),2015,Acute Care,Voluntary non-profit - Private,168.0,41.269636,-95.838201,IA,2.9,48.6,5.0,7.4,,0.0
1154,MERCY HOSPITAL (160029),2015,Acute Care,Voluntary non-profit - Church,220.0,41.663541,-91.528653,IA,3.3,38.6,5.8,3.5,4.5,0.4
1155,MARY GREELEY MEDICAL CENTER (160030),2015,Acute Care,Government - Local,207.0,42.032391,-93.610624,IA,1.4,,8.4,5.6,,2.7
1156,SKIFF MEDICAL CENTER (160032),2015,Acute Care,Government - Local,48.0,41.702413,-93.051177,IA,2.8,,8.7,5.4,0.5,4.0
1157,GENESIS MEDICAL CENTER-DAVENPORT (160033),2015,Acute Care,Voluntary non-profit - Other,324.0,41.542837,-90.556958,IA,1.3,35.1,8.4,4.8,1.8,1.5
1158,SARTORI MEMORIAL HOSPITAL (160040),2015,Acute Care,Voluntary non-profit - Church,50.0,42.533922,-92.455969,IA,1.7,44.0,5.5,,,0.0
1159,ST LUKES HOSPITAL (160045),2015,Acute Care,Voluntary non-profit - Private,342.0,41.985632,-91.659013,IA,4.8,35.0,7.7,,0.7,2.5
1160,METHODIST JENNIE EDMUNDSON (160047),2015,Acute Care,Voluntary non-profit - Private,112.0,41.268309,-95.836128,IA,7.9,40.3,10.8,2.3,1.7,0.0
1161,GREAT RIVER MEDICAL CENTER (160057),2015,Acute Care,Voluntary non-profit - Private,320.0,40.807369,-91.170278,IA,49.7,38.1,8.9,7.6,3.5,3.1
1162,UNIVERSITY OF IOWA HOSPITAL & CLINICS (160058),2015,Acute Care,Government - State,741.0,41.661203,-91.550759,IA,1.7,31.9,8.8,5.4,0.6,0.1
1163,MERCY MEDICAL CENTER-NORTH IOWA (160064),2015,Acute Care,Voluntary non-profit - Church,218.0,43.148377,-93.216102,IA,6.6,,8.1,3.5,2.5,1.8
1164,COVENANT MEDICAL CENTER (160067),2015,Acute Care,Voluntary non-profit - Private,214.0,42.463867,-92.345787,IA,2.4,33.7,7.7,4.5,2.4,0.3
1165,MERCY MEDICAL CENTER-DUBUQUE (160069),2015,Acute Care,Voluntary non-profit - Church,197.0,42.493145,-90.67435,IA,2.4,,,,,2.3
1166,MERCY MEDICAL CENTER - CEDAR RAPIDS (160079),2015,Acute Care,Voluntary non-profit - Church,302.0,41.978904,-91.654798,IA,4.4,36.1,9.7,3.9,1.8,3.1
1167,MERCY MEDICAL CENTER-CLINTON (160080),2015,Acute Care,Voluntary non-profit - Private,192.0,41.860543,-90.188155,IA,0.8,,10.3,4.8,,4.0
1168,IOWA METHODIST MEDICAL CENTER (160082),2015,Acute Care,Voluntary non-profit - Private,505.0,41.590777,-93.633131,IA,10.5,,,,2.8,3.7
1169,MERCY MEDICAL CENTER-DES MOINES (160083),2015,Acute Care,Voluntary non-profit - Private,592.0,41.599577,-93.625702,IA,2.0,34.3,5.7,4.4,1.4,2.5
1170,OTTUMWA REGIONAL HEALTH CENTER (160089),2015,Acute Care,Proprietary,115.0,,,IA,36.6,51.1,2.7,,1.4,2.6
1171,BROADLAWNS MEDICAL CENTER (160101),2015,Acute Care,Government - Local,111.0,41.615097,-93.641155,IA,3.8,,16.7,,,2.1
1172,TRINITY BETTENDORF (160104),2015,Acute Care,Voluntary non-profit - Private,79.0,41.566105,-90.51736,IA,1.3,,8.0,,1.2,0.0
1173,ALLEN HOSPITAL (160110),2015,Acute Care,Voluntary non-profit - Private,200.0,42.525753,-92.337758,IA,5.4,36.3,15.8,6.5,2.5,0.0
1174,SPENCER MUNICIPAL HOSPITAL (160112),2015,Acute Care,Government - Local,70.0,43.150009,-95.143842,IA,22.3,,8.9,,,13.1
1175,FINLEY HOSPITAL (160117),2015,Acute Care,Voluntary non-profit - Private,108.0,42.495413,-90.687573,IA,3.3,32.8,8.8,3.1,1.0,2.3
1176,FORT MADISON COMMUNITY HOSPITAL (160122),2015,Acute Care,Voluntary non-profit - Private,50.0,40.624167,-91.382067,IA,67.2,51.9,9.9,2.3,,1.5
1177,LAKES REGIONAL HEALTHCARE (160124),2015,Acute Care,Voluntary non-profit - Other,44.0,43.418396,-95.126312,IA,21.6,33.3,6.5,,,18.7
1178,ST LUKES REGIONAL MEDICAL CENTER (160146),2015,Acute Care,Voluntary non-profit - Private,183.0,42.5186,-96.406029,IA,2.1,41.4,4.0,4.6,,0.0
1179,GRINNELL REGIONAL MEDICAL CENTER (160147),2015,Acute Care,Voluntary non-profit - Private,45.0,41.743278,-92.734728,IA,7.6,,10.9,4.3,,5.5
1180,MERCY MEDICAL CENTER-SIOUX CITY (160153),2015,Acute Care,Voluntary non-profit - Private,205.0,42.495329,-96.400061,IA,24.5,,5.3,4.6,1.9,1.1
1181,BAUM HARMON MERCY HOSPITAL (161300),2015,Critical Access,Voluntary non-profit - Church,14.0,43.088597,-95.622796,IA,,,4.5,,0.0,
1182,IOWA SPECIALTY HOSPITAL - BELMOND (161301),2015,Critical Access,Government - Local,22.0,42.844988,-93.612855,IA,,,16.2,,,
1183,IOWA SPECIALTY HOSPITAL-CLARION (161302),2015,Critical Access,Government - Local,25.0,42.721625,-93.732628,IA,51.4,56.8,10.8,2.9,0.6,39.0
1184,GRUNDY COUNTY MEMORIAL HOSPITAL (161303),2015,Critical Access,Voluntary non-profit - Other,62.0,42.358753,-92.762205,IA,8.3,,9.1,,,1.7
1185,CHI HEALTH  - MERCY CORNING (161304),2015,Critical Access,Voluntary non-profit - Private,22.0,40.988375,-94.747914,IA,12.6,,4.5,,,17.6
1186,JONES REGIONAL MEDICAL CENTER (161306),2015,Critical Access,Voluntary non-profit - Private,20.0,42.102231,-91.261919,IA,3.4,,8.1,,,6.2
1187,HANCOCK COUNTY HEALTH SYSTEM (161307),2015,Critical Access,Voluntary non-profit - Other,25.0,43.097818,-93.806993,IA,5.8,,4.3,,,0.0
1188,ADAIR COUNTY MEMORIAL HOSPITAL (161310),2015,Critical Access,Government - Local,25.0,41.303103,-94.451927,IA,57.1,,6.3,,,
1189,HAWARDEN REGIONAL HEALTHCARE (161311),2015,Critical Access,Government - Local,25.0,42.998008,-96.479427,IA,,,5.8,,0.0,
1190,GENESIS MEDICAL CENTER-DEWITT (161313),2015,Critical Access,Voluntary non-profit - Private,77.0,41.82594,-90.546257,IA,1.5,,12.1,,,
1191,GUTHRIE COUNTY HOSPITAL (161314),2015,Critical Access,Government - Local,25.0,41.683666,-94.494399,IA,,,9.5,,,
1192,PALMER LUTHERAN HEALTH CENTER (161316),2015,Critical Access,Voluntary non-profit - Private,25.0,42.96768,-91.809477,IA,1.9,,,,,1.2
1193,MARENGO MEMORIAL HOSPITAL (161317),2015,Critical Access,Voluntary non-profit - Other,25.0,41.801752,-92.072799,IA,4.3,,,,,
1194,CENTRAL COMMUNITY HOSPITAL (161319),2015,Critical Access,Voluntary non-profit - Private,16.0,42.859771,-91.414536,IA,,,8.3,,,
1195,COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER (161320),2015,Critical Access,Voluntary non-profit - Private,18.0,42.847422,-92.109691,IA,0.0,,5.4,,,1.8
1196,SANFORD ROCK RAPIDS MEDICAL CENTER (161321),2015,Critical Access,Voluntary non-profit - Private,13.0,,,IA,40.7,,12.8,,0.0,
1197,DALLAS COUNTY HOSPITAL (161322),2015,Critical Access,Voluntary non-profit - Other,25.0,41.833959,-94.094469,IA,0.0,,6.2,,,0.0
1198,MITCHELL COUNTY REGIONAL HEALTH (161323),2015,Critical Access,Voluntary non-profit - Other,25.0,43.289076,-92.809482,IA,7.1,,4.8,0.0,,0.0
1199,GEORGE C GRAPE COMMUNITY HOSPITAL (161324),2015,Critical Access,Voluntary non-profit - Private,25.0,40.620554,-95.649475,IA,1.7,,7.8,,,
1200,GREENE COUNTY MEDICAL CENTER (161325),2015,Critical Access,Government - Local,25.0,42.015217,-94.38906,IA,6.3,,11.0,,,
1201,DAVIS COUNTY HOSPITAL (161327),2015,Critical Access,Government - Local,36.0,40.759223,-92.414987,IA,7.0,,4.9,,,
1202,JACKSON COUNTY REGIONAL HEALTH CENTER (161329),2015,Critical Access,Government - Local,25.0,42.073715,-90.673132,IA,5.7,,7.9,,,
1203,AUDUBON COUNTY MEMORIAL HOSPITAL (161330),2015,Critical Access,Government - Local,23.0,41.715423,-94.937044,IA,4.1,,6.9,,,
1204,MERCY MEDICAL CENTER-NEW HAMPTON (161331),2015,Critical Access,Voluntary non-profit - Church,14.0,43.062677,-92.320425,IA,7.9,,5.5,,0.0,0.0
1205,MANNING REGIONAL HEALTHCARE CENTER (161332),2015,Critical Access,Voluntary non-profit - Private,57.0,41.90665,-95.075013,IA,,,9.5,,0.0,
1206,HUMBOLDT COUNTY MEMORIAL HOSPITAL (161334),2015,Critical Access,Voluntary non-profit - Other,45.0,42.731835,-94.230216,IA,,,6.0,,,
1207,BUCHANAN COUNTY HEALTH CENTER (161335),2015,Critical Access,Voluntary non-profit - Other,69.0,42.468787,-91.875015,IA,3.3,,5.5,,,0.0
1208,HEGG MEMORIAL HEALTH CENTER (161336),2015,Critical Access,Voluntary non-profit - Private,85.0,43.201693,-96.285086,IA,,,10.9,,0.0,
1209,VAN BUREN COUNTY HOSPITAL (161337),2015,Critical Access,Government - Local,25.0,40.735862,-91.959043,IA,30.4,,1.3,,,
1210,MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN (161338),2015,Critical Access,Voluntary non-profit - Church,63.0,42.675419,-91.902613,IA,4.4,,6.1,,,1.6
1211,WAVERLY HEALTH CENTER (161339),2015,Critical Access,Government - Local,21.0,42.723668,-92.481802,IA,3.7,46.8,7.2,,4.8,2.2
1212,LUCAS COUNTY HEALTH CENTER (161341),2015,Critical Access,Voluntary non-profit - Other,25.0,41.027693,-93.303421,IA,4.0,,4.9,,,
1213,MONROE COUNTY HOSPITAL (161342),2015,Critical Access,Voluntary non-profit - Other,25.0,41.044838,-92.796475,IA,74.5,,2.1,,,
1214,REGIONAL MEDICAL CENTER (161343),2015,Critical Access,Proprietary,26.0,42.483903,-91.466644,IA,6.7,,7.3,,0.0,3.9
1215,WASHINGTON COUNTY HOSPITAL AND CLINICS (161344),2015,Critical Access,Voluntary non-profit - Other,64.0,41.288507,-91.687341,IA,10.7,,7.5,,,0.0
1216,OSCEOLA COMMUNITY HOSPITAL (161345),2015,Critical Access,Voluntary non-profit - Private,25.0,43.41008,-95.741727,IA,,,4.7,,,
1217,SIOUX CENTER HEALTH (161346),2015,Critical Access,Voluntary non-profit - Private,90.0,43.069685,-96.159287,IA,,,14.4,,0.0,
1218,FLOYD COUNTY MEDICAL CENTER (161347),2015,Critical Access,Voluntary non-profit - Other,25.0,43.052667,-92.682505,IA,5.1,,7.7,,,1.4
1219,STEWART MEMORIAL COMMUNITY HOSPITAL (161350),2015,Critical Access,Voluntary non-profit - Private,25.0,42.266888,-94.748857,IA,5.4,,6.1,,,0.0
1220,AVERA HOLY FAMILY HOSPITAL (161351),2015,Critical Access,Voluntary non-profit - Church,22.0,43.410596,-94.833956,IA,19.6,,0.3,,0.0,13.0
1221,CLARINDA REGIONAL HEALTH CENTER (161352),2015,Critical Access,Government - Local,25.0,40.723116,-95.041406,IA,11.1,,5.4,,,2.4
1222,KOSSUTH REGIONAL HEALTH CENTER (161353),2015,Critical Access,Government - Local,25.0,43.056822,-94.227124,IA,14.2,,9.7,4.3,0.0,0.0
1223,HORN MEMORIAL HOSPITAL (161354),2015,Critical Access,Voluntary non-profit - Private,25.0,42.339303,-95.45891,IA,3.7,,10.1,,,1.9
1224,KNOXVILLE HOSPITAL & CLINICS (161355),2015,Critical Access,Voluntary non-profit - Private,25.0,41.310986,-93.109511,IA,9.2,,3.7,4.8,0.7,4.9
1225,HENRY COUNTY HEALTH CENTER (161356),2015,Critical Access,Government - Local,74.0,40.963116,-91.558018,IA,64.6,,4.3,,,12.1
1226,WAYNE COUNTY HOSPITAL (161358),2015,Critical Access,Government - Local,25.0,40.754492,-93.31232,IA,4.9,,9.5,,0.7,
1227,BURGESS HEALTH CENTER (161359),2015,Critical Access,Voluntary non-profit - Private,25.0,42.025739,-96.105586,IA,9.5,,8.7,,1.1,4.0
1228,ORANGE CITY AREA HEALTH SYSTEM (161360),2015,Critical Access,Voluntary non-profit - Other,36.0,42.994878,-96.045734,IA,19.2,,7.6,,,1.6
1229,VAN DIEST MEDICAL CENTER (161361),2015,Critical Access,Government - Local,25.0,42.452963,-93.813485,IA,6.5,,,,,4.4
1230,MONTGOMERY COUNTY MEMORIAL HOSPITAL (161363),2015,Critical Access,Government - Local,25.0,41.02654,-95.213919,IA,3.9,,11.1,,,1.7
1231,JEFFERSON COUNTY HEALTH CENTER (161364),2015,Critical Access,Government - Local,25.0,40.985635,-91.963118,IA,2.9,,8.1,,,0.8
1232,GREATER REGIONAL MEDICAL CENTER (161365),2015,Critical Access,Government - Local,25.0,41.071214,-94.383744,IA,3.7,,7.5,2.0,0.9,3.7
1233,SHENANDOAH MEDICAL CENTER (161366),2015,Critical Access,Voluntary non-profit - Private,25.0,40.753639,-95.369106,IA,7.5,,13.9,,,2.0
1234,PELLA REGIONAL HEALTH CENTER (161367),2015,Critical Access,Voluntary non-profit - Other,50.0,41.412337,-92.911667,IA,31.8,,4.6,11.6,1.2,0.0
1235,CRAWFORD COUNTY MEMORIAL HOSPITAL (161369),2015,Critical Access,Voluntary non-profit - Other,25.0,42.023257,-95.377086,IA,8.9,,8.2,,,15.6
1236,LORING HOSPITAL (161370),2015,Critical Access,Voluntary non-profit - Private,25.0,42.418706,-94.977991,IA,1.4,,8.8,,,0.0
1237,WINNESHIEK MEDICAL CENTER (161371),2015,Critical Access,Government - Local,25.0,43.294634,-91.771187,IA,16.2,,2.7,,,2.5
1238,BOONE COUNTY HOSPITAL (161372),2015,Critical Access,Government - Local,29.0,42.055583,-93.877037,IA,72.1,51.4,10.1,0.0,,1.4
1239,RINGGOLD COUNTY HOSPITAL (161373),2015,Critical Access,Government - Local,16.0,40.71833,-94.223613,IA,3.0,,3.5,,,
1240,MYRTUE MEDICAL CENTER (161374),2015,Critical Access,Voluntary non-profit - Other,25.0,41.647473,-95.326202,IA,11.7,,6.9,,,13.0
1241,BUENA VISTA REGIONAL MEDICAL CENTER (161375),2015,Critical Access,Government - Local,35.0,42.644356,-95.222008,IA,20.9,,2.5,,,10.4
1242,CASS COUNTY MEMORIAL HOSPITAL (161376),2015,Critical Access,Government - Local,29.0,41.401712,-94.992608,IA,50.3,,10.3,,0.5,20.8
1243,MAHASKA  HEALTH PARTNERSHIP (161379),2015,Critical Access,Voluntary non-profit - Other,30.0,41.298562,-92.630131,IA,58.9,,3.5,,,1.1
1244,SANFORD SHELDON MEDICAL CENTER (161381),2015,Critical Access,Voluntary non-profit - Private,89.0,43.186387,-95.847268,IA,9.3,,9.5,,,
1245,VIA CHRISTI HOSPITAL PITTSBURG INC (170006),2015,Acute Care,Voluntary non-profit - Private,92.0,37.38153,-94.68385,KS,35.8,56.1,10.9,6.6,8.2,16.3
1246,SAINT JOHN HOSPITAL (170009),2015,Acute Care,Voluntary non-profit - Other,63.0,39.283683,-94.903472,KS,3.4,,10.9,,1.0,3.0
1247,MERCY HOSPITAL INDEPENDENCE (170010),2015,Acute Care,Voluntary non-profit - Church,47.0,,,KS,30.5,,11.2,,,13.5
1248,SALINA REGIONAL HEALTH CENTER (170012),2015,Acute Care,Voluntary non-profit - Private,205.0,38.833271,-97.610525,KS,12.7,50.7,8.4,3.3,2.6,0.0
1249,HAYS MEDICAL CENTER (170013),2015,Acute Care,Voluntary non-profit - Other,143.0,38.879604,-99.299273,KS,32.9,50.6,11.2,4.8,,1.2
1250,RANSOM MEMORIAL HOSPITAL (170014),2015,Acute Care,Government - Local,46.0,38.597285,-95.268759,KS,1.1,64.9,8.3,2.3,,0.0
1251,ST FRANCIS HEALTH CENTER INC (170016),2015,Acute Care,Voluntary non-profit - Church,269.0,39.056107,-95.696692,KS,8.4,44.1,3.4,5.9,5.4,1.2
1252,SUSAN B ALLEN MEMORIAL HOSPITAL (170017),2015,Acute Care,Voluntary non-profit - Private,46.0,37.817438,-96.858795,KS,0.0,60.5,29.3,0.0,,0.6
1253,HUTCHINSON REGIONAL MEDICAL CENTER INC (170020),2015,Acute Care,Proprietary,173.0,38.079485,-97.892275,KS,1.1,,,8.1,5.0,2.5
1254,ST CATHERINE HOSPITAL (170023),2015,Acute Care,Voluntary non-profit - Private,98.0,37.968871,-100.868615,KS,16.1,46.6,4.8,3.8,1.1,0.3
1255,PRATT REGIONAL MEDICAL CENTER (170027),2015,Acute Care,Voluntary non-profit - Private,83.0,37.645365,-98.729367,KS,63.0,66.7,14.3,3.8,,8.1
1256,SUMNER REGIONAL MEDICAL CENTER (170039),2015,Acute Care,Government - Local,61.0,37.277815,-97.394251,KS,65.6,,2.8,,,28.8
1257,UNIVERSITY OF KANSAS HOSPITAL (170040),2015,Acute Care,Government - Hospital District or Authority,770.0,39.055395,-94.608229,KS,15.4,36.8,9.2,5.6,2.7,0.1
1258,OLATHE MEDICAL CENTER (170049),2015,Acute Care,Voluntary non-profit - Private,246.0,38.854524,-94.823673,KS,1.2,47.9,9.0,4.3,3.0,0.0
1259,MERCY HOSPITAL-FORT SCOTT (170058),2015,Acute Care,Voluntary non-profit - Church,51.0,,,KS,13.7,46.9,13.4,7.7,,10.3
1260,SOUTHWEST MEDICAL CENTER (170068),2015,Acute Care,Government - Local,84.0,37.054216,-100.926569,KS,22.4,60.0,3.7,5.2,1.0,13.2
1261,GEARY COMMUNITY HOSPITAL (170074),2015,Acute Care,Government - Local,55.0,39.013979,-96.849798,KS,3.3,51.2,4.4,1.2,,1.4
1262,STORMONT-VAIL HEALTHCARE (170086),2015,Acute Care,Voluntary non-profit - Private,422.0,39.051129,-95.695627,KS,4.7,41.8,,4.6,2.4,1.7
1263,COFFEY COUNTY HOSPITAL (170094),2015,Acute Care,Government - Local,102.0,,,KS,38.7,,3.1,,,
1264,NEWTON MEDICAL CENTER (170103),2015,Acute Care,Voluntary non-profit - Private,100.0,38.023034,-97.33654,KS,2.3,42.9,4.7,0.0,2.1,0.0
1265,SHAWNEE MISSION MEDICAL CENTER (170104),2015,Acute Care,Voluntary non-profit - Church,370.0,38.995137,-94.69204,KS,11.6,46.2,6.8,6.4,2.0,5.5
1266,MCPHERSON HOSPITAL INC (170105),2015,Acute Care,Voluntary non-profit - Private,37.0,38.379006,-97.672485,KS,57.3,,12.5,,,5.3
1267,MIAMI COUNTY MEDICAL CENTER (170109),2015,Acute Care,Government - Hospital District or Authority,18.0,38.568591,-94.850849,KS,2.4,,8.9,8.8,,0.9
1268,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL (170110),2015,Acute Care,Government - Local,24.0,37.583992,-101.358013,KS,,,6.4,,,
1269,LABETTE HEALTH (170120),2015,Acute Care,Government - Local,56.0,37.322012,-95.266593,KS,70.7,50.7,6.7,4.8,,0.6
1270,"VIA CHRISTI HOSPITALS WICHITA, INC (170122)",2015,Acute Care,Voluntary non-profit - Church,690.0,37.700627,-97.331694,KS,46.5,,7.8,3.1,1.5,8.9
1271,WESLEY MEDICAL CENTER (170123),2015,Acute Care,Proprietary,572.0,37.695489,-97.299058,KS,2.8,54.7,9.2,1.5,2.1,0.3
1272,SAINT LUKE'S CUSHING HOSPITAL (170133),2015,Acute Care,Voluntary non-profit - Private,29.0,39.307773,-94.918355,KS,8.5,,8.2,1.9,,2.7
