,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
251,SAN MATEO MEDICAL CENTER (050113),2015,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,,,,,,,,,,,,,,,,,,,,,0.9564,14.9,,,14.3
252,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2015,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,0.9349,14.0,217.0,25.0,13.1,0.971,20.1,257.0,48.0,19.5,0.9454,21.0,333.0,63.0,19.9,0.7954,4.8,,,3.8,0.9527,15.8,317.0,45.0,15.1
253,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2015,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,0.9507,19.6,288.0,51.0,18.7,0.9682,23.3,259.0,56.0,22.6,1.0467,23.9,601.0,153.0,25.0,1.0398,5.8,356.0,22.0,6.0,0.9945,18.6,386.0,71.0,18.5
254,DOCTORS HOSPITAL OF MANTECA (050118),2015,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,1.0587,20.1,,,21.3,1.0339,21.7,229.0,54.0,22.5,1.1651,22.2,220.0,66.0,25.9,1.0887,5.2,,,5.7,0.9981,17.6,194.0,34.0,17.6
255,ADVENTIST MEDICAL CENTER (050121),2015,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,0.9959,18.8,,,18.7,1.0485,19.0,445.0,92.0,19.9,1.1094,22.2,510.0,132.0,24.7,0.8478,5.1,,,4.3,0.9551,15.8,548.0,80.0,15.1
256,DAMERON HOSPITAL (050122),2015,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,0.9927,15.8,,,15.7,1.1099,21.8,186.0,53.0,24.2,1.0886,24.3,105.0,33.0,26.5,1.125,5.3,534.0,34.0,6.0,0.9549,19.2,141.0,23.0,18.3
257,USC VERDUGO HILLS HOSPITAL (050124),2015,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,0.9916,20.7,,,20.5,0.9463,21.4,169.0,30.0,20.2,0.9544,21.6,183.0,35.0,20.6,1.0031,6.3,,,6.3,1.013,16.5,223.0,38.0,16.7
258,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2015,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,1.0564,18.9,256.0,54.0,19.9,1.0709,20.3,469.0,107.0,21.7,1.0711,23.0,612.0,155.0,24.7,1.036,5.5,,,5.7,0.9482,17.1,476.0,74.0,16.2
259,VALLEY PRESBYTERIAN HOSPITAL (050126),2015,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,0.9998,20.2,198.0,40.0,20.2,1.0145,23.6,246.0,60.0,23.9,1.0737,24.5,443.0,121.0,26.3,1.1146,5.6,685.0,45.0,6.3,1.0416,20.3,196.0,44.0,21.1
260,WOODLAND MEMORIAL HOSPITAL (050127),2015,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,,,,,,1.043,20.6,88.0,22.0,21.4,0.9001,19.8,,,17.8,0.8921,4.8,,,4.3,1.0018,16.4,103.0,17.0,16.4
261,TRI-CITY MEDICAL CENTER (050128),2015,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,0.9383,16.5,247.0,35.0,15.5,1.0261,19.7,411.0,85.0,20.2,0.9766,20.6,425.0,84.0,20.1,0.9851,5.3,290.0,15.0,5.3,0.9649,16.0,429.0,64.0,15.4
262,ST BERNARDINE MEDICAL CENTER (050129),2015,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,1.0416,17.9,293.0,57.0,18.7,1.0013,22.1,203.0,45.0,22.1,1.0095,21.6,268.0,59.0,21.8,0.915,5.7,260.0,12.0,5.2,0.9503,19.2,264.0,45.0,18.2
263,NOVATO COMMUNITY HOSPITAL (050131),2015,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,,,,,,0.9917,18.7,,,18.6,0.9434,21.3,126.0,22.0,20.1,1.0261,4.7,238.0,12.0,4.8,0.9589,16.8,96.0,13.0,16.1
264,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2015,Acute Care,Physician,272.0,34.102461,-118.105572,CA,1.0129,22.0,46.0,11.0,22.3,1.0087,20.7,260.0,55.0,20.9,1.0574,23.8,352.0,92.0,25.2,0.8802,6.5,,,5.7,1.1282,19.8,338.0,83.0,22.3
265,RIDEOUT MEMORIAL HOSPITAL (050133),2015,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,1.0508,18.1,285.0,57.0,19.0,1.0546,21.2,585.0,135.0,22.4,0.9582,22.5,600.0,127.0,21.6,1.0012,7.2,,,7.2,1.087,17.3,718.0,140.0,18.8
266,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2015,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,1.0444,25.6,35.0,12.0,26.7,0.969,23.5,186.0,40.0,22.8,0.9416,27.0,58.0,11.0,25.5,,,0.0,,,0.9858,25.0,77.0,18.0,24.6
267,PETALUMA VALLEY HOSPITAL (050136),2015,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,0.9739,20.1,79.0,14.0,19.6,0.9438,20.0,107.0,16.0,18.9,0.9037,22.5,137.0,22.0,20.3,0.868,5.4,,,4.7,0.8892,15.5,201.0,21.0,13.8
268,KAISER FOUNDATION HOSPITAL - LOS ANGELES (050138),2015,Acute Care,Voluntary non-profit - Other,517.0,34.098141,-118.294825,CA,0.9757,14.7,,,14.3,,,,,,,,,,,,,,,,,,,,
269,KAISER FOUNDATION HOSPITAL FONTANA (050140),2015,Acute Care,Voluntary non-profit - Private,634.0,34.072271,-117.433458,CA,,,,,,1.0367,20.4,,,21.2,0.9666,22.5,,,21.7,,,,,,1.0651,19.4,34.0,11.0,20.7
270,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA (050145),2015,Acute Care,Voluntary non-profit - Private,278.0,,,CA,0.8668,16.3,194.0,20.0,14.1,0.9454,18.8,332.0,55.0,17.8,0.7783,20.5,463.0,60.0,15.9,0.9001,5.0,702.0,30.0,4.5,0.9152,15.8,518.0,70.0,14.5
271,CALIFORNIA HOSPITAL MEDICAL CENTER LA (050149),2015,Acute Care,Voluntary non-profit - Other,312.0,34.037212,-118.265363,CA,1.0531,23.5,,,24.7,1.0774,21.7,121.0,34.0,23.3,1.1496,24.2,199.0,64.0,27.8,,,,,,1.1112,18.2,91.0,25.0,20.2
272,SIERRA NEVADA MEMORIAL HOSPITAL (050150),2015,Acute Care,Voluntary non-profit - Other,108.0,39.228949,-121.047264,CA,0.951,20.8,95.0,16.0,19.8,0.9881,18.7,292.0,53.0,18.4,1.0318,22.1,282.0,66.0,22.8,0.9104,5.2,291.0,12.0,4.7,1.0809,16.3,446.0,83.0,17.6
273,SAINT FRANCIS MEMORIAL HOSPITAL (050152),2015,Acute Care,Voluntary non-profit - Private,202.0,37.789561,-122.417112,CA,,,,,,1.0296,21.7,187.0,44.0,22.3,1.0073,21.0,140.0,30.0,21.1,0.83,5.2,,,4.3,1.1166,15.3,249.0,49.0,17.0
274,O'CONNOR HOSPITAL (050153),2015,Acute Care,Voluntary non-profit - Church,348.0,,,CA,1.0276,16.9,211.0,38.0,17.3,1.0713,20.4,270.0,64.0,21.8,0.9907,23.0,493.0,112.0,22.8,0.9081,5.3,306.0,13.0,4.8,1.0018,15.9,333.0,53.0,15.9
275,ENCINO HOSPITAL MEDICAL CENTER (050158),2015,Acute Care,Proprietary,139.0,34.156826,-118.486948,CA,0.9769,24.6,,,24.0,1.0192,26.0,62.0,18.0,26.5,1.0967,24.4,106.0,34.0,26.8,,,,,,0.9746,18.9,,,18.4
276,VENTURA COUNTY MEDICAL CENTER (050159),2015,Acute Care,Government - Local,269.0,34.279055,-119.254355,CA,,,,,,1.0132,18.4,70.0,14.0,18.7,1.0009,22.8,70.0,16.0,22.8,1.089,4.6,,,5.0,0.9414,16.3,101.0,12.0,15.3
277,SAN JOAQUIN GENERAL HOSPITAL (050167),2015,Acute Care,Government - Local,187.0,37.886492,-121.282061,CA,,,,,,0.9962,18.0,,,18.0,0.9976,20.8,68.0,14.0,20.8,,,,,,0.9745,17.5,,,17.1
278,ST JUDE MEDICAL CENTER (050168),2015,Acute Care,Voluntary non-profit - Church,336.0,33.893503,-117.927952,CA,0.9518,17.3,289.0,45.0,16.5,1.0432,21.4,304.0,71.0,22.3,0.925,22.7,616.0,125.0,21.0,0.7698,5.2,394.0,11.0,4.0,0.9489,17.5,405.0,64.0,16.6
279,PRESBYTERIAN INTERCOMMUNITY HOSPITAL (050169),2015,Acute Care,Voluntary non-profit - Private,431.0,33.967433,-118.048143,CA,0.9817,20.0,347.0,67.0,19.6,0.9439,22.2,259.0,50.0,21.0,0.9551,23.6,425.0,93.0,22.5,0.7399,5.4,,,4.0,0.9582,17.9,277.0,45.0,17.2
280,SANTA ROSA MEMORIAL HOSPITAL (050174),2015,Acute Care,Voluntary non-profit - Private,280.0,38.442954,-122.701112,CA,0.8225,16.2,323.0,33.0,13.4,0.9687,21.5,309.0,62.0,20.8,0.842,21.0,512.0,81.0,17.7,0.7511,5.1,736.0,23.0,3.8,0.8204,16.7,370.0,39.0,13.7
281,EMANUEL MEDICAL CENTER (050179),2015,Acute Care,Voluntary non-profit - Church,1288.0,37.510487,-120.837491,CA,1.0373,17.7,212.0,41.0,18.4,1.0864,20.9,316.0,78.0,22.7,1.0902,22.0,395.0,100.0,24.0,1.1855,5.1,183.0,14.0,6.0,1.2138,16.4,398.0,91.0,19.9
282,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS (050180),2015,Acute Care,Voluntary non-profit - Other,473.0,37.914297,-122.042071,CA,0.9841,19.5,203.0,38.0,19.2,0.9274,22.4,383.0,74.0,20.8,0.7957,23.1,622.0,101.0,18.3,0.8824,4.9,947.0,39.0,4.4,0.9311,17.0,443.0,66.0,15.8
283,GEORGE L MEE MEMORIAL HOSPITAL (050189),2015,Acute Care,Voluntary non-profit - Other,89.0,36.206819,-121.132137,CA,,,0.0,,,1.0243,15.8,,,16.2,1.0225,20.3,,,20.8,,,,,,0.952,15.5,,,14.8
284,ST MARY MEDICAL CENTER (050191),2015,Acute Care,Voluntary non-profit - Church,304.0,33.779954,-118.186683,CA,1.0561,20.0,80.0,20.0,21.1,0.9487,25.9,180.0,40.0,24.6,1.0391,25.5,176.0,49.0,26.5,1.0071,7.9,,,8.0,0.9844,22.1,184.0,39.0,21.7
285,ADVENTIST MEDICAL CENTER - REEDLEY (050192),2015,Acute Care,Voluntary non-profit - Private,49.0,36.607812,-119.451695,CA,,,,,,1.011,16.7,,,16.8,0.9712,22.0,,,21.4,,,,,,1.0042,14.6,80.0,12.0,14.7
286,WATSONVILLE COMMUNITY HOSPITAL (050194),2015,Acute Care,Proprietary,106.0,36.92828,-121.793721,CA,0.9917,18.9,,,18.8,1.0104,20.1,129.0,27.0,20.3,1.0466,20.8,185.0,43.0,21.8,0.9892,5.2,,,5.1,1.042,16.2,217.0,39.0,16.8
287,WASHINGTON HOSPITAL (050195),2015,Acute Care,Government - Hospital District or Authority,320.0,37.557653,-121.98087,CA,1.152,18.6,225.0,56.0,21.4,1.1178,22.3,386.0,105.0,25.0,1.1418,23.5,518.0,147.0,26.8,0.7504,4.7,1918.0,62.0,3.5,1.1257,18.3,483.0,107.0,20.6
288,SEQUOIA HOSPITAL (050197),2015,Acute Care,Voluntary non-profit - Private,219.0,37.480987,-122.253223,CA,0.9136,18.9,104.0,13.0,17.3,0.911,19.5,105.0,12.0,17.8,0.9427,21.1,430.0,82.0,19.9,0.8485,4.7,,,4.0,1.004,16.3,268.0,44.0,16.3
289,PALMDALE REGIONAL MEDICAL CENTER (050204),2015,Acute Care,Proprietary,170.0,34.585688,-118.14364,CA,1.0535,17.4,132.0,27.0,18.3,0.9715,21.2,317.0,63.0,20.6,1.0695,23.6,313.0,83.0,25.2,1.1916,5.4,121.0,11.0,6.5,0.9153,18.0,202.0,28.0,16.5
290,GLENDORA COMMUNITY HOSPITAL (050205),2015,Acute Care,Proprietary,128.0,34.128685,-117.865193,CA,0.9889,24.0,,,23.7,0.8955,21.4,,,19.2,0.9643,24.0,,,23.1,,,,,,0.9094,20.2,168.0,25.0,18.4
291,ALAMEDA HOSPITAL (050211),2015,Acute Care,Government - Hospital District or Authority,231.0,37.76323,-122.253541,CA,1.0208,21.3,59.0,14.0,21.8,1.0402,20.2,105.0,25.0,21.0,1.0546,22.0,193.0,48.0,23.2,0.926,5.0,,,4.6,1.0739,17.3,225.0,46.0,18.5
292,SHARP CHULA VISTA MEDICAL CENTER (050222),2015,Acute Care,Proprietary,370.0,32.618448,-117.02399,CA,0.9623,18.7,156.0,26.0,18.0,0.9146,21.5,344.0,61.0,19.7,0.9123,23.3,756.0,155.0,21.2,1.2331,6.2,172.0,17.0,7.6,0.8782,17.8,409.0,56.0,15.6
293,HOAG MEMORIAL HOSPITAL PRESBYTERIAN (050224),2015,Acute Care,Voluntary non-profit - Private,468.0,,,CA,0.8767,17.2,319.0,41.0,15.0,0.9663,21.6,439.0,89.0,20.9,0.9346,22.8,474.0,97.0,21.3,0.8823,4.7,,,4.2,0.9915,18.4,656.0,119.0,18.2
294,FEATHER RIVER HOSPITAL (050225),2015,Acute Care,Voluntary non-profit - Church,100.0,39.756161,-121.572305,CA,0.9076,20.9,102.0,14.0,19.0,0.9209,21.1,206.0,34.0,19.5,0.8957,23.4,264.0,49.0,21.0,1.1311,5.1,478.0,30.0,5.8,0.9119,18.0,344.0,51.0,16.4
295,AHMC ANAHEIM REGIONAL MEDICAL CENTER (050226),2015,Acute Care,Voluntary non-profit - Private,223.0,33.847138,-117.933934,CA,1.1454,18.7,119.0,33.0,21.4,1.0849,22.1,261.0,69.0,24.0,0.9992,22.7,397.0,90.0,22.7,1.209,6.7,92.0,11.0,8.1,0.9752,19.4,293.0,54.0,19.0
296,SAN FRANCISCO GENERAL HOSPITAL (050228),2015,Acute Care,Government - Local,422.0,37.756171,-122.406608,CA,0.975,15.8,,,15.4,1.0347,18.7,101.0,22.0,19.3,1.0819,21.0,165.0,42.0,22.7,0.9864,3.9,,,3.9,1.046,14.9,124.0,22.0,15.6
297,GARDEN GROVE HOSPITAL & MEDICAL CENTER (050230),2015,Acute Care,Proprietary,160.0,33.774471,-117.913645,CA,0.9291,23.6,83.0,14.0,21.9,1.0455,22.3,118.0,31.0,23.3,1.0185,24.0,114.0,29.0,24.5,,,,,,0.9753,19.6,155.0,28.0,19.1
298,POMONA VALLEY HOSPITAL MEDICAL CENTER (050231),2015,Acute Care,Voluntary non-profit - Private,399.0,34.077639,-117.752329,CA,0.9235,18.2,121.0,16.0,16.8,1.0479,22.6,213.0,54.0,23.7,1.0821,24.1,427.0,116.0,26.0,0.8182,5.6,,,4.5,1.0458,19.5,221.0,48.0,20.4
299,FRENCH HOSPITAL MEDICAL CENTER (050232),2015,Acute Care,Voluntary non-profit - Other,103.0,35.278663,-120.650212,CA,0.89,14.5,309.0,34.0,12.9,0.9584,18.5,79.0,11.0,17.8,1.0082,20.8,260.0,55.0,21.0,0.8982,4.7,545.0,21.0,4.2,0.8601,16.4,175.0,16.0,14.1
300,SHARP CORONADO HOSPITAL AND HLTHCR CTR (050234),2015,Acute Care,Voluntary non-profit - Other,185.0,32.694257,-117.167947,CA,,,,,,0.9821,19.8,,,19.5,0.9952,21.1,87.0,18.0,21.0,0.9775,4.7,268.0,12.0,4.6,1.0166,16.0,,,16.3
301,PROVIDENCE SAINT JOSEPH MEDICAL CTR (050235),2015,Acute Care,Voluntary non-profit - Church,361.0,34.157643,-118.327841,CA,1.047,16.2,215.0,39.0,17.0,1.0184,22.4,578.0,133.0,22.8,0.9672,23.1,853.0,189.0,22.4,0.8918,6.1,350.0,17.0,5.4,1.095,18.6,483.0,104.0,20.4
302,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES (050236),2015,Acute Care,Voluntary non-profit - Church,144.0,34.288837,-118.74396,CA,1.1424,20.8,86.0,28.0,23.7,1.0433,21.9,218.0,53.0,22.8,0.9831,23.4,257.0,58.0,23.0,1.2152,5.8,,,7.0,0.8736,18.7,209.0,26.0,16.4
303,METHODIST HOSPITAL OF SOUTHERN CA (050238),2015,Acute Care,Voluntary non-profit - Private,404.0,34.134862,-118.042446,CA,0.9904,19.0,274.0,51.0,18.8,0.9026,20.8,499.0,86.0,18.7,0.9642,22.0,623.0,130.0,21.2,1.0484,5.4,409.0,24.0,5.7,0.9288,17.3,457.0,69.0,16.1
304,GLENDALE ADVENTIST MEDICAL CENTER (050239),2015,Acute Care,Voluntary non-profit - Private,460.0,34.149161,-118.230354,CA,1.0902,18.7,354.0,77.0,20.4,0.9738,22.1,428.0,90.0,21.5,1.0665,24.0,633.0,166.0,25.6,0.8635,7.0,559.0,31.0,6.0,1.1019,19.5,652.0,146.0,21.5
305,DOMINICAN HOSPITAL (050242),2015,Acute Care,Voluntary non-profit - Church,234.0,36.988341,-121.983818,CA,0.8881,14.9,227.0,24.0,13.3,0.9336,17.8,240.0,35.0,16.6,0.8653,20.2,458.0,72.0,17.5,0.9571,4.7,281.0,12.0,4.5,0.882,14.7,380.0,42.0,12.9
306,DESERT REGIONAL MEDICAL CENTER (050243),2015,Acute Care,Proprietary,364.0,33.838861,-116.545598,CA,1.118,15.8,244.0,49.0,17.6,1.0466,20.2,292.0,65.0,21.1,0.9331,22.9,309.0,62.0,21.4,0.9518,5.2,238.0,11.0,5.0,0.9705,16.5,280.0,43.0,16.0
307,ARROWHEAD REGIONAL MEDICAL CENTER (050245),2015,Acute Care,Government - Local,454.0,34.072884,-117.352833,CA,0.9852,16.7,,,16.5,0.9918,17.8,77.0,13.0,17.6,0.9782,21.7,138.0,28.0,21.2,,,,,,1.0295,17.0,87.0,17.0,17.5
308,NATIVIDAD MEDICAL CENTER (050248),2015,Acute Care,Government - Hospital District or Authority,172.0,36.695472,-121.63124,CA,,,,,,1.0689,19.4,63.0,18.0,20.7,0.9941,23.4,79.0,18.0,23.2,1.0507,4.0,,,4.2,1.0262,15.5,85.0,15.0,15.9
309,MARSHALL MEDICAL CENTER (050254),2015,Acute Care,Voluntary non-profit - Other,114.0,38.724483,-120.790643,CA,0.9409,19.0,,,17.9,1.0161,21.3,295.0,65.0,21.6,1.007,22.5,289.0,66.0,22.7,0.8733,5.3,,,4.7,1.0421,18.1,347.0,68.0,18.9
310,GOOD SAMARITAN HOSPITAL (050257),2015,Acute Care,Proprietary,109.0,35.412258,-119.039498,CA,,,0.0,,,0.9945,21.2,,,21.0,1.0253,22.0,,,22.6,,,,,,0.9699,17.5,,,17.0
311,SIERRA VIEW MEDICAL CENTER (050261),2015,Acute Care,Voluntary non-profit - Private,163.0,36.069573,-119.027274,CA,1.1082,20.4,93.0,27.0,22.6,1.0866,19.5,358.0,82.0,21.2,1.0439,21.7,289.0,68.0,22.7,0.924,5.7,,,5.3,0.8886,17.1,420.0,57.0,15.2
312,RONALD REAGAN UCLA MEDICAL CENTER (050262),2015,Acute Care,Government - State,454.0,34.063939,-118.445411,CA,1.1357,17.4,208.0,48.0,19.7,1.0511,21.2,82.0,22.0,22.3,0.9926,25.2,382.0,95.0,25.0,,,,,,1.033,19.0,244.0,50.0,19.7
313,REDLANDS COMMUNITY HOSPITAL (050272),2015,Acute Care,Government - Federal,227.0,34.038404,-117.206414,CA,0.9703,19.9,,,19.3,0.9992,19.9,96.0,19.0,19.9,0.9822,22.2,138.0,29.0,21.8,0.9551,4.7,,,4.4,1.0008,17.6,289.0,51.0,17.6
314,CONTRA COSTA REGIONAL MEDICAL CENTER (050276),2015,Acute Care,Government - Local,150.0,38.006467,-122.130891,CA,,,,,,0.9663,18.0,,,17.4,0.923,19.2,,,17.7,,,,,,0.996,15.0,75.0,11.0,15.0
315,PROVIDENCE HOLY CROSS MEDICAL CENTER (050278),2015,Acute Care,Voluntary non-profit - Church,374.0,34.279013,-118.459485,CA,1.0169,17.7,134.0,25.0,18.0,0.9798,23.1,312.0,69.0,22.6,1.0509,25.7,555.0,153.0,27.0,1.1914,5.8,229.0,19.0,6.9,1.0138,20.5,468.0,98.0,20.8
316,HI-DESERT MEDICAL CENTER (050279),2015,Acute Care,Government - Hospital District or Authority,178.0,34.132676,-116.276709,CA,,,,,,0.9626,21.2,156.0,29.0,20.4,0.9364,21.7,102.0,17.0,20.4,1.0131,5.9,,,6.0,1.0567,18.3,158.0,34.0,19.4
317,MERCY MEDICAL CENTER REDDING (050280),2015,Acute Care,Voluntary non-profit - Private,266.0,,,CA,0.8618,15.1,389.0,43.0,13.0,0.9125,19.7,377.0,61.0,17.9,0.7808,21.1,599.0,85.0,16.5,0.8238,5.0,765.0,28.0,4.1,0.8492,16.8,572.0,72.0,14.3
318,ALHAMBRA HOSPITAL MEDICAL CENTER (050281),2015,Acute Care,Proprietary,144.0,34.090156,-118.145017,CA,0.987,26.0,,,25.7,0.8841,21.0,183.0,25.0,18.6,0.997,26.5,137.0,36.0,26.4,,,,,,0.9033,21.9,285.0,50.0,19.8
319,VALLEYCARE MEDICAL CENTER (050283),2015,Acute Care,Voluntary non-profit - Private,211.0,37.692133,-121.880027,CA,0.9785,16.2,127.0,19.0,15.9,1.0696,19.0,207.0,47.0,20.3,0.9603,21.7,333.0,67.0,20.8,1.0092,4.9,341.0,17.0,4.9,0.9386,15.6,374.0,51.0,14.6
320,SETON MEDICAL CENTER (050289),2015,Acute Care,Voluntary non-profit - Church,443.0,37.680315,-122.47291,CA,1.0686,18.2,141.0,31.0,19.4,0.9958,20.6,235.0,48.0,20.6,1.0034,22.8,445.0,102.0,22.9,1.1366,5.2,166.0,12.0,5.9,1.0183,17.4,276.0,50.0,17.7
321,PROVIDENCE SAINT JOHN'S HEALTH CENTER (050290),2015,Acute Care,Voluntary non-profit - Private,260.0,34.03007,-118.478305,CA,0.9273,18.7,208.0,32.0,17.4,0.9475,23.8,271.0,57.0,22.6,1.086,23.5,471.0,125.0,25.5,0.635,5.1,2189.0,63.0,3.2,0.9606,17.8,589.0,98.0,17.1
322,SUTTER SANTA ROSA REGIONAL HOSPITAL (050291),2015,Acute Care,Voluntary non-profit - Other,92.0,38.496306,-122.750707,CA,0.8092,14.3,,,11.6,0.9526,20.4,106.0,17.0,19.4,0.8357,20.1,184.0,21.0,16.8,0.886,5.3,,,4.7,1.009,16.5,81.0,14.0,16.6
323,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER (050292),2015,Acute Care,Government - Local,400.0,33.910054,-117.195824,CA,,,,,,0.9672,23.5,73.0,14.0,22.7,1.0654,22.2,115.0,31.0,23.7,,,,,,1.024,17.5,109.0,21.0,17.9
324,MERCY HOSPITAL (050295),2015,Acute Care,Voluntary non-profit - Other,226.0,35.373323,-119.027386,CA,0.9909,23.0,,,22.8,1.0306,21.6,246.0,57.0,22.2,1.0347,24.0,173.0,45.0,24.8,0.7343,5.6,,,4.1,1.0704,17.7,384.0,77.0,19.0
325,HAZEL HAWKINS MEMORIAL HOSPITAL (050296),2015,Acute Care,Government - Hospital District or Authority,168.0,36.835122,-121.38662,CA,,,,,,1.1016,19.9,72.0,23.0,21.9,1.0105,19.6,118.0,24.0,19.8,,,,,,1.0437,13.5,153.0,24.0,14.1
326,BARSTOW COMMUNITY HOSPITAL (050298),2015,Acute Care,Proprietary,33.0,34.893696,-117.0166,CA,,,,,,0.9218,20.2,,,18.6,1.0391,21.8,140.0,34.0,22.7,,,,,,1.0436,18.7,94.0,21.0,19.5
327,ST MARY MEDICAL CENTER (050300),2015,Acute Care,Voluntary non-profit - Private,210.0,34.542046,-117.265602,CA,1.0719,17.3,260.0,52.0,18.6,0.9601,21.2,383.0,75.0,20.4,1.088,22.2,444.0,112.0,24.1,0.9784,5.3,,,5.2,1.0204,18.7,303.0,59.0,19.1
328,UKIAH VALLEY MEDICAL CENTER/HOSPITAL D (050301),2015,Acute Care,Voluntary non-profit - Church,50.0,39.153019,-123.2038,CA,,,,,,0.9642,18.9,113.0,18.0,18.3,0.9605,21.2,213.0,41.0,20.3,1.0842,5.4,,,5.8,0.9185,15.7,208.0,25.0,14.4
329,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP (050305),2015,Acute Care,Voluntary non-profit - Private,423.0,37.856488,-122.257329,CA,1.0036,19.6,55.0,11.0,19.6,0.9931,20.2,187.0,37.0,20.1,0.9687,21.6,271.0,55.0,21.0,0.7702,4.8,,,3.7,1.0216,15.9,202.0,34.0,16.2
330,EL CAMINO HOSPITAL (050308),2015,Acute Care,Government - Hospital District or Authority,448.0,37.369341,-122.077933,CA,0.9614,16.2,200.0,29.0,15.5,0.9813,20.2,345.0,67.0,19.8,0.9044,21.4,629.0,116.0,19.4,1.0782,4.8,748.0,40.0,5.2,0.9968,15.9,506.0,80.0,15.8
331,SUTTER ROSEVILLE MEDICAL CENTER (050309),2015,Acute Care,Voluntary non-profit - Other,330.0,,,CA,0.7943,17.2,279.0,26.0,13.6,0.9841,20.6,489.0,98.0,20.3,0.867,22.4,464.0,82.0,19.4,1.1105,4.7,536.0,30.0,5.2,0.9772,16.5,436.0,69.0,16.1
332,SUTTER TRACY COMMUNITY HOSPITAL (050313),2015,Acute Care,Voluntary non-profit - Private,80.0,37.744232,-121.43494,CA,,,,,,0.9813,20.5,131.0,25.0,20.1,1.0584,22.7,119.0,32.0,24.1,0.9818,5.0,,,4.9,1.0101,17.8,130.0,24.0,18.0
333,HIGHLAND HOSPITAL (050320),2015,Acute Care,Government - Hospital District or Authority,416.0,37.799234,-122.231199,CA,,,,,,1.0677,18.3,68.0,18.0,19.6,1.1201,19.9,65.0,21.0,22.3,,,,,,0.9673,16.2,,,15.6
334,SCRIPPS MEMORIAL HOSPITAL LA JOLLA (050324),2015,Acute Care,Voluntary non-profit - Other,361.0,32.8855,-117.223022,CA,0.8944,15.9,237.0,28.0,14.3,0.8824,21.4,166.0,22.0,18.8,0.9639,21.1,335.0,66.0,20.3,0.749,5.0,507.0,14.0,3.8,1.1513,16.2,308.0,66.0,18.7
335,LOMA LINDA UNIVERSITY MEDICAL CENTER (050327),2015,Acute Care,Voluntary non-profit - Private,571.0,34.049482,-117.261122,CA,0.9154,16.9,230.0,31.0,15.5,1.0331,22.2,146.0,36.0,23.0,1.0104,23.1,512.0,120.0,23.3,0.9256,5.8,495.0,25.0,5.3,1.0256,18.1,213.0,41.0,18.5
336,CORONA REGIONAL MEDICAL CENTER (050329),2015,Acute Care,Proprietary,238.0,33.873327,-117.566768,CA,1.0209,21.5,,,22.0,1.0056,21.0,183.0,39.0,21.1,0.9899,24.1,262.0,62.0,23.9,0.888,5.5,,,4.9,1.1022,19.5,232.0,56.0,21.5
