,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
482,PLATTE VALLEY MEDICAL CENTER (060004),2014,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,0.9595,17.6,41.0,,16.9,1.0199,21.9,98.0,23.0,22.4,0.9751,16.0,131.0,19.0,15.6
483,MONTROSE MEMORIAL HOSPITAL (060006),2014,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,1.0108,13.9,68.0,,14.0,0.8912,19.0,94.0,,16.9,0.9685,13.5,112.0,13.0,13.1
484,SAN LUIS VALLEY REGIONAL MEDICAL CENTER (060008),2014,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,,,,,,0.9649,20.6,70.0,12.0,19.9,0.9021,16.4,119.0,12.0,14.8
485,EXEMPLA LUTHERAN MEDICAL CENTER (060009),2014,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,1.0378,16.7,255.0,46.0,17.4,0.8376,21.4,409.0,64.0,17.9,0.9468,17.0,404.0,62.0,16.1
486,POUDRE VALLEY HOSPITAL (060010),2014,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,0.9422,16.8,131.0,18.0,15.8,0.8816,21.6,361.0,62.0,19.0,0.9585,16.5,464.0,71.0,15.8
487,DENVER HEALTH MEDICAL CENTER (060011),2014,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,,,,,,1.0347,23.9,81.0,22.0,24.7,0.9579,16.5,47.0,,15.8
488,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER (060012),2014,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,0.9859,15.2,131.0,19.0,15.0,0.9261,21.6,196.0,35.0,20.0,0.9018,16.8,209.0,26.0,15.2
489,MERCY REGIONAL MEDICAL CENTER (060013),2014,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,0.9484,14.1,115.0,13.0,13.3,0.8897,20.0,102.0,12.0,17.8,0.8852,15.7,170.0,17.0,13.9
490,PRESBYTERIAN ST LUKES MEDICAL CENTER (060014),2014,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,0.9511,14.0,84.0,,13.3,0.9398,22.5,120.0,22.0,21.2,0.9148,17.7,111.0,13.0,16.2
491,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2014,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,0.8957,14.7,167.0,17.0,13.1,1.0352,23.0,177.0,44.0,23.8,0.9666,18.0,143.0,23.0,17.4
492,CENTURA HEALTH-ST THOMAS MORE HOSPITAL (060016),2014,Acute Care,Voluntary non-profit - Private,152.0,,,CO,,,,,,0.882,21.6,77.0,,19.0,0.8876,16.7,172.0,19.0,14.8
493,PARKVIEW MEDICAL CENTER INC (060020),2014,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,0.9316,15.6,229.0,30.0,14.5,0.8511,23.1,299.0,50.0,19.7,0.8173,17.0,468.0,54.0,13.9
494,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL (060022),2014,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,0.7855,15.6,358.0,33.0,12.2,0.7638,22.0,650.0,95.0,16.8,0.9008,16.5,651.0,91.0,14.9
495,ST MARYS HOSPITAL AND MEDICAL CENTER (060023),2014,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,0.9469,13.6,243.0,29.0,12.9,1.0461,20.0,204.0,45.0,20.9,0.9796,16.5,230.0,36.0,16.1
496,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT (060024),2014,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,1.0027,17.1,122.0,21.0,17.1,0.948,24.2,314.0,69.0,22.9,0.968,19.0,228.0,40.0,18.4
497,BOULDER COMMUNITY HOSPITAL (060027),2014,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,0.938,15.6,102.0,12.0,14.6,0.8311,19.8,259.0,33.0,16.4,0.8842,16.2,249.0,29.0,14.4
498,EXEMPLA SAINT JOSEPH HOSPITAL (060028),2014,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,1.0523,15.9,28.0,,16.7,1.0261,23.5,52.0,14.0,24.1,0.9974,18.2,45.0,,18.1
499,MCKEE MEDICAL CENTER (060030),2014,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,0.8945,15.9,92.0,,14.3,0.987,20.7,175.0,35.0,20.4,1.0353,15.6,229.0,39.0,16.2
500,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2014,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,0.9456,14.0,366.0,46.0,13.2,0.8938,21.0,553.0,98.0,18.8,0.9822,15.6,595.0,90.0,15.3
501,ROSE MEDICAL CENTER (060032),2014,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,0.9681,15.5,123.0,17.0,15.0,0.9371,22.3,213.0,41.0,20.9,1.0397,16.4,198.0,36.0,17.1
502,SWEDISH MEDICAL CENTER (060034),2014,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,0.876,15.9,129.0,12.0,14.0,0.892,21.9,349.0,62.0,19.5,0.9931,17.4,320.0,55.0,17.3
503,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (060036),2014,Acute Care,Voluntary non-profit - Private,125.0,,,CO,0.972,21.1,36.0,,20.5,0.9714,22.3,104.0,21.0,21.7,1.0376,17.3,334.0,62.0,17.9
504,KEEFE MEMORIAL HOSPITAL (060043),2014,Acute Care,Government - Hospital District or Authority,11.0,,,CO,,,,,,,,,,,1.042,16.9,55.0,12.0,17.7
505,COLORADO PLAINS MEDICAL CENTER (060044),2014,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,,,,,,0.9989,22.4,54.0,12.0,22.3,0.9045,16.8,89.0,,15.2
506,YAMPA VALLEY MEDICAL CENTER (060049),2014,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,,,,,,0.9749,18.1,30.0,,17.7,0.9792,14.2,44.0,,13.9
507,COMMUNITY HOSPITAL (060054),2014,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,,,,,,1.0077,18.6,46.0,,18.7,0.8837,15.4,71.0,,13.6
508,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2014,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,0.9689,16.9,76.0,11.0,16.4,0.982,21.5,180.0,37.0,21.1,0.8631,18.0,195.0,22.0,15.5
509,NORTH SUBURBAN MEDICAL CENTER (060065),2014,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,0.9459,15.6,31.0,,14.7,1.021,23.1,67.0,17.0,23.6,1.0097,19.1,111.0,22.0,19.3
510,DELTA COUNTY MEMORIAL HOSPITAL (060071),2014,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,0.9422,20.6,25.0,,19.4,0.9907,19.7,95.0,18.0,19.5,1.1255,14.7,166.0,34.0,16.6
511,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2014,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,0.9822,15.8,31.0,,15.5,0.9928,18.3,35.0,,18.2,0.9986,15.9,51.0,,15.8
512,STERLING REGIONAL MEDCENTER (060076),2014,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,,,,,,0.8951,20.8,69.0,,18.7,0.9358,16.5,82.0,,15.5
513,VAIL VALLEY MEDICAL CENTER (060096),2014,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,,,,,,,,,,,0.9498,12.5,31.0,,11.9
514,"MEDICAL CENTER OF AURORA, THE (060100)",2014,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,0.8801,15.8,193.0,21.0,13.9,0.8688,22.2,309.0,52.0,19.3,0.898,17.8,232.0,31.0,16.0
515,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2014,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,,,,,,0.9422,21.2,46.0,,20.0,0.99,13.8,70.0,,13.6
516,CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL (060104),2014,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,1.0203,17.6,78.0,15.0,18.0,0.9773,23.8,190.0,43.0,23.3,0.9176,18.2,167.0,23.0,16.7
517,NATIONAL JEWISH HEALTH (060107),2014,Acute Care,Voluntary non-profit - Private,21.0,39.740019,-104.942892,CO,,,0.0,,,,,0.0,,,,,,,
518,SKY RIDGE MEDICAL CENTER (060112),2014,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,0.9478,16.0,69.0,,15.2,0.8813,23.2,210.0,36.0,20.4,0.9459,16.2,164.0,22.0,15.3
519,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL (060113),2014,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,0.9746,15.4,81.0,11.0,15.0,1.0236,22.0,221.0,51.0,22.5,0.8878,16.8,273.0,34.0,14.9
520,PARKER ADVENTIST HOSPITAL (060114),2014,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,0.9293,16.2,49.0,,15.1,0.8966,21.0,105.0,14.0,18.9,0.8726,15.4,107.0,,13.5
521,EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC (060116),2014,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,0.9672,13.5,34.0,,13.1,0.9774,20.5,56.0,,20.1,1.0067,17.1,79.0,14.0,17.3
522,"ANIMAS SURGICAL HOSPITAL, LLC (060117)",2014,Acute Care,Physician,12.0,37.248889,-107.870774,CO,,,0.0,,,,,0.0,,,,,0.0,,
523,ST ANTHONY SUMMIT MEDICAL CENTER (060118),2014,Acute Care,Voluntary non-profit - Church,34.0,39.569988,-106.078259,CO,,,0.0,,,,,,,,,,,,
524,MEDICAL CENTER OF THE ROCKIES (060119),2014,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,0.9213,14.8,350.0,44.0,13.6,0.9019,21.2,212.0,35.0,19.1,0.9653,17.7,193.0,31.0,17.1
525,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS (060124),2014,Acute Care,Proprietary,48.0,39.717952,-105.128441,CO,,,0.0,,,,,0.0,,,,,0.0,,
526,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2014,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,1.1039,17.4,605.0,121.0,19.2,1.013,22.3,1307.0,296.0,22.6,0.9928,17.2,764.0,130.0,17.1
527,DAY KIMBALL HOSPITAL (070003),2014,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,0.925,20.7,77.0,11.0,19.1,0.99,21.3,277.0,58.0,21.1,0.965,16.2,275.0,41.0,15.6
528,SHARON HOSPITAL (070004),2014,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,1.0188,22.4,53.0,13.0,22.8,0.9783,23.0,121.0,26.0,22.5,0.9791,16.5,187.0,29.0,16.1
529,WATERBURY HOSPITAL (070005),2014,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,0.9914,17.7,288.0,50.0,17.5,1.068,23.1,613.0,155.0,24.7,0.9309,17.9,397.0,62.0,16.6
530,STAMFORD HOSPITAL (070006),2014,Acute Care,Voluntary non-profit - Private,303.0,,,CT,0.858,17.4,214.0,25.0,15.0,0.9967,22.3,582.0,129.0,22.2,0.9676,16.8,454.0,72.0,16.3
531,LAWRENCE & MEMORIAL HOSPITAL (070007),2014,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,1.0344,19.6,204.0,43.0,20.3,1.0231,23.3,679.0,163.0,23.8,0.9655,17.8,511.0,86.0,17.2
532,JOHNSON MEMORIAL HOSPITAL (070008),2014,Acute Care,Voluntary non-profit - Private,88.0,,,CT,,,,,,0.999,23.6,251.0,59.0,23.5,1.0078,18.3,279.0,52.0,18.5
533,BRIDGEPORT HOSPITAL (070010),2014,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,0.9464,18.2,386.0,64.0,17.3,1.0023,22.3,582.0,130.0,22.3,1.0644,17.5,470.0,91.0,18.6
534,CHARLOTTE HUNGERFORD HOSPITAL (070011),2014,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,1.0352,21.0,89.0,21.0,21.7,0.9584,23.7,301.0,66.0,22.7,0.9939,18.4,369.0,67.0,18.3
535,ROCKVILLE GENERAL HOSPITAL (070012),2014,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,0.9911,20.8,41.0,,20.6,0.908,22.2,190.0,33.0,20.1,1.0001,16.5,261.0,43.0,16.5
536,NEW MILFORD HOSPITAL (070015),2014,Acute Care,Voluntary non-profit - Private,85.0,,,CT,,,,,,0.9809,22.5,141.0,30.0,22.0,0.9679,17.0,151.0,23.0,16.4
537,SAINT MARYS HOSPITAL (070016),2014,Acute Care,Voluntary non-profit - Other,167.0,,,CT,1.0604,17.9,186.0,38.0,18.9,0.9767,22.4,528.0,114.0,21.8,0.9579,18.0,421.0,70.0,17.2
538,MIDSTATE MEDICAL CENTER (070017),2014,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,1.1327,20.3,95.0,28.0,23.0,1.0787,22.7,484.0,123.0,24.5,1.0923,18.6,522.0,111.0,20.3
539,GREENWICH HOSPITAL ASSOCIATION (070018),2014,Acute Care,Voluntary non-profit - Private,184.0,41.034395,-73.629632,CT,0.9989,19.6,87.0,17.0,19.6,1.0727,21.3,522.0,123.0,22.8,1.066,16.3,497.0,90.0,17.4
540,"MILFORD HOSPITAL, INC (070019)",2014,Acute Care,Voluntary non-profit - Private,106.0,,,CT,1.0087,21.2,40.0,,21.4,1.0894,22.5,307.0,80.0,24.5,1.0757,17.3,230.0,47.0,18.6
541,MIDDLESEX HOSPITAL (070020),2014,Acute Care,Voluntary non-profit - Private,228.0,41.554865,-72.647633,CT,0.8382,21.1,206.0,28.0,17.6,0.9385,22.1,811.0,165.0,20.8,0.9114,17.1,688.0,102.0,15.6
542,WINDHAM COMM MEM HOSP & HATCH HOSP (070021),2014,Acute Care,Voluntary non-profit - Private,64.0,41.716569,-72.224068,CT,1.0635,19.8,43.0,12.0,21.1,0.9009,22.2,273.0,49.0,20.0,0.9258,16.5,191.0,25.0,15.3
543,YALE-NEW HAVEN HOSPITAL (070022),2014,Acute Care,Voluntary non-profit - Private,1347.0,41.304285,-72.934689,CT,1.0972,17.3,787.0,154.0,19.0,1.0393,23.5,1277.0,314.0,24.4,1.1055,18.7,778.0,167.0,20.7
544,WILLIAM W BACKUS HOSPITAL (070024),2014,Acute Care,Voluntary non-profit - Other,184.0,41.543402,-72.086747,CT,0.9696,22.1,110.0,22.0,21.4,1.014,23.2,523.0,124.0,23.6,0.899,19.1,622.0,101.0,17.2
545,HARTFORD HOSPITAL (070025),2014,Acute Care,Voluntary non-profit - Private,895.0,41.754123,-72.68082,CT,1.0296,17.0,874.0,154.0,17.5,0.9085,21.6,1385.0,267.0,19.7,0.993,16.7,841.0,139.0,16.6
546,MANCHESTER MEMORIAL HOSPITAL (070027),2014,Acute Care,Voluntary non-profit - Private,182.0,41.781087,-72.525221,CT,0.9749,22.7,69.0,14.0,22.1,0.9551,23.1,396.0,85.0,22.1,0.9292,17.5,530.0,82.0,16.2
547,ST VINCENT'S MEDICAL CENTER (070028),2014,Acute Care,Voluntary non-profit - Church,350.0,41.200083,-73.202486,CT,1.2283,17.5,390.0,94.0,21.6,1.0976,21.9,704.0,174.0,24.0,1.0081,17.2,460.0,80.0,17.3
548,BRISTOL HOSPITAL (070029),2014,Acute Care,Voluntary non-profit - Private,123.0,41.676078,-72.934878,CT,1.0177,20.7,53.0,12.0,21.0,1.0937,23.3,329.0,89.0,25.5,1.1093,17.0,387.0,79.0,18.9
549,GRIFFIN HOSPITAL (070031),2014,Acute Care,Voluntary non-profit - Other,119.0,41.335978,-73.088689,CT,1.0961,22.0,118.0,33.0,24.1,1.1627,22.2,385.0,108.0,25.9,0.9536,18.2,281.0,46.0,17.3
550,DANBURY HOSPITAL (070033),2014,Acute Care,Voluntary non-profit - Private,370.0,41.406776,-73.444339,CT,1.0626,17.0,476.0,89.0,18.1,0.9802,22.7,1100.0,244.0,22.3,0.9999,17.4,951.0,165.0,17.4
551,NORWALK HOSPITAL ASSOCIATION (070034),2014,Acute Care,Voluntary non-profit - Private,278.0,41.110415,-73.421229,CT,0.9999,19.0,179.0,34.0,19.0,1.0132,22.0,673.0,151.0,22.3,0.9398,16.4,611.0,91.0,15.5
552,"HOSPITAL OF CENTRAL CONNECTICUT, THE (070035)",2014,Acute Care,Voluntary non-profit - Other,297.0,41.662015,-72.787799,CT,1.0245,19.9,303.0,63.0,20.4,1.037,22.5,1194.0,281.0,23.4,0.9821,16.6,719.0,116.0,16.3
553,JOHN DEMPSEY HOSPITAL (070036),2014,Acute Care,Government - Local,160.0,41.73509,-72.79582,CT,0.9769,16.7,166.0,26.0,16.3,0.9513,21.5,384.0,76.0,20.5,1.0135,16.6,353.0,60.0,16.8
554,THE CONNECTICUT HOSPICE INC. (070038),2014,Acute Care,Voluntary non-profit - Private,52.0,41.256305,-72.833367,CT,,,0.0,,,,,0.0,,,,,0.0,,
555,MASONIC HOME AND HOSPITAL (070039),2014,Acute Care,Voluntary non-profit - Private,503.0,41.460698,-72.836586,CT,,,,,,1.0995,25.0,100.0,33.0,27.5,1.0778,19.4,113.0,28.0,20.9
556,HEBREW HOME AND HOSPITAL INC (070040),2014,Acute Care,Voluntary non-profit - Private,201.0,41.802774,-72.728931,CT,,,0.0,,,0.9355,23.9,30.0,,22.3,0.9741,17.0,57.0,,16.6
557,"CHRISTIANA CARE HEALTH SERVICES, INC. (080001)",2014,Acute Care,Voluntary non-profit - Private,1132.0,39.689909,-75.673228,DE,0.9428,16.8,878.0,136.0,15.8,0.9438,22.5,2395.0,506.0,21.3,0.9553,17.1,1902.0,308.0,16.3
558,ST FRANCIS HOSPITAL (080003),2014,Acute Care,Voluntary non-profit - Private,161.0,,,DE,1.0938,18.0,136.0,31.0,19.6,0.9801,22.4,283.0,61.0,21.9,0.9992,15.9,195.0,31.0,15.9
559,BAYHEALTH - KENT GENERAL HOSPITAL (080004),2014,Acute Care,Voluntary non-profit - Private,268.0,39.150687,-75.522327,DE,0.8565,17.8,519.0,72.0,15.3,0.9303,23.3,806.0,171.0,21.7,1.0574,18.0,913.0,177.0,19.0
560,NANTICOKE MEMORIAL HOSPITAL (080006),2014,Acute Care,Voluntary non-profit - Private,112.0,38.642332,-75.605325,DE,0.9027,19.1,133.0,18.0,17.2,0.885,23.8,421.0,82.0,21.1,0.9263,18.4,260.0,40.0,17.0
561,BEEBE MEDICAL CENTER (080007),2014,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,0.9089,16.4,324.0,44.0,14.9,0.9465,22.3,712.0,147.0,21.1,0.9716,16.9,565.0,91.0,16.4
562,BAYHEALTH - MILFORD MEMORIAL HOSPITAL (080009),2014,Acute Care,Voluntary non-profit - Private,158.0,,,DE,0.9569,21.4,35.0,,20.4,0.8795,24.8,111.0,17.0,21.8,0.9701,18.1,84.0,13.0,17.5
563,GEORGE WASHINGTON UNIV HOSPITAL (090001),2014,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,1.089,17.6,203.0,43.0,19.2,1.0697,21.1,329.0,78.0,22.6,0.9967,15.6,200.0,31.0,15.6
564,HOWARD UNIVERSITY HOSPITAL (090003),2014,Acute Care,Voluntary non-profit - Other,241.0,38.917011,-77.021896,DC,1.091,19.5,46.0,14.0,21.3,1.1882,22.9,203.0,65.0,27.2,1.1292,17.2,93.0,25.0,19.4
565,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL (090004),2014,Acute Care,Voluntary non-profit - Private,396.0,38.912599,-77.074388,DC,,,,,,1.0209,22.8,98.0,24.0,23.3,1.0051,17.5,186.0,33.0,17.6
566,SIBLEY MEMORIAL HOSPITAL (090005),2014,Acute Care,Voluntary non-profit - Other,248.0,38.935747,-77.109889,DC,0.972,17.5,49.0,,17.0,1.0038,20.7,322.0,67.0,20.7,1.0501,14.5,397.0,63.0,15.2
567,PROVIDENCE HOSPITAL (090006),2014,Acute Care,Voluntary non-profit - Private,467.0,,,DC,1.1562,21.2,72.0,25.0,24.5,1.1203,22.6,674.0,177.0,25.3,0.9875,16.8,221.0,36.0,16.6
568,UNITED MEDICAL CENTER (090008),2014,Acute Care,Proprietary,187.0,38.834155,-76.984698,DC,,,,,,1.0855,23.4,163.0,46.0,25.3,0.9882,18.8,117.0,21.0,18.5
569,MEDSTAR WASHINGTON HOSPITAL CENTER (090011),2014,Acute Care,Voluntary non-profit - Other,757.0,38.929157,-77.012268,DC,1.0117,18.5,1320.0,248.0,18.7,1.0658,23.3,1422.0,357.0,24.9,0.9923,18.8,400.0,74.0,18.6
570,UF HEALTH JACKSONVILLE (100001),2014,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,0.965,16.7,196.0,30.0,16.1,1.0079,23.7,487.0,117.0,23.9,1.0589,19.7,166.0,38.0,20.9
571,BETHESDA  HOSPITAL EAST (100002),2014,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,0.9303,19.5,339.0,58.0,18.1,0.934,23.0,776.0,163.0,21.5,0.986,17.0,555.0,92.0,16.7
572,ORLANDO HEALTH (100006),2014,Acute Care,Voluntary non-profit - Private,1590.0,28.526925,-81.378203,FL,1.1493,18.8,556.0,127.0,21.6,1.0627,23.7,1425.0,362.0,25.2,1.0494,18.1,985.0,190.0,19.0
573,FLORIDA HOSPITAL (100007),2014,Acute Care,Voluntary non-profit - Private,2603.0,28.573457,-81.370328,FL,1.2214,18.4,1209.0,282.0,22.5,1.0953,22.9,3600.0,907.0,25.1,1.0961,17.9,2280.0,453.0,19.6
574,BAPTIST HOSPITAL OF MIAMI INC (100008),2014,Acute Care,Voluntary non-profit - Private,747.0,25.687781,-80.339086,FL,0.906,18.4,454.0,71.0,16.7,1.0645,24.0,1147.0,297.0,25.6,0.9244,18.1,761.0,123.0,16.7
575,UNIVERSITY OF MIAMI HOSPITAL (100009),2014,Acute Care,Voluntary non-profit - Private,495.0,,,FL,1.1021,21.5,195.0,51.0,23.6,1.1736,26.3,840.0,269.0,30.9,1.1012,23.5,259.0,73.0,25.8
576,LEE MEMORIAL HOSPITAL (100012),2014,Acute Care,Government - Hospital District or Authority,831.0,26.626924,-81.872295,FL,1.0698,16.1,633.0,112.0,17.2,1.0037,21.9,1421.0,313.0,22.0,0.9267,16.8,1051.0,159.0,15.5
577,BERT FISH MEDICAL CENTER (100014),2014,Acute Care,Voluntary non-profit - Church,111.0,29.021174,-80.922903,FL,1.0241,18.8,145.0,29.0,19.2,0.9812,22.9,205.0,45.0,22.5,0.9832,17.3,164.0,27.0,17.0
578,HALIFAX HEALTH MEDICAL CENTER (100017),2014,Acute Care,Government - Hospital District or Authority,508.0,29.20055,-81.05534,FL,1.0485,16.7,336.0,61.0,17.5,1.041,21.8,604.0,139.0,22.6,0.9979,17.4,555.0,96.0,17.3
579,NAPLES COMMUNITY HOSPITAL (100018),2014,Acute Care,Voluntary non-profit - Private,641.0,26.150806,-81.799488,FL,0.9326,17.3,881.0,139.0,16.1,0.9036,22.3,1889.0,375.0,20.1,0.8875,16.9,1140.0,164.0,15.0
580,HOLMES REGIONAL MEDICAL CENTER (100019),2014,Acute Care,Voluntary non-profit - Private,523.0,28.08691,-80.613523,FL,0.9598,17.6,643.0,107.0,16.9,1.0652,23.3,1223.0,307.0,24.8,1.0045,18.4,779.0,144.0,18.5
581,JACKSON MEMORIAL HOSPITAL (100022),2014,Acute Care,Government - Hospital District or Authority,1682.0,25.790612,-80.214945,FL,1.1392,19.8,242.0,61.0,22.5,1.2092,24.2,618.0,192.0,29.3,1.0521,19.7,371.0,80.0,20.8
582,CITRUS MEMORIAL HOSPITAL (100023),2014,Acute Care,Government - Hospital District or Authority,202.0,28.832242,-82.335335,FL,0.882,17.8,577.0,85.0,15.7,0.8908,22.9,897.0,177.0,20.4,0.8207,17.7,474.0,58.0,14.5
583,SACRED HEART HOSPITAL (100025),2014,Acute Care,Voluntary non-profit - Private,524.0,30.475588,-87.210986,FL,0.9404,17.4,378.0,59.0,16.4,0.9313,23.1,752.0,158.0,21.5,0.8908,18.8,427.0,65.0,16.8
584,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM (100026),2014,Acute Care,Government - Hospital District or Authority,257.0,30.159681,-85.647067,FL,1.1213,16.7,372.0,75.0,18.7,0.8456,23.4,1242.0,237.0,19.8,0.8111,18.9,624.0,84.0,15.3
585,PARRISH MEDICAL CENTER (100028),2014,Acute Care,Government - Hospital District or Authority,210.0,28.629068,-80.824943,FL,0.934,18.0,144.0,21.0,16.8,0.9582,23.1,458.0,99.0,22.1,0.911,17.8,353.0,52.0,16.2
586,NORTH SHORE MEDICAL CENTER (100029),2014,Acute Care,Proprietary,759.0,25.861658,-80.214656,FL,0.9736,21.5,274.0,56.0,20.9,1.1335,25.2,567.0,169.0,28.5,0.9405,19.9,329.0,58.0,18.7
587,HEALTH CENTRAL (100030),2014,Acute Care,Government - State,197.0,28.551666,-81.525787,FL,0.9568,19.1,83.0,13.0,18.2,1.0541,24.8,401.0,108.0,26.2,1.0268,19.9,232.0,49.0,20.5
588,BAYFRONT HEALTH - ST PETERSBURG (100032),2014,Acute Care,Voluntary non-profit - Private,350.0,27.763222,-82.641663,FL,1.0534,18.0,156.0,32.0,18.9,1.0806,23.0,316.0,83.0,24.9,1.1176,17.8,314.0,69.0,19.9
589,MOUNT SINAI MEDICAL CENTER (100034),2014,Acute Care,Proprietary,598.0,25.815045,-80.137939,FL,0.9465,21.7,433.0,86.0,20.5,0.9713,25.1,576.0,139.0,24.4,0.9006,20.9,547.0,97.0,18.9
590,MANATEE MEMORIAL HOSPITAL (100035),2014,Acute Care,Proprietary,303.0,27.497209,-82.561241,FL,1.0319,16.4,293.0,51.0,16.9,0.9078,22.1,673.0,130.0,20.1,1.0012,17.5,348.0,61.0,17.5
591,MEMORIAL REGIONAL HOSPITAL (100038),2014,Acute Care,Government - Hospital District or Authority,1002.0,26.018262,-80.178865,FL,1.1024,19.2,275.0,63.0,21.2,1.1993,22.6,802.0,228.0,27.1,1.0239,17.9,462.0,86.0,18.3
592,BROWARD HEALTH MEDICAL CENTER (100039),2014,Acute Care,Government - Hospital District or Authority,638.0,26.101975,-80.14231,FL,0.9692,16.3,155.0,23.0,15.8,0.9578,23.4,269.0,58.0,22.4,0.9285,17.8,110.0,14.0,16.6
593,ST VINCENT'S MEDICAL CENTER (100040),2014,Acute Care,Voluntary non-profit - Private,490.0,30.307891,-81.689154,FL,1.0272,17.2,515.0,92.0,17.6,1.0722,22.9,1210.0,301.0,24.6,1.0933,17.9,904.0,182.0,19.6
