,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
676,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2013,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,1.0826,19.4,222.0,50.0,21.0,1.0423,25.1,526.0,140.0,26.1,1.0152,18.2,185.0,35.0,18.5
677,DOCTORS HOSPITAL OF SARASOTA (100166),2013,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,0.9333,20.1,95.0,15.0,18.8,0.928,24.2,323.0,68.0,22.4,1.0144,18.4,259.0,49.0,18.6
678,PLANTATION GENERAL HOSPITAL (100167),2013,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,,,3.0,,,0.9923,27.4,46.0,12.0,27.1,1.0165,20.0,35.0,8.0,20.3
679,BOCA RATON REGIONAL HOSPITAL (100168),2013,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,0.8858,20.6,560.0,97.0,18.2,0.8445,25.1,1473.0,302.0,21.2,0.8505,18.8,872.0,131.0,16.0
680,FLORIDA HOSPITAL TAMPA (100173),2013,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,0.9344,19.4,352.0,61.0,18.1,0.9369,25.2,652.0,150.0,23.6,1.0786,18.3,436.0,90.0,19.7
681,DESOTO MEMORIAL HOSPITAL (100175),2013,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,0.977,21.6,33.0,6.0,21.1,0.9777,24.5,135.0,31.0,24.0,1.0846,18.5,148.0,34.0,20.0
682,PALM BEACH GARDENS MEDICAL CENTER (100176),2013,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,1.118,19.2,616.0,137.0,21.5,0.989,24.8,768.0,188.0,24.6,0.8396,18.6,334.0,43.0,15.6
683,CAPE CANAVERAL HOSPITAL (100177),2013,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,0.9487,20.6,93.0,16.0,19.5,0.9402,24.4,282.0,61.0,22.9,0.9959,18.1,295.0,53.0,18.0
684,MEMORIAL HOSPITAL JACKSONVILLE (100179),2013,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,1.0155,20.2,265.0,55.0,20.5,1.0368,26.5,946.0,262.0,27.5,1.0754,20.7,529.0,122.0,22.3
685,ST PETERSBURG GENERAL HOSPITAL (100180),2013,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,,,17.0,,,0.9849,25.2,189.0,46.0,24.8,1.1002,19.2,312.0,71.0,21.1
686,LARKIN COMMUNITY HOSPITAL (100181),2013,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,0.9941,25.8,40.0,10.0,25.7,1.0832,28.6,96.0,35.0,31.0,1.0688,22.6,158.0,42.0,24.2
687,CORAL GABLES HOSPITAL (100183),2013,Acute Care,Proprietary,245.0,,,FL,0.9565,25.4,78.0,17.0,24.3,1.0442,27.1,241.0,71.0,28.3,0.9234,20.4,156.0,25.0,18.8
688,PALMETTO GENERAL HOSPITAL (100187),2013,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,1.0546,22.0,296.0,71.0,23.2,1.0973,27.1,529.0,163.0,29.7,1.0987,21.1,326.0,81.0,23.2
689,NORTHWEST MEDICAL CENTER (100189),2013,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,0.9899,20.9,210.0,43.0,20.7,1.0102,24.9,459.0,116.0,25.1,0.9816,19.2,207.0,38.0,18.8
690,MEDICAL CENTER OF TRINITY (100191),2013,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,1.1523,20.7,201.0,54.0,23.9,1.0494,25.4,454.0,124.0,26.7,1.0112,20.4,201.0,42.0,20.6
691,BROWARD HEALTH IMPERIAL POINT MEDICAL CENTER (100200),2013,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,1.0468,21.2,32.0,9.0,22.2,0.9578,25.8,116.0,26.0,24.7,1.0087,18.0,146.0,27.0,18.2
692,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2013,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,1.0374,17.7,585.0,109.0,18.4,1.0119,24.4,1610.0,398.0,24.7,0.9942,18.1,859.0,154.0,18.0
693,MEMORIAL HOSPITAL OF TAMPA (100206),2013,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,1.0314,19.2,29.0,7.0,19.8,1.0159,23.8,211.0,52.0,24.2,1.0095,16.7,193.0,33.0,16.8
694,KENDALL REGIONAL MEDICAL CENTER (100209),2013,Acute Care,Proprietary,423.0,,,FL,1.0582,21.5,249.0,59.0,22.7,1.1017,26.2,482.0,145.0,28.8,1.0133,19.1,280.0,55.0,19.4
695,PASCO REGIONAL MEDICAL CENTER (100211),2013,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,,,18.0,,,1.0236,24.9,155.0,41.0,25.5,1.0834,16.6,116.0,25.0,18.0
696,OCALA REGIONAL MEDICAL CENTER (100212),2013,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,1.07,19.9,405.0,89.0,21.3,0.8263,24.2,637.0,116.0,20.0,1.0806,18.8,619.0,130.0,20.3
697,BLAKE MEDICAL CENTER (100213),2013,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,0.8316,19.8,532.0,80.0,16.4,0.9673,23.7,785.0,178.0,22.9,1.1448,17.0,313.0,68.0,19.4
698,SEBASTIAN RIVER MEDICAL CENTER (100217),2013,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,1.1026,20.9,82.0,23.0,23.0,0.9891,24.1,388.0,92.0,23.9,1.0333,16.7,269.0,48.0,17.2
699,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2013,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,0.8591,17.6,389.0,53.0,15.2,1.0955,24.7,792.0,220.0,27.1,0.986,18.8,812.0,150.0,18.6
700,FORT WALTON BEACH MEDICAL CENTER (100223),2013,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,1.0805,18.0,288.0,59.0,19.4,0.9461,24.7,490.0,111.0,23.3,0.926,18.6,320.0,51.0,17.2
701,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2013,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,1.0537,24.0,86.0,24.0,25.3,0.9054,26.4,356.0,79.0,23.9,0.9471,19.7,230.0,40.0,18.7
702,ORANGE PARK MEDICAL CENTER (100226),2013,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,0.9711,20.4,203.0,39.0,19.8,1.0008,25.6,631.0,162.0,25.7,0.9987,20.2,606.0,122.0,20.1
703,WESTSIDE REGIONAL MEDICAL CENTER (100228),2013,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,1.0744,19.6,224.0,50.0,21.0,1.0643,25.2,456.0,126.0,26.8,1.0835,18.5,163.0,37.0,20.0
704,MEMORIAL HOSPITAL PEMBROKE (100230),2013,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,,,18.0,,,1.0693,25.5,135.0,41.0,27.3,0.9924,18.6,105.0,19.0,18.5
705,WEST FLORIDA HOSPITAL (100231),2013,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,0.9771,19.7,290.0,55.0,19.3,0.9687,25.4,592.0,144.0,24.7,0.9843,19.1,493.0,92.0,18.8
706,PUTNAM COMMUNITY MEDICAL CENTER (100232),2013,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,1.0186,20.7,58.0,13.0,21.1,1.1094,25.7,387.0,117.0,28.6,1.0666,18.7,288.0,61.0,20.0
707,COLUMBIA HOSPITAL (100234),2013,Acute Care,Proprietary,242.0,,,FL,1.0758,25.0,66.0,21.0,26.9,0.9798,24.7,212.0,50.0,24.2,0.9732,18.2,87.0,14.0,17.7
708,FAWCETT MEMORIAL HOSPITAL (100236),2013,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,0.947,20.4,260.0,48.0,19.3,1.023,26.0,629.0,169.0,26.6,1.036,20.2,575.0,122.0,20.9
709,NORTHSIDE HOSPITAL (100238),2013,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,1.112,19.0,216.0,50.0,21.1,1.0788,25.8,418.0,121.0,27.8,1.1371,19.4,258.0,64.0,22.0
710,EDWARD WHITE HOSPITAL (100239),2013,Acute Care,Proprietary,124.0,,,FL,,,18.0,,,0.9821,24.3,105.0,24.0,23.9,1.039,19.3,144.0,31.0,20.1
711,ANNE BATES LEACH EYE HOSPITAL (100240),2013,Acute Care,Voluntary non-profit - Private,56.0,,,FL,,,0.0,,,,,0.0,,,,,0.0,,
712,GULF COAST MEDICAL CENTER (100242),2013,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,1.0463,24.0,28.0,9.0,25.1,0.9534,24.0,292.0,64.0,22.9,0.9122,19.0,352.0,56.0,17.3
713,BRANDON REGIONAL HOSPITAL (100243),2013,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,1.0034,19.6,421.0,83.0,19.7,0.9733,25.4,589.0,144.0,24.7,1.1336,19.4,382.0,91.0,22.0
714,CAPE CORAL HOSPITAL (100244),2013,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,0.9723,20.5,151.0,29.0,20.0,0.9455,24.0,837.0,187.0,22.7,0.9241,17.4,541.0,83.0,16.1
715,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2013,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,1.0203,19.0,465.0,91.0,19.4,1.0955,24.6,744.0,206.0,26.9,1.0232,19.6,243.0,50.0,20.1
716,LARGO MEDICAL CENTER (100248),2013,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,1.064,20.1,297.0,66.0,21.3,0.9723,25.1,694.0,168.0,24.5,1.0448,19.2,472.0,97.0,20.0
717,SEVEN RIVERS REGIONAL MEDICAL CENTER (100249),2013,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,0.8766,22.9,152.0,25.0,20.0,1.0116,24.6,307.0,77.0,24.9,0.9718,19.1,186.0,33.0,18.6
718,RAULERSON HOSPITAL (100252),2013,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,1.1033,23.4,57.0,19.0,25.9,1.0838,25.2,407.0,116.0,27.3,0.9791,19.1,129.0,23.0,18.7
719,JUPITER MEDICAL CENTER (100253),2013,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,0.9881,24.2,94.0,22.0,24.0,0.9569,26.4,419.0,103.0,25.2,0.8399,18.5,310.0,39.0,15.5
720,CAPITAL REGIONAL MEDICAL CENTER (100254),2013,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,1.1099,19.8,153.0,38.0,22.0,1.0806,23.3,447.0,117.0,25.1,0.9971,17.3,290.0,50.0,17.3
721,TOWN & COUNTRY HOSPITAL (100255),2013,Acute Care,Proprietary,208.0,,,FL,0.9795,22.9,44.0,9.0,22.5,1.0369,27.2,155.0,46.0,28.2,0.9997,17.8,90.0,16.0,17.8
722,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2013,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,1.0464,18.8,412.0,83.0,19.7,1.064,23.9,920.0,238.0,25.5,0.8828,17.2,227.0,28.0,15.2
723,DELRAY MEDICAL CENTER (100258),2013,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,0.9455,20.2,582.0,109.0,19.1,0.9918,25.2,1373.0,343.0,25.0,0.96,18.3,753.0,130.0,17.6
724,SOUTH BAY HOSPITAL (100259),2013,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,1.0247,22.1,106.0,25.0,22.6,1.1182,24.4,520.0,149.0,27.3,0.9821,18.1,320.0,56.0,17.8
725,ST LUCIE MEDICAL CENTER (100260),2013,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,0.9512,23.4,162.0,34.0,22.3,0.9588,25.0,757.0,179.0,24.0,1.0056,19.2,476.0,92.0,19.3
726,OAK HILL HOSPITAL (100264),2013,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,0.963,20.0,355.0,67.0,19.3,0.9989,26.1,726.0,189.0,26.0,0.9733,20.0,517.0,99.0,19.4
727,MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE (100265),2013,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,0.8729,20.0,439.0,71.0,17.4,0.9222,24.7,776.0,172.0,22.8,0.9988,18.7,605.0,113.0,18.7
728,GULF BREEZE HOSPITAL (100266),2013,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,0.9455,19.0,46.0,6.0,17.9,0.9461,24.1,221.0,47.0,22.8,0.9235,18.5,247.0,38.0,17.1
729,ENGLEWOOD COMMUNITY HOSPITAL (100267),2013,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,1.0072,21.4,96.0,21.0,21.6,0.9113,23.5,348.0,69.0,21.4,0.8499,17.3,159.0,15.0,14.7
730,WEST BOCA MEDICAL CENTER (100268),2013,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,0.9857,23.8,122.0,28.0,23.5,1.0227,24.8,405.0,104.0,25.3,0.9838,17.1,201.0,33.0,16.8
731,PALMS WEST HOSPITAL (100269),2013,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,1.0594,20.7,62.0,16.0,21.9,0.9707,24.4,273.0,63.0,23.7,1.0625,17.9,130.0,28.0,19.0
732,WELLINGTON REGIONAL MEDICAL CENTER (100275),2013,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,1.0013,20.3,49.0,10.0,20.3,1.0961,24.2,175.0,52.0,26.5,1.1074,17.7,237.0,52.0,19.6
733,CORAL SPRINGS MEDICAL CENTER (100276),2013,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,0.9477,25.3,39.0,7.0,24.0,1.0917,26.3,193.0,61.0,28.7,0.9172,18.8,131.0,18.0,17.3
734,DOUGLAS GARDENS HOSPITAL (100277),2013,Acute Care,Voluntary non-profit - Private,457.0,25.822972,-80.191767,FL,,,3.0,,,,,19.0,,,,,23.0,,
735,MEMORIAL HOSPITAL WEST (100281),2013,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,1.0663,20.6,152.0,36.0,21.9,1.1097,25.8,530.0,158.0,28.6,1.1573,19.3,322.0,80.0,22.3
736,WESTCHESTER GENERAL HOSPITAL (100284),2013,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,0.9978,25.4,28.0,7.0,25.3,1.1215,28.7,129.0,49.0,32.1,1.1155,21.5,162.0,45.0,23.9
737,MEMORIAL HOSPITAL MIRAMAR (100285),2013,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,,,13.0,,,1.1879,26.6,123.0,50.0,31.6,0.963,17.6,147.0,23.0,17.0
738,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2013,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,0.8983,18.8,150.0,21.0,16.9,1.0032,24.5,406.0,100.0,24.6,0.9346,17.5,333.0,51.0,16.4
739,GOOD SAMARITAN MEDICAL CENTER (100287),2013,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,1.0101,19.9,127.0,26.0,20.1,0.9878,23.6,337.0,78.0,23.4,0.909,18.4,311.0,47.0,16.7
740,ST MARY'S MEDICAL CENTER (100288),2013,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,,,19.0,,,0.9601,24.6,57.0,11.0,23.6,1.0084,18.5,78.0,15.0,18.7
741,CLEVELAND CLINIC HOSPITAL (100289),2013,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,1.0396,18.7,105.0,22.0,19.4,1.0671,24.6,415.0,113.0,26.3,1.1317,19.3,284.0,69.0,21.9
742,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2013,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,0.997,18.3,373.0,68.0,18.3,1.0173,23.8,858.0,209.0,24.2,0.8655,17.9,838.0,122.0,15.5
743,WUESTHOFF MELBOURNE (100291),2013,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,1.0304,21.5,26.0,7.0,22.1,1.0088,24.3,145.0,36.0,24.5,1.026,17.5,154.0,29.0,17.9
744,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2013,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,0.9541,23.3,27.0,4.0,22.2,0.8353,25.0,156.0,22.0,20.9,0.9279,19.4,200.0,32.0,18.0
745,DOCTORS HOSPITAL (100296),2013,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,1.0606,23.4,50.0,15.0,24.8,0.9661,26.1,270.0,66.0,25.2,0.9372,19.0,210.0,34.0,17.8
746,LAKEWOOD RANCH MEDICAL CENTER (100299),2013,Acute Care,Proprietary,123.0,27.392671,-82.434725,FL,0.9942,17.9,119.0,21.0,17.8,0.9824,24.5,204.0,48.0,24.1,1.0191,16.7,129.0,23.0,17.1
747,ST CLOUD REGIONAL MEDICAL CENTER (100302),2013,Acute Care,Proprietary,84.0,28.242414,-81.302658,FL,0.952,22.7,42.0,7.0,21.6,1.0094,25.3,248.0,64.0,25.6,1.1329,19.8,165.0,44.0,22.5
748,ST VINCENT'S MEDICAL CENTER SOUTHSIDE (100307),2013,Acute Care,Voluntary non-profit - Private,298.0,30.253096,-81.584126,FL,1.0738,19.8,85.0,21.0,21.2,0.9647,25.2,309.0,73.0,24.3,1.0097,19.3,244.0,48.0,19.5
749,SACRED HEART HOSPITAL ON THE GULF (100313),2013,Acute Care,Voluntary non-profit - Private,19.0,29.776562,-85.287605,FL,,,1.0,,,,,12.0,,,,,19.0,,
750,WEST KENDALL BAPTIST HOSPITAL (100314),2013,Acute Care,Voluntary non-profit - Private,132.0,25.679344,-80.456967,FL,,,0.0,,,,,4.0,,,,,2.0,,
751,VIERA HOSPITAL (100315),2013,Acute Care,Voluntary non-profit - Private,84.0,28.229812,-80.729434,FL,,,0.0,,,,,2.0,,,,,6.0,,
752,PALM BAY HOSPITAL (100316),2013,Acute Care,Proprietary,139.0,27.99833,-80.61208,FL,,,0.0,,,,,0.0,,,,,1.0,,
753,HAMILTON MEDICAL CENTER (110001),2013,Acute Care,Voluntary non-profit - Private,253.0,34.788884,-84.983657,GA,0.8158,18.3,127.0,11.0,15.0,0.9298,25.7,549.0,127.0,23.9,1.006,19.6,578.0,114.0,19.7
754,UPSON REGIONAL MEDICAL CENTER (110002),2013,Acute Care,Voluntary non-profit - Other,106.0,32.887252,-84.336109,GA,1.1046,18.9,38.0,12.0,20.9,0.9834,23.0,168.0,37.0,22.6,1.0605,16.4,189.0,36.0,17.4
755,MAYO CLINIC HEALTH SYSTEM IN WAYCROSS (110003),2013,Acute Care,Voluntary non-profit - Private,251.0,31.226007,-82.349239,GA,0.921,21.1,69.0,10.0,19.4,0.973,26.2,340.0,85.0,25.5,0.9892,18.5,352.0,64.0,18.3
756,ERLANGER AT HUTCHESON (110004),2013,Acute Care,Government - Hospital District or Authority,241.0,,,GA,1.0182,19.9,31.0,7.0,20.2,0.9312,23.6,183.0,36.0,22.0,0.9021,18.5,278.0,41.0,16.7
757,NORTHSIDE HOSPITAL FORSYTH (110005),2013,Acute Care,Voluntary non-profit - Private,265.0,34.178588,-84.139246,GA,1.1285,21.4,206.0,55.0,24.2,1.1069,25.4,440.0,130.0,28.1,1.0394,18.6,470.0,93.0,19.3
758,ST MARY'S HOSPITAL OF ATHENS (110006),2013,Acute Care,Voluntary non-profit - Private,262.0,33.945929,-83.404467,GA,0.9605,18.0,73.0,11.0,17.3,0.9526,24.0,201.0,43.0,22.8,0.8756,16.7,156.0,16.0,14.6
759,PHOEBE PUTNEY MEMORIAL HOSPITAL (110007),2013,Acute Care,Government - Hospital District or Authority,478.0,31.590229,-84.156267,GA,0.8456,17.5,409.0,54.0,14.8,0.9245,23.5,487.0,101.0,21.7,0.9421,18.1,424.0,69.0,17.0
760,NORTHSIDE HOSPITAL CHEROKEE (110008),2013,Acute Care,Voluntary non-profit - Other,123.0,34.227523,-84.460562,GA,0.955,22.3,56.0,10.0,21.3,1.0144,25.6,189.0,50.0,26.0,1.1048,18.5,277.0,62.0,20.4
761,EMORY UNIVERSITY HOSPITAL (110010),2013,Acute Care,Voluntary non-profit - Private,612.0,33.791881,-84.320977,GA,0.8535,18.0,469.0,66.0,15.4,0.8805,24.6,681.0,140.0,21.7,1.0,19.1,251.0,48.0,19.1
762,TANNER MEDICAL CENTER - CARROLLTON (110011),2013,Acute Care,Government - Hospital District or Authority,175.0,33.570555,-85.072464,GA,0.964,17.9,229.0,38.0,17.2,0.9706,24.1,388.0,89.0,23.4,0.981,17.0,318.0,52.0,16.7
763,TANNER MEDICAL CENTER VILLA RICA (110015),2013,Acute Care,Government - Hospital District or Authority,118.0,33.742992,-84.919477,GA,,,22.0,,,0.9526,23.4,98.0,19.0,22.3,1.0343,18.6,105.0,22.0,19.2
764,"WEST GEORGIA MEDICAL CENTER, INC (110016)",2013,Acute Care,Government - Hospital District or Authority,456.0,33.031301,-85.056671,GA,0.927,18.5,105.0,15.0,17.1,1.0048,23.9,545.0,131.0,24.0,0.9273,17.0,272.0,39.0,15.8
765,NEWTON MEDICAL CENTER (110018),2013,Acute Care,Voluntary non-profit - Private,92.0,33.602673,-83.848082,GA,0.9881,20.4,77.0,15.0,20.1,0.9228,24.5,379.0,81.0,22.6,1.0338,17.3,281.0,52.0,17.9
766,GORDON HOSPITAL (110023),2013,Acute Care,Voluntary non-profit - Church,69.0,34.511878,-84.92537,GA,1.0329,20.7,64.0,15.0,21.3,1.0832,23.6,126.0,37.0,25.6,1.0715,17.6,262.0,53.0,18.8
767,CANDLER HOSPITAL (110024),2013,Acute Care,Voluntary non-profit - Other,260.0,32.027361,-81.101731,GA,1.0331,21.0,26.0,7.0,21.7,1.0009,24.2,467.0,113.0,24.2,1.0126,18.7,388.0,74.0,18.9
768,SOUTHEAST GEORGIA HEALTH SYSTEM - BRUNSWICK CAMPUS (110025),2013,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,0.9302,18.6,115.0,17.0,17.3,0.8925,23.3,599.0,118.0,20.8,0.9384,17.6,463.0,73.0,16.5
769,ELBERT MEMORIAL HOSPITAL (110026),2013,Acute Care,Government - Hospital District or Authority,52.0,34.113068,-82.875601,GA,,,22.0,,,0.9663,23.7,105.0,22.0,22.9,1.1386,18.9,176.0,45.0,21.5
770,COBB MEMORIAL HOSPITAL (110027),2013,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,,,13.0,,,0.9641,23.1,113.0,23.0,22.2,0.9284,18.9,194.0,30.0,17.5
771,UNIVERSITY HOSPITAL (110028),2013,Acute Care,Voluntary non-profit - Other,530.0,33.472989,-81.981332,GA,0.9518,18.2,642.0,109.0,17.3,0.9175,24.7,891.0,197.0,22.7,1.0167,19.4,690.0,137.0,19.7
772,"NORTHEAST GEORGIA MEDICAL CENTER, INC (110029)",2013,Acute Care,Government - Local,856.0,34.30335,-83.81737,GA,0.8952,17.9,758.0,117.0,16.0,0.9078,25.1,1124.0,250.0,22.8,0.9928,18.6,760.0,140.0,18.5
773,CARTERSVILLE MEDICAL CENTER (110030),2013,Acute Care,Voluntary non-profit - Private,116.0,,,GA,0.9946,23.4,44.0,10.0,23.3,0.9806,25.8,202.0,50.0,25.3,1.0004,19.1,324.0,62.0,19.1
774,SPALDING REGIONAL MEDICAL CENTER (110031),2013,Acute Care,Proprietary,160.0,33.239215,-84.265671,GA,0.9517,21.1,85.0,15.0,20.1,1.0121,24.4,438.0,109.0,24.7,1.1054,18.2,471.0,100.0,20.1
775,STEPHENS COUNTY HOSPITAL (110032),2013,Acute Care,Government - Hospital District or Authority,75.0,34.59302,-83.347172,GA,1.0565,20.9,44.0,12.0,22.1,0.9888,22.4,233.0,51.0,22.2,0.9311,17.6,371.0,57.0,16.4
776,GEORGIA HEALTH SCIENCES MEDICAL CENTER (110034),2013,Acute Care,Voluntary non-profit - Other,481.0,33.471029,-81.991453,GA,1.018,20.1,128.0,27.0,20.5,1.1053,24.8,200.0,61.0,27.4,1.0207,18.7,183.0,36.0,19.1
777,WELLSTAR KENNESTONE HOSPITAL (110035),2013,Acute Care,Voluntary non-profit - Other,617.0,33.968128,-84.551241,GA,1.0963,18.7,645.0,136.0,20.5,1.0165,24.7,1422.0,358.0,25.1,1.1113,18.4,1016.0,213.0,20.4
778,MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER (110036),2013,Acute Care,Voluntary non-profit - Other,534.0,32.031785,-81.091827,GA,0.8946,16.7,304.0,41.0,14.9,1.0085,23.8,703.0,169.0,24.0,0.9134,18.7,216.0,32.0,17.1
779,JOHN D ARCHBOLD MEMORIAL HOSPITAL (110038),2013,Acute Care,Voluntary non-profit - Private,328.0,,,GA,0.8763,17.7,162.0,20.0,15.6,0.928,23.8,378.0,79.0,22.1,0.931,16.6,367.0,53.0,15.4
780,TRINITY HOSPITAL OF AUGUSTA (110039),2013,Acute Care,Proprietary,150.0,,,GA,0.9873,18.0,31.0,5.0,17.8,0.9441,21.3,121.0,21.0,20.1,1.0398,16.0,180.0,32.0,16.7
781,NORTHRIDGE MEDICAL CENTER (110040),2013,Acute Care,Government - Hospital District or Authority,217.0,34.218475,-83.469116,GA,0.9247,22.9,25.0,2.0,21.2,0.9803,24.3,110.0,25.0,23.8,0.9627,17.8,76.0,11.0,17.1
782,HABERSHAM COUNTY MEDICAL CTR (110041),2013,Acute Care,Government - Hospital District or Authority,137.0,34.405879,-83.485989,GA,,,12.0,,,0.934,24.4,119.0,23.0,22.7,0.867,17.9,222.0,27.0,15.5
783,WELLSTAR PAULDING HOSPITAL (110042),2013,Acute Care,Voluntary non-profit - Other,259.0,33.902429,-84.782727,GA,,,11.0,,,1.0745,25.5,93.0,30.0,27.5,0.9604,16.6,145.0,21.0,15.9
784,ST JOSEPH'S HOSPITAL - SAVANNAH (110043),2013,Acute Care,Voluntary non-profit - Private,246.0,31.985079,-81.152792,GA,0.9591,16.3,324.0,49.0,15.6,0.9039,23.8,498.0,101.0,21.5,0.9371,17.5,325.0,50.0,16.4
785,PHOEBE SUMTER MEDICAL CENTER (110044),2013,Acute Care,Government - Hospital District or Authority,54.0,32.06425,-84.255376,GA,,,20.0,,,0.8853,24.1,90.0,12.0,21.3,0.946,15.6,134.0,17.0,14.8
786,BARROW REGIONAL MEDICAL CENTER (110045),2013,Acute Care,Proprietary,55.0,34.007701,-83.706706,GA,,,1.0,,,0.9805,24.1,149.0,34.0,23.6,1.0057,15.6,113.0,18.0,15.7
787,CLEARVIEW REGIONAL MEDICAL CENTER (110046),2013,Acute Care,Proprietary,81.0,33.798635,-83.746316,GA,0.9632,19.7,29.0,4.0,19.0,1.1479,23.7,190.0,60.0,27.2,1.093,16.1,127.0,27.0,17.6
788,MURRAY MEDICAL CENTER (110050),2013,Acute Care,Voluntary non-profit - Private,28.0,34.779951,-84.782125,GA,,,3.0,,,1.0238,25.3,60.0,17.0,25.9,0.9953,18.5,83.0,15.0,18.4
