,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
693,MORTON PLANT NORTH BAY HOSPITAL (100063),2021,Acute Care,Voluntary non-profit - Private,220.0,28.253933,-82.715478,FL,282.0,20.9,644.0,14.8,350.0,17.0,239.0,19.4,,,64.0,16.1,,,,,64.0,0.6,64.0,19.0,282.0,30.3,234.0,92.0,350.0,12.8,307.0,97.0,,,,129.0,1.1
694,ST ANTHONYS HOSPITAL (100067),2021,Acute Care,Voluntary non-profit - Church,349.0,27.779343,-82.651224,FL,524.0,22.4,1708.0,15.3,656.0,15.8,406.0,20.3,221.0,3.9,182.0,14.5,,,165.0,5.4,182.0,-22.6,173.0,62.0,524.0,22.4,417.0,146.0,656.0,8.7,608.0,175.0,12.7,537.0,16.3,426.0,1.3
695,ADVENTHEALTH DAYTONA BEACH (100068),2021,Acute Care,Voluntary non-profit - Church,374.0,29.24275,-81.1093,FL,704.0,19.2,1868.0,15.1,601.0,17.8,380.0,19.5,402.0,4.5,280.0,16.5,197.0,13.4,,,280.0,30.2,277.0,73.0,704.0,-20.7,584.0,170.0,601.0,38.5,554.0,157.0,,1000.0,13.2,572.0,0.9
696,FLORIDA HOSPITAL CARROLLWOOD (100069),2021,Acute Care,Voluntary non-profit - Church,105.0,28.013102,-82.504954,FL,79.0,23.1,375.0,16.2,105.0,16.4,100.0,20.5,224.0,3.4,,,,,,,,,,,79.0,6.5,67.0,27.0,105.0,11.6,100.0,24.0,,390.0,14.4,180.0,1.1
697,VENICE REGIONAL BAYFRONT HEALTH (100070),2021,Acute Care,Proprietary,264.0,27.089683,-82.444445,FL,498.0,22.9,1314.0,14.2,567.0,16.2,332.0,19.8,113.0,4.2,293.0,15.1,114.0,10.9,33.0,5.4,293.0,-4.7,280.0,78.0,498.0,15.3,427.0,158.0,567.0,-4.1,530.0,128.0,11.5,277.0,15.7,1122.0,0.7
698,BAYFRONT HEALTH BROOKSVILLE (100071),2021,Acute Care,Voluntary non-profit - Church,244.0,28.541115,-82.443386,FL,242.0,23.7,604.0,16.1,258.0,15.7,190.0,19.1,59.0,3.8,141.0,15.6,,,,,141.0,3.3,132.0,32.0,242.0,27.5,205.0,78.0,258.0,-9.2,241.0,56.0,,78.0,17.0,132.0,0.9
699,ADVENTHEALTH FISH MEMORIAL (100072),2021,Acute Care,Voluntary non-profit - Church,176.0,28.91129,-81.284122,FL,459.0,25.6,959.0,16.6,416.0,18.5,304.0,19.9,159.0,4.2,75.0,15.3,,,,,75.0,30.7,67.0,18.0,459.0,40.1,360.0,134.0,416.0,38.5,365.0,117.0,,84.0,16.6,128.0,0.9
700,HOLY CROSS HOSPITAL (100073),2021,Acute Care,Voluntary non-profit - Church,428.0,26.185378,-80.117659,FL,532.0,22.4,1730.0,15.0,617.0,16.5,313.0,18.0,1333.0,3.8,257.0,15.5,95.0,11.9,285.0,5.6,257.0,-12.8,246.0,69.0,532.0,-0.7,441.0,155.0,617.0,-0.9,560.0,152.0,11.7,1264.0,14.7,705.0,1.2
701,ST JOSEPHS HOSPITAL (100075),2021,Acute Care,Voluntary non-profit - Church,1073.0,,,FL,1126.0,21.4,2979.0,15.8,1264.0,16.8,556.0,19.0,186.0,3.8,450.0,14.6,93.0,12.1,102.0,5.8,450.0,-2.4,423.0,120.0,1126.0,20.3,898.0,338.0,1264.0,6.7,1161.0,352.0,10.6,1940.0,16.9,804.0,0.8
702,BAYFRONT HEALTH PORT CHARLOTTE (100077),2021,Acute Care,Proprietary,245.0,26.98984,-82.096682,FL,449.0,23.6,1258.0,15.9,517.0,19.3,401.0,20.9,281.0,5.2,231.0,15.5,96.0,12.3,,,231.0,3.7,225.0,62.0,449.0,8.4,373.0,128.0,517.0,44.5,463.0,136.0,,135.0,17.8,271.0,1.2
703,JFK MEDICAL CENTER (100080),2021,Acute Care,Proprietary,597.0,26.598548,-80.09031,FL,874.0,22.8,2334.0,17.1,834.0,17.3,311.0,20.6,749.0,3.8,353.0,17.7,151.0,15.2,,,353.0,24.5,344.0,115.0,874.0,22.6,718.0,242.0,834.0,17.7,768.0,193.0,,337.0,16.3,446.0,1.5
704,HEALTHMARK REGIONAL MEDICAL CENTER (100081),2021,Acute Care,Proprietary,49.0,30.658742,-86.119188,FL,51.0,21.3,63.0,15.0,66.0,16.2,47.0,19.8,,,,,,,,,,,,,51.0,-7.1,42.0,11.0,66.0,0.2,62.0,12.0,,57.0,16.1,,
705,UF HEALTH LEESBURG HOSPITAL (100084),2021,Acute Care,Voluntary non-profit - Private,327.0,28.806579,-81.869113,FL,717.0,21.8,1723.0,15.7,574.0,15.5,417.0,19.7,247.0,3.6,441.0,17.2,346.0,12.6,,,441.0,16.6,421.0,119.0,717.0,27.9,582.0,190.0,574.0,19.2,548.0,128.0,,309.0,14.7,870.0,1.1
706,BROWARD HEALTH NORTH (100086),2021,Acute Care,Government - Hospital District or Authority,335.0,26.275137,-80.120739,FL,175.0,25.0,896.0,16.3,246.0,16.9,140.0,19.9,596.0,3.6,65.0,16.2,,,,,65.0,-14.3,63.0,19.0,175.0,37.8,137.0,57.0,246.0,36.7,237.0,63.0,,195.0,14.9,82.0,1.2
707,SARASOTA MEMORIAL HOSPITAL (100087),2021,Acute Care,Government - Hospital District or Authority,722.0,27.318268,-82.529687,FL,1471.0,20.3,5604.0,15.1,1516.0,15.0,548.0,18.7,2481.0,2.6,667.0,15.7,338.0,11.7,58.0,4.9,667.0,-10.3,647.0,170.0,1471.0,-5.1,1199.0,379.0,1516.0,-1.1,1374.0,305.0,10.9,1764.0,16.9,2829.0,1.0
708,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE (100088),2021,Acute Care,Voluntary non-profit - Private,900.0,30.316284,-81.663609,FL,1116.0,20.8,4157.0,15.5,1521.0,16.9,469.0,21.1,791.0,3.9,538.0,16.1,233.0,13.2,533.0,4.6,538.0,26.6,522.0,155.0,1116.0,-2.2,880.0,318.0,1521.0,11.9,1354.0,358.0,10.5,1342.0,15.3,2218.0,0.8
709,FLAGLER HOSPITAL (100090),2021,Acute Care,Voluntary non-profit - Private,335.0,29.862616,-81.31748,FL,458.0,20.3,1628.0,15.7,571.0,16.2,384.0,20.5,490.0,4.6,232.0,15.1,92.0,13.8,,,232.0,-8.8,228.0,54.0,458.0,-9.7,383.0,127.0,571.0,-2.5,514.0,135.0,,1691.0,12.4,569.0,0.9
710,STEWARD ROCKLEDGE HOSPITAL (100092),2021,Acute Care,Voluntary non-profit - Private,296.0,28.33454,-80.723133,FL,335.0,20.2,838.0,15.6,291.0,18.9,215.0,19.4,67.0,4.2,142.0,15.6,29.0,14.4,,,142.0,-2.2,138.0,38.0,335.0,-12.1,262.0,78.0,291.0,48.8,268.0,79.0,,169.0,17.2,267.0,1.2
711,BAPTIST HOSPITAL (100093),2021,Acute Care,Voluntary non-profit - Private,377.0,30.428676,-87.232015,FL,528.0,23.0,1431.0,14.5,392.0,15.4,188.0,19.8,656.0,3.5,346.0,14.2,88.0,13.0,392.0,5.4,346.0,-7.0,331.0,80.0,528.0,17.5,437.0,174.0,392.0,-4.1,359.0,86.0,13.4,447.0,15.1,610.0,1.0
712,ADVENTHEALTH LAKE WALES (100099),2021,Acute Care,Proprietary,122.0,27.896533,-81.564666,FL,142.0,24.7,293.0,16.0,148.0,18.4,179.0,20.6,,,59.0,16.9,,,,,59.0,38.7,55.0,23.0,142.0,22.3,114.0,53.0,148.0,36.4,135.0,41.0,,494.0,15.4,57.0,0.9
713,BAY PINES VA MEDICAL CENTER (10009F),2021,Acute Care (VA),Government - Federal,,,,,536.0,26.3,2065.0,19.1,547.0,19.6,677.0,26.3,304.0,3.8,164.0,17.1,,,,,164.0,33.4,161.0,43.0,536.0,27.6,408.0,162.0,547.0,36.1,482.0,170.0,,,,,
714,CLEVELAND CLINIC INDIAN RIVER HOSPITAL (100105),2021,Acute Care,Government - Hospital District or Authority,333.0,27.658443,-80.396876,FL,760.0,21.7,2049.0,14.3,818.0,16.2,330.0,21.0,727.0,3.7,335.0,15.2,94.0,10.2,259.0,4.5,335.0,0.4,332.0,81.0,760.0,9.0,630.0,224.0,818.0,-1.4,740.0,183.0,9.3,3530.0,12.3,966.0,0.8
715,DOCTORS MEMORIAL HOSPITAL INC (100106),2021,Acute Care,Voluntary non-profit - Private,48.0,30.121128,-83.592009,FL,57.0,22.9,104.0,16.0,44.0,16.7,64.0,20.5,53.0,4.2,,,,,,,,,,,57.0,6.0,42.0,18.0,44.0,-24.6,42.0,10.0,,284.0,17.1,86.0,1.1
716,LEHIGH REGIONAL MEDICAL CENTER (100107),2021,Acute Care,Voluntary non-profit - Private,83.0,26.614318,-81.658427,FL,54.0,22.3,184.0,15.5,159.0,15.6,57.0,19.4,,,,,,,,,,,,,54.0,-6.8,50.0,20.0,159.0,-32.2,150.0,31.0,,49.0,17.5,,
717,ADVENTHEALTH SEBRING (100109),2021,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,589.0,22.0,1236.0,15.9,753.0,15.9,517.0,17.0,181.0,4.3,291.0,14.1,,,87.0,5.4,291.0,-3.5,278.0,76.0,589.0,10.3,484.0,179.0,753.0,7.1,687.0,172.0,11.5,889.0,14.5,461.0,1.0
718,OSCEOLA REGIONAL MEDICAL CENTER (100110),2021,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,353.0,26.5,1061.0,16.0,336.0,18.5,128.0,21.5,83.0,4.7,200.0,16.3,68.0,12.5,,,200.0,28.6,189.0,53.0,353.0,62.9,290.0,106.0,336.0,27.5,302.0,90.0,,50.0,15.9,101.0,1.3
719,UF HEALTH SHANDS HOSPITAL (100113),2021,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,710.0,22.6,3118.0,16.9,795.0,19.5,378.0,20.7,581.0,3.4,298.0,17.9,67.0,15.7,624.0,5.3,298.0,51.4,288.0,82.0,710.0,40.4,569.0,198.0,795.0,50.0,691.0,211.0,14.4,2271.0,17.9,1429.0,0.7
720,BAPTIST MEDICAL CENTER  BEACHES (100117),2021,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,316.0,21.9,937.0,16.0,460.0,17.7,207.0,21.6,359.0,4.1,56.0,15.4,,,,,56.0,-18.5,56.0,25.0,316.0,-1.9,259.0,90.0,460.0,8.2,418.0,126.0,,1064.0,14.8,469.0,0.9
721,FLORIDA HOSPITAL FLAGLER (100118),2021,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,421.0,23.1,1104.0,15.7,429.0,17.1,240.0,20.7,389.0,4.2,148.0,16.7,,,,,148.0,8.9,145.0,51.0,421.0,-0.2,340.0,117.0,429.0,16.9,390.0,111.0,,2211.0,14.3,587.0,1.0
722,BARTOW REGIONAL MEDICAL CENTER (100121),2021,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,77.0,22.9,168.0,15.0,108.0,16.7,62.0,19.9,62.0,3.8,48.0,16.5,,,,,48.0,41.2,45.0,18.0,77.0,36.8,63.0,26.0,108.0,2.2,102.0,33.0,,81.0,15.4,106.0,1.0
723,NORTH OKALOOSA MEDICAL CENTER (100122),2021,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,293.0,22.4,578.0,15.4,403.0,16.3,247.0,20.4,41.0,4.2,79.0,15.3,,,,,79.0,9.4,76.0,17.0,293.0,0.8,223.0,84.0,403.0,6.5,346.0,91.0,,1412.0,14.4,174.0,0.8
724,SANTA ROSA MEDICAL CENTER (100124),2021,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,119.0,22.3,403.0,15.6,176.0,16.8,284.0,21.6,40.0,4.4,,,,,,,,,,,119.0,-13.4,95.0,33.0,176.0,1.1,164.0,49.0,,389.0,17.7,108.0,1.0
725,HOMESTEAD HOSPITAL (100125),2021,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,75.0,21.5,273.0,17.1,159.0,17.3,73.0,18.5,,,,,,,,,,,,,75.0,28.4,63.0,24.0,159.0,12.1,144.0,45.0,,60.0,16.3,31.0,1.0
726,PALMS OF PASADENA HOSPITAL (100126),2021,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,139.0,23.8,598.0,15.3,240.0,17.4,134.0,20.5,196.0,5.5,34.0,16.0,,,,,34.0,-19.1,33.0,16.0,139.0,36.0,122.0,42.0,240.0,28.7,220.0,58.0,,586.0,14.3,110.0,1.3
727,MORTON PLANT HOSPITAL (100127),2021,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,804.0,20.2,2644.0,15.7,589.0,17.5,379.0,20.0,1030.0,3.5,341.0,14.6,142.0,13.5,93.0,6.8,341.0,7.0,335.0,88.0,804.0,-4.0,658.0,228.0,589.0,24.0,559.0,162.0,12.2,415.0,16.9,993.0,1.1
728,TAMPA GENERAL HOSPITAL (100128),2021,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,734.0,20.7,2595.0,15.5,425.0,16.4,296.0,18.5,737.0,2.8,210.0,16.2,99.0,13.4,160.0,4.2,210.0,18.0,205.0,54.0,734.0,10.9,559.0,204.0,425.0,14.8,398.0,103.0,15.6,333.0,16.8,1637.0,0.9
729,LAKESIDE MEDICAL CENTER (100130),2021,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,,,52.0,16.0,50.0,17.2,46.0,20.8,,,,,,,,,,,,,,,,,50.0,2.3,39.0,12.0,,,,,
730,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2021,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,372.0,25.5,1286.0,17.2,590.0,18.6,278.0,20.8,71.0,5.2,117.0,17.2,,,,,117.0,34.4,116.0,44.0,372.0,74.0,301.0,119.0,590.0,50.7,496.0,151.0,,251.0,14.4,128.0,1.1
731,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2021,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,143.0,19.3,352.0,15.2,159.0,14.7,171.0,17.7,29.0,3.7,58.0,15.9,,,26.0,5.7,58.0,29.9,57.0,14.0,143.0,-7.1,123.0,47.0,159.0,-17.3,149.0,30.0,11.9,244.0,19.5,59.0,1.0
732,ED FRASER MEMORIAL HOSPITAL (100134),2021,Acute Care,Government - Hospital District or Authority,90.0,30.28555,-82.11955,FL,46.0,22.0,77.0,15.6,52.0,17.7,33.0,20.0,,,,,,,,,,,,,46.0,13.0,38.0,15.0,52.0,24.5,43.0,17.0,,253.0,18.5,,
733,TALLAHASSEE MEMORIAL HEALTHCARE (100135),2021,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,745.0,19.7,1959.0,15.5,482.0,17.1,260.0,19.8,360.0,3.9,308.0,16.2,140.0,11.4,245.0,5.1,308.0,-10.5,296.0,85.0,745.0,-23.5,571.0,195.0,482.0,2.9,452.0,126.0,12.8,598.0,16.0,593.0,1.1
734,ADVENTHEALTH HEART OF FLORIDA (100137),2021,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,200.0,23.3,484.0,14.9,214.0,15.7,198.0,21.0,287.0,4.3,111.0,17.4,,,,,111.0,47.6,108.0,31.0,200.0,42.9,170.0,59.0,214.0,-1.6,199.0,43.0,,94.0,15.8,128.0,0.9
735,BAPTIST MEDICAL CENTER - NASSAU (100140),2021,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,174.0,20.4,502.0,14.2,240.0,15.3,117.0,18.1,221.0,4.1,,,,,,,,,,,174.0,-27.1,143.0,49.0,240.0,-14.6,219.0,47.0,,1887.0,14.8,291.0,1.0
736,JACKSON HOSPITAL (100142),2021,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,143.0,22.2,333.0,15.4,300.0,18.1,163.0,20.9,73.0,4.4,,,,,40.0,6.9,,,,,143.0,36.7,110.0,37.0,300.0,11.6,256.0,81.0,11.4,548.0,18.3,83.0,1.0
737,LOWER KEYS MEDICAL CENTER (100150),2021,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,121.0,22.7,221.0,15.5,106.0,16.1,69.0,18.9,82.0,4.0,,,,,,,,,,,121.0,17.0,100.0,47.0,106.0,-6.7,95.0,30.0,,175.0,17.8,117.0,1.1
738,MAYO CLINIC FLORIDA (100151),2021,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,535.0,21.7,2236.0,15.1,579.0,17.3,171.0,18.6,843.0,4.9,106.0,16.0,76.0,12.0,202.0,5.7,106.0,-3.9,104.0,40.0,535.0,13.2,443.0,153.0,579.0,4.9,535.0,151.0,10.2,1339.0,18.7,1852.0,0.8
739,SOUTH MIAMI HOSPITAL (100154),2021,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,295.0,24.3,786.0,16.1,488.0,17.8,155.0,18.5,58.0,3.9,168.0,16.6,,,,,168.0,14.4,159.0,47.0,295.0,29.2,255.0,101.0,488.0,39.2,443.0,126.0,,56.0,15.7,406.0,0.7
740,LAKE CITY MEDICAL CENTER (100156),2021,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,448.0,25.2,912.0,17.0,454.0,19.0,390.0,20.0,163.0,4.2,65.0,17.3,,,,,65.0,17.2,63.0,25.0,448.0,40.6,342.0,145.0,454.0,20.6,402.0,124.0,,167.0,18.1,235.0,1.1
741,LAKELAND REGIONAL MEDICAL CENTER (100157),2021,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,1190.0,24.0,3270.0,17.2,978.0,19.3,913.0,22.4,609.0,4.6,452.0,17.2,106.0,16.0,226.0,4.6,452.0,15.4,425.0,128.0,1190.0,23.3,915.0,342.0,978.0,43.7,887.0,241.0,12.3,750.0,22.1,1074.0,1.0
742,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - LAKE CITY (10015F),2021,Acute Care (VA),VA,,,,,257.0,25.2,468.0,17.0,295.0,16.8,280.0,20.8,,,,,,,,,,,,,257.0,28.1,190.0,98.0,295.0,22.2,255.0,85.0,,,,,
743,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2021,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,405.0,24.6,890.0,17.1,252.0,18.3,160.0,19.3,146.0,3.9,196.0,15.6,62.0,15.4,,,196.0,49.9,185.0,54.0,405.0,21.5,304.0,114.0,252.0,21.7,234.0,66.0,,52.0,17.8,104.0,1.3
744,DOCTORS HOSPITAL OF SARASOTA (100166),2021,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,397.0,21.6,1257.0,14.7,406.0,16.3,163.0,18.0,1334.0,3.6,128.0,16.1,,,,,128.0,-15.0,124.0,29.0,397.0,-3.4,339.0,118.0,406.0,0.2,383.0,97.0,,157.0,15.7,511.0,1.0
745,PLANTATION GENERAL HOSPITAL (100167),2021,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,324.0,25.1,773.0,17.0,311.0,17.2,144.0,20.7,147.0,3.9,61.0,16.6,,,,,61.0,44.3,57.0,20.0,324.0,65.7,250.0,102.0,311.0,21.2,277.0,75.0,,46.0,16.9,165.0,1.2
746,BOCA RATON REGIONAL HOSPITAL (100168),2021,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,1139.0,21.1,3144.0,16.4,1742.0,15.3,452.0,20.0,636.0,5.5,371.0,17.1,157.0,14.5,1049.0,3.0,371.0,24.7,364.0,99.0,1139.0,16.4,946.0,321.0,1742.0,10.2,1523.0,387.0,11.5,643.0,15.2,1019.0,1.0
747,ADVENTHEALTH TAMPA (100173),2021,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,358.0,20.1,1293.0,15.0,478.0,15.3,354.0,18.8,176.0,4.1,183.0,15.1,130.0,13.9,,,183.0,20.5,179.0,50.0,358.0,26.9,287.0,107.0,478.0,34.4,427.0,117.0,,290.0,18.1,423.0,0.8
748,DESOTO MEMORIAL HOSPITAL (100175),2021,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,70.0,20.4,106.0,15.3,103.0,15.9,77.0,20.3,27.0,3.9,,,,,,,,,,,70.0,-45.5,58.0,18.0,103.0,-10.9,94.0,25.0,,326.0,17.7,31.0,0.9
749,PALM BEACH GARDENS MEDICAL CENTER (100176),2021,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,502.0,22.6,1292.0,15.8,613.0,16.4,260.0,19.5,144.0,3.7,240.0,17.0,170.0,15.8,,,240.0,28.7,233.0,65.0,502.0,38.4,389.0,148.0,613.0,18.9,551.0,134.0,,115.0,16.1,284.0,1.3
750,CAPE CANAVERAL HOSPITAL (100177),2021,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,250.0,21.3,605.0,15.6,287.0,17.4,165.0,20.8,143.0,3.5,104.0,15.3,,,26.0,5.9,104.0,-15.9,104.0,24.0,250.0,6.4,217.0,76.0,287.0,-7.3,259.0,72.0,11.3,1035.0,14.3,315.0,1.0
751,MEMORIAL HOSPITAL JACKSONVILLE (100179),2021,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,528.0,23.6,1585.0,16.7,389.0,19.3,210.0,23.1,329.0,4.6,146.0,16.8,57.0,14.9,,,146.0,67.3,144.0,44.0,528.0,44.7,430.0,162.0,389.0,59.9,356.0,114.0,,290.0,16.0,351.0,1.0
752,ST PETERSBURG GENERAL HOSPITAL (100180),2021,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,105.0,24.0,313.0,16.0,187.0,19.4,101.0,18.9,,,,,,,,,,,,,105.0,60.8,98.0,44.0,187.0,82.5,175.0,59.0,,118.0,15.1,99.0,1.1
753,LARKIN COMMUNITY HOSPITAL (100181),2021,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,,,102.0,16.1,86.0,18.0,,,,,,,,,,,,,,,,,,,86.0,68.6,81.0,27.0,,40.0,16.0,,
754,CORAL GABLES HOSPITAL (100183),2021,Acute Care,Proprietary,245.0,,,FL,181.0,22.7,485.0,16.1,256.0,17.1,250.0,19.4,,,,,,,,,,,,,181.0,10.6,152.0,52.0,256.0,24.4,221.0,58.0,,,,132.0,0.7
755,PALMETTO GENERAL HOSPITAL (100187),2021,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,240.0,23.6,602.0,16.0,211.0,16.7,144.0,19.0,102.0,4.2,161.0,17.1,,,,,161.0,63.6,153.0,48.0,240.0,4.1,192.0,71.0,211.0,7.6,200.0,48.0,,33.0,17.1,101.0,1.1
756,NORTHWEST MEDICAL CENTER (100189),2021,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,338.0,23.3,781.0,16.2,227.0,18.2,139.0,19.2,,,146.0,16.2,,,,,146.0,5.7,144.0,40.0,338.0,-7.7,268.0,96.0,227.0,-3.8,215.0,57.0,,82.0,17.1,134.0,1.0
757,MEDICAL CENTER OF TRINITY (100191),2021,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,348.0,23.5,979.0,16.7,379.0,17.3,246.0,18.6,181.0,4.9,177.0,16.9,39.0,14.6,,,177.0,27.2,171.0,50.0,348.0,4.9,292.0,103.0,379.0,35.1,357.0,101.0,,94.0,16.1,193.0,1.2
758,BROWARD HEALTH IMPERIAL POINT (100200),2021,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,65.0,23.4,346.0,16.2,113.0,15.9,89.0,18.6,84.0,4.7,,,,,,,,,,,65.0,17.4,58.0,24.0,113.0,13.9,104.0,24.0,,425.0,16.5,157.0,1.0
759,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2021,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,1132.0,25.3,3452.0,16.4,968.0,16.4,550.0,19.9,875.0,3.2,480.0,18.9,158.0,21.5,25.0,5.9,480.0,38.0,460.0,152.0,1132.0,41.0,887.0,350.0,968.0,13.6,853.0,222.0,11.4,638.0,15.6,953.0,1.1
760,MEMORIAL HOSPITAL OF TAMPA (100206),2021,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,169.0,23.8,477.0,15.6,126.0,16.3,96.0,19.1,78.0,3.9,,,,,,,,,,,169.0,60.7,123.0,56.0,126.0,-1.4,122.0,26.0,,889.0,13.9,194.0,1.0
761,KENDALL REGIONAL MEDICAL CENTER (100209),2021,Acute Care,Proprietary,423.0,,,FL,270.0,24.7,639.0,15.8,342.0,17.5,116.0,20.2,63.0,4.9,80.0,16.9,,,,,80.0,36.9,77.0,26.0,270.0,33.8,213.0,83.0,342.0,39.1,309.0,85.0,,97.0,17.7,81.0,1.3
762,ADVENTHEALTH DADE CITY (100211),2021,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,65.0,22.4,135.0,15.3,63.0,16.1,58.0,20.0,,,,,,,,,,,,,65.0,-20.4,59.0,25.0,63.0,5.7,60.0,9.0,,118.0,16.0,75.0,0.9
763,MARION COMMUNTIY HOSPITAL (100212),2021,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,949.0,24.4,3442.0,16.1,1090.0,17.2,419.0,20.1,1873.0,4.0,409.0,15.5,119.0,12.8,,,409.0,-7.0,394.0,107.0,949.0,28.0,778.0,284.0,1090.0,28.2,997.0,253.0,,174.0,15.5,773.0,1.1
764,BLAKE MEDICAL CENTER (100213),2021,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,479.0,23.2,1628.0,15.4,446.0,15.9,303.0,19.6,601.0,4.2,285.0,17.1,61.0,15.2,,,285.0,24.5,278.0,68.0,479.0,22.7,402.0,140.0,446.0,17.1,414.0,97.0,,159.0,16.6,303.0,1.2
