,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32)
473,KAISER FOUNDATION HOSPITAL-SANTA ROSA (050690),2019,Acute Care,Voluntary non-profit - Other,169.0,38.470217,-122.724316,CA,,,189.0,14.5,,,,,,,,,,,,,,,,,,
474,KECK HOSPITAL OF USC (050696),2019,Acute Care,Voluntary non-profit - Other,334.0,34.062168,-118.203234,CA,172.0,23.3,2586.0,15.7,83.0,18.3,,,589.0,3.4,64.0,16.4,40.0,11.8,64.0,59.6,172.0,43.8,83.0,47.9,197.0,14.0
475,PATIENTS' HOSPITAL OF REDDING (050697),2019,Acute Care,Physician,10.0,40.58549,-122.416264,CA,,,54.0,14.9,,,,,,,,,,,,,,,,,,
476,SOUTHWEST HEALTHCARE SYSTEM (050701),2019,Acute Care,Proprietary,241.0,33.557832,-117.184346,CA,223.0,22.5,1513.0,16.6,300.0,18.7,192.0,19.0,166.0,5.2,43.0,16.1,,,43.0,11.1,223.0,13.1,300.0,41.9,,
477,MISSION COMMUNITY HOSPITAL (050704),2019,Acute Care,Voluntary non-profit - Private,141.0,34.221494,-118.456802,CA,243.0,21.8,1305.0,14.3,430.0,15.3,243.0,17.2,62.0,3.6,,,,,,,243.0,28.4,430.0,2.1,,
478,FRESNO SURGICAL HOSPITAL (050708),2019,Acute Care,Proprietary,28.0,36.824644,-119.781416,CA,,,663.0,15.0,,,,,1496.0,3.9,,,,,,,,,,,,
479,DESERT VALLEY HOSPITAL (050709),2019,Acute Care,Proprietary,142.0,34.470911,-117.297099,CA,345.0,22.6,1537.0,16.3,365.0,20.0,129.0,21.3,58.0,4.6,130.0,16.6,,,130.0,26.0,346.0,9.2,365.0,38.8,,
480,KAISER FOUNDATION HOSPITAL - FRESNO (050710),2019,Acute Care,Voluntary non-profit - Private,169.0,36.84278,-119.783436,CA,,,189.0,15.6,,,,,,,,,,,,,,,,,,
481,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ (050714),2019,Acute Care,Voluntary non-profit - Private,30.0,36.987865,-121.97818,CA,,,142.0,14.6,,,,,283.0,4.1,,,,,,,,,,,741.0,14.3
482,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR (050717),2019,Acute Care,Government - Local,234.0,,,CA,,,68.0,15.9,,,,,34.0,4.4,,,,,,,,,,,,
483,KAISER FOUNDATION HOSPITAL - BALDWIN PARK (050723),2019,Acute Care,Voluntary non-profit - Other,259.0,34.064642,-117.984646,CA,,,139.0,15.3,,,,,,,,,,,,,,,,,,
484,BAKERSFIELD HEART HOSPITAL (050724),2019,Acute Care,Proprietary,47.0,35.386106,-119.040847,CA,520.0,20.9,1361.0,14.7,276.0,17.4,172.0,18.9,133.0,3.7,219.0,16.1,73.0,14.2,219.0,8.4,520.0,2.5,276.0,4.8,,
485,STANISLAUS SURGICAL HOSPITAL (050726),2019,Acute Care,Proprietary,23.0,37.664558,-120.957516,CA,,,195.0,14.3,,,,,429.0,3.5,,,,,,,,,,,279.0,14.0
486,COMMUNITY HOSPITAL OF LONG BEACH (050727),2019,Acute Care,Voluntary non-profit - Private,154.0,,,CA,81.0,21.4,651.0,15.2,205.0,18.8,107.0,20.2,,,26.0,15.3,,,26.0,9.8,81.0,5.1,205.0,98.2,,
487,WHITTIER HOSPITAL MEDICAL CENTER (050735),2019,Acute Care,Proprietary,178.0,33.950748,-118.005114,CA,143.0,21.4,798.0,16.0,199.0,16.4,103.0,18.1,,,33.0,17.5,,,33.0,57.0,143.0,-32.4,199.0,-13.5,114.0,14.4
488,MONTEREY PARK HOSPITAL (050736),2019,Acute Care,Proprietary,101.0,34.049769,-118.138751,CA,64.0,22.8,422.0,16.2,78.0,17.6,63.0,19.2,26.0,3.8,,,,,,,64.0,80.5,78.0,41.5,,
489,GARFIELD MEDICAL CENTER (050737),2019,Acute Care,Proprietary,210.0,34.067864,-118.122906,CA,354.0,21.7,1584.0,15.8,497.0,18.9,215.0,17.0,,,98.0,15.1,49.0,12.2,98.0,81.4,354.0,51.7,497.0,74.2,102.0,14.4
490,GREATER EL MONTE COMMUNITY HOSPITAL (050738),2019,Acute Care,Voluntary non-profit - Private,118.0,34.048705,-118.042452,CA,,,312.0,14.6,158.0,14.1,45.0,19.1,,,,,,,,,,,158.0,-21.2,,
491,CENTINELA HOSPITAL MEDICAL CENTER (050739),2019,Acute Care,Proprietary,349.0,33.949086,-118.348214,CA,806.0,25.8,2854.0,17.0,601.0,20.2,352.0,19.7,,,169.0,17.1,,,169.0,42.3,806.0,-7.1,601.0,55.8,,
492,CEDAR-SINAI MARINA DEL REY HOSPITAL (050740),2019,Acute Care,Proprietary,98.0,33.981732,-118.440154,CA,131.0,23.3,1169.0,15.5,278.0,16.9,111.0,18.9,135.0,4.1,33.0,14.8,,,33.0,-25.2,131.0,17.8,278.0,26.2,,
493,OLYMPIA MEDICAL CENTER (050742),2019,Acute Care,Proprietary,204.0,34.057527,-118.359857,CA,254.0,23.8,1484.0,16.9,478.0,20.4,169.0,18.6,41.0,3.9,46.0,16.0,,,46.0,67.7,254.0,53.9,478.0,58.2,58.0,15.2
494,ANAHEIM GLOBAL MEDICAL CENTER (050744),2019,Acute Care,Proprietary,185.0,33.820566,-117.909002,CA,,,161.0,15.1,59.0,17.1,,,,,,,,,,,,,59.0,30.6,,
495,CHAPMAN GLOBAL MEDICAL CENTER (050745),2019,Acute Care,Proprietary,112.0,33.787878,-117.827058,CA,26.0,22.2,202.0,15.4,65.0,17.9,,,80.0,4.6,,,,,,,26.0,21.5,65.0,35.1,,
496,ORANGE COUNTY GLOBAL MEDICAL CENTER (050746),2019,Acute Care,Proprietary,246.0,33.753636,-117.834209,CA,87.0,24.6,781.0,16.9,140.0,17.6,49.0,20.4,,,64.0,15.9,,,64.0,17.0,87.0,44.4,140.0,-9.5,,
497,SOUTH COAST GLOBAL MEDICAL CENTER (050747),2019,Acute Care,Proprietary,177.0,33.710692,-117.88541,CA,35.0,22.1,220.0,15.3,98.0,16.4,26.0,18.8,,,,,,,,,35.0,19.4,98.0,59.0,,
498,KAISER FOUNDATION HOSPITAL MANTECA (050748),2019,Acute Care,Voluntary non-profit - Private,238.0,37.797371,-121.246183,CA,,,195.0,15.0,,,,,,,,,,,,,,,,,,
499,MIRACLE MILE MEDICAL CENTER (050751),2019,Acute Care,Proprietary,17.0,,,CA,,,33.0,15.1,,,,,,,,,,,,,,,,,,
500,MENLO PARK SURGICAL HOSPITAL (050754),2019,Acute Care,Voluntary non-profit - Private,16.0,37.462043,-122.159517,CA,,,42.0,15.1,,,,,,,,,,,,,,,,,,
501,SHERMAN OAKS HOSPITAL (050755),2019,Acute Care,Voluntary non-profit - Private,150.0,34.15981,-118.448705,CA,313.0,24.3,1794.0,17.3,518.0,19.4,119.0,20.0,44.0,3.8,127.0,16.5,,,127.0,12.5,313.0,35.4,518.0,64.0,,
502,ALVARADO HOSPITAL MEDICAL CENTER (050757),2019,Acute Care,Government - Federal,300.0,32.777136,-117.056602,CA,139.0,20.1,1056.0,14.6,280.0,15.4,103.0,17.7,101.0,3.8,85.0,16.3,,,85.0,10.1,139.0,-17.9,280.0,-15.0,89.0,14.2
503,MONTCLAIR HOSPITAL MEDICAL CENTER (050758),2019,Acute Care,Voluntary non-profit - Private,103.0,34.077662,-117.696098,CA,25.0,22.2,233.0,15.3,146.0,16.9,,,,,,,,,,,25.0,94.3,146.0,-8.5,,
504,KAISER FOUNDATION HOSPITAL - ANTIOCH (050760),2019,Acute Care,Proprietary,138.0,37.949469,-121.774824,CA,,,190.0,14.7,33.0,17.5,,,,,,,,,,,,,33.0,-4.0,,
505,PROVIDENCE TARZANA MEDICAL CENTER (050761),2019,Acute Care,Voluntary non-profit - Private,244.0,34.169777,-118.53183,CA,764.0,23.4,3851.0,15.6,685.0,17.8,331.0,19.8,82.0,4.2,213.0,15.5,29.0,12.4,213.0,-10.1,764.0,33.3,685.0,25.8,45.0,14.7
506,SILVER LAKE MEDICAL CENTER (050763),2019,Acute Care,Proprietary,218.0,34.06879,-118.26356,CA,43.0,20.8,769.0,15.8,240.0,15.8,189.0,19.5,,,,,,,,,43.0,24.4,240.0,82.0,,
507,SHASTA REGIONAL MEDICAL CENTER (050764),2019,Acute Care,Proprietary,219.0,40.585376,-122.386683,CA,607.0,20.7,3242.0,15.1,719.0,16.8,365.0,19.3,665.0,4.2,369.0,15.7,149.0,12.7,369.0,-16.4,607.0,-34.0,719.0,-3.3,116.0,15.4
508,KAISER FOUNDATION HOSPITAL-MORENO VALLEY (050765),2019,Acute Care,Voluntary non-profit - Other,87.0,33.895697,-117.187121,CA,,,62.0,14.8,,,,,,,,,,,,,,,,,,
509,SUTTER SURGICAL HOSPITAL - NORTH VALLEY (050766),2019,Acute Care,Physician,14.0,39.132167,-121.613603,CA,,,194.0,14.6,,,,,350.0,4.0,,,,,,,,,,,,
510,KAISER FOUNDATION HOSPITAL - VACAVILLE (050767),2019,Acute Care,Proprietary,126.0,38.390073,-121.936776,CA,,,220.0,14.8,,,,,,,,,,,,,,,,,,
511,HOAG ORTHOPEDIC INSTITUTE (050769),2019,Acute Care,Proprietary,70.0,33.66095,-117.774478,CA,,,1675.0,12.0,,,,,3203.0,2.6,,,,,,,,,,,,
512,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA (050770),2019,Acute Care,Proprietary,108.0,33.613435,-117.168923,CA,225.0,23.5,1540.0,15.9,252.0,16.8,203.0,19.1,182.0,4.6,176.0,16.8,42.0,13.1,176.0,16.5,225.0,23.3,252.0,5.7,43.0,15.3
513,COAST PLAZA HOSPITAL (050771),2019,Acute Care,Proprietary,116.0,33.912428,-118.099156,CA,93.0,22.0,423.0,14.8,210.0,17.0,69.0,19.9,,,31.0,15.9,,,31.0,41.6,93.0,15.0,211.0,45.6,,
514,KAISER FOUNDATION HOSPITAL - ROSEVILLE (050772),2019,Acute Care,Voluntary non-profit - Private,342.0,38.746698,-121.247166,CA,,,541.0,15.9,,,,,,,,,,,,,,,,,,
515,SAN LEANDRO HOSPITAL (050773),2019,Acute Care,Government - Hospital District or Authority,67.0,,,CA,178.0,20.8,712.0,15.8,196.0,16.8,111.0,19.9,45.0,4.5,,,,,,,178.0,-24.2,196.0,5.2,,
516,TEMECULA VALLEY HOSPITAL (050775),2019,Acute Care,Proprietary,140.0,33.47929,-117.105744,CA,406.0,22.1,1928.0,15.2,347.0,17.5,170.0,20.1,260.0,3.3,343.0,15.7,61.0,15.3,343.0,19.8,406.0,1.9,347.0,14.7,,
517,COLLEGE MEDICAL CENTER (050776),2019,Acute Care,Proprietary,213.0,33.807201,-118.193721,CA,36.0,23.1,442.0,15.6,94.0,16.7,59.0,19.1,,,,,,,,,36.0,3.0,94.0,54.7,,
518,KAISER FOUNDATION HOSPITAL - SAN LEANDRO (050777),2019,Acute Care,Voluntary non-profit - Private,207.0,37.706524,-122.169447,CA,,,249.0,15.0,,,,,,,,,,,,,,,,,,
519,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL (050779)",2019,Acute Care,Voluntary non-profit - Private,131.0,33.924361,-118.244331,CA,116.0,24.6,474.0,16.8,84.0,17.3,65.0,21.2,,,,,,,,,116.0,34.1,84.0,-13.1,,
520,FOOTHILL REGIONAL MEDICAL CENTER (050780),2019,Acute Care,Proprietary,170.0,33.730773,-117.829485,CA,,,286.0,15.2,93.0,17.7,,,,,,,,,,,,,93.0,49.5,,
521,CASA COLINA HOSPITAL (050782),2019,Acute Care,Voluntary non-profit - Private,99.0,34.096242,-117.746861,CA,36.0,21.4,435.0,14.9,95.0,17.1,,,152.0,4.1,,,,,,,36.0,5.6,95.0,9.7,,
522,COLUSA MEDICAL CENTER (050783),2019,Acute Care,Proprietary,50.0,39.207286,-121.999974,CA,,,56.0,16.0,,,,,,,,,,,,,,,,,,
523,VA SAN DIEGO HEALTHCARE SYSTEM (05114F),2019,Acute Care (VA),Government - Federal,,,,,672.0,25.0,,,433.0,15.2,,,,,185.0,16.5,,,,,,,,,,
524,LOMA LINDA VA MEDICAL CENTER (05127F),2019,Acute Care (VA),Government - Federal,,,,,613.0,20.9,,,480.0,17.5,,,,,178.0,17.7,,,,,,,,,,
525,VA GREATER LOS ANGELES HEALTHCARE SYSTEM (05128F),2019,Acute Care (VA),Government - Federal,,,,,648.0,25.1,,,420.0,19.9,,,,,129.0,17.3,,,,,,,,,,
526,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS (051300),2019,Critical Access,Government - Hospital District or Authority,75.0,39.806144,-120.463129,CA,,,58.0,15.3,35.0,16.8,,,,,,,,,,,,,36.0,-14.9,,
527,MAMMOTH HOSPITAL (051303),2019,Critical Access,Government - Hospital District or Authority,17.0,37.645071,-118.963911,CA,,,109.0,15.2,,,,,67.0,3.9,,,,,,,,,,,,
528,JOHN C FREMONT HEALTHCARE DISTRICT (051304),2019,Critical Access,Government - Hospital District or Authority,35.0,37.500531,-119.976948,CA,31.0,22.1,109.0,15.6,39.0,16.5,35.0,20.3,,,,,,,,,31.0,30.6,39.0,-8.7,,
529,MAYERS MEMORIAL HOSPITAL (051305),2019,Critical Access,Government - Hospital District or Authority,120.0,41.023968,-121.424651,CA,26.0,21.3,115.0,14.2,44.0,15.6,42.0,18.6,,,,,,,,,26.0,-36.4,44.0,-28.5,,
530,GLENN MEDICAL CENTER (051306),2019,Critical Access,Voluntary non-profit - Private,16.0,39.520467,-122.20812,CA,,,83.0,15.7,47.0,16.4,37.0,21.0,,,,,,,,,,,47.0,7.4,,
531,SAN FRANCISCO VA MEDICAL CENTER (05130F),2019,Acute Care (VA),Government - Federal,,,,,382.0,24.1,,,277.0,18.1,,,,,133.0,17.0,,,,,,,,,,
532,ADVENTIST HEALTH HOWARD MEMORIAL (051310),2019,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,64.0,20.9,604.0,14.8,124.0,16.1,47.0,19.1,280.0,3.4,,,,,,,64.0,-21.6,124.0,6.9,,
533,ORCHARD HOSPITAL (051311),2019,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,47.0,21.0,149.0,15.2,68.0,16.3,28.0,19.0,,,,,,,,,47.0,-10.3,68.0,-19.7,,
534,MOUNTAINS COMMUNITY HOSPITAL (051312),2019,Critical Access,Government - Hospital District or Authority,37.0,34.2659,-117.167092,CA,,,49.0,15.0,31.0,16.3,,,,,,,,,,,,,31.0,2.2,,
535,KERN VALLEY HEALTHCARE DISTRICT (051314),2019,Critical Access,Government - Hospital District or Authority,98.0,35.635351,-118.4063,CA,,,115.0,14.9,58.0,16.6,52.0,19.5,,,,,,,,,,,58.0,-3.8,39.0,15.5
536,TRINITY HOSPITAL (051315),2019,Critical Access,Government - Hospital District or Authority,47.0,40.737579,-122.939444,CA,34.0,22.0,115.0,14.9,74.0,15.7,,,,,,,,,,,34.0,10.0,74.0,-14.0,82.0,14.3
537,FAIRCHILD MEDICAL CENTER (051316),2019,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,67.0,20.1,421.0,14.9,160.0,16.3,100.0,20.4,96.0,3.7,,,,,,,68.0,-3.5,160.0,-16.7,207.0,14.6
538,ADVENTIST HEALTH CLEARLAKE (051317),2019,Critical Access,Voluntary non-profit - Church,25.0,,,CA,125.0,21.0,469.0,14.9,187.0,17.2,193.0,20.1,,,,,,,,,125.0,13.8,187.0,3.6,,
539,REDWOOD MEMORIAL HOSPITAL (051318),2019,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,34.0,21.5,385.0,14.3,80.0,15.4,60.0,19.0,86.0,4.1,,,,,,,34.0,-24.5,80.0,-18.8,108.0,14.4
540,MERCY MEDICAL CENTER MT SHASTA (051319),2019,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,53.0,21.2,313.0,15.0,92.0,14.8,76.0,19.0,129.0,3.6,,,,,,,53.0,-28.7,92.0,-35.7,146.0,14.7
541,BANNER LASSEN MEDICAL CENTER (051320),2019,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,33.0,20.5,223.0,15.3,80.0,16.0,69.0,19.3,,,,,,,,,33.0,-51.7,81.0,-23.8,41.0,14.5
542,HEALDSBURG DISTRICT HOSPITAL (051321),2019,Critical Access,Government - Hospital District or Authority,42.0,38.626583,-122.863741,CA,51.0,21.6,305.0,15.1,121.0,16.8,41.0,20.2,134.0,4.0,,,,,,,51.0,-23.3,121.0,15.0,,
543,COLORADO RIVER MEDICAL CENTER (051323),2019,Critical Access,Voluntary non-profit - Private,25.0,34.832836,-114.618317,CA,,,137.0,15.9,,,38.0,18.9,,,,,,,,,,,,,,
544,NORTHERN INYO HOSPITAL (051324),2019,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,25.0,22.3,380.0,15.2,98.0,15.1,44.0,18.9,60.0,3.6,,,,,,,25.0,-13.0,98.0,-33.4,,
545,MENDOCINO COAST DISTRICT HOSPITAL (051325),2019,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,55.0,22.1,351.0,15.2,99.0,16.8,56.0,18.8,69.0,4.1,,,,,,,55.0,-3.3,99.0,14.7,,
546,PLUMAS DISTRICT HOSPITAL (051326),2019,Critical Access,Government - Hospital District or Authority,21.0,39.934767,-120.919251,CA,30.0,22.1,151.0,15.6,36.0,16.4,27.0,19.8,,,,,,,,,30.0,61.1,36.0,-10.5,,
547,SENECA DISTRICT HOSPITAL (051327),2019,Critical Access,Government - Hospital District or Authority,26.0,40.305302,-121.234018,CA,,,62.0,16.0,42.0,16.1,,,,,,,,,,,,,42.0,-27.1,,
548,TAHOE FOREST HOSPITAL (051328),2019,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,42.0,20.8,412.0,15.3,124.0,16.1,28.0,19.2,226.0,4.5,,,,,,,42.0,-22.7,124.0,0.1,,
549,SUTTER LAKESIDE HOSPITAL (051329),2019,Critical Access,Voluntary non-profit - Private,25.0,39.105175,-122.908238,CA,100.0,21.1,576.0,15.1,167.0,16.2,161.0,17.8,27.0,3.8,,,,,,,100.0,-27.5,167.0,-2.2,157.0,14.0
550,MODOC MEDICAL CENTER (051330),2019,Critical Access,Government - Hospital District or Authority,82.0,41.479949,-120.545503,CA,,,73.0,15.4,33.0,16.8,,,,,,,,,,,,,33.0,-7.1,,
551,SANTA YNEZ VALLEY COTTAGE HOSPITAL (051331),2019,Critical Access,Voluntary non-profit - Private,11.0,34.602465,-120.126643,CA,,,114.0,14.7,73.0,15.9,,,,,,,,,,,,,73.0,1.2,201.0,13.5
552,MARK TWAIN MEDICAL CENTER (051332),2019,Critical Access,Voluntary non-profit - Other,25.0,38.190973,-120.670661,CA,57.0,19.9,323.0,14.6,101.0,16.6,96.0,19.0,76.0,4.0,,,,,,,57.0,-32.5,101.0,7.5,,
553,OJAI VALLEY COMMUNITY HOSPITAL (051334),2019,Critical Access,Voluntary non-profit - Private,93.0,34.442251,-119.264518,CA,,,136.0,14.9,59.0,15.7,,,,,,,,,,,,,59.0,-30.2,,
554,BEAR VALLEY COMMUNITY HOSPITAL (051335),2019,Critical Access,Government - Hospital District or Authority,30.0,34.246023,-116.888343,CA,,,32.0,15.5,,,,,,,,,,,,,,,,,,
555,NORTH COLORADO MEDICAL CENTER (060001),2019,Acute Care,Voluntary non-profit - Private,244.0,40.413834,-104.709429,CO,446.0,18.6,2365.0,14.1,478.0,14.0,214.0,20.1,257.0,3.3,283.0,14.4,49.0,13.4,283.0,-6.7,446.0,-14.3,478.0,-14.1,339.0,15.1
556,LONGMONT UNITED HOSPITAL (060003),2019,Acute Care,Voluntary non-profit - Private,136.0,40.181324,-105.126382,CO,198.0,20.9,1233.0,15.1,253.0,16.2,211.0,18.8,290.0,5.1,86.0,14.9,,,86.0,-24.8,198.0,6.6,253.0,10.5,89.0,14.7
557,PLATTE VALLEY MEDICAL CENTER (060004),2019,Acute Care,Voluntary non-profit - Private,89.0,39.965441,-104.770924,CO,88.0,21.7,572.0,14.8,88.0,15.2,74.0,19.0,134.0,3.9,52.0,16.1,,,52.0,-13.2,88.0,16.1,88.0,-35.9,123.0,15.0
558,MONTROSE MEMORIAL HOSPITAL (060006),2019,Acute Care,Voluntary non-profit - Private,60.0,38.480881,-107.868769,CO,90.0,19.2,756.0,13.8,161.0,16.7,61.0,19.8,243.0,3.4,107.0,14.3,,,107.0,-18.8,90.0,-43.1,161.0,-12.3,211.0,13.7
559,SAN LUIS VALLEY HEALTH (060008),2019,Acute Care,Voluntary non-profit - Private,50.0,37.47236,-105.883712,CO,60.0,21.0,410.0,14.4,131.0,15.6,34.0,20.5,107.0,4.1,,,,,,,60.0,-36.4,131.0,-32.1,66.0,14.3
560,LUTHERAN MEDICAL CENTER (060009),2019,Acute Care,Voluntary non-profit - Private,358.0,39.769328,-105.089291,CO,373.0,18.8,1961.0,13.7,394.0,13.8,197.0,17.7,230.0,4.1,160.0,14.9,34.0,12.2,160.0,-2.0,373.0,-30.5,394.0,-28.3,52.0,14.3
561,POUDRE VALLEY HOSPITAL (060010),2019,Acute Care,Voluntary non-profit - Private,256.0,40.573724,-105.05786,CO,376.0,18.1,3949.0,14.1,597.0,15.9,253.0,21.7,2505.0,3.2,146.0,14.4,,,146.0,-31.4,376.0,-23.6,597.0,-14.6,131.0,14.7
562,DENVER HEALTH MEDICAL CENTER (060011),2019,Acute Care,Government - State,425.0,39.72823,-104.990066,CO,85.0,20.9,555.0,14.7,63.0,16.8,50.0,19.3,,,41.0,17.4,,,41.0,17.7,85.0,-6.5,63.0,19.6,76.0,14.7
563,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER (060012),2019,Acute Care,Voluntary non-profit - Church,110.0,38.233211,-104.622789,CO,213.0,19.0,1342.0,14.5,220.0,13.7,149.0,19.2,493.0,4.1,139.0,14.6,,,139.0,-18.3,213.0,-22.7,220.0,-36.7,169.0,14.1
564,MERCY REGIONAL MEDICAL CENTER (060013),2019,Acute Care,Voluntary non-profit - Church,80.0,37.235054,-107.824841,CO,151.0,18.6,1235.0,13.5,224.0,14.0,69.0,18.0,247.0,3.3,126.0,15.0,,,126.0,-1.7,151.0,-41.1,224.0,-36.6,172.0,14.0
565,PRESBYTERIAN ST LUKES MEDICAL CENTER (060014),2019,Acute Care,Government - State,333.0,39.746089,-104.967175,CO,74.0,21.4,1132.0,15.4,107.0,16.4,36.0,18.8,126.0,4.4,36.0,15.6,,,36.0,-15.4,74.0,-12.5,107.0,21.3,,
566,CENTURA HEALTH-ST ANTHONY HOSPITAL (060015),2019,Acute Care,Voluntary non-profit - Church,221.0,39.717956,-105.127494,CO,316.0,21.3,2405.0,14.0,341.0,15.1,186.0,18.6,34.0,3.8,253.0,14.2,38.0,11.7,253.0,-24.6,316.0,-8.9,341.0,-19.8,110.0,14.3
567,"PARKVIEW MEDICAL CENTER, INC (060020)",2019,Acute Care,Voluntary non-profit - Private,328.0,38.281678,-104.612123,CO,441.0,21.3,3281.0,14.0,517.0,14.4,542.0,17.1,432.0,4.1,296.0,15.1,78.0,11.3,296.0,-0.7,441.0,13.9,517.0,-30.1,428.0,13.3
568,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL (060022),2019,Acute Care,Government - Local,482.0,38.838812,-104.799951,CO,608.0,18.8,5324.0,14.0,817.0,16.4,478.0,17.3,709.0,3.5,315.0,15.4,129.0,13.1,315.0,2.3,608.0,-20.1,817.0,-22.3,224.0,16.6
569,ST MARYS MEDICAL CENTER (060023),2019,Acute Care,Voluntary non-profit - Church,285.0,39.090604,-108.561439,CO,294.0,18.2,2721.0,13.9,274.0,16.6,191.0,18.5,636.0,3.2,363.0,13.9,95.0,12.3,363.0,-23.7,294.0,-27.2,274.0,-12.5,33.0,14.9
570,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY (060024),2019,Acute Care,Government - Hospital District or Authority,579.0,39.741364,-104.841275,CO,539.0,18.5,5324.0,14.5,454.0,16.7,304.0,16.6,549.0,3.8,263.0,15.6,100.0,13.6,263.0,1.1,540.0,-24.0,454.0,-0.2,987.0,12.9
571,FOOTHILLS HOSPITAL (060027),2019,Acute Care,Voluntary non-profit - Private,164.0,40.014808,-105.236337,CO,273.0,19.7,2337.0,14.7,346.0,14.7,98.0,18.8,659.0,4.2,94.0,15.7,71.0,13.5,94.0,-1.4,273.0,16.1,346.0,-14.4,62.0,14.8
572,SAINT JOSEPH HOSPITAL (060028),2019,Acute Care,Voluntary non-profit - Private,356.0,39.745722,-104.972135,CO,112.0,19.9,1137.0,14.6,120.0,15.7,52.0,19.5,419.0,4.0,39.0,14.9,43.0,13.7,39.0,-39.4,112.0,-28.9,120.0,22.9,,
573,MCKEE MEDICAL CENTER (060030),2019,Acute Care,Voluntary non-profit - Private,119.0,40.413679,-105.053599,CO,93.0,21.2,675.0,14.7,153.0,15.6,70.0,20.4,176.0,4.4,76.0,15.9,,,76.0,-22.8,93.0,-5.0,153.0,-21.5,55.0,14.8
574,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES (060031),2019,Acute Care,Voluntary non-profit - Private,446.0,38.865568,-104.820123,CO,727.0,18.7,5912.0,13.6,869.0,15.2,476.0,16.7,1973.0,3.1,472.0,14.1,102.0,13.2,472.0,-6.6,727.0,-28.1,869.0,-20.7,271.0,15.2
575,ROSE MEDICAL CENTER (060032),2019,Acute Care,Proprietary,232.0,39.731076,-104.934011,CO,195.0,18.2,1901.0,14.2,265.0,16.3,116.0,18.2,644.0,3.8,84.0,16.5,,,84.0,-15.0,196.0,-26.7,265.0,7.9,,
576,SWEDISH MEDICAL CENTER (060034),2019,Acute Care,Proprietary,362.0,39.653136,-104.98171,CO,336.0,22.0,3536.0,15.3,435.0,16.0,234.0,18.3,386.0,4.5,118.0,15.3,40.0,14.1,118.0,-0.4,336.0,12.7,435.0,-3.5,83.0,13.9
577,COLORADO PLAINS MEDICAL CENTER (060044),2019,Acute Care,Voluntary non-profit - Other,50.0,40.259344,-103.79621,CO,39.0,21.8,230.0,15.5,84.0,16.0,61.0,19.7,78.0,3.6,,,,,,,39.0,27.6,84.0,-27.4,53.0,14.5
578,UCHEALTH YAMPA VALLEY MEDICAL CENTER (060049),2019,Acute Care,Voluntary non-profit - Private,59.0,40.462413,-106.81442,CO,37.0,22.3,357.0,14.8,58.0,15.1,,,181.0,4.0,,,,,,,37.0,-9.8,58.0,-43.0,186.0,14.3
