,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
254,KAWEAH HEALTH MEDICAL CENTER (050057),2023,Acute Care,Government - Hospital District or Authority,586.0,36.327415,-119.294172,CA,655.0,20.0,3290.0,13.4,553.0,17.8,160.0,20.2,182.0,3.7,293.0,13.2,113.0,11.3,,,293.0,11.9,281.0,74.0,655.0,0.7,541.0,167.0,553.0,36.9,516.0,145.0,,1143.0,11.5,569.0,0.6
255,GLENDALE MEM HOSPITAL & HLTH CENTER (050058),2023,Acute Care,Voluntary non-profit - Private,276.0,34.127789,-118.257795,CA,293.0,21.9,1094.0,15.1,305.0,17.6,69.0,17.6,35.0,4.1,98.0,14.9,28.0,11.4,,,98.0,33.9,97.0,29.0,293.0,7.7,237.0,83.0,305.0,36.6,279.0,85.0,,443.0,14.7,149.0,0.9
256,COMMUNITY REGIONAL MEDICAL CENTER (050060),2023,Acute Care,Voluntary non-profit - Private,857.0,36.742583,-119.783023,CA,486.0,21.5,3860.0,15.3,328.0,16.9,140.0,19.7,,,182.0,14.6,276.0,11.1,142.0,4.3,182.0,49.5,180.0,43.0,486.0,31.7,422.0,140.0,328.0,40.7,306.0,74.0,10.3,1638.0,14.4,419.0,0.9
257,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER (050063),2023,Acute Care,Proprietary,434.0,34.096116,-118.291753,CA,210.0,20.9,1500.0,15.7,240.0,19.8,63.0,18.1,159.0,3.9,79.0,13.8,,,,,79.0,108.9,78.0,11.0,210.0,9.3,167.0,58.0,240.0,92.6,228.0,77.0,,78.0,13.4,110.0,1.6
258,OAK VALLEY HOSPITAL DISTRICT (050067),2023,Acute Care,Government - Hospital District or Authority,150.0,37.758098,-120.860363,CA,,,120.0,13.8,34.0,17.1,,,,,,,,,,,,,,,,,,,34.0,-14.1,33.0,9.0,,146.0,13.4,,
259,PROVIDENCE ST. JOSEPH HOSPITAL (050069),2023,Acute Care,Voluntary non-profit - Church,426.0,33.782399,-117.866093,CA,299.0,20.0,2659.0,14.6,292.0,15.9,64.0,20.2,41.0,4.5,122.0,13.8,39.0,11.1,212.0,5.6,122.0,4.6,116.0,28.0,299.0,1.7,262.0,87.0,292.0,19.9,279.0,65.0,10.2,,,298.0,1.2
260,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO (050070),2023,Acute Care,Voluntary non-profit - Private,120.0,37.658376,-122.439205,CA,,,197.0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,KAISER FOUNDATION HOSPITAL-SANTA CLARA (050071),2023,Acute Care,Voluntary non-profit - Private,330.0,37.335456,-121.995767,CA,,,348.0,14.6,,,,,,,25.0,13.9,,,,,,,,,,,,,,,,,,,,,
262,KAISER FOUNDATION HOSPITAL - WALNUT CREEK (050072),2023,Acute Care,Voluntary non-profit - Other,233.0,37.891512,-122.057943,CA,,,235.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,KAISER FOUNDATION HOSPITAL AND REHAB CENTER (050073),2023,Acute Care,Voluntary non-profit - Other,245.0,38.128437,-122.247586,CA,,,271.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND (050075),2023,Acute Care,Voluntary non-profit - Other,372.0,37.823857,-122.257589,CA,96.0,21.5,827.0,15.6,71.0,16.5,52.0,20.1,,,,,,,,,,,,,96.0,12.1,80.0,34.0,71.0,-5.2,68.0,22.0,,,,,
265,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO (050076),2023,Acute Care,Voluntary non-profit - Other,239.0,37.782778,-122.443222,CA,,,290.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,SCRIPPS MERCY HOSPITAL (050077),2023,Acute Care,Voluntary non-profit - Private,547.0,32.751211,-117.161024,CA,392.0,19.6,2680.0,14.7,314.0,16.6,121.0,19.4,179.0,3.6,99.0,14.1,40.0,10.4,144.0,5.0,99.0,11.9,98.0,21.0,392.0,-32.9,319.0,105.0,314.0,-16.3,288.0,85.0,12.7,231.0,14.8,250.0,1.1
267,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO (050078),2023,Acute Care,Voluntary non-profit - Private,336.0,33.737928,-118.305005,CA,65.0,21.1,556.0,15.1,79.0,17.4,26.0,19.2,,,,,,,,,,,,,65.0,41.3,59.0,21.0,79.0,24.8,77.0,24.0,,134.0,13.7,66.0,1.0
268,ST JOHNS REGIONAL MEDICAL CENTER (050082),2023,Acute Care,Voluntary non-profit - Private,299.0,34.216555,-119.158351,CA,512.0,20.5,3088.0,14.6,405.0,17.8,94.0,19.1,99.0,4.7,196.0,14.2,33.0,11.3,349.0,7.9,196.0,3.7,188.0,64.0,512.0,3.2,404.0,146.0,405.0,19.2,368.0,111.0,12.9,142.0,13.7,305.0,1.2
269,ST JOSEPH'S MEDICAL CENTER OF STOCKTON (050084),2023,Acute Care,Voluntary non-profit - Church,354.0,37.970737,-121.289251,CA,373.0,19.8,2152.0,14.2,251.0,16.8,99.0,18.2,,,251.0,13.7,116.0,11.9,,,251.0,3.4,249.0,77.0,373.0,-22.8,312.0,110.0,251.0,19.8,231.0,72.0,,150.0,16.2,262.0,1.0
270,COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),2023,Acute Care,Voluntary non-profit - Private,421.0,34.131238,-117.322559,CA,41.0,20.7,137.0,15.0,38.0,17.5,29.0,18.3,,,,,,,,,,,,,41.0,-26.4,30.0,8.0,38.0,-14.5,36.0,13.0,,,,,
271,SONOMA VALLEY HOSPITAL (050090),2023,Acute Care,Government - Hospital District or Authority,78.0,38.288564,-122.46585,CA,45.0,20.1,261.0,14.4,35.0,17.2,,,,,,,,,,,,,,,45.0,10.3,39.0,14.0,35.0,25.1,32.0,5.0,,484.0,14.2,98.0,0.9
272,COMMUNITY HOSPITAL OF HUNTINGTON PARK (050091),2023,Acute Care,Proprietary,81.0,33.989182,-118.22419,CA,67.0,21.2,250.0,16.4,54.0,17.8,,,,,,,,,,,,,,,67.0,6.1,55.0,22.0,54.0,8.9,50.0,17.0,,,,,
273,SAINT AGNES MEDICAL CENTER (050093),2023,Acute Care,Voluntary non-profit - Church,414.0,36.837102,-119.765878,CA,721.0,22.8,4719.0,16.7,599.0,17.7,304.0,21.1,153.0,4.7,260.0,13.8,82.0,10.6,,,260.0,2.3,253.0,49.0,721.0,30.3,595.0,204.0,599.0,13.1,571.0,148.0,,1202.0,13.4,726.0,0.8
274,"WEST COVINA MEDICAL CENTER, INC (050096)",2023,Acute Care,Proprietary,46.0,34.070928,-117.944166,CA,,,242.0,12.7,33.0,16.9,48.0,18.2,,,,,,,,,,,,,,,,,33.0,-3.4,30.0,6.0,,,,,
275,SAN ANTONIO REGIONAL HOSPITAL (050099),2023,Acute Care,Voluntary non-profit - Other,316.0,34.101079,-117.636862,CA,265.0,20.4,1788.0,14.9,330.0,15.5,53.0,19.0,,,170.0,12.4,41.0,9.8,,,170.0,-3.9,163.0,34.0,265.0,2.3,223.0,81.0,330.0,-3.1,299.0,71.0,,134.0,13.7,129.0,0.8
276,SHARP MEMORIAL HOSPITAL (050100),2023,Acute Care,Voluntary non-profit - Other,860.0,32.800255,-117.154133,CA,354.0,19.4,3308.0,14.6,274.0,16.1,113.0,20.0,86.0,4.0,154.0,15.2,,,126.0,6.3,154.0,11.9,153.0,43.0,354.0,6.0,304.0,95.0,274.0,-9.6,264.0,74.0,10.4,770.0,15.7,713.0,1.2
277,SUTTER SOLANO MEDICAL CENTER (050101),2023,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,142.0,18.7,902.0,13.9,103.0,16.9,54.0,19.7,166.0,4.3,,,,,33.0,6.2,,,,,142.0,-16.1,115.0,41.0,103.0,13.4,94.0,30.0,9.0,247.0,14.8,112.0,1.3
278,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2023,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,56.0,22.6,415.0,15.4,111.0,18.1,28.0,18.4,41.0,4.9,,,,,,,,,,,56.0,27.0,48.0,23.0,111.0,43.6,106.0,33.0,,36.0,13.9,,
279,WHITE MEMORIAL MEDICAL CENTER (050103),2023,Acute Care,Voluntary non-profit - Church,352.0,,,CA,157.0,21.4,828.0,14.8,71.0,17.2,,,25.0,4.5,43.0,14.5,,,,,,,,,157.0,7.6,119.0,50.0,71.0,42.1,68.0,21.0,,215.0,16.9,63.0,1.1
280,SAINT FRANCIS MEDICAL CENTER (050104),2023,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,129.0,21.7,783.0,16.0,130.0,17.0,31.0,20.5,,,47.0,13.6,,,,,,,,,129.0,-3.6,107.0,37.0,130.0,54.0,116.0,34.0,,,,,
281,MARIAN REGIONAL MEDICAL CENTER (050107),2023,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,424.0,22.7,3357.0,13.8,337.0,16.9,137.0,18.1,367.0,4.0,154.0,14.1,56.0,10.7,394.0,8.1,154.0,-7.0,148.0,41.0,424.0,17.5,371.0,146.0,337.0,-10.2,313.0,77.0,10.1,62.0,13.7,456.0,1.0
282,"SUTTER MEDICAL CENTER, SACRAMENTO (050108)",2023,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,508.0,20.3,3954.0,13.5,200.0,16.1,90.0,20.6,305.0,4.0,405.0,13.4,272.0,10.6,378.0,4.6,405.0,8.7,400.0,106.0,508.0,11.4,435.0,152.0,200.0,2.1,189.0,49.0,11.1,991.0,11.8,625.0,1.2
283,LOMPOC VALLEY MEDICAL CENTER (050110),2023,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,73.0,20.2,609.0,15.4,68.0,17.7,58.0,18.3,43.0,4.3,,,,,,,,,,,73.0,2.6,66.0,24.0,68.0,-2.2,64.0,18.0,,738.0,13.7,104.0,1.1
284,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2023,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,320.0,21.1,3071.0,14.7,352.0,18.0,79.0,18.7,325.0,4.8,62.0,13.4,,,48.0,5.3,62.0,-15.6,59.0,14.0,320.0,26.4,262.0,95.0,352.0,35.5,320.0,96.0,9.5,1225.0,12.7,905.0,0.8
285,SAN MATEO MEDICAL CENTER (050113),2023,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,,,111.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,13.1,40.0,1.0
286,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2023,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,293.0,20.2,2191.0,13.8,311.0,16.1,54.0,19.2,69.0,4.8,157.0,14.3,31.0,10.6,,,157.0,6.7,154.0,34.0,293.0,-12.6,253.0,88.0,311.0,-18.2,288.0,73.0,,52.0,14.5,147.0,1.0
287,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2023,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,333.0,20.0,1800.0,15.2,248.0,17.1,51.0,18.5,58.0,3.8,175.0,13.7,30.0,10.4,61.0,4.7,175.0,30.0,169.0,46.0,333.0,19.1,273.0,102.0,248.0,17.3,235.0,62.0,12.4,,,79.0,1.1
288,DOCTORS HOSPITAL OF MANTECA (050118),2023,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,101.0,19.8,486.0,13.6,126.0,16.9,41.0,18.6,,,,,,,,,,,,,101.0,-2.4,90.0,29.0,126.0,16.1,115.0,36.0,,353.0,15.7,57.0,1.1
289,ADVENTIST HEALTH HANFORD (050121),2023,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,279.0,22.2,1353.0,15.4,237.0,16.1,118.0,17.8,111.0,4.1,45.0,14.5,,,,,,,,,279.0,31.8,228.0,77.0,237.0,8.3,225.0,68.0,,662.0,15.0,298.0,1.2
290,DAMERON HOSPITAL (050122),2023,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,78.0,21.4,483.0,14.3,96.0,16.7,,,56.0,3.9,51.0,14.2,,,,,51.0,-4.0,51.0,15.0,78.0,-7.6,68.0,35.0,96.0,-16.8,88.0,31.0,,306.0,13.9,173.0,1.0
291,USC VERDUGO HILLS HOSPITAL (050124),2023,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,181.0,21.1,1283.0,14.5,244.0,18.5,56.0,17.7,51.0,5.1,,,,,,,,,,,181.0,12.4,150.0,48.0,244.0,73.8,229.0,62.0,,557.0,13.7,229.0,1.0
292,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2023,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,339.0,23.8,2099.0,16.9,356.0,19.6,55.0,19.1,35.0,4.6,105.0,15.6,30.0,12.3,,,105.0,29.7,103.0,30.0,339.0,27.4,274.0,100.0,356.0,54.1,321.0,99.0,,42.0,13.6,80.0,1.0
293,VALLEY PRESBYTERIAN HOSPITAL (050126),2023,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,226.0,21.5,1012.0,15.1,189.0,17.5,48.0,19.1,42.0,3.8,53.0,15.3,,,,,53.0,57.1,52.0,15.0,226.0,-3.6,186.0,60.0,189.0,63.5,180.0,45.0,,164.0,14.0,35.0,1.0
294,WOODLAND MEMORIAL HOSPITAL (050127),2023,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,57.0,19.9,413.0,14.7,62.0,17.8,30.0,19.2,,,,,,,77.0,6.5,,,,,57.0,-31.2,55.0,19.0,62.0,-22.9,60.0,22.0,9.2,779.0,15.6,192.0,1.1
295,TRI-CITY MEDICAL CENTER (050128),2023,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,146.0,19.6,1253.0,14.1,195.0,17.4,48.0,19.5,77.0,4.3,99.0,13.4,,,40.0,5.4,99.0,-23.1,99.0,23.0,146.0,-8.5,130.0,36.0,195.0,-8.3,188.0,48.0,11.0,,,269.0,1.2
296,ST BERNARDINE MEDICAL CENTER (050129),2023,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,141.0,22.4,780.0,15.0,136.0,16.5,37.0,20.1,,,82.0,14.4,38.0,10.9,,,82.0,-24.3,80.0,26.0,141.0,13.5,125.0,51.0,136.0,24.2,125.0,36.0,,,,88.0,1.0
297,NOVATO COMMUNITY HOSPITAL (050131),2023,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,92.0,20.0,682.0,13.9,73.0,16.7,25.0,20.2,266.0,3.4,,,,,,,,,,,92.0,-2.9,76.0,24.0,73.0,21.7,70.0,17.0,,303.0,14.9,121.0,1.1
298,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2023,Acute Care,Physician,272.0,34.102461,-118.105572,CA,115.0,19.8,1143.0,13.9,320.0,16.9,41.0,19.4,48.0,5.1,,,,,,,,,,,115.0,32.2,107.0,29.0,320.0,31.8,299.0,76.0,,,,54.0,1.0
299,ADVENTIST HEALTH AND RIDEOUT (050133),2023,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,608.0,21.6,2746.0,15.3,467.0,16.5,201.0,19.8,35.0,4.5,171.0,14.5,53.0,10.7,257.0,5.1,171.0,34.4,169.0,42.0,608.0,22.6,483.0,166.0,467.0,14.4,416.0,116.0,11.1,70.0,13.5,226.0,1.0
300,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2023,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,106.0,21.9,1984.0,15.6,699.0,18.3,107.0,18.8,,,64.0,13.2,,,,,64.0,-32.2,57.0,13.0,106.0,51.1,101.0,34.0,699.0,50.3,614.0,184.0,,,,53.0,1.0
301,PETALUMA VALLEY HOSPITAL (050136),2023,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,104.0,18.0,611.0,13.6,105.0,16.2,43.0,19.5,29.0,4.4,,,,,,,,,,,104.0,-24.2,92.0,23.0,105.0,28.7,93.0,22.0,,368.0,13.7,141.0,1.0
302,KAISER FOUNDATION HOSPITAL - PANORAMA CITY (050137),2023,Acute Care,Voluntary non-profit - Private,218.0,34.219847,-118.430299,CA,,,112.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,KAISER FOUNDATION HOSPITAL - LOS ANGELES (050138),2023,Acute Care,Voluntary non-profit - Other,517.0,34.098141,-118.294825,CA,,,367.0,14.3,,,,,,,39.0,14.3,,,,,,,,,,,,,,,,,,,,,
304,KAISER FOUNDATION HOSPITAL - DOWNEY (050139),2023,Acute Care,Voluntary non-profit - Other,358.0,33.917101,-118.128998,CA,,,240.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO (050140),2023,Acute Care,Voluntary non-profit - Private,634.0,34.072271,-117.433458,CA,,,372.0,14.6,25.0,17.4,,,,,,,,,,,,,,,,,,,25.0,70.6,25.0,8.0,,,,,
306,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA (050145),2023,Acute Care,Voluntary non-profit - Private,278.0,,,CA,529.0,19.4,3877.0,13.9,501.0,16.6,102.0,19.4,290.0,4.9,171.0,14.9,78.0,10.4,135.0,5.2,171.0,12.0,170.0,47.0,529.0,10.3,462.0,142.0,501.0,8.1,444.0,115.0,11.7,440.0,13.1,484.0,1.4
307,CALIFORNIA HOSPITAL MEDICAL CENTER LA (050149),2023,Acute Care,Voluntary non-profit - Other,312.0,34.037212,-118.265363,CA,80.0,20.4,433.0,15.2,50.0,17.4,32.0,19.3,,,,,,,,,,,,,80.0,-19.7,71.0,23.0,50.0,27.2,49.0,15.0,,45.0,13.9,,
308,SIERRA NEVADA MEMORIAL HOSPITAL (050150),2023,Acute Care,Voluntary non-profit - Other,108.0,39.228949,-121.047264,CA,236.0,21.8,1241.0,13.6,176.0,15.8,110.0,18.2,27.0,4.4,,,,,147.0,6.8,,,,,236.0,-1.0,201.0,66.0,176.0,-0.2,161.0,42.0,9.2,31.0,14.4,113.0,0.9
309,SAINT FRANCIS MEMORIAL HOSPITAL (050152),2023,Acute Care,Voluntary non-profit - Private,202.0,37.789561,-122.417112,CA,63.0,21.3,437.0,15.5,87.0,16.5,55.0,21.4,50.0,5.0,,,,,,,,,,,63.0,49.2,51.0,21.0,87.0,-10.0,83.0,23.0,,124.0,13.3,,
310,ENCINO HOSPITAL MEDICAL CENTER (050158),2023,Acute Care,Proprietary,139.0,34.156826,-118.486948,CA,78.0,20.0,489.0,15.0,119.0,16.6,,,,,,,,,,,,,,,78.0,-18.0,71.0,22.0,119.0,10.1,114.0,28.0,,,,,
311,VENTURA COUNTY MEDICAL CENTER (050159),2023,Acute Care,Government - Local,269.0,34.279055,-119.254355,CA,100.0,21.1,867.0,16.8,69.0,16.8,32.0,20.0,33.0,4.0,,,,,98.0,6.4,,,,,100.0,-9.8,86.0,32.0,69.0,72.9,68.0,15.0,13.5,67.0,13.8,55.0,0.9
312,SAN JOAQUIN GENERAL HOSPITAL (050167),2023,Acute Care,Government - Local,187.0,37.886492,-121.282061,CA,82.0,21.9,724.0,15.4,53.0,17.0,27.0,20.2,,,,,,,28.0,5.6,,,,,82.0,-12.7,65.0,34.0,53.0,-26.7,49.0,18.0,11.8,92.0,14.0,,
313,PROVIDENCE ST. JUDE MEDICAL CENTER (050168),2023,Acute Care,Voluntary non-profit - Church,336.0,33.893503,-117.927952,CA,310.0,21.5,2448.0,14.2,418.0,16.2,56.0,17.6,47.0,4.2,145.0,12.4,37.0,10.8,241.0,4.6,145.0,-13.5,143.0,28.0,310.0,8.5,273.0,94.0,418.0,14.5,394.0,111.0,9.0,1999.0,11.4,428.0,1.1
314,PIH HEALTH HOSPITAL-WHITTIER (050169),2023,Acute Care,Voluntary non-profit - Private,431.0,33.967433,-118.048143,CA,333.0,21.0,1946.0,15.1,213.0,17.2,60.0,20.4,97.0,3.7,124.0,14.2,26.0,10.6,69.0,4.5,124.0,66.0,119.0,29.0,333.0,11.1,264.0,86.0,213.0,6.4,194.0,57.0,11.7,1383.0,12.6,339.0,1.0
315,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL (050174),2023,Acute Care,Voluntary non-profit - Private,280.0,38.442954,-122.701112,CA,490.0,18.4,3136.0,13.3,272.0,16.8,100.0,20.0,159.0,3.4,242.0,12.6,36.0,12.3,513.0,7.1,242.0,8.9,240.0,64.0,490.0,-11.4,424.0,124.0,272.0,-0.2,258.0,76.0,10.3,1559.0,12.9,718.0,0.9
316,EMANUEL MEDICAL CENTER (050179),2023,Acute Care,Voluntary non-profit - Church,1288.0,37.510487,-120.837491,CA,334.0,21.9,1434.0,14.9,355.0,17.0,74.0,19.3,,,206.0,14.2,,,183.0,5.6,206.0,21.6,200.0,59.0,334.0,13.7,257.0,100.0,355.0,17.9,330.0,84.0,16.2,174.0,15.1,229.0,1.1
317,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS (050180),2023,Acute Care,Voluntary non-profit - Other,473.0,37.914297,-122.042071,CA,591.0,19.3,4502.0,14.2,536.0,17.0,76.0,19.7,648.0,3.8,78.0,13.9,,,33.0,4.8,78.0,25.1,78.0,24.0,591.0,-3.0,490.0,147.0,536.0,-0.7,496.0,127.0,10.1,126.0,15.6,288.0,1.1
318,ST MARY MEDICAL CENTER (050191),2023,Acute Care,Voluntary non-profit - Church,304.0,33.779954,-118.186683,CA,95.0,20.8,665.0,14.3,97.0,17.4,42.0,20.7,,,63.0,12.5,,,,,63.0,-25.5,62.0,13.0,95.0,15.0,82.0,21.0,97.0,60.0,93.0,34.0,,95.0,13.4,45.0,1.0
319,ADVENTIST HEALTH REEDLEY (050192),2023,Acute Care,Voluntary non-profit - Private,49.0,36.607812,-119.451695,CA,,,75.0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,WATSONVILLE COMMUNITY HOSPITAL (050194),2023,Acute Care,Proprietary,106.0,36.92828,-121.793721,CA,99.0,22.4,847.0,15.9,153.0,17.7,42.0,19.9,,,,,,,,,,,,,99.0,30.5,86.0,40.0,153.0,27.7,146.0,37.0,,327.0,13.9,65.0,1.2
321,WASHINGTON HOSPITAL (050195),2023,Acute Care,Government - Hospital District or Authority,320.0,37.557653,-121.98087,CA,418.0,23.4,2459.0,16.5,370.0,20.4,129.0,21.4,342.0,4.3,157.0,15.2,49.0,11.9,118.0,5.3,157.0,45.1,148.0,52.0,418.0,78.0,327.0,132.0,370.0,87.5,332.0,105.0,13.6,50.0,15.0,217.0,1.0
322,SEQUOIA HOSPITAL (050197),2023,Acute Care,Voluntary non-profit - Private,219.0,37.480987,-122.253223,CA,231.0,19.7,1465.0,13.8,139.0,15.8,,,520.0,3.2,58.0,13.8,55.0,11.0,,,58.0,-8.5,58.0,15.0,231.0,-22.7,192.0,59.0,139.0,-22.5,124.0,35.0,,128.0,13.3,404.0,1.4
323,PALMDALE REGIONAL MEDICAL CENTER (050204),2023,Acute Care,Proprietary,170.0,34.585688,-118.14364,CA,138.0,23.1,782.0,15.6,103.0,16.9,46.0,19.1,67.0,4.1,67.0,14.1,,,,,67.0,-18.7,67.0,18.0,138.0,27.8,114.0,54.0,103.0,-12.5,99.0,30.0,,,,91.0,1.0
324,ALAMEDA HOSPITAL (050211),2023,Acute Care,Government - Hospital District or Authority,231.0,37.76323,-122.253541,CA,87.0,20.0,591.0,15.6,125.0,17.0,34.0,19.5,,,,,,,,,,,,,87.0,-7.8,77.0,20.0,125.0,2.5,112.0,31.0,,,,,
325,SHARP CHULA VISTA MEDICAL CENTER (050222),2023,Acute Care,Proprietary,370.0,32.618448,-117.02399,CA,324.0,20.1,2097.0,13.4,256.0,18.8,81.0,19.2,42.0,4.5,109.0,14.8,36.0,11.8,36.0,5.0,109.0,35.8,104.0,27.0,324.0,41.9,275.0,88.0,256.0,37.1,232.0,78.0,10.5,45.0,14.9,171.0,0.9
326,HOAG MEMORIAL HOSPITAL PRESBYTERIAN (050224),2023,Acute Care,Voluntary non-profit - Private,468.0,,,CA,715.0,19.8,6409.0,14.0,757.0,16.9,132.0,17.7,,,260.0,12.8,96.0,10.6,426.0,4.1,260.0,-13.2,255.0,56.0,715.0,13.0,613.0,192.0,757.0,12.3,712.0,184.0,12.8,766.0,13.1,941.0,1.0
327,AHMC ANAHEIM REGIONAL MEDICAL CENTER (050226),2023,Acute Care,Voluntary non-profit - Private,223.0,33.847138,-117.933934,CA,118.0,21.7,706.0,16.5,182.0,17.1,43.0,18.7,,,37.0,14.1,,,,,,,,,118.0,53.7,105.0,40.0,182.0,31.7,164.0,43.0,,89.0,13.7,50.0,0.9
328,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR (050228),2023,Acute Care,Government - Local,422.0,37.756171,-122.406608,CA,202.0,20.6,1425.0,15.4,149.0,17.4,106.0,20.8,55.0,5.1,38.0,14.9,,,124.0,6.5,,,,,202.0,18.9,167.0,54.0,149.0,45.1,139.0,39.0,11.9,809.0,15.0,73.0,1.1
329,GARDEN GROVE HOSPITAL & MEDICAL CENTER (050230),2023,Acute Care,Proprietary,160.0,33.774471,-117.913645,CA,64.0,20.9,673.0,15.5,221.0,17.9,,,,,,,,,,,,,,,64.0,18.8,59.0,21.0,221.0,25.6,193.0,51.0,,68.0,14.6,,
