,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
259,OAK VALLEY HOSPITAL DISTRICT (050067),2022,Acute Care,Government - Hospital District or Authority,150.0,37.758098,-120.860363,CA,30.0,21.3,116.0,15.7,25.0,19.2,,,,,,,,,,,,,30.0,25.9,28.0,8.0,42.0,2.6,41.0,8.0,,161.0,14.7,,
260,PROVIDENCE ST. JOSEPH HOSPITAL (050069),2022,Acute Care,Voluntary non-profit - Church,426.0,33.782399,-117.866093,CA,324.0,20.6,2201.0,14.4,89.0,19.6,130.0,4.7,137.0,14.6,40.0,12.3,173.0,3.2,137.0,3.4,133.0,40.0,324.0,8.8,274.0,93.0,368.0,16.4,341.0,84.0,9.6,131.0,15.3,169.0,1.1
261,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO (050070),2022,Acute Care,Voluntary non-profit - Private,120.0,37.658376,-122.439205,CA,,,170.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,KAISER FOUNDATION HOSPITAL-SANTA CLARA (050071),2022,Acute Care,Voluntary non-profit - Private,330.0,37.335456,-121.995767,CA,,,230.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,KAISER FOUNDATION HOSPITAL - WALNUT CREEK (050072),2022,Acute Care,Voluntary non-profit - Other,233.0,37.891512,-122.057943,CA,,,237.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,KAISER FOUNDATION HOSPITAL AND REHAB CENTER (050073),2022,Acute Care,Voluntary non-profit - Other,245.0,38.128437,-122.247586,CA,34.0,20.3,293.0,14.3,,,,,,,,,,,,,,,34.0,-43.1,31.0,10.0,,,,,,,,,
265,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND (050075),2022,Acute Care,Voluntary non-profit - Other,372.0,37.823857,-122.257589,CA,105.0,22.5,814.0,15.1,57.0,20.6,,,,,,,,,,,,,105.0,2.8,85.0,35.0,72.0,35.5,69.0,17.0,,,,,
266,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO (050076),2022,Acute Care,Voluntary non-profit - Other,239.0,37.782778,-122.443222,CA,,,285.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,SCRIPPS MERCY HOSPITAL (050077),2022,Acute Care,Voluntary non-profit - Private,547.0,32.751211,-117.161024,CA,422.0,22.4,2537.0,15.1,176.0,19.3,263.0,3.9,114.0,15.0,38.0,10.7,98.0,4.2,114.0,0.2,113.0,29.0,422.0,-17.4,348.0,129.0,398.0,-14.8,372.0,109.0,8.4,303.0,17.2,122.0,0.9
268,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO (050078),2022,Acute Care,Voluntary non-profit - Private,336.0,33.737928,-118.305005,CA,82.0,21.8,466.0,14.6,26.0,20.1,,,,,,,,,,,,,82.0,20.9,64.0,26.0,112.0,-10.0,108.0,28.0,,143.0,17.3,32.0,1.1
269,ST JOHNS REGIONAL MEDICAL CENTER (050082),2022,Acute Care,Voluntary non-profit - Private,299.0,34.216555,-119.158351,CA,501.0,23.7,2990.0,15.4,106.0,20.0,156.0,4.2,186.0,16.8,38.0,14.4,282.0,5.6,186.0,35.0,181.0,62.0,501.0,-1.9,384.0,160.0,410.0,-3.3,366.0,109.0,9.6,142.0,15.7,171.0,0.9
270,ST JOSEPH'S MEDICAL CENTER OF STOCKTON (050084),2022,Acute Care,Voluntary non-profit - Church,354.0,37.970737,-121.289251,CA,433.0,23.2,2319.0,13.8,120.0,18.8,27.0,4.1,318.0,13.8,130.0,12.1,,,318.0,-3.6,311.0,89.0,433.0,-3.5,359.0,145.0,325.0,20.2,305.0,106.0,,162.0,18.8,174.0,1.2
271,COMMUNITY HOSPITAL OF SAN BERNARDINO (050089),2022,Acute Care,Voluntary non-profit - Private,421.0,34.131238,-117.322559,CA,42.0,21.2,144.0,15.3,35.0,20.0,,,,,,,,,,,,,42.0,-28.2,31.0,10.0,44.0,0.6,40.0,17.0,,,,,
272,SONOMA VALLEY HOSPITAL (050090),2022,Acute Care,Government - Hospital District or Authority,78.0,38.288564,-122.46585,CA,63.0,20.3,292.0,15.3,30.0,19.1,41.0,4.5,,,,,,,,,,,63.0,1.4,52.0,18.0,58.0,64.6,55.0,12.0,,440.0,15.4,47.0,1.0
273,COMMUNITY HOSPITAL OF HUNTINGTON PARK (050091),2022,Acute Care,Proprietary,81.0,33.989182,-118.22419,CA,82.0,23.2,154.0,15.2,38.0,20.7,,,,,,,,,,,,,82.0,19.4,62.0,31.0,58.0,1.5,56.0,10.0,,,,,
274,SAINT AGNES MEDICAL CENTER (050093),2022,Acute Care,Voluntary non-profit - Church,414.0,36.837102,-119.765878,CA,907.0,22.7,4484.0,15.1,420.0,22.8,311.0,4.4,322.0,14.7,80.0,12.3,,,322.0,-6.1,319.0,70.0,907.0,13.4,734.0,254.0,776.0,28.4,721.0,197.0,,1228.0,14.3,347.0,1.0
275,"WEST COVINA MEDICAL CENTER, INC (050096)",2022,Acute Care,Proprietary,46.0,34.070928,-117.944166,CA,,,132.0,13.3,75.0,17.5,,,,,,,,,,,,,,,,,29.0,67.4,26.0,5.0,,,,,
276,SAN ANTONIO REGIONAL HOSPITAL (050099),2022,Acute Care,Voluntary non-profit - Other,316.0,34.101079,-117.636862,CA,335.0,20.2,1844.0,15.8,88.0,20.9,61.0,4.4,186.0,14.2,43.0,10.8,,,186.0,-6.9,173.0,46.0,335.0,-1.5,276.0,97.0,446.0,18.5,398.0,113.0,,223.0,15.5,57.0,1.0
277,SHARP MEMORIAL HOSPITAL (050100),2022,Acute Care,Voluntary non-profit - Other,860.0,32.800255,-117.154133,CA,423.0,21.3,3316.0,14.0,164.0,19.7,191.0,3.8,146.0,16.2,,,102.0,4.8,146.0,3.3,143.0,43.0,423.0,0.8,354.0,127.0,366.0,-2.8,338.0,96.0,7.3,859.0,17.5,335.0,0.9
278,SUTTER SOLANO MEDICAL CENTER (050101),2022,Acute Care,Voluntary non-profit - Private,104.0,38.130893,-122.238105,CA,133.0,19.8,879.0,13.5,83.0,20.0,162.0,4.0,,,,,29.0,3.8,,,,,133.0,-9.8,114.0,36.0,123.0,38.3,112.0,32.0,7.2,220.0,16.6,57.0,1.0
279,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (050102),2022,Acute Care,Voluntary non-profit - Private,191.0,33.925697,-117.440052,CA,61.0,23.3,423.0,16.4,46.0,18.9,95.0,4.4,,,,,,,,,,,61.0,10.8,55.0,24.0,130.0,91.0,124.0,44.0,,38.0,15.5,,
280,WHITE MEMORIAL MEDICAL CENTER (050103),2022,Acute Care,Voluntary non-profit - Church,352.0,,,CA,155.0,23.0,749.0,15.4,38.0,20.0,34.0,4.4,53.0,15.0,,,,,53.0,71.8,52.0,15.0,155.0,32.3,126.0,51.0,111.0,54.1,106.0,34.0,,231.0,17.1,43.0,1.0
281,SAINT FRANCIS MEDICAL CENTER (050104),2022,Acute Care,Voluntary non-profit - Church,372.0,33.931016,-118.203834,CA,139.0,19.7,606.0,15.9,75.0,20.4,,,37.0,14.6,,,,,37.0,-21.4,37.0,9.0,139.0,-33.0,115.0,31.0,161.0,40.6,142.0,36.0,,,,,
282,MARIAN REGIONAL MEDICAL CENTER (050107),2022,Acute Care,Voluntary non-profit - Church,345.0,34.952117,-120.412494,CA,416.0,20.8,2966.0,13.6,170.0,19.0,467.0,4.0,165.0,14.8,65.0,11.1,270.0,3.9,165.0,-8.9,160.0,49.0,416.0,-11.5,365.0,133.0,450.0,-15.8,420.0,102.0,10.3,76.0,16.3,239.0,1.2
283,"SUTTER MEDICAL CENTER, SACRAMENTO (050108)",2022,Acute Care,Voluntary non-profit - Private,595.0,38.570258,-121.469682,CA,507.0,21.2,3751.0,14.1,127.0,21.6,463.0,4.4,433.0,13.8,291.0,11.4,270.0,4.6,433.0,7.3,422.0,100.0,507.0,32.2,432.0,156.0,257.0,-5.2,240.0,69.0,8.5,946.0,12.3,272.0,0.9
284,LOMPOC VALLEY MEDICAL CENTER (050110),2022,Acute Care,Government - Hospital District or Authority,170.0,34.640639,-120.439899,CA,91.0,21.1,687.0,15.3,62.0,19.0,46.0,3.9,,,,,,,,,,,91.0,-19.4,78.0,28.0,75.0,-13.7,70.0,21.0,,717.0,15.8,55.0,1.2
285,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL (050112),2022,Acute Care,Government - State,275.0,34.027776,-118.486315,CA,350.0,20.7,2803.0,15.7,79.0,18.8,382.0,4.7,66.0,14.1,,,36.0,4.0,66.0,-5.9,65.0,15.0,350.0,1.4,299.0,94.0,455.0,20.4,412.0,122.0,7.6,1206.0,15.3,421.0,0.6
286,SAN MATEO MEDICAL CENTER (050113),2022,Acute Care,Government - Local,421.0,37.530116,-122.299406,CA,,,102.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,212.0,14.4,,
287,PALOMAR HEALTH DOWNTOWN CAMPUS (050115),2022,Acute Care,Government - Hospital District or Authority,405.0,33.125937,-117.076186,CA,313.0,20.2,2377.0,14.5,92.0,20.7,166.0,4.4,160.0,15.6,35.0,12.4,,,160.0,18.3,156.0,39.0,313.0,-37.6,271.0,81.0,363.0,6.4,339.0,102.0,,72.0,16.2,58.0,1.0
288,NORTHRIDGE HOSPITAL MEDICAL CENTER (050116),2022,Acute Care,Voluntary non-profit - Private,406.0,34.220789,-118.533216,CA,371.0,20.6,1688.0,15.0,79.0,19.4,177.0,3.3,200.0,14.4,30.0,12.1,35.0,4.3,200.0,-2.3,192.0,53.0,371.0,9.2,299.0,114.0,299.0,4.4,278.0,78.0,7.4,,,,
289,DOCTORS HOSPITAL OF MANTECA (050118),2022,Acute Care,Proprietary,73.0,37.801087,-121.19691,CA,139.0,21.7,604.0,14.7,101.0,20.4,,,,,,,,,,,,,139.0,20.5,120.0,48.0,146.0,13.4,128.0,37.0,,408.0,17.2,49.0,1.0
290,ADVENTIST HEALTH HANFORD (050121),2022,Acute Care,Voluntary non-profit - Church,222.0,36.323877,-119.669005,CA,341.0,22.6,1446.0,17.2,174.0,20.0,217.0,4.0,68.0,16.0,,,,,68.0,33.1,65.0,25.0,341.0,19.8,286.0,103.0,326.0,19.2,298.0,94.0,,785.0,16.3,145.0,1.2
291,DAMERON HOSPITAL (050122),2022,Acute Care,Voluntary non-profit - Other,186.0,37.961201,-121.300691,CA,85.0,22.3,456.0,15.2,32.0,20.0,162.0,3.5,37.0,14.9,,,,,37.0,-2.8,37.0,12.0,85.0,-16.9,75.0,34.0,98.0,-28.9,86.0,31.0,,293.0,15.0,78.0,1.2
292,USC VERDUGO HILLS HOSPITAL (050124),2022,Acute Care,Voluntary non-profit - Private,176.0,34.205614,-118.216048,CA,185.0,21.9,1271.0,15.7,84.0,19.0,85.0,5.1,,,,,,,,,,,185.0,27.3,148.0,50.0,299.0,34.8,282.0,78.0,,565.0,14.6,129.0,0.8
293,REGIONAL MEDICAL CENTER OF SAN JOSE (050125),2022,Acute Care,Voluntary non-profit - Church,247.0,37.363787,-121.848823,CA,412.0,24.5,1863.0,14.5,105.0,19.8,32.0,4.7,106.0,14.7,32.0,11.3,,,106.0,11.7,105.0,30.0,412.0,25.8,326.0,113.0,473.0,47.4,414.0,124.0,,43.0,15.2,38.0,0.9
294,VALLEY PRESBYTERIAN HOSPITAL (050126),2022,Acute Care,Voluntary non-profit - Other,350.0,34.193917,-118.463271,CA,242.0,22.3,949.0,16.4,49.0,19.1,65.0,3.9,54.0,15.5,,,,,54.0,122.7,52.0,14.0,242.0,21.1,199.0,68.0,211.0,64.2,199.0,61.0,,255.0,15.3,,
295,WOODLAND MEMORIAL HOSPITAL (050127),2022,Acute Care,Voluntary non-profit - Other,107.0,38.664344,-121.793403,CA,55.0,21.9,364.0,15.4,43.0,20.4,65.0,4.7,,,,,58.0,3.7,,,,,55.0,-37.3,52.0,21.0,87.0,-31.1,84.0,29.0,8.1,815.0,21.7,104.0,1.0
296,TRI-CITY MEDICAL CENTER (050128),2022,Acute Care,Government - Hospital District or Authority,335.0,33.183783,-117.290918,CA,192.0,20.2,1203.0,14.8,86.0,19.1,138.0,3.6,116.0,15.5,,,36.0,3.7,116.0,-13.3,115.0,34.0,192.0,-19.9,172.0,52.0,291.0,-2.6,276.0,63.0,8.3,,,128.0,1.0
297,ST BERNARDINE MEDICAL CENTER (050129),2022,Acute Care,Voluntary non-profit - Private,324.0,34.134331,-117.27876,CA,153.0,21.2,831.0,15.5,58.0,19.6,,,101.0,15.8,60.0,11.9,,,101.0,-5.7,98.0,35.0,153.0,-6.1,130.0,48.0,179.0,10.3,159.0,51.0,,,,37.0,0.9
298,NOVATO COMMUNITY HOSPITAL (050131),2022,Acute Care,Voluntary non-profit - Other,47.0,38.098077,-122.55966,CA,106.0,21.7,679.0,14.0,35.0,19.6,336.0,3.4,,,,,,,,,,,106.0,-16.5,97.0,31.0,90.0,-15.1,87.0,26.0,,300.0,14.9,67.0,0.9
299,SAN GABRIEL VALLEY MEDICAL CENTER (050132),2022,Acute Care,Physician,272.0,34.102461,-118.105572,CA,166.0,20.6,889.0,14.9,87.0,19.4,50.0,4.5,27.0,16.0,,,,,27.0,59.7,27.0,15.0,166.0,42.7,142.0,42.0,412.0,7.5,369.0,85.0,,,,,
300,ADVENTIST HEALTH AND RIDEOUT (050133),2022,Acute Care,Voluntary non-profit - Private,235.0,39.138832,-121.593622,CA,672.0,22.0,2819.0,15.8,251.0,20.2,51.0,4.2,211.0,14.8,58.0,13.0,193.0,4.0,211.0,25.2,207.0,51.0,672.0,13.9,537.0,205.0,626.0,0.5,557.0,144.0,7.9,57.0,16.3,105.0,0.9
301,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD (050135),2022,Acute Care,Proprietary,518.0,34.096192,-118.325371,CA,135.0,22.4,1742.0,15.8,135.0,19.1,,,64.0,14.4,,,,,64.0,-14.8,57.0,15.0,135.0,40.6,125.0,41.0,748.0,42.0,652.0,194.0,,,,30.0,1.1
302,PETALUMA VALLEY HOSPITAL (050136),2022,Acute Care,Voluntary non-profit - Other,80.0,38.253183,-122.63286,CA,114.0,19.1,511.0,14.1,67.0,20.0,39.0,4.1,,,,,,,,,,,114.0,-44.8,98.0,27.0,122.0,-39.9,110.0,29.0,,368.0,16.5,50.0,1.1
303,KAISER FOUNDATION HOSPITAL - PANORAMA CITY (050137),2022,Acute Care,Voluntary non-profit - Private,218.0,34.219847,-118.430299,CA,,,82.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,KAISER FOUNDATION HOSPITAL - LOS ANGELES (050138),2022,Acute Care,Voluntary non-profit - Other,517.0,34.098141,-118.294825,CA,,,296.0,14.9,,,,,25.0,15.7,,,,,25.0,31.3,25.0,13.0,,,,,,,,,,,,,
305,KAISER FOUNDATION HOSPITAL - DOWNEY (050139),2022,Acute Care,Voluntary non-profit - Other,358.0,33.917101,-118.128998,CA,,,151.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO (050140),2022,Acute Care,Voluntary non-profit - Private,634.0,34.072271,-117.433458,CA,,,354.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA (050145),2022,Acute Care,Voluntary non-profit - Private,278.0,,,CA,559.0,20.6,3533.0,14.5,150.0,21.1,387.0,4.4,176.0,15.6,88.0,10.9,87.0,4.7,176.0,38.0,173.0,41.0,559.0,8.6,466.0,148.0,637.0,-10.8,563.0,135.0,8.9,415.0,17.5,224.0,1.2
308,CALIFORNIA HOSPITAL MEDICAL CENTER LA (050149),2022,Acute Care,Voluntary non-profit - Other,312.0,34.037212,-118.265363,CA,105.0,22.9,381.0,15.8,45.0,19.1,,,,,,,,,,,,,105.0,-4.9,90.0,34.0,66.0,-7.3,64.0,21.0,,57.0,15.4,,
309,SIERRA NEVADA MEMORIAL HOSPITAL (050150),2022,Acute Care,Voluntary non-profit - Other,108.0,39.228949,-121.047264,CA,276.0,21.4,1357.0,14.2,166.0,19.6,25.0,4.5,,,,,125.0,4.1,,,,,276.0,4.5,225.0,72.0,217.0,0.2,202.0,46.0,8.4,,,58.0,1.0
310,SAINT FRANCIS MEMORIAL HOSPITAL (050152),2022,Acute Care,Voluntary non-profit - Private,202.0,37.789561,-122.417112,CA,63.0,22.8,396.0,15.7,74.0,21.1,93.0,4.3,,,,,,,,,,,63.0,86.2,51.0,20.0,133.0,10.4,124.0,29.0,,114.0,14.8,,
311,ENCINO HOSPITAL MEDICAL CENTER (050158),2022,Acute Care,Proprietary,139.0,34.156826,-118.486948,CA,99.0,20.0,302.0,15.6,,,,,,,,,,,,,,,99.0,-28.5,78.0,18.0,114.0,35.1,109.0,35.0,,,,,
312,VENTURA COUNTY MEDICAL CENTER (050159),2022,Acute Care,Government - Local,269.0,34.279055,-119.254355,CA,93.0,20.4,694.0,15.4,40.0,19.9,41.0,4.3,,,,,80.0,4.5,,,,,93.0,-16.0,74.0,25.0,80.0,27.8,75.0,19.0,7.1,74.0,15.3,,
313,SAN JOAQUIN GENERAL HOSPITAL (050167),2022,Acute Care,Government - Local,187.0,37.886492,-121.282061,CA,78.0,22.9,648.0,15.7,29.0,19.6,,,,,,,,,,,,,78.0,-14.3,67.0,29.0,67.0,-2.4,60.0,23.0,,74.0,15.3,,
314,PROVIDENCE ST. JUDE MEDICAL CENTER (050168),2022,Acute Care,Voluntary non-profit - Church,336.0,33.893503,-117.927952,CA,366.0,21.8,2169.0,13.5,83.0,18.2,110.0,4.3,150.0,13.3,36.0,12.4,184.0,3.3,150.0,-28.9,147.0,43.0,366.0,17.0,314.0,111.0,500.0,-4.7,459.0,128.0,7.6,2218.0,13.3,242.0,0.9
315,PIH HEALTH HOSPITAL-WHITTIER (050169),2022,Acute Care,Voluntary non-profit - Private,431.0,33.967433,-118.048143,CA,364.0,22.4,1944.0,15.6,67.0,21.1,152.0,3.9,172.0,18.2,,,54.0,3.6,172.0,62.8,158.0,58.0,364.0,6.7,285.0,99.0,313.0,-0.7,283.0,70.0,7.9,1198.0,14.5,193.0,0.9
316,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL (050174),2022,Acute Care,Voluntary non-profit - Private,280.0,38.442954,-122.701112,CA,526.0,18.7,3017.0,12.6,153.0,20.3,305.0,3.2,281.0,14.3,55.0,11.2,374.0,4.1,281.0,2.5,278.0,77.0,526.0,-15.7,437.0,144.0,369.0,-19.3,344.0,84.0,7.9,1251.0,15.1,354.0,0.7
317,EMANUEL MEDICAL CENTER (050179),2022,Acute Care,Voluntary non-profit - Church,1288.0,37.510487,-120.837491,CA,355.0,24.0,1372.0,16.3,134.0,19.4,82.0,4.2,222.0,14.3,,,150.0,4.2,222.0,-17.5,215.0,62.0,355.0,29.1,276.0,118.0,419.0,34.5,392.0,119.0,8.5,207.0,15.8,91.0,1.1
318,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS (050180),2022,Acute Care,Voluntary non-profit - Other,473.0,37.914297,-122.042071,CA,639.0,20.0,4443.0,14.4,134.0,19.9,756.0,3.9,86.0,15.6,,,,,86.0,-2.8,83.0,29.0,639.0,-4.1,538.0,166.0,661.0,-9.9,589.0,158.0,,125.0,16.2,129.0,1.2
319,ST MARY MEDICAL CENTER (050191),2022,Acute Care,Voluntary non-profit - Church,304.0,33.779954,-118.186683,CA,95.0,22.5,722.0,14.8,58.0,19.8,,,80.0,14.1,,,,,80.0,8.3,78.0,21.0,95.0,38.1,85.0,29.0,133.0,39.5,131.0,39.0,,170.0,14.8,,
320,ADVENTIST HEALTH REEDLEY (050192),2022,Acute Care,Voluntary non-profit - Private,49.0,36.607812,-119.451695,CA,27.0,21.5,76.0,14.9,,,,,,,,,,,,,,,27.0,17.1,25.0,7.0,,,,,,,,,
321,WATSONVILLE COMMUNITY HOSPITAL (050194),2022,Acute Care,Proprietary,106.0,36.92828,-121.793721,CA,132.0,20.2,656.0,15.7,59.0,21.6,,,,,,,,,,,,,132.0,-5.4,120.0,38.0,188.0,43.8,172.0,55.0,,336.0,15.8,45.0,1.1
322,WASHINGTON HOSPITAL (050195),2022,Acute Care,Government - Hospital District or Authority,320.0,37.557653,-121.98087,CA,494.0,24.3,2403.0,16.6,202.0,21.6,759.0,4.0,176.0,17.3,41.0,13.9,86.0,5.2,176.0,101.6,158.0,63.0,494.0,61.9,393.0,155.0,479.0,76.5,419.0,140.0,6.9,34.0,16.0,100.0,1.1
323,SEQUOIA HOSPITAL (050197),2022,Acute Care,Voluntary non-profit - Private,219.0,37.480987,-122.253223,CA,252.0,20.8,1343.0,14.3,41.0,19.5,699.0,3.0,56.0,14.9,56.0,11.8,,,56.0,5.3,55.0,15.0,252.0,0.0,210.0,66.0,175.0,-7.2,155.0,46.0,,128.0,16.0,193.0,1.1
324,PALMDALE REGIONAL MEDICAL CENTER (050204),2022,Acute Care,Proprietary,170.0,34.585688,-118.14364,CA,171.0,23.6,687.0,14.6,76.0,19.8,97.0,4.2,70.0,13.9,,,,,70.0,-33.2,70.0,21.0,171.0,14.4,135.0,58.0,142.0,14.0,137.0,39.0,,,,47.0,1.0
325,ALAMEDA HOSPITAL (050211),2022,Acute Care,Government - Hospital District or Authority,231.0,37.76323,-122.253541,CA,101.0,22.1,498.0,15.3,64.0,20.3,,,,,,,,,,,,,101.0,8.5,88.0,32.0,188.0,2.0,177.0,50.0,,,,,
326,SHARP CHULA VISTA MEDICAL CENTER (050222),2022,Acute Care,Proprietary,370.0,32.618448,-117.02399,CA,402.0,20.6,2127.0,15.5,160.0,20.8,64.0,3.8,127.0,16.9,34.0,12.2,28.0,4.0,127.0,40.5,124.0,40.0,402.0,18.1,334.0,111.0,331.0,20.6,302.0,100.0,9.7,49.0,16.6,74.0,0.8
327,HOAG MEMORIAL HOSPITAL PRESBYTERIAN (050224),2022,Acute Care,Voluntary non-profit - Private,468.0,,,CA,767.0,20.5,6136.0,15.2,170.0,18.2,,,267.0,14.7,92.0,11.4,256.0,3.4,267.0,-8.4,261.0,61.0,767.0,10.8,646.0,208.0,952.0,20.1,865.0,245.0,9.3,725.0,12.0,510.0,1.4
328,AHMC ANAHEIM REGIONAL MEDICAL CENTER (050226),2022,Acute Care,Voluntary non-profit - Private,223.0,33.847138,-117.933934,CA,185.0,21.3,665.0,15.1,70.0,20.6,25.0,4.0,46.0,14.4,,,,,46.0,1.6,45.0,8.0,185.0,8.1,150.0,55.0,196.0,36.1,181.0,50.0,,118.0,14.3,32.0,0.9
329,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR (050228),2022,Acute Care,Government - Local,422.0,37.756171,-122.406608,CA,202.0,22.1,1648.0,16.9,120.0,20.9,60.0,4.4,44.0,15.4,,,88.0,4.6,44.0,24.3,44.0,12.0,202.0,15.6,172.0,55.0,168.0,61.2,160.0,45.0,7.6,828.0,18.5,,
330,GARDEN GROVE HOSPITAL & MEDICAL CENTER (050230),2022,Acute Care,Proprietary,160.0,33.774471,-117.913645,CA,64.0,22.7,554.0,15.3,27.0,19.7,,,,,,,,,,,,,64.0,40.8,56.0,22.0,283.0,4.3,246.0,56.0,,86.0,17.2,,
331,POMONA VALLEY HOSPITAL MEDICAL CENTER (050231),2022,Acute Care,Voluntary non-profit - Private,399.0,34.077639,-117.752329,CA,283.0,21.0,1376.0,14.9,73.0,20.8,39.0,3.8,97.0,14.3,,,67.0,3.8,97.0,-42.4,96.0,27.0,283.0,-29.4,241.0,83.0,150.0,-20.6,142.0,32.0,8.1,255.0,16.4,64.0,1.0
332,FRENCH HOSPITAL MEDICAL CENTER (050232),2022,Acute Care,Voluntary non-profit - Other,103.0,35.278663,-120.650212,CA,271.0,21.2,1610.0,13.9,74.0,19.3,427.0,3.3,267.0,12.5,65.0,11.2,,,267.0,-27.7,257.0,69.0,271.0,-8.3,234.0,78.0,201.0,-3.8,190.0,49.0,,545.0,15.2,264.0,1.3
333,SHARP CORONADO HOSPITAL AND HLTHCR CTR (050234),2022,Acute Care,Voluntary non-profit - Other,185.0,32.694257,-117.167947,CA,28.0,22.3,410.0,16.5,,,186.0,3.5,,,,,,,,,,,28.0,25.4,23.0,11.0,48.0,-8.3,47.0,16.0,,96.0,17.0,55.0,1.0
334,PROVIDENCE SAINT JOSEPH MEDICAL CTR (050235),2022,Acute Care,Voluntary non-profit - Church,361.0,34.157643,-118.327841,CA,576.0,23.2,2950.0,17.3,206.0,20.2,214.0,3.6,174.0,16.6,,,127.0,3.4,174.0,15.4,170.0,49.0,576.0,45.7,447.0,163.0,519.0,46.3,483.0,135.0,9.4,483.0,16.0,232.0,0.8
335,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES (050236),2022,Acute Care,Voluntary non-profit - Church,144.0,34.288837,-118.74396,CA,231.0,22.6,1484.0,16.1,170.0,20.3,56.0,4.5,69.0,15.4,,,,,69.0,6.7,65.0,15.0,231.0,27.3,163.0,66.0,288.0,57.3,251.0,78.0,,109.0,16.4,48.0,0.8
336,METHODIST HOSPITAL OF SOUTHERN CA (050238),2022,Acute Care,Voluntary non-profit - Private,404.0,34.134862,-118.042446,CA,427.0,23.8,2303.0,14.3,128.0,19.5,238.0,3.3,134.0,16.1,,,,,134.0,46.2,133.0,36.0,427.0,50.9,356.0,117.0,615.0,25.0,550.0,135.0,,141.0,15.5,98.0,0.9
337,GLENDALE ADVENTIST MEDICAL CENTER (050239),2022,Acute Care,Voluntary non-profit - Private,460.0,34.149161,-118.230354,CA,803.0,21.3,3529.0,15.3,241.0,18.6,162.0,3.1,261.0,13.6,53.0,11.0,,,261.0,-23.9,256.0,58.0,803.0,18.0,638.0,205.0,888.0,44.5,786.0,240.0,,143.0,15.1,139.0,1.1
